timestamp,source_ip,target_ip,username,auth_type,session_id
2024-01-15T13:20:28Z,10.0.1.25,10.0.1.83,kwilson,password,sess_c3d4e5f6
2024-01-15T13:33:55Z,10.0.1.12,10.0.1.84,mdavis,password,sess_g7h8i9j0
2024-01-15T13:46:17Z,10.0.1.33,10.0.1.85,dwhite,password,sess_k1l2m3n4
2024-01-15T13:59:43Z,10.0.1.15,10.0.1.86,rbrown,password,sess_o5p6q7r8
2024-01-15T14:12:29Z,10.0.1.35,10.0.1.87,mharris,password,sess_s9t0u1v2
2024-01-15T14:25:51Z,10.0.1.18,10.0.1.88,agarcia,password,sess_w3x4y5z6
2024-01-15T14:38:34Z,10.0.1.45,10.0.1.92,kwilson,ntlm_hash,sess_a7b8c9d0
2024-01-15T14:51:22Z,10.0.1.20,10.0.1.89,tmartinez,password,sess_e1f2g3h4
2024-01-15T15:04:48Z,10.0.1.38,10.0.1.90,cclark,password,sess_i5j6k7l8
2024-01-15T15:17:36Z,10.0.1.10,10.0.1.91,jsmith,password,sess_m9n0o1p2
2024-01-15T15:30:54Z,10.0.1.22,10.0.1.93,panderson,password,sess_q3r4s5t6
2024-01-15T15:43:27Z,10.0.1.28,10.0.1.94,lthomas,password,sess_u7v8w9x0
2024-01-15T15:56:41Z,10.0.1.30,10.0.1.95,hjackson,password,sess_y1z2a3b4
2024-01-15T16:09:19Z,10.0.1.45,10.0.1.67,kwilson,ntlm_hash,sess_c5d6e7f8
2024-01-15T16:22:45Z,10.0.1.12,10.0.1.96,mdavis,password,sess_g9h0i1j2
2024-01-15T16:35:33Z,10.0.1.33,10.0.1.97,dwhite,password,sess_k3l4m5n6
2024-01-15T16:48:58Z,10.0.1.15,10.0.1.98,rbrown,password,sess_o7p8q9r0
2024-01-15T17:01:24Z,10.0.1.35,10.0.1.99,mharris,password,sess_s1t2u3v4
2024-01-15T17:14:47Z,10.0.1.67,10.0.1.72,kwilson,ntlm_hash,sess_w5x6y7z8
2024-01-15T17:27:39Z,10.0.1.18,10.0.1.50,agarcia,password,sess_a9b0c1d2
2024-01-15T17:40:52Z,10.0.1.20,10.0.1.51,tmartinez,password,sess_e3f4g5h6
2024-01-15T17:53:28Z,10.0.1.38,10.0.1.52,cclark,password,sess_i7j8k9l0
2024-01-15T18:06:45Z,10.0.1.10,10.0.1.53,jsmith,password,sess_m1n2o3p4
2024-01-15T18:19:37Z,10.0.1.67,10.0.1.89,kwilson,ntlm_hash,sess_q5r6s7t8
2024-01-15T18:32:54Z,10.0.1.22,10.0.1.54,panderson,password,sess_u9v0w1x2
2024-01-15T18:45:41Z,10.0.1.28,10.0.1.55,lthomas,password,sess_y3z4a5b6
2024-01-15T18:58:27Z,10.0.1.30,10.0.1.56,hjackson,password,sess_c7d8e9f0
2024-01-15T19:11:49Z,10.0.1.89,10.0.1.78,kwilson,ntlm_hash,sess_g1h2i3j4
2024-01-15T19:24:35Z,10.0.1.12,10.0.1.57,mdavis,password,sess_k5l6m7n8
2024-01-15T19:37:58Z,10.0.1.33,10.0.1.58,dwhite,password,sess_o9p0q1r2
2024-01-15T19:50:42Z,10.0.1.15,10.0.1.59,rbrown,password,sess_s3t4u5v6
2024-01-15T20:03:29Z,10.0.1.35,10.0.1.60,mharris,password,sess_w7x8y9z0
2024-01-15T20:16:51Z,10.0.1.18,10.0.1.61,agarcia,password,sess_a1b2c3d4
2024-01-15T20:29:38Z,10.0.1.20,10.0.1.62,tmartinez,password,sess_e5f6g7h8
2024-01-15T20:42:54Z,10.0.1.38,10.0.1.63,cclark,password,sess_i9j0k1l2
2024-01-15T20:55:47Z,10.0.1.10,10.0.1.64,jsmith,password,sess_m3n4o5p6
2024-01-15T21:08:33Z,10.0.1.22,10.0.1.65,panderson,password,sess_q7r8s9t0
2024-01-15T21:21:48Z,10.0.1.28,10.0.1.66,lthomas,password,sess_u1v2w3x4
2024-01-15T21:34:26Z,10.0.1.30,10.0.1.68,hjackson,password,sess_y5z6a7b8
2024-01-15T21:47:52Z,10.0.1.12,10.0.1.69,mdavis,password,sess_c9d0e1f2
2024-01-15T22:00:39Z,10.0.1.33,10.0.1.70,dwhite,password,sess_g3h4i5j6
2024-01-15T22:13:45Z,10.0.1.15,10.0.1.71,rbrown,password,sess_k7l8m9n0
2024-01-15T22:26:28Z,10.0.1.35,10.0.1.73,mharris,password,sess_o1p2q3r4
2024-01-15T22:39:54Z,10.0.1.18,10.0.1.74,agarcia,password,sess_s5t6u7v8
2024-01-15T22:52:37Z,10.0.1.20,10.0.1.75,tmartinez,password,sess_w9x0y1z2
2024-01-15T23:05:41Z,10.0.1.38,10.0.1.76,cclark,password,sess_a3b4c5d6
2024-01-15T23:18:29Z,10.0.1.10,10.0.1.77,jsmith,password,sess_e7f8g9h0
2024-01-15T23:31:52Z,10.0.1.22,10.0.1.79,panderson,password,sess_i1j2k3l4
2024-01-15T23:44:36Z,10.0.1.28,10.0.1.80,lthomas,password,sess_m5n6o7p8
2024-01-15T23:57:44Z,10.0.1.30,10.0.1.81,hjackson,password,sess_q9r0s1t2
