cell_id,pseudotime,cluster
CELL_425,15.19,3
CELL_426,16.42,4
CELL_427,17.64,4
CELL_428,18.86,4
CELL_429,3.08,1
CELL_430,4.31,1
CELL_431,5.53,1
CELL_432,6.75,2
CELL_433,7.97,2
CELL_434,9.19,2
CELL_435,10.42,2
CELL_436,11.64,3
CELL_437,12.86,3
CELL_438,14.08,3
CELL_439,15.31,3
CELL_440,16.53,4
CELL_441,17.75,4
CELL_442,18.97,4
CELL_443,3.19,1
CELL_444,4.42,1
CELL_445,5.64,1
CELL_446,6.86,2
CELL_447,8.08,2
CELL_448,9.31,2
CELL_449,10.53,2
CELL_450,11.75,3
CELL_451,12.97,3
CELL_452,14.19,3
CELL_453,15.42,3
CELL_454,16.64,4
CELL_455,17.86,4
CELL_456,19.08,4
CELL_457,NA,1
CELL_458,3.42,1
CELL_459,4.64,1
CELL_460,5.86,1
CELL_461,7.08,2
CELL_462,-0.5,2
CELL_463,9.53,2
CELL_464,10.75,2
CELL_465,11.97,3
CELL_466,13.19,3
CELL_467,14.42,3
CELL_468,15.64,3
CELL_469,16.86,4
CELL_470,18.08,4
CELL_471,19.31,4
CELL_472,NA,1
CELL_473,4.75,1
CELL_474,5.97,1
CELL_475,7.19,2
CELL_476,8.42,2
CELL_477,,2
CELL_478,10.86,2
CELL_479,12.08,3
CELL_480,13.31,3
CELL_481,14.53,3
CELL_482,15.75,3
CELL_483,16.97,4
CELL_484,18.19,4
CELL_485,19.42,4
CELL_486,-1.2,1
CELL_487,4.86,1
CELL_488,6.08,2
CELL_489,7.31,2
CELL_490,8.53,2
CELL_491,9.75,2
CELL_492,10.97,2
CELL_493,12.19,3
CELL_494,13.42,3
CELL_495,14.64,3
CELL_496,15.86,3
CELL_497,17.08,4
CELL_498,18.31,4
CELL_499,19.53,4
CELL_500,19.75,4
