failure_class,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50
0,50.45,51.23,923.78,0.74,132.01,133.12,81.12,0.53,242.67,91.45,48.23,0.80,582.23,24.90,0.41,905.01,48.23,0.63,242.78,69.89,0.30,471.67,91.56,0.74,353.78,80.89,0.53,581.78,92.67,0.80,242.67,69.89,0.41,471.67,91.67,0.63,686.34,24.90,0.74,353.78,80.89,0.53,581.78,13.90,0.80,904.56,36.12,0.30,471.67,0.90
0,48.56,49.34,905.12,0.72,129.56,130.67,80.23,0.51,240.56,90.67,47.67,0.80,578.12,24.56,0.39,901.23,47.67,0.61,240.45,69.12,0.28,467.23,90.78,0.72,351.56,80.12,0.51,577.67,91.56,0.80,240.56,69.12,0.39,467.23,90.45,0.61,684.23,24.56,0.72,351.56,80.12,0.51,577.67,13.67,0.80,900.78,35.78,0.28,467.23,0.89
0,51.34,52.12,929.67,0.75,132.67,133.78,81.56,0.54,243.45,91.78,48.45,0.81,583.89,25.12,0.42,907.34,48.45,0.64,243.56,70.01,0.31,472.89,91.89,0.75,354.56,80.90,0.54,583.45,92.89,0.81,243.45,70.01,0.42,472.89,92.01,0.64,687.56,25.12,0.75,354.56,80.90,0.54,583.45,14.01,0.81,906.89,36.34,0.31,472.89,0.90
0,46.89,47.67,882.56,0.69,127.23,128.34,79.23,0.48,237.67,89.45,46.67,0.78,571.56,24.01,0.36,895.78,46.67,0.58,237.56,68.23,0.26,461.78,89.78,0.69,348.67,79.34,0.48,571.12,90.56,0.78,237.67,68.23,0.36,461.78,89.56,0.58,679.78,24.01,0.69,348.67,79.34,0.48,571.12,13.12,0.78,895.34,35.23,0.26,461.78,0.88
0,50.01,50.78,920.12,0.74,131.45,132.56,80.89,0.53,242.12,91.12,48.01,0.80,581.12,24.89,0.41,904.56,48.01,0.63,242.23,69.67,0.30,470.56,91.34,0.74,353.23,80.67,0.53,580.67,92.23,0.80,242.12,69.67,0.41,470.56,91.23,0.63,686.01,24.89,0.74,353.23,80.67,0.53,580.67,13.89,0.80,904.12,36.01,0.30,470.56,0.90
0,52.56,53.34,944.78,0.78,134.67,135.78,82.45,0.57,245.67,92.56,49.12,0.82,589.56,25.45,0.44,913.67,49.12,0.66,245.56,70.34,0.33,478.67,92.45,0.78,356.89,81.45,0.57,589.12,93.56,0.82,245.67,70.34,0.44,478.67,92.56,0.66,690.90,25.45,0.78,356.89,81.45,0.57,589.12,14.34,0.82,913.23,36.56,0.33,478.67,0.92
0,47.78,48.56,893.67,0.70,128.45,129.56,79.78,0.49,239.23,89.89,47.23,0.79,575.23,24.34,0.37,899.34,47.23,0.60,239.12,68.78,0.27,465.34,90.45,0.70,350.34,79.89,0.49,575.67,91.12,0.79,239.23,68.78,0.37,465.34,90.12,0.60,682.56,24.34,0.70,350.34,79.89,0.49,575.67,13.45,0.79,898.89,35.56,0.27,465.34,0.89
0,50.67,51.45,923.56,0.74,131.89,133.01,81.01,0.53,242.56,91.34,48.12,0.80,582.01,24.90,0.41,905.12,48.12,0.63,242.67,69.78,0.30,471.45,91.56,0.74,353.56,80.78,0.53,581.56,92.56,0.80,242.56,69.78,0.41,471.45,91.45,0.63,686.34,24.90,0.74,353.56,80.78,0.53,581.56,13.90,0.80,904.67,36.12,0.30,471.45,0.90
0,48.45,49.23,902.89,0.71,129.34,130.45,80.12,0.50,240.45,90.34,47.56,0.80,577.78,24.56,0.38,901.01,47.56,0.61,240.34,69.01,0.28,467.01,90.67,0.71,351.12,80.12,0.50,577.34,91.45,0.80,240.45,69.01,0.38,467.01,90.34,0.61,683.56,24.56,0.71,351.12,80.12,0.50,577.34,13.67,0.80,900.56,35.78,0.28,467.01,0.89
0,51.78,52.56,932.67,0.76,133.01,134.12,81.67,0.55,243.78,91.89,48.56,0.81,584.56,25.23,0.42,907.89,48.56,0.64,243.89,70.12,0.31,473.12,92.01,0.76,354.78,81.01,0.55,584.12,93.01,0.81,243.78,70.12,0.42,473.12,92.01,0.64,687.89,25.23,0.76,354.78,81.01,0.55,584.12,14.06,0.81,907.45,36.34,0.31,473.12,0.90
0,46.78,47.56,879.89,0.68,127.01,128.12,79.01,0.47,237.01,89.23,46.56,0.78,570.45,23.90,0.35,894.67,46.56,0.58,236.89,68.01,0.25,460.67,89.56,0.68,348.01,79.12,0.47,570.90,90.34,0.78,237.01,68.01,0.35,460.67,89.34,0.58,679.23,23.90,0.68,348.01,79.12,0.47,570.90,12.90,0.78,894.23,34.90,0.25,460.67,0.87
0,49.89,50.67,917.78,0.73,131.34,132.45,80.78,0.52,242.12,91.12,48.01,0.80,580.67,24.89,0.40,904.01,48.01,0.62,242.01,69.56,0.29,470.01,91.34,0.73,353.12,80.67,0.52,580.23,92.23,0.80,242.12,69.56,0.40,470.01,91.23,0.62,685.78,24.89,0.73,353.12,80.67,0.52,580.23,13.89,0.80,903.56,36.01,0.29,470.01,0.89
0,52.23,53.01,941.67,0.77,134.45,135.56,82.34,0.56,245.45,92.45,49.12,0.82,588.90,25.45,0.43,912.78,49.12,0.65,245.34,70.23,0.32,477.78,92.34,0.77,356.67,81.34,0.56,588.45,93.45,0.82,245.45,70.23,0.43,477.78,92.56,0.65,690.34,25.45,0.77,356.67,81.34,0.56,588.45,14.23,0.82,912.34,36.56,0.32,477.78,0.91
0,47.34,48.12,890.56,0.70,128.12,129.23,79.67,0.49,239.01,89.89,47.12,0.79,574.34,24.23,0.37,898.56,47.12,0.59,238.90,68.67,0.26,464.56,90.34,0.70,350.12,79.78,0.49,574.78,91.01,0.79,239.01,68.67,0.37,464.56,90.12,0.59,681.78,24.23,0.70,350.12,79.78,0.49,574.78,13.34,0.79,898.12,35.56,0.26,464.56,0.88
0,50.56,51.34,923.90,0.74,132.12,133.23,81.12,0.53,242.78,91.45,48.34,0.80,582.34,24.90,0.41,905.23,48.34,0.63,242.89,69.90,0.30,471.78,91.67,0.74,353.89,80.89,0.53,581.90,92.67,0.80,242.78,69.90,0.41,471.78,91.78,0.63,686.45,24.90,0.74,353.89,80.89,0.53,581.90,13.90,0.80,904.78,36.23,0.30,471.78,0.90
0,48.67,49.45,905.34,0.72,129.67,130.78,80.34,0.51,240.67,90.78,47.78,0.80,578.23,24.67,0.39,901.45,47.78,0.61,240.56,69.23,0.28,467.45,90.90,0.72,351.67,80.23,0.51,577.78,91.67,0.80,240.67,69.23,0.39,467.45,90.56,0.61,684.34,24.67,0.72,351.67,80.23,0.51,577.78,13.78,0.80,901.01,35.89,0.28,467.45,0.89
0,51.45,52.23,929.89,0.75,132.78,133.89,81.67,0.54,243.56,91.89,48.56,0.81,584.01,25.23,0.42,907.56,48.56,0.64,243.67,70.12,0.31,473.01,92.01,0.75,354.67,81.01,0.54,583.56,93.01,0.81,243.56,70.12,0.42,473.01,92.12,0.64,687.67,25.23,0.75,354.67,81.01,0.54,583.56,14.06,0.81,907.12,36.45,0.31,473.01,0.90
0,47.01,47.78,882.78,0.69,127.34,128.45,79.34,0.48,237.78,89.56,46.78,0.78,571.67,24.12,0.36,895.90,46.78,0.58,237.67,68.34,0.26,461.90,89.89,0.69,348.78,79.45,0.48,571.23,90.67,0.78,237.78,68.34,0.36,461.90,89.67,0.58,679.90,24.12,0.69,348.78,79.45,0.48,571.23,13.23,0.78,895.45,35.34,0.26,461.90,0.88
0,50.12,50.90,920.34,0.74,131.56,132.67,81.01,0.53,242.23,91.23,48.12,0.80,581.23,24.90,0.41,904.67,48.12,0.63,242.34,69.78,0.30,470.67,91.45,0.74,353.34,80.78,0.53,580.78,92.34,0.80,242.23,69.78,0.41,470.67,91.34,0.63,686.12,24.90,0.74,353.34,80.78,0.53,580.78,13.90,0.80,904.23,36.12,0.30,470.67,0.90
1,38.67,39.23,765.45,0.62,118.34,119.67,73.56,0.43,225.67,83.45,42.34,0.74,548.90,21.67,0.31,872.34,42.34,0.53,225.45,63.78,0.21,442.34,84.56,0.62,335.67,74.23,0.43,548.45,85.67,0.74,225.67,63.78,0.31,442.34,84.67,0.53,658.90,21.67,0.62,335.67,74.23,0.43,548.45,11.45,0.74,872.90,32.34,0.21,442.34,0.82
1,41.23,41.78,798.67,0.65,122.45,123.89,76.12,0.46,231.23,86.78,44.12,0.76,561.45,22.89,0.34,889.56,44.12,0.56,231.12,66.23,0.24,452.67,87.89,0.65,343.45,76.89,0.46,561.01,88.90,0.76,231.23,66.23,0.34,452.67,88.01,0.56,670.23,22.89,0.65,343.45,76.89,0.46,561.01,12.34,0.76,889.12,33.90,0.24,452.67,0.85
1,39.45,40.01,778.90,0.63,119.89,121.23,74.67,0.44,227.89,84.90,43.01,0.75,554.23,22.12,0.32,879.45,43.01,0.54,227.78,64.90,0.22,446.78,85.90,0.63,338.90,75.12,0.44,553.78,86.89,0.75,227.89,64.90,0.32,446.78,85.78,0.54,663.45,22.12,0.63,338.90,75.12,0.44,553.78,11.78,0.75,878.90,32.90,0.22,446.78,0.83
1,40.89,41.45,792.34,0.64,121.67,123.01,75.78,0.45,230.12,86.23,43.89,0.76,559.12,22.67,0.33,885.67,43.89,0.55,230.01,65.89,0.23,450.23,87.34,0.64,342.12,76.45,0.45,558.67,88.34,0.76,230.12,65.89,0.33,450.23,87.45,0.55,667.89,22.67,0.64,342.12,76.45,0.45,558.67,12.12,0.76,885.23,33.56,0.23,450.23,0.84
1,38.12,38.67,759.23,0.61,117.23,118.56,72.90,0.42,223.45,82.67,41.89,0.73,545.67,21.34,0.30,868.23,41.89,0.52,223.34,63.12,0.20,439.23,83.78,0.61,333.45,73.56,0.42,545.23,84.78,0.73,223.45,63.12,0.30,439.23,83.89,0.52,655.67,21.34,0.61,333.45,73.56,0.42,545.23,11.23,0.73,867.78,31.90,0.20,439.23,0.81
1,40.34,40.90,786.56,0.64,120.89,122.23,75.34,0.45,229.01,85.67,43.56,0.75,556.89,22.45,0.33,882.45,43.56,0.55,228.90,65.34,0.23,448.90,86.78,0.64,340.89,76.01,0.45,556.45,87.78,0.75,229.01,65.34,0.33,448.90,86.89,0.55,665.34,22.45,0.64,340.89,76.01,0.45,556.45,11.89,0.75,881.90,33.34,0.23,448.90,0.84
