feature1,feature2,feature3,feature4,feature5,actual_score
-4.9,1.3,-3.7,1.6,3.8,-18.9
2.9,5.8,2.4,5.6,1.7,64.2
-3.1,-4.6,3.7,-4.2,2.9,-24.8
5.1,3.9,1.8,2.9,5.7,59.4
1.6,-2.1,4.1,4.7,-1.8,28.3
-2.7,3.1,-2.4,5.1,3.6,16.9
6.3,4.6,5.3,3.2,2.8,78.6
-1.8,-5.7,2.3,3.4,4.2,-6.8
3.6,1.6,-3.8,5.4,2.1,34.2
-5.2,6.3,-1.6,2.7,1.9,12.4
5.7,2.8,4.9,1.4,4.3,61.7
-4.6,-1.3,1.9,-5.1,2.7,-38.6
2.3,4.7,3.8,4.1,5.2,64.9
1.9,-5.6,5.1,2.9,-2.3,12.7
-3.5,2.9,-4.1,1.8,4.7,1.8
4.4,5.3,2.6,5.8,3.9,74.2
-2.8,-2.4,4.9,-2.7,1.4,-12.3
5.4,4.2,3.7,2.1,2.6,62.8
-1.2,3.6,1.9,-4.3,5.1,12.6
3.7,-3.4,5.6,3.8,1.7,38.4
-4.1,1.9,-2.6,4.3,-3.9,-22.7
2.6,6.1,4.2,2.8,3.7,67.8
-5.3,-3.1,2.4,-3.8,-1.9,-42.1
4.9,3.1,1.3,5.2,4.6,61.4
1.3,-4.3,3.9,1.7,2.8,14.2
-2.4,5.1,-3.7,4.6,2.1,18.6
6.1,2.9,5.8,3.7,1.4,71.3
-3.7,-6.2,1.6,-1.8,3.9,-36.4
3.2,4.8,-2.1,2.4,5.4,46.8
-1.6,1.7,4.6,-5.6,2.9,-4.2
5.6,-2.6,2.9,4.8,3.2,48.7
-4.7,2.1,-4.9,3.6,1.3,-28.4
2.7,5.9,5.1,1.9,4.1,67.2
-3.9,-1.8,3.4,-4.1,5.7,-8.6
4.1,1.4,-1.8,5.7,2.9,44.3
1.7,-3.1,4.7,2.6,-3.4,16.8
-2.9,4.3,-2.8,3.2,4.8,18.4
5.8,6.4,2.1,4.9,2.7,78.9
-5.1,-2.9,5.2,-2.4,1.8,-28.7
3.4,2.3,-4.7,1.9,5.2,24.6
-1.8,5.7,3.1,-3.2,2.4,19.7
4.6,-1.7,5.9,3.4,1.9,51.8
-4.2,3.6,-1.9,5.1,-2.7,-11.4
2.9,4.1,4.8,5.3,3.6,72.1
-3.3,-5.1,2.7,-3.6,2.1,-32.8
5.2,3.7,3.2,2.8,4.7,64.3
1.4,-4.7,1.8,4.2,3.1,18.6
-2.1,2.6,-5.6,1.7,5.3,-6.8
6.4,5.1,4.3,3.9,2.1,79.7
-1.9,-3.8,3.9,5.6,-1.9,4.2
3.8,1.8,-2.4,4.1,5.9,42.8
-5.4,6.7,-3.1,2.3,1.6,6.9
5.9,2.4,5.1,1.8,3.7,61.4
-4.8,-1.6,2.3,-4.9,4.1,-27.3
2.4,5.3,3.6,4.7,2.9,64.8
1.6,-5.9,4.2,2.1,-2.7,6.3
-3.6,3.4,-3.9,5.4,1.9,4.7
4.3,4.9,1.7,2.7,5.1,57.6
-2.7,-2.1,5.6,-1.6,3.4,2.8
5.7,5.6,2.8,5.2,1.8,74.9
-1.3,4.2,4.1,-2.8,4.6,24.7
3.1,-2.9,3.4,1.9,2.7,24.8
-4.6,1.4,-4.3,3.7,-4.1,-34.2
2.8,6.4,5.4,3.1,2.6,72.8
-5.7,-4.2,1.9,-2.7,2.8,-42.6
4.7,2.1,-3.2,5.6,4.3,48.9
1.9,-3.6,2.6,4.9,1.4,24.7
-2.5,5.4,-1.7,2.8,5.8,28.6
6.6,3.9,4.6,2.4,3.9,76.8
-3.2,-5.8,3.1,-4.7,-2.6,-46.3
3.9,3.2,-5.1,1.6,2.4,22.1
-1.7,2.8,5.3,-3.4,4.2,18.9
5.3,-1.8,1.9,5.8,2.7,53.6
-4.3,4.1,-2.7,1.4,3.9,6.8
2.1,5.7,4.7,4.3,5.1,72.4
-3.7,-3.4,2.1,-5.2,1.7,-36.8
4.4,1.7,3.8,2.9,4.9,52.7
1.8,-4.1,5.7,3.6,-1.7,24.8
-2.9,3.7,-4.6,5.1,2.3,8.4
5.1,6.2,3.4,1.7,2.9,69.7
-5.8,-1.9,4.3,-3.1,5.2,-24.6
3.6,2.9,-1.6,5.3,1.8,42.9
-1.4,5.9,2.7,-4.9,3.7,16.8
4.8,-2.4,4.1,2.6,5.6,47.3
-4.9,1.7,-5.3,4.2,1.9,-28.7
2.7,4.6,5.9,2.3,3.4,67.2
-3.4,-4.9,1.4,-2.1,4.8,-24.1
5.6,5.1,2.6,4.7,2.1,68.4
1.5,-3.2,3.7,5.4,4.2,38.9
-2.6,2.3,-3.1,3.6,5.7,12.8
6.2,4.3,5.2,3.8,1.7,76.9
-1.6,-6.1,2.9,2.7,3.1,-16.4
3.3,1.6,-4.2,4.6,2.9,32.7
-5.1,5.4,-2.8,1.8,4.3,8.9
5.4,3.8,4.7,2.9,3.1,64.2
-4.7,-2.7,3.6,-4.6,1.9,-32.8
2.9,5.2,2.1,5.7,4.6,68.9
1.2,-5.4,4.9,1.6,-3.8,8.7
-3.8,4.7,-1.9,4.1,2.7,16.3
4.6,2.4,5.8,3.2,5.3,68.4
-2.3,-1.6,1.7,-3.7,4.9,-8.9
5.9,6.7,3.9,2.1,2.4,76.2
-1.8,3.1,4.4,-5.3,1.7,2.8
3.4,-4.6,2.3,5.1,3.9,32.1
-4.4,1.9,-3.4,2.4,-2.9,-28.6
2.6,5.8,5.3,4.8,1.9,71.8
-5.2,-3.7,2.8,-1.3,5.1,-24.7
4.9,4.1,1.4,3.7,4.2,59.6
1.7,-2.8,5.1,2.8,-2.1,24.9
-2.8,2.9,-5.7,1.9,3.6,-8.4
6.3,5.9,2.7,5.6,3.8,84.2
-3.6,-5.3,4.1,-2.9,2.7,-28.4
3.7,3.4,-2.7,4.3,5.7,48.9
-1.9,6.1,3.8,-3.1,2.1,24.7
5.1,-1.3,4.6,1.7,2.8,46.3
-4.6,2.4,-4.1,5.9,1.6,-16.8
2.3,4.9,4.1,3.4,5.4,66.7
-3.1,-4.3,5.4,-4.8,1.8,-24.9
4.2,1.9,2.9,5.2,3.7,54.6
1.6,-5.7,3.2,4.7,2.4,18.3
-2.4,5.1,-2.6,2.1,4.7,21.8
5.8,3.6,5.7,4.1,2.9,74.6
-5.4,-2.4,1.6,-5.7,3.2,-46.8
3.9,2.7,-3.9,2.6,4.3,32.7
-1.5,4.8,2.4,-4.6,5.9,18.4
4.7,-3.1,5.2,3.9,1.7,44.2
-4.1,3.9,-1.8,1.3,2.9,2.8
2.7,6.3,4.8,5.1,3.2,78.4
-3.9,-1.7,3.4,-3.2,4.1,-12.6
5.3,5.4,1.9,2.8,5.6,68.9
1.4,-4.9,4.7,5.3,-1.4,24.7
-2.7,3.2,-4.9,3.7,2.1,2.9
6.1,4.7,3.1,4.6,4.7,79.8
-1.7,-3.4,5.8,2.9,-3.9,2.1
3.2,1.8,-2.1,5.7,3.4,44.6
-5.3,5.7,-3.6,1.4,2.8,4.2
5.6,2.1,4.3,2.4,5.1,58.9
-4.8,-5.1,2.7,-2.8,1.9,-44.2
2.4,5.6,3.9,4.9,2.7,68.4
1.8,-3.8,1.6,3.2,4.8,24.6
-3.3,4.3,-5.4,2.7,5.3,6.8
4.5,3.1,5.1,1.9,2.4,56.2
-2.9,-2.9,4.2,-1.7,3.7,-6.4
5.7,6.1,2.4,5.4,1.6,74.8
-1.6,2.7,3.6,-2.3,5.7,18.9
3.8,-5.2,2.9,4.6,2.1,28.4
-4.3,1.6,-2.9,3.8,-5.1,-32.7
2.9,4.2,5.6,2.7,4.3,67.9
-5.6,-4.6,1.8,-4.1,2.4,-48.7
4.6,2.8,3.4,5.8,3.9,64.2
1.3,-2.6,5.9,1.9,-2.8,21.4
-2.1,5.9,-1.4,4.2,3.1,28.7
6.4,3.2,4.9,3.6,5.2,79.4
-3.8,-6.7,2.1,-3.4,1.7,-48.9
3.4,4.6,-4.3,2.3,4.9,38.7
-1.9,1.4,4.8,-5.8,2.6,-6.8
5.2,-1.9,2.7,5.1,4.7,54.3
-4.7,3.1,-3.7,1.7,2.9,-12.4
2.1,5.3,4.4,4.3,1.8,64.2
-3.2,-3.1,5.7,-2.9,5.1,-4.7
4.8,5.7,1.6,3.9,2.7,62.9
1.7,-4.4,3.1,2.4,5.3,26.8
-2.6,2.4,-4.1,5.6,1.9,8.7
5.9,4.9,5.4,1.8,3.4,72.8
-5.1,-1.8,2.3,-5.9,4.2,-38.4
3.6,1.7,-1.7,4.7,5.8,48.2
-1.3,6.4,3.2,-2.7,2.3,27.9
4.9,-2.7,4.9,2.9,1.6,42.8
-4.4,2.8,-5.6,3.4,-1.9,-28.9
2.8,3.9,2.6,5.9,4.1,62.7
-3.7,-5.4,4.3,-1.6,3.8,-22.1
5.4,4.2,3.7,2.7,2.9,64.8
1.9,-3.7,1.9,5.2,3.6,32.4
-2.3,5.6,-3.9,1.8,4.7,16.2
6.7,2.9,5.1,4.2,1.9,73.8
-1.4,-4.8,3.7,3.6,-2.4,-6.9
3.1,2.1,-3.6,5.4,5.2,42.8
-5.6,4.9,-2.1,2.9,1.7,2.4
5.8,3.6,4.2,1.3,4.9,64.7
-4.9,-2.3,1.4,-3.8,2.7,-34.2
2.5,6.8,5.9,3.7,2.1,76.8
1.6,-5.2,2.8,4.1,-4.3,8.9
-3.4,3.7,-4.7,5.7,2.9,12.6
4.3,5.1,2.3,2.6,5.7,62.4
-2.8,-1.4,5.2,-4.2,1.7,-8.7
5.1,1.9,3.9,5.7,3.2,61.8
-1.7,4.6,4.7,-3.8,4.3,24.2
3.9,-4.8,1.7,3.4,2.9,24.7
-4.2,1.3,-2.4,4.9,-3.6,-24.8
2.7,5.4,5.3,1.9,5.1,68.4
-5.3,-3.9,2.9,-2.1,3.4,-32.7
4.6,3.4,4.1,4.8,1.7,62.8
1.2,-2.1,5.4,2.7,-1.9,24.6
-2.9,2.8,-5.1,3.9,5.6,8.4
6.2,6.2,3.6,2.4,4.2,79.7
-3.1,-5.6,1.7,-4.9,-1.8,-48.2
3.7,2.6,-2.9,5.1,3.7,44.9
-1.8,5.2,3.4,-5.2,1.9,8.7
5.3,-3.4,5.7,1.6,2.4,44.8
-4.6,4.1,-1.6,5.3,2.7,12.4
2.3,4.8,2.7,4.7,5.9,68.2
-3.8,-2.7,4.9,-3.1,2.1,-16.8
4.9,1.6,1.4,3.8,4.6,48.9
1.7,-5.8,3.6,5.6,1.9,24.3
-2.4,3.9,-3.4,2.3,5.2,12.7
5.6,5.9,4.8,3.2,2.7,76.8
-5.7,-4.1,2.6,-1.9,4.7,-34.2
3.2,3.1,-4.8,4.2,1.8,28.4
-1.6,6.7,1.9,-2.6,3.9,29.8
4.7,-1.4,5.1,2.8,5.3,56.7
-4.1,2.9,-4.2,1.7,-2.8,-28.4
2.9,5.1,4.3,5.4,3.6,72.9
-3.6,-3.6,5.3,-4.6,1.4,-22.8
5.8,4.7,2.9,2.1,4.1,64.2
1.4,-4.2,4.1,4.9,-2.7,21.8
-2.1,2.1,-2.7,5.8,4.6,24.7
6.3,3.8,5.6,1.9,3.2,72.4
-1.9,-6.4,3.4,2.8,2.9,-21.7
3.8,1.9,-1.9,5.6,5.7,52.8
-5.2,5.8,-5.1,3.1,1.4,-4.9
5.4,2.7,3.1,4.6,2.8,59.7
-4.8,-1.7,2.4,-5.4,3.7,-34.8
2.6,4.3,5.7,2.9,4.9,69.4
1.8,-5.1,1.8,3.7,2.1,14.6
-3.3,5.4,-2.9,4.8,2.7,22.4
4.4,6.1,3.6,1.6,5.2,68.9
-2.7,-2.8,4.7,-3.4,1.9,-12.8
5.9,3.2,1.3,5.9,4.3,64.7
-1.5,4.9,5.1,-4.1,3.1,21.9
3.1,-3.9,2.6,2.4,4.7,26.8
-4.9,1.6,-3.1,5.2,-1.8,-18.4
2.4,5.7,4.9,4.1,1.7,66.9
-5.4,-4.7,1.9,-2.3,5.3,-36.7
4.1,2.4,5.4,3.6,2.9,58.4
1.6,-2.9,3.8,5.7,3.4,38.6
-2.8,3.6,-4.6,1.9,5.1,6.7
6.1,5.3,2.4,4.9,3.7,78.9
-3.4,-5.9,4.2,-3.8,2.4,-32.6
3.9,4.2,-3.7,2.7,5.8,44.2
-1.7,1.8,3.9,-5.9,2.1,-8.9
5.6,-2.1,4.7,1.4,3.9,49.7
-4.3,5.2,-2.6,5.1,1.9,14.8
2.7,3.4,5.2,3.8,4.7,67.4
-3.9,-1.9,2.1,-4.7,4.2,-18.6
4.8,5.8,1.7,4.3,2.6,64.9
1.3,-4.6,5.6,2.9,-3.2,16.8
-2.5,2.7,-1.9,5.4,3.9,24.8
5.7,4.1,4.3,2.6,5.1,69.7
-5.8,-3.2,3.7,-1.8,1.7,-38.9
3.3,1.7,-5.4,4.9,2.4,28.6
-1.4,6.2,2.8,-3.7,4.8,26.9
4.9,-1.6,3.4,5.8,1.9,52.4
-4.7,3.9,-4.9,2.1,2.7,-12.8
2.1,5.9,5.1,4.6,3.1,74.2
-3.2,-4.1,1.6,-5.2,-2.9,-42.8
5.2,3.7,2.9,3.2,4.9,62.7
1.9,-3.4,4.4,1.7,5.6,32.8
-2.6,4.8,-3.2,5.9,2.3,22.7
6.4,2.9,5.8,3.9,2.7,76.8
-1.6,-5.7,2.4,4.2,3.6,-4.8
3.6,2.3,-2.6,5.3,5.4,48.9
-5.1,5.6,-1.4,1.8,3.2,12.4
5.3,4.9,4.6,2.3,1.8,64.2
-4.2,-2.6,5.1,-3.9,4.7,-16.8
2.8,1.4,3.7,5.7,2.9,52.8
1.7,-5.9,2.1,3.4,4.1,14.9
-3.7,3.2,-5.6,4.1,1.9,-6.8
4.2,6.4,1.9,2.8,5.7,67.9
-2.9,-1.3,4.8,-2.4,3.2,-4.7
5.8,5.1,5.3,4.7,2.4,78.6
-1.3,4.7,3.1,-4.9,5.2,18.7
3.4,-4.1,1.8,1.9,2.9,18.4
-4.6,1.7,-2.8,5.6,-4.3,-26.9
2.6,5.2,4.7,3.1,4.6,68.9
-5.9,-3.8,2.9,-4.2,1.8,-46.7
4.7,3.6,-1.7,4.8,3.2,52.4
1.4,-2.7,5.9,2.6,-2.1,24.8
-2.1,5.3,-4.1,1.7,4.9,18.6
6.2,4.4,3.2,5.1,3.9,79.7
-3.8,-6.1,1.7,-2.9,2.7,-42.8
3.1,2.8,-3.9,5.7,5.1,46.9
-1.9,6.9,4.6,-1.8,2.4,34.7
5.4,-3.2,2.3,3.9,4.2,44.8
-4.4,4.6,-5.2,2.8,1.6,-8.9
2.9,1.9,5.4,4.3,5.8,64.7
-3.1,-5.3,3.8,-3.7,3.1,-26.4
4.3,5.6,2.7,1.4,2.9,58.9
1.8,-4.9,4.1,5.2,-1.6,24.7
-2.7,3.4,-2.1,4.9,5.3,26.8
5.9,6.7,4.9,2.8,1.9,78.4
-5.2,-2.1,1.4,-4.8,4.6,-32.7
3.7,4.1,-4.6,3.6,2.7,32.8
-1.6,2.9,5.7,-5.4,1.8,4.2
4.8,-1.9,3.6,5.4,5.1,58.9
-4.9,5.1,-1.9,1.3,3.7,8.4
2.3,5.8,2.9,4.7,4.2,68.7
-3.4,-3.9,4.6,-4.1,2.9,-21.8
5.1,2.6,5.2,2.1,3.7,59.4
1.6,-5.4,1.7,4.8,2.4,16.9
-2.9,4.2,-3.8,5.3,4.6,24.8
6.8,3.7,3.4,3.2,5.4,76.9
-1.7,-4.6,5.3,2.7,-3.1,-2.8
3.2,1.6,-2.4,5.9,4.3,46.8
-5.6,6.3,-2.7,1.9,2.1,8.9
5.7,5.4,4.1,3.8,2.6,74.2
-4.1,-1.8,2.8,-5.6,5.2,-28.4
2.7,4.9,5.6,2.4,1.9,64.8
1.9,-3.6,3.2,5.6,4.7,42.9
-3.6,2.1,-4.3,4.2,3.4,8.7
4.4,6.1,1.8,2.9,5.9,68.4
-2.8,-2.4,4.9,-1.7,2.6,-8.9
5.3,3.9,2.7,5.8,1.7,62.8
-1.4,5.7,4.3,-3.6,5.1,28.9
3.8,-5.1,5.4,1.6,2.9,32.7
-4.7,3.2,-1.6,5.7,-2.1,-6.8
2.4,2.7,4.2,4.9,4.3,61.9
-5.3,-5.7,1.9,-3.2,1.7,-48.6
4.9,4.6,3.8,3.4,5.2,68.9
1.2,-2.9,5.1,2.8,-4.7,12.4
-2.6,5.4,-5.9,3.1,2.9,8.2
6.1,1.8,4.7,4.6,3.7,71.8
-3.9,-4.3,2.4,-4.9,4.8,-29.7
3.5,3.1,-3.1,5.2,2.1,38.4
-1.8,6.4,1.6,-2.9,5.7,28.7
5.6,-2.6,4.9,2.7,1.4,44.2
-4.3,1.9,-3.4,1.8,5.9,6.8
2.9,5.1,5.8,5.3,2.8,76.9
-3.7,-1.6,3.6,-5.1,3.2,-18.9
4.1,5.9,2.1,4.1,4.7,67.8
1.7,-4.7,4.8,3.6,-2.9,18.4
-2.3,4.3,-2.7,5.4,1.9,21.8
5.4,6.8,3.9,1.7,4.2,74.9
-5.8,-3.1,5.2,-2.6,2.4,-32.7
3.9,2.4,-4.9,2.9,5.3,32.8
-1.5,3.7,2.8,-4.2,4.1,12.9
4.6,-1.3,5.6,5.1,2.7,58.4
-4.8,4.7,-5.4,3.7,1.8,-12.6
2.1,1.6,4.3,2.6,5.4,48.7
-3.2,-6.2,1.8,-3.9,3.7,-38.4
5.7,3.4,2.9,4.2,3.1,62.9
1.3,-5.6,3.7,5.8,2.9,28.4
-2.8,5.9,-1.9,1.4,4.6,24.8
6.3,4.1,5.4,3.7,2.9,78.6
-1.6,-3.7,4.1,4.7,-1.8,8.9
3.1,2.9,-2.6,5.9,5.7,52.8
-5.4,5.2,-3.8,2.1,3.4,6.7
5.8,5.6,1.7,2.4,4.3,67.9
-4.2,-2.9,5.7,-4.3,1.9,-24.8
2.7,4.8,3.4,5.6,2.1,64.2
1.6,-3.1,2.6,3.9,5.2,36.8
-3.5,3.6,-4.7,4.3,2.9,8.4
4.8,6.3,4.7,1.8,3.7,72.9
-2.9,-1.4,5.9,-2.8,4.2,4.8
5.2,2.1,3.2,5.4,5.6,67.8
-1.7,4.9,1.9,-5.7,2.4,2.9
3.6,-4.9,5.1,2.7,1.8,28.4
-4.6,1.4,-2.1,5.1,-5.3,-32.9
2.8,5.6,4.9,4.8,4.1,74.8
-5.1,-4.8,2.3,-1.9,2.7,-42.1
4.3,3.8,-1.4,3.2,5.9,54.7
1.9,-2.4,4.6,5.7,-1.9,32.8
-2.4,6.1,-3.6,2.9,3.7,24.9
6.7,2.7,5.1,2.3,4.6,74.2
-3.1,-5.4,3.9,-4.2,1.8,-32.9
3.4,4.2,-5.7,5.6,2.9,32.7
-1.9,1.7,2.7,-3.8,5.4,8.9
5.9,-3.7,4.3,1.9,3.2,42.8
-4.7,5.4,-2.9,4.6,1.7,12.4
2.5,3.1,5.3,3.7,5.8,68.9
-3.8,-2.1,4.2,-5.3,2.9,-18.7
4.7,5.1,1.6,4.9,3.4,64.8
1.4,-5.8,3.9,2.4,4.2,18.9
-2.1,4.7,-4.9,5.8,1.6,18.4
5.6,6.4,3.7,2.8,2.1,74.9
-5.9,-3.4,1.7,-2.7,4.7,-38.2
3.7,2.8,-3.2,4.1,5.2,44.8
-1.3,5.3,5.6,-4.6,2.9,24.7
4.2,-1.9,2.4,5.3,4.1,48.9
-4.4,3.9,-4.1,1.7,3.6,2.8
2.9,4.4,4.8,4.2,1.9,62.7
-3.6,-5.1,2.8,-3.7,5.1,-24.9
5.4,1.7,5.7,3.9,2.4,62.8
1.8,-4.3,1.9,2.6,5.7,26.9
-2.7,2.9,-2.4,5.2,4.3,24.7
6.4,5.7,4.2,1.6,3.9,76.8
-1.8,-4.2,5.4,4.1,-2.7,4.2
