transaction_id,account_id,amount,timestamp
TXN080,ACC050,234.65,2024-01-22 17:55:45
TXN081,ACC010,890.45,2024-01-23 08:12:20
TXN082,ACC080,3200.50,2024-01-23 09:25:35
TXN083,ACC045,145.70,2024-01-23 10:38:50
TXN084,ACC078,567.60,2024-01-23 11:48:15
TXN085,ACC030,2340.75,2024-01-23 12:55:30
TXN086,ACC062,890.85,2024-01-23 13:18:45
TXN087,ACC057,1250.25,2024-01-23 14:25:20
TXN088,ACC017,456.50,2024-01-23 15:38:35
TXN089,ACC091,678.60,2024-01-23 16:42:50
TXN090,ACC035,3450.50,2024-01-23 17:55:15
TXN091,ACC066,125.85,2024-01-24 08:10:30
TXN092,ACC024,890.70,2024-01-24 09:22:45
TXN093,ACC100,2100.75,2024-01-24 10:35:20
TXN094,ACC059,456.35,2024-01-24 11:48:35
TXN095,ACC004,678.55,2024-01-24 12:55:50
TXN096,ACC083,1500.50,2024-01-24 13:18:15
TXN097,ACC047,234.80,2024-01-24 14:25:30
TXN098,ACC061,890.15,2024-01-24 15:38:45
TXN099,ACC028,3200.25,2024-01-24 16:42:20
TXN100,ACC092,145.50,2024-01-24 17:55:35
TXN101,ACC055,567.80,2024-01-25 08:10:50
TXN102,ACC015,2340.50,2024-01-25 09:22:15
TXN103,ACC087,890.90,2024-01-25 10:35:30
TXN104,ACC042,1250.75,2024-01-25 11:48:45
TXN105,ACC073,456.45,2024-01-25 12:55:20
TXN106,ACC034,678.25,2024-01-25 13:18:35
TXN107,ACC095,3450.75,2024-01-25 14:25:50
TXN108,ACC019,125.70,2024-01-25 15:38:15
TXN109,ACC081,890.35,2024-01-25 16:42:30
TXN110,ACC052,2100.50,2024-01-25 17:55:45
TXN111,ACC012,456.65,2024-01-26 08:12:20
TXN112,ACC069,678.45,2024-01-26 09:25:35
TXN113,ACC038,1500.25,2024-01-26 10:38:50
TXN114,ACC093,234.70,2024-01-26 11:48:15
TXN115,ACC021,890.60,2024-01-26 12:55:30
TXN116,ACC076,3200.75,2024-01-26 13:18:45
TXN117,ACC044,145.85,2024-01-26 14:25:20
TXN118,ACC007,567.50,2024-01-26 15:38:35
TXN119,ACC088,2340.25,2024-01-26 16:42:50
TXN120,ACC031,890.25,2024-01-26 17:55:15
TXN121,ACC063,1250.50,2024-01-27 08:10:30
TXN122,ACC016,456.75,2024-01-27 09:22:45
TXN123,ACC097,678.85,2024-01-27 10:35:20
TXN124,ACC040,3450.25,2024-01-27 11:48:35
TXN125,ACC084,125.65,2024-01-27 12:55:50
TXN126,ACC025,890.50,2024-01-27 13:18:15
TXN127,ACC072,2100.25,2024-01-27 14:25:30
TXN128,ACC049,456.80,2024-01-27 15:38:45
TXN129,ACC092,678.70,2024-01-27 16:42:20
TXN130,ACC011,1500.75,2024-01-27 17:55:35
TXN131,ACC079,234.55,2024-01-28 08:10:50
TXN132,ACC036,890.40,2024-01-28 09:22:15
TXN133,ACC068,3200.50,2024-01-28 10:35:30
TXN134,ACC029,145.75,2024-01-28 11:48:45
TXN135,ACC095,567.65,2024-01-28 12:55:20
TXN136,ACC053,2340.75,2024-01-28 13:18:35
TXN137,ACC014,890.75,2024-01-28 14:25:50
TXN138,ACC086,1250.25,2024-01-28 15:38:15
TXN139,ACC043,456.60,2024-01-28 16:42:30
TXN140,ACC075,678.50,2024-01-28 17:55:45
TXN141,ACC022,3450.50,2024-01-29 08:12:20
TXN142,ACC090,125.80,2024-01-29 09:25:35
TXN143,ACC058,890.20,2024-01-29 10:38:50
TXN144,ACC006,2100.75,2024-01-29 11:48:15
TXN145,ACC071,456.40,2024-01-29 12:55:30
TXN146,ACC033,678.65,2024-01-29 13:18:45
TXN147,ACC098,1500.50,2024-01-29 14:25:20
TXN148,ACC046,234.90,2024-01-29 15:38:35
TXN149,ACC018,890.10,2024-01-29 16:42:50
TXN150,ACC082,3200.25,2024-01-29 17:55:15
TXN151,ACC051,145.60,2024-01-30 08:10:30
TXN152,ACC009,567.75,2024-01-30 09:22:45
TXN153,ACC077,2340.50,2024-01-30 10:35:20
TXN154,ACC039,890.80,2024-01-30 11:48:35
TXN155,ACC064,1250.75,2024-01-30 12:55:50
TXN156,ACC027,456.55,2024-01-30 13:18:15
TXN157,ACC094,678.30,2024-01-30 14:25:30
TXN158,ACC054,3450.75,2024-01-30 15:38:45
TXN159,ACC013,125.90,2024-01-30 16:42:20
TXN160,ACC089,890.65,2024-01-30 17:55:35
TXN161,ACC041,2100.50,2024-01-31 08:10:50
TXN162,ACC070,456.70,2024-01-31 09:22:15
TXN163,ACC032,678.80,2024-01-31 10:35:30
TXN164,ACC099,1500.25,2024-01-31 11:48:45
TXN165,ACC056,234.85,2024-01-31 12:55:20
TXN166,ACC020,890.45,2024-01-31 13:18:35
TXN167,ACC085,3200.75,2024-01-31 14:25:50
TXN168,ACC048,145.55,2024-01-31 15:38:15
TXN169,ACC005,567.90,2024-01-31 16:42:30
TXN170,ACC074,2340.25,2024-01-31 17:55:45
