sensor_id,latitude,longitude,temperature,humidity,pressure
sensor_0040,32.7901,-96.7778,28.5,71.8,1015.6
sensor_0041,-33.8678,151.2093,22.1,58.3,1018.2
sensor_0042,-33.8745,151.2156,55.7,110.5,850.3
sensor_0043,-33.8612,151.2034,22.3,58.7,1018.4
sensor_0044,-33.8701,151.2123,21.9,57.9,1018.0
sensor_0045,-33.8656,151.2078,22.0,58.2,1018.1
sensor_0046,-33.8734,151.2145,22.4,59.0,1018.5
sensor_0047,-33.8589,151.2012,21.8,57.5,1017.9
sensor_0048,-33.8689,151.2112,22.2,58.5,1018.3
sensor_0049,-33.8645,151.2067,22.0,58.1,1018.1
sensor_0050,-33.8723,151.2134,22.4,58.9,1018.5
sensor_0051,-33.8601,151.2023,21.9,57.7,1017.9
sensor_0052,-33.8712,151.2101,22.3,58.6,1018.4
sensor_0053,-33.8667,151.2089,22.1,58.3,1018.2
sensor_0054,-33.8756,151.2167,22.5,59.2,1018.6
sensor_0055,-33.8578,151.2001,21.7,57.3,1017.8
sensor_0056,-33.8690,151.2100,22.2,58.4,1018.3
sensor_0057,-33.8634,151.2056,22.0,58.0,1018.0
sensor_0058,-33.8745,151.2145,22.4,59.1,1018.5
sensor_0059,-33.8612,151.2034,21.9,57.8,1018.0
sensor_0060,-33.8701,151.2123,22.3,58.7,1018.4
sensor_0061,51.5074,-0.1278,14.2,68.5,1010.3
sensor_0062,51.5123,-0.1234,14.4,69.1,1010.5
sensor_0063,51.5034,-0.1312,14.0,68.0,1010.1
sensor_0064,51.5089,-0.1267,14.3,68.7,1010.4
sensor_0065,51.5056,-0.1289,14.1,68.3,1010.2
sensor_0066,51.5134,-0.1223,14.5,69.4,1010.6
sensor_0067,51.5023,-0.1323,13.9,67.8,1010.0
sensor_0068,51.5098,-0.1256,14.3,68.8,1010.4
sensor_0069,51.5067,-0.1298,14.2,68.4,1010.3
sensor_0070,51.5145,-0.1212,14.6,69.6,1010.7
sensor_0071,51.5012,-0.1334,13.8,67.5,1009.9
sensor_0072,51.5107,-0.1245,14.4,69.0,1010.5
sensor_0073,51.5078,-0.1287,14.2,68.6,1010.3
sensor_0074,51.5156,-0.1201,14.7,69.8,1010.8
sensor_0075,51.5001,-0.1345,13.7,67.3,1009.8
sensor_0076,51.5116,-0.1234,14.5,69.2,1010.6
sensor_0077,51.5089,-0.1276,14.3,68.7,1010.4
sensor_0078,51.5167,-0.1190,14.8,70.0,1010.9
sensor_0079,51.4990,-0.1356,13.6,67.1,1009.7
sensor_0080,51.5125,-0.1223,14.5,69.3,1010.6
sensor_0081,35.6762,139.6503,19.8,65.4,1012.8
sensor_0082,35.6823,139.6567,20.0,66.1,1013.0
sensor_0083,35.6701,139.6445,19.6,64.9,1012.6
sensor_0084,35.6789,139.6534,19.9,65.7,1012.9
sensor_0085,35.6734,139.6478,19.7,65.2,1012.7
sensor_0086,35.6845,139.6589,20.1,66.4,1013.1
sensor_0087,35.6678,139.6423,19.5,64.6,1012.5
sensor_0088,35.6801,139.6545,19.9,65.8,1012.9
sensor_0089,35.6756,139.6489,19.8,65.3,1012.8
sensor_0090,35.6867,139.6601,20.2,66.7,1013.2
sensor_0091,35.6656,139.6401,19.4,64.3,1012.4
sensor_0092,35.6812,139.6556,20.0,66.0,1013.0
sensor_0093,35.6778,139.6512,19.8,65.5,1012.8
sensor_0094,35.6889,139.6623,20.3,66.9,1013.3
sensor_0095,35.6634,139.6379,19.3,64.0,1012.3
sensor_0096,35.6823,139.6567,20.0,66.2,1013.0
sensor_0097,35.6745,139.6490,19.7,65.1,1012.7
sensor_0098,35.6901,139.6634,20.4,67.1,1013.4
sensor_0099,35.6612,139.6356,19.2,63.7,1012.2
sensor_0100,35.6834,139.6578,20.1,66.3,1013.1
sensor_0101,45.2445,12.3634,-120.5,62.8,1013.4
sensor_0102,45.2356,12.3501,18.6,63.0,1013.3
sensor_0103,45.2489,12.3689,18.9,64.3,1013.7
sensor_0104,45.2223,12.3378,18.2,61.4,1012.9
sensor_0105,45.2501,12.3745,19.1,64.9,1014.0
sensor_0106,45.2290,12.3456,18.5,62.2,1013.2
sensor_0107,45.2412,12.3612,18.8,63.7,1013.6
sensor_0108,45.2178,12.3334,18.1,61.0,1012.8
sensor_0109,45.2534,12.3767,19.3,65.3,1014.2
sensor_0110,45.2267,12.3423,18.4,61.9,1013.1
sensor_0111,32.7923,-96.7812,28.4,71.7,1015.6
sensor_0112,32.7756,-96.7945,28.1,70.9,1015.2
sensor_0113,32.7878,-96.7801,28.3,71.4,1015.5
sensor_0114,32.7801,-96.7889,28.2,71.2,1015.4
sensor_0115,32.7945,-96.7745,28.6,72.4,1015.8
sensor_0116,32.7689,-96.7978,27.9,70.5,1015.0
sensor_0117,32.7867,-96.7834,28.4,71.5,1015.5
sensor_0118,32.7812,-96.7867,28.3,71.1,1015.3
sensor_0119,32.7956,-96.7723,28.7,72.6,1015.9
sensor_0120,32.7678,-96.8012,27.8,70.3,1014.9
sensor_0121,-33.8689,151.2089,22.2,58.4,1018.3
sensor_0122,-33.8623,151.2045,21.9,57.9,1018.0
sensor_0123,-33.8712,151.2112,22.3,58.8,1018.4
sensor_0124,-33.8656,151.2067,22.0,58.2,1018.1
sensor_0125,-33.8745,151.2145,22.5,59.1,1018.6
sensor_0126,-33.8590,151.2023,21.8,57.6,1017.9
sensor_0127,-33.8701,151.2101,22.3,58.6,1018.4
sensor_0128,-33.8645,151.2078,22.1,58.3,1018.2
sensor_0129,-33.8734,151.2134,22.4,59.0,1018.5
sensor_0130,-33.8601,151.2012,21.9,57.7,1018.0
sensor_0131,51.5098,-0.1267,14.3,68.8,1010.4
sensor_0132,51.5045,-0.1301,14.1,68.2,1010.2
sensor_0133,51.5134,-0.1234,14.5,69.3,1010.6
sensor_0134,51.5067,-0.1289,14.2,68.5,1010.3
sensor_0135,51.5156,-0.1212,14.7,69.9,1010.8
sensor_0136,51.5012,-0.1323,13.9,67.6,1009.9
sensor_0137,51.5116,-0.1245,14.4,69.1,1010.5
sensor_0138,51.5089,-0.1278,14.3,68.7,1010.4
sensor_0139,51.5167,-0.1201,14.8,70.1,1010.9
sensor_0140,51.5001,-0.1334,13.8,67.4,1009.8
sensor_0141,35.6789,139.6523,19.9,65.6,1012.9
sensor_0142,35.6723,139.6467,19.7,65.0,1012.7
sensor_0143,35.6834,139.6578,20.1,66.3,1013.1
sensor_0144,35.6767,139.6501,19.8,65.4,1012.8
sensor_0145,35.6878,139.6612,20.2,66.8,1013.2
sensor_0146,35.6667,139.6412,19.5,64.5,1012.5
sensor_0147,35.6812,139.6556,20.0,66.1,1013.0
sensor_0148,35.6756,139.6490,19.8,65.3,1012.8
sensor_0149,35.6890,139.6623,20.3,67.0,1013.3
sensor_0150,35.6645,139.6390,19.4,64.2,1012.4
sensor_0151,45.2389,12.3556,18.7,63.2,1013.5
sensor_0152,45.2267,12.3434,18.5,62.3,1013.2
sensor_0153,45.2478,12.3689,18.9,64.4,1013.8
sensor_0154,45.2201,12.3367,18.2,61.5,1012.9
sensor_0155,45.2512,12.3734,19.2,65.0,1014.1
sensor_0156,45.2278,12.3445,18.4,62.0,1013.1
sensor_0157,95.3456,12.3578,18.8,63.6,1013.6
sensor_0158,45.2189,12.3323,18.1,61.1,1012.8
sensor_0159,45.2523,12.3756,19.3,65.4,1014.2
sensor_0160,45.2256,12.3412,18.5,62.1,1013.2
sensor_0161,32.7934,-96.7801,28.5,71.8,1015.7
sensor_0162,32.7767,-96.7934,28.1,70.8,1015.2
sensor_0163,32.7889,-96.7789,28.4,71.5,1015.6
sensor_0164,32.7812,-96.7878,28.3,71.2,1015.4
sensor_0165,32.7956,-96.7734,28.7,72.5,1015.9
sensor_0166,32.7678,-96.7989,27.9,70.4,1015.0
sensor_0167,32.7878,-96.7823,28.4,71.4,1015.5
sensor_0168,32.7801,-96.7856,28.2,71.0,1015.3
sensor_0169,32.7967,-96.7712,28.8,72.7,1016.0
sensor_0170,32.7667,-96.8001,27.8,70.2,1014.9
sensor_0171,-33.8701,151.2078,22.3,58.5,1018.4
sensor_0172,-33.8634,151.2034,22.0,58.0,1018.1
sensor_0173,-33.8723,151.2123,22.4,58.9,1018.5
sensor_0174,-33.8667,151.2089,22.1,58.4,1018.2
sensor_0175,-33.8756,151.2156,22.5,59.2,1018.6
sensor_0176,-33.8578,151.2001,21.8,57.4,1017.8
sensor_0177,-33.8690,151.2112,22.2,58.7,1018.3
sensor_0178,-33.8656,151.2067,22.0,58.2,1018.1
sensor_0179,-33.8745,151.2145,22.4,59.1,1018.5
sensor_0180,-33.8612,151.2023,21.9,57.8,1018.0
sensor_0181,51.5107,-0.1256,14.4,68.9,1010.5
sensor_0182,51.5056,-0.1289,14.2,68.3,1010.2
sensor_0183,51.5145,-0.1223,14.6,69.5,1010.7
sensor_0184,51.5078,-0.1267,14.3,68.6,1010.4
sensor_0185,51.5167,-0.1201,14.8,70.0,1010.9
sensor_0186,51.5023,-0.1312,14.0,67.7,1010.0
sensor_0187,51.5125,-0.1234,14.5,69.2,1010.6
sensor_0188,51.5089,-0.1278,14.3,68.7,1010.4
sensor_0189,51.5178,-0.1190,14.9,70.2,1011.0
sensor_0190,51.5012,-0.1323,13.9,67.5,1009.9
sensor_0191,35.6801,139.6545,19.9,65.8,1012.9
sensor_0192,35.6734,139.6478,19.7,65.1,1012.7
sensor_0193,35.6845,139.6589,20.1,66.4,1013.1
sensor_0194,35.6778,139.6512,19.8,65.5,1012.8
sensor_0195,35.6890,139.6634,20.3,66.9,1013.3
sensor_0196,35.6656,139.6401,19.4,64.3,1012.4
sensor_0197,35.6823,139.6567,20.0,66.2,1013.0
sensor_0198,35.6767,139.6501,19.8,65.4,1012.8
sensor_0199,35.6901,139.6645,20.4,67.2,1013.4
sensor_0200,35.6634,139.6379,19.3,64.0,1012.3
sensor_0201,45.2401,12.3567,18.8,63.3,1013.6
sensor_0202,45.2278,12.3423,18.5,62.2,1013.2
sensor_0203,45.2489,12.3701,19.0,64.5,1013.8
sensor_0204,45.2212,12.3356,18.2,61.4,1012.9
sensor_0205,45.2534,12.3745,19.2,65.1,1014.1
sensor_0206,45.2290,12.3434,18.4,62.0,1013.1
sensor_0207,45.2423,12.3589,18.8,63.7,1013.6
sensor_0208,45.2189,12.3334,18.1,61.1,1012.8
sensor_0209,45.2545,12.3767,19.3,65.5,1014.2
sensor_0210,45.2267,12.3412,18.4,61.9,1013.1
sensor_0211,32.7945,-96.7789,28.5,71.9,1015.7
sensor_0212,32.7778,-96.7923,28.1,70.7,1015.2
sensor_0213,32.7901,-96.7778,28.4,71.6,1015.6
sensor_0214,32.7823,-96.7867,28.3,71.3,1015.4
sensor_0215,32.7967,-96.7723,28.7,72.6,1015.9
sensor_0216,32.7689,-96.7978,27.9,70.5,1015.0
sensor_0217,32.7889,-96.7812,28.4,71.5,1015.5
sensor_0218,32.7812,-96.7845,28.2,71.1,1015.3
sensor_0219,32.7978,-96.7701,28.8,72.8,1016.0
sensor_0220,32.7656,-96.8012,27.7,70.1,1014.8
sensor_0221,-33.8712,151.2089,22.3,58.6,1018.4
sensor_0222,-33.8645,151.2045,22.0,58.1,1018.1
sensor_0223,-33.8734,151.2134,22.4,59.0,1018.5
sensor_0224,-33.8678,151.2078,22.1,58.4,1018.2
sensor_0225,-33.8767,151.2167,22.5,59.3,1018.6
sensor_0226,-33.8589,151.2012,21.8,57.5,1017.9
sensor_0227,-33.8701,151.2101,22.2,58.7,1018.3
sensor_0228,-33.8667,151.2056,22.0,58.3,1018.1
sensor_0229,-33.8756,151.2145,22.4,59.2,1018.5
sensor_0230,-33.8601,151.2023,21.9,57.7,1018.0
sensor_0231,51.5116,-0.1245,14.4,69.0,1010.5
sensor_0232,51.5067,-0.1278,14.2,68.4,1010.3
sensor_0233,51.5156,-0.1212,14.7,69.7,1010.8
sensor_0234,51.5089,-0.1256,14.3,68.7,1010.4
sensor_0235,51.5178,-0.1190,14.8,70.1,1010.9
sensor_0236,51.5034,-0.1301,14.0,67.8,1010.0
sensor_0237,51.5134,-0.1223,14.5,69.3,1010.6
sensor_0238,51.5098,-0.1267,14.3,68.8,1010.4
sensor_0239,51.5189,-0.1179,14.9,70.3,1011.0
sensor_0240,51.5023,-0.1312,13.9,67.6,1009.9
sensor_0241,35.6812,139.6556,20.0,66.0,1013.0
sensor_0242,35.6745,139.6489,19.7,65.2,1012.7
sensor_0243,35.6856,139.6601,20.2,66.5,1013.2
sensor_0244,35.6789,139.6523,19.9,65.6,1012.9
sensor_0245,35.6901,139.6645,20.4,67.1,1013.4
sensor_0246,35.6667,139.6412,19.5,64.4,1012.5
sensor_0247,35.6834,139.6578,20.1,66.3,1013.1
sensor_0248,35.6778,139.6512,19.8,65.5,1012.8
sensor_0249,35.6912,139.6656,20.5,67.3,1013.5
sensor_0250,35.6645,139.6390,19.4,64.1,1012.4
sensor_0251,45.2412,12.3578,18.8,63.4,1013.6
sensor_0252,45.2289,12.3434,18.4,62.1,1013.1
sensor_0253,45.2501,12.3712,19.1,64.6,1013.9
sensor_0254,45.2223,12.3367,18.2,61.5,1012.9
sensor_0255,45.2556,12.3756,19.3,65.2,1014.2
sensor_0256,45.2301,12.3445,18.5,62.0,1013.2
sensor_0257,45.2434,12.3601,18.9,63.8,1013.7
sensor_0258,45.2178,12.3323,18.1,61.0,1012.8
sensor_0259,45.2567,12.3778,19.4,65.6,1014.3
sensor_0260,45.2278,12.3423,18.5,62.2,1013.2
sensor_0261,32.7956,-96.7778,28.6,72.0,1015.8
sensor_0262,32.7789,-96.7912,28.1,70.8,1015.2
sensor_0263,32.7912,-96.7767,28.5,71.7,1015.6
sensor_0264,32.7834,-96.7856,28.3,71.4,1015.4
sensor_0265,32.7978,-96.7712,28.8,72.7,1016.0
sensor_0266,32.7701,-96.7967,28.0,70.6,1015.1
sensor_0267,32.7901,-96.7801,28.4,71.6,1015.5
sensor_0268,32.7823,-96.7834,28.2,71.2,1015.3
sensor_0269,32.7989,-96.7690,28.9,72.9,1016.1
sensor_0270,32.7667,-96.8001,27.8,70.2,1014.9
sensor_0271,-33.8723,151.2101,22.4,58.7,1018.5
sensor_0272,-33.8656,151.2056,22.1,58.2,1018.2
sensor_0273,-33.8745,151.2145,22.5,59.1,1018.6
sensor_0274,-33.8689,151.2089,22.2,58.5,1018.3
sensor_0275,-33.8778,151.2178,22.6,59.4,1018.7
sensor_0276,-33.8601,151.2023,21.9,57.6,1018.0
sensor_0277,-33.8712,151.2112,22.3,58.8,1018.4
sensor_0278,-33.8678,151.2067,22.1,58.4,1018.2
sensor_0279,-33.8767,151.2156,22.5,59.3,1018.6
sensor_0280,-33.8612,151.2034,22.0,57.9,1018.1
sensor_0281,51.5125,-0.1234,14.5,69.1,1010.6
sensor_0282,51.5078,-0.1267,14.3,68.5,1010.3
sensor_0283,51.5167,-0.1201,14.8,69.8,1010.9
sensor_0284,51.5098,-0.1256,14.4,68.8,1010.5
sensor_0285,51.5189,-0.1179,14.9,70.2,1011.0
sensor_0286,51.5045,-0.1290,14.1,68.0,1010.1
sensor_0287,51.5145,-0.1212,14.6,69.4,1010.7
sensor_0288,51.5107,-0.1245,14.4,68.9,1010.5
sensor_0289,51.5201,-0.1168,15.0,70.4,1011.1
sensor_0290,51.5034,-0.1301,14.0,67.8,1010.0
sensor_0291,35.6823,139.6567,20.0,66.1,1013.0
sensor_0292,35.6756,139.6501,19.8,65.3,1012.8
sensor_0293,35.6867,139.6612,20.2,66.6,1013.2
sensor_0294,35.6801,139.6534,19.9,65.7,1012.9
sensor_0295,35.6912,139.6656,20.4,67.2,1013.4
sensor_0296,35.6678,139.6423,19.5,64.5,1012.5
sensor_0297,35.6845,139.6589,20.1,66.4,1013.1
sensor_0298,35.6789,139.6523,19.9,65.6,1012.9
sensor_0299,35.6923,139.6667,20.5,67.4,1013.5
sensor_0300,35.6656,139.6401,19.4,64.2,1012.4
sensor_0301,-23.5505,-46.6333,25.7,76.3,1016.8
sensor_0302,-23.5567,-46.6278,25.9,77.0,1017.0
sensor_0303,-23.5445,-46.6389,25.5,75.8,1016.6
sensor_0304,-23.5534,-46.6312,25.8,76.6,1016.9
sensor_0305,-23.5478,-46.6356,25.6,76.1,1016.7
sensor_0306,-23.5589,-46.6256,26.0,77.3,1017.1
sensor_0307,-23.5423,-46.6412,25.4,75.5,1016.5
sensor_0308,-23.5556,-46.6289,25.9,76.7,1017.0
sensor_0309,-23.5489,-46.6345,25.7,76.2,1016.8
sensor_0310,-23.5601,-46.6234,26.1,77.5,1017.2
sensor_0311,-23.5412,-46.6423,25.3,75.3,1016.4
sensor_0312,-23.5578,-46.6267,26.0,77.1,1017.1
sensor_0313,-23.5501,-46.6334,25.7,76.4,1016.8
sensor_0314,-23.5612,-46.6223,26.2,77.7,1017.3
sensor_0315,-23.5401,-46.6434,25.2,75.1,1016.3
sensor_0316,-23.5590,-46.6245,26.0,77.2,1017.1
sensor_0317,-23.5467,-46.6367,25.6,76.0,1016.7
sensor_0318,-23.5623,-46.6212,26.3,77.9,1017.4
sensor_0319,-23.5390,-46.6445,25.1,74.9,1016.2
sensor_0320,-23.5601,-46.6234,26.1,77.4,1017.2
sensor_0321,40.7128,-74.0060,20.4,59.7,1014.5
sensor_0322,40.7189,-74.0012,20.6,60.3,1014.7
sensor_0323,40.7067,-74.0108,20.2,59.2,1014.3
sensor_0324,40.7156,-74.0034,20.5,59.9,1014.6
sensor_0325,40.7098,-74.0089,20.3,59.5,1014.4
sensor_0326,40.7201,-73.9989,20.7,60.6,1014.8
sensor_0327,40.7045,-74.0131,20.1,58.9,1014.2
sensor_0328,40.7167,-74.0023,20.5,60.0,1014.6
sensor_0329,40.7109,-74.0078,20.4,59.6,1014.5
sensor_0330,40.7212,-73.9978,20.8,60.8,1014.9
sensor_0331,40.7034,-74.0142,20.0,58.7,1014.1
sensor_0332,40.7178,-74.0011,20.6,60.2,1014.7
sensor_0333,40.7121,-74.0067,20.4,59.7,1014.5
sensor_0334,40.7223,-73.9967,20.9,61.0,1015.0
sensor_0335,40.7023,-74.0153,19.9,58.5,1014.0
sensor_0336,40.7189,-74.0000,20.7,60.4,1014.8
sensor_0337,40.7098,-74.0089,20.3,59.4,1014.4
sensor_0338,40.7234,-73.9956,21.0,61.2,1015.1
sensor_0339,40.7012,-74.0164,19.8,58.3,1013.9
sensor_0340,40.7201,-73.9989,20.7,60.5,1014.8
sensor_0341,55.7558,37.6173,12.8,72.5,1009.7
sensor_0342,55.7623,37.6234,13.0,73.1,1009.9
sensor_0343,55.7498,37.6112,12.6,71.9,1009.5
sensor_0344,55.7589,37.6201,12.9,72.7,1009.8
sensor_0345,55.7534,37.6145,12.7,72.3,1009.6
sensor_0346,55.7645,37.6256,13.1,73.4,1010.0
sensor_0347,55.7478,37.6090,12.5,71.6,1009.4
sensor_0348,55.7601,37.6189,12.9,72.8,1009.8
sensor_0349,55.7556,37.6167,12.8,72.4,1009.7
sensor_0350,55.7667,37.6278,13.2,73.7,1010.1
sensor_0351,55.7456,37.6078,12.4,71.4,1009.3
sensor_0352,55.7612,37.6178,13.0,73.0,1009.9
sensor_0353,55.7578,37.6156,12.9,72.6,1009.8
sensor_0354,55.7689,37.6289,13.3,73.9,1010.2
sensor_0355,55.7445,37.6067,12.3,71.2,1009.2
sensor_0356,55.7623,37.6167,13.0,73.2,1009.9
sensor_0357,55.7545,37.6134,12.7,72.2,1009.6
sensor_0358,55.7701,37.6301,13.4,74.1,1010.3
sensor_0359,55.7434,37.6056,12.2,71.0,1009.1
sensor_0360,55.7634,37.6156,13.1,73.3,1010.0
sensor_0361,45.2423,12.3589,18.8,63.5,1013.6
sensor_0362,45.2301,12.3445,18.5,62.1,1013.2
sensor_0363,45.2512,12.3723,19.1,64.7,1013.9
sensor_0364,45.2234,12.3378,18.3,61.6,1013.0
sensor_0365,45.2578,12.3767,19.4,65.3,1014.3
sensor_0366,45.2312,12.3456,18.6,62.2,1013.3
sensor_0367,45.2445,12.3612,18.9,63.9,1013.7
sensor_0368,45.2189,12.3334,18.2,61.2,1012.9
sensor_0369,45.2589,12.3789,19.5,65.7,1014.4
sensor_0370,45.2289,12.3434,18.5,62.3,1013.2
sensor_0371,32.7967,-96.7767,28.7,72.1,1015.9
sensor_0372,32.7801,-96.7901,28.2,70.9,1015.3
sensor_0373,32.7923,-96.7756,28.5,71.8,1015.7
sensor_0374,32.7845,-96.7845,28.3,71.5,1015.5
sensor_0375,32.7989,-96.7701,28.9,72.8,1016.1
sensor_0376,32.7712,-96.7956,28.0,70.7,1015.1
sensor_0377,32.7912,-96.7790,28.5,71.7,1015.6
sensor_0378,32.7834,-96.7823,28.3,71.3,1015.4
sensor_0379,32.8001,-96.7678,29.0,73.0,1016.2
sensor_0380,32.7678,-96.7990,27.9,70.3,1015.0
sensor_0381,-33.8734,151.2112,22.4,58.8,1018.5
sensor_0382,-33.8667,151.2067,22.1,58.3,1018.2
sensor_0383,-33.8756,151.2156,22.5,59.2,1018.6
sensor_0384,-33.8701,151.2089,22.2,58.6,1018.3
sensor_0385,-33.8789,151.2189,22.6,59.5,1018.7
sensor_0386,-33.8612,151.2034,22.0,57.9,1018.1
sensor_0387,-33.8723,151.2123,22.4,58.9,1018.5
sensor_0388,-33.8689,151.2078,22.2,58.5,1018.3
sensor_0389,-33.8778,151.2167,22.6,59.4,1018.7
sensor_0390,-33.8623,151.2045,22.0,58.0,1018.1
sensor_0391,51.5134,-0.1223,14.5,69.2,1010.6
sensor_0392,51.5089,-0.1256,14.3,68.6,1010.4
sensor_0393,51.5178,-0.1190,14.8,69.9,1010.9
sensor_0394,51.5107,-0.1245,14.4,68.9,1010.5
sensor_0395,51.5201,-0.1168,15.0,70.3,1011.1
sensor_0396,51.5056,-0.1278,14.2,68.2,1010.2
sensor_0397,51.5156,-0.1201,14.7,69.5,1010.8
sensor_0398,51.5116,-0.1234,14.5,69.0,1010.6
sensor_0399,51.5212,-0.1157,15.1,70.5,1011.2
sensor_0400,51.5045,-0.1289,14.1,68.0,1010.1
sensor_0401,35.6834,139.6578,20.1,66.2,1013.1
sensor_0402,35.6767,139.6512,19.8,65.4,1012.8
sensor_0403,35.6878,139.6623,20.3,66.7,1013.3
sensor_0404,35.6812,139.6545,20.0,65.8,1013.0
sensor_0405,35.6923,139.6667,20.5,67.3,1013.5
sensor_0406,35.6689,139.6434,19.6,64.6,1012.6
sensor_0407,35.6856,139.6601,20.2,66.5,1013.2
sensor_0408,35.6801,139.6534,19.9,65.7,1012.9
sensor_0409,35.6934,139.6678,20.6,67.5,1013.6
sensor_0410,35.6667,139.6412,19.5,64.3,1012.5
sensor_0411,-23.5578,-46.6267,26.0,77.0,1017.1
sensor_0412,-23.5512,-46.6323,25.8,76.5,1016.9
sensor_0413,-23.5623,-46.6223,26.2,77.6,1017.3
sensor_0414,-23.5556,-46.6289,25.9,76.8,1017.0
sensor_0415,-23.5645,-46.6201,26.3,77.8,1017.4
sensor_0416,-23.5456,-46.6378,25.6,76.0,1016.7
sensor_0417,-23.5601,-46.6245,26.1,77.3,1017.2
sensor_0418,-23.5534,-46.6312,25.8,76.7,1016.9
sensor_0419,-23.5667,-46.6189,26.4,78.0,1017.5
sensor_0420,-23.5445,-46.6389,25.5,75.8,1016.6
sensor_0421,40.7189,-74.0011,20.6,60.2,1014.7
sensor_0422,40.7121,-74.0067,20.4,59.6,1014.5
sensor_0423,40.7223,-73.9967,20.9,60.9,1015.0
sensor_0424,40.7167,-74.0023,20.6,60.0,1014.6
sensor_0425,40.7245,-73.9956,21.0,61.3,1015.1
sensor_0426,40.7067,-74.0108,20.2,59.1,1014.3
sensor_0427,40.7201,-73.9989,20.8,60.6,1014.8
sensor_0428,40.7156,-74.0034,20.5,59.9,1014.6
sensor_0429,40.7256,-73.9945,21.1,61.5,1015.2
sensor_0430,40.7056,-74.0119,20.1,58.9,1014.2
sensor_0431,55.7623,37.6189,13.0,73.0,1009.9
sensor_0432,55.7556,37.6145,12.8,72.4,1009.7
sensor_0433,55.7667,37.6267,13.2,73.6,1010.1
sensor_0434,55.7601,37.6178,12.9,72.8,1009.8
sensor_0435,55.7689,37.6289,13.3,73.9,1010.2
sensor_0436,55.7489,-185.2345,12.6,72.0,1009.5
sensor_0437,55.7645,37.6256,13.1,73.4,1010.0
sensor_0438,55.7578,37.6167,12.9,72.6,1009.8
sensor_0439,55.7701,37.6301,13.4,74.1,1010.3
sensor_0440,55.7467,37.6089,12.5,71.7,1009.4
sensor_0441,45.2434,12.3601,18.9,63.6,1013.7
sensor_0442,45.2312,12.3456,18.6,62.3,1013.3
sensor_0443,45.2523,12.3734,19.2,64.8,1014.0
sensor_0444,45.2245,12.3389,18.3,61.7,1013.0
sensor_0445,45.2601,12.3778,19.5,65.4,1014.4
sensor_0446,45.2323,12.3467,18.6,62.4,1013.3
sensor_0447,45.2456,12.3623,18.9,64.0,1013.7
sensor_0448,45.2201,12.3345,18.2,61.3,1012.9
sensor_0449,45.2612,12.3801,19.6,65.8,1014.5
sensor_0450,45.2301,12.3445,18.5,62.4,1013.2
sensor_0451,32.7978,-96.7756,28.8,72.2,1016.0
sensor_0452,32.7812,-96.7890,28.2,71.0,1015.3
sensor_0453,32.7934,-96.7745,28.6,71.9,1015.8
sensor_0454,32.7856,-96.7834,28.3,71.6,1015.5
