ds,y
2021-05-04,12890.45
2021-05-05,11456.78
2021-05-06,10234.56
2021-05-07,9678.90
2021-05-08,9123.45
2021-05-09,12456.78
2021-05-10,13234.56
2021-05-11,12678.90
2021-05-12,11456.78
2021-05-13,10234.56
2021-05-14,9678.90
2021-05-15,9123.45
2021-05-16,12345.67
2021-05-17,13456.78
2021-05-18,12890.45
2021-05-19,11678.90
2021-05-20,10456.78
2021-05-21,9876.54
2021-05-22,9234.56
2021-05-23,12678.90
2021-05-24,13567.89
2021-05-25,12890.45
2021-05-26,11456.78
2021-05-27,10234.56
2021-05-28,9678.90
2021-05-29,9123.45
2021-05-30,12456.78
2021-05-31,19234.56
2021-06-01,13567.89
2021-06-02,12890.45
2021-06-03,11456.78
2021-06-04,10234.56
2021-06-05,9678.90
2021-06-06,9123.45
2021-06-07,12456.78
2021-06-08,13234.56
2021-06-09,12678.90
2021-06-10,11456.78
2021-06-11,10234.56
2021-06-12,9678.90
2021-06-13,9123.45
2021-06-14,12345.67
2021-06-15,13456.78
2021-06-16,12890.45
2021-06-17,11678.90
2021-06-18,10456.78
2021-06-19,9876.54
2021-06-20,9234.56
2021-06-21,12678.90
2021-06-22,13567.89
2021-06-23,12890.45
2021-06-24,11456.78
2021-06-25,10234.56
2021-06-26,9678.90
2021-06-27,9123.45
2021-06-28,12456.78
2021-06-29,13234.56
2021-06-30,12678.90
2021-07-01,11456.78
2021-07-02,10234.56
2021-07-03,15678.90
2021-07-04,22123.45
2021-07-05,16345.67
2021-07-06,13567.89
2021-07-07,12890.45
2021-07-08,11456.78
2021-07-09,10234.56
2021-07-10,9678.90
2021-07-11,12456.78
2021-07-12,13234.56
2021-07-13,12678.90
2021-07-14,11456.78
2021-07-15,10234.56
2021-07-16,9678.90
2021-07-17,9123.45
2021-07-18,12345.67
2021-07-19,13456.78
2021-07-20,12890.45
2021-07-21,11678.90
2021-07-22,10456.78
2021-07-23,9876.54
2021-07-24,9234.56
2021-07-25,12678.90
2021-07-26,13567.89
2021-07-27,12890.45
2021-07-28,11456.78
2021-07-29,10234.56
2021-07-30,9678.90
2021-07-31,9123.45
2021-08-01,12456.78
2021-08-02,13234.56
2021-08-03,12678.90
2021-08-04,11456.78
2021-08-05,10234.56
2021-08-06,9678.90
2021-08-07,9123.45
2021-08-08,12345.67
2021-08-09,13456.78
2021-08-10,12890.45
2021-08-11,11678.90
2021-08-12,10456.78
2021-08-13,9876.54
2021-08-14,9234.56
2021-08-15,12678.90
2021-08-16,13567.89
2021-08-17,12890.45
2021-08-18,11456.78
2021-08-19,10234.56
2021-08-20,9678.90
2021-08-21,9123.45
2021-08-22,12456.78
2021-08-23,13234.56
2021-08-24,12678.90
2021-08-25,11456.78
2021-08-26,10234.56
2021-08-27,9678.90
2021-08-28,9123.45
2021-08-29,12345.67
2021-08-30,13456.78
2021-08-31,12890.45
2021-09-01,11678.90
2021-09-02,10456.78
2021-09-03,9876.54
2021-09-04,9234.56
2021-09-05,12678.90
2021-09-06,19567.89
2021-09-07,13890.45
2021-09-08,11456.78
2021-09-09,10234.56
2021-09-10,9678.90
2021-09-11,9123.45
2021-09-12,12456.78
2021-09-13,13234.56
2021-09-14,12678.90
2021-09-15,11456.78
2021-09-16,10234.56
2021-09-17,9678.90
2021-09-18,9123.45
2021-09-19,12345.67
2021-09-20,13456.78
2021-09-21,12890.45
2021-09-22,11678.90
2021-09-23,10456.78
2021-09-24,9876.54
2021-09-25,9234.56
2021-09-26,12678.90
2021-09-27,13567.89
2021-09-28,12890.45
2021-09-29,11456.78
2021-09-30,10234.56
2021-10-01,13678.90
2021-10-02,14123.45
2021-10-03,13345.67
2021-10-04,14456.78
2021-10-05,13890.45
2021-10-06,12678.90
2021-10-07,11456.78
2021-10-08,13234.56
2021-10-09,14678.90
2021-10-10,13123.45
2021-10-11,14345.67
2021-10-12,13456.78
2021-10-13,12890.45
2021-10-14,11678.90
2021-10-15,13456.78
2021-10-16,14876.54
2021-10-17,13234.56
2021-10-18,14678.90
2021-10-19,13567.89
2021-10-20,12890.45
2021-10-21,11456.78
2021-10-22,13234.56
2021-10-23,14678.90
2021-10-24,13123.45
2021-10-25,14456.78
2021-10-26,13234.56
2021-10-27,12678.90
2021-10-28,11456.78
2021-10-29,13234.56
2021-10-30,14678.90
2021-10-31,17123.45
2021-11-01,14456.78
2021-11-02,13234.56
2021-11-03,12678.90
2021-11-04,11456.78
2021-11-05,13234.56
2021-11-06,14678.90
2021-11-07,13123.45
2021-11-08,14345.67
2021-11-09,13456.78
2021-11-10,12890.45
2021-11-11,16678.90
2021-11-12,13456.78
2021-11-13,14876.54
2021-11-14,13234.56
2021-11-15,14678.90
2021-11-16,13567.89
2021-11-17,12890.45
2021-11-18,11456.78
2021-11-19,13234.56
2021-11-20,14678.90
2021-11-21,13123.45
2021-11-22,14456.78
2021-11-23,15234.56
2021-11-24,16678.90
2021-11-25,21456.78
2021-11-26,24234.56
2021-11-27,18678.90
2021-11-28,15123.45
2021-11-29,14345.67
2021-11-30,13456.78
2021-12-01,14890.45
2021-12-02,15678.90
2021-12-03,14456.78
2021-12-04,15876.54
2021-12-05,14234.56
2021-12-06,15678.90
2021-12-07,14567.89
2021-12-08,15890.45
2021-12-09,14456.78
2021-12-10,15234.56
2021-12-11,16678.90
2021-12-12,15123.45
2021-12-13,16456.78
2021-12-14,15234.56
2021-12-15,16678.90
2021-12-16,15456.78
2021-12-17,16234.56
2021-12-18,17678.90
2021-12-19,16123.45
2021-12-20,17345.67
2021-12-21,16456.78
2021-12-22,17890.45
2021-12-23,18678.90
2021-12-24,20456.78
2021-12-25,24567.89
2021-12-26,19234.56
2021-12-27,17678.90
2021-12-28,16567.89
2021-12-29,15890.45
2021-12-30,16456.78
2021-12-31,20234.56
2022-01-01,19234.56
2022-01-02,13456.78
2022-01-03,12234.90
2022-01-04,13567.45
2022-01-05,14890.23
2022-01-06,15234.67
2022-01-07,14456.89
2022-01-08,13678.34
2022-01-09,12234.56
2022-01-10,11987.65
2022-01-11,14456.78
2022-01-12,15567.89
2022-01-13,14890.12
2022-01-14,13345.67
2022-01-15,12678.90
2022-01-16,11456.78
2022-01-17,10876.54
2022-01-18,14234.56
2022-01-19,15567.89
2022-01-20,14890.45
2022-01-21,13678.90
2022-01-22,12456.78
2022-01-23,11234.56
2022-01-24,10987.65
2022-01-25,14456.78
2022-01-26,15234.56
2022-01-27,14567.89
2022-01-28,13890.34
2022-01-29,12678.90
2022-01-30,11456.78
2022-01-31,10876.54
2022-02-01,13345.67
2022-02-02,14456.78
2022-02-03,13890.45
2022-02-04,12678.90
2022-02-05,11456.78
2022-02-06,10876.54
2022-02-07,10234.56
2022-02-08,13678.90
2022-02-09,14567.89
2022-02-10,13890.45
2022-02-11,12456.78
2022-02-12,11234.56
2022-02-13,10678.90
2022-02-14,17789.45
2022-02-15,14456.78
2022-02-16,13890.45
2022-02-17,12678.90
2022-02-18,11456.78
2022-02-19,10876.54
2022-02-20,10234.56
2022-02-21,13456.78
2022-02-22,14234.56
2022-02-23,13678.90
2022-02-24,12456.78
2022-02-25,11234.56
2022-02-26,10678.90
2022-02-27,10123.45
2022-02-28,13345.67
2022-03-01,14456.78
2022-03-02,13890.45
2022-03-03,12678.90
2022-03-04,11456.78
2022-03-05,10876.54
2022-03-06,10234.56
2022-03-07,13678.90
2022-03-08,14567.89
2022-03-09,13890.45
2022-03-10,12456.78
2022-03-11,11234.56
2022-03-12,10678.90
2022-03-13,10123.45
2022-03-14,13456.78
2022-03-15,14234.56
2022-03-16,13678.90
2022-03-17,15567.89
2022-03-18,11456.78
2022-03-19,10876.54
2022-03-20,10234.56
2022-03-21,13678.90
2022-03-22,14567.89
2022-03-23,13890.45
2022-03-24,12456.78
2022-03-25,11234.56
2022-03-26,10678.90
2022-03-27,10123.45
2022-03-28,13456.78
2022-03-29,14234.56
2022-03-30,13678.90
2022-03-31,12456.78
2022-04-01,11234.56
2022-04-02,10678.90
2022-04-03,10123.45
2022-04-04,13345.67
2022-04-05,14456.78
2022-04-06,13890.45
2022-04-07,12678.90
2022-04-08,11456.78
2022-04-09,10876.54
2022-04-10,10234.56
2022-04-11,13678.90
2022-04-12,14567.89
2022-04-13,13890.45
2022-04-14,12456.78
2022-04-15,14234.56
2022-04-16,10678.90
2022-04-17,10123.45
2022-04-18,13456.78
2022-04-19,14234.56
2022-04-20,13678.90
2022-04-21,12456.78
2022-04-22,11234.56
2022-04-23,10678.90
2022-04-24,10123.45
2022-04-25,13345.67
2022-04-26,14456.78
2022-04-27,13890.45
2022-04-28,12678.90
2022-04-29,11456.78
2022-04-30,10876.54
2022-05-01,10234.56
2022-05-02,13678.90
2022-05-03,14567.89
2022-05-04,13890.45
2022-05-05,12456.78
2022-05-06,11234.56
2022-05-07,10678.90
2022-05-08,10123.45
2022-05-09,13456.78
2022-05-10,14234.56
2022-05-11,13678.90
2022-05-12,12456.78
2022-05-13,11234.56
2022-05-14,10678.90
2022-05-15,10123.45
2022-05-16,13345.67
2022-05-17,14456.78
2022-05-18,13890.45
2022-05-19,12678.90
2022-05-20,11456.78
2022-05-21,10876.54
2022-05-22,10234.56
2022-05-23,13678.90
2022-05-24,14567.89
2022-05-25,13890.45
2022-05-26,12456.78
2022-05-27,11234.56
2022-05-28,10678.90
2022-05-29,10123.45
2022-05-30,20456.78
2022-05-31,14567.89
2022-06-01,13890.45
2022-06-02,12456.78
2022-06-03,11234.56
2022-06-04,10678.90
2022-06-05,10123.45
2022-06-06,13456.78
2022-06-07,14234.56
2022-06-08,13678.90
2022-06-09,12456.78
2022-06-10,11234.56
2022-06-11,10678.90
2022-06-12,10123.45
2022-06-13,13345.67
2022-06-14,14456.78
2022-06-15,13890.45
2022-06-16,12678.90
2022-06-17,11456.78
2022-06-18,10876.54
2022-06-19,10234.56
2022-06-20,13678.90
2022-06-21,14567.89
2022-06-22,13890.45
2022-06-23,12456.78
2022-06-24,11234.56
2022-06-25,10678.90
2022-06-26,10123.45
2022-06-27,13456.78
2022-06-28,14234.56
2022-06-29,13678.90
2022-06-30,12456.78
2022-07-01,11234.56
2022-07-02,15678.90
2022-07-03,16123.45
2022-07-04,23345.67
2022-07-05,17456.78
2022-07-06,13890.45
2022-07-07,12678.90
2022-07-08,11456.78
2022-07-09,10876.54
2022-07-10,10234.56
2022-07-11,13678.90
2022-07-12,14567.89
2022-07-13,13890.45
2022-07-14,12456.78
2022-07-15,11234.56
2022-07-16,10678.90
2022-07-17,10123.45
2022-07-18,13345.67
2022-07-19,14456.78
2022-07-20,13890.45
2022-07-21,12678.90
2022-07-22,11456.78
2022-07-23,10876.54
2022-07-24,10234.56
2022-07-25,13678.90
2022-07-26,14567.89
2022-07-27,13890.45
2022-07-28,12456.78
2022-07-29,11234.56
2022-07-30,10678.90
2022-07-31,10123.45
2022-08-01,13456.78
2022-08-02,14234.56
2022-08-03,13678.90
2022-08-04,12456.78
2022-08-05,11234.56
2022-08-06,10678.90
2022-08-07,10123.45
2022-08-08,13345.67
2022-08-09,14456.78
2022-08-10,13890.45
2022-08-11,12678.90
2022-08-12,11456.78
2022-08-13,10876.54
2022-08-14,10234.56
2022-08-15,13678.90
2022-08-16,14567.89
2022-08-17,13890.45
2022-08-18,12456.78
2022-08-19,11234.56
2022-08-20,10678.90
2022-08-21,10123.45
2022-08-22,13456.78
2022-08-23,14234.56
2022-08-24,13678.90
2022-08-25,12456.78
2022-08-26,11234.56
2022-08-27,10678.90
2022-08-28,10123.45
2022-08-29,13345.67
2022-08-30,14456.78
2022-08-31,13890.45
2022-09-01,12678.90
2022-09-02,11456.78
2022-09-03,10876.54
2022-09-04,10234.56
2022-09-05,20678.90
2022-09-06,14567.89
2022-09-07,13890.45
2022-09-08,12456.78
2022-09-09,11234.56
2022-09-10,10678.90
2022-09-11,10123.45
2022-09-12,13456.78
2022-09-13,14234.56
2022-09-14,13678.90
2022-09-15,12456.78
2022-09-16,11234.56
2022-09-17,10678.90
2022-09-18,10123.45
2022-09-19,13345.67
2022-09-20,14456.78
2022-09-21,13890.45
2022-09-22,12678.90
2022-09-23,11456.78
2022-09-24,10876.54
2022-09-25,10234.56
2022-09-26,13678.90
2022-09-27,14567.89
2022-09-28,13890.45
2022-09-29,12456.78
2022-09-30,11234.56
2022-10-01,14678.90
2022-10-02,15123.45
2022-10-03,14345.67
2022-10-04,15456.78
2022-10-05,14890.45
2022-10-06,13678.90
2022-10-07,12456.78
2022-10-08,14234.56
2022-10-09,15678.90
2022-10-10,14123.45
2022-10-11,15345.67
2022-10-12,14456.78
2022-10-13,13890.45
2022-10-14,12678.90
2022-10-15,14456.78
2022-10-16,15876.54
2022-10-17,14234.56
2022-10-18,15678.90
2022-10-19,14567.89
2022-10-20,13890.45
2022-10-21,12456.78
2022-10-22,14234.56
2022-10-23,15678.90
2022-10-24,14123.45
2022-10-25,15456.78
2022-10-26,14234.56
2022-10-27,13678.90
2022-10-28,12456.78
2022-10-29,14234.56
2022-10-30,15678.90
2022-10-31,18123.45
2022-11-01,15456.78
2022-11-02,14234.56
2022-11-03,13678.90
2022-11-04,12456.78
2022-11-05,14234.56
2022-11-06,15678.90
2022-11-07,14123.45
2022-11-08,15345.67
2022-11-09,14456.78
2022-11-10,13890.45
2022-11-11,17678.90
2022-11-12,14456.78
2022-11-13,15876.54
2022-11-14,14234.56
2022-11-15,15678.90
2022-11-16,14567.89
2022-11-17,13890.45
2022-11-18,12456.78
2022-11-19,14234.56
2022-11-20,15678.90
2022-11-21,14123.45
2022-11-22,15456.78
2022-11-23,16234.56
2022-11-24,22456.78
2022-11-25,25678.90
2022-11-26,19123.45
2022-11-27,16345.67
2022-11-28,15456.78
2022-11-29,14890.45
2022-11-30,14678.90
2022-12-01,15890.45
2022-12-02,16678.90
2022-12-03,15456.78
2022-12-04,16876.54
2022-12-05,15234.56
2022-12-06,16678.90
2022-12-07,15567.89
2022-12-08,16890.45
2022-12-09,15456.78
2022-12-10,16234.56
2022-12-11,17678.90
2022-12-12,16123.45
2022-12-13,17456.78
2022-12-14,16234.56
2022-12-15,17678.90
2022-12-16,16456.78
2022-12-17,17234.56
2022-12-18,18678.90
2022-12-19,17123.45
2022-12-20,18345.67
2022-12-21,17456.78
2022-12-22,18890.45
2022-12-23,19678.90
2022-12-24,21456.78
2022-12-25,25567.89
2022-12-26,20234.56
2022-12-27,18678.90
2022-12-28,17567.89
2022-12-29,16890.45
2022-12-30,17456.78
2022-12-31,21234.56
