sale_id,date,product_name,category,quantity,unit_price,total_amount,region,sales_rep
1032,2024-03-13,Wireless Mouse,Accessories,40,29.99,1199.60,South,Jane Doe
1033,2024-03-15,USB-C Hub,Peripherals,17,49.99,849.83,East,Mike Johnson
1034,2024-03-17,Monitor 27",Electronics,6,399.99,2399.94,West,Sarah Williams
1035,2024-03-19,Keyboard Mechanical,Peripherals,13,89.99,1169.87,Central,Tom Brown
1036,2024-03-21,Webcam HD,Electronics,26,79.99,2079.74,North,Emily Davis
1037,2024-03-23,Headset Bluetooth,Accessories,31,59.99,1859.69,South,John Smith
1038,2024-03-25,Docking Station,Peripherals,8,149.99,1199.92,East,Jane Doe
1039,2024-03-27,SSD 1TB,Storage,19,129.99,2469.81,West,Mike Johnson
1040,2024-03-29,RAM 16GB,Components,27,79.99,2159.73,Central,Sarah Williams
1041,2024-01-06,Monitor 27",Electronics,2,399.99,799.98,North,Tom Brown
1042,2024-01-08,Keyboard Mechanical,Peripherals,10,89.99,899.90,South,Emily Davis
1043,2024-01-11,Webcam HD,Electronics,18,79.99,1439.82,East,John Smith
1044,2024-01-13,Headset Bluetooth,Accessories,22,59.99,1319.78,West,Jane Doe
1045,2024-01-16,Docking Station,Peripherals,4,149.99,599.96,Central,Mike Johnson
1046,2024-01-19,SSD 1TB,Storage,12,129.99,1559.88,North,Sarah Williams
1047,2024-01-21,RAM 16GB,Components,16,79.99,1279.84,South,Tom Brown
1048,2024-01-23,Laptop Pro 15,Electronics,1,1299.99,1299.99,East,Emily Davis
1049,2024-01-26,Wireless Mouse,Accessories,28,29.99,839.72,West,John Smith
1050,2024-01-29,USB-C Hub,Peripherals,9,49.99,449.91,Central,Jane Doe
1051,2024-01-31,Monitor 27",Electronics,3,399.99,1199.97,North,Mike Johnson
1052,2024-02-02,Keyboard Mechanical,Peripherals,11,89.99,989.89,South,Sarah Williams
1053,2024-02-04,Webcam HD,Electronics,19,79.99,1519.81,East,Tom Brown
1054,2024-02-06,Headset Bluetooth,Accessories,24,59.99,1439.76,West,Emily Davis
1055,2024-02-08,Docking Station,Peripherals,5,149.99,749.95,Central,John Smith
1056,2024-02-11,SSD 1TB,Storage,14,129.99,1819.86,North,Jane Doe
1057,2024-02-13,RAM 16GB,Components,20,79.99,1599.80,South,Mike Johnson
1058,2024-02-15,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Sarah Williams
1059,2024-02-17,Wireless Mouse,Accessories,32,29.99,959.68,West,Tom Brown
1060,2024-02-19,USB-C Hub,Peripherals,13,49.99,649.87,Central,Emily Davis
1061,2024-02-21,Monitor 27",Electronics,4,399.99,1599.96,North,John Smith
1062,2024-02-23,Keyboard Mechanical,Peripherals,15,89.99,1349.85,South,Jane Doe
1063,2024-02-25,Webcam HD,Electronics,21,79.99,1679.79,East,Mike Johnson
1064,2024-02-27,Headset Bluetooth,Accessories,26,59.99,1559.74,West,Sarah Williams
1065,2024-03-02,Docking Station,Peripherals,7,149.99,1049.93,Central,Tom Brown
1066,2024-03-04,SSD 1TB,Storage,16,129.99,2079.84,North,Emily Davis
1067,2024-03-06,RAM 16GB,Components,25,79.99,1999.75,South,John Smith
1068,2024-03-08,Laptop Pro 15,Electronics,3,1299.99,3899.97,East,Jane Doe
1069,2024-03-10,Wireless Mouse,Accessories,38,29.99,1139.62,West,Mike Johnson
1070,2024-03-12,USB-C Hub,Peripherals,18,49.99,899.82,Central,Sarah Williams
1071,2024-03-14,Monitor 27",Electronics,5,399.99,1999.95,North,Tom Brown
1072,2024-03-16,Keyboard Mechanical,Peripherals,14,89.99,1259.86,South,Emily Davis
1073,2024-03-18,Webcam HD,Electronics,23,79.99,1839.77,East,John Smith
1074,2024-03-20,Headset Bluetooth,Accessories,29,59.99,1739.71,West,Jane Doe
1075,2024-03-22,Docking Station,Peripherals,9,149.99,1349.91,Central,Mike Johnson
1076,2024-03-24,SSD 1TB,Storage,17,129.99,2209.83,North,Sarah Williams
1077,2024-03-26,RAM 16GB,Components,28,79.99,2239.72,South,Tom Brown
1078,2024-03-28,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Emily Davis
1079,2024-03-30,Wireless Mouse,Accessories,42,29.99,1259.58,West,John Smith
1080,2024-01-09,USB-C Hub,Peripherals,12,49.99,599.88,Central,Jane Doe
1081,2024-01-14,Monitor 27",Electronics,3,399.99,1199.97,North,Mike Johnson
1082,2024-01-17,Keyboard Mechanical,Peripherals,8,89.99,719.92,South,Sarah Williams
1083,2024-01-24,Webcam HD,Electronics,17,79.99,1359.83,East,Tom Brown
1084,2024-01-27,Headset Bluetooth,Accessories,21,59.99,1259.79,West,Emily Davis
1085,2024-02-09,Docking Station,Peripherals,6,149.99,899.94,Central,John Smith
1086,2024-02-28,SSD 1TB,Storage,11,129.99,1429.89,North,Jane Doe
1087,2024-03-05,RAM 16GB,Components,19,79.99,1519.81,South,Mike Johnson
1088,2024-03-12,Laptop Pro 15,Electronics,1,1299.99,1299.99,East,Sarah Williams
1089,2024-03-19,Wireless Mouse,Accessories,33,29.99,989.67,West,Tom Brown
1090,2024-01-04,USB-C Hub,Peripherals,10,49.99,499.90,Central,Emily Davis
1091,2024-01-11,Monitor 27",Electronics,4,399.99,1599.96,North,John Smith
1092,2024-01-18,Keyboard Mechanical,Peripherals,13,89.99,1169.87,South,Jane Doe
1093,2024-01-25,Webcam HD,Electronics,20,79.99,1599.80,East,Mike Johnson
1094,2024-02-01,Headset Bluetooth,Accessories,27,59.99,1619.73,West,Sarah Williams
1095,2024-02-08,Docking Station,Peripherals,8,149.99,1199.92,Central,Tom Brown
1096,2024-02-15,SSD 1TB,Storage,15,129.99,1949.85,North,Emily Davis
1097,2024-02-22,RAM 16GB,Components,22,79.99,1759.78,South,John Smith
1098,2024-03-01,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Jane Doe
1099,2024-03-08,Wireless Mouse,Accessories,36,29.99,1079.64,West,Mike Johnson
1100,2024-03-15,USB-C Hub,Peripherals,16,49.99,799.84,Central,Sarah Williams
1101,2024-03-22,Monitor 27",Electronics,6,399.99,2399.94,North,Tom Brown
1102,2024-03-29,Keyboard Mechanical,Peripherals,12,89.99,1079.88,South,Emily Davis
1103,2024-01-08,Webcam HD,Electronics,25,79.99,1999.75,East,John Smith
1104,2024-01-15,Headset Bluetooth,Accessories,30,59.99,1799.70,West,Jane Doe
1105,2024-01-22,Docking Station,Peripherals,7,149.99,1049.93,Central,Mike Johnson
1106,2024-01-29,SSD 1TB,Storage,18,129.99,2339.82,North,Sarah Williams
1107,2024-02-05,RAM 16GB,Components,24,79.99,1919.76,South,Tom Brown
1108,2024-02-12,Laptop Pro 15,Electronics,3,1299.99,3899.97,East,Emily Davis
1109,2024-02-19,Wireless Mouse,Accessories,45,29.99,1349.55,West,John Smith
1110,2024-02-26,USB-C Hub,Peripherals,15,49.99,749.85,Central,Jane Doe
1111,2024-03-04,Monitor 27",Electronics,5,399.99,1999.95,North,Mike Johnson
1112,2024-03-11,Keyboard Mechanical,Peripherals,11,89.99,989.89,South,Sarah Williams
1113,2024-03-18,Webcam HD,Electronics,27,79.99,2159.73,East,Tom Brown
1114,2024-03-25,Headset Bluetooth,Accessories,34,59.99,2039.66,West,Emily Davis
1115,2024-01-03,Docking Station,Peripherals,4,149.99,599.96,Central,John Smith
1116,2024-01-10,SSD 1TB,Storage,9,129.99,1169.91,North,Jane Doe
1117,2024-01-17,RAM 16GB,Components,14,79.99,1119.86,South,Mike Johnson
1118,2024-01-24,Laptop Pro 15,Electronics,1,1299.99,1299.99,East,Sarah Williams
1119,2024-01-31,Wireless Mouse,Accessories,26,29.99,779.74,West,Tom Brown
1120,2024-02-07,USB-C Hub,Peripherals,7,49.99,349.93,Central,Emily Davis
1121,2024-02-14,Monitor 27",Electronics,2,399.99,799.98,North,John Smith
1122,2024-02-21,Keyboard Mechanical,Peripherals,9,89.99,809.91,South,Jane Doe
1123,2024-02-28,Webcam HD,Electronics,16,79.99,1279.84,East,Mike Johnson
1124,2024-03-06,Headset Bluetooth,Accessories,23,59.99,1379.77,West,Sarah Williams
1125,2024-03-13,Docking Station,Peripherals,5,149.99,749.95,Central,Tom Brown
1126,2024-03-20,SSD 1TB,Storage,12,129.99,1559.88,North,Emily Davis
1127,2024-03-27,RAM 16GB,Components,20,79.99,1599.80,South,John Smith
1128,2024-01-05,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Jane Doe
1129,2024-01-12,Wireless Mouse,Accessories,31,29.99,929.69,West,Mike Johnson
1130,2024-01-19,USB-C Hub,Peripherals,11,49.99,549.89,Central,Sarah Williams
1131,2024-01-26,Monitor 27",Electronics,4,399.99,1599.96,North,Tom Brown
1132,2024-02-02,Keyboard Mechanical,Peripherals,10,89.99,899.90,South,Emily Davis
1133,2024-02-09,Webcam HD,Electronics,18,79.99,1439.82,East,John Smith
1134,2024-02-16,Headset Bluetooth,Accessories,25,59.99,1499.75,West,Jane Doe
1135,2024-02-23,Docking Station,Peripherals,6,149.99,899.94,Central,Mike Johnson
1136,2024-03-02,SSD 1TB,Storage,13,129.99,1689.87,North,Sarah Williams
1137,2024-03-09,RAM 16GB,Components,21,79.99,1679.79,South,Tom Brown
1138,2024-03-16,Laptop Pro 15,Electronics,3,1299.99,3899.97,East,Emily Davis
1139,2024-03-23,Wireless Mouse,Accessories,37,29.99,1109.63,West,John Smith
1140,2024-03-30,USB-C Hub,Peripherals,14,49.99,699.86,Central,Jane Doe
1141,2024-01-07,Monitor 27",Electronics,5,399.99,1999.95,North,Mike Johnson
1142,2024-01-14,Keyboard Mechanical,Peripherals,12,89.99,1079.88,South,Sarah Williams
1143,2024-01-21,Webcam HD,Electronics,19,79.99,1519.81,East,Tom Brown
1144,2024-01-28,Headset Bluetooth,Accessories,28,59.99,1679.72,West,Emily Davis
1145,2024-02-04,Docking Station,Peripherals,7,149.99,1049.93,Central,John Smith
1146,2024-02-11,SSD 1TB,Storage,14,129.99,1819.86,North,Jane Doe
1147,2024-02-18,RAM 16GB,Components,23,79.99,1839.77,South,Mike Johnson
1148,2024-02-25,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Sarah Williams
1149,2024-03-03,Wireless Mouse,Accessories,39,29.99,1169.61,West,Tom Brown
1150,2024-03-10,USB-C Hub,Peripherals,13,49.99,649.87,Central,Emily Davis
1151,2024-03-17,Monitor 27",Electronics,6,399.99,2399.94,North,John Smith
1152,2024-03-24,Keyboard Mechanical,Peripherals,15,89.99,1349.85,South,Jane Doe
1153,2024-03-31,Webcam HD,Electronics,24,79.99,1919.76,East,Mike Johnson
1154,2024-01-06,Headset Bluetooth,Accessories,32,59.99,1919.68,West,Sarah Williams
1155,2024-01-13,Docking Station,Peripherals,8,149.99,1199.92,Central,Tom Brown
1156,2024-01-20,SSD 1TB,Storage,16,129.99,2079.84,North,Emily Davis
1157,2024-01-27,RAM 16GB,Components,26,79.99,2079.74,South,John Smith
1158,2024-02-03,Laptop Pro 15,Electronics,1,1299.99,1299.99,East,Jane Doe
1159,2024-02-10,Wireless Mouse,Accessories,41,29.99,1229.59,West,Mike Johnson
1160,2024-02-17,USB-C Hub,Peripherals,19,49.99,949.81,Central,Sarah Williams
1161,2024-02-24,Monitor 27",Electronics,3,399.99,1199.97,North,Tom Brown
1162,2024-03-02,Keyboard Mechanical,Peripherals,16,89.99,1439.84,South,Emily Davis
1163,2024-03-09,Webcam HD,Electronics,22,79.99,1759.78,East,John Smith
1164,2024-03-16,Headset Bluetooth,Accessories,35,59.99,2099.65,West,Jane Doe
1165,2024-03-23,Docking Station,Peripherals,9,149.99,1349.91,Central,Mike Johnson
1166,2024-03-30,SSD 1TB,Storage,20,129.99,2599.80,North,Sarah Williams
1167,2024-01-09,RAM 16GB,Components,29,79.99,2319.71,South,Tom Brown
1168,2024-01-16,Laptop Pro 15,Electronics,4,1299.99,5199.96,East,Emily Davis
1169,2024-01-23,Wireless Mouse,Accessories,48,29.99,1439.52,West,John Smith
1170,2024-01-30,USB-C Hub,Peripherals,20,49.99,999.80,Central,Jane Doe
1171,2024-02-06,Monitor 27",Electronics,7,399.99,2799.93,North,Mike Johnson
1172,2024-02-13,Keyboard Mechanical,Peripherals,17,89.99,1529.83,South,Sarah Williams
1173,2024-02-20,Webcam HD,Electronics,28,79.99,2239.72,East,Tom Brown
1174,2024-02-27,Headset Bluetooth,Accessories,33,59.99,1979.67,West,Emily Davis
1175,2024-03-05,Docking Station,Peripherals,10,149.99,1499.90,Central,John Smith
1176,2024-03-12,SSD 1TB,Storage,21,129.99,2729.79,North,Jane Doe
1177,2024-03-19,RAM 16GB,Components,30,79.99,2399.70,South,Mike Johnson
1178,2024-03-26,Laptop Pro 15,Electronics,2,1299.99,2599.98,East,Sarah Williams
1179,2024-01-04,Wireless Mouse,Accessories,44,29.99,1319.56,West,Tom Brown
1180,2024-03-31,USB-C Hub,Peripherals,21,49.99,1049.79,Central,Emily Davis
