lhs,op,rhs,mi,epc,sepc.all
item2,~~,item8,15.77,0.26,0.18
item16,~~,item20,12.99,0.24,0.17
item4,~~,item10,10.21,0.22,0.16
item7,~~,item13,7.43,0.20,0.15
item11,=~,Factor3,44.89,0.46,0.29
item15,=~,Factor1,41.12,0.43,0.28
item19,~~,item1,37.35,0.41,0.26
item6,~~,item13,33.58,0.39,0.25
item10,~~,item17,29.81,0.37,0.24
item2,~~,item14,26.04,0.35,0.23
item8,~~,item18,22.27,0.33,0.22
item4,~~,item15,18.50,0.31,0.21
item12,~~,item19,14.73,0.29,0.20
item3,~~,item9,10.96,0.27,0.19
item7,~~,item20,7.19,0.25,0.18
item16,=~,Factor2,3.42,0.23,0.17
item5,~~,item16,39.56,0.42,0.27
item1,~~,item10,35.23,0.40,0.26
item13,~~,item18,30.90,0.38,0.25
item9,~~,item14,26.57,0.36,0.24
item2,~~,item7,22.24,0.34,0.23
item11,~~,item16,17.91,0.32,0.22
item6,~~,item17,13.58,0.30,0.21
item4,~~,item19,9.25,0.28,0.20
item12,~~,item20,4.92,0.26,0.19
