CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
1054,62,66,106.50,7029.00,Two year,Credit card,0
1055,37,27,72.75,1964.25,One year,Bank transfer,0
1056,49,48,90.50,4344.00,Two year,Credit card,0
1057,32,15,62.00,930.00,Month-to-month,Electronic check,0
1058,69,69,110.75,7641.75,Two year,Bank transfer,0
1059,34,24,70.25,1686.00,One year,Credit card,0
1060,27,6,48.50,291.00,Month-to-month,Electronic check,1
1061,56,60,98.75,5925.00,Two year,Bank transfer,0
1062,40,33,78.00,2574.00,One year,Credit card,0
1063,44,42,86.25,3622.50,One year,Bank transfer,0
1064,30,12,58.50,702.00,Month-to-month,Mailed check,0
1065,64,67,108.50,7269.50,Two year,Credit card,0
1066,36,27,73.25,1977.75,One year,Bank transfer,0
1067,52,54,94.75,5116.50,Two year,Credit card,0
1068,25,3,39.75,119.25,Month-to-month,Electronic check,1
1069,58,63,101.50,6394.50,Two year,Bank transfer,0
1070,42,36,79.50,2862.00,One year,Credit card,0
1071,48,45,88.75,3993.75,Two year,Bank transfer,0
1072,33,18,65.00,1170.00,Month-to-month,Electronic check,0
1073,71,72,113.00,8136.00,Two year,Credit card,0
1074,38,30,74.50,2235.00,One year,Bank transfer,0
1075,46,42,85.50,3591.00,One year,Credit card,0
1076,31,9,53.75,483.75,Month-to-month,Mailed check,0
1077,66,68,109.25,7429.00,Two year,Bank transfer,0
1078,39,24,69.75,1674.00,One year,Credit card,0
1079,54,57,97.25,5543.25,Two year,Bank transfer,0
1080,28,6,47.00,282.00,Month-to-month,Electronic check,0
1081,60,63,104.50,6583.50,Two year,Credit card,0
1082,35,21,67.25,1412.25,One year,Bank transfer,0
1083,50,48,92.75,4452.00,Two year,Credit card,0
1084,24,2,38.75,77.50,Month-to-month,Electronic check,1
1085,57,60,99.50,5970.00,Two year,Bank transfer,0
1086,41,33,77.25,2549.25,One year,Credit card,0
1087,47,45,87.00,3915.00,Two year,Bank transfer,0
1088,32,15,60.50,907.50,Month-to-month,Mailed check,0
1089,69,70,111.50,7805.00,Two year,Credit card,0
1090,36,27,71.75,1937.25,One year,Bank transfer,0
1091,52,51,93.50,4768.50,Two year,Credit card,0
1092,29,9,52.00,468.00,Month-to-month,Electronic check,0
1093,63,66,105.25,6946.50,Two year,Bank transfer,0
1094,38,30,74.00,2220.00,One year,Credit card,0
1095,49,45,88.25,3971.25,Two year,Bank transfer,0
1096,34,18,64.50,1161.00,Month-to-month,Electronic check,0
1097,72,72,114.50,8244.00,Two year,Credit card,0
1098,40,33,76.50,2524.50,One year,Bank transfer,0
1099,45,39,82.75,3227.25,One year,Credit card,0
1100,30,12,57.25,687.00,Month-to-month,Mailed check,0
1101,67,69,110.25,7607.25,Two year,Bank transfer,0
1102,37,27,72.00,1944.00,One year,Credit card,0
1103,53,54,95.50,5157.00,Two year,Bank transfer,0
1104,26,4,42.00,168.00,Month-to-month,Electronic check,1
1105,59,60,102.75,6165.00,Two year,Credit card,0
1106,42,36,78.50,2826.00,One year,Bank transfer,0
1107,48,45,86.75,3903.75,Two year,Credit card,0
1108,33,18,63.75,1147.50,Month-to-month,Electronic check,0
1109,73,71,115.00,8165.00,Two year,Bank transfer,0
1110,39,30,73.50,2205.00,One year,Credit card,0
1111,51,48,91.75,4404.00,Two year,Bank transfer,0
1112,27,6,45.50,273.00,Month-to-month,Mailed check,0
1113,64,66,106.00,6996.00,Two year,Credit card,0
1114,36,24,68.25,1638.00,One year,Bank transfer,0
1115,55,57,96.50,5500.50,Two year,Credit card,0
1116,31,12,56.75,681.00,Month-to-month,Electronic check,0
1117,68,69,109.50,7555.50,Two year,Bank transfer,0
1118,38,27,70.50,1903.50,One year,Credit card,0
1119,50,51,92.25,4704.75,Two year,Bank transfer,0
1120,25,3,39.00,117.00,Month-to-month,Electronic check,1
1121,61,63,103.50,6520.50,Two year,Credit card,0
1122,43,36,77.75,2799.00,One year,Bank transfer,0
1123,47,42,84.00,3528.00,One year,Credit card,0
1124,32,15,59.75,896.25,Month-to-month,Mailed check,0
1125,70,70,112.00,7840.00,Two year,Bank transfer,0
1126,37,27,69.25,1869.75,One year,Credit card,0
1127,54,54,94.25,5089.50,Two year,Bank transfer,0
1128,29,9,51.50,463.50,Month-to-month,Electronic check,0
1129,65,67,107.75,7219.25,Two year,Credit card,0
1130,40,33,75.75,2499.75,One year,Bank transfer,0
1131,46,42,83.25,3496.50,One year,Credit card,0
1132,33,18,62.50,1125.00,Month-to-month,Electronic check,0
1133,74,72,116.00,8352.00,Two year,Bank transfer,0
1134,41,30,72.25,2167.50,One year,Credit card,0
1135,52,48,90.00,4320.00,Two year,Bank transfer,0
1136,28,9,50.25,452.25,Month-to-month,Mailed check,0
1137,66,68,108.00,7344.00,Two year,Credit card,0
1138,39,27,68.50,1849.50,One year,Bank transfer,0
1139,55,54,93.75,5062.50,Two year,Credit card,0
1140,30,12,55.50,666.00,Month-to-month,Electronic check,0
1141,69,69,110.50,7624.50,Two year,Bank transfer,0
1142,42,33,76.00,2508.00,One year,Credit card,0
1143,49,45,85.75,3858.75,Two year,Bank transfer,0
1144,34,18,61.75,1111.50,Month-to-month,Electronic check,0
1145,75,71,117.00,8307.00,Two year,Credit card,0
1146,43,36,74.75,2691.00,One year,Bank transfer,0
1147,56,57,95.25,5429.25,Two year,Credit card,0
1148,31,15,58.00,870.00,Month-to-month,Mailed check,0
1149,67,66,106.75,7045.50,Two year,Bank transfer,0
