date,sales
2021-07-08,8123.78
2021-07-09,8456.90
2021-07-10,11234.56
2021-07-11,11567.89
2021-07-12,8678.45
2021-07-13,8456.78
2021-07-14,8234.90
2021-07-15,10890.45
2021-07-16,9678.34
2021-07-17,11456.78
2021-07-18,11678.90
2021-07-19,8567.34
2021-07-20,8345.67
2021-07-21,8234.56
2021-07-22,8123.78
2021-07-23,8456.90
2021-07-24,11234.56
2021-07-25,11567.89
2021-07-26,8678.45
2021-07-27,8456.78
2021-07-28,8234.90
2021-07-29,8123.56
2021-07-30,8456.78
2021-07-31,11678.90
2021-08-01,10567.89
2021-08-02,9456.78
2021-08-03,8234.56
2021-08-04,8123.67
2021-08-05,8345.67
2021-08-06,8567.89
2021-08-07,11456.78
2021-08-08,11678.90
2021-08-09,8567.34
2021-08-10,8345.67
2021-08-11,8234.56
2021-08-12,8123.78
2021-08-13,8456.90
2021-08-14,11234.56
2021-08-15,10890.45
2021-08-16,9678.34
2021-08-17,8234.90
2021-08-18,8123.56
2021-08-19,8345.67
2021-08-20,8567.89
2021-08-21,11456.78
2021-08-22,11678.90
2021-08-23,8567.34
2021-08-24,8345.67
2021-08-25,8234.56
2021-08-26,8123.78
2021-08-27,8456.90
2021-08-28,11234.56
2021-08-29,11567.89
2021-08-30,8678.45
2021-08-31,8456.78
2021-09-01,14567.89
2021-09-02,13456.78
2021-09-03,12234.56
2021-09-04,16678.90
2021-09-05,16567.34
2021-09-06,12345.67
2021-09-07,12234.56
2021-09-08,12123.78
2021-09-09,12456.90
2021-09-10,12678.45
2021-09-11,16234.56
2021-09-12,16567.89
2021-09-13,12678.45
2021-09-14,12456.78
2021-09-15,14890.45
2021-09-16,13678.34
2021-09-17,12234.90
2021-09-18,16456.78
2021-09-19,16678.90
2021-09-20,12567.34
2021-09-21,12345.67
2021-09-22,12234.56
2021-09-23,12123.78
2021-09-24,12456.90
2021-09-25,16234.56
2021-09-26,16567.89
2021-09-27,12678.45
2021-09-28,12456.78
2021-09-29,12234.90
2021-09-30,12123.56
2021-10-01,12567.89
2021-10-02,11456.78
2021-10-03,10234.56
2021-10-04,10123.67
2021-10-05,10345.67
2021-10-06,10567.89
2021-10-07,10789.34
2021-10-08,10890.45
2021-10-09,13456.78
2021-10-10,13678.90
2021-10-11,10567.34
2021-10-12,10345.67
2021-10-13,10234.56
2021-10-14,10123.78
2021-10-15,12890.45
2021-10-16,11678.34
2021-10-17,10234.90
2021-10-18,10123.56
2021-10-19,10345.67
2021-10-20,10567.89
2021-10-21,10789.34
2021-10-22,10890.45
2021-10-23,13456.78
2021-10-24,13678.90
2021-10-25,10567.34
2021-10-26,10345.67
2021-10-27,10234.56
2021-10-28,10123.78
2021-10-29,10456.90
2021-10-30,13234.56
2021-10-31,13567.89
2021-11-01,17567.89
2021-11-02,16456.78
2021-11-03,15234.56
2021-11-04,15123.67
2021-11-05,15345.67
2021-11-06,19567.89
2021-11-07,19789.34
2021-11-08,15890.45
2021-11-09,15456.78
2021-11-10,15234.56
2021-11-11,15123.78
2021-11-12,15456.90
2021-11-13,19234.56
2021-11-14,19567.89
2021-11-15,18890.45
2021-11-16,17678.34
2021-11-17,15234.90
2021-11-18,15123.56
2021-11-19,15345.67
2021-11-20,19567.89
2021-11-21,19789.34
2021-11-22,22890.45
2021-11-23,23456.78
2021-11-24,24678.90
2021-11-25,25567.34
2021-11-26,26345.67
2021-11-27,27234.56
2021-11-28,27123.78
2021-11-29,19456.90
2021-11-30,19234.56
2021-12-01,19567.89
2021-12-02,18456.78
2021-12-03,17234.56
2021-12-04,23678.90
2021-12-05,23567.34
2021-12-06,18345.67
2021-12-07,18234.56
2021-12-08,18123.78
2021-12-09,18456.90
2021-12-10,18678.45
2021-12-11,24234.56
2021-12-12,24567.89
2021-12-13,19678.45
2021-12-14,19456.78
2021-12-15,21890.45
2021-12-16,20678.34
2021-12-17,19234.90
2021-12-18,25456.78
2021-12-19,25678.90
2021-12-20,26567.34
2021-12-21,27345.67
2021-12-22,28234.56
2021-12-23,29123.78
2021-12-24,30456.90
2021-12-25,28234.56
2021-12-26,27567.89
2021-12-27,26678.45
2021-12-28,25456.78
2021-12-29,24234.90
2021-12-30,23123.56
2021-12-31,22456.78
2022-01-01,13234.56
2022-01-02,12456.78
2022-01-03,11987.65
2022-01-04,11234.87
2022-01-05,11456.92
2022-01-06,11678.34
2022-01-07,11890.45
2022-01-08,14023.67
2022-01-09,14456.78
2022-01-10,11789.34
2022-01-11,11567.89
2022-01-12,11345.67
2022-01-13,11234.78
2022-01-14,11123.45
2022-01-15,13567.89
2022-01-16,14789.45
2022-01-17,13345.67
2022-01-18,11456.78
2022-01-19,11234.56
2022-01-20,11123.45
2022-01-21,11345.89
2022-01-22,14567.34
2022-01-23,14234.78
2022-01-24,11456.89
2022-01-25,11678.45
2022-01-26,11456.78
2022-01-27,11234.56
2022-01-28,11123.67
2022-01-29,14345.78
2022-01-30,14678.90
2022-01-31,11234.56
2022-02-01,13890.45
2022-02-02,12456.78
2022-02-03,11678.90
2022-02-04,11456.34
2022-02-05,14234.78
2022-02-06,14456.89
2022-02-07,11567.89
2022-02-08,11345.67
2022-02-09,11234.56
2022-02-10,11123.78
2022-02-11,11456.90
2022-02-12,14234.56
2022-02-13,14567.89
2022-02-14,11678.45
2022-02-15,13789.45
2022-02-16,12890.34
2022-02-17,11678.56
2022-02-18,11456.78
2022-02-19,14234.90
2022-02-20,14456.78
2022-02-21,11567.89
2022-02-22,11345.67
2022-02-23,11234.56
2022-02-24,11123.45
2022-02-25,11456.78
2022-02-26,14234.90
2022-02-27,14456.78
2022-02-28,11678.45
2022-03-01,13678.45
2022-03-02,12234.56
2022-03-03,11456.78
2022-03-04,11234.90
2022-03-05,14123.56
2022-03-06,14456.78
2022-03-07,11567.34
2022-03-08,11345.78
2022-03-09,11234.56
2022-03-10,11123.67
2022-03-11,11456.89
2022-03-12,14234.78
2022-03-13,14567.90
2022-03-14,11678.45
2022-03-15,13890.45
2022-03-16,12678.34
2022-03-17,11456.78
2022-03-18,11234.56
2022-03-19,14123.67
2022-03-20,14456.78
2022-03-21,11567.34
2022-03-22,11345.67
2022-03-23,11234.56
2022-03-24,11123.78
2022-03-25,11456.90
2022-03-26,14234.56
2022-03-27,14567.89
2022-03-28,11678.45
2022-03-29,11456.78
2022-03-30,11234.90
2022-03-31,11123.56
2022-04-01,13567.89
2022-04-02,12456.78
2022-04-03,11234.56
2022-04-04,11123.67
2022-04-05,11345.67
2022-04-06,11567.89
2022-04-07,11789.34
2022-04-08,11890.45
2022-04-09,14234.56
2022-04-10,14678.90
2022-04-11,11567.34
2022-04-12,11345.67
2022-04-13,11234.56
2022-04-14,11123.78
2022-04-15,13890.45
2022-04-16,12678.34
2022-04-17,11234.90
2022-04-18,11123.56
2022-04-19,11345.67
2022-04-20,11567.89
2022-04-21,11789.34
2022-04-22,11890.45
2022-04-23,14456.78
2022-04-24,14678.90
2022-04-25,11567.34
2022-04-26,11345.67
2022-04-27,11234.56
2022-04-28,11123.78
2022-04-29,11456.90
2022-04-30,14234.56
2022-05-01,13678.90
2022-05-02,12234.56
2022-05-03,11456.78
2022-05-04,11234.90
2022-05-05,11123.56
2022-05-06,11345.67
2022-05-07,14567.89
2022-05-08,14456.78
2022-05-09,11567.34
2022-05-10,11345.67
2022-05-11,11234.56
2022-05-12,11123.78
2022-05-13,11456.90
2022-05-14,14234.56
2022-05-15,13890.45
2022-05-16,12678.34
2022-05-17,11456.78
2022-05-18,11234.90
2022-05-19,11123.56
2022-05-20,11345.67
2022-05-21,14567.89
2022-05-22,14456.78
2022-05-23,11567.34
2022-05-24,11345.67
2022-05-25,11234.56
2022-05-26,11123.78
2022-05-27,11456.90
2022-05-28,14234.56
2022-05-29,14567.89
2022-05-30,11678.45
2022-05-31,11456.78
2022-06-01,13567.89
2022-06-02,12456.78
2022-06-03,11234.56
2022-06-04,14123.67
2022-06-05,14456.78
2022-06-06,11567.34
2022-06-07,11345.67
2022-06-08,11234.56
2022-06-09,11123.78
2022-06-10,11456.90
2022-06-11,14234.56
2022-06-12,14567.89
2022-06-13,11678.45
2022-06-14,11456.78
2022-06-15,13890.45
2022-06-16,12678.34
2022-06-17,11234.90
2022-06-18,14123.56
2022-06-19,14456.78
2022-06-20,11567.34
2022-06-21,11345.67
2022-06-22,11234.56
2022-06-23,11123.78
2022-06-24,11456.90
2022-06-25,14234.56
2022-06-26,14567.89
2022-06-27,11678.45
2022-06-28,11456.78
2022-06-29,11234.90
2022-06-30,11123.56
2022-07-01,10567.89
2022-07-02,9456.78
2022-07-03,8234.56
2022-07-04,11678.90
2022-07-05,11567.34
2022-07-06,8345.67
2022-07-07,8234.56
2022-07-08,8123.78
2022-07-09,12456.90
2022-07-10,12234.56
2022-07-11,8567.89
2022-07-12,8678.45
2022-07-13,8456.78
2022-07-14,8234.90
2022-07-15,11890.45
2022-07-16,10678.34
2022-07-17,8234.90
2022-07-18,8123.56
2022-07-19,8345.67
2022-07-20,8567.89
2022-07-21,8789.34
2022-07-22,8890.45
2022-07-23,12456.78
2022-07-24,12678.90
2022-07-25,8567.34
2022-07-26,8345.67
2022-07-27,8234.56
2022-07-28,8123.78
2022-07-29,8456.90
2022-07-30,12234.56
2022-07-31,12567.89
2022-08-01,11567.89
2022-08-02,10456.78
2022-08-03,8234.56
2022-08-04,8123.67
2022-08-05,8345.67
2022-08-06,12567.89
2022-08-07,12456.78
2022-08-08,8567.34
2022-08-09,8345.67
2022-08-10,8234.56
2022-08-11,8123.78
2022-08-12,8456.90
2022-08-13,12234.56
2022-08-14,12567.89
2022-08-15,11890.45
2022-08-16,10678.34
2022-08-17,8234.90
2022-08-18,8123.56
2022-08-19,8345.67
2022-08-20,12567.89
2022-08-21,12456.78
2022-08-22,8567.34
2022-08-23,8345.67
2022-08-24,8234.56
2022-08-25,8123.78
2022-08-26,8456.90
2022-08-27,12234.56
2022-08-28,12567.89
2022-08-29,8678.45
2022-08-30,8456.78
2022-08-31,8234.90
2022-09-01,15567.89
2022-09-02,14456.78
2022-09-03,18234.56
2022-09-04,18678.90
2022-09-05,13567.34
2022-09-06,13345.67
2022-09-07,13234.56
2022-09-08,13123.78
2022-09-09,13456.90
2022-09-10,17234.56
2022-09-11,17567.89
2022-09-12,13678.45
2022-09-13,13456.78
2022-09-14,13234.90
2022-09-15,15890.45
2022-09-16,14678.34
2022-09-17,18456.78
2022-09-18,18678.90
2022-09-19,13567.34
2022-09-20,13345.67
2022-09-21,13234.56
2022-09-22,13123.78
2022-09-23,13456.90
2022-09-24,17234.56
2022-09-25,17567.89
2022-09-26,13678.45
2022-09-27,13456.78
2022-09-28,13234.90
2022-09-29,13123.56
2022-09-30,13456.78
2022-10-01,13567.89
2022-10-02,12456.78
2022-10-03,11234.56
2022-10-04,11123.67
2022-10-05,11345.67
2022-10-06,11567.89
2022-10-07,11789.34
2022-10-08,14890.45
2022-10-09,14456.78
2022-10-10,11567.34
2022-10-11,11345.67
2022-10-12,11234.56
2022-10-13,11123.78
2022-10-14,11456.90
2022-10-15,13890.45
2022-10-16,12678.34
2022-10-17,11234.90
2022-10-18,11123.56
2022-10-19,11345.67
2022-10-20,11567.89
2022-10-21,11789.34
2022-10-22,14890.45
2022-10-23,14456.78
2022-10-24,11567.34
2022-10-25,11345.67
2022-10-26,11234.56
2022-10-27,11123.78
2022-10-28,11456.90
2022-10-29,14234.56
2022-10-30,14567.89
2022-10-31,11678.45
2022-11-01,18567.89
2022-11-02,17456.78
2022-11-03,16234.56
2022-11-04,16123.67
2022-11-05,20345.67
2022-11-06,20567.89
2022-11-07,16890.45
2022-11-08,16456.78
2022-11-09,16234.56
2022-11-10,16123.78
2022-11-11,16456.90
2022-11-12,20234.56
2022-11-13,20567.89
2022-11-14,16678.45
2022-11-15,19890.45
2022-11-16,18678.34
2022-11-17,16234.90
2022-11-18,16123.56
2022-11-19,20345.67
2022-11-20,20567.89
2022-11-21,22890.45
2022-11-22,23456.78
2022-11-23,24678.90
2022-11-24,25567.34
2022-11-25,26345.67
2022-11-26,27234.56
2022-11-27,28123.78
2022-11-28,20456.90
2022-11-29,20234.56
2022-11-30,19567.89
2022-12-01,20567.89
2022-12-02,19456.78
2022-12-03,24234.56
2022-12-04,24678.90
2022-12-05,19345.67
2022-12-06,19234.56
2022-12-07,19123.78
2022-12-08,19456.90
2022-12-09,19678.45
2022-12-10,24234.56
2022-12-11,24567.89
2022-12-12,19678.45
2022-12-13,19456.78
2022-12-14,19234.90
2022-12-15,22890.45
2022-12-16,21678.34
2022-12-17,25456.78
2022-12-18,25678.90
2022-12-19,26567.34
2022-12-20,27345.67
2022-12-21,28234.56
2022-12-22,29123.78
2022-12-23,30456.90
2022-12-24,29234.56
2022-12-25,28567.89
2022-12-26,27678.45
2022-12-27,26456.78
2022-12-28,25234.90
2022-12-29,24123.56
2022-12-30,23456.78
2022-12-31,22678.90
2023-01-01,12234.56
2023-01-02,11456.78
2023-01-03,10987.65
2023-01-04,10234.87
2023-01-05,10456.92
2023-01-06,10678.34
2023-01-07,13890.45
2023-01-08,14023.67
2023-01-09,10789.34
2023-01-10,10567.89
2023-01-11,10345.67
2023-01-12,10234.78
2023-01-13,10123.45
2023-01-14,13567.89
2023-01-15,12567.89
2023-01-16,11789.45
2023-01-17,10345.67
2023-01-18,10234.56
2023-01-19,10123.45
2023-01-20,10345.89
2023-01-21,13567.34
2023-01-22,13234.78
2023-01-23,10456.89
2023-01-24,10678.45
2023-01-25,10456.78
2023-01-26,10234.56
2023-01-27,10123.67
2023-01-28,13345.78
2023-01-29,13678.90
2023-01-30,10567.34
2023-01-31,10345.67
2023-02-01,12890.45
2023-02-02,11456.78
2023-02-03,10678.90
2023-02-04,13456.34
2023-02-05,13234.78
2023-02-06,10567.89
2023-02-07,10345.67
2023-02-08,10234.56
2023-02-09,10123.78
2023-02-10,10456.90
2023-02-11,13234.56
2023-02-12,13567.89
2023-02-13,10678.45
2023-02-14,10456.78
2023-02-15,12789.45
2023-02-16,11890.34
2023-02-17,10678.56
2023-02-18,13456.78
2023-02-19,13234.90
2023-02-20,10567.89
2023-02-21,10345.67
2023-02-22,10234.56
2023-02-23,10123.45
2023-02-24,10456.78
2023-02-25,13234.90
2023-02-26,13456.78
2023-02-27,10567.89
2023-02-28,10345.67
2023-03-01,12678.45
2023-03-02,11234.56
2023-03-03,10456.78
2023-03-04,13234.90
2023-03-05,13123.56
2023-03-06,10345.67
2023-03-07,10234.56
2023-03-08,10123.78
2023-03-09,10456.90
2023-03-10,10678.45
2023-03-11,13234.56
2023-03-12,13567.89
2023-03-13,10678.45
2023-03-14,10456.78
2023-03-15,12890.45
2023-03-16,11678.34
2023-03-17,10456.78
2023-03-18,13234.56
2023-03-19,13123.67
2023-03-20,10345.67
2023-03-21,10234.56
2023-03-22,10123.78
2023-03-23,10456.90
2023-03-24,10678.45
2023-03-25,13234.56
2023-03-26,13567.89
2023-03-27,10678.45
2023-03-28,10456.78
2023-03-29,10234.90
2023-03-30,10123.56
2023-03-31,10456.78
2023-04-01,12567.89
2023-04-02,11456.78
2023-04-03,10234.56
2023-04-04,10123.67
2023-04-05,10345.67
2023-04-06,10567.89
2023-04-07,10789.34
2023-04-08,13890.45
2023-04-09,13456.78
2023-04-10,10567.34
2023-04-11,10345.67
2023-04-12,10234.56
2023-04-13,10123.78
2023-04-14,10456.90
2023-04-15,12890.45
2023-04-16,11678.34
2023-04-17,10234.90
2023-04-18,10123.56
2023-04-19,10345.67
2023-04-20,10567.89
2023-04-21,10789.34
2023-04-22,13890.45
2023-04-23,13456.78
2023-04-24,10567.34
2023-04-25,10345.67
2023-04-26,10234.56
2023-04-27,10123.78
2023-04-28,10456.90
2023-04-29,13234.56
2023-04-30,13567.89
2023-05-01,12678.90
2023-05-02,11234.56
2023-05-03,10456.78
2023-05-04,10234.90
2023-05-05,10123.56
2023-05-06,13345.67
2023-05-07,13567.89
2023-05-08,10567.34
2023-05-09,10345.67
2023-05-10,10234.56
2023-05-11,10123.78
2023-05-12,10456.90
2023-05-13,13234.56
2023-05-14,13567.89
2023-05-15,12890.45
2023-05-16,11678.34
2023-05-17,10456.78
2023-05-18,10234.90
2023-05-19,10123.56
2023-05-20,13345.67
2023-05-21,13567.89
2023-05-22,10567.34
2023-05-23,10345.67
2023-05-24,10234.56
2023-05-25,10123.78
2023-05-26,10456.90
2023-05-27,13234.56
2023-05-28,13567.89
2023-05-29,10678.45
2023-05-30,10456.78
2023-05-31,10234.90
2023-06-01,12567.89
2023-06-02,11456.78
2023-06-03,13234.56
2023-06-04,13123.67
2023-06-05,10345.67
2023-06-06,10234.56
2023-06-07,10123.78
2023-06-08,10456.90
2023-06-09,10678.45
2023-06-10,13234.56
2023-06-11,13567.89
2023-06-12,10678.45
2023-06-13,10456.78
2023-06-14,10234.90
2023-06-15,12890.45
2023-06-16,11678.34
2023-06-17,13456.78
2023-06-18,13234.90
2023-06-19,10345.67
2023-06-20,10234.56
2023-06-21,10123.78
2023-06-22,10456.90
2023-06-23,10678.45
2023-06-24,13234.56
2023-06-25,13567.89
2023-06-26,10678.45
2023-06-27,10456.78
2023-06-28,10234.90
2023-06-29,10123.56
2023-06-30,10456.78
2023-07-01,9567.89
2023-07-02,8456.78
2023-07-03,8234.56
2023-07-04,11678.90
2023-07-05,11567.34
2023-07-06,8345.67
2023-07-07,8234.56
2023-07-08,11123.78
2023-07-09,11456.90
2023-07-10,8567.89
2023-07-11,8345.67
2023-07-12,8234.56
2023-07-13,8123.78
2023-07-14,8456.90
2023-07-15,10890.45
2023-07-16,9678.34
2023-07-17,8234.90
2023-07-18,8123.56
2023-07-19,8345.67
2023-07-20,8567.89
2023-07-21,8789.34
2023-07-22,11890.45
2023-07-23,11456.78
2023-07-24,8567.34
2023-07-25,8345.67
2023-07-26,8234.56
2023-07-27,8123.78
2023-07-28,8456.90
2023-07-29,11234.56
2023-07-30,11567.89
2023-07-31,8678.45
2023-08-01,10567.89
2023-08-02,9456.78
2023-08-03,8234.56
2023-08-04,8123.67
2023-08-05,11345.67
2023-08-06,11567.89
2023-08-07,8567.34
2023-08-08,8345.67
2023-08-09,8234.56
2023-08-10,8123.78
2023-08-11,8456.90
2023-08-12,11234.56
2023-08-13,11567.89
2023-08-14,8678.45
2023-08-15,10890.45
2023-08-16,9678.34
2023-08-17,8234.90
2023-08-18,8123.56
2023-08-19,11345.67
2023-08-20,11567.89
2023-08-21,8567.34
2023-08-22,8345.67
2023-08-23,8234.56
2023-08-24,8123.78
2023-08-25,8456.90
2023-08-26,11234.56
2023-08-27,11567.89
2023-08-28,8678.45
2023-08-29,8456.78
2023-08-30,8234.90
2023-08-31,8123.56
2023-09-01,14567.89
2023-09-02,13456.78
2023-09-03,17234.56
2023-09-04,17678.90
2023-09-05,13567.34
2023-09-06,13345.67
2023-09-07,13234.56
2023-09-08,13123.78
2023-09-09,16456.90
2023-09-10,16234.56
2023-09-11,13678.45
2023-09-12,13456.78
2023-09-13,13234.90
2023-09-14,13123.56
2023-09-15,15890.45
2023-09-16,14678.34
2023-09-17,17456.78
2023-09-18,17678.90
2023-09-19,13567.34
2023-09-20,13345.67
2023-09-21,13234.56
2023-09-22,13123.78
2023-09-23,16456.90
2023-09-24,16234.56
2023-09-25,13678.45
2023-09-26,13456.78
2023-09-27,13234.90
2023-09-28,13123.56
2023-09-29,13456.78
2023-09-30,16678.90
2023-10-01,12567.89
2023-10-02,11456.78
2023-10-03,10234.56
2023-10-04,10123.67
2023-10-05,10345.67
2023-10-06,10567.89
2023-10-07,13789.34
2023-10-08,13890.45
2023-10-09,10567.34
2023-10-10,10345.67
2023-10-11,10234.56
2023-10-12,10123.78
2023-10-13,10456.90
2023-10-14,13234.56
2023-10-15,12890.45
2023-10-16,11678.34
2023-10-17,10234.90
2023-10-18,10123.56
2023-10-19,10345.67
2023-10-20,10567.89
2023-10-21,13789.34
2023-10-22,13890.45
2023-10-23,10567.34
2023-10-24,10345.67
2023-10-25,10234.56
2023-10-26,10123.78
2023-10-27,10456.90
2023-10-28,13234.56
2023-10-29,13567.89
2023-10-30,10678.45
2023-10-31,10456.78
2023-11-01,17567.89
2023-11-02,16456.78
2023-11-03,15234.56
2023-11-04,19123.67
2023-11-05,19345.67
2023-11-06,16567.89
2023-11-07,16234.56
2023-11-08,16123.78
2023-11-09,16456.90
2023-11-10,16678.45
2023-11-11,19234.56
2023-11-12,19567.89
2023-11-13,16678.45
2023-11-14,16456.78
2023-11-15,18890.45
2023-11-16,17678.34
2023-11-17,15234.90
2023-11-18,19123.56
2023-11-19,19345.67
2023-11-20,22567.89
2023-11-21,23456.78
2023-11-22,24678.90
2023-11-23,25567.34
2023-11-24,26345.67
2023-11-25,27234.56
2023-11-26,19123.78
2023-11-27,19456.90
2023-11-28,19234.56
2023-11-29,19567.89
2023-11-30,16678.45
2023-12-01,19567.89
2023-12-02,18456.78
2023-12-03,23234.56
2023-12-04,23678.90
2023-12-05,19567.34
2023-12-06,19345.67
2023-12-07,19234.56
2023-12-08,19123.78
2023-12-09,23456.90
2023-12-10,23234.56
2023-12-11,19678.45
2023-12-12,19456.78
2023-12-13,19234.90
2023-12-14,19123.56
2023-12-15,21890.45
2023-12-16,20678.34
2023-12-17,24456.78
2023-12-18,24678.90
2023-12-19,25567.34
2023-12-20,26345.67
2023-12-21,27234.56
2023-12-22,28123.78
2023-12-23,29456.90
2023-12-24,28234.56
2023-12-25,27567.89
2023-12-26,26678.45
2023-12-27,25456.78
2023-12-28,24234.90
2023-12-29,23123.56
2023-12-30,22456.78
2023-12-31,21678.90
