epoch=1 train_loss=2.4531 val_loss=2.3891 val_accuracy=0.2341
epoch=47 train_loss=0.5789 val_loss=0.6734 val_accuracy=0.8501
epoch=48 train_loss=0.5701 val_loss=0.6701 val_accuracy=0.8512
epoch=49 train_loss=0.5623 val_loss=0.6678 val_accuracy=0.8518
epoch=50 train_loss=0.5545 val_loss=0.6656 val_accuracy=0.8523
epoch=51 train_loss=0.5467 val_loss=0.6645 val_accuracy=0.8521
epoch=52 train_loss=0.5389 val_loss=0.6634 val_accuracy=0.8519
epoch=53 train_loss=0.5323 val_loss=0.6623 val_accuracy=0.8516
epoch=54 train_loss=0.5256 val_loss=0.6619 val_accuracy=0.8514
epoch=55 train_loss=0.5189 val_loss=0.6612 val_accuracy=0.8517
epoch=56 train_loss=0.5134 val_loss=0.6608 val_accuracy=0.8513
epoch=57 train_loss=0.5078 val_loss=0.6601 val_accuracy=0.8510
epoch=58 train_loss=0.5023 val_loss=0.6598 val_accuracy=0.8508
epoch=59 train_loss=0.4967 val_loss=0.6595 val_accuracy=0.8505
epoch=60 train_loss=0.4923 val_loss=0.6594 val_accuracy=0.8503
epoch=61 train_loss=0.4878 val_loss=0.6596 val_accuracy=0.8499
epoch=62 train_loss=0.4834 val_loss=0.6601 val_accuracy=0.8495
epoch=63 train_loss=0.4789 val_loss=0.6609 val_accuracy=0.8491
epoch=64 train_loss=0.4756 val_loss=0.6618 val_accuracy=0.8487
epoch=65 train_loss=0.4712 val_loss=0.6628 val_accuracy=0.8483
epoch=66 train_loss=0.4678 val_loss=0.6639 val_accuracy=0.8479
epoch=67 train_loss=0.4645 val_loss=0.6651 val_accuracy=0.8474
epoch=68 train_loss=0.4612 val_loss=0.6664 val_accuracy=0.8470
epoch=69 train_loss=0.4578 val_loss=0.6678 val_accuracy=0.8465
epoch=70 train_loss=0.4545 val_loss=0.6693 val_accuracy=0.8461
epoch=71 train_loss=0.4512 val_loss=0.6707 val_accuracy=0.8456
epoch=72 train_loss=0.4489 val_loss=0.6723 val_accuracy=0.8451
epoch=73 train_loss=0.4456 val_loss=0.6738 val_accuracy=0.8446
epoch=74 train_loss=0.4434 val_loss=0.6754 val_accuracy=0.8441
epoch=75 train_loss=0.4401 val_loss=0.6769 val_accuracy=0.8436
epoch=76 train_loss=0.4378 val_loss=0.6784 val_accuracy=0.8431
epoch=77 train_loss=0.4356 val_loss=0.6799 val_accuracy=0.8426
epoch=78 train_loss=0.4334 val_loss=0.6813 val_accuracy=0.8421
epoch=79 train_loss=0.4312 val_loss=0.6827 val_accuracy=0.8416
epoch=80 train_loss=0.4289 val_loss=0.6841 val_accuracy=0.8411
epoch=81 train_loss=0.4267 val_loss=0.6854 val_accuracy=0.8406
epoch=82 train_loss=0.4245 val_loss=0.6867 val_accuracy=0.8401
epoch=83 train_loss=0.4223 val_loss=0.6879 val_accuracy=0.8396
epoch=84 train_loss=0.4201 val_loss=0.6891 val_accuracy=0.8391
epoch=85 train_loss=0.4179 val_loss=0.6903 val_accuracy=0.8386
epoch=86 train_loss=0.4158 val_loss=0.6914 val_accuracy=0.8381
epoch=87 train_loss=0.4136 val_loss=0.6925 val_accuracy=0.8376
epoch=88 train_loss=0.4115 val_loss=0.6936 val_accuracy=0.8371
epoch=89 train_loss=0.4094 val_loss=0.6946 val_accuracy=0.8366
epoch=90 train_loss=0.4073 val_loss=0.6956 val_accuracy=0.8361
epoch=91 train_loss=0.4052 val_loss=0.6965 val_accuracy=0.8356
epoch=92 train_loss=0.4031 val_loss=0.6974 val_accuracy=0.8351
epoch=93 train_loss=0.4010 val_loss=0.6983 val_accuracy=0.8346
epoch=94 train_loss=0.3989 val_loss=0.6991 val_accuracy=0.8341
epoch=95 train_loss=0.3969 val_loss=0.6999 val_accuracy=0.8336
epoch=96 train_loss=0.3948 val_loss=0.7007 val_accuracy=0.8331
epoch=97 train_loss=0.3928 val_loss=0.7014 val_accuracy=0.8326
epoch=98 train_loss=0.3908 val_loss=0.7021 val_accuracy=0.8321
epoch=99 train_loss=0.3888 val_loss=0.7028 val_accuracy=0.8316
epoch=100 train_loss=0.3868 val_loss=0.7034 val_accuracy=0.8311
epoch=101 train_loss=0.3848 val_loss=0.7040 val_accuracy=0.8306
epoch=102 train_loss=0.3829 val_loss=0.7046 val_accuracy=0.8301
epoch=103 train_loss=0.3809 val_loss=0.7052 val_accuracy=0.8296
epoch=104 train_loss=0.3790 val_loss=0.7057 val_accuracy=0.8292
epoch=105 train_loss=0.3771 val_loss=0.7062 val_accuracy=0.8287
epoch=106 train_loss=0.3752 val_loss=0.7067 val_accuracy=0.8282
epoch=107 train_loss=0.3733 val_loss=0.7072 val_accuracy=0.8277
epoch=108 train_loss=0.3714 val_loss=0.7076 val_accuracy=0.8273
epoch=109 train_loss=0.3695 val_loss=0.7080 val_accuracy=0.8268
epoch=110 train_loss=0.3677 val_loss=0.7084 val_accuracy=0.8263
epoch=111 train_loss=0.3658 val_loss=0.7088 val_accuracy=0.8259
epoch=112 train_loss=0.3640 val_loss=0.7092 val_accuracy=0.8254
epoch=113 train_loss=0.3622 val_loss=0.7095 val_accuracy=0.8250
epoch=114 train_loss=0.3604 val_loss=0.7098 val_accuracy=0.8245
epoch=115 train_loss=0.3586 val_loss=0.7101 val_accuracy=0.8241
epoch=116 train_loss=0.3568 val_loss=0.7104 val_accuracy=0.8236
epoch=117 train_loss=0.3551 val_loss=0.7107 val_accuracy=0.8232
epoch=118 train_loss=0.3533 val_loss=0.7110 val_accuracy=0.8227
epoch=119 train_loss=0.3516 val_loss=0.7112 val_accuracy=0.8223
epoch=120 train_loss=0.3499 val_loss=0.7115 val_accuracy=0.8219
epoch=121 train_loss=0.3482 val_loss=0.7117 val_accuracy=0.8214
epoch=122 train_loss=0.3465 val_loss=0.7119 val_accuracy=0.8210
epoch=123 train_loss=0.3448 val_loss=0.7121 val_accuracy=0.8206
epoch=124 train_loss=0.3431 val_loss=0.7123 val_accuracy=0.8202
epoch=125 train_loss=0.3415 val_loss=0.7125 val_accuracy=0.8198
epoch=126 train_loss=0.3398 val_loss=0.7127 val_accuracy=0.8193
epoch=127 train_loss=0.3382 val_loss=0.7128 val_accuracy=0.8189
epoch=128 train_loss=0.3366 val_loss=0.7130 val_accuracy=0.8185
epoch=129 train_loss=0.3350 val_loss=0.7131 val_accuracy=0.8181
epoch=130 train_loss=0.3334 val_loss=0.7133 val_accuracy=0.8177
epoch=131 train_loss=0.3318 val_loss=0.7134 val_accuracy=0.8173
epoch=132 train_loss=0.3302 val_loss=0.7136 val_accuracy=0.8169
epoch=133 train_loss=0.3287 val_loss=0.7137 val_accuracy=0.8165
epoch=134 train_loss=0.3271 val_loss=0.7138 val_accuracy=0.8161
epoch=135 train_loss=0.3256 val_loss=0.7139 val_accuracy=0.8157
epoch=136 train_loss=0.3241 val_loss=0.7140 val_accuracy=0.8153
epoch=137 train_loss=0.3225 val_loss=0.7141 val_accuracy=0.8149
epoch=138 train_loss=0.3210 val_loss=0.7142 val_accuracy=0.8145
epoch=139 train_loss=0.3195 val_loss=0.7143 val_accuracy=0.8142
epoch=140 train_loss=0.3181 val_loss=0.7144 val_accuracy=0.8138
epoch=141 train_loss=0.3166 val_loss=0.7145 val_accuracy=0.8134
epoch=142 train_loss=0.3151 val_loss=0.7146 val_accuracy=0.8130
epoch=143 train_loss=0.3137 val_loss=0.7146 val_accuracy=0.8127
epoch=144 train_loss=0.3122 val_loss=0.7147 val_accuracy=0.8123
epoch=145 train_loss=0.3108 val_loss=0.7148 val_accuracy=0.8119
epoch=146 train_loss=0.3094 val_loss=0.7148 val_accuracy=0.8116
epoch=147 train_loss=0.3080 val_loss=0.7149 val_accuracy=0.8112
epoch=148 train_loss=0.3066 val_loss=0.7150 val_accuracy=0.8108
epoch=149 train_loss=0.3052 val_loss=0.7150 val_accuracy=0.8105
epoch=150 train_loss=0.3038 val_loss=0.7151 val_accuracy=0.8101
epoch=151 train_loss=0.3025 val_loss=0.7151 val_accuracy=0.8098
epoch=152 train_loss=0.3011 val_loss=0.7152 val_accuracy=0.8094
epoch=153 train_loss=0.2998 val_loss=0.7152 val_accuracy=0.8091
epoch=154 train_loss=0.2984 val_loss=0.7153 val_accuracy=0.8087
epoch=155 train_loss=0.2971 val_loss=0.7153 val_accuracy=0.8084
epoch=156 train_loss=0.2958 val_loss=0.7154 val_accuracy=0.8081
epoch=157 train_loss=0.2945 val_loss=0.7154 val_accuracy=0.8077
epoch=158 train_loss=0.2932 val_loss=0.7154 val_accuracy=0.8074
epoch=159 train_loss=0.2919 val_loss=0.7155 val_accuracy=0.8071
epoch=160 train_loss=0.2906 val_loss=0.7155 val_accuracy=0.8067
epoch=161 train_loss=0.2893 val_loss=0.7156 val_accuracy=0.8064
epoch=162 train_loss=0.2881 val_loss=0.7156 val_accuracy=0.8061
epoch=163 train_loss=0.2868 val_loss=0.7156 val_accuracy=0.8058
epoch=164 train_loss=0.2856 val_loss=0.7157 val_accuracy=0.8054
epoch=165 train_loss=0.2843 val_loss=0.7157 val_accuracy=0.8051
epoch=166 train_loss=0.2831 val_loss=0.7157 val_accuracy=0.8048
epoch=167 train_loss=0.2819 val_loss=0.7158 val_accuracy=0.8045
epoch=168 train_loss=0.2807 val_loss=0.7158 val_accuracy=0.8042
epoch=169 train_loss=0.2795 val_loss=0.7158 val_accuracy=0.8039
epoch=170 train_loss=0.2783 val_loss=0.7158 val_accuracy=0.8036
epoch=171 train_loss=0.2771 val_loss=0.7159 val_accuracy=0.8033
epoch=172 train_loss=0.2759 val_loss=0.7159 val_accuracy=0.8030
epoch=173 train_loss=0.2748 val_loss=0.7159 val_accuracy=0.8027
epoch=174 train_loss=0.2736 val_loss=0.7159 val_accuracy=0.8024
epoch=175 train_loss=0.2724 val_loss=0.7160 val_accuracy=0.8021
epoch=176 train_loss=0.2713 val_loss=0.7160 val_accuracy=0.8018
epoch=177 train_loss=0.2701 val_loss=0.7160 val_accuracy=0.8015
epoch=178 train_loss=0.2690 val_loss=0.7160 val_accuracy=0.8012
epoch=179 train_loss=0.2679 val_loss=0.7160 val_accuracy=0.8009
epoch=180 train_loss=0.2668 val_loss=0.7161 val_accuracy=0.8006
epoch=181 train_loss=0.2656 val_loss=0.7161 val_accuracy=0.8003
epoch=182 train_loss=0.2645 val_loss=0.7161 val_accuracy=0.8000
epoch=183 train_loss=0.2634 val_loss=0.7161 val_accuracy=0.7998
epoch=184 train_loss=0.2623 val_loss=0.7161 val_accuracy=0.7995
epoch=185 train_loss=0.2613 val_loss=0.7161 val_accuracy=0.7992
epoch=186 train_loss=0.2602 val_loss=0.7162 val_accuracy=0.7989
epoch=187 train_loss=0.2591 val_loss=0.7162 val_accuracy=0.7987
epoch=188 train_loss=0.2581 val_loss=0.7162 val_accuracy=0.7984
epoch=189 train_loss=0.2570 val_loss=0.7162 val_accuracy=0.7981
epoch=190 train_loss=0.2560 val_loss=0.7162 val_accuracy=0.7979
epoch=191 train_loss=0.2549 val_loss=0.7162 val_accuracy=0.7976
epoch=192 train_loss=0.2539 val_loss=0.7162 val_accuracy=0.7973
epoch=193 train_loss=0.2529 val_loss=0.7163 val_accuracy=0.7971
epoch=194 train_loss=0.2519 val_loss=0.7163 val_accuracy=0.7968
epoch=195 train_loss=0.2509 val_loss=0.7163 val_accuracy=0.7966
epoch=196 train_loss=0.2499 val_loss=0.7163 val_accuracy=0.7963
epoch=197 train_loss=0.2489 val_loss=0.7163 val_accuracy=0.7961
epoch=198 train_loss=0.2479 val_loss=0.7163 val_accuracy=0.7958
epoch=199 train_loss=0.2469 val_loss=0.7163 val_accuracy=0.7956
epoch=200 train_loss=0.2460 val_loss=0.7163 val_accuracy=0.7953
