CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,OnlineSecurity,TechSupport,PaymentMethod,Churn
CUST170,30,Female,8,56.2,449.6,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST171,59,Male,67,108.5,7269.5,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST172,23,Female,2,40.2,80.4,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST173,48,Male,44,90.8,3995.2,Two year,DSL,Yes,Yes,Credit card,No
CUST174,35,Female,17,68.5,1164.5,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST175,51,Male,51,97.1,4952.1,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST176,28,Female,6,51.9,311.4,Month-to-month,DSL,No,No,Mailed check,Yes
CUST177,56,Male,62,103.2,6398.4,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST178,32,Female,10,59.8,598.0,Month-to-month,Fiber optic,No,Yes,Electronic check,No
CUST179,44,Male,33,82.9,2735.7,One year,Fiber optic,Yes,No,Bank transfer,No
CUST180,29,Female,7,55.4,387.8,Month-to-month,DSL,No,No,Electronic check,Yes
