feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
0.923,0.667,0.578,0.267,-0.312,0.398,-0.289,0.256,0.312,-0.423,1
0.312,0.245,0.345,-0.356,0.423,-0.267,0.398,0.289,-0.312,0.267,0
1.045,0.623,0.612,0.289,-0.267,0.312,0.398,-0.423,0.356,-0.189,1
0.267,0.198,0.378,-0.312,0.356,-0.289,0.267,0.312,-0.423,0.398,0
0.867,0.734,0.612,0.198,-0.356,0.289,-0.312,0.423,0.267,-0.198,1
0.345,0.267,0.323,-0.289,0.398,-0.356,0.312,0.267,-0.198,0.423,0
1.167,0.589,0.634,0.312,-0.398,0.267,-0.289,0.356,0.423,-0.267,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.356,0
0.934,0.678,0.589,0.278,-0.312,0.356,-0.423,0.289,0.198,-0.356,1
0.323,0.234,0.345,-0.298,0.423,-0.312,0.267,0.398,-0.289,0.312,0
1.078,0.612,0.623,0.289,-0.356,0.398,-0.267,0.312,0.289,-0.423,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.423,0.289,-0.312,0.398,0
0.889,0.712,0.612,0.198,-0.289,0.312,-0.356,0.398,0.267,-0.423,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.267,0
1.134,0.567,0.645,0.312,-0.423,0.289,0.398,-0.267,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.356,0.267,-0.198,0.423,0
0.912,0.689,0.578,0.267,-0.312,0.398,-0.289,0.423,0.312,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.289,0.312,-0.423,0.398,0
1.023,0.634,0.612,0.289,-0.267,0.312,0.398,-0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.423,0.267,-0.289,0.312,0
0.878,0.723,0.601,0.198,-0.356,0.289,-0.312,0.398,0.423,-0.267,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.267,0.423,-0.198,0.356,0
1.145,0.578,0.634,0.312,-0.398,0.267,-0.423,0.356,0.312,-0.189,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.312,0.423,-0.267,0.356,0
0.945,0.667,0.589,0.278,-0.312,0.356,-0.289,0.267,0.398,-0.423,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.398,0.289,-0.312,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.267,0.398,0.423,-0.289,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.356,0.398,-0.198,0.312,0
0.901,0.712,0.589,0.198,-0.289,0.398,-0.356,0.312,0.267,-0.423,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.423,0.312,-0.356,0.267,0
1.112,0.589,0.645,0.312,-0.423,0.267,0.398,-0.289,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.398,0
0.923,0.678,0.578,0.267,-0.312,0.356,-0.423,0.289,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.312,0.289,-0.423,0.398,0
1.034,0.623,0.612,0.289,-0.267,0.398,-0.312,0.356,0.423,-0.289,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.398,0.267,-0.289,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.312,-0.289,0.423,0.356,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.423,0.267,-0.198,0.312,0
1.156,0.567,0.634,0.312,-0.398,0.289,-0.267,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.423,0.312,-0.267,0.356,0
0.934,0.689,0.589,0.278,-0.312,0.398,-0.289,0.423,0.267,-0.356,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.289,0.398,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.312,-0.423,0.398,0.289,-0.267,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.356,0.423,-0.198,0.312,0
0.889,0.723,0.612,0.198,-0.289,0.356,-0.312,0.398,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.398,0
1.123,0.578,0.645,0.312,-0.423,0.267,0.398,-0.356,0.289,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.398,0.267,-0.356,0.423,0
0.912,0.667,0.578,0.267,-0.312,0.356,-0.289,0.423,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.398,0.312,-0.423,0.289,0
1.023,0.634,0.612,0.289,-0.267,0.398,-0.356,0.312,0.423,-0.289,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.267,0.423,-0.289,0.312,0
0.878,0.712,0.601,0.198,-0.356,0.312,-0.289,0.398,0.267,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.423,0.267,-0.198,0.356,0
1.145,0.589,0.634,0.312,-0.398,0.267,-0.289,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.398,0
0.945,0.678,0.589,0.278,-0.312,0.398,-0.423,0.289,0.356,-0.267,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.312,0.398,-0.289,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.267,0.398,0.289,-0.423,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.423,0.356,-0.198,0.312,0
0.901,0.723,0.589,0.198,-0.289,0.356,-0.312,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.267,-0.356,0.423,0
1.112,0.567,0.645,0.312,-0.423,0.289,0.398,-0.267,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.423,0.267,-0.356,0.398,0
0.923,0.689,0.578,0.267,-0.312,0.398,-0.289,0.356,0.423,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.289,0.398,-0.423,0.312,0
1.034,0.623,0.612,0.289,-0.267,0.312,0.398,-0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.398,0.289,-0.267,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.289,-0.312,0.398,0.423,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.312,0.423,-0.198,0.267,0
1.156,0.578,0.634,0.312,-0.398,0.267,-0.423,0.356,0.289,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.312,0.423,-0.267,0.356,0
0.934,0.667,0.589,0.278,-0.312,0.356,-0.289,0.398,0.267,-0.423,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.398,0.289,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.398,-0.267,0.312,0.423,-0.289,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.356,0.398,-0.198,0.312,0
0.889,0.712,0.612,0.198,-0.289,0.312,-0.356,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.423,0.312,-0.356,0.398,0
1.123,0.589,0.645,0.312,-0.423,0.267,0.398,-0.289,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.312,0
0.912,0.678,0.578,0.267,-0.312,0.356,-0.423,0.289,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.312,0.398,-0.423,0.289,0
1.023,0.634,0.612,0.289,-0.267,0.398,-0.312,0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.423,0.267,-0.289,0.312,0
0.878,0.723,0.601,0.198,-0.356,0.312,-0.289,0.398,0.356,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.267,0.423,-0.198,0.356,0
1.145,0.567,0.634,0.312,-0.398,0.289,-0.267,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.398,0
0.945,0.689,0.589,0.278,-0.312,0.398,-0.289,0.423,0.267,-0.356,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.312,0.289,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.423,0.398,0.289,-0.267,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.356,0.423,-0.198,0.312,0
0.901,0.712,0.589,0.198,-0.289,0.398,-0.356,0.312,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.398,0
1.112,0.578,0.645,0.312,-0.423,0.267,0.398,-0.356,0.289,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.398,0.267,-0.356,0.423,0
0.923,0.667,0.578,0.267,-0.312,0.356,-0.289,0.423,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.398,0.312,-0.423,0.289,0
1.034,0.623,0.612,0.289,-0.267,0.398,-0.356,0.312,0.423,-0.289,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.267,0.398,-0.289,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.312,-0.289,0.423,0.267,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.423,0.267,-0.198,0.312,0
1.156,0.589,0.634,0.312,-0.398,0.267,-0.289,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.423,0.312,-0.267,0.356,0
0.934,0.678,0.589,0.278,-0.312,0.398,-0.423,0.289,0.356,-0.267,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.289,0.398,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.312,-0.267,0.398,0.289,-0.423,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.423,0.356,-0.198,0.312,0
0.889,0.723,0.612,0.198,-0.289,0.356,-0.312,0.398,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.267,-0.356,0.423,0
1.123,0.567,0.645,0.312,-0.423,0.289,0.398,-0.267,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.423,0.267,-0.356,0.398,0
0.912,0.689,0.578,0.267,-0.312,0.398,-0.289,0.356,0.423,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.289,0.398,-0.423,0.312,0
1.023,0.634,0.612,0.289,-0.267,0.312,0.398,-0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.398,0.289,-0.267,0.312,0
0.878,0.712,0.601,0.198,-0.356,0.289,-0.312,0.398,0.423,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.312,0.423,-0.198,0.267,0
1.145,0.578,0.634,0.312,-0.398,0.267,-0.423,0.356,0.289,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.312,0.423,-0.267,0.356,0
0.945,0.667,0.589,0.278,-0.312,0.356,-0.289,0.398,0.267,-0.423,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.398,0.289,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.398,-0.267,0.312,0.423,-0.289,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.356,0.398,-0.198,0.312,0
0.901,0.723,0.589,0.198,-0.289,0.312,-0.356,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.423,0.312,-0.356,0.398,0
1.112,0.589,0.645,0.312,-0.423,0.267,0.398,-0.289,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.312,0
0.923,0.678,0.578,0.267,-0.312,0.356,-0.423,0.289,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.312,0.398,-0.423,0.289,0
1.034,0.623,0.612,0.289,-0.267,0.398,-0.312,0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.423,0.267,-0.289,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.312,-0.289,0.398,0.356,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.267,0.423,-0.198,0.356,0
1.156,0.567,0.634,0.312,-0.398,0.289,-0.267,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.398,0
0.934,0.689,0.589,0.278,-0.312,0.398,-0.289,0.423,0.267,-0.356,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.312,0.289,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.312,-0.423,0.398,0.289,-0.267,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.356,0.423,-0.198,0.312,0
0.889,0.712,0.612,0.198,-0.289,0.398,-0.356,0.312,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.398,0
1.123,0.578,0.645,0.312,-0.423,0.267,0.398,-0.356,0.289,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.398,0.267,-0.356,0.423,0
0.912,0.667,0.578,0.267,-0.312,0.356,-0.289,0.423,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.398,0.312,-0.423,0.289,0
1.023,0.634,0.612,0.289,-0.267,0.398,-0.356,0.312,0.423,-0.289,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.267,0.398,-0.289,0.312,0
0.878,0.723,0.601,0.198,-0.356,0.312,-0.289,0.398,0.267,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.423,0.267,-0.198,0.312,0
1.145,0.589,0.634,0.312,-0.398,0.267,-0.289,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.423,0.312,-0.267,0.356,0
0.945,0.678,0.589,0.278,-0.312,0.398,-0.423,0.289,0.356,-0.267,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.289,0.398,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.267,0.398,0.289,-0.423,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.423,0.356,-0.198,0.312,0
0.901,0.723,0.589,0.198,-0.289,0.356,-0.312,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.267,-0.356,0.423,0
1.112,0.567,0.645,0.312,-0.423,0.289,0.398,-0.267,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.423,0.267,-0.356,0.398,0
0.923,0.689,0.578,0.267,-0.312,0.398,-0.289,0.356,0.423,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.289,0.398,-0.423,0.312,0
1.034,0.623,0.612,0.289,-0.267,0.312,0.398,-0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.398,0.289,-0.267,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.289,-0.312,0.398,0.423,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.312,0.423,-0.198,0.267,0
1.156,0.578,0.634,0.312,-0.398,0.267,-0.423,0.356,0.289,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.312,0.423,-0.267,0.356,0
0.934,0.667,0.589,0.278,-0.312,0.356,-0.289,0.398,0.267,-0.423,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.398,0.289,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.398,-0.267,0.312,0.423,-0.289,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.356,0.398,-0.198,0.312,0
0.889,0.712,0.612,0.198,-0.289,0.312,-0.356,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.423,0.312,-0.356,0.398,0
1.123,0.589,0.645,0.312,-0.423,0.267,0.398,-0.289,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.312,0
0.912,0.678,0.578,0.267,-0.312,0.356,-0.423,0.289,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.312,0.398,-0.423,0.289,0
1.023,0.634,0.612,0.289,-0.267,0.398,-0.312,0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.423,0.267,-0.289,0.312,0
0.878,0.723,0.601,0.198,-0.356,0.312,-0.289,0.398,0.356,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.267,0.423,-0.198,0.356,0
1.145,0.567,0.634,0.312,-0.398,0.289,-0.267,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.398,0
0.945,0.689,0.589,0.278,-0.312,0.398,-0.289,0.423,0.267,-0.356,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.312,0.289,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.423,0.398,0.289,-0.267,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.356,0.423,-0.198,0.312,0
0.901,0.712,0.589,0.198,-0.289,0.398,-0.356,0.312,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.398,0
1.112,0.578,0.645,0.312,-0.423,0.267,0.398,-0.356,0.289,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.398,0.267,-0.356,0.423,0
0.923,0.667,0.578,0.267,-0.312,0.356,-0.289,0.423,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.398,0.312,-0.423,0.289,0
1.034,0.623,0.612,0.289,-0.267,0.398,-0.356,0.312,0.423,-0.289,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.267,0.398,-0.289,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.312,-0.289,0.423,0.267,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.423,0.267,-0.198,0.312,0
1.156,0.589,0.634,0.312,-0.398,0.267,-0.289,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.423,0.312,-0.267,0.356,0
0.934,0.678,0.589,0.278,-0.312,0.398,-0.423,0.289,0.356,-0.267,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.289,0.398,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.312,-0.267,0.398,0.289,-0.423,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.423,0.356,-0.198,0.312,0
0.889,0.723,0.612,0.198,-0.289,0.356,-0.312,0.398,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.267,-0.356,0.423,0
1.123,0.567,0.645,0.312,-0.423,0.289,0.398,-0.267,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.423,0.267,-0.356,0.398,0
0.912,0.689,0.578,0.267,-0.312,0.398,-0.289,0.356,0.423,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.289,0.398,-0.423,0.312,0
1.023,0.634,0.612,0.289,-0.267,0.312,0.398,-0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.423,0.398,0.289,-0.267,0.312,0
0.878,0.712,0.601,0.198,-0.356,0.289,-0.312,0.398,0.423,-0.198,1
0.345,0.267,0.345,-0.289,0.398,-0.356,0.312,0.423,-0.198,0.267,0
1.145,0.578,0.634,0.312,-0.398,0.267,-0.423,0.356,0.289,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.398,0.312,0.423,-0.267,0.356,0
0.945,0.667,0.589,0.278,-0.312,0.356,-0.289,0.398,0.267,-0.423,1
0.323,0.234,0.367,-0.298,0.423,-0.312,0.398,0.289,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.398,-0.267,0.312,0.423,-0.289,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.356,0.398,-0.198,0.312,0
0.901,0.723,0.589,0.198,-0.289,0.312,-0.356,0.423,0.398,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.423,0.312,-0.356,0.398,0
1.112,0.589,0.645,0.312,-0.423,0.267,0.398,-0.289,0.356,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.312,0
0.923,0.678,0.578,0.267,-0.312,0.356,-0.423,0.289,0.398,-0.267,1
0.312,0.245,0.356,-0.356,0.423,-0.267,0.312,0.398,-0.423,0.289,0
1.034,0.623,0.612,0.289,-0.267,0.398,-0.312,0.356,0.289,-0.423,1
0.267,0.198,0.378,-0.312,0.356,-0.398,0.423,0.267,-0.289,0.312,0
0.867,0.734,0.612,0.198,-0.356,0.312,-0.289,0.398,0.356,-0.423,1
0.345,0.267,0.345,-0.289,0.398,-0.312,0.267,0.423,-0.198,0.356,0
1.156,0.567,0.634,0.312,-0.398,0.289,-0.267,0.356,0.423,-0.312,1
0.298,0.212,0.412,-0.356,0.289,-0.423,0.398,0.312,-0.267,0.398,0
0.934,0.689,0.589,0.278,-0.312,0.398,-0.289,0.423,0.267,-0.356,1
0.323,0.234,0.367,-0.298,0.423,-0.356,0.312,0.289,-0.423,0.267,0
1.078,0.612,0.623,0.289,-0.356,0.312,-0.423,0.398,0.289,-0.267,1
0.278,0.189,0.389,-0.312,0.267,-0.398,0.356,0.423,-0.198,0.312,0
0.889,0.712,0.612,0.198,-0.289,0.398,-0.356,0.312,0.423,-0.267,1
0.334,0.256,0.334,-0.267,0.398,-0.289,0.312,0.423,-0.356,0.398,0
1.123,0.578,0.645,0.312,-0.423,0.267,0.398,-0.356,0.289,-0.198,1
0.289,0.223,0.398,-0.289,0.312,-0.423,0.398,0.267,-0.356,0.423,0
