feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.54,-0.56,3.56,60.9,0.63,11.8,0.89,66.1,0.74,59.2,3
0.88,4.23,-2.56,82.4,0.49,13.9,-1.34,52.3,1.63,78.7,0
0.51,1.67,1.67,30.6,0.67,7.6,0.98,77.1,0.56,45.9,1
0.75,-2.78,-4.01,93.3,0.84,16.2,-2.45,36.7,1.69,87.9,2
0.42,5.34,4.12,65.7,0.55,10.5,1.78,71.4,0.79,62.8,3
0.85,0.45,-1.78,76.8,0.72,14.6,-0.87,48.9,1.41,81.6,0
0.26,-1.23,2.45,36.9,0.41,8.7,1.23,79.2,0.68,51.7,1
0.64,4.67,-3.67,87.9,0.78,15.8,-2.12,34.3,1.54,91.5,2
0.57,2.89,3.78,54.3,0.66,9.7,1.67,72.9,0.82,47.6,3
0.79,-3.45,-2.12,71.7,0.59,13.4,-1.12,47.1,1.73,83.8,0
0.44,5.56,1.45,29.8,0.73,7.4,0.84,80.6,0.61,43.2,1
0.70,3.12,-4.23,91.6,0.86,16.5,-2.34,30.5,1.58,92.3,2
0.36,-0.67,4.34,61.2,0.62,11.3,0.98,67.6,0.77,60.1,3
0.87,4.78,-2.45,79.3,0.47,13.8,-1.56,54.7,1.46,77.9,0
0.53,1.78,2.23,34.5,0.68,8.2,1.34,76.8,0.64,49.3,1
0.76,-2.56,-3.56,88.2,0.81,15.6,-2.23,37.9,1.72,89.4,2
0.31,5.23,3.89,58.1,0.54,10.8,1.89,70.7,0.73,64.2,3
0.84,0.78,-1.67,75.4,0.70,14.3,-0.91,50.4,1.35,81.3,0
0.47,-1.45,1.78,38.7,0.43,7.8,0.67,78.7,0.57,43.9,1
0.71,4.45,-4.12,90.8,0.88,16.7,-2.56,33.1,1.51,91.9,2
0.38,2.56,4.23,52.9,0.64,9.6,1.78,73.2,0.86,56.4,3
0.82,-3.23,-2.34,78.9,0.56,13.6,-1.34,45.8,1.29,84.6,0
0.28,5.67,2.12,32.7,0.74,7.7,1.12,81.4,0.69,41.5,1
0.65,3.34,-3.89,89.4,0.83,15.4,-2.01,35.7,1.47,90.2,2
0.55,-0.89,3.67,63.5,0.61,11.6,0.87,68.4,0.75,58.9,3
0.89,4.12,-2.23,81.8,0.48,13.2,-1.45,53.6,1.64,79.4,0
0.50,1.56,1.89,31.9,0.66,7.9,0.98,77.9,0.58,46.7,1
0.73,-2.67,-3.78,92.7,0.85,16.9,-2.34,31.8,1.70,88.5,2
0.40,5.45,4.01,66.4,0.53,10.3,1.67,70.9,0.80,63.7,3
0.86,0.56,-1.56,77.1,0.71,14.8,-0.98,49.2,1.38,82.9,0
0.25,-1.12,2.56,37.6,0.45,8.4,1.23,80.3,0.66,52.3,1
0.63,4.89,-3.45,88.1,0.79,15.2,-2.12,36.4,1.56,91.8,2
0.58,2.78,3.56,55.8,0.67,9.8,1.78,71.6,0.84,48.9,3
0.80,-3.34,-2.23,72.3,0.60,13.7,-1.23,46.5,1.75,85.1,0
0.46,5.12,1.67,30.4,0.72,7.3,0.91,79.8,0.63,42.8,1
0.69,3.67,-4.45,91.9,0.87,16.3,-2.45,32.4,1.62,92.7,2
0.35,-0.45,4.12,62.8,0.59,11.5,0.89,69.3,0.78,61.4,3
0.88,4.56,-2.67,80.2,0.50,13.4,-1.67,55.1,1.44,78.6,0
0.52,1.89,2.01,33.8,0.69,8.6,1.34,75.9,0.65,50.8,1
0.77,-2.45,-3.67,87.6,0.82,15.1,-2.23,38.6,1.68,90.1,2
0.32,5.34,3.78,59.3,0.56,10.9,1.89,72.3,0.76,65.1,3
0.83,0.67,-1.78,76.5,0.73,14.5,-0.89,51.7,1.33,80.7,0
0.49,-1.56,1.67,39.2,0.46,7.5,0.76,79.6,0.60,45.4,1
0.72,4.34,-4.01,90.5,0.86,16.8,-2.34,34.8,1.53,93.4,2
0.41,2.45,4.34,53.6,0.62,9.4,1.67,74.1,0.87,57.2,3
0.85,-3.12,-2.12,79.7,0.57,13.8,-1.45,47.9,1.31,86.3,0
0.30,5.89,2.23,31.3,0.75,7.1,1.12,82.1,0.70,40.6,1
0.68,3.23,-3.78,88.8,0.84,15.9,-2.01,37.2,1.49,89.9,2
0.56,-0.78,3.45,64.1,0.63,11.1,0.98,67.9,0.74,59.7,3
0.90,4.01,-2.34,82.6,0.51,13.1,-1.56,54.2,1.65,77.1,0
0.53,1.34,1.78,32.4,0.68,8.3,0.84,76.5,0.59,47.8,1
0.74,-2.89,-4.12,93.1,0.83,16.4,-2.45,33.9,1.71,87.2,2
0.43,5.67,4.23,67.9,0.55,10.2,1.78,69.8,0.81,64.6,3
0.87,0.89,-1.89,78.4,0.74,14.1,-0.87,50.9,1.39,83.5,0
0.27,-1.34,2.34,38.1,0.47,8.9,1.23,81.7,0.69,53.9,1
0.66,4.67,-3.56,89.6,0.80,16.1,-2.12,35.1,1.57,92.8,2
0.59,2.67,3.67,56.7,0.65,9.1,1.67,73.8,0.85,49.7,3
0.81,-3.45,-2.45,73.9,0.58,13.9,-1.34,48.3,1.76,84.2,0
0.45,5.23,1.56,29.1,0.71,7.8,0.98,80.4,0.62,44.1,1
0.70,3.56,-4.34,92.4,0.89,16.6,-2.56,31.6,1.60,91.6,2
0.37,-0.56,4.45,63.2,0.60,11.7,0.87,68.7,0.79,60.9,3
0.86,4.23,-2.56,81.5,0.52,13.5,-1.67,52.8,1.42,79.8,0
0.54,1.67,2.12,34.9,0.70,8.0,1.34,78.2,0.66,51.6,1
0.78,-2.78,-3.89,88.9,0.81,15.3,-2.23,39.7,1.69,89.3,2
0.33,5.12,3.89,60.5,0.57,10.6,1.89,71.1,0.77,65.8,3
