person_id,movie_id,relationship_type
17,41,ACTED_IN
18,41,ACTED_IN
24,41,DIRECTED
13,42,ACTED_IN
19,42,ACTED_IN
20,42,ACTED_IN
25,42,DIRECTED
13,43,ACTED_IN
14,43,ACTED_IN
15,43,ACTED_IN
26,43,DIRECTED
14,44,ACTED_IN
16,44,ACTED_IN
17,44,ACTED_IN
27,44,DIRECTED
15,45,ACTED_IN
18,45,ACTED_IN
19,45,ACTED_IN
21,45,DIRECTED
16,46,ACTED_IN
20,46,ACTED_IN
1,46,ACTED_IN
22,46,DIRECTED
17,47,ACTED_IN
2,47,ACTED_IN
3,47,ACTED_IN
23,47,DIRECTED
18,48,ACTED_IN
4,48,ACTED_IN
5,48,ACTED_IN
24,48,DIRECTED
19,49,ACTED_IN
6,49,ACTED_IN
7,49,ACTED_IN
25,49,DIRECTED
20,50,ACTED_IN
8,50,ACTED_IN
9,50,ACTED_IN
26,50,DIRECTED
1,11,ACTED_IN
1,12,ACTED_IN
1,13,ACTED_IN
1,14,ACTED_IN
1,15,ACTED_IN
1,16,ACTED_IN
1,17,ACTED_IN
1,18,ACTED_IN
1,19,ACTED_IN
1,20,ACTED_IN
2,16,ACTED_IN
2,17,ACTED_IN
2,18,ACTED_IN
2,19,ACTED_IN
2,20,ACTED_IN
3,21,ACTED_IN
3,22,ACTED_IN
3,23,ACTED_IN
3,24,ACTED_IN
3,25,ACTED_IN
4,25,ACTED_IN
4,26,ACTED_IN
4,27,ACTED_IN
4,28,ACTED_IN
5,28,ACTED_IN
5,29,ACTED_IN
5,30,ACTED_IN
6,30,ACTED_IN
6,31,ACTED_IN
6,32,ACTED_IN
7,32,ACTED_IN
7,33,ACTED_IN
8,34,ACTED_IN
8,35,ACTED_IN
9,36,ACTED_IN
9,37,ACTED_IN
10,38,ACTED_IN
10,39,ACTED_IN
11,40,ACTED_IN
11,41,ACTED_IN
12,42,ACTED_IN
12,43,ACTED_IN
13,44,ACTED_IN
13,45,ACTED_IN
14,46,ACTED_IN
14,47,ACTED_IN
15,48,ACTED_IN
15,49,ACTED_IN
16,50,ACTED_IN
17,50,ACTED_IN
18,49,ACTED_IN
19,48,ACTED_IN
20,47,ACTED_IN
10,11,ACTED_IN
11,12,ACTED_IN
12,13,ACTED_IN
13,14,ACTED_IN
14,15,ACTED_IN
27,50,DIRECTED
