fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.1,0.575,0.22,2.1,0.077,12,65,0.9968,3.29,0.51,9.9,6
11.0,0.42,0.73,1.8,0.072,6,21,0.9978,3.07,0.83,10.8,7
9.6,0.40,0.35,1.6,0.080,27,62,0.9972,3.17,0.70,10.0,6
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
7.0,0.52,0.08,1.9,0.068,6,12,0.9962,3.48,0.47,9.4,6
7.8,0.645,0.00,2.0,0.082,8,24,0.9964,3.30,0.53,9.7,5
7.5,0.70,0.07,2.5,0.084,13,60,0.9984,3.51,0.57,9.4,5
9.8,0.55,0.64,2.2,0.234,34,125,0.9990,3.32,0.56,9.6,5
8.2,0.62,0.24,2.9,0.092,25,108,0.9984,3.36,0.77,10.0,6
10.8,0.36,0.48,2.5,0.089,18,56,0.9980,3.20,0.78,10.1,6
7.7,0.71,0.05,2.6,0.085,14,47,0.9972,3.44,0.53,9.6,5
8.5,0.49,0.28,1.8,0.094,18,56,0.9970,3.28,0.77,9.5,6
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,0.91,9.2,5
8.4,0.50,0.27,2.0,0.084,10,37,0.9972,3.26,0.68,9.8,6
8.0,0.58,0.20,2.4,0.067,6,18,0.9968,3.37,0.57,9.3,5
7.2,0.49,0.24,2.2,0.064,21,38,0.9960,3.56,0.66,10.4,6
6.9,0.54,0.04,2.5,0.070,6,14,0.9955,3.54,0.50,10.6,6
7.7,0.60,0.26,2.2,0.090,17,42,0.9978,3.47,0.74,10.2,6
8.6,0.61,0.15,2.7,0.089,18,79,0.9976,3.32,0.58,9.5,5
9.5,0.50,0.36,2.3,0.092,35,105,0.9986,3.14,0.95,9.6,6
8.3,0.53,0.30,1.8,0.096,24,85,0.9986,3.42,0.77,9.7,5
8.5,0.42,0.40,2.4,0.085,17,69,0.9980,3.30,0.79,9.4,6
9.0,0.54,0.45,2.3,0.068,27,88,0.9970,3.23,0.56,10.0,6
7.4,0.58,0.22,2.2,0.072,16,48,0.9964,3.43,0.62,9.8,6
8.1,0.49,0.28,1.6,0.415,18,61,0.9971,3.11,1.33,9.8,6
10.4,0.44,0.42,1.6,0.078,6,15,0.9976,3.12,0.66,10.8,7
9.2,0.37,0.53,2.3,0.078,17,71,0.9980,3.35,0.82,9.5,6
7.9,0.52,0.26,1.9,0.079,30,71,0.9970,3.36,0.57,9.4,5
7.3,0.66,0.17,2.3,0.078,32,153,0.9968,3.36,0.82,9.7,5
7.3,0.51,0.02,1.9,0.074,9,33,0.9966,3.53,0.60,9.5,6
8.0,0.705,0.05,1.9,0.114,17,47,0.9984,3.45,0.74,9.25,5
8.4,0.54,0.23,1.9,0.076,6,29,0.9970,3.28,0.59,9.4,5
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
9.1,0.40,0.45,2.3,0.091,18,75,0.9978,3.22,0.69,9.5,6
8.3,0.42,0.62,1.9,0.070,8,24,0.9968,3.23,0.69,9.7,6
7.6,0.66,0.18,2.4,0.086,25,75,0.9972,3.35,0.56,9.7,5
8.8,0.45,0.46,2.2,0.081,28,92,0.9988,3.32,0.87,9.2,6
10.2,0.42,0.57,3.4,0.100,35,121,0.9988,3.18,0.92,9.6,6
10.0,0.44,0.44,1.9,0.092,18,50,0.9978,3.21,0.69,10.1,6
8.9,0.58,0.41,2.3,0.068,22,49,0.9970,3.30,0.53,10.0,6
8.7,0.54,0.30,2.1,0.086,14,51,0.9978,3.42,0.78,9.8,6
7.6,0.58,0.08,2.3,0.075,18,55,0.9970,3.49,0.63,9.9,6
9.3,0.32,0.52,2.4,0.084,24,85,0.9984,3.29,0.81,9.7,6
10.8,0.47,0.43,2.6,0.088,17,52,0.9988,3.14,0.78,9.8,6
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
9.1,0.29,0.49,1.9,0.070,16,48,0.9970,3.26,0.77,10.4,7
8.6,0.38,0.36,3.0,0.081,30,119,0.9974,3.28,0.69,9.3,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
7.1,0.59,0.00,1.8,0.056,14,23,0.9952,3.52,0.47,10.2,7
8.9,0.62,0.19,3.9,0.170,51,148,0.9986,3.14,0.90,9.5,5
12.8,0.30,0.74,2.6,0.095,9,28,0.9994,2.98,0.77,9.0,7
9.4,0.37,0.43,2.3,0.087,21,71,0.9982,3.26,0.77,9.3,6
11.7,0.31,0.62,6.2,0.087,29,91,0.9998,3.18,0.68,9.8,5
11.9,0.38,0.49,2.5,0.085,17,60,0.9986,3.08,0.79,9.8,6
9.3,0.50,0.36,2.4,0.082,27,90,0.9980,3.28,0.73,9.7,6
13.3,0.43,0.58,1.9,0.070,15,40,0.9989,2.99,0.74,10.7,7
8.8,0.42,0.45,2.6,0.095,20,104,0.9969,3.28,0.66,10.8,7
10.8,0.32,0.43,2.4,0.084,6,29,0.9987,3.05,0.77,9.6,6
11.3,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9.0,5
9.2,0.40,0.48,2.5,0.097,18,70,0.9984,3.35,0.68,9.8,6
7.7,0.56,0.08,2.5,0.114,15,65,0.9972,3.40,0.64,9.9,6
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.30,0.75,10.5,7
10.5,0.52,0.49,2.4,0.088,33,145,0.9984,3.22,0.70,9.6,5
8.8,0.61,0.19,3.9,0.170,51,148,0.9986,3.14,0.90,9.5,5
6.7,0.76,0.02,1.8,0.078,13,49,0.9962,3.54,0.52,9.9,6
