transaction_id,store_location,product_category,payment_method,customer_segment,transaction_date,amount
50,Store_35,Garden,Gift Card,Gold,2023-07-12,234.67
51,Store_12,Health,Credit Card,Silver,2023-03-25,345.67
52,Store_44,Office,Debit Card,Bronze,2023-11-07,123.45
53,Store_20,Music,Cash,New,2023-05-20,67.89
54,Store_08,Movies,PayPal,Regular,2023-09-02,234.56
55,Store_36,Games,Gift Card,VIP,2023-02-15,456.78
56,Store_49,Jewelry,Credit Card,Student,2023-06-28,789.01
57,Store_15,Shoes,Debit Card,Premium,2023-10-11,234.56
58,Store_41,Furniture,Cash,Gold,2023-04-24,678.90
59,Store_07,Tools,PayPal,Silver,2023-08-07,123.45
60,Store_28,Pet,Gift Card,Bronze,2023-12-20,89.01
61,Store_03,Electronics,Credit Card,New,2023-01-12,567.89
62,Store_45,Clothing,Debit Card,Regular,2023-07-25,178.90
63,Store_19,Food,Cash,VIP,2023-03-10,67.89
64,Store_33,Books,PayPal,Student,2023-11-22,234.56
65,Store_11,Toys,Gift Card,Premium,2023-05-06,345.67
66,Store_46,Home,Credit Card,Gold,2023-09-19,456.78
67,Store_26,Sports,Debit Card,Silver,2023-02-02,234.50
68,Store_38,Beauty,Cash,Bronze,2023-06-15,98.76
69,Store_14,Automotive,PayPal,New,2023-10-28,567.89
70,Store_30,Garden,Gift Card,Regular,2023-04-11,234.67
71,Store_42,Health,Credit Card,VIP,2023-08-24,345.67
72,Store_01,Office,Debit Card,Student,2023-12-07,123.45
73,Store_48,Music,Cash,Premium,2023-01-20,78.90
74,Store_25,Movies,PayPal,Gold,2023-07-03,267.89
75,Store_37,Games,Gift Card,Silver,2023-03-18,456.78
76,Store_13,Jewelry,Credit Card,Bronze,2023-11-30,789.01
77,Store_06,Shoes,Debit Card,New,2023-05-13,234.56
78,Store_29,Furniture,Cash,Regular,2023-09-26,678.90
79,Store_16,Tools,PayPal,VIP,2023-02-08,123.45
80,Store_40,Pet,Gift Card,Student,2023-06-21,89.01
81,Store_21,Electronics,Credit Card,Premium,2023-10-04,567.89
82,Store_04,Clothing,Debit Card,Gold,2023-04-17,178.90
83,Store_43,Food,Cash,Silver,2023-08-30,67.89
84,Store_32,Books,PayPal,Bronze,2023-12-13,234.56
85,Store_17,Toys,Gift Card,New,2023-01-26,345.67
86,Store_50,Home,Credit Card,Regular,2023-07-09,456.78
87,Store_10,Sports,Debit Card,VIP,2023-03-24,234.50
88,Store_27,Beauty,Cash,Student,2023-11-06,98.76
89,Store_39,Automotive,PayPal,Premium,2023-05-19,567.89
90,Store_02,Garden,Gift Card,Gold,2023-09-01,234.67
91,Store_47,Health,Credit Card,Silver,2023-02-14,345.67
92,Store_24,Office,Debit Card,Bronze,2023-06-27,123.45
93,Store_35,Music,Cash,New,2023-10-10,78.90
94,Store_12,Movies,PayPal,Regular,2023-04-23,267.89
95,Store_44,Games,Gift Card,VIP,2023-08-06,456.78
96,Store_20,Jewelry,Credit Card,Student,2023-12-19,789.01
97,Store_08,Shoes,Debit Card,Premium,2023-01-02,234.56
98,Store_36,Furniture,Cash,Gold,2023-07-15,678.90
99,Store_49,Tools,PayPal,Silver,2023-03-30,123.45
100,Store_15,Pet,Gift Card,Bronze,2023-11-12,89.01
101,Store_41,Electronics,Credit Card,New,2023-05-25,567.89
102,Store_07,Clothing,Debit Card,Regular,2023-09-07,178.90
103,Store_28,Food,Cash,VIP,2023-02-20,67.89
104,Store_03,Books,PayPal,Student,2023-06-03,234.56
105,Store_45,Toys,Gift Card,Premium,2023-10-16,345.67
106,Store_19,Home,Credit Card,Gold,2023-04-29,456.78
107,Store_33,Sports,Debit Card,Silver,2023-08-12,234.50
108,Store_11,Beauty,Cash,Bronze,2023-12-25,98.76
109,Store_46,Automotive,PayPal,New,2023-01-08,567.89
110,Store_26,Garden,Gift Card,Regular,2023-07-21,234.67
111,Store_38,Health,Credit Card,VIP,2023-03-06,345.67
112,Store_14,Office,Debit Card,Student,2023-11-18,123.45
113,Store_30,Music,Cash,Premium,2023-05-01,78.90
114,Store_42,Movies,PayPal,Gold,2023-09-14,267.89
115,Store_01,Games,Gift Card,Silver,2023-02-27,456.78
116,Store_48,Jewelry,Credit Card,Bronze,2023-06-10,789.01
117,Store_25,Shoes,Debit Card,New,2023-10-23,234.56
118,Store_37,Furniture,Cash,Regular,2023-04-06,678.90
119,Store_13,Tools,PayPal,VIP,2023-08-19,123.45
120,Store_06,Pet,Gift Card,Student,2023-12-02,89.01
121,Store_29,Electronics,Credit Card,Premium,2023-01-15,567.89
122,Store_16,Clothing,Debit Card,Gold,2023-07-28,178.90
123,Store_40,Food,Cash,Silver,2023-03-13,67.89
124,Store_21,Books,PayPal,Bronze,2023-11-25,234.56
125,Store_04,Toys,Gift Card,New,2023-05-08,345.67
126,Store_43,Home,Credit Card,Regular,2023-09-21,456.78
127,Store_32,Sports,Debit Card,VIP,2023-02-03,234.50
128,Store_17,Beauty,Cash,Student,2023-06-16,98.76
129,Store_50,Automotive,PayPal,Premium,2023-10-29,567.89
130,Store_10,Garden,Gift Card,Gold,2023-04-12,234.67
131,Store_27,Health,Credit Card,Silver,2023-08-25,345.67
132,Store_39,Office,Debit Card,Bronze,2023-12-08,123.45
133,Store_02,Music,Cash,New,2023-01-21,78.90
134,Store_47,Movies,PayPal,Regular,2023-07-04,267.89
135,Store_24,Games,Gift Card,VIP,2023-03-19,456.78
136,Store_35,Jewelry,Credit Card,Student,2023-11-01,789.01
137,Store_12,Shoes,Debit Card,Premium,2023-05-14,234.56
138,Store_44,Furniture,Cash,Gold,2023-09-27,678.90
139,Store_20,Tools,PayPal,Silver,2023-02-09,123.45
140,Store_08,Pet,Gift Card,Bronze,2023-06-22,89.01
141,Store_36,Electronics,Credit Card,New,2023-10-05,567.89
142,Store_49,Clothing,Debit Card,Regular,2023-04-18,178.90
143,Store_15,Food,Cash,VIP,2023-08-31,67.89
144,Store_41,Books,PayPal,Student,2023-12-14,234.56
145,Store_07,Toys,Gift Card,Premium,2023-01-27,345.67
146,Store_28,Home,Credit Card,Gold,2023-07-10,456.78
147,Store_03,Sports,Debit Card,Silver,2023-03-25,234.50
148,Store_45,Beauty,Cash,Bronze,2023-11-07,98.76
149,Store_19,Automotive,PayPal,New,2023-05-20,567.89
150,Store_33,Garden,Gift Card,Regular,2023-09-02,234.67
151,Store_11,Health,Credit Card,VIP,2023-02-15,345.67
152,Store_46,Office,Debit Card,Student,2023-06-28,123.45
153,Store_26,Music,Cash,Premium,2023-10-11,78.90
154,Store_38,Movies,PayPal,Gold,2023-04-24,267.89
155,Store_14,Games,Gift Card,Silver,2023-08-07,456.78
156,Store_30,Jewelry,Credit Card,Bronze,2023-12-20,789.01
157,Store_42,Shoes,Debit Card,New,2023-01-03,234.56
158,Store_01,Furniture,Cash,Regular,2023-07-16,678.90
159,Store_48,Tools,PayPal,VIP,2023-03-31,123.45
160,Store_25,Pet,Gift Card,Student,2023-11-13,89.01
161,Store_37,Electronics,Credit Card,Premium,2023-05-26,567.89
162,Store_13,Clothing,Debit Card,Gold,2023-09-08,178.90
163,Store_06,Food,Cash,Silver,2023-02-21,67.89
164,Store_29,Books,PayPal,Bronze,2023-06-04,234.56
165,Store_16,Toys,Gift Card,New,2023-10-17,345.67
166,Store_40,Home,Credit Card,Regular,2023-04-30,456.78
167,Store_21,Sports,Debit Card,VIP,2023-08-13,234.50
168,Store_04,Beauty,Cash,Student,2023-12-26,98.76
169,Store_43,Automotive,PayPal,Premium,2023-01-09,567.89
170,Store_32,Garden,Gift Card,Gold,2023-07-22,234.67
171,Store_17,Health,Credit Card,Silver,2023-03-07,345.67
172,Store_50,Office,Debit Card,Bronze,2023-11-19,123.45
173,Store_10,Music,Cash,New,2023-05-02,78.90
174,Store_27,Movies,PayPal,Regular,2023-09-15,267.89
175,Store_39,Games,Gift Card,VIP,2023-02-28,456.78
176,Store_02,Jewelry,Credit Card,Student,2023-06-11,789.01
177,Store_47,Shoes,Debit Card,Premium,2023-10-24,234.56
178,Store_24,Furniture,Cash,Gold,2023-04-07,678.90
179,Store_35,Tools,PayPal,Silver,2023-08-20,123.45
180,Store_12,Pet,Gift Card,Bronze,2023-12-03,89.01
181,Store_44,Electronics,Credit Card,New,2023-01-16,567.89
182,Store_20,Clothing,Debit Card,Regular,2023-07-29,178.90
183,Store_08,Food,Cash,VIP,2023-03-14,67.89
184,Store_36,Books,PayPal,Student,2023-11-26,234.56
185,Store_49,Toys,Gift Card,Premium,2023-05-09,345.67
186,Store_15,Home,Credit Card,Gold,2023-09-22,456.78
187,Store_41,Sports,Debit Card,Silver,2023-02-04,234.50
188,Store_07,Beauty,Cash,Bronze,2023-06-17,98.76
189,Store_28,Automotive,PayPal,New,2023-10-30,567.89
190,Store_03,Garden,Gift Card,Regular,2023-04-13,234.67
191,Store_45,Health,Credit Card,VIP,2023-08-26,345.67
192,Store_19,Office,Debit Card,Student,2023-12-09,123.45
193,Store_33,Music,Cash,Premium,2023-01-22,78.90
194,Store_11,Movies,PayPal,Gold,2023-07-05,267.89
195,Store_46,Games,Gift Card,Silver,2023-03-20,456.78
196,Store_26,Jewelry,Credit Card,Bronze,2023-11-02,789.01
197,Store_38,Shoes,Debit Card,New,2023-05-15,234.56
198,Store_14,Furniture,Cash,Regular,2023-09-28,678.90
199,Store_30,Tools,PayPal,VIP,2023-02-10,123.45
200,Store_42,Pet,Gift Card,Student,2023-06-23,89.01
201,Store_01,Electronics,Credit Card,Premium,2023-10-06,567.89
202,Store_48,Clothing,Debit Card,Gold,2023-04-19,178.90
203,Store_25,Food,Cash,Silver,2023-08-02,67.89
204,Store_37,Books,PayPal,Bronze,2023-12-15,234.56
205,Store_13,Toys,Gift Card,New,2023-01-28,345.67
206,Store_06,Home,Credit Card,Regular,2023-07-11,456.78
207,Store_29,Sports,Debit Card,VIP,2023-03-26,234.50
208,Store_16,Beauty,Cash,Student,2023-11-08,98.76
209,Store_40,Automotive,PayPal,Premium,2023-05-21,567.89
210,Store_21,Garden,Gift Card,Gold,2023-09-03,234.67
211,Store_04,Health,Credit Card,Silver,2023-02-16,345.67
212,Store_43,Office,Debit Card,Bronze,2023-06-29,123.45
213,Store_32,Music,Cash,New,2023-10-12,78.90
214,Store_17,Movies,PayPal,Regular,2023-04-25,267.89
215,Store_50,Games,Gift Card,VIP,2023-08-08,456.78
216,Store_10,Jewelry,Credit Card,Student,2023-12-21,789.01
217,Store_27,Shoes,Debit Card,Premium,2023-01-04,234.56
218,Store_39,Furniture,Cash,Gold,2023-07-17,678.90
219,Store_02,Tools,PayPal,Silver,2023-04-01,123.45
220,Store_47,Pet,Gift Card,Bronze,2023-11-14,89.01
221,Store_24,Electronics,Credit Card,New,2023-05-27,567.89
222,Store_35,Clothing,Debit Card,Regular,2023-09-09,178.90
223,Store_12,Food,Cash,VIP,2023-02-22,67.89
224,Store_44,Books,PayPal,Student,2023-06-05,234.56
225,Store_20,Toys,Gift Card,Premium,2023-10-18,345.67
226,Store_08,Home,Credit Card,Gold,2023-05-01,456.78
227,Store_36,Sports,Debit Card,Silver,2023-08-14,234.50
228,Store_49,Beauty,Cash,Bronze,2023-12-27,98.76
229,Store_15,Automotive,PayPal,New,2023-01-10,567.89
230,Store_41,Garden,Gift Card,Regular,2023-07-23,234.67
231,Store_07,Health,Credit Card,VIP,2023-03-08,345.67
232,Store_28,Office,Debit Card,Student,2023-11-20,123.45
233,Store_03,Music,Cash,Premium,2023-05-03,78.90
234,Store_45,Movies,PayPal,Gold,2023-09-16,267.89
235,Store_19,Games,Gift Card,Silver,2023-03-01,456.78
236,Store_33,Jewelry,Credit Card,Bronze,2023-06-12,789.01
237,Store_11,Shoes,Debit Card,New,2023-10-25,234.56
238,Store_46,Furniture,Cash,Regular,2023-04-08,678.90
239,Store_26,Tools,PayPal,VIP,2023-08-21,123.45
240,Store_38,Pet,Gift Card,Student,2023-12-04,89.01
241,Store_14,Electronics,Credit Card,Premium,2023-01-17,567.89
242,Store_30,Clothing,Debit Card,Gold,2023-07-30,178.90
243,Store_42,Food,Cash,Silver,2023-03-15,67.89
244,Store_01,Books,PayPal,Bronze,2023-11-27,234.56
245,Store_48,Toys,Gift Card,New,2023-05-10,345.67
246,Store_25,Home,Credit Card,Regular,2023-09-23,456.78
247,Store_37,Sports,Debit Card,VIP,2023-02-05,234.50
248,Store_13,Beauty,Cash,Student,2023-06-18,98.76
249,Store_06,Automotive,PayPal,Premium,2023-10-31,567.89
250,Store_29,Garden,Gift Card,Gold,2023-04-14,234.67
251,Store_16,Health,Credit Card,Silver,2023-08-27,345.67
252,Store_40,Office,Debit Card,Bronze,2023-12-10,123.45
253,Store_21,Music,Cash,New,2023-01-23,78.90
254,Store_04,Movies,PayPal,Regular,2023-07-06,267.89
255,Store_43,Games,Gift Card,VIP,2023-03-21,456.78
256,Store_32,Jewelry,Credit Card,Student,2023-11-03,789.01
257,Store_17,Shoes,Debit Card,Premium,2023-05-16,234.56
258,Store_50,Furniture,Cash,Gold,2023-09-29,678.90
259,Store_10,Tools,PayPal,Silver,2023-02-11,123.45
260,Store_27,Pet,Gift Card,Bronze,2023-06-24,89.01
261,Store_39,Electronics,Credit Card,New,2023-10-07,567.89
262,Store_02,Clothing,Debit Card,Regular,2023-04-20,178.90
263,Store_47,Food,Cash,VIP,2023-09-03,67.89
264,Store_24,Books,PayPal,Student,2023-12-16,234.56
265,Store_35,Toys,Gift Card,Premium,2023-01-29,345.67
266,Store_12,Home,Credit Card,Gold,2023-07-12,456.78
267,Store_44,Sports,Debit Card,Silver,2023-03-27,234.50
268,Store_20,Beauty,Cash,Bronze,2023-11-09,98.76
269,Store_08,Automotive,PayPal,New,2023-05-22,567.89
270,Store_36,Garden,Gift Card,Regular,2023-09-04,234.67
271,Store_49,Health,Credit Card,VIP,2023-02-17,345.67
272,Store_15,Office,Debit Card,Student,2023-06-30,123.45
273,Store_41,Music,Cash,Premium,2023-10-13,78.90
274,Store_07,Movies,PayPal,Gold,2023-04-26,267.89
275,Store_28,Games,Gift Card,Silver,2023-08-09,456.78
276,Store_03,Jewelry,Credit Card,Bronze,2023-12-22,789.01
277,Store_45,Shoes,Debit Card,New,2023-01-05,234.56
278,Store_19,Furniture,Cash,Regular,2023-07-18,678.90
279,Store_33,Tools,PayPal,VIP,2023-04-02,123.45
280,Store_11,Pet,Gift Card,Student,2023-11-15,89.01
281,Store_46,Electronics,Credit Card,Premium,2023-05-28,567.89
282,Store_26,Clothing,Debit Card,Gold,2023-09-10,178.90
283,Store_38,Food,Cash,Silver,2023-02-23,67.89
284,Store_14,Books,PayPal,Bronze,2023-06-06,234.56
285,Store_30,Toys,Gift Card,New,2023-10-19,345.67
286,Store_42,Home,Credit Card,Regular,2023-05-02,456.78
287,Store_01,Sports,Debit Card,VIP,2023-08-15,234.50
288,Store_48,Beauty,Cash,Student,2023-12-28,98.76
289,Store_25,Automotive,PayPal,Premium,2023-01-11,567.89
290,Store_37,Garden,Gift Card,Gold,2023-07-24,234.67
291,Store_13,Health,Credit Card,Silver,2023-03-09,345.67
292,Store_06,Office,Debit Card,Bronze,2023-11-21,123.45
293,Store_29,Music,Cash,New,2023-05-04,78.90
294,Store_16,Movies,PayPal,Regular,2023-09-17,267.89
295,Store_40,Games,Gift Card,VIP,2023-03-02,456.78
296,Store_21,Jewelry,Credit Card,Student,2023-06-13,789.01
297,Store_04,Shoes,Debit Card,Premium,2023-10-26,234.56
298,Store_43,Furniture,Cash,Gold,2023-04-09,678.90
299,Store_32,Tools,PayPal,Silver,2023-08-22,123.45
300,Store_17,Pet,Gift Card,Bronze,2023-12-05,89.01
301,Store_50,Electronics,Credit Card,New,2023-01-18,567.89
302,Store_10,Clothing,Debit Card,Regular,2023-07-31,178.90
303,Store_27,Food,Cash,VIP,2023-03-16,67.89
304,Store_39,Books,PayPal,Student,2023-11-28,234.56
305,Store_02,Toys,Gift Card,Premium,2023-05-11,345.67
306,Store_47,Home,Credit Card,Gold,2023-09-24,456.78
307,Store_24,Sports,Debit Card,Silver,2023-02-06,234.50
308,Store_35,Beauty,Cash,Bronze,2023-06-19,98.76
309,Store_12,Automotive,PayPal,New,2023-11-01,567.89
310,Store_44,Garden,Gift Card,Regular,2023-04-15,234.67
311,Store_20,Health,Credit Card,VIP,2023-08-28,345.67
312,Store_08,Office,Debit Card,Student,2023-12-11,123.45
313,Store_36,Music,Cash,Premium,2023-01-24,78.90
314,Store_49,Movies,PayPal,Gold,2023-07-07,267.89
315,Store_15,Games,Gift Card,Silver,2023-03-22,456.78
316,Store_41,Jewelry,Credit Card,Bronze,2023-11-04,789.01
317,Store_07,Shoes,Debit Card,New,2023-05-17,234.56
318,Store_28,Furniture,Cash,Regular,2023-09-30,678.90
319,Store_03,Tools,PayPal,VIP,2023-02-12,123.45
320,Store_45,Pet,Gift Card,Student,2023-06-25,89.01
321,Store_19,Electronics,Credit Card,Premium,2023-10-08,567.89
322,Store_33,Clothing,Debit Card,Gold,2023-04-21,178.90
323,Store_11,Food,Cash,Silver,2023-09-04,67.89
324,Store_46,Books,PayPal,Bronze,2023-12-17,234.56
325,Store_26,Toys,Gift Card,New,2023-01-30,345.67
326,Store_38,Home,Credit Card,Regular,2023-07-13,456.78
327,Store_14,Sports,Debit Card,VIP,2023-03-28,234.50
328,Store_30,Beauty,Cash,Student,2023-11-10,98.76
329,Store_42,Automotive,PayPal,Premium,2023-05-23,567.89
330,Store_01,Garden,Gift Card,Gold,2023-09-05,234.67
331,Store_48,Health,Credit Card,Silver,2023-02-18,345.67
332,Store_25,Office,Debit Card,Bronze,2023-07-01,123.45
333,Store_37,Music,Cash,New,2023-10-14,78.90
334,Store_13,Movies,PayPal,Regular,2023-04-27,267.89
335,Store_06,Games,Gift Card,VIP,2023-08-10,456.78
336,Store_29,Jewelry,Credit Card,Student,2023-12-23,789.01
337,Store_16,Shoes,Debit Card,Premium,2023-01-06,234.56
338,Store_40,Furniture,Cash,Gold,2023-07-19,678.90
339,Store_21,Tools,PayPal,Silver,2023-04-03,123.45
340,Store_04,Pet,Gift Card,Bronze,2023-11-16,89.01
341,Store_43,Electronics,Credit Card,New,2023-05-29,567.89
342,Store_32,Clothing,Debit Card,Regular,2023-09-11,178.90
343,Store_17,Food,Cash,VIP,2023-02-24,67.89
344,Store_50,Books,PayPal,Student,2023-06-07,234.56
345,Store_10,Toys,Gift Card,Premium,2023-10-20,345.67
346,Store_27,Home,Credit Card,Gold,2023-05-03,456.78
347,Store_39,Sports,Debit Card,Silver,2023-08-16,234.50
348,Store_02,Beauty,Cash,Bronze,2023-12-29,98.76
349,Store_47,Automotive,PayPal,New,2023-01-12,567.89
350,Store_24,Garden,Gift Card,Regular,2023-07-25,234.67
351,Store_35,Health,Credit Card,VIP,2023-03-10,345.67
352,Store_12,Office,Debit Card,Student,2023-11-22,123.45
353,Store_44,Music,Cash,Premium,2023-05-05,78.90
354,Store_20,Movies,PayPal,Gold,2023-09-18,267.89
355,Store_08,Games,Gift Card,Silver,2023-03-03,456.78
356,Store_36,Jewelry,Credit Card,Bronze,2023-06-14,789.01
357,Store_49,Shoes,Debit Card,New,2023-10-27,234.56
358,Store_15,Furniture,Cash,Regular,2023-04-10,678.90
359,Store_41,Tools,PayPal,VIP,2023-08-23,123.45
360,Store_07,Pet,Gift Card,Student,2023-12-06,89.01
361,Store_28,Electronics,Credit Card,Premium,2023-01-19,567.89
362,Store_03,Clothing,Debit Card,Gold,2023-08-01,178.90
363,Store_45,Food,Cash,Silver,2023-03-17,67.89
364,Store_19,Books,PayPal,Bronze,2023-11-29,234.56
365,Store_33,Toys,Gift Card,New,2023-05-12,345.67
366,Store_11,Home,Credit Card,Regular,2023-09-25,456.78
367,Store_46,Sports,Debit Card,VIP,2023-02-07,234.50
368,Store_26,Beauty,Cash,Student,2023-06-20,98.76
369,Store_38,Automotive,PayPal,Premium,2023-11-02,567.89
370,Store_14,Garden,Gift Card,Gold,2023-04-16,234.67
371,Store_30,Health,Credit Card,Silver,2023-08-29,345.67
372,Store_42,Office,Debit Card,Bronze,2023-12-12,123.45
373,Store_01,Music,Cash,New,2023-01-25,78.90
374,Store_48,Movies,PayPal,Regular,2023-07-08,267.89
375,Store_25,Games,Gift Card,VIP,2023-03-23,456.78
376,Store_37,Jewelry,Credit Card,Student,2023-11-05,789.01
377,Store_13,Shoes,Debit Card,Premium,2023-05-18,234.56
378,Store_06,Furniture,Cash,Gold,2023-10-01,678.90
379,Store_29,Tools,PayPal,Silver,2023-02-13,123.45
380,Store_16,Pet,Gift Card,Bronze,2023-06-26,89.01
381,Store_40,Electronics,Credit Card,New,2023-10-09,567.89
382,Store_21,Clothing,Debit Card,Regular,2023-04-22,178.90
383,Store_04,Food,Cash,VIP,2023-09-05,67.89
384,Store_43,Books,PayPal,Student,2023-12-18,234.56
385,Store_32,Toys,Gift Card,Premium,2023-01-31,345.67
386,Store_17,Home,Credit Card,Gold,2023-07-14,456.78
387,Store_50,Sports,Debit Card,Silver,2023-03-29,234.50
388,Store_10,Beauty,Cash,Bronze,2023-11-11,98.76
389,Store_27,Automotive,PayPal,New,2023-05-24,567.89
390,Store_39,Garden,Gift Card,Regular,2023-09-06,234.67
391,Store_02,Health,Credit Card,VIP,2023-02-19,345.67
392,Store_47,Office,Debit Card,Student,2023-07-02,123.45
393,Store_24,Music,Cash,Premium,2023-10-15,78.90
394,Store_35,Movies,PayPal,Gold,2023-04-28,267.89
395,Store_12,Games,Gift Card,Silver,2023-08-11,456.78
396,Store_44,Jewelry,Credit Card,Bronze,2023-12-24,789.01
397,Store_20,Shoes,Debit Card,New,2023-01-07,234.56
398,Store_08,Furniture,Cash,Regular,2023-07-20,678.90
399,Store_36,Tools,PayPal,VIP,2023-04-04,123.45
400,Store_49,Pet,Gift Card,Student,2023-11-17,89.01
401,Store_15,Electronics,Credit Card,Premium,2023-05-30,567.89
402,Store_41,Clothing,Debit Card,Gold,2023-09-12,178.90
403,Store_07,Food,Cash,Silver,2023-02-25,67.89
404,Store_28,Books,PayPal,Bronze,2023-06-08,234.56
405,Store_03,Toys,Gift Card,New,2023-10-21,345.67
406,Store_45,Home,Credit Card,Regular,2023-05-04,456.78
407,Store_19,Sports,Debit Card,VIP,2023-08-17,234.50
408,Store_33,Beauty,Cash,Student,2023-12-30,98.76
409,Store_11,Automotive,PayPal,Premium,2023-01-13,567.89
410,Store_46,Garden,Gift Card,Gold,2023-07-26,234.67
411,Store_26,Health,Credit Card,Silver,2023-03-11,345.67
412,Store_38,Office,Debit Card,Bronze,2023-11-23,123.45
413,Store_14,Music,Cash,New,2023-05-06,78.90
414,Store_30,Movies,PayPal,Regular,2023-09-19,267.89
415,Store_42,Games,Gift Card,VIP,2023-03-04,456.78
416,Store_01,Jewelry,Credit Card,Student,2023-06-15,789.01
417,Store_48,Shoes,Debit Card,Premium,2023-10-28,234.56
418,Store_25,Furniture,Cash,Gold,2023-04-11,678.90
419,Store_37,Tools,PayPal,Silver,2023-08-24,123.45
420,Store_13,Pet,Gift Card,Bronze,2023-12-07,89.01
421,Store_06,Electronics,Credit Card,New,2023-01-20,567.89
422,Store_29,Clothing,Debit Card,Regular,2023-08-02,178.90
423,Store_16,Food,Cash,VIP,2023-03-18,67.89
424,Store_40,Books,PayPal,Student,2023-11-30,234.56
425,Store_21,Toys,Gift Card,Premium,2023-05-13,345.67
426,Store_04,Home,Credit Card,Gold,2023-09-26,456.78
427,Store_43,Sports,Debit Card,Silver,2023-02-08,234.50
428,Store_32,Beauty,Cash,Bronze,2023-06-21,98.76
429,Store_17,Automotive,PayPal,New,2023-11-03,567.89
430,Store_50,Garden,Gift Card,Regular,2023-04-17,234.67
431,Store_10,Health,Credit Card,VIP,2023-08-30,345.67
432,Store_27,Office,Debit Card,Student,2023-12-13,123.45
433,Store_39,Music,Cash,Premium,2023-01-26,78.90
434,Store_02,Movies,PayPal,Gold,2023-07-09,267.89
435,Store_47,Games,Gift Card,Silver,2023-03-24,456.78
436,Store_24,Jewelry,Credit Card,Bronze,2023-11-06,789.01
437,Store_35,Shoes,Debit Card,New,2023-05-19,234.56
438,Store_12,Furniture,Cash,Regular,2023-10-02,678.90
439,Store_44,Tools,PayPal,VIP,2023-02-14,123.45
440,Store_20,Pet,Gift Card,Student,2023-06-27,89.01
441,Store_08,Electronics,Credit Card,Premium,2023-10-10,567.89
442,Store_36,Clothing,Debit Card,Gold,2023-04-23,178.90
443,Store_49,Food,Cash,Silver,2023-09-06,67.89
444,Store_15,Books,PayPal,Bronze,2023-12-19,234.56
445,Store_41,Toys,Gift Card,New,2023-02-01,345.67
446,Store_07,Home,Credit Card,Regular,2023-07-15,456.78
