date,product_id,product_name,quantity,price,revenue
2024-01-13,P029,Gaming Mouse,4,75.99,303.96
2024-01-13,P030,Gaming Keyboard,3,125.00,375.00
2024-01-13,P001,Widget A,10,10.50,105.00
2024-01-14,P025,Laptop Bag,9,55.00,495.00
2024-01-14,P026,Travel Adapter,11,24.50,269.50
2024-01-14,P031,Backpack Pro,5,89.00,445.00
2024-01-14,P032,Water Bottle,15,18.99,284.85
2024-01-14,P009,Power Bank,13,35.00,455.00
2024-01-15,P027,Stylus Pen,10,16.99,169.90
2024-01-15,P028,Card Reader,16,11.50,184.00
2024-01-15,P033,External SSD,4,150.00,600.00
2024-01-15,P034,Hard Drive,3,99.99,299.97
2024-01-15,P005,Device Plus,11,45.50,500.50
2024-01-16,P029,Gaming Mouse,7,75.99,531.93
2024-01-16,P030,Gaming Keyboard,5,125.00,625.00
2024-01-16,P035,Gaming Headset,6,95.00,570.00
2024-01-16,P036,Controller,8,49.99,399.92
2024-01-16,P002,Widget B,12,25.00,300.00
2024-01-17,P031,Backpack Pro,7,89.00,623.00
2024-01-17,P032,Water Bottle,18,18.99,341.82
2024-01-17,P037,Lunch Box,12,24.50,294.00
2024-01-17,P038,Coffee Mug,20,12.99,259.80
2024-01-17,P010,Headphones,9,55.99,503.91
2024-01-18,P033,External SSD,6,150.00,900.00
2024-01-18,P034,Hard Drive,5,99.99,499.95
2024-01-18,P039,RAM Module,8,65.00,520.00
2024-01-18,P040,Graphics Card,2,450.00,900.00
2024-01-18,P003,Gadget X,14,15.75,220.50
2024-01-19,P035,Gaming Headset,8,95.00,760.00
2024-01-19,P036,Controller,10,49.99,499.90
2024-01-19,P041,VR Headset,2,350.00,700.00
2024-01-19,P042,Capture Card,3,175.00,525.00
2024-01-19,P006,Smart Hub,4,120.00,480.00
2024-01-20,P037,Lunch Box,15,24.50,367.50
2024-01-20,P038,Coffee Mug,22,12.99,285.78
2024-01-20,P043,Desk Organizer,10,19.99,199.90
2024-01-20,P044,Cable Organizer,18,8.50,153.00
2024-01-20,P001,Widget A,16,10.50,168.00
2024-01-21,P039,RAM Module,10,65.00,650.00
2024-01-21,P040,Graphics Card,3,450.00,1350.00
2024-01-21,P045,CPU Cooler,5,75.00,375.00
2024-01-21,P046,Thermal Paste,12,8.99,107.88
2024-01-21,P011,Keyboard,10,75.00,750.00
2024-01-22,P041,VR Headset,3,350.00,1050.00
2024-01-22,P042,Capture Card,4,175.00,700.00
2024-01-22,P047,Stream Deck,2,150.00,300.00
2024-01-22,P048,Ring Light,6,55.00,330.00
2024-01-22,P004,Tool Pro,7,89.99,629.93
2024-01-23,P043,Desk Organizer,12,19.99,239.88
2024-01-23,P044,Cable Organizer,20,8.50,170.00
2024-01-23,P049,Drawer Unit,4,95.00,380.00
2024-01-23,P050,Bookshelf,2,125.00,250.00
2024-01-23,P013,Monitor Stand,8,42.50,340.00
2024-01-24,P045,CPU Cooler,7,75.00,525.00
2024-01-24,P046,Thermal Paste,15,8.99,134.85
2024-01-24,P051,Case Fan,20,15.50,310.00
2024-01-24,P052,Power Supply,4,110.00,440.00
2024-01-24,P002,Widget B,11,25.00,275.00
2024-01-25,P047,Stream Deck,3,150.00,450.00
2024-01-25,P048,Ring Light,8,55.00,440.00
2024-01-25,P053,Green Screen,3,85.00,255.00
2024-01-25,P054,Boom Arm,5,45.00,225.00
2024-01-25,P014,Webcam HD,7,95.00,665.00
2024-01-26,P049,Drawer Unit,5,95.00,475.00
2024-01-26,P050,Bookshelf,3,125.00,375.00
2024-01-26,P055,File Cabinet,2,180.00,360.00
2024-01-26,P056,Office Chair,4,250.00,1000.00
2024-01-26,P005,Device Plus,13,45.50,591.50
2024-01-27,P051,Case Fan,25,15.50,387.50
2024-01-27,P052,Power Supply,6,110.00,660.00
2024-01-27,P057,Motherboard,3,200.00,600.00
2024-01-27,P058,SSD Drive,8,80.00,640.00
2024-01-27,P009,Power Bank,14,35.00,490.00
2024-01-28,P053,Green Screen,4,85.00,340.00
2024-01-28,P054,Boom Arm,7,45.00,315.00
2024-01-28,P059,Pop Filter,10,12.99,129.90
2024-01-28,P060,XLR Cable,12,18.50,222.00
2024-01-28,P015,Speaker Set,6,110.00,660.00
2024-01-29,P055,File Cabinet,3,180.00,540.00
2024-01-29,P056,Office Chair,5,250.00,1250.00
2024-01-29,P061,Standing Desk,2,450.00,900.00
2024-01-29,P062,Footrest,8,35.00,280.00
2024-01-29,P003,Gadget X,16,15.75,252.00
2024-01-30,P057,Motherboard,4,200.00,800.00
2024-01-30,P058,SSD Drive,10,80.00,800.00
2024-01-30,P063,M.2 Drive,6,95.00,570.00
2024-01-30,P064,SATA Cable,15,6.99,104.85
2024-01-30,P001,Widget A,18,10.50,189.00
