sensor_id,timestamp,temperature_c,pressure_bar,vibration_hz
42,1679788800,72.1,9.9,62.8
42,1679875200,73.7,9.7,64.7
42,1679961600,71.8,9.8,63.3
42,1680048000,72.9,9.4,61.9
42,1680134400,73.4,9.6,62.5
42,1680220800,72.0,9.5,64.1
42,1680307200,73.1,9.9,63.6
42,1680393600,71.7,9.3,62.2
42,1680480000,72.8,9.7,63.9
42,1680566400,73.5,9.8,64.4
42,1680652800,72.3,9.4,61.6
42,1680739200,73.0,9.6,62.7
42,1680825600,71.9,9.5,64.8
42,1680912000,72.6,9.9,63.5
42,1680998400,73.3,9.7,62.1
89,1672531200,68.5,8.9,61.2
89,1672617600,69.2,9.1,62.5
89,1672704000,67.8,8.7,63.8
89,1672790400,68.9,9.0,61.9
89,1672876800,69.5,9.2,62.3
89,1672963200,68.1,8.8,64.1
89,1673049600,69.8,9.1,63.2
89,1673136000,67.6,8.9,61.7
89,1673222400,68.7,9.0,62.9
89,1673308800,69.3,9.3,64.5
89,1673395200,68.0,8.7,63.1
89,1673481600,69.1,9.1,62.0
89,1673568000,69.7,8.8,63.7
89,1673654400,67.9,9.2,64.3
89,1673740800,68.4,8.9,61.8
89,1673827200,69.6,9.0,62.6
89,1673913600,68.2,8.7,63.9
89,1674000000,69.0,9.1,64.2
89,1674086400,69.4,9.3,62.1
89,1674172800,67.7,8.8,63.4
89,1674259200,68.8,9.0,61.6
89,1674345600,69.2,8.9,62.8
89,1674432000,68.5,9.2,64.7
89,1674518400,69.9,8.7,63.3
89,1674604800,67.5,9.1,61.9
89,1674691200,68.6,8.8,62.5
89,1674777600,69.1,9.0,64.0
89,1674864000,68.3,9.3,63.6
89,1674950400,69.7,8.9,62.2
89,1675036800,67.8,8.7,64.4
89,1675123200,68.9,9.1,61.7
89,1675209600,69.5,9.2,63.0
89,1675296000,68.0,8.8,62.7
89,1675382400,69.3,9.0,64.1
89,1675468800,67.6,8.9,63.5
89,1675555200,68.7,9.3,61.8
89,1675641600,69.8,8.7,62.4
89,1675728000,68.2,9.1,64.6
89,1675814400,69.0,8.8,63.2
89,1675900800,69.4,9.0,61.9
89,1675987200,67.7,9.2,62.9
89,1676073600,68.8,8.9,64.3
89,1676160000,69.6,8.7,63.1
89,1676246400,68.1,9.1,61.6
89,1676332800,69.2,9.3,62.6
89,1676419200,67.9,8.8,64.8
89,1676505600,68.5,9.0,63.4
89,1676592000,69.1,8.9,62.0
89,1676678400,68.4,9.2,63.7
89,1676764800,69.7,8.7,64.2
89,1676851200,67.6,9.1,61.7
89,1676937600,68.9,8.8,62.8
89,1677024000,69.5,9.0,64.5
89,1677110400,68.0,9.3,63.3
89,1677196800,69.3,8.9,61.9
89,1677283200,67.8,8.7,62.5
89,1677369600,68.6,9.1,64.1
89,1677456000,69.8,9.2,63.6
89,1677542400,68.2,8.8,61.8
89,1677628800,69.0,9.0,62.2
89,1677715200,69.4,8.9,64.4
89,1677801600,67.7,9.3,63.0
89,1677888000,68.8,8.7,61.6
89,1677974400,69.6,9.1,62.7
89,1678060800,68.1,8.8,64.9
89,1678147200,69.2,9.0,63.5
89,1678233600,67.9,9.2,62.1
89,1678320000,68.5,8.9,63.8
89,1678406400,69.1,8.7,64.3
89,1678492800,68.4,9.1,61.7
89,1678579200,69.7,9.3,62.9
89,1678665600,67.6,8.8,64.6
89,1678752000,68.9,9.0,63.2
89,1678838400,69.5,8.9,61.9
89,1678924800,68.0,9.2,62.4
89,1679011200,69.3,8.7,64.0
89,1679097600,67.8,9.1,63.7
89,1679184000,68.6,8.8,61.8
89,1679270400,69.8,9.0,62.6
89,1679356800,68.2,9.3,64.5
89,1679443200,69.0,8.9,63.1
89,1679529600,69.4,8.7,62.0
89,1679616000,67.7,9.1,63.4
89,1679702400,68.8,9.2,64.2
89,1679788800,69.6,8.8,61.7
89,1679875200,68.1,9.0,62.8
89,1679961600,69.2,8.9,64.7
89,1680048000,67.9,9.3,63.3
89,1680134400,68.5,8.7,61.9
89,1680220800,69.1,9.1,62.5
89,1680307200,68.4,8.8,64.1
89,1680393600,69.7,9.0,63.6
89,1680480000,67.6,9.2,62.2
89,1680566400,68.9,8.9,63.9
89,1680652800,69.5,8.7,64.4
89,1680739200,68.0,9.1,61.6
89,1680825600,69.3,9.3,62.7
89,1680912000,67.8,8.8,64.8
89,1680998400,68.6,9.0,63.5
156,1672531200,70.5,9.3,63.2
156,1672617600,71.2,9.5,64.5
156,1672704000,69.8,9.1,62.8
156,1672790400,70.9,9.4,63.9
156,1672876800,71.5,9.6,61.7
156,1672963200,70.1,9.2,64.2
156,1673049600,71.8,9.5,63.1
156,1673136000,69.6,9.3,62.5
156,1673222400,70.7,9.4,64.8
156,1673308800,71.3,9.7,63.6
156,1673395200,70.0,9.1,61.9
156,1673481600,71.1,9.5,63.3
156,1673568000,71.7,9.2,64.1
156,1673654400,69.9,9.6,62.7
156,1673740800,70.4,9.3,63.8
156,1673827200,71.6,9.4,64.4
156,1673913600,70.2,9.1,62.2
156,1674000000,71.0,9.5,63.5
156,1674086400,71.4,9.7,61.6
156,1674172800,69.7,9.2,64.6
156,1674259200,70.8,9.4,63.0
156,1674345600,71.2,9.3,62.4
156,1674432000,70.5,9.6,64.3
156,1674518400,71.9,9.5,63.7
156,1674604800,69.5,9.1,61.8
156,1674691200,70.6,9.4,62.9
156,1674777600,71.1,9.2,64.5
156,1674864000,70.3,9.7,63.2
156,1674950400,71.7,9.3,62.1
156,1675036800,69.8,9.5,64.0
156,1675123200,70.9,9.4,63.4
156,1675209600,71.5,9.1,61.7
156,1675296000,70.0,9.6,62.6
156,1675382400,71.3,9.2,64.7
156,1675468800,69.6,9.5,63.1
156,1675555200,70.7,9.3,62.0
156,1675641600,71.8,9.4,63.9
156,1675728000,70.2,9.7,64.2
156,1675814400,71.0,9.1,61.9
156,1675900800,71.4,9.5,63.6
156,1675987200,69.7,9.2,64.8
156,1676073600,70.8,9.6,62.8
156,1676160000,71.2,9.3,63.3
156,1676246400,70.5,9.4,61.6
156,1676332800,71.9,9.5,64.1
156,1676419200,69.5,9.1,63.5
156,1676505600,70.6,9.7,62.5
156,1676592000,71.1,9.2,64.4
156,1676678400,70.3,9.4,63.8
156,1676764800,71.7,9.6,61.7
156,1676851200,69.8,9.3,62.7
156,1676937600,70.9,9.5,64.9
156,1677024000,71.5,9.1,63.0
156,1677110400,70.0,9.4,62.2
156,1677196800,71.3,9.2,64.3
156,1677283200,69.6,9.7,63.4
156,1677369600,70.7,9.5,61.8
156,1677456000,71.8,9.3,62.9
156,1677542400,70.2,9.6,64.6
156,1677628800,71.0,9.4,63.2
156,1677715200,71.4,9.1,62.1
156,1677801600,69.7,9.5,64.5
156,1677888000,70.8,9.2,63.7
156,1677974400,71.2,9.7,61.9
156,1678060800,70.5,9.3,62.4
156,1678147200,71.9,9.4,64.0
156,1678233600,69.5,9.6,63.1
156,1678320000,70.6,9.1,62.6
156,1678406400,71.1,9.5,64.8
156,1678492800,70.3,9.2,63.6
156,1678579200,71.7,9.4,61.6
156,1678665600,69.8,9.7,62.8
156,1678752000,70.9,9.3,64.2
156,1678838400,71.5,9.5,63.5
156,1678924800,70.0,9.1,62.0
156,1679011200,71.3,9.6,64.7
156,1679097600,69.6,9.2,63.3
156,1679184000,70.7,9.4,61.7
156,1679270400,71.8,9.7,62.5
156,1679356800,70.2,9.3,64.1
156,1679443200,71.0,9.5,63.9
156,1679529600,71.4,9.1,62.3
156,1679616000,69.7,9.4,64.4
156,1679702400,70.8,9.6,63.0
156,1679788800,71.2,9.2,61.8
156,1679875200,70.5,9.5,62.7
156,1679961600,71.9,9.3,64.9
156,1680048000,69.5,9.7,63.4
156,1680134400,70.6,9.4,62.2
156,1680220800,71.1,9.1,64.3
156,1680307200,70.3,9.5,63.8
156,1680393600,71.7,9.6,61.9
156,1680480000,69.8,9.2,62.6
156,1680566400,70.9,9.4,64.5
156,1680652800,71.5,9.3,63.2
156,1680739200,70.0,9.7,62.1
156,1680825600,71.3,9.5,64.6
156,1680912000,69.6,9.1,63.1
156,1680998400,70.7,9.4,62.4
50,1672531200,65.2,7.5,45.3
50,1672617600,66.1,7.8,47.2
50,1672704000,64.8,7.3,44.9
50,1672790400,65.9,7.6,46.5
50,1672876800,66.5,7.9,48.1
100,1672531200,55.3,6.2,35.7
100,1672617600,56.0,6.5,37.2
100,1672704000,54.7,6.0,34.8
100,1672790400,55.8,6.3,36.4
100,1672876800,56.4,6.6,38.0
200,1672531200,78.5,10.2,52.3
200,1672617600,79.2,10.5,54.1
200,1672704000,77.8,9.9,51.7
200,1672790400,78.9,10.3,53.5
200,1672876800,79.5,10.6,55.2
250,1672531200,82.1,11.5,58.9
250,1672617600,83.0,11.8,59.7
250,1672704000,81.5,11.2,57.8
250,1672790400,82.8,11.6,58.5
250,1672876800,83.5,11.9,60.2
300,1672531200,70.5,8.8,42.1
300,1672617600,71.2,9.1,43.8
300,1672704000,69.8,8.5,41.5
300,1672790400,70.9,8.9,42.9
300,1672876800,71.5,9.2,44.3
350,1672531200,62.3,7.1,38.5
350,1672617600,63.1,7.4,39.9
350,1672704000,61.7,6.8,37.8
350,1672790400,62.9,7.2,38.7
350,1672876800,63.6,7.5,40.1
400,1672531200,74.8,9.5,49.2
400,1672617600,75.5,9.8,50.7
400,1672704000,73.9,9.2,48.5
400,1672790400,75.1,9.6,49.8
400,1672876800,75.8,9.9,51.3
450,1672531200,68.2,8.3,44.7
450,1672617600,69.0,8.6,46.1
450,1672704000,67.5,8.0,43.9
450,1672790400,68.7,8.4,45.3
450,1672876800,69.4,8.7,46.8
500,1672531200,58.9,6.7,33.2
500,1672617600,59.6,7.0,34.8
500,1672704000,58.1,6.4,32.5
500,1672790400,59.3,6.8,33.9
500,1672876800,60.0,7.1,35.4
