f1,f2,f3,f4,f5,f6,f7,f8
-1.234,0.876,-3.445,1.978,-2.356,0.445,3.234,-1.567
3.467,-2.378,1.223,0.956,-1.467,2.378,-0.909,3.267
-0.489,3.234,2.167,-0.956,1.489,2.989,-1.234,0.645
1.034,-1.201,0.423,-2.301,3.423,-1.832,3.023,1.256
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
3.434,-2.312,1.245,1.023,-1.434,2.312,-0.843,3.234
-1.201,0.898,-3.478,2.001,-2.334,0.478,3.267,-1.578
3.478,-2.345,1.212,1.001,-1.478,2.345,-0.876,3.278
-0.467,3.256,2.178,-0.934,1.467,3.012,-1.256,0.678
0.978,-1.245,0.456,-2.334,3.456,-1.887,2.978,1.212
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
3.445,-2.389,1.256,0.945,-1.445,2.389,-0.921,3.256
-1.267,0.865,-3.434,1.967,-2.367,0.434,3.245,-1.589
3.456,-2.323,1.198,0.989,-1.456,2.323,-0.865,3.289
-0.445,3.278,2.156,-0.912,1.445,3.023,-1.289,0.689
1.012,-1.178,0.434,-2.312,3.434,-1.821,3.001,1.267
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.489,-2.356,1.189,0.978,-1.489,2.356,-0.898,3.267
2.401,0.087,-1.534,3.289,0.912,-0.278,1.623,2.076
2.278,0.167,-1.434,3.145,1.067,-0.189,1.478,2.167
-0.478,3.245,2.189,-0.945,1.478,2.989,-1.223,0.656
0.945,-1.223,0.467,-2.345,3.467,-1.876,2.945,1.223
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
3.423,-2.301,1.267,1.034,-1.423,2.301,-0.832,3.245
-1.245,0.887,-3.467,1.978,-2.378,0.467,3.256,-1.567
3.467,-2.367,1.223,0.967,-1.467,2.367,-0.887,3.267
-0.412,3.289,2.167,-0.901,1.412,3.034,-1.245,0.678
1.023,-1.212,0.445,-2.323,3.445,-1.854,3.012,1.245
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
3.434,-2.334,1.245,0.998,-1.434,2.334,-0.854,3.234
-1.223,0.876,-3.456,1.989,-2.345,0.456,3.267,-1.578
3.478,-2.378,1.212,0.956,-1.478,2.378,-0.909,3.278
-0.456,3.267,2.178,-0.923,1.456,3.001,-1.267,0.689
0.989,-1.256,0.478,-2.356,3.478,-1.898,2.978,1.212
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
3.445,-2.312,1.256,1.023,-1.445,2.312,-0.843,3.256
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.245,-1.589
3.456,-2.345,1.198,1.001,-1.456,2.345,-0.876,3.289
-0.423,3.234,2.156,-0.889,1.423,3.012,-1.278,0.701
1.056,-1.189,0.423,-2.289,3.423,-1.810,3.034,1.278
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
3.489,-2.389,1.189,0.945,-1.489,2.389,-0.921,3.267
-1.234,0.865,-3.445,1.978,-2.356,0.445,3.234,-1.567
3.423,-2.323,1.267,0.989,-1.423,2.323,-0.865,3.245
-0.489,3.256,2.189,-0.956,1.489,2.989,-1.234,0.645
0.934,-1.234,0.456,-2.334,3.456,-1.876,2.956,1.234
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
3.467,-2.356,1.223,0.978,-1.467,2.356,-0.898,3.267
-1.201,0.887,-3.467,2.001,-2.334,0.467,3.256,-1.578
3.434,-2.301,1.245,1.034,-1.434,2.301,-0.832,3.234
-0.467,3.278,2.167,-0.934,1.467,3.023,-1.256,0.678
1.001,-1.201,0.434,-2.312,3.434,-1.843,2.989,1.245
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
3.478,-2.367,1.212,0.967,-1.478,2.367,-0.887,3.278
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.267,-1.589
3.445,-2.334,1.256,0.998,-1.445,2.334,-0.854,3.256
-0.445,3.289,2.178,-0.912,1.445,3.012,-1.289,0.689
0.967,-1.267,0.467,-2.367,3.467,-1.898,2.967,1.223
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
3.456,-2.378,1.198,0.956,-1.456,2.378,-0.909,3.289
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
3.489,-2.312,1.189,1.023,-1.489,2.312,-0.843,3.267
-0.478,3.267,2.156,-0.945,1.478,3.001,-1.223,0.656
1.034,-1.178,0.445,-2.301,3.445,-1.821,3.023,1.256
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.423,-2.345,1.267,1.001,-1.423,2.345,-0.876,3.245
-1.223,0.865,-3.434,1.989,-2.345,0.434,3.267,-1.578
3.467,-2.389,1.223,0.945,-1.467,2.389,-0.921,3.267
-0.412,3.245,2.189,-0.901,1.412,2.989,-1.245,0.678
0.978,-1.245,0.478,-2.345,3.478,-1.887,2.978,1.212
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
3.434,-2.323,1.245,0.989,-1.434,2.323,-0.865,3.234
-1.256,0.887,-3.467,1.956,-2.378,0.467,3.256,-1.589
3.478,-2.356,1.212,0.978,-1.478,2.356,-0.898,3.278
-0.456,3.234,2.167,-0.923,1.456,3.012,-1.267,0.689
1.012,-1.212,0.445,-2.323,3.445,-1.854,3.001,1.267
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
3.445,-2.301,1.256,1.034,-1.445,2.301,-0.832,3.256
-1.234,0.876,-3.445,1.978,-2.356,0.445,3.234,-1.567
3.456,-2.367,1.198,0.967,-1.456,2.367,-0.887,3.289
-0.423,3.256,2.178,-0.889,1.423,3.023,-1.278,0.701
0.945,-1.256,0.456,-2.356,3.456,-1.898,2.945,1.223
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
3.489,-2.334,1.189,0.998,-1.489,2.334,-0.854,3.267
-1.201,0.898,-3.478,2.001,-2.334,0.478,3.267,-1.578
3.423,-2.378,1.267,0.956,-1.423,2.378,-0.909,3.245
-0.489,3.267,2.156,-0.956,1.489,2.989,-1.234,0.645
1.023,-1.189,0.434,-2.301,3.434,-1.821,3.012,1.245
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
3.467,-2.312,1.223,1.023,-1.467,2.312,-0.843,3.267
-1.267,0.865,-3.434,1.967,-2.367,0.434,3.245,-1.589
3.434,-2.345,1.245,1.001,-1.434,2.345,-0.876,3.234
-0.467,3.278,2.189,-0.934,1.467,3.001,-1.256,0.678
0.989,-1.234,0.467,-2.334,3.467,-1.876,2.978,1.212
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
3.478,-2.389,1.212,0.945,-1.478,2.389,-0.921,3.278
-1.245,0.887,-3.467,1.978,-2.378,0.467,3.256,-1.567
3.445,-2.323,1.256,0.989,-1.445,2.323,-0.865,3.256
-0.445,3.289,2.167,-0.912,1.445,3.012,-1.289,0.689
1.056,-1.201,0.423,-2.289,3.423,-1.843,3.034,1.278
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
3.456,-2.356,1.198,0.978,-1.456,2.356,-0.898,3.289
-1.223,0.876,-3.456,1.989,-2.345,0.456,3.267,-1.578
3.489,-2.301,1.189,1.034,-1.489,2.301,-0.832,3.267
-0.478,3.245,2.178,-0.945,1.478,2.989,-1.223,0.656
0.934,-1.267,0.478,-2.367,3.478,-1.898,2.956,1.234
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
3.423,-2.367,1.267,0.967,-1.423,2.367,-0.887,3.245
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.245,-1.589
3.467,-2.334,1.223,0.998,-1.467,2.334,-0.854,3.267
-0.412,3.267,2.156,-0.901,1.412,3.023,-1.245,0.678
1.001,-1.178,0.445,-2.312,3.445,-1.821,2.989,1.245
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.434,-2.378,1.245,0.956,-1.434,2.378,-0.909,3.234
-1.234,0.865,-3.445,1.978,-2.356,0.445,3.234,-1.567
3.478,-2.312,1.212,1.023,-1.478,2.312,-0.843,3.278
-0.456,3.234,2.189,-0.923,1.456,2.989,-1.267,0.689
0.967,-1.245,0.456,-2.345,3.456,-1.887,2.967,1.223
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
3.445,-2.345,1.256,1.001,-1.445,2.345,-0.876,3.256
-1.201,0.887,-3.467,2.001,-2.334,0.467,3.256,-1.578
3.456,-2.389,1.198,0.945,-1.456,2.389,-0.921,3.289
-0.423,3.256,2.167,-0.889,1.423,3.001,-1.278,0.701
1.034,-1.212,0.434,-2.301,3.434,-1.854,3.023,1.256
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
3.489,-2.323,1.189,0.989,-1.489,2.323,-0.865,3.267
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.267,-1.589
3.423,-2.356,1.267,0.978,-1.423,2.356,-0.898,3.245
-0.489,3.278,2.178,-0.956,1.489,3.012,-1.234,0.645
0.978,-1.256,0.467,-2.356,3.467,-1.898,2.978,1.212
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
3.467,-2.301,1.223,1.034,-1.467,2.301,-0.832,3.267
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
3.434,-2.367,1.245,0.967,-1.434,2.367,-0.887,3.234
-0.467,3.289,2.156,-0.934,1.467,3.023,-1.256,0.678
1.012,-1.189,0.445,-2.323,3.445,-1.810,3.001,1.267
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
3.478,-2.334,1.212,0.998,-1.478,2.334,-0.854,3.278
-1.223,0.865,-3.434,1.989,-2.345,0.434,3.267,-1.578
3.445,-2.378,1.256,0.956,-1.445,2.378,-0.909,3.256
-0.445,3.267,2.189,-0.912,1.445,2.989,-1.289,0.689
0.945,-1.234,0.478,-2.334,3.478,-1.876,2.945,1.223
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
3.456,-2.312,1.198,1.023,-1.456,2.312,-0.843,3.289
-1.256,0.887,-3.467,1.956,-2.378,0.467,3.256,-1.589
3.489,-2.345,1.189,1.001,-1.489,2.345,-0.876,3.267
-0.478,3.245,2.167,-0.945,1.478,3.001,-1.223,0.656
1.023,-1.201,0.434,-2.312,3.434,-1.843,3.012,1.245
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
3.423,-2.389,1.267,0.945,-1.423,2.389,-0.921,3.245
-1.234,0.876,-3.445,1.978,-2.356,0.445,3.234,-1.567
3.467,-2.323,1.223,0.989,-1.467,2.323,-0.865,3.267
-0.412,3.256,2.178,-0.901,1.412,3.012,-1.245,0.678
0.989,-1.267,0.456,-2.345,3.456,-1.898,2.978,1.212
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
3.434,-2.356,1.245,0.978,-1.434,2.356,-0.898,3.234
-1.201,0.898,-3.478,2.001,-2.334,0.478,3.267,-1.578
3.478,-2.301,1.212,1.034,-1.478,2.301,-0.832,3.278
-0.456,3.234,2.156,-0.923,1.456,3.023,-1.267,0.689
1.056,-1.178,0.423,-2.289,3.423,-1.821,3.034,1.278
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.445,-2.367,1.256,0.967,-1.445,2.367,-0.887,3.256
-1.267,0.865,-3.434,1.967,-2.367,0.434,3.245,-1.589
3.456,-2.334,1.198,0.998,-1.456,2.334,-0.854,3.289
-0.423,3.267,2.189,-0.889,1.423,2.989,-1.278,0.701
0.934,-1.245,0.467,-2.367,3.467,-1.887,2.956,1.234
-3.456,2.987,0.678,-1.234,-0.987,1.345,2.876,-2.345
-3.423,3.012,0.712,-1.198,-0.954,1.312,2.843,-2.312
-3.489,2.956,0.645,-1.267,-1.021,1.378,2.909,-2.378
-3.434,2.998,0.689,-1.212,-0.976,1.334,2.854,-2.334
-3.467,2.978,0.667,-1.245,-1.009,1.367,2.887,-2.367
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-3.478,2.967,0.656,-1.223,-0.998,1.356,2.898,-2.356
-3.445,3.023,0.623,-1.256,-0.943,1.301,2.832,-2.301
-3.456,2.945,0.634,-1.289,-1.032,1.389,2.921,-2.389
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-3.412,2.989,0.678,-1.234,-0.965,1.323,2.865,-2.323
-3.489,2.934,0.612,-1.267,-1.054,1.401,2.932,-2.401
-3.423,3.034,0.734,-1.201,-0.921,1.289,2.821,-2.289
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-3.467,2.956,0.645,-1.245,-1.010,1.345,2.876,-2.345
-0.412,3.223,2.189,-0.901,1.412,3.012,-1.234,0.678
-3.434,2.978,0.667,-1.212,-0.987,1.367,2.887,-2.367
0.998,-1.234,0.445,-2.345,3.445,-1.876,2.989,1.234
-3.478,2.989,0.678,-1.223,-0.976,1.334,2.854,-2.334
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-3.445,2.967,0.656,-1.256,-0.998,1.378,2.909,-2.378
-1.223,0.876,-3.456,1.978,-2.345,0.456,3.245,-1.578
-3.456,2.923,0.623,-1.234,-1.021,1.312,2.843,-2.312
0.967,-1.267,0.467,-2.367,3.467,-1.898,2.967,1.223
-3.489,2.945,0.634,-1.267,-1.043,1.345,2.876,-2.345
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
-0.456,3.256,2.167,-0.923,1.456,3.001,-1.267,0.689
-3.423,2.934,0.612,-1.198,-1.032,1.389,2.921,-2.389
1.034,-1.201,0.423,-2.301,3.423,-1.832,3.023,1.256
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
-3.467,2.978,0.667,-1.245,-0.987,1.323,2.865,-2.323
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.267,-1.589
-3.434,2.989,0.678,-1.212,-0.965,1.356,2.898,-2.356
-0.489,3.234,2.145,-0.956,1.489,2.978,-1.289,0.634
1.012,-1.178,0.445,-2.323,3.445,-1.821,3.001,1.267
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
-3.478,2.956,0.645,-1.223,-1.010,1.301,2.832,-2.301
-0.423,3.289,2.178,-0.889,1.423,3.034,-1.245,0.712
0.945,-1.245,0.478,-2.378,3.478,-1.887,2.945,1.189
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
-3.445,2.998,0.689,-1.256,-0.943,1.367,2.887,-2.367
-1.234,0.865,-3.445,1.989,-2.334,0.445,3.234,-1.567
-3.456,2.967,0.656,-1.234,-0.998,1.334,2.854,-2.334
-0.467,3.267,2.156,-0.934,1.467,3.012,-1.223,0.667
1.023,-1.223,0.434,-2.312,3.434,-1.854,3.012,1.245
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-3.489,2.934,0.612,-1.267,-1.054,1.378,2.909,-2.378
-1.201,0.887,-3.467,2.001,-2.356,0.467,3.256,-1.578
-3.423,2.945,0.634,-1.198,-1.032,1.345,2.876,-2.345
-0.445,3.245,2.189,-0.912,1.445,2.989,-1.256,0.678
0.989,-1.256,0.456,-2.345,3.456,-1.898,2.978,1.212
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-3.467,2.923,0.623,-1.245,-1.021,1.312,2.843,-2.312
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.278,-1.589
-3.434,2.956,0.645,-1.212,-0.987,1.389,2.921,-2.389
-0.478,3.223,2.167,-0.945,1.478,3.001,-1.234,0.645
1.056,-1.189,0.412,-2.278,3.412,-1.810,3.034,1.278
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-3.478,2.978,0.667,-1.223,-0.965,1.323,2.865,-2.323
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
-0.412,3.256,2.178,-0.901,1.412,3.023,-1.267,0.689
0.934,-1.212,0.467,-2.334,3.467,-1.876,2.956,1.234
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-3.445,2.989,0.678,-1.256,-0.943,1.356,2.898,-2.356
-1.223,0.865,-3.434,1.989,-2.345,0.434,3.267,-1.578
-3.456,2.967,0.656,-1.234,-0.998,1.301,2.832,-2.301
-0.456,3.289,2.156,-0.923,1.456,3.012,-1.245,0.678
1.001,-1.234,0.445,-2.312,3.445,-1.854,2.989,1.245
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
-3.489,2.945,0.634,-1.267,-1.043,1.367,2.887,-2.367
-1.256,0.887,-3.467,1.956,-2.378,0.467,3.256,-1.589
-0.423,3.267,2.189,-0.889,1.423,3.001,-1.278,0.701
0.967,-1.267,0.478,-2.367,3.478,-1.898,2.967,1.223
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
-3.423,2.989,0.678,-1.198,-0.965,1.334,2.854,-2.334
-1.234,0.876,-3.445,1.978,-2.356,0.445,3.234,-1.567
-3.467,2.956,0.645,-1.245,-1.010,1.378,2.909,-2.378
-0.489,3.234,2.167,-0.956,1.489,2.989,-1.234,0.645
1.034,-1.201,0.423,-2.301,3.423,-1.832,3.023,1.256
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
-3.434,2.923,0.623,-1.212,-1.021,1.312,2.843,-2.312
-1.201,0.898,-3.478,2.001,-2.334,0.478,3.267,-1.578
-3.478,2.967,0.656,-1.223,-0.998,1.345,2.876,-2.345
-0.467,3.256,2.178,-0.934,1.467,3.012,-1.256,0.678
0.978,-1.245,0.456,-2.334,3.456,-1.887,2.978,1.212
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
-3.445,2.934,0.612,-1.256,-1.032,1.389,2.921,-2.389
-1.267,0.865,-3.434,1.967,-2.367,0.434,3.245,-1.589
-3.456,2.978,0.667,-1.234,-0.987,1.323,2.865,-2.323
-0.445,3.278,2.156,-0.912,1.445,3.023,-1.289,0.689
1.012,-1.178,0.434,-2.312,3.434,-1.821,3.001,1.267
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-3.489,2.945,0.634,-1.267,-1.043,1.356,2.898,-2.356
-1.245,0.887,-3.467,1.978,-2.378,0.467,3.256,-1.567
-3.423,2.989,0.678,-1.198,-0.965,1.301,2.832,-2.301
-0.478,3.245,2.189,-0.945,1.478,2.989,-1.223,0.656
0.945,-1.223,0.467,-2.345,3.467,-1.876,2.945,1.223
