gene_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
GENE_130	2678	2789	2567	2734	2689	2756
GENE_131	0	0	0	0	0	0
GENE_132	567	601	468	578	561	589
GENE_133	1789	1845	1656	1812	1778	1834
GENE_134	345	378	256	361	349	372
GENE_135	2345	2456	2245	2401	2367	2434
GENE_136	0	0	0	0	0	0
GENE_137	678	712	579	689	671	704
GENE_138	1567	1623	1456	1589	1556	1612
GENE_139	456	489	356	472	461	485
GENE_140	2890	2989	2756	2934	2901	2967
GENE_141	0	0	0	0	0	0
GENE_142	789	823	712	801	784	812
GENE_143	1234	1289	1145	1256	1223	1278
GENE_144	234	267	134	245	229	256
GENE_145	3234	3356	3101	3289	3256	3334
GENE_146	0	0	0	0	0	0
GENE_147	890	934	812	912	901	923
GENE_148	1678	1734	1556	1689	1665	1721
GENE_149	345	378	245	361	349	372
GENE_150	2567	2678	2456	2623	2589	2656
GENE_151	0	0	0	0	0	0
GENE_152	567	601	457	578	561	589
GENE_153	1456	1512	1345	1478	1445	1501
GENE_154	456	489	345	472	461	485
GENE_155	2456	2567	2345	2512	2478	2545
GENE_156	0	0	0	0	0	0
GENE_157	678	712	568	689	671	704
GENE_158	1789	1845	1645	1812	1778	1834
GENE_159	234	267	123	245	229	256
GENE_160	3567	3689	3456	3612	3589	3667
GENE_161	0	0	0	0	0	0
GENE_162	789	823	701	801	784	812
GENE_163	1567	1623	1445	1589	1556	1612
GENE_164	345	378	234	361	349	372
GENE_165	2678	2789	2556	2734	2689	2756
GENE_166	0	0	0	0	0	0
GENE_167	567	601	446	578	561	589
GENE_168	1234	1289	1134	1256	1223	1278
GENE_169	456	489	334	472	461	485
GENE_170	2345	2456	2234	2401	2367	2434
GENE_171	0	0	0	0	0	0
GENE_172	678	712	557	689	671	704
GENE_173	1678	1734	1545	1689	1665	1721
GENE_174	234	267	112	245	229	256
GENE_175	2890	2989	2745	2934	2901	2967
GENE_176	0	0	0	0	0	0
GENE_177	789	823	690	801	784	812
GENE_178	1456	1512	1334	1478	1445	1501
GENE_179	345	378	223	361	349	372
GENE_180	3234	3356	3090	3289	3256	3334
GENE_181	0	0	0	0	0	0
GENE_182	890	934	801	912	901	923
GENE_183	1789	1845	1634	1812	1778	1834
GENE_184	456	489	323	472	461	485
GENE_185	2567	2678	2445	2623	2589	2656
GENE_186	0	0	0	0	0	0
GENE_187	567	601	435	578	561	589
GENE_188	1567	1623	1434	1589	1556	1612
GENE_189	234	267	101	245	229	256
GENE_190	2456	2567	2334	2512	2478	2545
GENE_191	0	0	0	0	0	0
GENE_192	678	712	546	689	671	704
GENE_193	1234	1289	1123	1256	1223	1278
GENE_194	345	378	212	361	349	372
GENE_195	3456	3578	3367	3512	3478	3556
GENE_196	0	0	0	0	0	0
GENE_197	789	823	679	801	784	812
GENE_198	1678	1734	1534	1689	1665	1721
GENE_199	456	489	312	472	461	485
GENE_200	2678	2789	2545	2734	2689	2756
GENE_201	567	601	424	578	561	589
GENE_202	1456	1512	1323	1478	1445	1501
GENE_203	234	267	90	245	229	256
GENE_204	2345	2456	2223	2401	2367	2434
GENE_205	0	0	0	0	0	0
GENE_206	678	712	535	689	671	704
GENE_207	1789	1845	1623	1812	1778	1834
GENE_208	345	378	201	361	349	372
GENE_209	2890	2989	2734	2934	2901	2967
GENE_210	789	823	668	801	784	812
GENE_211	0	0	0	0	0	0
GENE_212	1567	1623	1423	1589	1556	1612
GENE_213	456	489	301	472	461	485
GENE_214	3234	3356	3079	3289	3256	3334
GENE_215	567	601	413	578	561	589
GENE_216	0	0	0	0	0	0
GENE_217	1234	1289	1112	1256	1223	1278
GENE_218	234	267	79	245	229	256
GENE_219	2567	2678	2434	2623	2589	2656
GENE_220	678	712	524	689	671	704
GENE_221	0	0	0	0	0	0
GENE_222	1678	1734	1523	1689	1665	1721
GENE_223	345	378	190	361	349	372
GENE_224	2456	2567	2323	2512	2478	2545
GENE_225	789	823	657	801	784	812
GENE_226	0	0	0	0	0	0
GENE_227	1456	1512	1312	1478	1445	1501
GENE_228	456	489	290	472	461	485
GENE_229	3567	3689	3445	3612	3589	3667
GENE_230	567	601	402	578	561	589
GENE_231	0	0	0	0	0	0
GENE_232	1789	1845	1612	1812	1778	1834
GENE_233	234	267	68	245	229	256
GENE_234	2678	2789	2534	2734	2689	2756
GENE_235	678	712	513	689	671	704
GENE_236	0	0	0	0	0	0
GENE_237	1567	1623	1412	1589	1556	1612
GENE_238	345	378	179	361	349	372
GENE_239	2345	2456	2212	2401	2367	2434
GENE_240	789	823	646	801	784	812
GENE_241	0	0	0	0	0	0
GENE_242	1234	1289	1101	1256	1223	1278
GENE_243	456	489	279	472	461	485
GENE_244	2890	2989	2723	2934	2901	2967
GENE_245	567	601	391	578	561	589
GENE_246	0	0	0	0	0	0
GENE_247	1678	1734	1512	1689	1665	1721
GENE_248	234	267	57	245	229	256
GENE_249	3234	3356	3068	3289	3256	3334
GENE_250	678	712	502	689	671	704
GENE_251	1456	1512	1301	1478	1445	1501
GENE_252	345	378	168	361	349	372
GENE_253	2567	2678	2423	2623	2589	2656
GENE_254	789	823	635	801	784	812
GENE_255	0	0	0	0	0	0
GENE_256	1789	1845	1601	1812	1778	1834
GENE_257	456	489	268	472	461	485
GENE_258	2456	2567	2312	2512	2478	2545
GENE_259	567	601	380	578	561	589
GENE_260	1567	1623	1401	1589	1556	1612
GENE_261	0	0	0	0	0	0
GENE_262	234	267	46	245	229	256
GENE_263	3456	3578	3356	3512	3478	3556
GENE_264	678	712	491	689	671	704
GENE_265	1234	1289	1090	1256	1223	1278
GENE_266	0	0	0	0	0	0
GENE_267	345	378	157	361	349	372
GENE_268	2678	2789	2523	2734	2689	2756
GENE_269	789	823	624	801	784	812
GENE_270	1678	1734	1501	1689	1665	1721
GENE_271	0	0	0	0	0	0
GENE_272	456	489	257	472	461	485
GENE_273	2345	2456	2201	2401	2367	2434
GENE_274	567	601	369	578	561	589
GENE_275	1456	1512	1290	1478	1445	1501
GENE_276	0	0	0	0	0	0
GENE_277	234	267	35	245	229	256
GENE_278	2890	2989	2712	2934	2901	2967
GENE_279	678	712	480	689	671	704
GENE_280	1789	1845	1590	1812	1778	1834
GENE_281	0	0	0	0	0	0
GENE_282	345	378	146	361	349	372
GENE_283	3234	3356	3057	3289	3256	3334
GENE_284	789	823	613	801	784	812
GENE_285	1567	1623	1390	1589	1556	1612
GENE_286	0	0	0	0	0	0
GENE_287	456	489	246	472	461	485
GENE_288	2567	2678	2412	2623	2589	2656
GENE_289	567	601	358	578	561	589
GENE_290	1234	1289	1079	1256	1223	1278
GENE_291	0	0	0	0	0	0
GENE_292	234	267	24	245	229	256
GENE_293	2456	2567	2301	2512	2478	2545
GENE_294	678	712	469	689	671	704
GENE_295	1678	1734	1490	1689	1665	1721
GENE_296	0	0	0	0	0	0
GENE_297	345	378	135	361	349	372
GENE_298	3567	3689	3434	3612	3589	3667
GENE_299	789	823	602	801	784	812
GENE_300	1456	1512	1279	1478	1445	1501
GENE_301	456	489	235	472	461	485
GENE_302	2678	2789	2512	2734	2689	2756
GENE_303	567	601	347	578	561	589
GENE_304	1789	1845	1579	1812	1778	1834
GENE_305	234	267	13	245	229	256
GENE_306	2345	2456	2190	2401	2367	2434
GENE_307	678	712	458	689	671	704
GENE_308	1567	1623	1379	1589	1556	1612
GENE_309	345	378	124	361	349	372
GENE_310	2890	2989	2701	2934	2901	2967
GENE_311	789	823	591	801	784	812
GENE_312	1234	1289	1068	1256	1223	1278
GENE_313	456	489	224	472	461	485
GENE_314	3234	3356	3046	3289	3256	3334
GENE_315	567	601	336	578	561	589
GENE_316	1678	1734	1479	1689	1665	1721
GENE_317	234	267	8	245	229	256
GENE_318	2567	2678	2401	2623	2589	2656
GENE_319	678	712	447	689	671	704
GENE_320	1456	1512	1268	1478	1445	1501
GENE_321	345	378	113	361	349	372
GENE_322	2456	2567	2290	2512	2478	2545
GENE_323	789	823	580	801	784	812
GENE_324	1789	1845	1568	1812	1778	1834
GENE_325	456	489	213	472	461	485
GENE_326	3456	3578	3345	3512	3478	3556
GENE_327	567	601	325	578	561	589
GENE_328	1567	1623	1368	1589	1556	1612
GENE_329	234	267	5	245	229	256
GENE_330	2678	2789	2501	2734	2689	2756
GENE_331	678	712	436	689	671	704
GENE_332	1234	1289	1057	1256	1223	1278
GENE_333	345	378	102	361	349	372
GENE_334	2345	2456	2179	2401	2367	2434
GENE_335	789	823	569	801	784	812
GENE_336	1678	1734	1468	1689	1665	1721
GENE_337	456	489	202	472	461	485
GENE_338	2890	2989	2690	2934	2901	2967
GENE_339	567	601	314	578	561	589
GENE_340	1456	1512	1257	1478	1445	1501
GENE_341	234	267	12	245	229	256
GENE_342	3234	3356	3035	3289	3256	3334
GENE_343	678	712	425	689	671	704
GENE_344	1789	1845	1557	1812	1778	1834
GENE_345	345	378	91	361	349	372
GENE_346	2567	2678	2390	2623	2589	2656
GENE_347	789	823	558	801	784	812
GENE_348	1567	1623	1357	1589	1556	1612
GENE_349	456	489	191	472	461	485
GENE_350	2456	2567	2279	2512	2478	2545
GENE_351	567	601	303	578	561	589
GENE_352	1234	1289	1046	1256	1223	1278
GENE_353	234	267	18	245	229	256
GENE_354	3567	3689	3423	3612	3589	3667
GENE_355	678	712	414	689	671	704
GENE_356	1678	1734	1457	1689	1665	1721
GENE_357	345	378	80	361	349	372
GENE_358	2678	2789	2490	2734	2689	2756
GENE_359	789	823	547	801	784	812
GENE_360	1456	1512	1246	1478	1445	1501
GENE_361	456	489	180	472	461	485
GENE_362	2345	2456	2168	2401	2367	2434
GENE_363	567	601	292	578	561	589
GENE_364	1789	1845	1546	1812	1778	1834
GENE_365	234	267	25	245	229	256
GENE_366	2890	2989	2679	2934	2901	2967
GENE_367	678	712	403	689	671	704
GENE_368	1567	1623	1346	1589	1556	1612
GENE_369	345	378	69	361	349	372
GENE_370	3234	3356	3024	3289	3256	3334
GENE_371	789	823	536	801	784	812
GENE_372	1234	1289	1035	1256	1223	1278
GENE_373	456	489	169	472	461	485
GENE_374	2567	2678	2379	2623	2589	2656
GENE_375	567	601	281	578	561	589
GENE_376	1678	1734	1446	1689	1665	1721
GENE_377	234	267	31	245	229	256
GENE_378	2456	2567	2268	2512	2478	2545
GENE_379	678	712	392	689	671	704
GENE_380	1456	1512	1235	1478	1445	1501
GENE_381	345	378	58	361	349	372
GENE_382	3456	3578	3334	3512	3478	3556
GENE_383	789	823	525	801	784	812
GENE_384	1789	1845	1535	1812	1778	1834
GENE_385	456	489	158	472	461	485
GENE_386	2678	2789	2479	2734	2689	2756
GENE_387	567	601	270	578	561	589
GENE_388	1567	1623	1335	1589	1556	1612
GENE_389	234	267	37	245	229	256
GENE_390	2345	2456	2157	2401	2367	2434
GENE_391	678	712	381	689	671	704
GENE_392	1234	1289	1024	1256	1223	1278
GENE_393	345	378	47	361	349	372
GENE_394	2890	2989	2668	2934	2901	2967
GENE_395	789	823	514	801	784	812
GENE_396	1678	1734	1435	1689	1665	1721
GENE_397	456	489	147	472	461	485
GENE_398	3234	3356	3013	3289	3256	3334
GENE_399	567	601	259	578	561	589
GENE_400	1456	1512	1224	1478	1445	1501
GENE_401	234	267	43	245	229	256
GENE_402	2567	2678	2368	2623	2589	2656
GENE_403	678	712	370	689	671	704
GENE_404	1789	1845	1524	1812	1778	1834
GENE_405	345	378	36	361	349	372
GENE_406	2456	2567	2257	2512	2478	2545
GENE_407	789	823	503	801	784	812
GENE_408	1567	1623	1324	1589	1556	1612
GENE_409	456	489	136	472	461	485
GENE_410	3567	3689	3412	3612	3589	3667
GENE_411	567	601	248	578	561	589
GENE_412	1234	1289	1013	1256	1223	1278
GENE_413	234	267	49	245	229	256
GENE_414	2678	2789	2468	2734	2689	2756
GENE_415	678	712	359	689	671	704
GENE_416	1678	1734	1424	1689	1665	1721
GENE_417	345	378	25	361	349	372
