transaction_id,product_id,quantity,unit_price_cents,transaction_status
1092,PROD023,2,25000,void
1093,PROD034,9,1500,completed
1094,PROD056,4,8750,completed
1095,PROD067,13,3300,pending
1096,PROD078,7,4200,completed
1097,PROD089,19,1200,completed
1098,PROD012,2,9500,completed
1099,PROD045,5,12500,completed
1100,PROD091,12,2800,completed
1101,PROD023,3,25000,completed
1102,PROD034,8,1500,completed
1103,PROD056,2,8750,void
1104,PROD067,14,3300,completed
1105,PROD078,9,4200,completed
1106,PROD089,21,1200,completed
1107,PROD012,1,9500,completed
1108,PROD045,3,12500,completed
1109,PROD091,10,2800,completed
1110,PROD023,2,25000,void
1111,PROD034,11,1500,completed
1112,PROD056,5,8750,completed
1113,PROD067,16,3300,completed
1114,PROD078,8,4200,pending
1115,PROD089,17,1200,completed
1116,PROD012,4,9500,completed
1117,PROD045,2,12500,completed
1118,PROD091,13,2800,completed
1119,PROD023,1,25000,completed
1120,PROD034,10,1500,void
1121,PROD056,3,8750,completed
1122,PROD067,11,3300,completed
1123,PROD078,7,4200,completed
1124,PROD089,20,1200,completed
1125,PROD012,3,9500,completed
1126,PROD045,4,12500,completed
1127,PROD091,9,2800,void
1128,PROD023,2,25000,completed
1129,PROD034,12,1500,completed
1130,PROD056,4,8750,completed
1131,PROD067,15,3300,pending
1132,PROD078,6,4200,completed
1133,PROD089,18,1200,completed
1134,PROD012,2,9500,completed
1135,PROD045,5,12500,completed
1136,PROD091,11,2800,completed
1137,PROD023,3,25000,void
1138,PROD034,8,1500,completed
1139,PROD056,5,8750,completed
1140,PROD067,12,3300,completed
1141,PROD078,9,4200,completed
1142,PROD089,22,1200,completed
1143,PROD012,1,9500,completed
1144,PROD045,3,12500,void
1145,PROD091,10,2800,completed
1146,PROD023,2,25000,completed
1147,PROD034,11,1500,completed
1148,PROD056,3,8750,completed
1149,PROD067,14,3300,completed
1150,PROD078,7,4200,pending
1151,PROD089,19,1200,completed
1152,PROD012,4,9500,completed
1153,PROD045,2,12500,completed
1154,PROD091,12,2800,completed
1155,PROD023,1,25000,void
1156,PROD034,10,1500,completed
1157,PROD056,4,8750,completed
1158,PROD067,13,3300,completed
1159,PROD078,8,4200,completed
1160,PROD089,21,1200,completed
1161,PROD012,3,9500,void
1162,PROD045,4,12500,completed
1163,PROD091,9,2800,completed
1164,PROD023,2,25000,completed
1165,PROD034,9,1500,completed
1166,PROD056,2,8750,completed
1167,PROD067,15,3300,pending
1168,PROD078,6,4200,completed
1169,PROD089,17,1200,completed
1170,PROD012,2,9500,completed
1171,PROD045,5,12500,completed
1172,PROD091,13,2800,void
1173,PROD023,3,25000,completed
1174,PROD034,8,1500,completed
1175,PROD056,5,8750,completed
1176,PROD067,11,3300,completed
1177,PROD078,7,4200,completed
1178,PROD089,20,1200,completed
1179,PROD012,1,9500,completed
1180,PROD045,3,12500,void
1181,PROD091,10,2800,completed
1182,PROD023,2,25000,completed
1183,PROD034,11,1500,completed
1184,PROD056,3,8750,completed
1185,PROD067,16,3300,pending
1186,PROD078,9,4200,completed
1187,PROD089,18,1200,completed
1188,PROD012,4,9500,completed
1189,PROD045,2,12500,completed
1190,PROD091,11,2800,completed
1191,PROD023,1,25000,void
1192,PROD034,10,1500,completed
1193,PROD056,4,8750,completed
1194,PROD067,12,3300,completed
1195,PROD078,8,4200,completed
1196,PROD089,22,1200,completed
1197,PROD012,3,9500,completed
1198,PROD045,4,12500,completed
1199,PROD091,9,2800,completed
1200,PROD023,2,25000,void
1201,PROD034,12,1500,completed
1202,PROD056,5,8750,completed
1203,PROD067,14,3300,completed
1204,PROD078,7,4200,pending
1205,PROD089,19,1200,completed
1206,PROD012,2,9500,completed
1207,PROD045,5,12500,completed
1208,PROD091,13,2800,completed
1209,PROD023,3,25000,completed
1210,PROD034,8,1500,completed
1211,PROD056,3,8750,void
1212,PROD067,15,3300,completed
1213,PROD078,6,4200,completed
1214,PROD089,21,1200,completed
1215,PROD012,1,9500,completed
1216,PROD045,3,12500,completed
1217,PROD091,10,2800,void
1218,PROD023,2,25000,completed
1219,PROD034,11,1500,completed
1220,PROD056,4,8750,completed
1221,PROD067,13,3300,completed
1222,PROD078,9,4200,pending
1223,PROD089,17,1200,completed
1224,PROD012,4,9500,completed
1225,PROD045,2,12500,completed
1226,PROD091,12,2800,completed
1227,PROD023,1,25000,completed
1228,PROD034,10,1500,void
1229,PROD056,5,8750,completed
1230,PROD067,11,3300,completed
1231,PROD078,7,4200,completed
1232,PROD089,20,1200,completed
1233,PROD012,3,9500,completed
1234,PROD045,4,12500,completed
1235,PROD091,9,2800,completed
1236,PROD023,2,25000,void
1237,PROD034,9,1500,completed
1238,PROD056,3,8750,completed
1239,PROD067,16,3300,completed
1240,PROD078,8,4200,completed
1241,PROD089,18,1200,completed
1242,PROD012,2,9500,completed
1243,PROD045,5,12500,pending
1244,PROD091,11,2800,completed
1245,PROD023,3,25000,completed
1246,PROD034,8,1500,completed
1247,PROD056,4,8750,completed
1248,PROD067,12,3300,void
1249,PROD078,6,4200,completed
1250,PROD089,22,1200,completed
1251,PROD012,1,9500,completed
1252,PROD045,3,12500,completed
1253,PROD091,10,2800,completed
1254,PROD023,2,25000,completed
1255,PROD034,11,1500,completed
1256,PROD056,5,8750,completed
1257,PROD067,14,3300,completed
1258,PROD078,7,4200,completed
1259,PROD089,19,1200,completed
1260,PROD012,4,9500,void
1261,PROD045,2,12500,completed
1262,PROD091,13,2800,completed
1263,PROD023,1,25000,completed
1264,PROD034,10,1500,completed
1265,PROD056,3,8750,completed
1266,PROD067,15,3300,pending
1267,PROD078,9,4200,completed
1268,PROD089,21,1200,completed
1269,PROD012,3,9500,completed
1270,PROD045,4,12500,completed
