timestamp,household_id,power_kw,temperature_c,is_weekend
16/01/2023 17:00,2,,23.9,1
2023-01-18 08:30:00,5,4.4,11.3,no
18/01/2023 12:15,4,10.7,25.6,false
2023-01-14 10:45:00,1,7.5,15.4,0
14/01/2023 20:30,3,5.2,12.8,true
2023-01-19 14:00:00,2,13.1,27.2,yes
19/01/2023 18:45,5,8.8,19.7,1
2023-01-20 08:15:00,4,6.6,13.1,no
20/01/2023 12:45,1,9.9,22.4,false
2023-01-15 18:00:00,3,11.8,26.8,0
15/01/2023 23:15,2,3.8,,true
2023-01-17 09:30:00,5,7.9,14.8,yes
17/01/2023 14:15,4,12.5,24.1,1
2023-01-16 11:00:00,1,5.4,17.3,no
16/01/2023 22:30,3,8.1,20.5,false
2023-01-18 14:45:00,2,10.2,23.8,0
18/01/2023 18:00,5,6.7,16.7,true
2023-01-14 06:30:00,4,4.2,8.5,yes
14/01/2023 21:15,1,13.7,25.4,1
2023-01-19 11:00:00,3,7.6,18.6,no
19/01/2023 16:30,2,9.3,21.9,false
2023-01-20 13:30:00,5,11.6,27.6,0
20/01/2023 18:15,4,5.8,15.1,true
2023-01-15 12:30:00,1,8.5,20.3,yes
15/01/2023 19:00,3,6.3,,1
2023-01-17 21:45:00,2,4.9,10.7,no
17/01/2023 05:30,5,10.4,22.9,false
2023-01-16 18:15:00,4,12.3,26.5,0
16/01/2023 06:00,1,3.6,9.1,true
2023-01-18 21:30:00,3,7.8,17.8,yes
18/01/2023 08:00,2,9.7,13.4,1
2023-01-14 23:00:00,5,,19.1,no
14/01/2023 15:45,4,6.1,14.5,false
2023-01-19 20:15:00,1,11.9,24.7,0
19/01/2023 06:45,3,5.5,11.6,true
2023-01-20 22:00:00,2,8.4,18.9,yes
20/01/2023 10:15,5,13.5,25.3,1
2023-01-15 05:45:00,4,4.8,8.8,no
15/01/2023 14:00,1,10.1,21.7,false
2023-01-17 17:15:00,3,7.2,16.4,0
17/01/2023 23:00,2,5.6,12.9,true
2023-01-16 15:00:00,5,12.7,27.3,yes
16/01/2023 19:45,4,9.5,20.2,1
2023-01-18 11:15:00,1,6.5,15.7,no
18/01/2023 22:00,3,8.9,19.5,false
2023-01-14 12:45:00,2,11.1,24.2,0
14/01/2023 07:30,5,4.5,10.4,true
2023-01-19 16:00:00,4,14.3,28.4,yes
19/01/2023 20:45,1,7.4,17.6,1
2023-01-20 07:00:00,3,5.9,12.2,no
20/01/2023 15:30,2,10.6,23.1,false
2023-01-15 09:00:00,5,8.7,18.4,0
15/01/2023 12:15,4,6.8,15.9,true
2023-01-17 14:30:00,1,13.9,26.7,yes
17/01/2023 18:15,3,9.2,21.3,1
2023-01-16 22:15:00,2,4.7,11.5,no
16/01/2023 10:30,5,11.8,24.9,false
2023-01-18 15:45:00,4,7.1,17.2,0
18/01/2023 19:30,1,,19.9,true
2023-01-14 09:00:00,3,12.4,25.7,yes
14/01/2023 13:30,2,5.3,13.2,1
2023-01-19 10:45:00,5,9.8,22.5,no
19/01/2023 22:30,4,6.4,14.8,false
2023-01-20 16:15:00,1,8.2,20.6,0
20/01/2023 20:00,3,10.9,23.4,true
2023-01-15 15:15:00,2,7.6,16.5,yes
15/01/2023 08:30,5,4.1,9.7,1
2023-01-17 11:45:00,4,12.2,25.8,no
17/01/2023 16:00,1,9.4,21.1,false
2023-01-16 08:00:00,3,5.8,13.6,0
16/01/2023 12:45,2,11.5,26.2,true
2023-01-18 17:00:00,5,8.3,18.8,yes
18/01/2023 21:15,4,6.9,15.3,1
2023-01-14 16:30:00,1,10.7,22.8,no
14/01/2023 11:00,3,4.4,10.8,false
2023-01-19 13:15:00,2,13.8,27.8,0
19/01/2023 17:30,5,7.7,19.4,true
2023-01-20 11:45:00,4,9.1,21.8,yes
20/01/2023 05:00,1,3.2,7.6,1
2023-01-15 19:30:00,3,12.1,24.6,no
15/01/2023 07:15,2,5.1,11.1,false
2023-01-17 22:45:00,5,8.8,17.9,0
17/01/2023 10:00,4,6.6,14.7,true
2023-01-16 14:45:00,1,11.4,25.5,yes
16/01/2023 18:30,3,7.9,20.9,1
2023-01-18 09:45:00,2,4.6,12.4,no
18/01/2023 14:00,5,10.8,24.3,false
2023-01-14 18:15:00,4,9.6,19.6,0
14/01/2023 22:00,1,5.7,13.7,true
2023-01-19 12:00:00,3,13.3,26.9,yes
19/01/2023 15:15,2,8.1,18.1,1
2023-01-20 19:30:00,5,6.2,15.8,no
20/01/2023 23:15,4,11.9,23.6,false
2023-01-15 16:45:00,1,7.3,17.1,0
