user_id,page_views,time_spent,clicks,traffic_source,device_category,user_segment,browser_type,session_duration,bounce_rate,pages_per_session,avg_session_value,product_views,cart_adds,cart_abandonment,email_opens,promo_code_used,converted
52,14,812.34,27,social,mobile,returning,safari,1578.90,0.41,4.9,145.67,8,3,0,8,0,1
53,38,2823.45,72,organic,desktop,loyal,chrome,5756.78,0.11,15.3,423.45,21,8,0,16,1,1
54,7,278.90,11,direct,mobile,new,edge,556.78,0.75,2.3,39.12,2,0,1,3,0,0
55,26,1912.34,50,referral,desktop,returning,firefox,3823.45,0.23,9.7,289.12,13,5,0,11,1,1
56,12,623.45,22,social,tablet,new,chrome,1212.34,0.54,4.0,101.23,6,2,1,6,0,0
57,34,2523.45,64,paid_search,desktop,loyal,chrome,5156.78,0.15,13.5,378.90,18,7,0,14,1,1
58,5,189.12,7,organic,mobile,new,safari,378.90,0.88,1.5,17.89,1,0,1,1,0,0
59,31,2189.12,58,direct,desktop,loyal,firefox,4523.45,0.18,12.1,334.56,16,7,0,13,1,1
60,15,845.67,28,social,mobile,at_risk,other,1634.56,0.40,5.1,156.78,8,3,1,7,0,0
61,42,3089.12,80,referral,desktop,loyal,chrome,6289.12,0.08,16.7,467.89,25,9,0,18,1,1
62,9,389.12,15,paid_search,tablet,new,safari,778.90,0.70,2.8,58.90,3,1,1,4,0,0
63,27,1989.12,53,organic,desktop,returning,chrome,3989.12,0.24,10.3,289.12,13,6,0,11,1,1
64,11,578.90,19,social,mobile,new,edge,1123.45,0.62,3.7,92.34,5,1,1,5,0,0
65,36,2689.12,69,direct,desktop,loyal,firefox,5489.12,0.13,14.6,401.23,20,8,0,15,1,1
66,6,223.45,8,referral,mobile,new,chrome,445.67,0.86,1.7,22.34,2,0,1,1,0,0
67,30,2123.45,57,paid_search,desktop,returning,chrome,4389.12,0.19,11.6,323.45,15,6,0,12,1,1
68,13,745.67,24,social,tablet,returning,safari,1445.67,0.47,4.7,134.56,7,2,1,7,0,0
69,39,2867.89,74,organic,desktop,loyal,chrome,5856.78,0.10,15.7,434.56,22,8,0,16,1,1
70,8,298.90,13,direct,mobile,new,other,589.12,0.74,2.6,48.90,3,0,1,2,0,0
71,24,1789.12,46,referral,desktop,returning,firefox,3589.12,0.28,9.2,267.89,11,5,0,10,1,1
72,16,901.23,30,social,mobile,at_risk,chrome,1745.67,0.38,5.3,178.90,9,3,1,8,0,0
73,41,2989.12,77,paid_search,desktop,loyal,chrome,6123.45,0.09,16.3,456.78,23,9,0,17,1,1
74,7,256.78,10,organic,tablet,new,safari,512.34,0.79,2.1,36.78,2,0,1,3,0,0
75,28,2056.78,55,direct,desktop,returning,firefox,4256.78,0.21,10.9,301.23,14,6,0,12,1,1
76,12,645.67,23,social,mobile,new,chrome,1256.78,0.51,4.1,112.34,6,2,1,6,0,0
77,33,2423.45,62,referral,desktop,loyal,chrome,4989.12,0.17,12.9,367.89,17,7,0,14,1,1
78,5,178.90,7,paid_search,mobile,new,edge,356.78,0.90,1.4,14.56,1,0,1,0,0,0
79,29,2078.90,56,organic,desktop,returning,chrome,4289.12,0.22,11.0,312.34,15,6,0,11,1,1
80,14,778.90,26,social,tablet,returning,safari,1512.34,0.44,4.8,145.67,8,3,0,8,0,1
81,37,2723.45,71,direct,desktop,loyal,firefox,5589.12,0.12,14.7,412.34,20,8,0,15,1,1
82,9,367.89,14,referral,mobile,new,other,734.56,0.68,2.9,59.12,3,1,1,4,0,0
83,26,1889.12,51,paid_search,desktop,returning,chrome,3789.12,0.25,9.8,278.90,12,5,0,10,1,1
84,11,589.12,20,social,mobile,at_risk,safari,1134.56,0.60,3.8,98.76,5,1,1,5,0,0
85,35,2612.34,67,organic,desktop,loyal,chrome,5356.78,0.14,13.8,389.12,19,7,0,14,1,1
86,6,212.34,8,direct,tablet,new,chrome,423.45,0.85,1.8,20.12,2,0,1,1,0,0
87,31,2212.34,59,referral,desktop,loyal,firefox,4556.78,0.18,12.3,345.67,16,7,0,13,1,1
88,13,723.45,25,social,mobile,returning,edge,1401.23,0.49,4.6,134.56,7,2,1,7,0,0
89,40,2934.56,75,paid_search,desktop,loyal,chrome,6023.45,0.09,16.1,445.67,24,9,0,17,1,1
90,8,323.45,13,organic,mobile,new,safari,645.67,0.71,2.7,50.12,3,0,1,2,0,0
91,25,1834.56,48,direct,desktop,returning,firefox,3689.12,0.27,9.4,267.89,12,5,0,10,1,1
92,15,867.89,29,social,tablet,new,chrome,1678.90,0.37,5.2,167.89,8,3,1,8,0,0
93,38,2789.12,73,referral,desktop,loyal,chrome,5723.45,0.11,15.4,423.45,21,8,0,15,1,1
94,7,267.89,11,paid_search,mobile,new,other,534.56,0.77,2.4,41.23,2,0,1,3,0,0
95,27,1956.78,52,organic,desktop,returning,chrome,3912.34,0.24,10.1,289.12,13,5,0,11,1,1
96,12,656.78,21,social,mobile,at_risk,safari,1267.89,0.53,3.9,112.34,6,2,1,6,0,0
97,34,2489.12,65,direct,desktop,loyal,firefox,5089.12,0.16,13.2,378.90,18,7,0,14,1,1
98,6,201.23,9,referral,tablet,new,chrome,401.23,0.82,1.9,23.45,2,0,1,1,0,0
99,30,2134.56,58,paid_search,desktop,returning,chrome,4401.23,0.19,11.7,323.45,15,6,0,12,1,1
100,14,801.23,27,social,mobile,returning,edge,1556.78,0.43,4.9,145.67,8,3,0,8,0,1
101,39,2856.78,74,organic,desktop,loyal,chrome,5845.67,0.10,15.8,434.56,22,8,0,16,1,1
102,9,378.90,14,direct,mobile,new,safari,756.78,0.69,2.8,57.89,3,1,1,4,0,0
103,28,2023.45,54,referral,desktop,returning,firefox,4189.12,0.22,10.7,298.45,14,6,0,12,1,1
104,11,567.89,18,social,tablet,new,chrome,1089.12,0.64,3.6,89.12,5,1,1,5,0,0
105,36,2656.78,68,paid_search,desktop,loyal,chrome,5423.45,0.13,14.5,401.23,20,8,0,15,1,1
106,5,189.12,7,organic,mobile,new,other,378.90,0.89,1.5,16.78,1,0,1,1,0,0
107,31,2178.90,59,direct,desktop,loyal,firefox,4489.12,0.18,12.2,334.56,16,7,0,13,1,1
108,15,834.56,28,social,mobile,at_risk,safari,1612.34,0.41,5.0,156.78,8,3,1,7,0,0
109,42,3067.89,81,referral,desktop,loyal,chrome,6256.78,0.08,16.8,467.89,25,9,0,18,1,1
110,8,301.23,12,paid_search,tablet,new,chrome,601.23,0.73,2.5,49.12,3,0,1,2,0,0
111,26,1867.89,50,organic,desktop,returning,firefox,3745.67,0.26,9.6,278.90,12,5,0,10,1,1
112,13,712.34,24,social,mobile,new,edge,1378.90,0.50,4.0,101.23,6,2,1,6,0,0
113,35,2578.90,66,direct,desktop,loyal,chrome,5278.90,0.14,13.7,389.12,19,7,0,14,1,1
114,6,223.45,8,referral,mobile,new,safari,445.67,0.84,1.8,21.23,2,0,1,1,0,0
115,29,2067.89,55,paid_search,desktop,returning,chrome,4267.89,0.20,11.1,312.34,15,6,0,11,1,1
116,14,789.12,26,social,tablet,returning,chrome,1534.56,0.42,4.8,145.67,8,3,0,8,0,1
117,38,2801.23,72,organic,desktop,loyal,firefox,5734.56,0.11,15.2,423.45,21,8,0,16,1,1
118,7,278.90,11,direct,mobile,new,other,556.78,0.78,2.3,38.90,2,0,1,3,0,0
119,27,1978.90,53,referral,desktop,returning,chrome,3956.78,0.23,10.2,289.12,13,5,0,11,1,1
120,12,634.56,22,social,mobile,at_risk,safari,1223.45,0.55,4.0,112.34,6,2,1,6,0,0
121,34,2512.34,64,paid_search,desktop,loyal,chrome,5145.67,0.15,13.4,378.90,18,7,0,14,1,1
122,5,178.90,7,organic,tablet,new,edge,356.78,0.87,1.6,18.90,1,0,1,1,0,0
123,30,2112.34,57,direct,desktop,loyal,firefox,4367.89,0.19,11.8,323.45,15,6,0,12,1,1
124,15,856.78,28,social,mobile,new,chrome,1656.78,0.39,5.1,167.89,8,3,1,8,0,0
125,41,2978.90,78,referral,desktop,loyal,chrome,6089.12,0.09,16.4,456.78,24,9,0,17,1,1
126,9,356.78,14,paid_search,mobile,new,safari,712.34,0.70,2.8,56.78,3,1,1,4,0,0
127,25,1823.45,49,organic,desktop,returning,firefox,3656.78,0.27,9.5,267.89,12,5,0,10,1,1
128,11,589.12,19,social,tablet,returning,other,1134.56,0.61,3.7,92.34,5,1,1,5,0,0
129,36,2678.90,69,direct,desktop,loyal,chrome,5478.90,0.13,14.6,401.23,20,8,0,15,1,1
130,6,212.34,8,referral,mobile,new,chrome,423.45,0.86,1.7,20.12,2,0,1,1,0,0
131,31,2189.12,59,paid_search,desktop,returning,chrome,4523.45,0.18,12.1,334.56,16,7,0,13,1,1
132,13,734.56,25,social,mobile,at_risk,safari,1423.45,0.48,4.6,134.56,7,2,1,7,0,0
133,39,2878.90,75,organic,desktop,loyal,firefox,5889.12,0.10,15.9,434.56,22,8,0,16,1,1
134,8,312.34,13,direct,tablet,new,chrome,623.45,0.72,2.6,48.90,3,0,1,2,0,0
135,28,2034.56,54,referral,desktop,loyal,chrome,4223.45,0.21,10.8,301.23,14,6,0,12,1,1
136,14,812.34,27,social,mobile,returning,edge,1578.90,0.40,4.9,145.67,8,3,0,8,0,1
137,37,2734.56,70,paid_search,desktop,loyal,chrome,5601.23,0.12,14.8,412.34,21,8,0,15,1,1
138,7,267.89,10,organic,mobile,new,safari,534.56,0.75,2.2,39.12,2,0,1,3,0,0
139,26,1901.23,51,direct,desktop,returning,firefox,3812.34,0.25,9.7,278.90,12,5,0,10,1,1
140,12,645.67,23,social,tablet,new,chrome,1245.67,0.52,4.1,112.34,6,2,1,6,0,0
141,35,2601.23,67,referral,desktop,loyal,chrome,5334.56,0.14,13.9,389.12,19,7,0,14,1,1
142,6,201.23,8,paid_search,mobile,new,other,401.23,0.83,1.9,22.34,2,0,1,1,0,0
143,30,2145.67,58,organic,desktop,returning,chrome,4423.45,0.19,11.6,323.45,15,6,0,12,1,1
144,15,878.90,29,social,mobile,at_risk,safari,1701.23,0.36,5.3,178.90,9,3,1,8,0,0
145,40,2945.67,76,direct,desktop,loyal,firefox,6034.56,0.09,16.2,445.67,24,9,0,17,1,1
146,9,389.12,15,referral,tablet,new,chrome,778.90,0.68,2.9,59.12,3,1,1,4,0,0
147,27,1989.12,53,paid_search,desktop,loyal,chrome,3989.12,0.24,10.3,289.12,13,6,0,11,1,1
148,13,756.78,24,social,mobile,new,edge,1467.89,0.49,4.7,134.56,7,2,1,7,0,0
149,38,2812.34,73,organic,desktop,loyal,chrome,5756.78,0.11,15.3,423.45,21,8,0,16,1,1
150,8,323.45,13,direct,mobile,new,safari,645.67,0.71,2.7,50.12,3,0,1,2,0,0
151,25,1845.67,49,referral,desktop,returning,firefox,3701.23,0.27,9.4,267.89,12,5,0,10,1,1
152,11,578.90,20,social,tablet,returning,chrome,1112.34,0.63,3.8,98.76,5,1,1,5,0,0
153,34,2501.23,65,paid_search,desktop,loyal,chrome,5123.45,0.15,13.3,378.90,18,7,0,14,1,1
154,6,212.34,8,organic,mobile,new,other,423.45,0.85,1.8,21.23,2,0,1,1,0,0
155,29,2089.12,56,direct,desktop,returning,chrome,4312.34,0.20,11.2,312.34,15,6,0,11,1,1
156,14,801.23,27,social,mobile,at_risk,safari,1556.78,0.41,4.9,145.67,8,3,0,8,0,1
157,39,2889.12,74,referral,desktop,loyal,firefox,5912.34,0.10,15.7,434.56,22,8,0,16,1,1
158,7,289.12,11,paid_search,tablet,new,chrome,578.90,0.76,2.4,41.23,2,0,1,3,0,0
159,26,1912.34,50,organic,desktop,returning,chrome,3823.45,0.26,9.8,278.90,12,5,0,10,1,1
160,12,656.78,22,social,mobile,new,edge,1267.89,0.54,4.0,101.23,6,2,1,6,0,0
161,36,2689.12,68,direct,desktop,loyal,chrome,5489.12,0.13,14.7,401.23,20,8,0,15,1,1
162,5,189.12,7,referral,mobile,new,safari,378.90,0.88,1.5,17.89,1,0,1,1,0,0
163,31,2201.23,59,paid_search,desktop,loyal,firefox,4545.67,0.18,12.2,334.56,16,7,0,13,1,1
164,15,845.67,28,social,tablet,new,chrome,1634.56,0.38,5.1,167.89,8,3,1,8,0,0
165,42,3089.12,80,organic,desktop,loyal,chrome,6289.12,0.08,16.7,467.89,25,9,0,18,1,1
166,9,367.89,14,direct,mobile,new,other,734.56,0.69,2.8,57.89,3,1,1,4,0,0
167,28,2045.67,55,referral,desktop,returning,firefox,4223.45,0.22,10.9,301.23,14,6,0,12,1,1
168,11,589.12,19,social,mobile,at_risk,safari,1134.56,0.62,3.7,92.34,5,1,1,5,0,0
169,35,2623.45,67,paid_search,desktop,loyal,chrome,5367.89,0.14,13.8,389.12,19,7,0,14,1,1
170,6,223.45,8,organic,tablet,new,chrome,445.67,0.84,1.9,23.45,2,0,1,1,0,0
171,30,2123.45,57,direct,desktop,returning,chrome,4389.12,0.19,11.7,323.45,15,6,0,12,1,1
172,13,723.45,25,social,mobile,returning,edge,1401.23,0.47,4.6,134.56,7,2,1,7,0,0
173,38,2823.45,72,referral,desktop,loyal,firefox,5756.78,0.11,15.4,423.45,21,8,0,16,1,1
174,8,301.23,13,paid_search,mobile,new,safari,601.23,0.73,2.7,49.12,3,0,1,2,0,0
175,25,1834.56,48,organic,desktop,loyal,chrome,3689.12,0.27,9.4,267.89,12,5,0,10,1,1
176,14,789.12,26,social,tablet,new,chrome,1534.56,0.42,4.8,145.67,8,3,1,8,0,0
177,41,2989.12,77,direct,desktop,loyal,chrome,6123.45,0.09,16.3,456.78,23,9,0,17,1,1
178,7,256.78,10,referral,mobile,new,other,512.34,0.79,2.1,36.78,2,0,1,3,0,0
179,27,1967.89,52,paid_search,desktop,returning,firefox,3934.56,0.23,10.1,289.12,13,5,0,11,1,1
180,12,634.56,21,social,mobile,at_risk,safari,1223.45,0.56,3.9,112.34,6,2,1,6,0,0
181,34,2523.45,64,organic,desktop,loyal,chrome,5156.78,0.15,13.5,378.90,18,7,0,14,1,1
182,6,201.23,8,direct,tablet,new,edge,401.23,0.86,1.8,20.12,2,0,1,1,0,0
183,29,2078.90,56,referral,desktop,returning,chrome,4289.12,0.20,11.0,312.34,15,6,0,11,1,1
184,15,867.89,29,social,mobile,new,safari,1678.90,0.37,5.2,167.89,8,3,1,8,0,0
185,40,2956.78,76,paid_search,desktop,loyal,firefox,6056.78,0.09,16.1,445.67,24,9,0,17,1,1
186,9,378.90,14,organic,mobile,new,chrome,756.78,0.70,2.9,58.90,3,1,1,4,0,0
187,26,1889.12,51,direct,desktop,loyal,chrome,3789.12,0.25,9.8,278.90,12,5,0,10,1,1
188,13,745.67,24,social,tablet,returning,other,1445.67,0.48,4.7,134.56,7,2,1,7,0,0
189,37,2745.67,71,referral,desktop,loyal,chrome,5623.45,0.12,14.7,412.34,20,8,0,15,1,1
190,8,312.34,12,paid_search,mobile,new,safari,623.45,0.72,2.5,47.89,3,0,1,2,0,0
191,25,1823.45,49,organic,desktop,returning,firefox,3656.78,0.27,9.5,267.89,12,5,0,10,1,1
192,11,567.89,18,social,mobile,at_risk,chrome,1089.12,0.64,3.6,89.12,5,1,1,5,0,0
193,35,2589.12,66,direct,desktop,loyal,chrome,5289.12,0.14,13.9,389.12,19,7,0,14,1,1
194,6,212.34,9,referral,tablet,new,edge,423.45,0.83,1.9,22.34,2,0,1,1,0,0
195,31,2189.12,58,paid_search,desktop,returning,chrome,4523.45,0.18,12.1,334.56,16,7,0,13,1,1
196,14,812.34,27,social,mobile,returning,safari,1578.90,0.40,4.9,145.67,8,3,0,8,0,1
197,39,2867.89,74,organic,desktop,loyal,firefox,5856.78,0.10,15.8,434.56,22,8,0,16,1,1
198,7,278.90,11,direct,mobile,new,chrome,556.78,0.75,2.3,39.12,2,0,1,3,0,0
199,28,2034.56,54,referral,desktop,loyal,chrome,4223.45,0.21,10.8,301.23,14,6,0,12,1,1
200,12,645.67,23,social,tablet,new,other,1245.67,0.52,4.1,112.34,6,2,1,6,0,0
201,36,2678.90,69,paid_search,desktop,loyal,chrome,5478.90,0.13,14.6,401.23,20,8,0,15,1,1
202,5,189.12,7,organic,mobile,new,safari,378.90,0.89,1.5,16.78,1,0,1,1,0,0
203,30,2145.67,57,direct,desktop,returning,firefox,4423.45,0.19,11.6,323.45,15,6,0,12,1,1
204,15,878.90,28,social,mobile,at_risk,chrome,1701.23,0.36,5.3,178.90,9,3,1,8,0,0
205,42,3067.89,81,referral,desktop,loyal,chrome,6256.78,0.08,16.8,467.89,25,9,0,18,1,1
206,9,389.12,15,paid_search,tablet,new,edge,778.90,0.68,2.8,59.12,3,1,1,4,0,0
207,27,1989.12,53,organic,desktop,loyal,firefox,3989.12,0.24,10.3,289.12,13,6,0,11,1,1
208,13,756.78,25,social,mobile,new,safari,1467.89,0.49,4.6,134.56,7,2,1,7,0,0
209,38,2801.23,73,direct,desktop,loyal,chrome,5734.56,0.11,15.2,423.45,21,8,0,16,1,1
210,8,323.45,13,referral,mobile,new,other,645.67,0.71,2.7,50.12,3,0,1,2,0,0
211,25,1845.67,49,paid_search,desktop,returning,chrome,3701.23,0.27,9.4,267.89,12,5,0,10,1,1
212,11,578.90,20,social,tablet,returning,safari,1112.34,0.63,3.8,98.76,5,1,1,5,0,0
213,34,2512.34,65,organic,desktop,loyal,firefox,5145.67,0.15,13.4,378.90,18,7,0,14,1,1
214,6,212.34,8,direct,mobile,new,chrome,423.45,0.85,1.8,21.23,2,0,1,1,0,0
215,29,2089.12,56,referral,desktop,returning,chrome,4312.34,0.20,11.2,312.34,15,6,0,11,1,1
216,14,801.23,27,social,mobile,at_risk,edge,1556.78,0.41,4.9,145.67,8,3,0,8,0,1
217,40,2934.56,75,paid_search,desktop,loyal,chrome,6023.45,0.09,16.1,445.67,24,9,0,17,1,1
218,7,289.12,11,organic,tablet,new,safari,578.90,0.76,2.4,41.23,2,0,1,3,0,0
219,26,1912.34,50,direct,desktop,loyal,firefox,3823.45,0.26,9.8,278.90,12,5,0,10,1,1
220,12,656.78,22,social,mobile,new,chrome,1267.89,0.54,4.0,101.23,6,2,1,6,0,0
221,35,2601.23,67,referral,desktop,loyal,chrome,5334.56,0.14,13.9,389.12,19,7,0,14,1,1
222,5,178.90,7,paid_search,mobile,new,other,356.78,0.87,1.6,18.90,1,0,1,1,0,0
223,31,2201.23,59,organic,desktop,returning,chrome,4545.67,0.18,12.2,334.56,16,7,0,13,1,1
224,15,856.78,28,social,tablet,new,safari,1656.78,0.38,5.1,167.89,8,3,1,8,0,0
225,41,2978.90,78,direct,desktop,loyal,firefox,6089.12,0.09,16.4,456.78,24,9,0,17,1,1
226,9,356.78,14,referral,mobile,new,chrome,712.34,0.70,2.8,56.78,3,1,1,4,0,0
227,28,2023.45,54,paid_search,desktop,loyal,chrome,4189.12,0.22,10.7,298.45,14,6,0,12,1,1
228,13,734.56,25,social,mobile,at_risk,edge,1423.45,0.48,4.6,134.56,7,2,1,7,0,0
229,37,2723.45,70,organic,desktop,loyal,chrome,5589.12,0.12,14.8,412.34,21,8,0,15,1,1
230,8,298.90,13,direct,tablet,new,safari,589.12,0.74,2.6,48.90,3,0,1,2,0,0
231,24,1789.12,46,referral,desktop,returning,firefox,3589.12,0.28,9.2,267.89,11,5,0,10,1,1
232,16,901.23,30,social,mobile,returning,chrome,1745.67,0.38,5.3,178.90,9,3,1,8,0,0
233,39,2878.90,75,paid_search,desktop,loyal,chrome,5889.12,0.10,15.9,434.56,22,8,0,16,1,1
234,7,267.89,10,organic,mobile,new,other,534.56,0.77,2.2,38.90,2,0,1,3,0,0
235,27,1967.89,52,direct,desktop,loyal,firefox,3934.56,0.23,10.1,289.12,13,5,0,11,1,1
236,12,634.56,22,social,tablet,new,safari,1223.45,0.55,4.0,112.34,6,2,1,6,0,0
237,34,2523.45,64,referral,desktop,loyal,chrome,5156.78,0.15,13.5,378.90,18,7,0,14,1,1
238,6,223.45,8,paid_search,mobile,new,chrome,445.67,0.84,1.9,23.45,2,0,1,1,0,0
239,30,2123.45,57,organic,desktop,returning,chrome,4389.12,0.19,11.7,323.45,15,6,0,12,1,1
240,14,789.12,26,social,mobile,at_risk,edge,1534.56,0.42,4.8,145.67,8,3,1,8,0,0
241,38,2812.34,73,direct,desktop,loyal,firefox,5756.78,0.11,15.3,423.45,21,8,0,16,1,1
242,9,367.89,14,referral,tablet,new,safari,734.56,0.68,2.9,59.12,3,1,1,4,0,0
243,26,1901.23,51,paid_search,desktop,loyal,chrome,3812.34,0.25,9.7,278.90,12,5,0,10,1,1
244,11,589.12,19,social,mobile,new,chrome,1134.56,0.60,3.8,98.76,5,1,1,5,0,0
245,35,2612.34,67,organic,desktop,loyal,chrome,5356.78,0.14,13.8,389.12,19,7,0,14,1,1
246,6,212.34,8,direct,mobile,new,other,423.45,0.86,1.7,20.12,2,0,1,1,0,0
247,31,2212.34,59,referral,desktop,returning,firefox,4556.78,0.18,12.3,345.67,16,7,0,13,1,1
248,13,723.45,25,social,tablet,returning,safari,1401.23,0.49,4.6,134.56,7,2,1,7,0,0
249,40,2945.67,76,paid_search,desktop,loyal,chrome,6034.56,0.09,16.2,445.67,24,9,0,17,1,1
250,8,323.45,13,organic,mobile,new,chrome,645.67,0.71,2.7,50.12,3,0,1,2,0,0
251,25,1834.56,48,direct,desktop,returning,firefox,3689.12,0.27,9.4,267.89,12,5,0,10,1,1
252,15,867.89,29,social,mobile,at_risk,edge,1678.90,0.37,5.2,167.89,8,3,1,8,0,0
253,42,3089.12,80,referral,desktop,loyal,chrome,6289.12,0.08,16.7,467.89,25,9,0,18,1,1
254,7,278.90,11,paid_search,tablet,new,safari,556.78,0.75,2.3,39.12,2,0,1,3,0,0
255,27,1978.90,53,organic,desktop,loyal,chrome,3956.78,0.23,10.2,289.12,13,5,0,11,1,1
256,12,656.78,21,social,mobile,new,other,1267.89,0.53,3.9,112.34,6,2,1,6,0,0
257,36,2689.12,68,direct,desktop,loyal,firefox,5489.12,0.13,14.7,401.23,20,8,0,15,1,1
258,6,201.23,8,referral,mobile,new,chrome,401.23,0.82,1.9,23.45,2,0,1,1,0,0
259,30,2134.56,58,paid_search,desktop,returning,chrome,4401.23,0.19,11.7,323.45,15,6,0,12,1,1
260,14,801.23,27,social,tablet,returning,safari,1556.78,0.43,4.9,145.67,8,3,0,8,0,1
