text,label
"Bad product! Horrible quality and terrible performance. Worst purchase ever made!",0
"Amazing amazing! Best quality and excellent design. Love this product so much!",1
"Horrible quality! Terrible terrible and broke right away. Poor product and disappointed!",0
"Excellent product! Great value and perfect quality. Amazing and highly recommended!",1
"Worst worst! Bad bad quality and terrible construction. Don't buy this product!",0
"Wonderful! Love this product and excellent quality. Great purchase and works great!",1
"Terrible product! Poor quality and broke quickly. Horrible and complete waste of money!",0
"Best purchase! Amazing quality and excellent performance. Perfect and love it!",1
"Bad bad bad! Horrible quality and terrible design. Worst product and disappointed!",0
"Great quality! Excellent product and wonderful performance. Highly recommend and love it!",1
"Terrible terrible terrible! Poor construction and broke fast. Worst purchase and horrible!",0
"Perfect product! Amazing quality and excellent value. Best and highly recommended!",1
"Horrible! Bad quality and terrible terrible materials. Poor product and waste of money!",0
"Excellent! Great product and wonderful quality. Love it and perfect for needs!",1
"Worst quality! Terrible product and broke immediately. Bad and very disappointed!",0
"Amazing quality! Best product and excellent design. Love love and highly recommend!",1
"Bad terrible! Horrible quality and poor construction. Worst and complete waste!",0
"Great product! Perfect quality and excellent functionality. Amazing and love it!",1
"Terrible! Poor poor quality and broke quickly. Horrible product and disappointed!",0
"Wonderful quality! Excellent product and great performance. Best and highly recommended!",1
"Horrible horrible horrible! Bad quality and terrible design. Worst purchase ever!",0
"Perfect! Amazing product and excellent quality. Great value and love it so much!",1
"Terrible quality! Poor product and broke fast. Bad construction and waste of money!",0
"Best best! Great quality and excellent product. Wonderful and highly recommend it!",1
"Horrible product! Terrible terrible quality and poor materials. Worst and disappointed!",0
"Amazing! Excellent quality and perfect design. Great product and love it!",1
"Bad quality! Terrible product and broke immediately. Poor and complete waste!",0
"Great great great! Wonderful product and excellent quality. Perfect and highly recommended!",1
"Worst! Horrible quality and terrible construction. Bad product and disappointed!",0
"Excellent product! Amazing quality and great performance. Best and love it so much!",1
"Terrible! Poor quality and broke quickly. Horrible product and waste of money!",0
"Perfect quality! Great product and excellent value. Wonderful and highly recommend!",1
"Bad bad! Horrible horrible quality and terrible design. Worst purchase and disappointed!",0
"Amazing product! Best quality and excellent functionality. Great and love it!",1
"Terrible terrible! Poor construction and broke fast. Horrible and complete waste!",0
"Excellent! Wonderful product and great quality. Perfect and highly recommended!",1
"Horrible quality! Bad product and terrible performance. Worst and disappointed!",0
"Great! Amazing quality and excellent design. Best product and love it so much!",1
"Terrible quality! Poor poor product and broke quickly. Bad and waste of money!",0
"Perfect! Excellent quality and wonderful product. Great and highly recommend it!",1
"Bad! Horrible quality and terrible terrible construction. Worst and disappointed!",0
"Amazing! Great product and excellent quality. Best and love it very much!",1
"Terrible! Poor quality and broke immediately. Horrible product and complete waste!",0
"Wonderful! Perfect quality and excellent product. Great and highly recommended!",1
"Horrible! Bad bad quality and terrible design. Worst purchase and disappointed!",0
"Excellent! Amazing product and great quality. Perfect and love it so much!",1
"Terrible! Poor construction and broke fast. Bad quality and waste of money!",0
"Great product! Excellent quality and wonderful performance. Best and highly recommend!",1
"Horrible horrible! Terrible quality and poor materials. Worst and disappointed!",0
"Perfect! Amazing quality and excellent product. Great value and love it!",1
"Bad quality! Terrible terrible product and broke quickly. Poor and complete waste!",0
"Excellent! Great quality and wonderful product. Perfect and highly recommended!",1
