date,sales_amount,store_region
2023-08-10,72300,West
2023-08-11,60800,North
2023-08-12,89700,South
2023-08-13,95900,West
2023-08-14,64100,North
2023-08-15,53400,South
2023-08-16,70400,West
2023-08-17,61100,North
2023-08-18,52200,South
2023-08-19,86100,West
2023-08-20,91300,North
2023-08-21,55900,South
2023-08-22,69700,West
2023-08-23,62300,North
2023-08-24,53100,South
2023-08-25,78800,West
2023-08-26,88700,North
2023-08-27,79400,South
2023-08-28,91800,West
2023-08-29,92800,North
2023-08-30,84100,South
2023-08-31,97300,West
2023-09-01,90900,North
2023-09-02,57200,South
2023-09-03,200,West
2023-09-04,62800,North
2023-09-05,53700,South
2023-09-06,73800,West
2023-09-07,88100,North
2023-09-08,95700,South
2023-09-09,65800,West
2023-09-10,60300,North
2023-09-11,52700,South
2023-09-12,72900,West
2023-09-13,61900,North
2023-09-14,90200,South
2023-09-15,96700,West
2023-09-16,64800,North
2023-09-17,54100,South
2023-09-18,71300,West
2023-09-19,62100,North
2023-09-20,53300,South
2023-09-21,86800,West
2023-09-22,92400,North
2023-09-23,56600,South
2023-09-24,70100,West
2023-09-25,77200,North
2023-09-26,79900,South
2023-09-27,90600,West
2023-09-28,93300,North
2023-09-29,84800,South
2023-09-30,98100,West
2023-10-01,95600,North
2023-10-02,72400,South
2023-10-03,88900,West
2023-10-04,78300,North
2023-10-05,66800,South
2023-10-06,93700,West
2023-10-07,106200,North
2023-10-08,117800,South
2023-10-09,81900,West
2023-10-10,76400,North
2023-10-11,67300,South
2023-10-12,91200,West
2023-10-13,79800,North
2023-10-14,111400,South
2023-10-15,123600,West
2023-10-16,82700,North
2023-10-17,69900,South
2023-10-18,88600,West
2023-10-19,77900,North
2023-10-20,68400,South
2023-10-21,108900,West
2023-10-22,119300,North
2023-10-23,73800,South
2023-10-24,87200,West
2023-10-25,98700,North
2023-10-26,92300,South
2023-10-27,112400,West
2023-10-28,121700,North
2023-10-29,105800,South
2023-10-30,126300,West
2023-10-31,115900,North
2023-11-01,74600,South
2023-11-02,89800,West
2023-11-03,80100,North
2023-11-04,116300,South
2023-11-05,125800,West
2023-11-06,84300,North
2023-11-07,71200,South
2023-11-08,90400,West
2023-11-09,79300,North
2023-11-10,68900,South
2023-11-11,109600,West
2023-11-12,120800,North
2023-11-13,75100,South
2023-11-14,88300,West
2023-11-15,81400,North
2023-11-16,70700,South
2023-11-17,93200,West
2023-11-18,113900,North
2023-11-19,122400,South
2023-11-20,85600,West
2023-11-21,78600,North
2023-11-22,69600,South
2023-11-23,250000,West
2023-11-24,350000,North
2023-11-25,107400,South
2023-11-26,114800,West
2023-11-27,122900,North
2023-11-28,108300,South
2023-11-29,127600,West
2023-11-30,118400,North
2023-12-01,76900,South
2023-12-02,300,West
2023-12-03,82300,North
2023-12-04,71800,South
2023-12-05,94600,West
2023-12-06,115700,North
2023-12-07,124900,South
2023-12-08,87100,West
2023-12-09,80800,North
2023-12-10,72300,South
2023-12-11,92800,West
2023-12-12,81900,North
2023-12-13,70400,South
2023-12-14,111200,West
2023-12-15,123100,North
2023-12-16,76400,South
2023-12-17,89700,West
2023-12-18,83600,North
2023-12-19,72900,South
2023-12-20,95300,West
2023-12-21,117400,North
2023-12-22,300000,South
2023-12-23,280000,West
2023-12-24,118600,North
2023-12-25,110900,South
2023-12-26,129400,West
2023-12-27,125800,North
2023-12-28,112700,South
2023-12-29,132100,West
2023-12-30,128300,North
2023-12-31,119800,South
