system_size,timestep,walkers,blocks,steps,energy_error,acceptance_ratio,status
32,0.020,390,175,230,0.52,0.63,success
32,0.017,405,182,238,0.47,0.60,success
32,0.080,260,120,195,2.50,0.37,poor_convergence
34,0.019,420,190,245,0.50,0.61,success
34,0.020,415,188,242,0.52,0.62,success
34,0.021,410,185,240,0.54,0.64,success
34,0.018,425,192,248,0.48,0.60,success
36,0.020,450,200,255,0.52,0.61,success
36,0.021,445,198,252,0.53,0.62,success
36,0.022,440,195,250,0.55,0.63,success
36,0.019,455,202,258,0.50,0.59,success
36,0.075,280,130,200,2.40,0.39,poor_convergence
38,0.021,480,210,265,0.53,0.61,success
38,0.022,475,208,262,0.55,0.62,success
38,0.023,470,205,260,0.57,0.63,success
38,0.020,485,212,268,0.51,0.60,success
40,0.022,500,220,275,0.55,0.61,success
40,0.023,495,218,272,0.56,0.62,success
40,0.024,490,215,270,0.58,0.64,success
40,0.021,505,222,278,0.53,0.59,success
40,0.085,300,140,210,2.65,0.36,poor_convergence
42,0.023,530,230,285,0.56,0.61,success
42,0.024,525,228,282,0.58,0.62,success
42,0.025,520,225,280,0.60,0.63,success
42,0.022,535,232,288,0.54,0.60,success
44,0.024,560,240,295,0.58,0.61,success
44,0.025,555,238,292,0.59,0.62,success
44,0.026,550,235,290,0.61,0.64,success
44,0.023,565,242,298,0.56,0.59,success
46,0.025,600,260,305,0.60,0.61,success
46,0.026,595,258,302,0.61,0.62,success
46,0.027,590,255,300,0.63,0.63,success
46,0.024,605,262,308,0.58,0.60,success
48,0.026,650,280,315,0.62,0.61,success
48,0.027,645,278,312,0.63,0.62,success
48,0.028,640,275,310,0.65,0.63,success
48,0.025,655,282,318,0.60,0.59,success
50,0.027,700,300,325,0.64,0.61,success
50,0.028,695,298,322,0.65,0.62,success
50,0.029,690,295,320,0.67,0.64,success
50,0.026,705,302,328,0.62,0.59,success
22,0.012,290,140,235,0.37,0.67,success
22,0.040,220,105,190,1.35,0.47,poor_convergence
24,0.019,290,138,188,0.50,0.66,success
24,0.025,280,125,180,0.78,0.52,success
24,0.045,190,95,165,1.55,0.46,poor_convergence
26,0.013,350,160,215,0.40,0.58,success
26,0.040,270,120,185,1.28,0.48,poor_convergence
28,0.014,370,165,220,0.42,0.59,success
28,0.012,375,168,223,0.39,0.57,success
30,0.015,390,175,230,0.43,0.59,success
30,0.055,260,115,195,1.88,0.43,poor_convergence
6,0.007,90,82,155,0.26,0.56,success
8,0.085,50,55,125,2.55,0.36,failed
10,0.095,65,58,130,2.80,0.31,failed
12,0.070,85,70,145,2.10,0.40,poor_convergence
14,0.060,110,80,155,1.92,0.42,poor_convergence
16,0.011,215,125,225,0.37,0.64,success
18,0.013,245,128,223,0.40,0.63,success
20,0.045,200,105,190,1.45,0.46,poor_convergence
24,0.008,335,160,210,0.33,0.69,success
24,0.020,285,135,185,0.52,0.67,success
24,0.030,265,115,175,0.95,0.51,poor_convergence
26,0.012,355,163,220,0.38,0.57,success
28,0.013,368,163,217,0.40,0.58,success
32,0.016,410,183,240,0.45,0.59,success
34,0.017,430,193,250,0.46,0.59,success
36,0.018,460,203,260,0.48,0.59,success
38,0.019,490,213,270,0.49,0.59,success
42,0.021,540,233,290,0.52,0.59,success
44,0.022,570,243,300,0.54,0.59,success
46,0.023,610,263,310,0.56,0.59,success
48,0.024,660,283,320,0.58,0.59,success
24,0.014,318,151,201,0.41,0.61,success
24,0.016,308,146,196,0.45,0.63,success
24,0.015,312,149,199,0.43,0.62,success
26,0.018,325,148,203,0.49,0.64,success
28,0.019,345,155,208,0.51,0.64,success
20,0.015,255,127,222,0.46,0.61,success
22,0.016,268,129,221,0.48,0.61,success
24,0.017,298,142,192,0.47,0.64,success
26,0.019,328,149,204,0.50,0.65,success
28,0.020,348,157,211,0.53,0.65,success
24,0.015,322,151,200,0.42,0.62,success
24,0.014,316,150,199,0.41,0.61,success
24,0.016,310,148,198,0.44,0.63,success
24,0.015,314,149,200,0.43,0.62,success
