pid,datname,usename,application_name,client_addr,state,query_start,state_change,wait_event_type,wait_event,query_snippet
1274,production,app_user,web_app,10.0.1.78,idle,2024-01-15 14:26:44,2024-01-15 14:28:56,Client,ClientRead,<IDLE>
1275,production,app_user,web_app,10.0.1.79,active,2024-01-15 14:30:14,2024-01-15 14:30:14,,,UPDATE sessions SET last_activity = NOW() WHERE session_id = 'abc123'
1276,production,readonly_user,web_app,10.0.1.80,idle,2024-01-15 14:29:15,2024-01-15 14:30:08,Client,ClientRead,<IDLE>
1277,production,app_user,web_app,10.0.1.81,idle in transaction,2024-01-15 14:29:44,2024-01-15 14:30:01,Client,ClientRead,DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '1 hour'
1278,production,app_user,api_service,10.0.2.15,idle,2024-01-15 14:27:58,2024-01-15 14:29:46,Client,ClientRead,<IDLE>
1279,production,app_user,web_app,10.0.1.82,active,2024-01-15 14:30:17,2024-01-15 14:30:17,IO,DataFileRead,SELECT * FROM wishlist WHERE user_id = 3333
1280,production,app_user,web_app,10.0.1.83,idle,2024-01-15 14:28:07,2024-01-15 14:29:59,Client,ClientRead,<IDLE>
1282,production,app_user,web_app,10.0.1.85,idle,2024-01-15 14:25:30,2024-01-15 14:27:45,Client,ClientRead,<IDLE>
1283,production,app_user,web_app,10.0.1.86,idle,2024-01-15 14:29:08,2024-01-15 14:30:03,Client,ClientRead,<IDLE>
1284,production,app_user,web_app,10.0.1.87,active,2024-01-15 14:30:13,2024-01-15 14:30:13,,,SELECT shipping_address FROM orders WHERE id = 5555
1285,production_readonly,readonly_user,web_app,10.0.1.88,idle,2024-01-15 14:28:52,2024-01-15 14:30:10,Client,ClientRead,<IDLE>
1286,production,app_user,web_app,10.0.1.89,idle in transaction,2024-01-15 14:29:25,2024-01-15 14:29:48,Client,ClientRead,UPDATE stock SET reserved = reserved + 1 WHERE product_id = 666
1287,production,app_user,web_app,10.0.1.90,idle,2024-01-15 14:27:25,2024-01-15 14:29:37,Client,ClientRead,<IDLE>
1288,production,admin,psql,10.0.4.1,active,2024-01-15 14:30:15,2024-01-15 14:30:15,,,SELECT * FROM pg_stat_activity
1289,production,app_user,web_app,10.0.1.91,idle,2024-01-15 14:26:18,2024-01-15 14:28:41,Client,ClientRead,<IDLE>
1290,production,app_user,api_service,10.0.2.16,idle,2024-01-15 14:28:29,2024-01-15 14:30:02,Client,ClientRead,<IDLE>
1291,production,app_user,web_app,10.0.1.92,active,2024-01-15 14:30:16,2024-01-15 14:30:16,IO,DataFileRead,SELECT COUNT(*) FROM active_users WHERE last_seen > NOW() - INTERVAL '5 minutes'
1292,production,analytics_user,background_worker,10.0.3.7,idle,2024-01-15 14:27:50,2024-01-15 14:29:30,Client,ClientRead,<IDLE>
1294,production,app_user,web_app,10.0.1.94,idle,2024-01-15 14:28:14,2024-01-15 14:29:54,Client,ClientRead,<IDLE>
1295,production,app_user,web_app,10.0.1.95,idle in transaction (aborted),2024-01-15 14:29:12,2024-01-15 14:29:50,Client,ClientRead,UPDATE promotions SET active = false WHERE end_date < NOW()
1296,production,readonly_user,web_app,10.0.1.96,idle,2024-01-15 14:29:20,2024-01-15 14:30:07,Client,ClientRead,<IDLE>
1297,production,app_user,web_app,10.0.1.97,active,2024-01-15 14:30:14,2024-01-15 14:30:14,,,SELECT * FROM categories WHERE parent_id IS NULL
1298,production,app_user,web_app,10.0.1.98,idle,2024-01-15 14:26:55,2024-01-15 14:28:48,Client,ClientRead,<IDLE>
1299,production,app_user,web_app,10.0.1.99,idle,2024-01-15 14:28:38,2024-01-15 14:30:05,Client,ClientRead,<IDLE>
1301,production,app_user,web_app,10.0.1.100,idle,2024-01-15 14:27:32,2024-01-15 14:29:42,Client,ClientRead,<IDLE>
1302,production,app_user,web_app,10.0.1.101,active,2024-01-15 14:30:17,2024-01-15 14:30:17,IO,DataFileRead,SELECT discount_code FROM promotions WHERE active = true
1303,production,app_user,web_app,10.0.1.102,idle,2024-01-15 14:25:42,2024-01-15 14:27:58,Client,ClientRead,<IDLE>
1304,production,app_user,web_app,10.0.1.103,idle in transaction (aborted),2024-01-15 14:28:28,2024-01-15 14:29:05,Client,ClientRead,UPDATE addresses SET is_default = true WHERE id = 888
1305,production,app_user,web_app,10.0.1.104,idle,2024-01-15 14:29:02,2024-01-15 14:30:04,Client,ClientRead,<IDLE>
1306,production,app_user,web_app,10.0.1.105,idle,2024-01-15 14:28:25,2024-01-15 14:29:57,Client,ClientRead,<IDLE>
1308,production,app_user,web_app,10.0.1.107,idle,2024-01-15 14:26:08,2024-01-15 14:28:35,Client,ClientRead,<IDLE>
1309,production,app_user,web_app,10.0.1.108,idle in transaction,2024-01-15 14:29:48,2024-01-15 14:30:08,Client,ClientRead,DELETE FROM expired_tokens WHERE expiry < NOW()
1310,production,analytics_user,background_worker,10.0.3.8,idle,2024-01-15 14:28:02,2024-01-15 14:29:25,Client,ClientRead,<IDLE>
1311,production,app_user,web_app,10.0.1.109,idle,2024-01-15 14:27:16,2024-01-15 14:29:38,Client,ClientRead,<IDLE>
1312,production,app_user,api_service,10.0.2.18,active,2024-01-15 14:30:16,2024-01-15 14:30:16,IO,DataFileRead,SELECT token FROM access_tokens WHERE user_id = 4444
1313,production,app_user,web_app,10.0.1.110,idle,2024-01-15 14:28:48,2024-01-15 14:30:09,Client,ClientRead,<IDLE>
1315,production,app_user,web_app,10.0.1.112,idle,2024-01-15 14:25:22,2024-01-15 14:27:40,Client,ClientRead,<IDLE>
1316,production,app_user,web_app,10.0.1.113,active,2024-01-15 14:30:15,2024-01-15 14:30:15,,,UPDATE page_views SET duration = 120 WHERE session_id = 'xyz789'
1317,production,app_user,web_app,10.0.1.114,idle,2024-01-15 14:29:11,2024-01-15 14:30:06,Client,ClientRead,<IDLE>
1318,production_readonly,readonly_user,web_app,10.0.1.115,idle,2024-01-15 14:28:55,2024-01-15 14:30:11,Client,ClientRead,<IDLE>
1320,production,app_user,web_app,10.0.1.117,idle,2024-01-15 14:27:05,2024-01-15 14:29:20,Client,ClientRead,<IDLE>
1321,production,app_user,api_service,10.0.2.19,idle,2024-01-15 14:28:33,2024-01-15 14:30:01,Client,ClientRead,<IDLE>
1322,production,app_user,web_app,10.0.1.118,active,2024-01-15 14:30:17,2024-01-15 14:30:17,,,SELECT * FROM shipping_methods WHERE available = true
1323,production,app_user,web_app,10.0.1.119,idle,2024-01-15 14:26:28,2024-01-15 14:28:52,Client,ClientRead,<IDLE>
1324,production,app_user,web_app,10.0.1.120,idle,2024-01-15 14:29:18,2024-01-15 14:30:05,Client,ClientRead,<IDLE>
1325,production,analytics_user,background_worker,10.0.3.9,active,2024-01-15 14:30:13,2024-01-15 14:30:13,IO,DataFileRead,SELECT COUNT(DISTINCT user_id) FROM events WHERE event_date = CURRENT_DATE
1326,production,app_user,web_app,10.0.1.121,idle in transaction (aborted),2024-01-15 14:28:50,2024-01-15 14:29:32,Client,ClientRead,UPDATE subscriptions SET status = 'cancelled' WHERE id = 5678
1327,production,app_user,web_app,10.0.1.122,idle,2024-01-15 14:27:42,2024-01-15 14:29:48,Client,ClientRead,<IDLE>
1328,production,readonly_user,web_app,10.0.1.123,idle,2024-01-15 14:28:22,2024-01-15 14:29:56,Client,ClientRead,<IDLE>
1329,production,app_user,web_app,10.0.1.124,idle,2024-01-15 14:25:15,2024-01-15 14:27:33,Client,ClientRead,<IDLE>
1330,production,app_user,api_service,10.0.2.20,idle,2024-01-15 14:28:41,2024-01-15 14:30:03,Client,ClientRead,<IDLE>
