date,product_id,product_name,quantity,unit_price,region
2024-03-18,P005,Keyboard Mechanical,10,89.99,South
2024-03-24,P006,Webcam HD,17,79.99,East
2024-03-31,P011,USB Hub 7-Port,12,34.99,West
2024-01-09,P007,Docking Station,9,199.99,Central
2024-01-14,P002,Wireless Mouse,18,29.99,North
2024-01-19,P014,Cable Organizer,47,14.99,South
2024-01-25,P008,Headset Wireless,8,129.99,East
2024-01-30,P003,USB-C Cable,31,12.50,West
2024-02-05,P012,Laptop Stand,14,45.99,Central
2024-02-10,P009,External SSD 1TB,6,159.99,North
2024-02-16,P004,Monitor 27inch,8,449.99,South
2024-02-22,P010,Mouse Pad XL,41,19.99,East
2024-02-28,P001,Laptop Pro,3,1299.99,West
2024-03-04,P013,Wireless Charger,24,39.99,Central
2024-03-10,P005,Keyboard Mechanical,12,89.99,North
2024-03-15,P006,Webcam HD,13,79.99,South
2024-03-20,P011,USB Hub 7-Port,19,34.99,East
2024-03-25,P007,Docking Station,7,199.99,West
2024/01/32,P002,Wireless Mouse,25,29.99,Central
2024-01-08,P014,Cable Organizer,49,14.99,North
2024-01-12,P008,Headset Wireless,11,129.99,South
2024-01-18,P003,USB-C Cable,33,12.50,East
2024-01-23,P012,Laptop Stand,13,45.99,West
2024-01-29,P009,External SSD 1TB,5,,Central
2024-02-04,P004,Monitor 27inch,6,449.99,North
2024-02-11,P010,Mouse Pad XL,36,19.99,South
2024-02-17,P001,Laptop Pro,4,1299.99,East
2024-02-23,P013,Wireless Charger,31,39.99,West
invalid,P005,Keyboard Mechanical,8,89.99,Central
2024-03-05,P006,Webcam HD,20,79.99,North
2024-03-11,P011,USB Hub 7-Port,14,34.99,South
2024-03-22,P002,Wireless Mouse,22,29.99,West
2024-03-28,P014,Cable Organizer,43,14.99,Central
2024-01-07,P008,Headset Wireless,15,129.99,North
2024-01-15,P003,USB-C Cable,24,12.50,South
2024-01-20,P012,Laptop Stand,16,45.99,East
2024-01-26,P009,External SSD 1TB,9,159.99,West
2024-02-01,P004,Monitor 27inch,7,449.99,Central
2024-02-08,P010,Mouse Pad XL,34,19.99,North
2024-02-14,P001,Laptop Pro,5,-100.00,South
2024-02-19,P013,Wireless Charger,23,39.99,East
2024-02-26,P005,Keyboard Mechanical,11,89.99,West
2024-03-02,P006,Webcam HD,21,79.99,Central
2024-03-09,P011,USB Hub 7-Port,18,34.99,North
2024-03-14,P007,Docking Station,4,199.99,South
2024-03-19,P002,Wireless Mouse,26,29.99,East
2024-03-29,P014,Cable Organizer,45,14.99,West
