date,sales_amount
2022-10-23,20234.56
2022-10-24,18789.34
2022-10-25,18567.89
2022-10-26,18890.23
2022-10-27,19456.78
2022-10-28,21456.78
2022-10-29,23234.56
2022-10-30,20345.67
2022-10-31,19234.56
2022-11-01,18678.90
2022-11-02,19123.45
2022-11-03,19567.89
2022-11-04,21567.89
2022-11-05,23345.67
2022-11-06,20456.78
2022-11-07,18890.23
2022-11-08,18789.34
2022-11-09,19234.56
2022-11-10,19678.90
2022-11-11,21678.90
2022-11-12,23456.78
2022-11-13,20567.89
2022-11-14,19123.45
2022-11-15,18890.23
2022-11-16,19345.67
2022-11-17,19789.34
2022-11-18,21789.34
2022-11-19,23567.89
2022-11-20,20678.90
2022-11-21,19234.56
2022-11-22,19123.45
2022-11-23,19456.78
2022-11-24,44567.89
2022-11-25,46234.56
2022-11-26,20890.23
2022-11-27,19345.67
2022-11-28,19234.56
2022-11-29,19567.89
2022-11-30,19890.23
2022-12-01,22123.45
2022-12-02,23678.90
2022-12-03,20789.34
2022-12-04,19456.78
2022-12-05,19345.67
2022-12-06,19678.90
2022-12-07,20123.45
2022-12-08,22234.56
2022-12-09,23789.34
2022-12-10,20890.23
2022-12-11,19567.89
2022-12-12,19456.78
2022-12-13,19789.34
2022-12-14,20234.56
2022-12-15,22345.67
2022-12-16,23890.23
2022-12-17,21123.45
2022-12-18,19678.90
2022-12-19,19567.89
2022-12-20,19890.23
2022-12-21,20345.67
2022-12-22,22456.78
2022-12-23,24123.45
2022-12-24,25678.90
2022-12-25,21567.89
2022-12-26,24234.56
2022-12-27,20123.45
2022-12-28,19890.23
2022-12-29,20234.56
2022-12-30,22567.89
2022-12-31,24345.67
2023-01-01,19890.23
2023-01-02,16789.34
2023-01-03,16234.56
2023-01-04,16567.89
2023-01-05,17123.45
2023-01-06,19234.56
2023-01-07,21456.78
2023-01-08,17890.23
2023-01-09,16567.89
2023-01-10,16345.67
2023-01-11,16678.90
2023-01-12,17234.56
2023-01-13,19345.67
2023-01-14,21567.89
2023-01-15,18123.45
2023-01-16,16678.90
2023-01-17,16456.78
2023-01-18,16789.23
2023-01-19,17345.67
2023-01-20,19456.78
2023-01-21,21678.90
2023-01-22,18234.56
2023-01-23,16789.34
2023-01-24,16567.89
2023-01-25,16890.23
2023-01-26,17456.78
2023-01-27,19567.89
2023-01-28,21789.34
2023-01-29,18345.67
2023-01-30,16890.23
2023-01-31,16678.90
2023-02-01,17123.45
2023-02-02,17567.89
2023-02-03,19678.90
2023-02-04,21890.23
2023-02-05,18456.78
2023-02-06,17123.45
2023-02-07,16789.34
2023-02-08,17234.56
2023-02-09,17678.90
2023-02-10,19789.34
2023-02-11,22123.45
2023-02-12,18567.89
2023-02-13,17234.56
2023-02-14,22456.78
2023-02-15,17345.67
2023-02-16,17789.34
2023-02-17,19890.23
2023-02-18,22234.56
2023-02-19,18678.90
2023-02-20,17345.67
2023-02-21,17123.45
2023-02-22,17456.78
2023-02-23,17890.23
2023-02-24,20123.45
2023-02-25,22345.67
2023-02-26,18789.34
2023-02-27,17456.78
2023-02-28,17234.56
2023-03-01,17567.89
2023-03-02,18123.45
2023-03-03,20234.56
2023-03-04,22456.78
2023-03-05,18890.23
2023-03-06,17567.89
2023-03-07,17345.67
2023-03-08,17678.90
2023-03-09,18234.56
2023-03-10,20345.67
2023-03-11,22567.89
2023-03-12,19123.45
2023-03-13,17678.90
2023-03-14,17456.78
2023-03-15,17789.34
2023-03-16,18345.67
2023-03-17,20456.78
2023-03-18,22678.90
2023-03-19,19234.56
2023-03-20,17789.34
2023-03-21,17567.89
2023-03-22,17890.23
2023-03-23,18456.78
2023-03-24,20567.89
2023-03-25,22789.34
2023-03-26,19345.67
2023-03-27,17890.23
2023-03-28,17678.90
2023-03-29,18123.45
2023-03-30,18567.89
2023-03-31,20678.90
2023-04-01,22890.23
2023-04-02,19456.78
2023-04-03,18123.45
2023-04-04,17789.34
2023-04-05,18234.56
2023-04-06,18678.90
2023-04-07,20789.34
2023-04-08,23123.45
2023-04-09,19567.89
2023-04-10,18234.56
2023-04-11,17890.23
2023-04-12,18345.67
2023-04-13,18789.34
2023-04-14,20890.23
2023-04-15,23234.56
2023-04-16,19678.90
2023-04-17,18345.67
2023-04-18,18123.45
2023-04-19,18456.78
2023-04-20,18890.23
2023-04-21,21123.45
2023-04-22,23345.67
2023-04-23,19789.34
2023-04-24,18456.78
2023-04-25,18234.56
2023-04-26,18567.89
2023-04-27,19123.45
2023-04-28,21234.56
2023-04-29,23456.78
2023-04-30,19890.23
2023-05-01,18567.89
2023-05-02,18345.67
2023-05-03,18678.90
2023-05-04,19234.56
2023-05-05,21345.67
2023-05-06,23567.89
2023-05-07,20123.45
2023-05-08,18678.90
2023-05-09,18456.78
2023-05-10,18789.34
2023-05-11,19345.67
2023-05-12,21456.78
2023-05-13,23678.90
2023-05-14,20234.56
2023-05-15,18789.34
2023-05-16,18567.89
2023-05-17,18890.23
2023-05-18,19456.78
2023-05-19,21567.89
2023-05-20,23789.34
2023-05-21,20345.67
2023-05-22,18890.23
2023-05-23,18678.90
2023-05-24,19123.45
2023-05-25,19567.89
2023-05-26,21678.90
2023-05-27,23890.23
2023-05-28,20456.78
2023-05-29,2234.56
2023-05-30,18789.34
2023-05-31,19234.56
2023-06-01,19678.90
2023-06-02,21789.34
2023-06-03,24123.45
2023-06-04,20567.89
2023-06-05,19123.45
2023-06-06,18890.23
2023-06-07,19345.67
2023-06-08,19789.34
2023-06-09,21890.23
2023-06-10,24234.56
2023-06-11,20678.90
2023-06-12,19234.56
2023-06-13,19123.45
2023-06-14,19456.78
2023-06-15,19890.23
2023-06-16,22123.45
2023-06-17,24345.67
2023-06-18,20789.34
2023-06-19,19345.67
2023-06-20,19234.56
2023-06-21,19567.89
2023-06-22,20123.45
2023-06-23,22234.56
2023-06-24,24456.78
2023-06-25,20890.23
2023-06-26,19456.78
2023-06-27,19345.67
2023-06-28,19678.90
2023-06-29,20234.56
2023-06-30,22345.67
2023-07-01,24567.89
2023-07-02,21123.45
2023-07-03,19567.89
2023-07-04,24890.23
2023-07-05,19789.34
2023-07-06,20345.67
2023-07-07,22456.78
2023-07-08,24678.90
2023-07-09,21234.56
2023-07-10,19678.90
2023-07-11,19567.89
2023-07-12,19890.23
2023-07-13,20456.78
2023-07-14,22567.89
2023-07-15,24789.34
2023-07-16,21345.67
2023-07-17,19789.34
2023-07-18,19678.90
2023-07-19,20123.45
2023-07-20,20567.89
2023-07-21,22678.90
2023-07-22,24890.23
2023-07-23,21456.78
2023-07-24,19890.23
2023-07-25,19789.34
2023-07-26,20234.56
2023-07-27,20678.90
2023-07-28,22789.34
2023-07-29,25123.45
2023-07-30,21567.89
2023-07-31,20123.45
2023-08-01,19890.23
2023-08-02,20345.67
2023-08-03,20789.34
2023-08-04,22890.23
2023-08-05,25234.56
2023-08-06,21678.90
2023-08-07,20234.56
2023-08-08,20123.45
2023-08-09,20456.78
2023-08-10,20890.23
2023-08-11,23123.45
2023-08-12,25345.67
2023-08-13,21789.34
2023-08-14,20345.67
2023-08-15,20234.56
2023-08-16,20567.89
2023-08-17,21123.45
2023-08-18,23234.56
2023-08-19,25456.78
2023-08-20,21890.23
2023-08-21,20456.78
2023-08-22,20345.67
2023-08-23,20678.90
2023-08-24,21234.56
2023-08-25,23345.67
2023-08-26,25567.89
2023-08-27,22123.45
2023-08-28,20567.89
2023-08-29,20456.78
2023-08-30,20789.34
2023-08-31,21345.67
2023-09-01,23456.78
2023-09-02,25678.90
2023-09-03,22234.56
2023-09-04,20678.90
2023-09-05,20567.89
2023-09-06,20890.23
2023-09-07,21456.78
2023-09-08,23567.89
2023-09-09,25789.34
2023-09-10,22345.67
2023-09-11,20789.34
2023-09-12,20678.90
2023-09-13,21123.45
2023-09-14,21567.89
2023-09-15,23678.90
2023-09-16,25890.23
2023-09-17,22456.78
2023-09-18,20890.23
2023-09-19,20789.34
2023-09-20,21234.56
2023-09-21,21678.90
2023-09-22,23789.34
2023-09-23,26123.45
2023-09-24,22567.89
2023-09-25,21123.45
2023-09-26,20890.23
2023-09-27,21345.67
2023-09-28,21789.34
2023-09-29,23890.23
2023-09-30,26234.56
2023-10-01,22678.90
2023-10-02,21234.56
2023-10-03,21123.45
2023-10-04,21456.78
2023-10-05,21890.23
2023-10-06,24123.45
2023-10-07,26345.67
2023-10-08,22789.34
2023-10-09,21345.67
2023-10-10,21234.56
2023-10-11,21567.89
2023-10-12,22123.45
2023-10-13,24234.56
2023-10-14,26456.78
2023-10-15,22890.23
2023-10-16,21456.78
2023-10-17,21345.67
2023-10-18,21678.90
2023-10-19,22234.56
2023-10-20,24345.67
2023-10-21,26567.89
2023-10-22,23123.45
2023-10-23,21567.89
2023-10-24,21456.78
2023-10-25,21789.34
2023-10-26,22345.67
2023-10-27,24456.78
2023-10-28,26678.90
2023-10-29,23234.56
2023-10-30,21678.90
2023-10-31,22123.45
2023-11-01,21890.23
2023-11-02,22456.78
2023-11-03,24567.89
2023-11-04,26789.34
2023-11-05,23345.67
2023-11-06,21789.34
2023-11-07,21678.90
2023-11-08,22123.45
2023-11-09,22567.89
2023-11-10,24678.90
2023-11-11,26890.23
2023-11-12,23456.78
2023-11-13,21890.23
2023-11-14,21789.34
2023-11-15,22234.56
2023-11-16,22678.90
2023-11-17,24789.34
2023-11-18,27123.45
2023-11-19,23567.89
2023-11-20,22123.45
2023-11-21,21890.23
2023-11-22,22345.67
2023-11-23,45678.90
2023-11-24,47234.56
2023-11-25,23890.23
2023-11-26,22234.56
2023-11-27,22123.45
2023-11-28,22456.78
2023-11-29,22890.23
2023-11-30,25123.45
2023-12-01,27234.56
2023-12-02,23678.90
2023-12-03,22345.67
2023-12-04,22234.56
2023-12-05,22567.89
2023-12-06,23123.45
2023-12-07,25234.56
2023-12-08,27345.67
2023-12-09,23789.34
2023-12-10,22456.78
2023-12-11,22345.67
2023-12-12,22678.90
2023-12-13,23234.56
2023-12-14,25345.67
2023-12-15,27456.78
2023-12-16,23890.23
2023-12-17,22567.89
2023-12-18,22456.78
2023-12-19,22789.34
2023-12-20,23345.67
2023-12-21,25456.78
2023-12-22,27567.89
2023-12-23,24123.45
2023-12-24,26234.56
2023-12-25,22890.23
2023-12-26,25678.90
2023-12-27,22678.90
2023-12-28,22567.89
2023-12-29,23456.78
2023-12-30,25567.89
2023-12-31,27678.90
