job_id,age_norm,fairshare_norm,jobsize_norm,qos_norm,wait_hours,cores,user_class
job_00035,0.812,0.456,0.123,0.178,86.9,6,student
job_00036,0.467,0.789,0.678,0.867,5.4,112,staff
job_00037,0.689,0.234,0.345,0.234,53.1,48,researcher
job_00038,0.934,0.912,0.056,0.289,79.8,2,researcher
job_00039,0.278,0.567,0.789,0.789,8.1,168,researcher
job_00040,0.845,0.178,0.134,0.623,62.5,8,student
job_00041,0.556,0.845,0.456,0.912,3.6,64,staff
job_00042,0.123,0.345,0.867,0.456,19.3,224,researcher
job_00043,0.867,0.234,0.178,0.145,109.7,6,student
job_00044,0.423,0.678,0.234,0.834,7.8,32,researcher
job_00045,0.734,0.912,0.089,0.267,74.6,4,student
job_00046,0.312,0.456,0.678,0.789,6.2,128,staff
job_00047,0.889,0.123,0.123,0.912,3.4,8,researcher
job_00048,0.601,0.789,0.345,0.234,36.7,48,researcher
job_00049,0.198,0.567,0.789,0.623,10.9,144,student
job_00050,0.923,0.234,0.067,0.178,98.3,2,student
job_00051,0.445,0.834,0.456,0.867,4.7,64,researcher
job_00052,0.778,0.167,0.234,0.345,71.2,16,student
job_00053,0.367,0.678,0.678,0.789,8.5,112,staff
job_00054,0.856,0.345,0.123,0.912,2.9,8,researcher
job_00055,0.234,0.912,0.567,0.456,17.4,96,researcher
job_00056,0.912,0.456,0.089,0.234,55.8,4,student
job_00057,0.523,0.234,0.789,0.623,12.1,192,staff
job_00058,0.667,0.789,0.167,0.867,31.5,12,researcher
job_00059,0.145,0.567,0.912,0.345,21.6,240,researcher
job_00060,0.834,0.123,0.045,0.789,48.9,2,student
job_00061,0.489,0.845,0.456,0.912,3.1,64,staff
job_00062,0.756,0.234,0.234,0.178,89.4,16,student
job_00063,0.312,0.678,0.678,0.834,7.6,128,researcher
job_00064,0.901,0.912,0.089,0.267,69.2,4,researcher
job_00065,0.178,0.456,0.867,0.789,9.8,208,student
job_00066,0.867,0.178,0.123,0.145,115.3,8,student
job_00067,0.423,0.789,0.345,0.912,4.4,48,staff
job_00068,0.689,0.345,0.567,0.623,26.7,96,researcher
job_00069,0.234,0.567,0.789,0.456,14.9,144,researcher
job_00070,0.945,0.123,0.056,0.234,103.8,2,student
job_00071,0.556,0.834,0.456,0.867,5.2,64,researcher
job_00072,0.123,0.234,0.912,0.345,24.3,256,staff
job_00073,0.812,0.678,0.178,0.789,33.4,12,researcher
job_00074,0.378,0.912,0.234,0.912,2.5,32,student
job_00075,0.723,0.456,0.089,0.234,64.7,4,student
job_00076,0.267,0.789,0.678,0.623,10.3,128,staff
job_00077,0.889,0.167,0.123,0.867,51.6,8,researcher
job_00078,0.445,0.567,0.567,0.789,8.7,96,researcher
job_00079,0.634,0.234,0.345,0.456,42.9,48,student
job_00080,0.912,0.845,0.067,0.178,77.1,2,researcher
job_00081,0.189,0.678,0.789,0.834,6.9,168,staff
job_00082,0.823,0.123,0.134,0.289,94.5,6,student
job_00083,0.501,0.912,0.456,0.912,3.9,64,researcher
job_00084,0.756,0.345,0.234,0.623,39.8,32,researcher
job_00085,0.145,0.456,0.867,0.345,20.4,224,student
job_00086,0.878,0.789,0.089,0.267,72.3,4,student
job_00087,0.334,0.234,0.678,0.789,11.7,112,staff
job_00088,0.667,0.567,0.167,0.912,28.2,12,researcher
job_00089,0.923,0.123,0.045,0.156,121.8,1,student
job_00090,0.412,0.834,0.567,0.867,5.8,96,researcher
job_00091,0.789,0.456,0.123,0.234,58.4,8,student
job_00092,0.234,0.678,0.789,0.789,7.1,144,staff
job_00093,0.901,0.234,0.089,0.623,44.6,4,researcher
job_00094,0.556,0.912,0.345,0.456,15.8,48,researcher
job_00095,0.123,0.567,0.912,0.912,16.5,256,student
job_00096,0.845,0.178,0.156,0.178,106.9,8,student
job_00097,0.467,0.789,0.456,0.834,4.2,64,staff
job_00098,0.712,0.345,0.234,0.345,47.3,32,researcher
job_00099,0.178,0.912,0.678,0.789,9.2,128,researcher
job_00100,0.934,0.123,0.067,0.267,99.7,2,student
job_00101,0.389,0.845,0.567,0.912,6.4,96,staff
job_00102,0.778,0.234,0.123,0.623,61.8,8,student
job_00103,0.267,0.678,0.789,0.456,13.2,192,researcher
job_00104,0.856,0.456,0.089,0.867,37.5,4,researcher
job_00105,0.523,0.567,0.456,0.789,10.6,64,student
job_00106,0.145,0.234,0.912,0.345,25.7,240,staff
job_00107,0.912,0.789,0.067,0.234,73.9,2,researcher
job_00108,0.623,0.912,0.345,0.912,4.6,48,researcher
job_00109,0.312,0.123,0.678,0.623,35.1,112,student
job_00110,0.867,0.345,0.134,0.178,85.6,6,student
job_00111,0.445,0.678,0.567,0.867,8.3,96,staff
job_00112,0.734,0.234,0.234,0.789,29.4,32,researcher
job_00113,0.189,0.834,0.789,0.456,12.8,168,researcher
job_00114,0.901,0.456,0.089,0.289,66.3,4,student
job_00115,0.556,0.789,0.456,0.834,5.1,64,staff
job_00116,0.123,0.567,0.867,0.912,18.9,224,researcher
job_00117,0.823,0.178,0.123,0.234,92.7,8,student
job_00118,0.478,0.912,0.345,0.789,7.4,48,researcher
job_00119,0.689,0.234,0.567,0.623,32.6,96,researcher
job_00120,0.234,0.678,0.678,0.867,9.7,128,student
job_00121,0.912,0.123,0.056,0.145,113.4,2,student
job_00122,0.401,0.845,0.456,0.912,3.7,64,staff
job_00123,0.756,0.345,0.234,0.456,49.2,32,researcher
job_00124,0.178,0.567,0.789,0.789,11.3,144,researcher
job_00125,0.878,0.912,0.089,0.267,70.5,4,researcher
job_00126,0.334,0.234,0.912,0.623,22.1,256,student
job_00127,0.667,0.789,0.167,0.834,34.8,12,staff
job_00128,0.923,0.456,0.123,0.178,54.3,8,student
job_00129,0.267,0.678,0.678,0.912,6.8,112,researcher
job_00130,0.845,0.123,0.045,0.345,87.2,2,student
