I 0108 08:15:23.456789    1234 server.go:198] Version: v1.28.2
I 0108 08:45:30.024567    1234 kubelet_node_status.go:502] "Recording event message for node" event="NodeNotReady" message="container runtime is not responding: Get \"http://%2Fvar%2Frun%2Fcontainerd%2Fcontainerd.sock/v1/info\": dial unix /var/run/containerd/containerd.sock: connect: no such file or directory"
E 0108 08:45:31.034567    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:32.045678    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:32.046789    1234 container_manager_linux.go:923] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:33.056789    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:33.057890    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:34.067890    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:35.078901    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:36.089012    1234 pod_workers.go:965] "Error syncing pod, skipping" pod="kube-system/coredns-abc123" err="failed to \"StartContainer\" for container with rpc error: code = Unavailable desc = connection error"
E 0108 08:45:37.100123    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:37.101234    1234 kuberuntime_manager.go:1234] "GetPodStatus failed" pod="kube-system/kube-proxy-xyz" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:38.111234    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:39.122345    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:39.123456    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:40.133456    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
I 0108 08:45:40.134567    1234 kubelet_node_status.go:502] "Recording event message for node" event="NodeNotReady" message="container runtime is not responding"
E 0108 08:45:41.144567    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:42.155678    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:43.166789    1234 pod_workers.go:965] "Error syncing pod, skipping" pod="default/web-app-def456" err="failed to \"StartContainer\" for container with rpc error: code = Unavailable desc = connection error"
E 0108 08:45:44.177890    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:45.189001    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:45.190112    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:46.200112    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:47.211223    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:48.222334    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:49.233445    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
W 0108 08:45:49.234556    1234 kubelet_node_status.go:487] "Failed to get container runtime status" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:50.244556    1234 kubelet.go:2424] "Error getting node status, will retry" err="failed to get container runtime status: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
I 0108 08:45:50.245667    1234 kubelet_node_status.go:502] "Setting node condition" condition="Ready=False reason=ContainerRuntimeNotResponding message=container runtime is not responding"
E 0108 08:45:51.255667    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
E 0108 08:45:52.266778    1234 remote_runtime.go:390] "Status from runtime service failed" err="rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no such file or directory\""
