user_id,event_type,timestamp,value
user_10,page_view,2024-01-16T11:50:45,1
user_10,click,2024-01-16T11:51:56,1
user_10,page_view,2024-01-16T11:53:07,1
user_10,page_view,2024-01-16T11:54:18,1
user_10,click,2024-01-16T11:55:29,1
user_10,purchase,2024-01-16T11:56:40,149.50
user_10,page_view,2024-01-16T11:57:51,1
user_10,page_view,2024-01-16T11:59:02,1
user_10,click,2024-01-16T12:00:13,1
user_11,page_view,2024-01-16T13:10:22,1
user_11,page_view,2024-01-16T13:11:33,1
user_11,click,2024-01-16T13:12:44,1
user_11,page_view,2024-01-16T13:13:55,1
user_11,purchase,2024-01-16T13:15:06,49.99
user_11,click,2024-01-16T13:16:17,1
user_11,page_view,2024-01-16T13:17:28,1
user_11,page_view,2024-01-16T13:18:39,1
user_12,page_view,2024-01-16T14:20:50,1
user_12,click,2024-01-16T14:22:01,1
user_12,page_view,2024-01-16T14:23:12,1
user_12,page_view,2024-01-16T14:24:23,1
user_12,click,2024-01-16T14:25:34,1
user_12,purchase,2024-01-16T14:26:45,79.99
user_12,page_view,2024-01-16T14:27:56,1
user_12,page_view,2024-01-16T14:29:07,1
user_12,click,2024-01-16T14:30:18,1
user_13,page_view,2024-01-17T08:35:29,1
user_13,page_view,2024-01-17T08:36:40,1
user_13,click,2024-01-17T08:37:51,1
user_13,page_view,2024-01-17T08:39:02,1
user_13,purchase,2024-01-17T08:40:13,99.99
user_13,page_view,2024-01-17T08:41:24,1
user_13,click,2024-01-17T08:42:35,1
user_13,page_view,2024-01-17T08:43:46,1
user_14,page_view,2024-01-17T09:45:57,1
user_14,click,2024-01-17T09:47:08,1
user_14,page_view,2024-01-17T09:48:19,1
user_14,page_view,2024-01-17T09:49:30,1
user_14,click,2024-01-17T09:50:41,1
user_14,purchase,2024-01-17T09:51:52,149.50
user_14,page_view,2024-01-17T09:53:03,1
user_14,page_view,2024-01-17T09:54:14,1
user_14,click,2024-01-17T09:55:25,1
user_15,page_view,2024-01-17T10:56:36,1
user_15,page_view,2024-01-17T10:57:47,1
user_15,click,2024-01-17T10:58:58,1
user_15,page_view,2024-01-17T11:00:09,1
user_15,purchase,2024-01-17T11:01:20,49.99
user_15,click,2024-01-17T11:02:31,1
user_15,page_view,2024-01-17T11:03:42,1
user_15,page_view,2024-01-17T11:04:53,1
user_16,page_view,2024-01-17T12:10:15,1
user_17,click,2024-01-17T12:15:22,1
user_18,page_view,2024-01-17T12:20:33,1
user_19,page_view,2024-01-17T12:25:44,1
user_20,click,2024-01-17T12:30:55,1
user_21,page_view,2024-01-17T12:35:06,1
user_22,page_view,2024-01-17T12:40:17,1
user_23,click,2024-01-17T12:45:28,1
user_24,page_view,2024-01-17T12:50:39,1
user_25,page_view,2024-01-17T12:55:50,1
user_26,click,2024-01-17T13:00:01,1
user_27,page_view,2024-01-17T13:05:12,1
user_28,page_view,2024-01-17T13:10:23,1
user_29,click,2024-01-17T13:15:34,1
user_30,page_view,2024-01-17T13:20:45,1
user_31,page_view,2024-01-17T13:25:56,1
user_32,click,2024-01-17T13:30:07,1
user_33,page_view,2024-01-17T13:35:18,1
user_34,page_view,2024-01-17T13:40:29,1
user_35,click,2024-01-17T13:45:40,1
user_36,page_view,2024-01-17T13:50:51,1
user_37,page_view,2024-01-17T13:55:02,1
user_38,click,2024-01-17T14:00:13,1
user_39,page_view,2024-01-17T14:05:24,1
user_40,page_view,2024-01-17T14:10:35,1
user_41,click,2024-01-17T14:15:46,1
user_42,page_view,2024-01-17T14:20:57,1
user_43,page_view,2024-01-17T14:26:08,1
user_44,click,2024-01-17T14:31:19,1
user_45,page_view,2024-01-17T14:36:30,1
user_46,page_view,2024-01-17T14:41:41,1
user_47,click,2024-01-17T14:46:52,1
user_48,page_view,2024-01-17T14:52:03,1
user_49,page_view,2024-01-17T14:57:14,1
user_50,click,2024-01-18T08:02:25,1
user_51,page_view,2024-01-18T08:07:36,1
user_52,page_view,2024-01-18T08:12:47,1
user_53,click,2024-01-18T08:17:58,1
user_54,page_view,2024-01-18T08:23:09,1
user_55,page_view,2024-01-18T08:28:20,1
user_56,click,2024-01-18T08:33:31,1
user_57,page_view,2024-01-18T08:38:42,1
user_58,page_view,2024-01-18T08:43:53,1
user_59,click,2024-01-18T08:49:04,1
user_60,page_view,2024-01-18T08:54:15,1
user_61,page_view,2024-01-18T08:59:26,1
user_62,click,2024-01-18T09:04:37,1
user_63,page_view,2024-01-18T09:09:48,1
user_64,page_view,2024-01-18T09:14:59,1
user_65,click,2024-01-18T09:20:10,1
user_66,page_view,2024-01-18T09:25:21,1
user_67,page_view,2024-01-18T09:30:32,1
user_68,click,2024-01-18T09:35:43,1
user_69,page_view,2024-01-18T09:40:54,1
user_70,page_view,2024-01-18T09:46:05,1
user_71,click,2024-01-18T09:51:16,1
user_72,page_view,2024-01-18T09:56:27,1
user_73,page_view,2024-01-18T10:01:38,1
user_74,click,2024-01-18T10:06:49,1
user_75,page_view,2024-01-18T10:12:00,1
user_76,page_view,2024-01-18T10:17:11,1
user_77,click,2024-01-18T10:22:22,1
user_78,page_view,2024-01-18T10:27:33,1
user_79,page_view,2024-01-18T10:32:44,1
user_80,click,2024-01-18T10:37:55,1
user_81,page_view,2024-01-18T10:43:06,1
user_82,page_view,2024-01-18T10:48:17,1
user_83,click,2024-01-18T10:53:28,1
user_84,page_view,2024-01-18T10:58:39,1
user_85,page_view,2024-01-18T11:03:50,1
user_86,click,2024-01-18T11:09:01,1
user_87,page_view,2024-01-18T11:14:12,1
user_88,page_view,2024-01-18T11:19:23,1
user_89,click,2024-01-18T11:24:34,1
user_90,page_view,2024-01-18T11:29:45,1
user_91,page_view,2024-01-18T11:34:56,1
user_92,click,2024-01-18T11:40:07,1
user_93,page_view,2024-01-18T11:45:18,1
user_94,page_view,2024-01-18T11:50:29,1
user_95,click,2024-01-18T11:55:40,1
user_96,page_view,2024-01-18T12:00:51,1
user_97,page_view,2024-01-18T12:06:02,1
user_98,click,2024-01-18T12:11:13,1
user_99,page_view,2024-01-18T12:16:24,1
user_100,page_view,2024-01-18T12:21:35,1
