feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,defect_label,grade_label,performance_score
29.45,523.45,0.44,19.45,384.23,57.45,9.12,767.89,37.12,0.57,28.12,100.89,606.45,0.32,48.89,201.23,39.12,0.43,1,2,29.3
53.78,681.23,0.72,26.12,476.89,71.78,13.67,908.90,48.34,0.82,37.01,135.67,684.56,0.53,58.67,247.34,48.01,0.61,0,0,87.4
36.78,573.67,0.52,20.78,404.56,60.89,9.89,805.67,39.78,0.63,30.12,108.45,633.78,0.37,51.23,213.45,41.12,0.47,1,2,33.8
59.67,741.34,0.79,28.12,515.23,76.89,15.23,950.45,51.45,0.87,38.78,143.56,715.34,0.59,61.67,263.45,50.34,0.67,0,0,93.2
43.89,623.45,0.64,23.12,441.78,66.45,11.67,856.34,44.56,0.72,33.67,122.45,659.67,0.43,55.23,230.12,44.67,0.54,0,1,69.7
51.23,667.89,0.71,25.45,472.56,70.89,13.34,901.23,47.67,0.78,36.45,132.23,681.45,0.51,58.23,243.45,47.34,0.60,0,1,75.8
32.56,540.12,0.47,19.89,391.23,58.67,9.45,778.23,38.12,0.60,28.89,103.56,615.67,0.34,49.78,205.67,39.89,0.44,1,2,30.1
56.12,712.56,0.76,27.23,501.45,75.12,14.56,928.34,50.23,0.85,37.78,140.12,703.45,0.57,60.45,256.78,49.45,0.65,0,0,90.6
41.45,607.89,0.61,22.23,429.34,65.12,11.23,840.56,43.12,0.70,32.78,118.45,653.90,0.41,54.12,227.45,43.89,0.52,0,1,68.2
49.89,689.34,0.70,24.89,465.67,70.01,13.01,889.67,46.89,0.77,35.89,129.56,674.78,0.50,57.45,239.67,46.56,0.59,0,1,74.1
30.67,528.90,0.45,19.56,386.78,57.89,9.23,770.67,37.45,0.58,28.45,101.67,609.23,0.33,49.23,202.90,39.45,0.43,1,2,29.7
55.01,695.67,0.74,26.67,485.34,72.89,14.12,920.45,49.12,0.84,37.56,137.45,690.12,0.55,59.34,249.90,48.67,0.63,0,0,89.3
38.12,584.56,0.53,21.12,410.12,62.12,10.12,818.90,40.89,0.65,30.89,110.67,641.56,0.38,52.01,217.23,41.67,0.48,1,2,34.6
61.89,753.90,0.81,28.67,520.90,77.67,15.56,962.34,52.12,0.88,39.34,145.23,720.67,0.61,62.23,266.45,51.12,0.69,0,0,94.5
45.78,640.23,0.66,23.78,451.23,67.56,12.23,872.56,45.45,0.74,34.45,125.45,665.90,0.45,56.12,233.67,45.56,0.56,0,1,71.5
52.67,673.45,0.73,25.78,478.23,71.45,13.56,906.78,48.12,0.80,36.78,133.45,683.23,0.52,58.56,244.78,47.78,0.61,0,1,77.3
34.23,556.78,0.49,20.34,398.90,59.78,9.67,792.34,38.67,0.61,29.34,106.34,625.45,0.35,50.45,209.45,40.45,0.46,1,2,32.4
58.56,729.67,0.78,27.78,509.56,76.23,15.01,940.67,51.01,0.86,38.45,141.90,709.56,0.58,61.12,260.23,50.12,0.67,0,0,92.7
42.89,618.67,0.63,22.67,437.90,65.89,11.45,850.90,43.78,0.71,33.23,120.23,655.45,0.42,54.45,227.90,44.23,0.53,0,1,69.1
50.45,684.56,0.71,25.34,470.45,70.45,13.23,897.34,47.45,0.78,36.23,131.34,680.12,0.51,58.01,242.56,47.12,0.60,0,1,75.4
31.89,537.23,0.46,19.78,389.56,58.45,9.34,775.56,37.89,0.59,28.78,102.90,613.56,0.34,49.56,204.56,39.78,0.44,1,2,30.4
54.23,687.23,0.73,26.45,480.67,72.56,13.78,912.23,48.56,0.83,37.23,136.56,686.78,0.54,59.01,248.23,48.34,0.62,0,0,88.6
37.34,580.34,0.52,21.01,408.67,61.67,10.01,815.23,40.78,0.64,30.45,109.34,640.34,0.37,51.45,216.12,41.34,0.47,1,2,34.1
60.12,745.56,0.80,28.34,517.45,77.45,15.34,953.67,51.67,0.87,39.01,144.12,717.23,0.60,61.89,264.56,50.67,0.68,0,0,93.8
44.12,629.78,0.65,23.45,445.45,66.78,11.89,861.78,44.89,0.73,34.01,123.56,661.78,0.44,55.56,231.45,44.89,0.55,0,1,70.2
51.56,662.34,0.71,25.56,475.12,71.12,13.45,903.56,47.89,0.79,36.56,131.78,679.89,0.51,58.45,242.90,47.56,0.60,0,1,76.6
33.12,545.67,0.48,20.12,393.78,59.12,9.56,783.45,38.34,0.60,29.12,104.45,618.90,0.34,50.01,207.34,40.12,0.45,1,2,30.8
56.78,718.34,0.77,27.45,504.23,75.45,14.67,933.45,50.45,0.86,38.12,140.78,705.67,0.58,60.67,258.12,49.67,0.66,0,0,91.4
41.78,612.45,0.62,22.45,432.56,65.45,11.34,845.67,43.45,0.70,32.89,119.12,655.12,0.41,54.23,228.67,44.12,0.53,0,1,68.8
49.12,673.78,0.70,24.78,463.89,69.89,12.89,885.45,46.67,0.77,35.67,129.12,672.45,0.49,57.34,239.12,46.45,0.59,0,1,73.9
30.12,525.67,0.45,19.45,385.90,57.67,9.12,768.90,37.34,0.58,28.34,101.23,608.67,0.32,49.12,202.12,39.34,0.43,1,2,29.5
54.89,692.45,0.74,26.56,483.45,72.67,14.01,918.56,48.89,0.84,37.45,137.12,688.45,0.55,59.23,249.45,48.56,0.62,0,0,89.0
38.45,587.23,0.54,21.23,412.34,62.34,10.23,821.67,41.12,0.66,31.12,111.23,643.78,0.38,52.23,218.45,41.89,0.48,1,2,35.2
62.23,758.67,0.82,28.89,523.67,78.01,15.67,967.45,52.34,0.89,39.56,145.89,722.90,0.61,62.45,267.67,51.34,0.69,0,0,95.1
46.12,645.67,0.67,23.89,453.56,67.89,12.34,877.89,45.78,0.75,34.67,126.23,667.34,0.46,56.34,234.90,45.89,0.56,0,1,72.1
53.01,678.90,0.73,25.89,479.45,71.67,13.67,908.90,48.34,0.81,36.89,133.90,684.56,0.53,58.78,245.23,47.89,0.61,0,1,77.8
34.67,561.45,0.50,20.45,400.23,60.12,9.78,795.67,38.89,0.62,29.56,106.89,627.90,0.36,50.67,210.78,40.67,0.46,1,2,32.9
58.89,735.45,0.79,27.89,512.34,76.56,15.12,945.89,51.23,0.87,38.67,142.45,711.78,0.59,61.34,261.45,50.34,0.67,0,0,93.4
43.23,623.89,0.64,22.89,440.12,66.23,11.56,855.34,44.12,0.72,33.45,121.45,657.67,0.43,54.78,229.12,44.45,0.54,0,1,69.5
50.78,690.12,0.72,25.45,472.67,70.67,13.34,899.67,47.67,0.79,36.34,131.56,681.23,0.51,58.12,243.12,47.34,0.60,0,1,76.0
32.23,542.34,0.47,19.89,392.45,59.01,9.45,780.45,38.23,0.60,28.67,103.90,616.78,0.34,49.67,206.45,40.01,0.45,1,2,30.6
56.45,715.67,0.76,27.34,503.56,75.34,14.78,931.67,50.34,0.86,38.01,140.45,706.89,0.58,60.56,257.90,49.56,0.66,0,0,91.1
42.12,615.23,0.62,22.56,435.23,65.67,11.45,848.45,43.56,0.71,33.12,119.78,654.67,0.42,54.34,228.23,44.01,0.53,0,1,68.6
49.45,680.45,0.70,25.01,467.78,70.23,13.12,893.45,47.12,0.78,36.01,130.45,677.90,0.50,57.67,240.89,46.89,0.59,0,1,74.8
30.89,531.56,0.46,19.67,388.12,58.23,9.34,773.78,37.67,0.59,28.56,102.34,611.45,0.33,49.45,203.67,39.56,0.44,1,2,30.0
55.34,698.90,0.75,26.78,487.90,73.12,14.23,923.45,49.23,0.85,37.67,138.23,691.56,0.56,59.45,250.67,48.78,0.63,0,0,89.8
38.78,592.45,0.54,21.34,414.56,62.67,10.34,826.90,41.34,0.66,31.34,112.45,646.90,0.39,52.45,219.67,42.12,0.49,1,2,35.7
61.45,751.23,0.81,28.56,519.78,77.78,15.45,958.90,51.89,0.88,39.23,144.89,719.45,0.60,62.12,265.89,50.89,0.68,0,0,94.3
45.45,638.90,0.66,23.67,449.89,67.34,12.12,869.67,45.23,0.74,34.34,124.89,664.56,0.45,55.89,232.67,45.34,0.55,0,1,70.9
52.12,670.67,0.72,25.67,477.12,71.34,13.56,905.67,48.01,0.80,36.67,133.12,682.67,0.52,58.45,244.45,47.67,0.61,0,1,77.1
33.89,551.90,0.49,20.23,396.45,59.56,9.67,788.90,38.56,0.61,29.23,105.67,623.56,0.35,50.34,208.90,40.34,0.46,1,2,31.8
57.67,725.67,0.78,27.67,507.89,76.12,14.89,937.78,50.78,0.86,38.34,141.56,708.23,0.58,60.89,259.45,50.01,0.67,0,0,92.2
42.56,621.56,0.63,22.78,438.67,66.12,11.67,853.56,44.01,0.72,33.34,120.89,658.90,0.43,54.56,229.89,44.34,0.54,0,1,69.3
50.23,687.67,0.71,25.23,469.34,70.34,13.23,896.78,47.34,0.78,36.12,131.12,679.45,0.51,57.89,241.78,47.23,0.60,0,1,75.2
31.56,534.78,0.46,19.78,390.67,58.67,9.34,777.67,38.01,0.59,28.67,102.56,614.90,0.34,49.56,205.23,39.67,0.44,1,2,30.3
55.67,701.34,0.75,26.89,486.23,73.01,14.34,921.78,49.12,0.85,37.78,138.01,690.78,0.56,59.34,250.12,48.67,0.63,0,0,89.5
39.12,595.67,0.55,21.45,416.78,63.01,10.45,830.12,41.56,0.67,31.56,113.23,648.90,0.39,52.67,220.89,42.34,0.49,1,2,36.1
62.01,756.45,0.82,28.78,522.45,78.23,15.67,964.67,52.23,0.89,39.45,145.56,721.67,0.61,62.34,267.12,51.23,0.69,0,0,94.8
46.78,650.45,0.68,24.01,455.67,68.12,12.45,882.34,45.89,0.75,34.78,126.78,669.78,0.46,56.56,235.67,46.12,0.57,0,1,72.7
53.45,684.56,0.74,26.12,481.23,72.12,13.78,911.90,48.56,0.82,37.12,134.56,686.23,0.54,59.01,246.45,48.23,0.62,0,0,88.2
35.23,565.90,0.50,20.56,402.56,60.45,9.89,799.45,39.12,0.63,29.78,107.45,630.23,0.36,50.89,211.90,40.89,0.47,1,2,33.4
59.23,738.90,0.79,28.01,514.56,76.89,15.23,949.23,51.45,0.87,38.78,142.90,713.45,0.59,61.56,262.67,50.56,0.68,0,0,93.9
43.67,628.67,0.64,23.01,442.45,66.56,11.78,858.90,44.34,0.72,33.56,121.89,659.34,0.43,55.01,230.45,44.67,0.54,0,1,70.0
51.12,695.34,0.72,25.56,474.89,70.89,13.45,902.45,47.89,0.79,36.45,132.23,682.90,0.52,58.34,243.89,47.56,0.61,0,1,76.9
32.67,546.90,0.48,20.01,394.23,59.34,9.56,784.56,38.45,0.61,29.01,104.23,619.67,0.35,49.89,207.67,40.23,0.45,1,2,31.3
56.89,721.45,0.77,27.56,506.67,75.78,14.89,935.90,50.56,0.86,38.23,141.23,708.56,0.58,60.78,259.12,49.89,0.67,0,0,91.8
42.89,618.90,0.63,22.67,437.89,65.89,11.56,851.23,43.78,0.71,33.23,120.45,656.78,0.42,54.45,229.34,44.23,0.53,0,1,69.0
49.78,683.45,0.71,25.12,468.56,70.45,13.23,895.67,47.45,0.78,36.23,130.89,678.67,0.50,57.78,241.34,47.01,0.60,0,1,74.6
31.23,537.67,0.47,19.89,391.45,58.89,9.45,779.89,37.89,0.60,28.78,103.12,615.67,0.34,49.67,206.01,39.78,0.44,1,2,30.5
55.01,695.67,0.75,26.67,485.45,72.89,14.12,920.67,49.01,0.85,37.56,137.67,689.90,0.55,59.23,249.78,48.45,0.63,0,0,89.1
38.89,589.34,0.54,21.23,413.45,62.45,10.23,823.67,41.01,0.66,31.23,111.56,644.56,0.38,52.34,218.78,41.78,0.48,1,2,35.0
61.78,754.67,0.81,28.67,521.23,77.89,15.56,961.23,52.01,0.88,39.34,145.34,720.90,0.61,62.23,266.78,51.01,0.69,0,0,94.6
46.45,643.34,0.67,23.78,452.34,67.67,12.23,875.45,45.56,0.74,34.56,125.67,666.90,0.45,56.23,234.12,45.67,0.56,0,1,71.8
52.78,676.23,0.73,25.78,478.90,71.56,13.67,907.89,48.23,0.81,36.78,133.67,683.90,0.53,58.67,245.01,47.78,0.61,0,1,77.6
34.45,558.23,0.49,20.34,399.12,59.89,9.78,793.78,38.78,0.62,29.45,106.56,626.78,0.36,50.56,210.12,40.56,0.46,1,2,32.6
58.34,732.23,0.78,27.78,510.23,76.45,15.01,943.45,51.12,0.87,38.56,142.12,710.45,0.59,61.23,260.67,50.23,0.67,0,0,93.0
43.45,626.45,0.64,22.89,441.23,66.45,11.67,857.23,44.23,0.72,33.45,121.23,658.45,0.43,54.89,229.67,44.56,0.54,0,1,69.8
50.56,688.90,0.71,25.34,471.45,70.56,13.34,898.90,47.56,0.79,36.34,131.45,680.78,0.51,58.12,242.67,47.34,0.60,0,1,75.7
32.45,543.90,0.47,19.89,393.56,59.23,9.45,782.67,38.34,0.60,28.89,103.67,617.90,0.34,49.78,206.78,40.12,0.45,1,2,30.9
56.23,718.90,0.77,27.45,505.34,75.56,14.78,933.67,50.45,0.86,38.12,140.89,707.78,0.58,60.67,258.90,49.67,0.66,0,0,91.5
42.34,617.67,0.62,22.56,436.45,65.78,11.45,849.67,43.67,0.71,33.12,120.12,655.90,0.42,54.45,228.90,44.12,0.53,0,1,68.9
49.67,681.67,0.70,25.01,468.89,70.34,13.12,894.67,47.23,0.78,36.12,130.67,678.23,0.50,57.89,240.56,46.89,0.59,0,1,74.4
31.01,533.45,0.46,19.67,389.78,58.56,9.34,776.45,37.78,0.59,28.56,102.67,613.90,0.33,49.45,204.89,39.67,0.44,1,2,30.2
55.56,700.12,0.75,26.78,487.12,73.23,14.34,922.90,49.23,0.85,37.78,138.34,691.23,0.56,59.45,250.45,48.78,0.63,0,0,89.7
39.01,593.78,0.54,21.34,415.67,62.78,10.34,828.45,41.45,0.66,31.45,112.78,647.67,0.39,52.56,220.23,42.23,0.49,1,2,35.9
61.89,753.90,0.82,28.67,520.89,78.12,15.56,960.45,52.01,0.88,39.45,145.23,720.67,0.61,62.34,266.45,51.12,0.69,0,0,94.7
46.01,641.67,0.66,23.78,451.45,67.56,12.23,873.67,45.45,0.74,34.45,125.34,665.67,0.45,56.01,233.45,45.56,0.56,0,1,71.4
52.45,673.45,0.72,25.67,477.78,71.45,13.56,906.23,48.12,0.80,36.67,133.34,683.12,0.52,58.56,244.67,47.67,0.61,0,1,77.4
34.12,554.56,0.49,20.23,397.89,59.67,9.67,791.23,38.67,0.61,29.34,105.89,625.23,0.35,50.45,209.34,40.45,0.46,1,2,32.2
58.67,735.67,0.79,27.89,512.56,76.67,15.12,946.78,51.34,0.87,38.67,142.67,711.90,0.59,61.45,261.89,50.45,0.67,0,0,93.6
43.56,625.78,0.64,22.89,440.56,66.34,11.67,856.45,44.12,0.72,33.45,121.12,658.12,0.43,54.78,229.45,44.45,0.54,0,1,69.6
50.89,693.23,0.72,25.45,473.34,70.78,13.45,900.89,47.78,0.79,36.45,131.89,681.78,0.51,58.23,243.34,47.45,0.60,0,1,76.3
32.34,541.23,0.47,19.89,392.67,59.12,9.45,781.67,38.23,0.60,28.78,103.45,616.90,0.34,49.67,206.23,40.01,0.45,1,2,30.7
56.56,717.23,0.77,27.34,504.67,75.45,14.78,932.45,50.34,0.86,38.01,140.67,706.45,0.58,60.56,258.34,49.56,0.66,0,0,91.3
42.23,616.45,0.62,22.56,435.78,65.67,11.45,848.90,43.56,0.71,33.12,119.89,655.34,0.42,54.34,228.45,44.01,0.53,0,1,68.7
49.56,682.89,0.71,25.12,469.12,70.45,13.23,895.23,47.34,0.78,36.23,130.78,678.90,0.50,57.89,241.12,47.01,0.59,0,1,74.9
30.78,530.23,0.46,19.67,388.45,58.34,9.34,774.67,37.67,0.59,28.56,102.45,612.67,0.33,49.45,204.23,39.56,0.44,1,2,30.1
55.23,697.45,0.75,26.78,486.56,73.01,14.23,921.23,49.12,0.85,37.67,137.89,690.45,0.56,59.34,249.89,48.67,0.63,0,0,89.4
38.67,590.56,0.54,21.34,414.23,62.56,10.34,824.89,41.23,0.66,31.34,111.89,645.78,0.39,52.45,219.12,42.01,0.49,1,2,35.4
61.56,752.67,0.81,28.56,520.12,77.89,15.45,959.67,51.89,0.88,39.23,144.78,719.67,0.60,62.12,265.67,50.89,0.68,0,0,94.2
45.89,639.78,0.66,23.67,450.67,67.45,12.12,870.89,45.34,0.74,34.45,125.12,664.90,0.45,55.89,232.89,45.45,0.55,0,1,71.1
52.23,671.89,0.72,25.67,477.45,71.34,13.56,906.01,48.01,0.80,36.67,133.23,682.45,0.52,58.45,244.56,47.67,0.61,0,1,77.2
33.78,549.67,0.48,20.23,395.23,59.45,9.67,787.67,38.56,0.61,29.23,105.45,623.23,0.35,50.23,208.56,40.34,0.46,1,2,31.6
57.89,727.90,0.78,27.67,508.78,76.23,14.89,939.01,50.89,0.86,38.45,141.78,708.90,0.58,61.01,259.89,50.12,0.67,0,0,92.5
42.67,622.89,0.63,22.78,439.23,66.23,11.67,854.67,44.12,0.72,33.45,121.01,659.01,0.43,54.67,230.12,44.45,0.54,0,1,69.4
50.34,689.45,0.71,25.34,470.56,70.56,13.34,897.89,47.45,0.79,36.34,131.34,680.45,0.51,58.12,242.23,47.23,0.60,0,1,75.6
31.67,536.45,0.47,19.78,391.12,58.78,9.34,778.89,37.89,0.59,28.67,102.78,615.23,0.34,49.56,205.56,39.78,0.44,1,2,30.4
55.89,703.67,0.76,26.89,488.34,73.34,14.45,924.45,49.34,0.85,37.89,138.56,692.67,0.56,59.56,251.23,48.89,0.64,0,0,90.2
39.23,596.23,0.55,21.45,417.34,63.12,10.45,831.23,41.67,0.67,31.67,113.45,649.45,0.39,52.78,221.45,42.45,0.49,1,2,36.5
62.12,757.23,0.82,28.78,523.12,78.34,15.67,965.89,52.34,0.89,39.56,145.78,722.34,0.61,62.45,267.89,51.34,0.69,0,0,95.2
46.89,652.23,0.68,24.01,456.89,68.45,12.56,884.56,46.12,0.76,34.89,127.23,671.45,0.46,56.78,236.45,46.34,0.57,0,1,73.2
53.67,686.78,0.74,26.23,482.45,72.34,13.89,913.45,48.78,0.82,37.23,134.89,687.56,0.54,59.23,247.23,48.45,0.62,0,0,88.8
35.45,568.67,0.51,20.67,403.89,60.78,9.89,801.67,39.34,0.63,29.89,107.89,631.67,0.36,51.12,212.67,41.12,0.47,1,2,33.9
59.45,741.23,0.80,28.12,516.89,77.12,15.34,951.45,51.67,0.87,38.89,143.23,714.67,0.59,61.78,263.45,50.78,0.68,0,0,94.3
43.78,630.12,0.65,23.12,443.67,66.78,11.78,860.12,44.45,0.73,33.67,122.23,660.56,0.43,55.12,231.23,44.78,0.55,0,1,70.4
51.34,697.67,0.72,25.67,476.12,71.12,13.56,904.67,48.12,0.79,36.56,132.56,683.67,0.52,58.45,244.12,47.67,0.61,0,1,77.4
32.89,548.23,0.48,20.01,395.45,59.56,9.56,786.78,38.56,0.61,29.12,104.56,620.89,0.35,50.01,208.12,40.34,0.45,1,2,31.5
57.12,723.67,0.77,27.56,507.89,76.01,14.89,937.23,50.67,0.86,38.34,141.45,709.78,0.58,60.89,260.23,50.01,0.67,0,0,92.1
42.78,620.67,0.63,22.67,438.45,66.01,11.56,852.45,43.89,0.71,33.34,120.67,657.67,0.42,54.56,229.89,44.34,0.53,0,1,69.2
49.89,685.67,0.71,25.23,469.89,70.67,13.34,896.89,47.56,0.78,36.34,131.12,679.67,0.51,58.01,241.89,47.12,0.60,0,1,75.1
31.45,538.90,0.47,19.89,392.23,59.01,9.45,780.67,38.12,0.60,28.89,103.23,616.45,0.34,49.78,206.45,39.89,0.45,1,2,30.8
55.67,699.23,0.75,26.78,487.23,73.12,14.34,922.45,49.23,0.85,37.78,138.12,691.12,0.56,59.45,250.34,48.78,0.63,0,0,89.6
38.89,592.67,0.54,21.34,415.12,62.67,10.34,827.67,41.34,0.66,31.45,112.34,647.23,0.39,52.56,220.01,42.12,0.49,1,2,35.6
61.78,755.45,0.82,28.67,521.56,78.01,15.56,962.45,52.12,0.88,39.45,145.45,721.45,0.61,62.34,266.89,51.23,0.69,0,0,94.9
46.23,644.56,0.67,23.89,453.45,67.78,12.34,877.23,45.67,0.75,34.67,126.01,667.67,0.46,56.34,234.67,45.78,0.56,0,1,72.3
52.89,677.45,0.73,25.89,479.67,71.67,13.67,908.45,48.34,0.81,36.89,133.89,684.78,0.53,58.78,245.56,47.89,0.61,0,1,77.9
34.56,560.45,0.50,20.45,400.67,60.23,9.78,795.23,38.89,0.62,29.56,106.78,628.45,0.36,50.67,210.45,40.67,0.46,1,2,33.1
58.56,734.67,0.79,27.89,511.45,76.56,15.12,944.67,51.23,0.87,38.67,142.34,711.23,0.59,61.34,261.12,50.34,0.67,0,0,93.3
43.34,627.67,0.64,22.89,442.34,66.56,11.67,858.45,44.23,0.72,33.56,121.56,659.23,0.43,54.89,230.23,44.56,0.54,0,1,69.9
50.67,691.23,0.72,25.45,472.23,70.78,13.45,899.23,47.67,0.79,36.45,131.67,681.45,0.51,58.23,242.89,47.45,0.60,0,1,76.1
32.56,544.67,0.48,20.01,394.12,59.34,9.56,783.89,38.45,0.61,29.01,104.12,618.67,0.35,49.89,207.45,40.23,0.45,1,2,31.2
56.45,719.67,0.77,27.45,506.12,75.67,14.89,934.89,50.56,0.86,38.23,141.12,708.23,0.58,60.78,259.67,49.78,0.67,0,0,91.9
42.45,618.23,0.63,22.67,437.12,65.89,11.56,850.23,43.67,0.71,33.23,120.23,656.45,0.42,54.45,229.12,44.12,0.53,0,1,68.8
49.78,683.89,0.71,25.12,469.45,70.56,13.23,895.89,47.45,0.78,36.23,130.89,679.34,0.50,57.89,241.45,47.01,0.59,0,1,74.7
31.12,535.67,0.46,19.78,390.89,58.67,9.34,777.89,37.89,0.59,28.67,102.89,614.67,0.34,49.56,205.12,39.67,0.44,1,2,30.3
55.45,701.45,0.76,26.89,488.67,73.23,14.45,923.67,49.34,0.85,37.89,138.45,692.34,0.56,59.56,251.01,48.89,0.64,0,0,90.1
39.12,595.45,0.55,21.45,416.89,63.01,10.45,830.45,41.56,0.67,31.56,113.12,648.67,0.39,52.67,220.67,42.34,0.49,1,2,36.2
62.23,758.90,0.82,28.89,524.23,78.45,15.78,967.23,52.45,0.89,39.67,146.01,723.56,0.62,62.56,268.45,51.45,0.70,0,0,95.4
47.01,653.45,0.68,24.12,457.89,68.67,12.67,885.78,46.23,0.76,35.01,127.56,672.67,0.47,56.89,237.23,46.45,0.58,0,1,73.6
53.89,689.01,0.74,26.34,483.67,72.56,13.89,915.67,48.89,0.82,37.34,135.23,688.78,0.54,59.34,247.89,48.56,0.62,0,0,89.2
35.67,571.23,0.51,20.78,405.23,61.12,10.01,803.89,39.56,0.64,30.12,108.34,633.89,0.37,51.34,213.45,41.34,0.48,1,2,34.3
59.67,743.56,0.80,28.23,518.23,77.34,15.45,953.67,51.78,0.88,39.01,143.67,716.23,0.60,61.89,264.23,50.89,0.68,0,0,94.7
44.01,632.45,0.65,23.23,445.12,67.12,11.89,862.34,44.67,0.73,33.78,122.67,661.78,0.44,55.34,232.01,44.89,0.55,0,1,70.7
51.56,699.89,0.72,25.78,477.34,71.34,13.67,906.89,48.23,0.80,36.67,132.89,684.89,0.52,58.56,244.89,47.78,0.61,0,1,77.7
33.23,551.45,0.48,20.12,397.23,59.78,9.67,789.45,38.67,0.62,29.34,105.12,622.67,0.36,50.23,209.23,40.45,0.46,1,2,32.0
57.34,726.23,0.78,27.67,509.12,76.34,15.01,939.45,50.89,0.87,38.45,141.89,710.45,0.59,61.12,260.67,50.23,0.67,0,0,92.8
42.89,623.12,0.64,22.89,440.67,66.34,11.78,856.67,44.23,0.72,33.56,121.34,659.56,0.43,54.78,230.45,44.56,0.54,0,1,69.6
50.45,690.67,0.72,25.45,471.78,70.67,13.45,898.45,47.56,0.79,36.45,131.45,680.89,0.51,58.12,242.45,47.34,0.60,0,1,75.8
31.78,540.12,0.47,19.89,392.89,59.12,9.45,781.12,38.23,0.60,28.89,103.45,617.23,0.34,49.78,206.67,40.01,0.45,1,2,30.9
56.01,704.89,0.76,27.01,489.89,73.45,14.56,925.67,49.45,0.85,38.01,138.78,693.45,0.57,59.67,251.67,49.01,0.64,0,0,90.4
39.34,597.89,0.55,21.56,418.45,63.23,10.56,832.67,41.78,0.67,31.78,113.78,650.67,0.39,52.89,221.89,42.56,0.50,1,2,36.8
