entry_number,filename,parent_entry,is_deleted,modified_time,file_size,file_type
249,update.msi,237,false,2024-01-09T14:30:18Z,5678901,file
16,ProgramData,0,false,2023-12-01T08:15:35Z,0,directory
22,Microsoft,16,false,2023-12-01T08:15:36Z,0,directory
28,Windows,16,false,2023-12-01T08:15:37Z,0,directory
35,Defender,28,false,2023-12-05T10:18:45Z,0,directory
40,quarantine.db,35,false,2024-01-06T11:22:33Z,234567,file
46,definitions.vdm,35,false,2024-01-13T12:35:18Z,45678901,file
53,scan_log.txt,35,false,2024-01-14T13:45:22Z,123456,file
59,malware_sample.exe,41,true,2024-01-16T16:22:45Z,987654,file
65,trojan_detected.dll,41,true,2024-01-16T17:35:18Z,456789,file
71,ransom_note.txt,47,true,2024-01-17T08:15:22Z,1024,file
77,encrypted_files.zip,41,true,2024-01-17T09:30:45Z,34567890,file
83,recovery_key.txt,47,true,2024-01-17T10:45:18Z,512,file
89,system_backup.bak,34,true,2024-01-18T07:22:33Z,78901234,file
95,registry_export.reg,34,true,2024-01-18T08:35:45Z,345678,file
101,shadow_copy.vhd,34,true,2024-01-18T09:48:22Z,123456789,file
106,network_config.xml,34,false,2024-01-19T10:15:18Z,8192,file
112,firewall_rules.txt,34,false,2024-01-20T11:30:45Z,16384,file
118,event_log_backup.evtx,34,false,2024-01-21T12:45:22Z,5678901,file
123,performance_data.csv,34,false,2024-01-22T13:22:18Z,234567,file
129,diagnostic_report.txt,34,false,2024-01-23T14:35:45Z,123456,file
135,error_log.log,130,false,2024-01-24T15:18:22Z,45678,file
140,crash_dump.dmp,130,false,2024-01-25T16:22:33Z,23456789,file
146,memory_snapshot.bin,130,false,2024-01-26T17:35:18Z,67890123,file
152,process_list.txt,130,false,2024-01-27T18:45:45Z,12345,file
157,network_trace.pcap,130,false,2024-01-28T19:22:22Z,8901234,file
163,Music,29,false,2023-12-03T11:22:49Z,0,directory
169,song01.mp3,163,false,2024-01-05T20:15:18Z,4567890,file
174,song02.mp3,163,false,2024-01-06T21:30:45Z,3456789,file
180,playlist.m3u,163,false,2024-01-07T22:45:22Z,2048,file
186,Videos,29,false,2023-12-03T11:22:51Z,0,directory
191,movie.mp4,186,false,2024-01-08T08:15:18Z,456789012,file
197,tutorial.avi,186,false,2024-01-09T09:30:45Z,234567890,file
202,Pictures,29,false,2023-12-03T11:22:53Z,0,directory
208,photo001.jpg,202,false,2024-01-10T10:45:22Z,3456789,file
214,photo002.jpg,202,false,2024-01-11T11:22:18Z,4567890,file
219,screenshot_2024.png,202,false,2024-01-12T12:35:45Z,2345678,file
225,vacation_2023.jpg,202,false,2024-01-13T13:18:22Z,5678901,file
230,family_photo.jpg,202,false,2024-01-14T14:30:18Z,4321098,file
236,sunset.png,202,false,2024-01-15T15:45:45Z,3210987,file
242,landscape.jpg,202,false,2024-01-16T16:22:22Z,6543210,file
248,portrait.jpg,202,false,2024-01-17T17:35:18Z,5432109,file
17,Fonts,38,false,2023-12-01T08:15:38Z,0,directory
24,arial.ttf,17,false,2023-12-05T10:18:22Z,756432,file
30,times.ttf,17,false,2023-12-05T10:18:24Z,687543,file
36,calibri.ttf,17,false,2023-12-05T10:18:26Z,598765,file
42,verdana.ttf,17,false,2023-12-05T10:18:28Z,623456,file
48,comic.ttf,17,false,2023-12-05T10:18:30Z,534567,file
54,Logs,38,false,2023-12-01T08:15:39Z,0,directory
60,WindowsUpdate.log,54,false,2024-01-06T11:22:45Z,1234567,file
66,setupapi.log,54,false,2024-01-07T12:35:18Z,987654,file
72,CBS.log,54,false,2024-01-08T13:45:22Z,2345678,file
78,DISM.log,54,false,2024-01-09T14:22:33Z,876543,file
86,application.evtx,54,false,2024-01-10T15:35:45Z,3456789,file
92,system.evtx,54,false,2024-01-11T16:18:22Z,4567890,file
98,security.evtx,54,false,2024-01-12T17:30:18Z,5678901,file
104,Recycle.Bin,0,false,2023-12-01T08:15:40Z,0,directory
110,INFO2,104,false,2024-01-15T18:22:45Z,512,file
116,deleted_file1.pdf,104,true,2024-01-15T19:35:22Z,876543,file
122,deleted_file2.docx,104,true,2024-01-16T20:45:18Z,234567,file
128,deleted_file3.xlsx,104,true,2024-01-17T21:22:33Z,567890,file
134,old_photo.jpg,104,true,2024-01-18T22:35:45Z,3456789,file
139,obsolete_data.csv,104,true,2024-01-18T23:18:22Z,123456,file
