amount,frequency,recency,diversity
129.60,15,76,0.62
402.10,41,10,0.89
297.70,32,23,0.80
102.80,11,101,0.57
425.30,43,7,0.91
270.90,30,28,0.78
76.50,6,165,0.38
438.60,45,4,0.94
249.80,28,34,0.78
171.40,20,58,0.70
351.20,37,14,0.85
246.50,27,35,0.77
136.70,16,73,0.64
415.80,42,9,0.90
309.40,33,20,0.81
88.90,8,122,0.45
451.70,46,3,0.95
262.60,29,31,0.78
178.50,21,57,0.71
364.30,37,15,0.84
258.70,28,32,0.79
143.80,17,72,0.65
428.90,44,6,0.92
321.50,34,18,0.82
95.60,10,105,0.54
464.80,47,2,0.96
274.40,30,29,0.78
185.20,22,54,0.72
377.60,38,14,0.86
270.80,30,30,0.78
150.90,18,69,0.66
441.70,45,5,0.93
333.80,35,17,0.83
102.30,11,99,0.57
477.90,48,1,0.97
286.50,31,27,0.79
192.40,23,51,0.73
390.70,39,13,0.87
282.90,31,28,0.79
158.10,19,65,0.68
454.60,46,4,0.94
346.20,36,16,0.84
109.70,12,96,0.58
491.20,49,15,0.85
298.60,32,26,0.79
199.50,24,49,0.74
403.80,41,11,0.88
295.10,32,25,0.79
165.30,20,62,0.69
467.50,47,3,0.95
358.40,37,15,0.84
116.80,13,93,0.59
487.30,48,12,0.86
310.70,33,24,0.80
206.60,25,46,0.75
416.90,42,10,0.89
307.20,33,23,0.80
172.40,21,60,0.70
480.60,48,2,0.96
370.50,38,14,0.85
123.90,14,87,0.60
493.40,49,10,0.87
322.80,34,22,0.81
213.70,26,44,0.76
429.10,44,9,0.90
319.30,34,21,0.81
179.50,22,59,0.71
485.70,48,5,0.94
382.60,39,13,0.86
131.10,15,84,0.61
499.50,50,8,0.88
334.90,35,20,0.82
220.80,27,42,0.76
441.20,45,8,0.91
331.40,35,19,0.82
186.60,23,56,0.72
492.80,49,4,0.95
394.70,40,12,0.87
138.20,16,81,0.63
487.60,48,7,0.89
347.10,36,18,0.83
227.90,28,40,0.77
453.30,46,7,0.92
343.50,36,17,0.83
193.70,24,55,0.72
495.90,49,3,0.96
406.80,41,11,0.88
145.30,17,78,0.64
479.70,48,6,0.90
359.20,37,16,0.84
235.10,29,38,0.77
465.40,47,6,0.93
355.60,37,15,0.84
200.80,25,53,0.73
488.10,48,2,0.97
418.90,42,10,0.89
152.40,18,75,0.65
471.80,47,5,0.91
371.30,38,14,0.85
242.20,30,36,0.77
477.50,48,5,0.94
367.70,38,13,0.85
207.90,26,52,0.73
481.20,48,4,0.95
430.10,44,9,0.90
159.50,19,72,0.66
464.90,47,4,0.92
383.40,39,12,0.86
249.30,31,34,0.78
470.60,47,3,0.96
379.80,39,11,0.86
215.10,27,50,0.74
474.70,47,2,0.97
442.20,45,8,0.91
166.60,20,69,0.67
459.80,46,5,0.93
395.50,40,11,0.87
256.40,32,33,0.78
467.90,47,4,0.94
391.90,40,10,0.88
222.20,28,48,0.74
463.10,46,3,0.95
454.30,46,7,0.92
173.70,21,66,0.68
452.20,46,6,0.91
407.60,41,10,0.88
263.50,33,31,0.78
456.30,46,5,0.93
403.10,41,9,0.89
229.30,29,46,0.75
449.40,45,4,0.94
466.40,47,6,0.92
180.80,22,63,0.69
445.50,45,7,0.91
419.70,42,9,0.89
270.60,34,29,0.78
442.60,45,5,0.93
415.20,42,8,0.90
236.40,30,44,0.75
435.70,44,4,0.94
478.50,48,5,0.93
187.90,23,60,0.70
438.80,45,6,0.92
431.80,44,8,0.90
277.70,35,27,0.78
428.90,44,4,0.95
427.30,43,7,0.91
243.50,31,42,0.76
421.10,43,5,0.93
490.60,49,4,0.94
195.10,24,57,0.71
424.20,43,6,0.92
443.90,45,7,0.91
284.80,36,25,0.78
415.30,42,5,0.94
439.40,45,6,0.92
250.60,32,40,0.76
407.50,41,6,0.93
482.70,48,3,0.95
202.20,25,54,0.72
410.60,41,7,0.91
455.10,46,6,0.92
291.90,37,23,0.79
401.70,41,6,0.94
451.50,46,5,0.93
257.70,33,38,0.77
393.80,40,7,0.92
474.80,47,2,0.96
209.30,26,51,0.73
396.90,40,8,0.91
467.20,47,5,0.93
299.10,38,21,0.79
388.10,39,7,0.93
463.30,46,4,0.94
264.80,34,36,0.77
380.20,39,8,0.92
486.40,48,3,0.95
216.40,27,49,0.74
371.30,38,9,0.91
479.50,48,4,0.94
306.20,39,19,0.80
364.40,37,8,0.93
475.60,47,3,0.95
271.90,35,34,0.77
356.50,37,9,0.92
492.70,49,2,0.96
223.50,28,47,0.74
348.60,36,10,0.91
491.80,49,3,0.95
313.30,40,17,0.80
340.70,36,10,0.92
487.90,48,2,0.96
279.10,36,32,0.77
332.80,35,11,0.91
485.10,48,1,0.97
230.60,29,45,0.75
324.90,34,11,0.92
479.20,48,2,0.96
320.40,41,15,0.81
316.10,34,12,0.91
471.30,47,1,0.97
286.20,37,30,0.77
308.20,33,12,0.92
465.40,46,2,0.96
237.70,30,43,0.75
300.30,32,13,0.91
457.50,46,3,0.95
327.50,42,13,0.81
292.40,31,13,0.92
451.60,46,2,0.96
293.30,38,28,0.78
284.50,30,14,0.91
443.70,45,3,0.95
244.80,31,41,0.76
276.60,29,14,0.92
435.80,44,4,0.94
334.60,43,11,0.82
268.70,28,15,0.91
427.90,44,3,0.95
300.40,39,26,0.78
260.80,27,15,0.92
419.10,43,4,0.94
251.90,32,39,0.76
252.90,26,16,0.91
411.20,42,3,0.95
341.70,44,9,0.82
245.10,25,16,0.92
403.30,41,4,0.94
307.50,40,24,0.78
237.20,24,17,0.91
395.40,40,3,0.95
259.10,33,37,0.76
229.30,23,17,0.92
387.50,39,4,0.94
348.80,45,7,0.83
221.40,22,18,0.91
379.60,38,3,0.95
314.60,41,22,0.79
213.50,21,18,0.92
371.70,37,4,0.94
266.20,34,35,0.77
205.60,20,19,0.91
363.80,36,3,0.95
355.90,46,5,0.83
197.70,19,19,0.92
356.10,36,4,0.94
321.70,42,20,0.79
189.80,18,20,0.91
348.20,35,3,0.95
273.30,35,33,0.77
181.90,17,20,0.92
340.30,34,4,0.94
363.10,47,3,0.84
174.10,16,21,0.91
332.40,33,3,0.95
328.80,43,18,0.80
166.20,15,21,0.92
324.50,32,4,0.94
280.40,36,31,0.77
158.30,14,22,0.91
316.60,31,3,0.95
370.20,48,1,0.84
150.40,13,22,0.92
308.70,30,4,0.94
335.90,44,16,0.80
142.50,12,23,0.91
300.80,29,3,0.95
287.50,37,29,0.78
134.60,11,23,0.92
293.10,28,4,0.94
377.30,49,2,0.85
126.70,10,24,0.91
285.20,27,3,0.95
343.10,45,14,0.80
118.80,9,24,0.92
277.30,26,4,0.94
294.60,38,27,0.78
110.90,8,25,0.91
269.40,25,3,0.95
384.40,50,1,0.85
103.10,7,25,0.92
261.50,24,4,0.94
350.20,46,12,0.81
95.20,6,26,0.91
253.60,23,3,0.95
301.70,39,25,0.78
87.30,5,26,0.92
245.70,22,4,0.94
357.30,47,10,0.81
79.40,4,27,0.91
237.80,21,3,0.95
308.80,40,23,0.78
71.50,3,27,0.92
229.90,20,4,0.94
364.40,48,8,0.82
63.60,2,28,0.91
222.10,19,3,0.95
315.90,41,21,0.79
55.70,1,28,0.92
214.20,18,4,0.94
371.50,49,6,0.82
47.80,2,29,0.91
206.30,17,3,0.95
323.10,42,19,0.79
39.90,1,29,0.92
198.40,16,4,0.94
378.60,50,4,0.83
32.10,1,30,0.91
190.50,15,3,0.95
330.20,43,17,0.80
24.20,1,30,0.92
182.60,14,4,0.94
385.70,49,5,0.83
16.30,1,31,0.91
174.70,13,3,0.95
337.30,44,15,0.80
10.40,1,32,0.91
166.80,12,4,0.94
392.80,50,3,0.83
