2024-01-15 13:45:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2B3C4D | replay_lsn: 0/4A2B3C40 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.2
2024-01-15 13:51:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2C78CD | replay_lsn: 0/4A2C78C4 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.3
2024-01-15 13:51:30 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2C94EF | replay_lsn: 0/4A2C94E8 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.7
2024-01-15 13:52:00 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2CB011 | replay_lsn: 0/4A2CB004 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.8
2024-01-15 13:52:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2CCC33 | replay_lsn: 0/4A2CCC30 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.4
2024-01-15 13:53:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2CE855 | replay_lsn: 0/4A2CE84C | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.7
2024-01-15 13:53:30 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2D0477 | replay_lsn: 0/4A2D0470 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.1
2024-01-15 13:54:00 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2D2099 | replay_lsn: 0/4A2D208C | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.9
2024-01-15 13:54:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2D3CBB | replay_lsn: 0/4A2D3CB8 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.5
2024-01-15 13:55:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2D58DD | replay_lsn: 0/4A2D58D4 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.3
2024-01-15 13:55:30 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2D74FF | replay_lsn: 0/4A2D74F0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.8
2024-01-15 13:56:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2D9121 | replay_lsn: 0/4A2D911C | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.2
2024-01-15 13:56:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2DAD43 | replay_lsn: 0/4A2DAD40 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.6
2024-01-15 13:57:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2DC965 | replay_lsn: 0/4A2DC95C | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.8
2024-01-15 13:57:30 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2DE587 | replay_lsn: 0/4A2DE578 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.9
2024-01-15 13:58:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2E01A9 | replay_lsn: 0/4A2E01A4 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.2
2024-01-15 13:58:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2E1DCB | replay_lsn: 0/4A2E1DC8 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.4
2024-01-15 13:59:00 | replay_lag_seconds: 15 | write_lag_seconds: 8 | flush_lag_seconds: 10 | sent_lsn: 0/4A2E89ED | replay_lsn: 0/4A2E1E00 | state: streaming | sync_priority: 0 | network_throughput_mbps: 45.3
2024-01-15 13:59:30 | replay_lag_seconds: 28 | write_lag_seconds: 15 | flush_lag_seconds: 18 | sent_lsn: 0/4A2F520F | replay_lsn: 0/4A2E2A40 | state: streaming | sync_priority: 0 | network_throughput_mbps: 52.7
2024-01-15 14:00:00 | replay_lag_seconds: 45 | write_lag_seconds: 24 | flush_lag_seconds: 28 | sent_lsn: 0/4A301A31 | replay_lsn: 0/4A2E3C80 | state: streaming | sync_priority: 0 | network_throughput_mbps: 62.1
2024-01-15 14:00:30 | replay_lag_seconds: 89 | write_lag_seconds: 48 | flush_lag_seconds: 56 | sent_lsn: 0/4A32E653 | replay_lsn: 0/4A2E7F20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 78.4
2024-01-15 14:01:00 | replay_lag_seconds: 134 | write_lag_seconds: 72 | flush_lag_seconds: 84 | sent_lsn: 0/4A35B275 | replay_lsn: 0/4A2EC1A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 82.6
2024-01-15 14:01:30 | replay_lag_seconds: 178 | write_lag_seconds: 95 | flush_lag_seconds: 112 | sent_lsn: 0/4A387E97 | replay_lsn: 0/4A2F0420 | state: catchup | sync_priority: 0 | network_throughput_mbps: 85.2
2024-01-15 14:02:00 | replay_lag_seconds: 223 | write_lag_seconds: 119 | flush_lag_seconds: 140 | sent_lsn: 0/4A3B4AB9 | replay_lsn: 0/4A2F46A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 81.9
2024-01-15 14:02:30 | replay_lag_seconds: 267 | write_lag_seconds: 142 | flush_lag_seconds: 168 | sent_lsn: 0/4A3E16DB | replay_lsn: 0/4A2F8920 | state: catchup | sync_priority: 0 | network_throughput_mbps: 79.5
2024-01-15 14:03:00 | replay_lag_seconds: 289 | write_lag_seconds: 154 | flush_lag_seconds: 182 | sent_lsn: 0/4A40E2FD | replay_lsn: 0/4A2FCBA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 83.7
2024-01-15 14:03:30 | replay_lag_seconds: 312 | write_lag_seconds: 166 | flush_lag_seconds: 196 | sent_lsn: 0/4A43AF1F | replay_lsn: 0/4A300E20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 80.3
2024-01-15 14:04:00 | replay_lag_seconds: 326 | write_lag_seconds: 173 | flush_lag_seconds: 204 | sent_lsn: 0/4A467B41 | replay_lsn: 0/4A3050A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 84.8
2024-01-15 14:04:30 | replay_lag_seconds: 335 | write_lag_seconds: 178 | flush_lag_seconds: 210 | sent_lsn: 0/4A494763 | replay_lsn: 0/4A309320 | state: catchup | sync_priority: 0 | network_throughput_mbps: 82.1
2024-01-15 14:05:00 | replay_lag_seconds: 340 | write_lag_seconds: 181 | flush_lag_seconds: 213 | sent_lsn: 0/4A4C1385 | replay_lsn: 0/4A30D5A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 78.9
2024-01-15 14:05:30 | replay_lag_seconds: 378 | write_lag_seconds: 201 | flush_lag_seconds: 237 | sent_lsn: 0/4A4EDFA7 | replay_lsn: 0/4A311820 | state: catchup | sync_priority: 0 | network_throughput_mbps: 76.4
2024-01-15 14:06:00 | replay_lag_seconds: 450 | write_lag_seconds: 239 | flush_lag_seconds: 282 | sent_lsn: 0/4A51ABC9 | replay_lsn: 0/4A315AA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 74.2
2024-01-15 14:06:30 | replay_lag_seconds: 512 | write_lag_seconds: 272 | flush_lag_seconds: 321 | sent_lsn: 0/4A5477EB | replay_lsn: 0/4A319D20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 72.8
2024-01-15 14:07:00 | replay_lag_seconds: 567 | write_lag_seconds: 301 | flush_lag_seconds: 355 | sent_lsn: 0/4A57440D | replay_lsn: 0/4A31DFA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 71.3
2024-01-15 14:07:30 | replay_lag_seconds: 623 | write_lag_seconds: 331 | flush_lag_seconds: 390 | sent_lsn: 0/4A5A102F | replay_lsn: 0/4A322220 | state: catchup | sync_priority: 0 | network_throughput_mbps: 69.7
2024-01-15 14:08:00 | replay_lag_seconds: 678 | write_lag_seconds: 360 | flush_lag_seconds: 425 | sent_lsn: 0/4A5CDC51 | replay_lsn: 0/4A3264A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 68.5
2024-01-15 14:08:30 | replay_lag_seconds: 721 | write_lag_seconds: 383 | flush_lag_seconds: 452 | sent_lsn: 0/4A5FA873 | replay_lsn: 0/4A32A720 | state: catchup | sync_priority: 0 | network_throughput_mbps: 70.1
2024-01-15 14:09:00 | replay_lag_seconds: 745 | write_lag_seconds: 396 | flush_lag_seconds: 467 | sent_lsn: 0/4A627495 | replay_lsn: 0/4A32E9A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 73.6
2024-01-15 14:09:30 | replay_lag_seconds: 776 | write_lag_seconds: 412 | flush_lag_seconds: 486 | sent_lsn: 0/4A6540B7 | replay_lsn: 0/4A332C20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 75.2
2024-01-15 14:10:00 | replay_lag_seconds: 789 | write_lag_seconds: 419 | flush_lag_seconds: 494 | sent_lsn: 0/4A680CD9 | replay_lsn: 0/4A336EA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 71.9
2024-01-15 14:10:30 | replay_lag_seconds: 806 | write_lag_seconds: 428 | flush_lag_seconds: 505 | sent_lsn: 0/4A6AD8FB | replay_lsn: 0/4A33B120 | state: catchup | sync_priority: 0 | network_throughput_mbps: 69.4
2024-01-15 14:11:00 | replay_lag_seconds: 815 | write_lag_seconds: 433 | flush_lag_seconds: 511 | sent_lsn: 0/4A6DA51D | replay_lsn: 0/4A33F3A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 67.8
2024-01-15 14:11:30 | replay_lag_seconds: 823 | write_lag_seconds: 437 | flush_lag_seconds: 516 | sent_lsn: 0/4A70713F | replay_lsn: 0/4A343620 | state: catchup | sync_priority: 0 | network_throughput_mbps: 65.3
2024-01-15 14:12:00 | replay_lag_seconds: 789 | write_lag_seconds: 419 | flush_lag_seconds: 494 | sent_lsn: 0/4A733D61 | replay_lsn: 0/4A3578A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 68.7
2024-01-15 14:12:30 | replay_lag_seconds: 742 | write_lag_seconds: 394 | flush_lag_seconds: 465 | sent_lsn: 0/4A760983 | replay_lsn: 0/4A36BB20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 70.9
2024-01-15 14:13:00 | replay_lag_seconds: 687 | write_lag_seconds: 365 | flush_lag_seconds: 430 | sent_lsn: 0/4A78D5A5 | replay_lsn: 0/4A37FDA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 66.2
2024-01-15 14:13:30 | replay_lag_seconds: 642 | write_lag_seconds: 341 | flush_lag_seconds: 402 | sent_lsn: 0/4A7BA1C7 | replay_lsn: 0/4A394020 | state: catchup | sync_priority: 0 | network_throughput_mbps: 63.5
2024-01-15 14:14:00 | replay_lag_seconds: 534 | write_lag_seconds: 284 | flush_lag_seconds: 335 | sent_lsn: 0/4A7E6DE9 | replay_lsn: 0/4A3C82A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 61.8
2024-01-15 14:14:30 | replay_lag_seconds: 398 | write_lag_seconds: 211 | flush_lag_seconds: 249 | sent_lsn: 0/4A813A0B | replay_lsn: 0/4A3FC520 | state: catchup | sync_priority: 0 | network_throughput_mbps: 59.4
2024-01-15 14:15:00 | replay_lag_seconds: 267 | write_lag_seconds: 142 | flush_lag_seconds: 167 | sent_lsn: 0/4A84062D | replay_lsn: 0/4A4307A0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 57.2
2024-01-15 14:15:30 | replay_lag_seconds: 156 | write_lag_seconds: 83 | flush_lag_seconds: 98 | sent_lsn: 0/4A86D24F | replay_lsn: 0/4A464A20 | state: catchup | sync_priority: 0 | network_throughput_mbps: 55.6
2024-01-15 14:16:00 | replay_lag_seconds: 98 | write_lag_seconds: 52 | flush_lag_seconds: 61 | sent_lsn: 0/4A899E71 | replay_lsn: 0/4A4A8CA0 | state: catchup | sync_priority: 0 | network_throughput_mbps: 45.3
2024-01-15 14:16:30 | replay_lag_seconds: 67 | write_lag_seconds: 36 | flush_lag_seconds: 42 | sent_lsn: 0/4A8C6A93 | replay_lsn: 0/4A4ECF20 | state: streaming | sync_priority: 0 | network_throughput_mbps: 38.7
2024-01-15 14:17:00 | replay_lag_seconds: 45 | write_lag_seconds: 24 | flush_lag_seconds: 28 | sent_lsn: 0/4A8F36B5 | replay_lsn: 0/4A5311A0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 32.1
2024-01-15 14:17:30 | replay_lag_seconds: 32 | write_lag_seconds: 17 | flush_lag_seconds: 20 | sent_lsn: 0/4A9202D7 | replay_lsn: 0/4A575420 | state: streaming | sync_priority: 0 | network_throughput_mbps: 28.9
2024-01-15 14:18:00 | replay_lag_seconds: 23 | write_lag_seconds: 12 | flush_lag_seconds: 14 | sent_lsn: 0/4A94CEF9 | replay_lsn: 0/4A5B96A0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 25.4
2024-01-15 14:18:30 | replay_lag_seconds: 18 | write_lag_seconds: 10 | flush_lag_seconds: 11 | sent_lsn: 0/4A979B1B | replay_lsn: 0/4A5FD920 | state: streaming | sync_priority: 0 | network_throughput_mbps: 22.3
2024-01-15 14:19:00 | replay_lag_seconds: 12 | write_lag_seconds: 6 | flush_lag_seconds: 7 | sent_lsn: 0/4A9A673D | replay_lsn: 0/4A641BA0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 19.7
2024-01-15 14:19:30 | replay_lag_seconds: 8 | write_lag_seconds: 4 | flush_lag_seconds: 5 | sent_lsn: 0/4A9D335F | replay_lsn: 0/4A685E20 | state: streaming | sync_priority: 0 | network_throughput_mbps: 17.2
2024-01-15 14:20:00 | replay_lag_seconds: 5 | write_lag_seconds: 3 | flush_lag_seconds: 3 | sent_lsn: 0/4A9FFF81 | replay_lsn: 0/4A6CA0A0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 15.8
2024-01-15 14:20:30 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4AA2CBA3 | replay_lsn: 0/4A70E320 | state: streaming | sync_priority: 0 | network_throughput_mbps: 14.5
2024-01-15 14:21:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AA597C5 | replay_lsn: 0/4AA597BC | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.8
2024-01-15 14:21:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AA863E7 | replay_lsn: 0/4AA863E4 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.9
2024-01-15 14:22:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AAB3009 | replay_lsn: 0/4AAB3000 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.3
2024-01-15 14:22:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AADFC2B | replay_lsn: 0/4AADFC28 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.5
2024-01-15 14:23:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4AB0C84D | replay_lsn: 0/4AB0C844 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.1
2024-01-15 14:23:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AB3946F | replay_lsn: 0/4AB3946C | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.8
2024-01-15 14:24:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AB66091 | replay_lsn: 0/4AB66088 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.9
2024-01-15 14:24:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AB92CB3 | replay_lsn: 0/4AB92CB0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.4
2024-01-15 14:25:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4ABBF8D5 | replay_lsn: 0/4ABBF8CC | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.2
2024-01-15 14:25:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4ABEC4F7 | replay_lsn: 0/4ABEC4F4 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.6
2024-01-15 14:26:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AC19119 | replay_lsn: 0/4AC19110 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.3
2024-01-15 14:26:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AC45D3B | replay_lsn: 0/4AC45D38 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.2
2024-01-15 14:27:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4AC7295D | replay_lsn: 0/4AC72954 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.8
2024-01-15 14:27:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AC9F57F | replay_lsn: 0/4AC9F57C | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.7
2024-01-15 14:28:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4ACCC1A1 | replay_lsn: 0/4ACCC198 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.5
2024-01-15 14:28:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4ACF8DC3 | replay_lsn: 0/4ACF8DC0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.4
2024-01-15 14:29:00 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4AD259E5 | replay_lsn: 0/4AD259DC | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.1
2024-01-15 14:29:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AD52607 | replay_lsn: 0/4AD52604 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.9
2024-01-15 14:30:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4AD7F229 | replay_lsn: 0/4AD7F220 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.6
