chain,iteration,mu,sigma,tau
1,82,5.201,2.178,1.521
1,83,5.223,2.156,1.498
1,84,5.198,2.189,1.534
1,85,5.234,2.145,1.512
1,86,5.209,2.167,1.498
1,87,5.187,2.134,1.527
1,88,5.245,2.178,1.506
1,89,5.211,2.156,1.521
1,90,5.198,2.189,1.498
1,91,5.223,2.145,1.543
1,92,5.201,2.167,1.515
1,93,5.234,2.134,1.502
1,94,5.189,2.178,1.536
1,95,5.245,2.156,1.509
1,96,5.209,2.189,1.521
1,97,5.198,2.145,1.498
1,98,5.223,2.167,1.534
1,99,5.211,2.134,1.512
1,100,5.187,2.178,1.498
1,101,5.234,2.156,1.527
1,102,5.201,2.189,1.506
1,103,5.245,2.145,1.521
1,104,5.209,2.167,1.498
1,105,5.198,2.134,1.543
1,106,5.223,2.178,1.515
1,107,5.187,2.156,1.502
1,108,5.234,2.189,1.536
1,109,5.211,2.145,1.509
1,110,5.189,2.167,1.521
1,111,5.245,2.134,1.498
1,112,5.201,2.178,1.534
1,113,5.223,2.156,1.512
1,114,5.198,2.189,1.498
1,115,5.234,2.145,1.527
1,116,5.209,2.167,1.506
1,117,5.187,2.134,1.521
1,118,5.245,2.178,1.498
1,119,5.211,2.156,1.543
1,120,5.198,2.189,1.515
1,121,5.223,2.145,1.502
1,122,5.201,2.167,1.536
1,123,5.234,2.134,1.509
1,124,5.189,2.178,1.521
1,125,5.245,2.156,1.498
1,126,5.209,2.189,1.534
1,127,5.198,2.145,1.512
1,128,5.223,2.167,1.498
1,129,5.211,2.134,1.527
1,130,5.187,2.178,1.506
1,131,5.234,2.156,1.521
1,132,5.201,2.189,1.498
1,133,5.245,2.145,1.543
1,134,5.209,2.167,1.515
1,135,5.198,2.134,1.502
1,136,5.223,2.178,1.536
1,137,5.187,2.156,1.509
1,138,5.234,2.189,1.521
1,139,5.211,2.145,1.498
1,140,5.189,2.167,1.534
1,141,5.245,2.134,1.512
1,142,5.201,2.178,1.498
1,143,5.223,2.156,1.527
1,144,5.198,2.189,1.506
1,145,5.234,2.145,1.521
1,146,5.209,2.167,1.498
1,147,5.187,2.134,1.543
1,148,5.245,2.178,1.515
1,149,5.211,2.156,1.502
1,150,5.198,2.189,1.536
1,151,5.223,2.145,1.509
1,152,5.201,2.167,1.521
1,153,5.234,2.134,1.498
1,154,5.189,2.178,1.534
1,155,5.245,2.156,1.512
1,156,5.209,2.189,1.498
1,157,5.198,2.145,1.527
1,158,5.223,2.167,1.506
1,159,5.211,2.134,1.521
1,160,5.187,2.178,1.498
1,161,5.234,2.156,1.543
1,162,5.201,2.189,1.515
1,163,5.245,2.145,1.502
1,164,5.209,2.167,1.536
1,165,5.198,2.134,1.509
1,166,5.223,2.178,1.521
1,167,5.187,2.156,1.498
1,168,5.234,2.189,1.534
1,169,5.211,2.145,1.512
1,170,5.189,2.167,1.498
1,171,5.245,2.134,1.527
1,172,5.201,2.178,1.506
1,173,5.223,2.156,1.521
1,174,5.198,2.189,1.498
1,175,5.234,2.145,1.543
1,176,5.209,2.167,1.515
1,177,5.187,2.134,1.502
1,178,5.245,2.178,1.536
1,179,5.211,2.156,1.509
1,180,5.198,2.189,1.521
1,181,5.223,2.145,1.498
1,182,5.201,2.167,1.534
1,183,5.234,2.134,1.512
1,184,5.189,2.178,1.498
1,185,5.245,2.156,1.527
1,186,5.209,2.189,1.506
1,187,5.198,2.145,1.521
1,188,5.223,2.167,1.498
1,189,5.211,2.134,1.543
1,190,5.187,2.178,1.515
1,191,5.234,2.156,1.502
1,192,5.201,2.189,1.536
1,193,5.245,2.145,1.509
1,194,5.209,2.167,1.521
1,195,5.198,2.134,1.498
1,196,5.223,2.178,1.534
1,197,5.187,2.156,1.512
1,198,5.234,2.189,1.498
1,199,5.211,2.145,1.527
1,200,5.189,2.167,1.506
1,201,5.245,2.134,1.521
1,202,5.201,2.178,1.498
1,203,5.223,2.156,1.543
1,204,5.198,2.189,1.515
1,205,5.234,2.145,1.502
1,206,5.209,2.167,1.536
1,207,5.187,2.134,1.509
1,208,5.245,2.178,1.521
1,209,5.211,2.156,1.498
1,210,5.198,2.189,1.534
1,211,5.223,2.145,1.512
1,212,5.201,2.167,1.498
1,213,5.234,2.134,1.527
1,214,5.189,2.178,1.506
1,215,5.245,2.156,1.521
1,216,5.209,2.189,1.498
1,217,5.198,2.145,1.543
1,218,5.223,2.167,1.515
1,219,5.211,2.134,1.502
1,220,5.187,2.178,1.536
1,221,5.234,2.156,1.509
1,222,5.201,2.189,1.521
1,223,5.245,2.145,1.498
1,224,5.209,2.167,1.534
1,225,5.198,2.134,1.512
1,226,5.223,2.178,1.498
1,227,5.187,2.156,1.527
1,228,5.234,2.189,1.506
1,229,5.211,2.145,1.521
1,230,5.189,2.167,1.498
1,231,5.245,2.134,1.543
1,232,5.201,2.178,1.515
1,233,5.223,2.156,1.502
1,234,5.198,2.189,1.536
1,235,5.234,2.145,1.509
1,236,5.209,2.167,1.521
1,237,5.187,2.134,1.498
1,238,5.245,2.178,1.534
1,239,5.211,2.156,1.512
1,240,5.198,2.189,1.498
1,241,5.223,2.145,1.527
1,242,5.201,2.167,1.506
1,243,5.234,2.134,1.521
1,244,5.189,2.178,1.498
1,245,5.245,2.156,1.543
1,246,5.209,2.189,1.515
1,247,5.198,2.145,1.502
1,248,5.223,2.167,1.536
1,249,5.211,2.134,1.509
1,250,5.187,2.178,1.521
1,251,5.234,2.156,1.498
1,252,5.201,2.189,1.534
1,253,5.245,2.145,1.512
1,254,5.209,2.167,1.498
1,255,5.198,2.134,1.527
1,256,5.223,2.178,1.506
1,257,5.187,2.156,1.521
1,258,5.234,2.189,1.498
1,259,5.211,2.145,1.543
1,260,5.189,2.167,1.515
1,261,5.245,2.134,1.502
1,262,5.201,2.178,1.536
1,263,5.223,2.156,1.509
1,264,5.198,2.189,1.521
1,265,5.234,2.145,1.498
1,266,5.209,2.167,1.534
1,267,5.187,2.134,1.512
1,268,5.245,2.178,1.498
1,269,5.211,2.156,1.527
1,270,5.198,2.189,1.506
1,271,5.223,2.145,1.521
1,272,5.201,2.167,1.498
1,273,5.234,2.134,1.543
1,274,5.189,2.178,1.515
1,275,5.245,2.156,1.502
1,276,5.209,2.189,1.536
1,277,5.198,2.145,1.509
1,278,5.223,2.167,1.521
1,279,5.211,2.134,1.498
1,280,5.187,2.178,1.534
1,281,5.234,2.156,1.512
1,282,5.201,2.189,1.498
1,283,5.245,2.145,1.527
1,284,5.209,2.167,1.506
1,285,5.198,2.134,1.521
1,286,5.223,2.178,1.498
1,287,5.187,2.156,1.543
1,288,5.234,2.189,1.515
1,289,5.211,2.145,1.502
1,290,5.189,2.167,1.536
1,291,5.245,2.134,1.509
1,292,5.201,2.178,1.521
1,293,5.223,2.156,1.498
1,294,5.198,2.189,1.534
1,295,5.234,2.145,1.512
1,296,5.209,2.167,1.498
1,297,5.187,2.134,1.527
1,298,5.245,2.178,1.506
1,299,5.211,2.156,1.521
1,300,5.198,2.189,1.498
1,301,5.223,2.145,1.543
1,302,5.201,2.167,1.515
1,303,5.234,2.134,1.502
1,304,5.189,2.178,1.536
1,305,5.245,2.156,1.509
1,306,5.209,2.189,1.521
1,307,5.198,2.145,1.498
1,308,5.223,2.167,1.534
1,309,5.211,2.134,1.512
1,310,5.187,2.178,1.498
1,311,5.234,2.156,1.527
1,312,5.201,2.189,1.506
1,313,5.245,2.145,1.521
1,314,5.209,2.167,1.498
1,315,5.198,2.134,1.543
1,316,5.223,2.178,1.515
1,317,5.187,2.156,1.502
1,318,5.234,2.189,1.536
1,319,5.211,2.145,1.509
1,320,5.189,2.167,1.521
1,321,5.245,2.134,1.498
1,322,5.201,2.178,1.534
1,323,5.223,2.156,1.512
1,324,5.198,2.189,1.498
1,325,5.234,2.145,1.527
1,326,5.209,2.167,1.506
1,327,5.187,2.134,1.521
1,328,5.245,2.178,1.498
1,329,5.211,2.156,1.543
1,330,5.198,2.189,1.515
1,331,5.223,2.145,1.502
1,332,5.201,2.167,1.536
1,333,5.234,2.134,1.509
1,334,5.189,2.178,1.521
1,335,5.245,2.156,1.498
1,336,5.209,2.189,1.534
1,337,5.198,2.145,1.512
1,338,5.223,2.167,1.498
1,339,5.211,2.134,1.527
1,340,5.187,2.178,1.506
1,341,5.234,2.156,1.521
1,342,5.201,2.189,1.498
1,343,5.245,2.145,1.543
1,344,5.209,2.167,1.515
1,345,5.198,2.134,1.502
1,346,5.223,2.178,1.536
1,347,5.187,2.156,1.509
1,348,5.234,2.189,1.521
1,349,5.211,2.145,1.498
1,350,5.189,2.167,1.534
1,351,5.245,2.134,1.512
1,352,5.201,2.178,1.498
1,353,5.223,2.156,1.527
1,354,5.198,2.189,1.506
1,355,5.234,2.145,1.521
1,356,5.209,2.167,1.498
1,357,5.187,2.134,1.543
1,358,5.245,2.178,1.515
1,359,5.211,2.156,1.502
1,360,5.198,2.189,1.536
1,361,5.223,2.145,1.509
1,362,5.201,2.167,1.521
1,363,5.234,2.134,1.498
1,364,5.189,2.178,1.534
1,365,5.245,2.156,1.512
1,366,5.209,2.189,1.498
1,367,5.198,2.145,1.527
1,368,5.223,2.167,1.506
1,369,5.211,2.134,1.521
1,370,5.187,2.178,1.498
1,371,5.234,2.156,1.543
1,372,5.201,2.189,1.515
1,373,5.245,2.145,1.502
1,374,5.209,2.167,1.536
1,375,5.198,2.134,1.509
1,376,5.223,2.178,1.521
1,377,5.187,2.156,1.498
1,378,5.234,2.189,1.534
1,379,5.211,2.145,1.512
1,380,5.189,2.167,1.498
1,381,5.245,2.134,1.527
1,382,5.201,2.178,1.506
1,383,5.223,2.156,1.521
1,384,5.198,2.189,1.498
1,385,5.234,2.145,1.543
1,386,5.209,2.167,1.515
1,387,5.187,2.134,1.502
1,388,5.245,2.178,1.536
1,389,5.211,2.156,1.509
1,390,5.198,2.189,1.521
1,391,5.223,2.145,1.498
1,392,5.201,2.167,1.534
1,393,5.234,2.134,1.512
1,394,5.189,2.178,1.498
1,395,5.245,2.156,1.527
1,396,5.209,2.189,1.506
1,397,5.198,2.145,1.521
1,398,5.223,2.167,1.498
1,399,5.211,2.134,1.543
1,400,5.187,2.178,1.515
1,401,5.234,2.156,1.502
1,402,5.201,2.189,1.536
1,403,5.245,2.145,1.509
1,404,5.209,2.167,1.521
1,405,5.198,2.134,1.498
1,406,5.223,2.178,1.534
1,407,5.187,2.156,1.512
1,408,5.234,2.189,1.498
1,409,5.211,2.145,1.527
1,410,5.189,2.167,1.506
1,411,5.245,2.134,1.521
1,412,5.201,2.178,1.498
1,413,5.223,2.156,1.543
1,414,5.198,2.189,1.515
1,415,5.234,2.145,1.502
1,416,5.209,2.167,1.536
1,417,5.187,2.134,1.509
1,418,5.245,2.178,1.521
1,419,5.211,2.156,1.498
1,420,5.198,2.189,1.534
1,421,5.223,2.145,1.512
1,422,5.201,2.167,1.498
1,423,5.234,2.134,1.527
1,424,5.189,2.178,1.506
1,425,5.245,2.156,1.521
1,426,5.209,2.189,1.498
1,427,5.198,2.145,1.543
1,428,5.223,2.167,1.515
1,429,5.211,2.134,1.502
1,430,5.187,2.178,1.536
1,431,5.234,2.156,1.509
1,432,5.201,2.189,1.521
1,433,5.245,2.145,1.498
1,434,5.209,2.167,1.534
1,435,5.198,2.134,1.512
1,436,5.223,2.178,1.498
1,437,5.187,2.156,1.527
1,438,5.234,2.189,1.506
1,439,5.211,2.145,1.521
1,440,5.189,2.167,1.498
1,441,5.245,2.134,1.543
1,442,5.201,2.178,1.515
1,443,5.223,2.156,1.502
1,444,5.198,2.189,1.536
1,445,5.234,2.145,1.509
1,446,5.209,2.167,1.521
1,447,5.187,2.134,1.498
1,448,5.245,2.178,1.534
1,449,5.211,2.156,1.512
1,450,5.198,2.189,1.498
1,451,5.223,2.145,1.527
1,452,5.201,2.167,1.506
1,453,5.234,2.134,1.521
1,454,5.189,2.178,1.498
1,455,5.245,2.156,1.543
1,456,5.209,2.189,1.515
1,457,5.198,2.145,1.502
1,458,5.223,2.167,1.536
1,459,5.211,2.134,1.509
1,460,5.187,2.178,1.521
1,461,5.234,2.156,1.498
1,462,5.201,2.189,1.534
1,463,5.245,2.145,1.512
1,464,5.209,2.167,1.498
1,465,5.198,2.134,1.527
1,466,5.223,2.178,1.506
1,467,5.187,2.156,1.521
1,468,5.234,2.189,1.498
1,469,5.211,2.145,1.543
1,470,5.189,2.167,1.515
1,471,5.245,2.134,1.502
1,472,5.201,2.178,1.536
1,473,5.223,2.156,1.509
1,474,5.198,2.189,1.521
1,475,5.234,2.145,1.498
1,476,5.209,2.167,1.534
1,477,5.187,2.134,1.512
1,478,5.245,2.178,1.498
1,479,5.211,2.156,1.527
1,480,5.198,2.189,1.506
1,481,5.223,2.145,1.521
1,482,5.201,2.167,1.498
1,483,5.234,2.134,1.543
1,484,5.189,2.178,1.515
1,485,5.245,2.156,1.502
1,486,5.209,2.189,1.536
1,487,5.198,2.145,1.509
1,488,5.223,2.167,1.521
1,489,5.211,2.134,1.498
1,490,5.187,2.178,1.534
1,491,5.234,2.156,1.512
1,492,5.201,2.189,1.498
1,493,5.245,2.145,1.527
1,494,5.209,2.167,1.506
1,495,5.198,2.134,1.521
1,496,5.223,2.178,1.498
1,497,5.187,2.156,1.543
1,498,5.234,2.189,1.515
1,499,5.211,2.145,1.502
1,500,5.189,2.167,1.536
1,501,5.245,2.134,1.509
1,502,5.201,2.178,1.521
1,503,5.223,2.156,1.498
1,504,5.198,2.189,1.534
1,505,5.234,2.145,1.512
1,506,5.209,2.167,1.498
1,507,5.187,2.134,1.527
1,508,5.245,2.178,1.506
1,509,5.211,2.156,1.521
1,510,5.198,2.189,1.498
1,511,5.223,2.145,1.543
1,512,5.201,2.167,1.515
1,513,5.234,2.134,1.502
1,514,5.189,2.178,1.536
1,515,5.245,2.156,1.509
1,516,5.209,2.189,1.521
1,517,5.198,2.145,1.498
1,518,5.223,2.167,1.534
1,519,5.211,2.134,1.512
1,520,5.187,2.178,1.498
1,521,5.234,2.156,1.527
1,522,5.201,2.189,1.506
1,523,5.245,2.145,1.521
1,524,5.209,2.167,1.498
1,525,5.198,2.134,1.543
1,526,5.223,2.178,1.515
1,527,5.187,2.156,1.502
1,528,5.234,2.189,1.536
1,529,5.211,2.145,1.509
1,530,5.189,2.167,1.521
1,531,5.245,2.134,1.498
1,532,5.201,2.178,1.534
1,533,5.223,2.156,1.512
1,534,5.198,2.189,1.498
1,535,5.234,2.145,1.527
1,536,5.209,2.167,1.506
1,537,5.187,2.134,1.521
1,538,5.245,2.178,1.498
1,539,5.211,2.156,1.543
1,540,5.198,2.189,1.515
1,541,5.223,2.145,1.502
1,542,5.201,2.167,1.536
1,543,5.234,2.134,1.509
1,544,5.189,2.178,1.521
1,545,5.245,2.156,1.498
1,546,5.209,2.189,1.534
1,547,5.198,2.145,1.512
1,548,5.223,2.167,1.498
1,549,5.211,2.134,1.527
1,550,5.187,2.178,1.506
1,551,5.234,2.156,1.521
1,552,5.201,2.189,1.498
1,553,5.245,2.145,1.543
1,554,5.209,2.167,1.515
1,555,5.198,2.134,1.502
1,556,5.223,2.178,1.536
1,557,5.187,2.156,1.509
1,558,5.234,2.189,1.521
1,559,5.211,2.145,1.498
1,560,5.189,2.167,1.534
1,561,5.245,2.134,1.512
1,562,5.201,2.178,1.498
1,563,5.223,2.156,1.527
1,564,5.198,2.189,1.506
1,565,5.234,2.145,1.521
1,566,5.209,2.167,1.498
1,567,5.187,2.134,1.543
1,568,5.245,2.178,1.515
1,569,5.211,2.156,1.502
1,570,5.198,2.189,1.536
1,571,5.223,2.145,1.509
1,572,5.201,2.167,1.521
1,573,5.234,2.134,1.498
1,574,5.189,2.178,1.534
1,575,5.245,2.156,1.512
1,576,5.209,2.189,1.498
1,577,5.198,2.145,1.527
1,578,5.223,2.167,1.506
1,579,5.211,2.134,1.521
1,580,5.187,2.178,1.498
1,581,5.234,2.156,1.543
1,582,5.201,2.189,1.515
1,583,5.245,2.145,1.502
1,584,5.209,2.167,1.536
1,585,5.198,2.134,1.509
1,586,5.223,2.178,1.521
1,587,5.187,2.156,1.498
1,588,5.234,2.189,1.534
1,589,5.211,2.145,1.512
1,590,5.189,2.167,1.498
1,591,5.245,2.134,1.527
1,592,5.201,2.178,1.506
1,593,5.223,2.156,1.521
1,594,5.198,2.189,1.498
1,595,5.234,2.145,1.543
1,596,5.209,2.167,1.515
1,597,5.187,2.134,1.502
1,598,5.245,2.178,1.536
1,599,5.211,2.156,1.509
1,600,5.198,2.189,1.521
1,601,5.223,2.145,1.498
1,602,5.201,2.167,1.534
1,603,5.234,2.134,1.512
1,604,5.189,2.178,1.498
1,605,5.245,2.156,1.527
1,606,5.209,2.189,1.506
1,607,5.198,2.145,1.521
1,608,5.223,2.167,1.498
1,609,5.211,2.134,1.543
1,610,5.187,2.178,1.515
1,611,5.234,2.156,1.502
1,612,5.201,2.189,1.536
1,613,5.245,2.145,1.509
1,614,5.209,2.167,1.521
1,615,5.198,2.134,1.498
1,616,5.223,2.178,1.534
1,617,5.187,2.156,1.512
1,618,5.234,2.189,1.498
1,619,5.211,2.145,1.527
1,620,5.189,2.167,1.506
1,621,5.245,2.134,1.521
1,622,5.201,2.178,1.498
1,623,5.223,2.156,1.543
1,624,5.198,2.189,1.515
1,625,5.234,2.145,1.502
1,626,5.209,2.167,1.536
1,627,5.187,2.134,1.509
1,628,5.245,2.178,1.521
1,629,5.211,2.156,1.498
1,630,5.198,2.189,1.534
1,631,5.223,2.145,1.512
1,632,5.201,2.167,1.498
1,633,5.234,2.134,1.527
1,634,5.189,2.178,1.506
1,635,5.245,2.156,1.521
1,636,5.209,2.189,1.498
1,637,5.198,2.145,1.543
1,638,5.223,2.167,1.515
1,639,5.211,2.134,1.502
1,640,5.187,2.178,1.536
1,641,5.234,2.156,1.509
1,642,5.201,2.189,1.521
1,643,5.245,2.145,1.498
1,644,5.209,2.167,1.534
1,645,5.198,2.134,1.512
1,646,5.223,2.178,1.498
1,647,5.187,2.156,1.527
1,648,5.234,2.189,1.506
1,649,5.211,2.145,1.521
1,650,5.189,2.167,1.498
1,651,5.245,2.134,1.543
1,652,5.201,2.178,1.515
1,653,5.223,2.156,1.502
1,654,5.198,2.189,1.536
1,655,5.234,2.145,1.509
1,656,5.209,2.167,1.521
1,657,5.187,2.134,1.498
1,658,5.245,2.178,1.534
1,659,5.211,2.156,1.512
1,660,5.198,2.189,1.498
1,661,5.223,2.145,1.527
1,662,5.201,2.167,1.506
1,663,5.234,2.134,1.521
1,664,5.189,2.178,1.498
1,665,5.245,2.156,1.543
1,666,5.209,2.189,1.515
1,667,5.198,2.145,1.502
1,668,5.223,2.167,1.536
1,669,5.211,2.134,1.509
1,670,5.187,2.178,1.521
1,671,5.234,2.156,1.498
1,672,5.201,2.189,1.534
1,673,5.245,2.145,1.512
1,674,5.209,2.167,1.498
1,675,5.198,2.134,1.527
1,676,5.223,2.178,1.506
1,677,5.187,2.156,1.521
1,678,5.234,2.189,1.498
1,679,5.211,2.145,1.543
1,680,5.189,2.167,1.515
1,681,5.245,2.134,1.502
1,682,5.201,2.178,1.536
1,683,5.223,2.156,1.509
1,684,5.198,2.189,1.521
1,685,5.234,2.145,1.498
1,686,5.209,2.167,1.534
1,687,5.187,2.134,1.512
1,688,5.245,2.178,1.498
1,689,5.211,2.156,1.527
1,690,5.198,2.189,1.506
1,691,5.223,2.145,1.521
1,692,5.201,2.167,1.498
1,693,5.234,2.134,1.543
1,694,5.189,2.178,1.515
1,695,5.245,2.156,1.502
1,696,5.209,2.189,1.536
1,697,5.198,2.145,1.509
1,698,5.223,2.167,1.521
1,699,5.211,2.134,1.498
1,700,5.187,2.178,1.534
1,701,5.234,2.156,1.512
1,702,5.201,2.189,1.498
1,703,5.245,2.145,1.527
1,704,5.209,2.167,1.506
1,705,5.198,2.134,1.521
1,706,5.223,2.178,1.498
1,707,5.187,2.156,1.543
1,708,5.234,2.189,1.515
1,709,5.211,2.145,1.502
1,710,5.189,2.167,1.536
1,711,5.245,2.134,1.509
1,712,5.201,2.178,1.521
1,713,5.223,2.156,1.498
1,714,5.198,2.189,1.534
1,715,5.234,2.145,1.512
1,716,5.209,2.167,1.498
1,717,5.187,2.134,1.527
1,718,5.245,2.178,1.506
1,719,5.211,2.156,1.521
1,720,5.198,2.189,1.498
1,721,5.223,2.145,1.543
1,722,5.201,2.167,1.515
1,723,5.234,2.134,1.502
1,724,5.189,2.178,1.536
1,725,5.245,2.156,1.509
1,726,5.209,2.189,1.521
1,727,5.198,2.145,1.498
1,728,5.223,2.167,1.534
1,729,5.211,2.134,1.512
1,730,5.187,2.178,1.498
1,731,5.234,2.156,1.527
1,732,5.201,2.189,1.506
1,733,5.245,2.145,1.521
1,734,5.209,2.167,1.498
1,735,5.198,2.134,1.543
1,736,5.223,2.178,1.515
1,737,5.187,2.156,1.502
1,738,5.234,2.189,1.536
1,739,5.211,2.145,1.509
1,740,5.189,2.167,1.521
1,741,5.245,2.134,1.498
1,742,5.201,2.178,1.534
1,743,5.223,2.156,1.512
1,744,5.198,2.189,1.498
1,745,5.234,2.145,1.527
1,746,5.209,2.167,1.506
1,747,5.187,2.134,1.521
1,748,5.245,2.178,1.498
1,749,5.211,2.156,1.543
1,750,5.198,2.189,1.515
1,751,5.223,2.145,1.502
1,752,5.201,2.167,1.536
1,753,5.234,2.134,1.509
1,754,5.189,2.178,1.521
1,755,5.245,2.156,1.498
1,756,5.209,2.189,1.534
1,757,5.198,2.145,1.512
1,758,5.223,2.167,1.498
1,759,5.211,2.134,1.527
1,760,5.187,2.178,1.506
1,761,5.234,2.156,1.521
1,762,5.201,2.189,1.498
1,763,5.245,2.145,1.543
1,764,5.209,2.167,1.515
1,765,5.198,2.134,1.502
1,766,5.223,2.178,1.536
1,767,5.187,2.156,1.509
1,768,5.234,2.189,1.521
1,769,5.211,2.145,1.498
1,770,5.189,2.167,1.534
1,771,5.245,2.134,1.512
1,772,5.201,2.178,1.498
1,773,5.223,2.156,1.527
1,774,5.198,2.189,1.506
1,775,5.234,2.145,1.521
1,776,5.209,2.167,1.498
1,777,5.187,2.134,1.543
1,778,5.245,2.178,1.515
1,779,5.211,2.156,1.502
1,780,5.198,2.189,1.536
1,781,5.223,2.145,1.509
1,782,5.201,2.167,1.521
1,783,5.234,2.134,1.498
1,784,5.189,2.178,1.534
1,785,5.245,2.156,1.512
1,786,5.209,2.189,1.498
1,787,5.198,2.145,1.527
1,788,5.223,2.167,1.506
1,789,5.211,2.134,1.521
1,790,5.187,2.178,1.498
1,791,5.234,2.156,1.543
1,792,5.201,2.189,1.515
1,793,5.245,2.145,1.502
1,794,5.209,2.167,1.536
1,795,5.198,2.134,1.509
1,796,5.223,2.178,1.521
1,797,5.187,2.156,1.498
1,798,5.234,2.189,1.534
1,799,5.211,2.145,1.512
1,800,5.189,2.167,1.498
1,801,5.245,2.134,1.527
1,802,5.201,2.178,1.506
1,803,5.223,2.156,1.521
1,804,5.198,2.189,1.498
1,805,5.234,2.145,1.543
1,806,5.209,2.167,1.515
1,807,5.187,2.134,1.502
1,808,5.245,2.178,1.536
1,809,5.211,2.156,1.509
1,810,5.198,2.189,1.521
1,811,5.223,2.145,1.498
1,812,5.201,2.167,1.534
1,813,5.234,2.134,1.512
1,814,5.189,2.178,1.498
1,815,5.245,2.156,1.527
1,816,5.209,2.189,1.506
1,817,5.198,2.145,1.521
1,818,5.223,2.167,1.498
1,819,5.211,2.134,1.543
1,820,5.187,2.178,1.515
1,821,5.234,2.156,1.502
1,822,5.201,2.189,1.536
1,823,5.245,2.145,1.509
1,824,5.209,2.167,1.521
1,825,5.198,2.134,1.498
1,826,5.223,2.178,1.534
1,827,5.187,2.156,1.512
1,828,5.234,2.189,1.498
1,829,5.211,2.145,1.527
1,830,5.189,2.167,1.506
1,831,5.245,2.134,1.521
1,832,5.201,2.178,1.498
1,833,5.223,2.156,1.543
1,834,5.198,2.189,1.515
1,835,5.234,2.145,1.502
1,836,5.209,2.167,1.536
1,837,5.187,2.134,1.509
1,838,5.245,2.178,1.521
1,839,5.211,2.156,1.498
1,840,5.198,2.189,1.534
1,841,5.223,2.145,1.512
1,842,5.201,2.167,1.498
1,843,5.234,2.134,1.527
1,844,5.189,2.178,1.506
1,845,5.245,2.156,1.521
1,846,5.209,2.189,1.498
1,847,5.198,2.145,1.543
1,848,5.223,2.167,1.515
1,849,5.211,2.134,1.502
1,850,5.187,2.178,1.536
1,851,5.234,2.156,1.509
1,852,5.201,2.189,1.521
1,853,5.245,2.145,1.498
1,854,5.209,2.167,1.534
1,855,5.198,2.134,1.512
1,856,5.223,2.178,1.498
1,857,5.187,2.156,1.527
1,858,5.234,2.189,1.506
1,859,5.211,2.145,1.521
1,860,5.189,2.167,1.498
1,861,5.245,2.134,1.543
1,862,5.201,2.178,1.515
1,863,5.223,2.156,1.502
1,864,5.198,2.189,1.536
1,865,5.234,2.145,1.509
1,866,5.209,2.167,1.521
1,867,5.187,2.134,1.498
1,868,5.245,2.178,1.534
1,869,5.211,2.156,1.512
1,870,5.198,2.189,1.498
1,871,5.223,2.145,1.527
1,872,5.201,2.167,1.506
