delivery_id,latitude,longitude,timestamp,package_weight_kg
DEL033,37.7918,-122.4082,2024-01-16T15:30:00Z,14.9
DEL034,37.7720,-122.4320,2024-01-17T08:15:00Z,18.7
DEL035,37.7722,-122.4318,2024-01-17T08:45:00Z,26.5
DEL036,37.7718,-122.4322,2024-01-17T09:15:00Z,9.4
DEL037,37.7749,-122.4194,2024-01-17T09:45:00Z,38.2
DEL038,37.7751,-122.4192,2024-01-17T10:15:00Z,12.8
DEL039,37.7870,-122.4230,2024-01-17T10:45:00Z,21.3
DEL040,37.7872,-122.4228,2024-01-17T11:15:00Z,15.6
DEL041,37.7868,-122.4232,2024-01-17T11:45:00Z,29.8
DEL042,37.7820,-122.4351,2024-01-17T12:15:00Z,8.9
DEL043,37.7822,-122.4349,2024-01-17T12:45:00Z,34.1
DEL044,37.7750,-122.4499,2024-01-17T13:15:00Z,17.2
DEL045,37.7752,-122.4497,2024-01-17T13:45:00Z,24.7
DEL046,37.7680,-122.4400,2024-01-17T14:15:00Z,11.5
DEL047,37.7682,-122.4398,2024-01-17T14:45:00Z,19.9
DEL048,37.7678,-122.4402,2024-01-17T15:15:00Z,42.3
DEL049,37.7900,-122.4101,2024-01-18T08:00:00Z,6.7
DEL050,37.7902,-122.4099,2024-01-18T08:30:00Z,28.4
DEL051,37.7898,-122.4103,2024-01-18T09:00:00Z,13.6
DEL052,37.7750,-122.4194,2024-01-18T09:30:00Z,37.9
DEL053,37.7752,-122.4192,2024-01-18T10:00:00Z,16.3
DEL054,37.7748,-122.4196,2024-01-18T10:30:00Z,22.8
DEL055,37.7800,-122.4200,2024-01-18T11:00:00Z,9.1
DEL056,37.7802,-122.4198,2024-01-18T11:30:00Z,31.7
DEL057,37.7798,-122.4202,2024-01-18T12:00:00Z,14.2
DEL058,37.7651,-122.4450,2024-01-18T12:30:00Z,26.9
DEL059,37.7653,-122.4448,2024-01-18T13:00:00Z,8.5
DEL060,37.7649,-122.4452,2024-01-18T13:30:00Z,39.4
DEL061,37.7821,-122.4351,2024-01-18T14:00:00Z,12.1
DEL062,37.7823,-122.4349,2024-01-18T14:30:00Z,20.6
DEL063,37.7819,-122.4353,2024-01-18T15:00:00Z,35.8
DEL064,37.7700,-122.4301,2024-01-19T08:30:00Z,7.9
DEL065,37.7702,-122.4299,2024-01-19T09:00:00Z,29.3
DEL066,37.7698,-122.4303,2024-01-19T09:30:00Z,15.7
DEL067,37.7850,-122.4251,2024-01-19T10:00:00Z,23.5
DEL068,37.7852,-122.4249,2024-01-19T10:30:00Z,11.4
DEL069,37.7848,-122.4253,2024-01-19T11:00:00Z,43.6
DEL070,37.7751,-122.4194,2024-01-19T11:30:00Z,18.2
DEL071,37.7753,-122.4192,2024-01-19T12:00:00Z,25.9
DEL072,37.7749,-122.4196,2024-01-19T12:30:00Z,9.7
DEL073,37.7920,-122.4081,2024-01-19T13:00:00Z,33.4
DEL074,37.7922,-122.4079,2024-01-19T13:30:00Z,14.8
DEL075,37.7918,-122.4083,2024-01-19T14:00:00Z,27.1
DEL076,37.7750,-122.4500,2024-01-19T14:30:00Z,10.3
DEL077,37.7752,-122.4498,2024-01-19T15:00:00Z,38.7
DEL078,37.7748,-122.4502,2024-01-19T15:30:00Z,16.5
DEL079,37.7780,-122.4181,2024-01-20T08:00:00Z,22.4
DEL080,37.7782,-122.4179,2024-01-20T08:30:00Z,8.6
DEL081,37.7778,-122.4183,2024-01-20T09:00:00Z,31.9
DEL082,37.7650,-122.4450,2024-01-20T09:30:00Z,13.7
DEL083,37.7652,-122.4448,2024-01-20T10:00:00Z,26.3
DEL084,37.7648,-122.4452,2024-01-20T10:30:00Z,19.1
DEL085,37.7820,-122.4350,2024-01-20T11:00:00Z,41.8
DEL086,37.7822,-122.4348,2024-01-20T11:30:00Z,7.4
DEL087,37.7818,-122.4352,2024-01-20T12:00:00Z,28.6
DEL088,37.7900,-122.4100,2024-01-20T12:30:00Z,15.9
DEL089,37.7902,-122.4098,2024-01-20T13:00:00Z,34.2
DEL090,37.7898,-122.4102,2024-01-20T13:30:00Z,11.8
DEL091,37.7750,-122.4194,2024-01-20T14:00:00Z,24.5
DEL092,37.7752,-122.4192,2024-01-20T14:30:00Z,9.2
DEL093,37.7870,-122.4231,2024-01-20T15:00:00Z,37.3
DEL094,37.7872,-122.4229,2024-01-20T15:30:00Z,16.7
DEL095,37.7868,-122.4233,2024-01-20T16:00:00Z,29.4
DEL096,37.7720,-122.4321,2024-01-21T08:15:00Z,12.9
DEL097,37.7722,-122.4319,2024-01-21T08:45:00Z,21.8
DEL098,37.7718,-122.4323,2024-01-21T09:15:00Z,8.1
DEL099,37.7680,-122.4401,2024-01-21T09:45:00Z,35.6
DEL100,37.7682,-122.4399,2024-01-21T10:15:00Z,14.3
DEL101,37.7678,-122.4403,2024-01-21T10:45:00Z,27.9
DEL102,37.7751,-122.4193,2024-01-21T11:15:00Z,10.6
DEL103,37.7749,-122.4195,2024-01-21T11:45:00Z,44.2
DEL104,37.7801,-122.4199,2024-01-21T12:15:00Z,18.4
DEL105,37.7803,-122.4197,2024-01-21T12:45:00Z,23.7
DEL106,37.7799,-122.4201,2024-01-21T13:15:00Z,7.8
DEL107,37.7921,-122.4080,2024-01-21T13:45:00Z,32.1
DEL108,37.7923,-122.4078,2024-01-21T14:15:00Z,15.4
DEL109,37.7919,-122.4082,2024-01-21T14:45:00Z,26.8
DEL110,37.7651,-122.4449,2024-01-21T15:15:00Z,11.7
DEL111,37.7653,-122.4447,2024-01-21T15:45:00Z,39.5
DEL112,37.7649,-122.4451,2024-01-21T16:15:00Z,17.3
DEL113,37.7750,-122.4501,2024-01-22T08:00:00Z,25.2
DEL114,37.7752,-122.4499,2024-01-22T08:30:00Z,8.9
DEL115,37.7748,-122.4503,2024-01-22T09:00:00Z,33.8
DEL116,37.7850,-122.4250,2024-01-22T09:30:00Z,13.2
DEL117,37.7852,-122.4248,2024-01-22T10:00:00Z,28.7
DEL118,37.7848,-122.4252,2024-01-22T10:30:00Z,19.6
DEL119,37.7700,-122.4300,2024-01-22T11:00:00Z,42.1
DEL120,37.7702,-122.4298,2024-01-22T11:30:00Z,6.5
DEL121,37.7698,-122.4302,2024-01-22T12:00:00Z,30.4
DEL122,37.7821,-122.4350,2024-01-22T12:30:00Z,16.1
DEL123,37.7823,-122.4348,2024-01-22T13:00:00Z,24.9
DEL124,37.7819,-122.4352,2024-01-22T13:30:00Z,9.3
DEL125,37.7750,-122.4193,2024-01-22T14:00:00Z,36.7
