repository_name,artifact_path,size_bytes,last_downloaded,published_date,format_type
npm-registry,@company/utils/2.1.0-beta/utils-2.1.0-beta.tgz,7700000000,2022-04-10,2022-03-01,npm
npm-registry,@company/utils/2.2.0-rc1/utils-2.2.0-rc1.tgz,7900000000,2022-08-15,2022-07-05,npm
npm-registry,@company/utils/3.0.0/utils-3.0.0.tgz,671088640,2023-09-15,2023-08-10,npm
npm-registry,@company/utils/3.1.0/utils-3.1.0.tgz,690000000,2024-01-03,2023-11-25,npm
npm-registry,@company/utils/3.2.0/utils-3.2.0.tgz,710000000,2024-01-12,2024-01-06,npm
docker-registry,company/microservice/0.9.0-alpha/manifest.json,18253611008,2021-10-20,2021-09-15,docker
docker-registry,company/microservice/1.0.0-beta/manifest.json,18700000000,2022-02-25,2022-01-20,docker
docker-registry,company/microservice/1.1.0-rc1/manifest.json,19100000000,2022-07-15,2022-06-10,docker
docker-registry,company/microservice/2.0.0/manifest.json,2684354560,2023-11-20,2023-10-15,docker
docker-registry,company/microservice/2.1.0/manifest.json,2750000000,2024-01-05,2023-12-10,docker
docker-registry,company/microservice/2.2.0/manifest.json,2820000000,2024-01-11,2024-01-03,docker
pypi-hosted,company/data-processor/1.5.0-dev/processor-1.5.0-dev.whl,14495514624,2021-07-20,2021-06-10,pypi
pypi-hosted,company/data-processor/1.6.0-dev/processor-1.6.0-dev.whl,14900000000,2021-11-25,2021-10-15,pypi
pypi-hosted,company/data-processor/1.7.0-beta/processor-1.7.0-beta.whl,15200000000,2022-03-30,2022-02-20,pypi
pypi-hosted,company/data-processor/1.8.0-beta/processor-1.8.0-beta.whl,15600000000,2022-09-20,2022-08-10,pypi
pypi-hosted,company/data-processor/2.0.0/processor-2.0.0.whl,1363148800,2023-10-30,2023-09-25,pypi
pypi-hosted,company/data-processor/2.1.0/processor-2.1.0.whl,1400000000,2024-01-09,2023-12-20,pypi
maven-releases,com/company/gateway/releases/1.0.0/gateway-1.0.0.jar,5242880000,2022-12-15,2022-11-10,maven2
maven-releases,com/company/gateway/releases/1.1.0/gateway-1.1.0.jar,5400000000,2024-01-06,2023-12-15,maven2
maven-releases,com/company/gateway/releases/1.2.0/gateway-1.2.0.jar,5550000000,2024-01-13,2024-01-08,maven2
maven-snapshots,com/company/reporting/4.0.0-SNAPSHOT/reporting-4.0.0-SNAPSHOT.jar,17179869184,,2021-05-20,maven2
maven-snapshots,com/company/reporting/4.1.0-SNAPSHOT/reporting-4.1.0-SNAPSHOT.jar,17600000000,,2021-10-15,maven2
maven-snapshots,com/company/reporting/4.2.0-SNAPSHOT/reporting-4.2.0-SNAPSHOT.jar,18000000000,2022-04-20,2022-03-10,maven2
maven-snapshots,com/company/reporting/4.3.0-SNAPSHOT/reporting-4.3.0-SNAPSHOT.jar,18400000000,2023-01-15,2022-12-05,maven2
npm-registry,@company/charts/1.0.0-alpha/charts-1.0.0-alpha.tgz,6442450944,2021-08-25,2021-07-15,npm
npm-registry,@company/charts/1.1.0-alpha/charts-1.1.0-alpha.tgz,6600000000,2022-01-30,2021-12-20,npm
npm-registry,@company/charts/1.2.0-beta/charts-1.2.0-beta.tgz,6800000000,2022-06-25,2022-05-15,npm
npm-registry,@company/charts/2.0.0/charts-2.0.0.tgz,587202560,2023-12-10,2023-11-05,npm
npm-registry,@company/charts/2.1.0/charts-2.1.0.tgz,605000000,2024-01-07,2023-12-25,npm
npm-registry,@company/charts/2.2.0/charts-2.2.0.tgz,625000000,2024-01-14,2024-01-09,npm
docker-registry,company/database/3.0.0-SNAPSHOT/manifest.json,16106127360,2021-09-30,2021-08-25,docker
docker-registry,company/database/3.1.0-SNAPSHOT/manifest.json,16500000000,2022-02-15,2022-01-10,docker
docker-registry,company/database/3.2.0-beta/manifest.json,16900000000,2022-07-20,2022-06-15,docker
docker-registry,company/database/4.0.0/manifest.json,2415919104,2023-11-10,2023-10-05,docker
docker-registry,company/database/4.1.0/manifest.json,2480000000,2024-01-04,2023-12-18,docker
docker-registry,company/database/4.2.0/manifest.json,2550000000,2024-01-12,2024-01-07,docker
pypi-hosted,company/etl-pipeline/0.7.0-dev/etl-0.7.0-dev.whl,12884901888,2021-06-25,2021-05-20,pypi
pypi-hosted,company/etl-pipeline/0.8.0-dev/etl-0.8.0-dev.whl,13200000000,2021-12-10,2021-11-05,pypi
pypi-hosted,company/etl-pipeline/0.9.0-rc1/etl-0.9.0-rc1.whl,13500000000,2022-05-15,2022-04-10,pypi
pypi-hosted,company/etl-pipeline/1.0.0/etl-1.0.0.whl,1048576000,2023-09-25,2023-08-20,pypi
pypi-hosted,company/etl-pipeline/1.1.0/etl-1.1.0.whl,1080000000,2024-01-02,2023-11-30,pypi
pypi-hosted,company/etl-pipeline/1.2.0/etl-1.2.0.whl,1110000000,2024-01-13,2024-01-05,pypi
maven-releases,com/company/auth/releases/2.5.0/auth-2.5.0.jar,3670016000,2023-08-15,2023-07-10,maven2
maven-releases,com/company/auth/releases/2.6.0/auth-2.6.0.jar,3770000000,2024-01-03,2023-12-08,maven2
maven-releases,com/company/auth/releases/2.7.0/auth-2.7.0.jar,3870000000,2024-01-11,2024-01-02,maven2
maven-snapshots,com/company/scheduler/5.0.0-SNAPSHOT/scheduler-5.0.0-SNAPSHOT.jar,15032385536,,2021-07-05,maven2
maven-snapshots,com/company/scheduler/5.1.0-SNAPSHOT/scheduler-5.1.0-SNAPSHOT.jar,15400000000,,2021-11-15,maven2
maven-snapshots,com/company/scheduler/5.2.0-SNAPSHOT/scheduler-5.2.0-SNAPSHOT.jar,15800000000,2022-06-10,2022-04-25,maven2
maven-releases,com/company/scheduler/releases/6.0.0/scheduler-6.0.0.jar,2516582400,2023-12-05,2023-11-01,maven2
maven-releases,com/company/scheduler/releases/6.1.0/scheduler-6.1.0.jar,2590000000,2024-01-10,2023-12-28,maven2
raw,company/assets/legacy-build-1.0.tar.gz,20401094656,2021-03-20,2021-02-01,raw
raw,company/assets/legacy-build-1.1.tar.gz,20900000000,2021-06-30,2021-05-15,raw
raw,company/backups/archive-2021-q1.zip,21000000000,,2021-04-01,raw
raw,company/backups/archive-2021-q2.zip,21500000000,,2021-07-01,raw
raw,company/backups/archive-2021-q3.zip,22000000000,,2021-10-01,raw
raw,company/backups/archive-2021-q4.zip,22500000000,,2022-01-01,raw
raw,company/backups/archive-2022-q1.zip,23000000000,,2022-04-01,raw
raw,company/backups/archive-2022-q2.zip,23500000000,2023-05-10,2022-07-01,raw
maven-releases,com/company/monitoring/releases/3.0.0/monitoring-3.0.0.jar,1677721600,2023-09-30,2023-08-25,maven2
maven-releases,com/company/monitoring/releases/3.1.0/monitoring-3.1.0.jar,1730000000,2024-01-08,2023-12-15,maven2
maven-releases,com/company/monitoring/releases/3.2.0/monitoring-3.2.0.jar,1780000000,2024-01-14,2024-01-11,maven2
npm-registry,@company/validators/0.5.0-beta/validators-0.5.0-beta.tgz,9663676416,2021-05-10,2021-04-05,npm
npm-registry,@company/validators/0.6.0-beta/validators-0.6.0-beta.tgz,9900000000,2021-09-15,2021-08-10,npm
npm-registry,@company/validators/1.0.0/validators-1.0.0.tgz,838860800,2023-10-15,2023-09-10,npm
npm-registry,@company/validators/1.1.0/validators-1.1.0.tgz,865000000,2024-01-05,2023-12-01,npm
npm-registry,@company/validators/1.2.0/validators-1.2.0.tgz,890000000,2024-01-13,2024-01-08,npm
docker-registry,company/cache-server/1.0.0-alpha/manifest.json,14863564800,2021-11-10,2021-10-05,docker
docker-registry,company/cache-server/1.1.0-beta/manifest.json,15200000000,2022-03-15,2022-02-10,docker
docker-registry,company/cache-server/2.0.0/manifest.json,2281701376,2023-11-25,2023-10-20,docker
docker-registry,company/cache-server/2.1.0/manifest.json,2350000000,2024-01-06,2023-12-22,docker
docker-registry,company/cache-server/2.2.0/manifest.json,2420000000,2024-01-12,2024-01-04,docker
pypi-hosted,company/security-scanner/2.0.0-dev/scanner-2.0.0-dev.whl,11811160064,2021-08-15,2021-07-10,pypi
pypi-hosted,company/security-scanner/2.1.0-dev/scanner-2.1.0-dev.whl,12100000000,2022-01-20,2021-12-15,pypi
pypi-hosted,company/security-scanner/2.2.0-rc1/scanner-2.2.0-rc1.whl,12400000000,2022-06-25,2022-05-20,pypi
pypi-hosted,company/security-scanner/3.0.0/scanner-3.0.0.whl,1153433600,2023-10-05,2023-09-01,pypi
pypi-hosted,company/security-scanner/3.1.0/scanner-3.1.0.whl,1190000000,2024-01-07,2023-12-12,pypi
pypi-hosted,company/security-scanner/3.2.0/scanner-3.2.0.whl,1225000000,2024-01-14,2024-01-09,pypi
maven-snapshots,com/company/integration/1.0.0-SNAPSHOT/integration-1.0.0-SNAPSHOT.jar,13421772800,,2021-09-05,maven2
maven-snapshots,com/company/integration/1.1.0-SNAPSHOT/integration-1.1.0-SNAPSHOT.jar,13800000000,2022-03-10,2022-02-05,maven2
maven-snapshots,com/company/integration/1.2.0-SNAPSHOT/integration-1.2.0-SNAPSHOT.jar,14100000000,2022-10-15,2022-09-10,maven2
maven-releases,com/company/integration/releases/2.0.0/integration-2.0.0.jar,2013265920,2023-12-18,2023-11-15,maven2
maven-releases,com/company/integration/releases/2.1.0/integration-2.1.0.jar,2070000000,2024-01-09,2023-12-30,maven2
npm-registry,@company/logging/3.0.0-alpha/logging-3.0.0-alpha.tgz,8053063680,2021-10-05,2021-09-01,npm
npm-registry,@company/logging/3.1.0-beta/logging-3.1.0-beta.tgz,8250000000,2022-02-10,2022-01-05,npm
npm-registry,@company/logging/4.0.0/logging-4.0.0.tgz,734003200,2023-11-15,2023-10-10,npm
npm-registry,@company/logging/4.1.0/logging-4.1.0.tgz,757000000,2024-01-04,2023-12-05,npm
npm-registry,@company/logging/4.2.0/logging-4.2.0.tgz,780000000,2024-01-11,2024-01-06,npm
docker-registry,company/proxy/2.0.0-SNAPSHOT/manifest.json,13958643712,2021-12-20,2021-11-15,docker
docker-registry,company/proxy/2.1.0-beta/manifest.json,14300000000,2022-05-25,2022-04-20,docker
docker-registry,company/proxy/3.0.0/manifest.json,2147483648,2023-10-20,2023-09-15,docker
docker-registry,company/proxy/3.1.0/manifest.json,2210000000,2024-01-03,2023-11-28,docker
docker-registry,company/proxy/3.2.0/manifest.json,2275000000,2024-01-10,2024-01-02,docker
pypi-hosted,company/config-manager/1.8.0-dev/config-1.8.0-dev.whl,10200547328,2021-07-30,2021-06-25,pypi
pypi-hosted,company/config-manager/1.9.0-rc1/config-1.9.0-rc1.whl,10500000000,2022-02-05,2022-01-01,pypi
pypi-hosted,company/config-manager/2.0.0/config-2.0.0.whl,943718400,2023-09-10,2023-08-05,pypi
pypi-hosted,company/config-manager/2.1.0/config-2.1.0.whl,975000000,2024-01-02,2023-11-22,pypi
pypi-hosted,company/config-manager/2.2.0/config-2.2.0.whl,1005000000,2024-01-12,2024-01-07,pypi
maven-releases,com/company/notification/releases/4.5.0/notification-4.5.0.jar,1572864000,2023-08-20,2023-07-15,maven2
maven-releases,com/company/notification/releases/4.6.0/notification-4.6.0.jar,1620000000,2024-01-05,2023-12-10,maven2
maven-releases,com/company/notification/releases/4.7.0/notification-4.7.0.jar,1670000000,2024-01-13,2024-01-08,maven2
raw,company/documentation/docs-archive-2021.tar.gz,18925477888,,2021-12-31,raw
raw,company/documentation/docs-archive-2022.tar.gz,19400000000,2023-06-15,2022-12-31,raw
raw,company/releases/product-v1.0.0.tar.gz,10737418240,2021-04-15,2021-03-10,raw
raw,company/releases/product-v1.5.0.tar.gz,11000000000,2022-08-20,2022-07-15,raw
raw,company/releases/product-v2.0.0.tar.gz,4831838208,2023-12-01,2023-10-25,raw
raw,company/releases/product-v2.1.0.tar.gz,4970000000,2024-01-10,2024-01-01,raw
