customer_tier,contract_type,support_level,geographic_region,account_age_days,monthly_charges,total_purchases,support_tickets,will_renew
silver,quarterly,premium,north,340,83.00,23,4,1
platinum,annual,enterprise,west,1750,478.00,170,1,1
bronze,monthly,basic,east,90,30.00,6,12,0
gold,quarterly,premium,central,580,146.00,38,3,1
silver,monthly,basic,south,185,70.50,12,7,0
bronze,monthly,basic,north,65,26.50,4,14,0
platinum,annual,enterprise,east,2200,495.00,195,0,1
gold,annual,premium,west,870,159.00,61,2,1
silver,quarterly,premium,central,360,85.00,25,5,1
bronze,monthly,basic,south,70,27.00,3,11,0
gold,annual,premium,north,940,163.00,67,1,1
platinum,quarterly,enterprise,west,1150,445.00,115,2,1
silver,monthly,basic,east,195,69.50,14,6,0
bronze,monthly,basic,central,80,29.50,5,13,0
gold,annual,premium,south,820,156.00,56,2,1
silver,quarterly,premium,north,330,84.50,24,4,1
platinum,annual,enterprise,central,1850,482.00,172,1,1
bronze,monthly,basic,west,95,31.50,7,10,0
gold,quarterly,premium,east,620,147.00,41,3,1
silver,monthly,basic,south,175,70.00,13,8,0
bronze,monthly,basic,north,55,24.50,2,15,0
platinum,annual,enterprise,west,1950,488.00,178,1,1
gold,annual,premium,central,900,160.00,64,2,1
silver,quarterly,premium,east,370,85.50,26,5,1
bronze,monthly,basic,south,85,30.00,6,12,0
gold,annual,premium,north,880,158.50,62,1,1
platinum,quarterly,enterprise,central,1200,450.00,120,2,1
silver,monthly,basic,west,190,68.50,14,7,0
bronze,monthly,basic,east,75,28.00,4,11,0
gold,annual,premium,south,840,157.50,59,2,1
silver,quarterly,premium,north,350,83.50,23,4,1
platinum,annual,enterprise,east,2100,492.00,188,0,1
bronze,monthly,basic,central,90,31.00,7,9,0
gold,quarterly,premium,west,600,146.50,40,3,1
silver,monthly,basic,south,180,71.50,12,6,0
bronze,monthly,basic,north,65,26.00,3,14,0
platinum,annual,enterprise,west,1800,480.00,175,1,1
gold,annual,premium,east,920,161.50,66,2,1
silver,quarterly,premium,central,340,84.00,24,5,1
bronze,monthly,basic,south,70,27.50,4,13,0
gold,annual,premium,north,860,159.50,63,1,1
platinum,quarterly,enterprise,east,1100,442.00,108,2,1
silver,monthly,basic,west,200,69.00,15,7,0
bronze,monthly,basic,central,80,29.00,5,12,0
gold,annual,premium,south,800,155.50,55,2,1
silver,quarterly,premium,north,360,85.00,25,4,1
platinum,annual,enterprise,central,1900,485.00,180,1,1
bronze,monthly,basic,east,95,30.50,6,10,0
gold,quarterly,premium,west,640,148.50,43,3,1
silver,monthly,basic,south,185,70.00,13,8,0
bronze,monthly,basic,north,75,28.50,5,11,0
platinum,annual,enterprise,west,2000,490.00,185,0,1
gold,annual,premium,central,940,162.50,68,2,1
silver,quarterly,premium,east,380,86.50,27,5,1
bronze,monthly,basic,south,60,25.50,3,15,0
gold,annual,premium,north,900,160.50,65,1,1
platinum,quarterly,enterprise,central,1150,448.00,112,2,1
silver,monthly,basic,west,195,68.00,14,6,0
bronze,monthly,basic,east,85,30.00,6,13,0
gold,annual,premium,south,820,156.50,57,2,1
silver,quarterly,premium,north,350,84.50,24,4,1
platinum,annual,enterprise,east,1850,483.00,173,1,1
bronze,monthly,basic,central,90,31.50,7,12,0
gold,quarterly,premium,west,620,147.50,41,3,1
silver,monthly,basic,south,175,71.00,12,7,0
bronze,monthly,basic,north,65,26.50,4,14,0
platinum,annual,enterprise,west,1950,487.00,177,1,1
gold,annual,premium,east,880,159.00,62,2,1
silver,quarterly,premium,central,370,85.50,26,5,1
bronze,monthly,basic,south,70,27.00,3,11,0
gold,annual,premium,north,940,163.50,69,1,1
platinum,quarterly,enterprise,east,1200,452.00,118,2,1
silver,monthly,basic,west,190,69.50,15,6,0
bronze,monthly,basic,central,80,29.50,5,10,0
gold,annual,premium,south,840,157.00,58,2,1
silver,quarterly,premium,north,360,84.00,25,4,1
platinum,annual,enterprise,central,2100,493.00,190,0,1
bronze,monthly,basic,east,95,31.00,7,9,0
gold,quarterly,premium,west,600,146.00,39,3,1
silver,monthly,basic,south,180,70.50,13,8,0
bronze,monthly,basic,north,75,28.00,4,12,0
platinum,annual,enterprise,west,1800,481.00,176,1,1
gold,annual,premium,central,920,161.00,66,2,1
silver,quarterly,premium,east,350,83.00,23,5,1
bronze,monthly,basic,south,60,25.00,2,15,0
gold,annual,premium,north,860,158.00,61,1,1
platinum,quarterly,enterprise,central,1100,443.00,109,2,1
silver,monthly,basic,west,200,68.50,14,7,0
bronze,monthly,basic,east,85,30.50,6,11,0
gold,annual,premium,south,800,154.50,54,2,1
silver,quarterly,premium,north,340,84.50,24,4,1
platinum,annual,enterprise,east,1900,486.00,181,1,1
bronze,monthly,basic,central,90,32.00,8,10,0
gold,quarterly,premium,west,640,149.00,44,3,1
silver,monthly,basic,south,185,71.50,13,6,0
bronze,monthly,basic,north,65,26.00,3,13,0
platinum,annual,enterprise,west,2000,491.00,186,0,1
gold,annual,premium,east,940,162.00,67,2,1
silver,quarterly,premium,central,380,86.00,27,5,1
bronze,monthly,basic,south,70,27.50,4,14,0
gold,annual,premium,north,900,160.00,64,1,1
platinum,quarterly,enterprise,east,1150,449.00,113,2,1
silver,monthly,basic,west,195,69.00,15,7,0
bronze,monthly,basic,central,80,29.00,5,12,0
gold,annual,premium,south,820,156.00,56,2,1
silver,quarterly,premium,north,360,85.00,26,4,1
platinum,annual,enterprise,central,1850,484.00,174,1,1
bronze,monthly,basic,east,95,31.50,7,11,0
gold,quarterly,premium,west,620,148.00,42,3,1
silver,monthly,basic,south,175,70.00,12,8,0
bronze,monthly,basic,north,75,28.50,5,15,0
platinum,annual,enterprise,west,1950,488.00,178,1,1
gold,annual,premium,central,880,159.50,63,2,1
silver,quarterly,premium,east,370,85.50,26,5,1
bronze,monthly,basic,south,60,25.50,3,13,0
gold,annual,premium,north,940,163.00,68,1,1
platinum,quarterly,enterprise,central,1200,453.00,119,2,1
silver,monthly,basic,west,190,68.00,14,6,0
bronze,monthly,basic,east,85,30.00,6,10,0
gold,annual,premium,south,840,157.50,59,2,1
silver,quarterly,premium,north,350,83.50,24,4,1
platinum,annual,enterprise,east,2100,494.00,191,0,1
bronze,monthly,basic,central,90,32.50,8,9,0
gold,quarterly,premium,west,600,146.50,40,3,1
silver,monthly,basic,south,180,71.00,13,7,0
bronze,monthly,basic,north,65,26.50,4,12,0
platinum,annual,enterprise,west,1800,482.00,177,1,1
gold,annual,premium,east,920,161.50,66,2,1
silver,quarterly,premium,central,360,84.00,25,5,1
bronze,monthly,basic,south,70,27.00,3,14,0
gold,annual,premium,north,860,158.50,62,1,1
platinum,quarterly,enterprise,east,1100,444.00,110,2,1
silver,monthly,basic,west,200,69.50,15,6,0
bronze,monthly,basic,central,80,29.50,5,11,0
gold,annual,premium,south,800,155.00,55,2,1
silver,quarterly,premium,north,340,84.50,24,4,1
platinum,annual,enterprise,central,1900,487.00,182,1,1
bronze,monthly,basic,east,95,31.00,7,10,0
gold,quarterly,premium,west,640,149.50,45,3,1
silver,monthly,basic,south,185,70.50,14,8,0
bronze,monthly,basic,north,75,28.00,4,13,0
platinum,annual,enterprise,west,2000,492.00,187,0,1
gold,annual,premium,central,940,162.50,68,2,1
silver,quarterly,premium,east,380,86.50,27,5,1
bronze,monthly,basic,south,60,25.00,2,15,0
silver,monthly,basic,north,210,67.00,16,7,0
gold,annual,premium,east,910,160.50,65,1,1
bronze,monthly,basic,west,100,32.00,8,11,0
platinum,quarterly,enterprise,central,1180,451.00,116,2,1
silver,quarterly,premium,south,390,87.00,28,5,1
bronze,monthly,basic,east,72,27.50,4,12,0
gold,annual,premium,north,890,159.00,63,2,1
platinum,annual,enterprise,west,1880,485.00,179,1,1
silver,monthly,basic,central,205,68.50,15,6,0
bronze,monthly,basic,south,68,26.00,3,14,0
gold,quarterly,premium,east,630,148.00,42,3,1
silver,quarterly,premium,north,355,83.50,24,4,1
platinum,annual,enterprise,central,2050,490.00,184,0,1
bronze,monthly,basic,west,88,30.50,6,10,0
gold,annual,premium,south,830,156.50,57,2,1
silver,monthly,basic,east,192,70.00,14,7,0
bronze,monthly,basic,north,78,28.50,5,13,0
platinum,quarterly,enterprise,east,1130,446.00,111,2,1
gold,annual,premium,central,950,162.00,67,1,1
silver,quarterly,premium,west,375,85.50,26,5,1
bronze,monthly,basic,south,64,25.50,3,15,0
gold,annual,premium,north,870,158.50,62,1,1
platinum,annual,enterprise,east,1920,488.00,183,1,1
silver,monthly,basic,west,198,69.00,15,6,0
bronze,monthly,basic,central,82,29.00,5,12,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,345,84.00,24,4,1
platinum,annual,enterprise,central,1970,489.00,181,0,1
bronze,monthly,basic,east,92,31.50,7,11,0
gold,annual,premium,west,850,157.50,59,2,1
silver,monthly,basic,south,182,71.50,13,8,0
bronze,monthly,basic,north,66,26.50,4,14,0
platinum,quarterly,enterprise,west,1160,448.00,113,2,1
gold,annual,premium,east,930,161.00,66,2,1
silver,quarterly,premium,central,365,84.50,25,5,1
bronze,monthly,basic,south,74,27.50,4,13,0
gold,annual,premium,north,895,159.50,63,1,1
platinum,annual,enterprise,central,1840,483.00,173,1,1
silver,monthly,basic,west,203,68.00,14,7,0
bronze,monthly,basic,east,86,30.00,6,12,0
gold,quarterly,premium,south,625,148.50,43,3,1
silver,quarterly,premium,north,352,83.00,23,4,1
platinum,annual,enterprise,east,2080,492.00,188,0,1
bronze,monthly,basic,central,94,32.00,8,10,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,188,70.50,14,6,0
bronze,monthly,basic,north,70,27.00,3,15,0
platinum,quarterly,enterprise,west,1140,445.00,110,2,1
gold,annual,premium,central,960,162.50,68,1,1
silver,quarterly,premium,east,372,85.00,26,5,1
bronze,monthly,basic,south,62,25.00,2,14,0
gold,annual,premium,north,885,160.00,64,2,1
platinum,annual,enterprise,east,1910,486.00,180,1,1
silver,monthly,basic,west,196,69.50,15,7,0
bronze,monthly,basic,central,84,29.50,5,11,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,348,84.50,24,4,1
platinum,annual,enterprise,central,1990,490.00,185,0,1
bronze,monthly,basic,east,96,31.00,7,12,0
gold,annual,premium,west,845,157.00,58,2,1
silver,monthly,basic,south,178,71.00,12,8,0
bronze,monthly,basic,north,76,28.00,4,13,0
platinum,quarterly,enterprise,east,1120,443.00,109,2,1
gold,annual,premium,central,940,161.50,66,1,1
silver,quarterly,premium,west,378,86.00,27,5,1
bronze,monthly,basic,south,68,26.50,3,15,0
gold,annual,premium,north,875,159.00,62,2,1
platinum,annual,enterprise,west,1860,484.00,174,1,1
silver,monthly,basic,east,194,68.50,14,6,0
bronze,monthly,basic,central,80,29.00,5,10,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,342,83.50,23,4,1
platinum,annual,enterprise,east,2060,491.00,186,0,1
bronze,monthly,basic,west,90,31.50,7,11,0
gold,annual,premium,central,825,156.00,56,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,72,27.50,4,12,0
platinum,quarterly,enterprise,central,1170,449.00,114,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,368,85.50,26,5,1
bronze,monthly,basic,south,64,25.50,3,14,0
gold,annual,premium,north,865,158.00,61,2,1
platinum,annual,enterprise,central,1930,487.00,182,1,1
silver,monthly,basic,west,200,69.00,15,6,0
bronze,monthly,basic,east,88,30.50,6,13,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,356,84.00,24,4,1
platinum,annual,enterprise,west,2010,489.00,183,0,1
bronze,monthly,basic,central,92,32.50,8,10,0
gold,annual,premium,east,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,66,26.00,3,15,0
platinum,quarterly,enterprise,east,1110,444.00,110,2,1
gold,annual,premium,central,950,162.00,67,1,1
silver,quarterly,premium,west,374,85.00,25,5,1
bronze,monthly,basic,south,70,27.00,4,13,0
gold,annual,premium,north,895,159.50,63,2,1
platinum,annual,enterprise,east,1880,485.00,179,1,1
silver,monthly,basic,central,198,68.00,14,7,0
bronze,monthly,basic,west,82,29.50,5,12,0
gold,quarterly,premium,south,610,147.50,41,3,1
silver,quarterly,premium,north,350,83.00,23,4,1
platinum,annual,enterprise,central,2040,490.00,184,0,1
bronze,monthly,basic,east,94,31.00,7,11,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,186,70.50,14,6,0
bronze,monthly,basic,north,78,28.50,5,14,0
platinum,quarterly,enterprise,west,1150,446.00,111,2,1
gold,annual,premium,east,925,161.00,66,1,1
silver,quarterly,premium,central,362,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,15,0
gold,annual,premium,north,885,160.00,64,2,1
platinum,annual,enterprise,central,1920,488.00,183,1,1
silver,monthly,basic,west,202,69.50,15,7,0
bronze,monthly,basic,east,84,30.00,6,10,0
gold,quarterly,premium,south,615,148.50,43,3,1
silver,quarterly,premium,north,346,84.00,24,4,1
platinum,annual,enterprise,east,2070,492.00,188,0,1
bronze,monthly,basic,central,96,32.00,8,9,0
gold,annual,premium,west,845,157.00,58,2,1
silver,monthly,basic,south,176,71.00,12,8,0
bronze,monthly,basic,north,74,27.50,4,13,0
platinum,quarterly,enterprise,central,1190,450.00,115,2,1
gold,annual,premium,east,935,161.50,66,1,1
silver,quarterly,premium,west,376,85.50,26,5,1
bronze,monthly,basic,south,66,26.50,3,12,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,west,1870,484.00,174,1,1
silver,monthly,basic,east,192,68.50,14,6,0
bronze,monthly,basic,central,86,29.00,5,11,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,344,83.50,23,4,1
platinum,annual,enterprise,central,2020,489.00,183,0,1
bronze,monthly,basic,west,88,31.50,7,10,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,182,70.00,13,7,0
bronze,monthly,basic,north,70,27.00,3,14,0
platinum,quarterly,enterprise,east,1120,443.00,109,2,1
gold,annual,premium,central,945,162.50,68,1,1
silver,quarterly,premium,west,370,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,15,0
gold,annual,premium,north,865,159.00,63,2,1
platinum,annual,enterprise,east,1940,487.00,181,1,1
silver,monthly,basic,west,196,69.00,15,6,0
bronze,monthly,basic,central,82,29.50,5,12,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,354,84.00,24,4,1
platinum,annual,enterprise,central,1980,490.00,185,0,1
bronze,monthly,basic,east,92,31.00,7,11,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,184,71.50,13,8,0
bronze,monthly,basic,north,76,28.00,4,13,0
platinum,quarterly,enterprise,west,1160,448.00,113,2,1
gold,annual,premium,east,915,160.50,65,1,1
silver,quarterly,premium,central,366,85.00,26,5,1
bronze,monthly,basic,south,68,26.00,3,15,0
gold,annual,premium,north,895,159.50,63,2,1
platinum,annual,enterprise,central,1890,485.00,179,1,1
silver,monthly,basic,west,204,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,10,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,348,83.50,23,4,1
platinum,annual,enterprise,east,2090,493.00,189,0,1
bronze,monthly,basic,central,98,32.50,8,9,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,188,70.50,14,6,0
bronze,monthly,basic,north,72,27.50,4,12,0
platinum,quarterly,enterprise,central,1180,451.00,116,2,1
gold,annual,premium,east,930,161.00,66,1,1
silver,quarterly,premium,west,372,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,14,0
gold,annual,premium,north,885,160.00,64,2,1
platinum,annual,enterprise,west,1860,484.00,174,1,1
silver,monthly,basic,central,200,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,11,0
gold,quarterly,premium,south,625,148.50,43,3,1
silver,quarterly,premium,north,352,84.00,24,4,1
platinum,annual,enterprise,east,2030,491.00,186,0,1
bronze,monthly,basic,west,94,31.50,7,10,0
gold,annual,premium,central,845,157.00,58,2,1
silver,monthly,basic,south,178,71.00,12,8,0
bronze,monthly,basic,north,78,28.50,5,13,0
platinum,quarterly,enterprise,central,1140,445.00,110,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,378,85.50,26,5,1
bronze,monthly,basic,south,66,26.50,3,15,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1930,488.00,183,1,1
silver,monthly,basic,west,198,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,12,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,346,83.50,23,4,1
platinum,annual,enterprise,west,2000,490.00,185,0,1
bronze,monthly,basic,central,90,32.00,8,11,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,74,27.00,4,14,0
platinum,quarterly,enterprise,east,1110,444.00,110,2,1
gold,annual,premium,central,955,162.50,68,1,1
silver,quarterly,premium,west,374,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,13,0
gold,annual,premium,north,865,159.00,62,2,1
platinum,annual,enterprise,east,1900,486.00,180,1,1
silver,monthly,basic,central,202,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,10,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,358,84.00,24,4,1
platinum,annual,enterprise,central,2050,489.00,183,0,1
bronze,monthly,basic,east,96,31.00,7,9,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,70,26.00,3,12,0
platinum,quarterly,enterprise,west,1170,449.00,114,2,1
gold,annual,premium,east,925,161.00,66,1,1
silver,quarterly,premium,central,368,85.00,26,5,1
bronze,monthly,basic,south,68,27.00,4,15,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1880,485.00,179,1,1
silver,monthly,basic,west,196,68.00,14,7,0
bronze,monthly,basic,east,88,30.50,6,11,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,350,83.00,23,4,1
platinum,annual,enterprise,east,2080,492.00,188,0,1
bronze,monthly,basic,central,92,32.50,8,10,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,186,70.50,14,6,0
bronze,monthly,basic,north,76,28.50,5,13,0
platinum,quarterly,enterprise,central,1150,446.00,111,2,1
gold,annual,premium,east,935,161.50,66,1,1
silver,quarterly,premium,west,376,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,14,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1870,484.00,174,1,1
silver,monthly,basic,central,204,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,12,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,344,83.50,23,4,1
platinum,annual,enterprise,east,2020,490.00,184,0,1
bronze,monthly,basic,west,90,31.50,7,11,0
gold,annual,premium,central,845,157.00,58,2,1
silver,monthly,basic,south,182,71.00,12,8,0
bronze,monthly,basic,north,72,27.50,4,15,0
platinum,quarterly,enterprise,central,1120,443.00,109,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,west,370,85.50,26,5,1
bronze,monthly,basic,south,66,26.50,3,13,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1940,487.00,181,1,1
silver,monthly,basic,west,200,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,10,0
gold,quarterly,premium,south,620,148.50,43,3,1
silver,quarterly,premium,north,354,84.00,24,4,1
platinum,annual,enterprise,west,1990,489.00,183,0,1
bronze,monthly,basic,central,94,32.00,8,9,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,78,28.00,4,12,0
platinum,quarterly,enterprise,east,1160,448.00,113,2,1
gold,annual,premium,central,950,162.50,68,1,1
silver,quarterly,premium,west,372,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,14,0
gold,annual,premium,north,865,159.00,63,2,1
platinum,annual,enterprise,east,1910,486.00,180,1,1
silver,monthly,basic,central,198,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,11,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,348,83.50,23,4,1
platinum,annual,enterprise,central,2060,491.00,186,0,1
bronze,monthly,basic,east,96,31.00,7,10,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,74,27.00,4,13,0
platinum,quarterly,enterprise,west,1130,444.00,110,2,1
gold,annual,premium,east,915,160.50,65,1,1
silver,quarterly,premium,central,378,85.00,26,5,1
bronze,monthly,basic,south,68,26.00,3,15,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1890,485.00,179,1,1
silver,monthly,basic,west,202,68.00,14,7,0
bronze,monthly,basic,east,90,30.50,6,12,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,352,84.00,24,4,1
platinum,annual,enterprise,east,2100,493.00,189,0,1
bronze,monthly,basic,central,98,32.50,8,11,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,188,70.50,14,6,0
bronze,monthly,basic,north,70,26.50,3,12,0
platinum,quarterly,enterprise,central,1190,450.00,115,2,1
gold,annual,premium,east,930,161.00,66,1,1
silver,quarterly,premium,west,374,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,13,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1860,484.00,174,1,1
silver,monthly,basic,central,196,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,10,0
gold,quarterly,premium,south,625,148.50,43,3,1
silver,quarterly,premium,north,356,83.50,23,4,1
platinum,annual,enterprise,central,2030,490.00,184,0,1
bronze,monthly,basic,west,92,31.50,7,9,0
gold,annual,premium,east,845,157.00,58,2,1
silver,monthly,basic,south,178,71.00,12,8,0
bronze,monthly,basic,north,76,28.50,5,14,0
platinum,quarterly,enterprise,east,1140,445.00,110,2,1
gold,annual,premium,central,945,162.00,67,1,1
silver,quarterly,premium,west,380,85.50,26,5,1
bronze,monthly,basic,south,66,27.50,4,15,0
gold,annual,premium,north,875,158.50,62,2,1
platinum,annual,enterprise,central,1920,488.00,183,1,1
silver,monthly,basic,west,204,68.50,14,6,0
bronze,monthly,basic,east,86,30.00,6,11,0
gold,quarterly,premium,south,615,147.50,42,3,1
silver,quarterly,premium,north,350,84.00,24,4,1
platinum,annual,enterprise,west,2010,489.00,183,0,1
bronze,monthly,basic,central,94,32.00,8,10,0
gold,annual,premium,east,825,156.50,57,2,1
silver,monthly,basic,south,184,70.00,13,7,0
bronze,monthly,basic,north,72,27.00,4,12,0
platinum,quarterly,enterprise,central,1180,451.00,116,2,1
gold,annual,premium,west,935,161.50,66,1,1
silver,quarterly,premium,east,368,84.50,25,5,1
bronze,monthly,basic,south,64,25.50,3,13,0
gold,annual,premium,north,865,159.00,62,2,1
platinum,annual,enterprise,east,1900,486.00,180,1,1
silver,monthly,basic,central,200,69.00,15,6,0
bronze,monthly,basic,west,82,29.50,5,11,0
gold,quarterly,premium,south,620,148.00,42,3,1
silver,quarterly,premium,north,358,83.50,23,4,1
platinum,annual,enterprise,central,2070,492.00,188,0,1
bronze,monthly,basic,east,90,31.00,7,10,0
gold,annual,premium,west,835,157.50,59,2,1
silver,monthly,basic,south,180,71.50,13,8,0
bronze,monthly,basic,north,78,28.00,4,13,0
platinum,quarterly,enterprise,west,1170,449.00,114,2,1
gold,annual,premium,east,920,160.50,65,1,1
silver,quarterly,premium,central,376,85.00,26,5,1
bronze,monthly,basic,south,68,26.00,3,14,0
gold,annual,premium,north,895,160.00,64,2,1
platinum,annual,enterprise,central,1880,485.00,179,1,1
silver,monthly,basic,west,198,68.00,14,7,0
bronze,monthly,basic,east,88,30.50,6,12,0
gold,quarterly,premium,south,610,147.00,41,3,1
silver,quarterly,premium,north,344,84.00,24,4,1
platinum,annual,enterprise,east,2040,490.00,184,0,1
bronze,monthly,basic,central,96,32.50,8,11,0
gold,annual,premium,west,815,155.50,55,2,1
silver,monthly,basic,south,186,70.50,14,6,0
bronze,monthly,basic,north,74,27.50,4,15,0
platinum,quarterly,enterprise,central,1120,443.00,109,2,1
gold,annual,premium,east,925,161.00,66,1,1
silver,quarterly,premium,west,370,84.50,25,5,1
bronze,monthly,basic,south,62,25.00,2,12,0
gold,annual,premium,north,885,159.50,63,2,1
platinum,annual,enterprise,west,1870,484.00,174,1,1
silver,monthly,basic,central,202,69.50,15,7,0
bronze,monthly,basic,east,84,29.00,5,10,0
gold,quarterly,premium,south,605,146.50,40,3,1
silver,quarterly,premium,north,352,83.50,23,4,1
platinum,annual,enterprise,central,2000,489.00,183,0,1
bronze,monthly,basic,west,92,31.50,7,9,0
