transaction_id,amount,merchant_category,time_of_day,day_of_week,card_present,international,is_fraud
TXN0075,234.56,8,11,3,1,0,0
TXN0076,345.67,11,16,0,0,0,0
TXN0077,98.76,7,9,4,1,0,0
TXN0078,1650.00,15,1,5,0,1,1
TXN0079,45.67,4,13,2,1,0,0
TXN0080,123.45,6,10,1,1,0,0
TXN0081,78.90,5,15,3,1,0,0
TXN0082,234.56,10,12,0,0,0,0
TXN0083,56.78,3,8,4,1,0,0
TXN0084,2285.75,16,22,6,0,1,1
TXN0085,89.12,8,14,2,1,0,0
TXN0086,167.89,9,17,1,0,0,0
TXN0087,234.56,7,11,3,1,0,0
TXN0088,345.67,11,16,0,0,0,0
TXN0089,98.76,4,9,4,1,0,0
TXN0090,1870.25,17,3,5,0,1,1
TXN0091,45.67,6,13,2,1,0,0
TXN0092,123.45,5,10,1,1,0,0
TXN0093,67.89,3,15,3,1,0,0
TXN0094,234.56,10,12,0,0,0,0
TXN0095,89.01,8,8,4,1,0,0
TXN0096,2010.00,19,2,6,0,1,1
TXN0097,56.78,7,14,2,1,0,0
TXN0098,178.90,9,17,1,0,0,0
TXN0099,234.56,4,11,3,1,0,0
TXN0100,345.67,11,16,0,0,0,0
TXN0101,98.76,6,9,4,1,0,0
TXN0102,1725.50,18,23,5,0,1,1
TXN0103,45.67,5,13,2,1,0,0
TXN0104,123.45,3,10,1,1,0,0
TXN0105,78.90,8,15,3,1,0,0
TXN0106,234.56,10,12,0,0,0,0
TXN0107,56.78,7,8,4,1,0,0
TXN0108,1890.00,15,1,6,0,1,1
TXN0109,89.12,4,14,2,1,0,0
TXN0110,167.89,9,17,1,0,0,0
TXN0111,234.56,6,11,3,1,0,0
TXN0112,345.67,11,16,0,0,0,0
TXN0113,98.76,5,9,4,1,0,0
TXN0114,2155.75,16,22,5,0,1,1
TXN0115,45.67,3,13,2,1,0,0
TXN0116,123.45,8,10,1,1,0,0
TXN0117,67.89,7,15,3,1,0,0
TXN0118,234.56,10,12,0,0,0,0
TXN0119,89.01,4,8,4,1,0,0
TXN0120,1960.25,17,3,6,0,1,1
TXN0121,56.78,6,14,2,1,0,0
TXN0122,178.90,9,17,1,0,0,0
TXN0123,234.56,5,11,3,1,0,0
TXN0124,345.67,11,16,0,0,0,0
TXN0125,98.76,3,9,4,1,0,0
TXN0126,32.45,8,12,2,1,0,0
TXN0127,145.67,7,15,1,0,0,0
TXN0128,78.90,4,10,3,1,0,0
TXN0129,256.78,10,14,0,0,0,0
TXN0130,67.89,6,9,4,1,0,0
TXN0131,189.12,5,16,2,1,0,0
TXN0132,234.56,9,11,1,0,0,0
TXN0133,123.45,3,13,3,1,0,0
TXN0134,345.67,11,17,0,0,0,0
TXN0135,98.76,8,8,4,1,0,0
TXN0136,2380.50,19,23,5,0,1,1
TXN0137,45.67,7,12,2,1,0,0
TXN0138,167.89,9,15,1,0,0,0
TXN0139,78.90,4,10,3,1,0,0
TXN0140,234.56,10,14,0,0,0,0
TXN0141,56.78,6,9,4,1,0,0
TXN0142,1805.00,18,2,6,0,1,1
TXN0143,89.12,5,16,2,1,0,0
TXN0144,123.45,3,11,1,1,0,0
TXN0145,234.56,8,13,3,1,0,0
TXN0146,345.67,11,17,0,0,0,0
TXN0147,98.76,7,8,4,1,0,0
TXN0148,2095.75,15,22,5,0,1,1
TXN0149,45.67,4,12,2,1,0,0
TXN0150,178.90,9,15,1,0,0,0
TXN0151,67.89,6,10,3,1,0,0
TXN0152,234.56,10,14,0,0,0,0
TXN0153,89.01,5,9,4,1,0,0
TXN0154,1740.25,16,1,6,0,1,1
TXN0155,56.78,3,16,2,1,0,0
TXN0156,167.89,9,11,1,0,0,0
TXN0157,234.56,8,13,3,1,0,0
TXN0158,345.67,11,17,0,0,0,0
TXN0159,98.76,7,8,4,1,0,0
TXN0160,32.45,4,12,2,1,0,0
TXN0161,145.67,6,15,1,0,0,0
TXN0162,78.90,5,10,3,1,0,0
TXN0163,256.78,10,14,0,0,0,0
TXN0164,67.89,3,9,4,1,0,0
TXN0165,189.12,8,16,2,1,0,0
TXN0166,234.56,9,11,1,0,0,0
TXN0167,123.45,7,13,3,1,0,0
TXN0168,345.67,11,17,0,0,0,0
TXN0169,98.76,4,8,4,1,0,0
TXN0170,2215.50,17,3,5,0,1,1
TXN0171,45.67,6,12,2,1,0,0
TXN0172,167.89,9,15,1,0,0,0
TXN0173,78.90,5,10,3,1,0,0
TXN0174,234.56,10,14,0,0,0,0
TXN0175,56.78,3,9,4,1,0,0
TXN0176,1925.00,19,23,6,0,1,1
TXN0177,89.12,8,16,2,1,0,0
TXN0178,123.45,7,11,1,1,0,0
TXN0179,234.56,4,13,3,1,0,0
TXN0180,345.67,11,17,0,0,0,0
TXN0181,98.76,6,8,4,1,0,0
TXN0182,2540.75,18,2,5,0,1,1
TXN0183,45.67,5,12,2,1,0,0
TXN0184,178.90,9,15,1,0,0,0
TXN0185,67.89,3,10,3,1,0,0
TXN0186,234.56,10,14,0,0,0,0
TXN0187,89.01,8,9,4,1,0,0
TXN0188,1670.25,15,22,6,0,1,1
TXN0189,56.78,7,16,2,1,0,0
TXN0190,167.89,9,11,1,0,0,0
TXN0191,234.56,4,13,3,1,0,0
TXN0192,345.67,11,17,0,0,0,0
TXN0193,98.76,6,8,4,1,0,0
TXN0194,32.45,5,12,2,1,0,0
TXN0195,145.67,3,15,1,0,0,0
TXN0196,78.90,8,10,3,1,0,0
TXN0197,256.78,10,14,0,0,0,0
TXN0198,67.89,7,9,4,1,0,0
TXN0199,189.12,4,16,2,1,0,0
TXN0200,234.56,9,11,1,0,0,0
TXN0201,123.45,6,13,3,1,0,0
TXN0202,345.67,11,17,0,0,0,0
TXN0203,98.76,5,8,4,1,0,0
TXN0204,2050.50,16,1,5,0,1,1
TXN0205,45.67,3,12,2,1,0,0
TXN0206,167.89,9,15,1,0,0,0
TXN0207,78.90,8,10,3,1,0,0
TXN0208,234.56,10,14,0,0,0,0
TXN0209,56.78,7,9,4,1,0,0
TXN0210,1815.00,17,3,6,0,1,1
TXN0211,89.12,4,16,2,1,0,0
TXN0212,123.45,6,11,1,1,0,0
TXN0213,234.56,5,13,3,1,0,0
TXN0214,345.67,11,17,0,0,0,0
TXN0215,98.76,3,8,4,1,0,0
TXN0216,2475.75,19,23,5,0,1,1
TXN0217,45.67,8,12,2,1,0,0
TXN0218,178.90,9,15,1,0,0,0
TXN0219,67.89,7,10,3,1,0,0
TXN0220,234.56,10,14,0,0,0,0
TXN0221,89.01,4,9,4,1,0,0
TXN0222,1590.25,18,2,6,0,1,1
TXN0223,56.78,6,16,2,1,0,0
TXN0224,167.89,9,11,1,0,0,0
TXN0225,234.56,5,13,3,1,0,0
TXN0226,345.67,11,17,0,0,0,0
TXN0227,98.76,3,8,4,1,0,0
TXN0228,32.45,8,12,2,1,0,0
TXN0229,145.67,7,15,1,0,0,0
TXN0230,78.90,4,10,3,1,0,0
TXN0231,256.78,10,14,0,0,0,0
TXN0232,67.89,6,9,4,1,0,0
TXN0233,189.12,5,16,2,1,0,0
TXN0234,234.56,9,11,1,0,0,0
TXN0235,123.45,3,13,3,1,0,0
TXN0236,345.67,11,17,0,0,0,0
TXN0237,98.76,8,8,4,1,0,0
TXN0238,2310.50,15,22,5,0,1,1
TXN0239,45.67,7,12,2,1,0,0
TXN0240,167.89,9,15,1,0,0,0
TXN0241,78.90,4,10,3,1,0,0
TXN0242,234.56,10,14,0,0,0,0
TXN0243,56.78,6,9,4,1,0,0
TXN0244,1755.00,16,1,6,0,1,1
TXN0245,89.12,5,16,2,1,0,0
TXN0246,123.45,3,11,1,1,0,0
TXN0247,234.56,8,13,3,1,0,0
TXN0248,345.67,11,17,0,0,0,0
TXN0249,98.76,7,8,4,1,0,0
TXN0250,2640.75,17,3,5,0,1,1
TXN0251,45.67,4,12,2,1,0,0
TXN0252,178.90,9,15,1,0,0,0
TXN0253,67.89,6,10,3,1,0,0
TXN0254,234.56,10,14,0,0,0,0
TXN0255,89.01,5,9,4,1,0,0
TXN0256,32.45,3,16,2,1,0,0
TXN0257,145.67,8,11,1,0,0,0
TXN0258,78.90,7,13,3,1,0,0
TXN0259,256.78,11,17,0,0,0,0
TXN0260,67.89,4,8,4,1,0,0
TXN0261,189.12,6,12,2,1,0,0
TXN0262,234.56,9,15,1,0,0,0
TXN0263,123.45,5,10,3,1,0,0
TXN0264,345.67,10,14,0,0,0,0
TXN0265,98.76,3,9,4,1,0,0
TXN0266,1940.50,19,23,6,0,1,1
TXN0267,45.67,8,16,2,1,0,0
TXN0268,167.89,9,11,1,0,0,0
TXN0269,78.90,7,13,3,1,0,0
TXN0270,234.56,10,17,0,0,0,0
TXN0271,56.78,4,8,4,1,0,0
TXN0272,2175.00,18,2,5,0,1,1
TXN0273,89.12,6,12,2,1,0,0
TXN0274,123.45,5,15,1,1,0,0
TXN0275,234.56,3,10,3,1,0,0
TXN0276,345.67,11,14,0,0,0,0
TXN0277,98.76,8,9,4,1,0,0
TXN0278,1685.25,15,22,6,0,1,1
TXN0279,45.67,7,16,2,1,0,0
TXN0280,178.90,9,11,1,0,0,0
TXN0281,67.89,4,13,3,1,0,0
TXN0282,234.56,10,17,0,0,0,0
TXN0283,89.01,6,8,4,1,0,0
TXN0284,32.45,5,12,2,1,0,0
TXN0285,145.67,3,15,1,0,0,0
TXN0286,78.90,8,10,3,1,0,0
TXN0287,256.78,10,14,0,0,0,0
TXN0288,67.89,7,9,4,1,0,0
TXN0289,189.12,4,16,2,1,0,0
TXN0290,234.56,9,11,1,0,0,0
TXN0291,123.45,6,13,3,1,0,0
TXN0292,345.67,11,17,0,0,0,0
TXN0293,98.76,5,8,4,1,0,0
TXN0294,2085.50,16,1,5,0,1,1
TXN0295,45.67,3,12,2,1,0,0
TXN0296,167.89,9,15,1,0,0,0
TXN0297,78.90,8,10,3,1,0,0
TXN0298,234.56,10,14,0,0,0,0
TXN0299,56.78,7,9,4,1,0,0
TXN0300,1850.00,17,3,6,0,1,1
TXN0301,89.12,4,16,2,1,0,0
TXN0302,123.45,6,11,1,1,0,0
TXN0303,234.56,5,13,3,1,0,0
TXN0304,345.67,11,17,0,0,0,0
TXN0305,98.76,3,8,4,1,0,0
TXN0306,2510.75,19,23,5,0,1,1
TXN0307,45.67,8,12,2,1,0,0
TXN0308,178.90,9,15,1,0,0,0
TXN0309,67.89,7,10,3,1,0,0
TXN0310,234.56,10,14,0,0,0,0
TXN0311,89.01,4,9,4,1,0,0
TXN0312,1620.25,18,2,6,0,1,1
TXN0313,56.78,6,16,2,1,0,0
TXN0314,167.89,9,11,1,0,0,0
TXN0315,234.56,5,13,3,1,0,0
TXN0316,345.67,11,17,0,0,0,0
TXN0317,98.76,3,8,4,1,0,0
TXN0318,32.45,8,12,2,1,0,0
TXN0319,145.67,7,15,1,0,0,0
TXN0320,78.90,4,10,3,1,0,0
TXN0321,256.78,10,14,0,0,0,0
TXN0322,67.89,6,9,4,1,0,0
TXN0323,189.12,5,16,2,1,0,0
TXN0324,234.56,9,11,1,0,0,0
TXN0325,123.45,3,13,3,1,0,0
TXN0326,345.67,11,17,0,0,0,0
TXN0327,98.76,8,8,4,1,0,0
TXN0328,2345.50,15,22,5,0,1,1
TXN0329,45.67,7,12,2,1,0,0
TXN0330,167.89,9,15,1,0,0,0
TXN0331,78.90,4,10,3,1,0,0
TXN0332,234.56,10,14,0,0,0,0
TXN0333,56.78,6,9,4,1,0,0
TXN0334,1790.00,16,1,6,0,1,1
TXN0335,89.12,5,16,2,1,0,0
TXN0336,123.45,3,11,1,1,0,0
TXN0337,234.56,8,13,3,1,0,0
TXN0338,345.67,11,17,0,0,0,0
TXN0339,98.76,7,8,4,1,0,0
TXN0340,2675.75,17,3,5,0,1,1
TXN0341,45.67,4,12,2,1,0,0
TXN0342,178.90,9,15,1,0,0,0
TXN0343,67.89,6,10,3,1,0,0
TXN0344,234.56,10,14,0,0,0,0
TXN0345,89.01,5,9,4,1,0,0
TXN0346,32.45,3,16,2,1,0,0
TXN0347,145.67,8,11,1,0,0,0
TXN0348,78.90,7,13,3,1,0,0
TXN0349,256.78,11,17,0,0,0,0
TXN0350,67.89,4,8,4,1,0,0
TXN0351,189.12,6,12,2,1,0,0
TXN0352,234.56,9,15,1,0,0,0
TXN0353,123.45,5,10,3,1,0,0
TXN0354,345.67,10,14,0,0,0,0
TXN0355,98.76,3,9,4,1,0,0
TXN0356,1975.50,19,23,6,0,1,1
TXN0357,45.67,8,16,2,1,0,0
TXN0358,167.89,9,11,1,0,0,0
TXN0359,78.90,7,13,3,1,0,0
TXN0360,234.56,10,17,0,0,0,0
TXN0361,56.78,4,8,4,1,0,0
TXN0362,2210.00,18,2,5,0,1,1
TXN0363,89.12,6,12,2,1,0,0
TXN0364,123.45,5,15,1,1,0,0
TXN0365,234.56,3,10,3,1,0,0
TXN0366,345.67,11,14,0,0,0,0
TXN0367,98.76,8,9,4,1,0,0
TXN0368,1715.25,15,22,6,0,1,1
TXN0369,45.67,7,16,2,1,0,0
TXN0370,178.90,9,11,1,0,0,0
TXN0371,67.89,4,13,3,1,0,0
TXN0372,234.56,10,17,0,0,0,0
TXN0373,89.01,6,8,4,1,0,0
TXN0374,32.45,5,12,2,1,0,0
TXN0375,145.67,3,15,1,0,0,0
TXN0376,78.90,8,10,3,1,0,0
TXN0377,256.78,10,14,0,0,0,0
TXN0378,67.89,7,9,4,1,0,0
TXN0379,189.12,4,16,2,1,0,0
TXN0380,234.56,9,11,1,0,0,0
TXN0381,123.45,6,13,3,1,0,0
TXN0382,345.67,11,17,0,0,0,0
TXN0383,98.76,5,8,4,1,0,0
TXN0384,2120.50,16,1,5,0,1,1
TXN0385,45.67,3,12,2,1,0,0
TXN0386,167.89,9,15,1,0,0,0
TXN0387,78.90,8,10,3,1,0,0
TXN0388,234.56,10,14,0,0,0,0
TXN0389,56.78,7,9,4,1,0,0
TXN0390,1885.00,17,3,6,0,1,1
TXN0391,89.12,4,16,2,1,0,0
TXN0392,123.45,6,11,1,1,0,0
TXN0393,234.56,5,13,3,1,0,0
TXN0394,345.67,11,17,0,0,0,0
TXN0395,98.76,3,8,4,1,0,0
TXN0396,2545.75,19,23,5,0,1,1
TXN0397,45.67,8,12,2,1,0,0
TXN0398,178.90,9,15,1,0,0,0
TXN0399,67.89,7,10,3,1,0,0
TXN0400,234.56,10,14,0,0,0,0
TXN0401,89.01,4,9,4,1,0,0
TXN0402,1655.25,18,2,6,0,1,1
TXN0403,56.78,6,16,2,1,0,0
TXN0404,167.89,9,11,1,0,0,0
TXN0405,234.56,5,13,3,1,0,0
TXN0406,345.67,11,17,0,0,0,0
TXN0407,98.76,3,8,4,1,0,0
TXN0408,32.45,8,12,2,1,0,0
TXN0409,145.67,7,15,1,0,0,0
TXN0410,78.90,4,10,3,1,0,0
TXN0411,256.78,10,14,0,0,0,0
TXN0412,67.89,6,9,4,1,0,0
TXN0413,189.12,5,16,2,1,0,0
TXN0414,234.56,9,11,1,0,0,0
TXN0415,123.45,3,13,3,1,0,0
TXN0416,345.67,11,17,0,0,0,0
TXN0417,98.76,8,8,4,1,0,0
TXN0418,2380.50,15,22,5,0,1,1
TXN0419,45.67,7,12,2,1,0,0
TXN0420,167.89,9,15,1,0,0,0
TXN0421,78.90,4,10,3,1,0,0
TXN0422,234.56,10,14,0,0,0,0
TXN0423,56.78,6,9,4,1,0,0
TXN0424,1825.00,16,1,6,0,1,1
TXN0425,89.12,5,16,2,1,0,0
TXN0426,123.45,3,11,1,1,0,0
TXN0427,234.56,8,13,3,1,0,0
TXN0428,345.67,11,17,0,0,0,0
TXN0429,98.76,7,8,4,1,0,0
TXN0430,2710.75,17,3,5,0,1,1
TXN0431,45.67,4,12,2,1,0,0
TXN0432,178.90,9,15,1,0,0,0
TXN0433,67.89,6,10,3,1,0,0
TXN0434,234.56,10,14,0,0,0,0
TXN0435,89.01,5,9,4,1,0,0
TXN0436,32.45,3,16,2,1,0,0
TXN0437,145.67,8,11,1,0,0,0
TXN0438,78.90,7,13,3,1,0,0
TXN0439,256.78,11,17,0,0,0,0
TXN0440,67.89,4,8,4,1,0,0
TXN0441,189.12,6,12,2,1,0,0
TXN0442,234.56,9,15,1,0,0,0
TXN0443,123.45,5,10,3,1,0,0
TXN0444,345.67,10,14,0,0,0,0
TXN0445,98.76,3,9,4,1,0,0
TXN0446,2010.50,19,23,6,0,1,1
TXN0447,45.67,8,16,2,1,0,0
TXN0448,167.89,9,11,1,0,0,0
TXN0449,78.90,7,13,3,1,0,0
TXN0450,234.56,10,17,0,0,0,0
TXN0451,56.78,4,8,4,1,0,0
TXN0452,2245.00,18,2,5,0,1,1
TXN0453,89.12,6,12,2,1,0,0
TXN0454,123.45,5,15,1,1,0,0
TXN0455,234.56,3,10,3,1,0,0
TXN0456,345.67,11,14,0,0,0,0
TXN0457,98.76,8,9,4,1,0,0
TXN0458,1750.25,15,22,6,0,1,1
TXN0459,45.67,7,16,2,1,0,0
TXN0460,178.90,9,11,1,0,0,0
TXN0461,67.89,4,13,3,1,0,0
TXN0462,234.56,10,17,0,0,0,0
TXN0463,89.01,6,8,4,1,0,0
TXN0464,32.45,5,12,2,1,0,0
TXN0465,145.67,3,15,1,0,0,0
TXN0466,78.90,8,10,3,1,0,0
TXN0467,256.78,10,14,0,0,0,0
TXN0468,67.89,7,9,4,1,0,0
TXN0469,189.12,4,16,2,1,0,0
TXN0470,234.56,9,11,1,0,0,0
TXN0471,123.45,6,13,3,1,0,0
TXN0472,345.67,11,17,0,0,0,0
TXN0473,98.76,5,8,4,1,0,0
TXN0474,2155.50,16,1,5,0,1,1
TXN0475,45.67,3,12,2,1,0,0
TXN0476,167.89,9,15,1,0,0,0
TXN0477,78.90,8,10,3,1,0,0
TXN0478,234.56,10,14,0,0,0,0
TXN0479,56.78,7,9,4,1,0,0
TXN0480,1920.00,17,3,6,0,1,1
TXN0481,89.12,4,16,2,1,0,0
TXN0482,123.45,6,11,1,1,0,0
TXN0483,234.56,5,13,3,1,0,0
TXN0484,345.67,11,17,0,0,0,0
TXN0485,98.76,3,8,4,1,0,0
TXN0486,2580.75,19,23,5,0,1,1
TXN0487,45.67,8,12,2,1,0,0
TXN0488,178.90,9,15,1,0,0,0
TXN0489,67.89,7,10,3,1,0,0
TXN0490,234.56,10,14,0,0,0,0
TXN0491,89.01,4,9,4,1,0,0
TXN0492,1690.25,18,2,6,0,1,1
TXN0493,56.78,6,16,2,1,0,0
TXN0494,167.89,9,11,1,0,0,0
TXN0495,234.56,5,13,3,1,0,0
TXN0496,345.67,11,17,0,0,0,0
TXN0497,98.76,3,8,4,1,0,0
TXN0498,32.45,8,12,2,1,0,0
TXN0499,145.67,7,15,1,0,0,0
TXN0500,78.90,4,10,3,1,0,0
TXN0501,256.78,10,14,0,0,0,0
TXN0502,67.89,6,9,4,1,0,0
TXN0503,189.12,5,16,2,1,0,0
TXN0504,234.56,9,11,1,0,0,0
TXN0505,123.45,3,13,3,1,0,0
TXN0506,345.67,11,17,0,0,0,0
TXN0507,98.76,8,8,4,1,0,0
TXN0508,2415.50,15,22,5,0,1,1
TXN0509,45.67,7,12,2,1,0,0
TXN0510,167.89,9,15,1,0,0,0
TXN0511,78.90,4,10,3,1,0,0
TXN0512,234.56,10,14,0,0,0,0
TXN0513,56.78,6,9,4,1,0,0
TXN0514,1860.00,16,1,6,0,1,1
TXN0515,89.12,5,16,2,1,0,0
TXN0516,123.45,3,11,1,1,0,0
TXN0517,234.56,8,13,3,1,0,0
TXN0518,345.67,11,17,0,0,0,0
TXN0519,98.76,7,8,4,1,0,0
TXN0520,2745.75,17,3,5,0,1,1
TXN0521,45.67,4,12,2,1,0,0
TXN0522,178.90,9,15,1,0,0,0
TXN0523,67.89,6,10,3,1,0,0
TXN0524,234.56,10,14,0,0,0,0
TXN0525,89.01,5,9,4,1,0,0
TXN0526,32.45,3,16,2,1,0,0
TXN0527,145.67,8,11,1,0,0,0
TXN0528,78.90,7,13,3,1,0,0
TXN0529,256.78,11,17,0,0,0,0
TXN0530,67.89,4,8,4,1,0,0
TXN0531,189.12,6,12,2,1,0,0
TXN0532,234.56,9,15,1,0,0,0
TXN0533,123.45,5,10,3,1,0,0
TXN0534,345.67,10,14,0,0,0,0
TXN0535,98.76,3,9,4,1,0,0
TXN0536,2045.50,19,23,6,0,1,1
TXN0537,45.67,8,16,2,1,0,0
TXN0538,167.89,9,11,1,0,0,0
TXN0539,78.90,7,13,3,1,0,0
TXN0540,234.56,10,17,0,0,0,0
TXN0541,56.78,4,8,4,1,0,0
TXN0542,2280.00,18,2,5,0,1,1
TXN0543,89.12,6,12,2,1,0,0
TXN0544,123.45,5,15,1,1,0,0
TXN0545,234.56,3,10,3,1,0,0
TXN0546,345.67,11,14,0,0,0,0
TXN0547,98.76,8,9,4,1,0,0
TXN0548,1785.25,15,22,6,0,1,1
TXN0549,45.67,7,16,2,1,0,0
TXN0550,178.90,9,11,1,0,0,0
TXN0551,67.89,4,13,3,1,0,0
TXN0552,234.56,10,17,0,0,0,0
TXN0553,89.01,6,8,4,1,0,0
TXN0554,32.45,5,12,2,1,0,0
TXN0555,145.67,3,15,1,0,0,0
TXN0556,78.90,8,10,3,1,0,0
TXN0557,256.78,10,14,0,0,0,0
TXN0558,67.89,7,9,4,1,0,0
TXN0559,189.12,4,16,2,1,0,0
TXN0560,234.56,9,11,1,0,0,0
TXN0561,123.45,6,13,3,1,0,0
TXN0562,345.67,11,17,0,0,0,0
TXN0563,98.76,5,8,4,1,0,0
TXN0564,2190.50,16,1,5,0,1,1
TXN0565,45.67,3,12,2,1,0,0
TXN0566,167.89,9,15,1,0,0,0
TXN0567,78.90,8,10,3,1,0,0
TXN0568,234.56,10,14,0,0,0,0
TXN0569,56.78,7,9,4,1,0,0
TXN0570,1955.00,17,3,6,0,1,1
TXN0571,89.12,4,16,2,1,0,0
TXN0572,123.45,6,11,1,1,0,0
TXN0573,234.56,5,13,3,1,0,0
TXN0574,345.67,11,17,0,0,0,0
TXN0575,98.76,3,8,4,1,0,0
TXN0576,2615.75,19,23,5,0,1,1
TXN0577,45.67,8,12,2,1,0,0
TXN0578,178.90,9,15,1,0,0,0
TXN0579,67.89,7,10,3,1,0,0
TXN0580,234.56,10,14,0,0,0,0
TXN0581,89.01,4,9,4,1,0,0
TXN0582,1725.25,18,2,6,0,1,1
TXN0583,56.78,6,16,2,1,0,0
TXN0584,167.89,9,11,1,0,0,0
TXN0585,234.56,5,13,3,1,0,0
TXN0586,345.67,11,17,0,0,0,0
TXN0587,98.76,3,8,4,1,0,0
TXN0588,32.45,8,12,2,1,0,0
TXN0589,145.67,7,15,1,0,0,0
TXN0590,78.90,4,10,3,1,0,0
TXN0591,256.78,10,14,0,0,0,0
TXN0592,67.89,6,9,4,1,0,0
TXN0593,189.12,5,16,2,1,0,0
TXN0594,234.56,9,11,1,0,0,0
TXN0595,123.45,3,13,3,1,0,0
TXN0596,345.67,11,17,0,0,0,0
TXN0597,98.76,8,8,4,1,0,0
TXN0598,2450.50,15,22,5,0,1,1
TXN0599,45.67,7,12,2,1,0,0
TXN0600,167.89,9,15,1,0,0,0
TXN0601,78.90,4,10,3,1,0,0
TXN0602,234.56,10,14,0,0,0,0
TXN0603,56.78,6,9,4,1,0,0
TXN0604,1895.00,16,1,6,0,1,1
TXN0605,89.12,5,16,2,1,0,0
TXN0606,123.45,3,11,1,1,0,0
TXN0607,234.56,8,13,3,1,0,0
TXN0608,345.67,11,17,0,0,0,0
TXN0609,98.76,7,8,4,1,0,0
TXN0610,2780.75,17,3,5,0,1,1
TXN0611,45.67,4,12,2,1,0,0
TXN0612,178.90,9,15,1,0,0,0
TXN0613,67.89,6,10,3,1,0,0
TXN0614,234.56,10,14,0,0,0,0
TXN0615,89.01,5,9,4,1,0,0
TXN0616,32.45,3,16,2,1,0,0
TXN0617,145.67,8,11,1,0,0,0
TXN0618,78.90,7,13,3,1,0,0
TXN0619,256.78,11,17,0,0,0,0
TXN0620,67.89,4,8,4,1,0,0
TXN0621,189.12,6,12,2,1,0,0
TXN0622,234.56,9,15,1,0,0,0
TXN0623,123.45,5,10,3,1,0,0
TXN0624,345.67,10,14,0,0,0,0
TXN0625,98.76,3,9,4,1,0,0
TXN0626,2080.50,19,23,6,0,1,1
TXN0627,45.67,8,16,2,1,0,0
TXN0628,167.89,9,11,1,0,0,0
TXN0629,78.90,7,13,3,1,0,0
