x,y,z,intensity
0,3,19,145
0,3,20,167
0,3,21,189
0,3,22,212
0,3,23,134
0,3,24,156
0,3,25,178
0,3,26,201
0,3,27,223
0,3,28,145
0,3,29,167
0,3,30,189
0,3,31,212
0,3,32,134
0,3,33,156
0,3,34,178
0,3,35,201
0,3,36,223
0,3,37,145
0,3,38,167
0,3,39,189
0,3,40,212
0,3,41,134
0,3,42,156
0,3,43,178
0,3,44,201
0,3,45,223
0,3,46,145
0,3,47,167
0,3,48,189
0,3,49,212
0,3,50,134
0,3,51,156
0,3,52,178
0,3,53,201
0,3,54,223
0,3,55,145
0,3,56,167
0,3,57,189
0,3,58,212
0,3,59,134
0,3,60,156
0,3,61,178
0,3,62,201
0,3,63,223
0,4,0,156
0,4,1,178
0,4,2,201
0,4,3,123
0,4,4,145
0,4,5,167
0,4,6,189
0,4,7,212
0,4,8,134
0,4,9,156
0,4,10,178
0,4,11,201
0,4,12,123
0,4,13,145
0,4,14,167
0,4,15,189
0,4,16,212
0,4,17,134
0,4,18,156
0,4,19,178
0,4,20,201
0,4,21,123
0,4,22,145
0,4,23,167
0,4,24,189
0,4,25,212
0,4,26,134
0,4,27,156
0,4,28,178
0,4,29,201
0,4,30,123
0,4,31,145
0,4,32,167
0,4,33,189
0,4,34,212
0,4,35,134
0,4,36,156
0,4,37,178
0,4,38,201
0,4,39,223
0,4,40,145
0,4,41,167
0,4,42,189
0,4,43,212
0,4,44,134
0,4,45,156
0,4,46,178
0,4,47,201
0,4,48,223
0,4,49,145
0,4,50,167
0,4,51,189
0,4,52,212
0,4,53,134
0,4,54,156
0,4,55,178
0,4,56,201
0,4,57,223
0,4,58,145
0,4,59,167
0,4,60,189
0,4,61,212
0,4,62,134
0,4,63,156
5,10,15,100
5,10,15,150
5,10,15,125
0,5,0,167
0,5,1,189
0,5,2,212
0,5,3,134
0,5,4,156
0,5,5,178
0,5,6,201
0,5,7,123
0,5,8,145
0,5,9,167
0,5,10,189
0,5,11,212
0,5,12,134
0,5,13,156
0,5,14,178
0,5,15,201
0,5,16,123
0,5,17,145
0,5,18,167
0,5,19,189
0,5,20,212
0,5,21,134
0,5,22,156
0,5,23,178
0,5,24,201
0,5,25,223
0,5,26,145
0,5,27,167
0,5,28,189
0,5,29,212
0,5,30,134
0,5,31,156
0,5,32,178
0,5,33,201
0,5,34,223
0,5,35,145
0,5,36,167
0,5,37,189
0,5,38,212
0,5,39,134
0,5,40,156
0,5,41,178
0,5,42,201
0,5,43,223
0,5,44,145
0,5,45,167
0,5,46,189
0,5,47,212
0,5,48,134
0,5,49,156
0,5,50,178
0,5,51,201
0,5,52,223
0,5,53,145
0,5,54,167
0,5,55,189
0,5,56,212
0,5,57,134
0,5,58,156
0,5,59,178
0,5,60,201
0,5,61,223
0,5,62,145
0,5,63,167
64,20,30,200
0,6,0,178
0,6,1,201
0,6,2,123
0,6,3,145
0,6,4,167
0,6,5,189
0,6,6,212
0,6,7,134
0,6,8,156
0,6,9,178
0,6,10,201
0,6,11,123
0,6,12,145
0,6,13,167
0,6,14,189
0,6,15,212
0,6,16,134
0,6,17,156
0,6,18,178
0,6,19,201
0,6,20,223
0,6,21,145
0,6,22,167
0,6,23,189
0,6,24,212
0,6,25,134
0,6,26,156
0,6,27,178
0,6,28,201
0,6,29,223
0,6,30,145
0,6,31,167
0,6,32,189
0,6,33,212
0,6,34,134
0,6,35,156
0,6,36,178
0,6,37,201
0,6,38,223
0,6,39,145
0,6,40,167
0,6,41,189
0,6,42,212
0,6,43,134
0,6,44,156
0,6,45,178
0,6,46,201
0,6,47,223
0,6,48,145
0,6,49,167
0,6,50,189
0,6,51,212
0,6,52,134
0,6,53,156
0,6,54,178
0,6,55,201
0,6,56,223
0,6,57,145
0,6,58,167
0,6,59,189
0,6,60,212
0,6,61,134
0,6,62,156
0,6,63,178
10,10,-1,50
0,7,0,189
0,7,1,212
0,7,2,134
0,7,3,156
0,7,4,178
0,7,5,201
0,7,6,123
0,7,7,145
0,7,8,167
0,7,9,189
0,7,10,212
0,7,11,134
0,7,12,156
0,7,13,178
0,7,14,201
0,7,15,123
0,7,16,145
0,7,17,167
0,7,18,189
0,7,19,212
0,7,20,134
0,7,21,156
0,7,22,178
0,7,23,201
0,7,24,223
0,7,25,145
0,7,26,167
0,7,27,189
0,7,28,212
0,7,29,134
0,7,30,156
0,7,31,178
0,7,32,201
0,7,33,223
0,7,34,145
0,7,35,167
0,7,36,189
0,7,37,212
0,7,38,134
0,7,39,156
0,7,40,178
0,7,41,201
0,7,42,223
0,7,43,145
0,7,44,167
0,7,45,189
0,7,46,212
0,7,47,134
0,7,48,156
0,7,49,178
0,7,50,201
0,7,51,223
0,7,52,145
0,7,53,167
0,7,54,189
0,7,55,212
0,7,56,134
0,7,57,156
0,7,58,178
0,7,59,201
0,7,60,223
0,7,61,145
0,7,62,167
0,7,63,189
30,40,50,300
0,8,0,201
0,8,1,123
0,8,2,145
0,8,3,167
0,8,4,189
0,8,5,212
0,8,6,134
0,8,7,156
0,8,8,178
0,8,9,201
0,8,10,123
0,8,11,145
0,8,12,167
0,8,13,189
0,8,14,212
0,8,15,134
0,8,16,156
0,8,17,178
0,8,18,201
0,8,19,123
0,8,20,145
0,8,21,167
0,8,22,189
0,8,23,212
0,8,24,134
0,8,25,156
0,8,26,178
0,8,27,201
0,8,28,223
0,8,29,145
0,8,30,167
0,8,31,189
0,8,32,212
0,8,33,134
0,8,34,156
0,8,35,178
0,8,36,201
0,8,37,223
0,8,38,145
0,8,39,167
0,8,40,189
0,8,41,212
0,8,42,134
0,8,43,156
0,8,44,178
0,8,45,201
0,8,46,223
0,8,47,145
0,8,48,167
0,8,49,189
0,8,50,212
0,8,51,134
0,8,52,156
0,8,53,178
0,8,54,201
0,8,55,223
0,8,56,145
0,8,57,167
0,8,58,189
0,8,59,212
0,8,60,134
0,8,61,156
0,8,62,178
0,8,63,201
45,45,45,128
12,25,38,95
12,25,38,110
12,25,38,102
0,9,0,212
0,9,1,134
0,9,2,156
0,9,3,178
0,9,4,201
0,9,5,123
0,9,6,145
0,9,7,167
0,9,8,189
0,9,9,212
0,9,10,134
0,9,11,156
0,9,12,178
0,9,13,201
0,9,14,123
0,9,15,145
0,9,16,167
0,9,17,189
0,9,18,212
0,9,19,134
0,9,20,156
0,9,21,178
0,9,22,201
0,9,23,223
0,9,24,145
0,9,25,167
0,9,26,189
0,9,27,212
0,9,28,134
0,9,29,156
0,9,30,178
0,9,31,201
0,9,32,223
0,9,33,145
0,9,34,167
0,9,35,189
0,9,36,212
0,9,37,134
0,9,38,156
0,9,39,178
0,9,40,201
0,9,41,223
0,9,42,145
0,9,43,167
0,9,44,189
0,9,45,212
0,9,46,134
0,9,47,156
0,9,48,178
0,9,49,201
0,9,50,223
0,9,51,145
0,9,52,167
0,9,53,189
0,9,54,212
0,9,55,134
0,9,56,156
0,9,57,178
0,9,58,201
0,9,59,223
0,9,60,145
0,9,61,167
0,9,62,189
0,9,63,212
70,5,10,180
0,10,0,123
0,10,1,145
0,10,2,167
0,10,3,189
0,10,4,212
0,10,5,134
0,10,6,156
0,10,7,178
0,10,8,201
0,10,9,123
0,10,10,145
0,10,11,167
0,10,12,189
0,10,13,212
0,10,14,134
0,10,15,156
0,10,16,178
0,10,17,201
0,10,18,123
0,10,19,145
0,10,20,167
0,10,21,189
0,10,22,212
0,10,23,134
0,10,24,156
0,10,25,178
0,10,26,201
0,10,27,223
0,10,28,145
0,10,29,167
0,10,30,189
0,10,31,212
0,10,32,134
0,10,33,156
0,10,34,178
0,10,35,201
0,10,36,223
0,10,37,145
0,10,38,167
0,10,39,189
0,10,40,212
0,10,41,134
0,10,42,156
0,10,43,178
0,10,44,201
0,10,45,223
0,10,46,145
0,10,47,167
0,10,48,189
0,10,49,212
0,10,50,134
0,10,51,156
0,10,52,178
0,10,53,201
0,10,54,223
0,10,55,145
0,10,56,167
0,10,57,189
0,10,58,212
0,10,59,134
0,10,60,156
0,10,61,178
0,10,62,201
0,10,63,223
20,30,40,85
20,30,40,95
20,30,40,90
0,11,0,134
0,11,1,156
0,11,2,178
0,11,3,201
0,11,4,123
0,11,5,145
0,11,6,167
0,11,7,189
0,11,8,212
0,11,9,134
0,11,10,156
0,11,11,178
0,11,12,201
0,11,13,123
0,11,14,145
0,11,15,167
0,11,16,189
0,11,17,212
0,11,18,134
0,11,19,156
0,11,20,178
0,11,21,201
0,11,22,123
0,11,23,145
0,11,24,167
0,11,25,189
0,11,26,212
0,11,27,134
0,11,28,156
0,11,29,178
0,11,30,201
0,11,31,223
0,11,32,145
0,11,33,167
0,11,34,189
0,11,35,212
0,11,36,134
0,11,37,156
0,11,38,178
0,11,39,201
0,11,40,223
0,11,41,145
0,11,42,167
0,11,43,189
0,11,44,212
0,11,45,134
0,11,46,156
0,11,47,178
0,11,48,201
0,11,49,223
0,11,50,145
0,11,51,167
0,11,52,189
0,11,53,212
0,11,54,134
0,11,55,156
0,11,56,178
0,11,57,201
0,11,58,223
0,11,59,145
0,11,60,167
0,11,61,189
0,11,62,212
0,11,63,134
-1,15,20,75
0,12,0,145
0,12,1,167
0,12,2,189
0,12,3,212
0,12,4,134
0,12,5,156
0,12,6,178
0,12,7,201
0,12,8,123
0,12,9,145
0,12,10,167
0,12,11,189
0,12,12,212
0,12,13,134
0,12,14,156
0,12,15,178
0,12,16,201
0,12,17,123
0,12,18,145
0,12,19,167
0,12,20,189
0,12,21,212
0,12,22,134
0,12,23,156
0,12,24,178
0,12,25,201
0,12,26,223
0,12,27,145
0,12,28,167
0,12,29,189
0,12,30,212
0,12,31,134
0,12,32,156
0,12,33,178
0,12,34,201
0,12,35,223
0,12,36,145
0,12,37,167
0,12,38,189
0,12,39,212
0,12,40,134
0,12,41,156
0,12,42,178
0,12,43,201
0,12,44,223
0,12,45,145
0,12,46,167
0,12,47,189
0,12,48,212
0,12,49,134
0,12,50,156
0,12,51,178
0,12,52,201
0,12,53,223
0,12,54,145
0,12,55,167
0,12,56,189
0,12,57,212
0,12,58,134
0,12,59,156
0,12,60,178
0,12,61,201
0,12,62,223
0,12,63,145
8,18,28,120
8,18,28,140
8,18,28,130
0,13,0,156
0,13,1,178
0,13,2,201
0,13,3,123
0,13,4,145
0,13,5,167
0,13,6,189
0,13,7,212
0,13,8,134
0,13,9,156
0,13,10,178
0,13,11,201
0,13,12,123
0,13,13,145
0,13,14,167
0,13,15,189
0,13,16,212
0,13,17,134
0,13,18,156
0,13,19,178
0,13,20,201
0,13,21,123
0,13,22,145
0,13,23,167
0,13,24,189
0,13,25,212
0,13,26,134
0,13,27,156
0,13,28,178
0,13,29,201
0,13,30,223
0,13,31,145
0,13,32,167
0,13,33,189
0,13,34,212
0,13,35,134
0,13,36,156
0,13,37,178
0,13,38,201
0,13,39,223
0,13,40,145
0,13,41,167
0,13,42,189
0,13,43,212
0,13,44,134
0,13,45,156
0,13,46,178
0,13,47,201
0,13,48,223
0,13,49,145
0,13,50,167
0,13,51,189
0,13,52,212
0,13,53,134
0,13,54,156
0,13,55,178
0,13,56,201
0,13,57,223
0,13,58,145
0,13,59,167
0,13,60,189
0,13,61,212
0,13,62,134
0,13,63,156
15,25,35,400
0,14,0,167
0,14,1,189
0,14,2,212
0,14,3,134
0,14,4,156
0,14,5,178
0,14,6,201
0,14,7,123
0,14,8,145
0,14,9,167
0,14,10,189
0,14,11,212
0,14,12,134
0,14,13,156
0,14,14,178
0,14,15,201
0,14,16,123
0,14,17,145
0,14,18,167
0,14,19,189
0,14,20,212
0,14,21,134
0,14,22,156
0,14,23,178
0,14,24,201
0,14,25,223
0,14,26,145
0,14,27,167
0,14,28,189
0,14,29,212
0,14,30,134
0,14,31,156
0,14,32,178
0,14,33,201
0,14,34,223
0,14,35,145
0,14,36,167
0,14,37,189
0,14,38,212
0,14,39,134
0,14,40,156
0,14,41,178
0,14,42,201
0,14,43,223
0,14,44,145
0,14,45,167
0,14,46,189
0,14,47,212
0,14,48,134
0,14,49,156
0,14,50,178
0,14,51,201
0,14,52,223
0,14,53,145
0,14,54,167
0,14,55,189
0,14,56,212
0,14,57,134
0,14,58,156
0,14,59,178
0,14,60,201
0,14,61,223
0,14,62,145
0,14,63,167
35,45,55,60
35,45,55,80
35,45,55,70
0,15,0,178
0,15,1,201
0,15,2,123
0,15,3,145
0,15,4,167
0,15,5,189
0,15,6,212
0,15,7,134
0,15,8,156
0,15,9,178
0,15,10,201
0,15,11,123
0,15,12,145
0,15,13,167
0,15,14,189
0,15,15,212
0,15,16,134
0,15,17,156
0,15,18,178
0,15,19,201
0,15,20,123
0,15,21,145
0,15,22,167
0,15,23,189
0,15,24,212
0,15,25,134
0,15,26,156
0,15,27,178
0,15,28,201
0,15,29,223
0,15,30,145
0,15,31,167
0,15,32,189
0,15,33,212
0,15,34,134
0,15,35,156
0,15,36,178
0,15,37,201
0,15,38,223
0,15,39,145
0,15,40,167
0,15,41,189
0,15,42,212
0,15,43,134
0,15,44,156
0,15,45,178
0,15,46,201
0,15,47,223
0,15,48,145
0,15,49,167
0,15,50,189
0,15,51,212
0,15,52,134
0,15,53,156
0,15,54,178
0,15,55,201
0,15,56,223
0,15,57,145
0,15,58,167
0,15,59,189
0,15,60,212
0,15,61,134
0,15,62,156
0,15,63,178
25,35,45,-50
0,16,0,189
0,16,1,212
0,16,2,134
0,16,3,156
0,16,4,178
0,16,5,201
0,16,6,123
0,16,7,145
0,16,8,167
0,16,9,189
0,16,10,212
0,16,11,134
0,16,12,156
0,16,13,178
0,16,14,201
0,16,15,123
0,16,16,145
0,16,17,167
0,16,18,189
0,16,19,212
0,16,20,134
0,16,21,156
0,16,22,178
0,16,23,201
0,16,24,223
0,16,25,145
0,16,26,167
0,16,27,189
0,16,28,212
0,16,29,134
0,16,30,156
0,16,31,178
0,16,32,201
0,16,33,223
0,16,34,145
0,16,35,167
0,16,36,189
0,16,37,212
0,16,38,134
0,16,39,156
0,16,40,178
0,16,41,201
0,16,42,223
0,16,43,145
0,16,44,167
0,16,45,189
0,16,46,212
0,16,47,134
0,16,48,156
0,16,49,178
0,16,50,201
0,16,51,223
0,16,52,145
0,16,53,167
0,16,54,189
0,16,55,212
0,16,56,134
0,16,57,156
0,16,58,178
0,16,59,201
0,16,60,223
0,16,61,145
0,16,62,167
0,16,63,189
18,28,38,115
18,28,38,125
18,28,38,120
0,17,0,201
0,17,1,123
0,17,2,145
0,17,3,167
0,17,4,189
0,17,5,212
0,17,6,134
0,17,7,156
0,17,8,178
0,17,9,201
0,17,10,123
0,17,11,145
0,17,12,167
0,17,13,189
0,17,14,212
0,17,15,134
0,17,16,156
0,17,17,178
0,17,18,201
0,17,19,123
0,17,20,145
0,17,21,167
0,17,22,189
0,17,23,212
0,17,24,134
0,17,25,156
0,17,26,178
0,17,27,201
0,17,28,223
0,17,29,145
0,17,30,167
0,17,31,189
0,17,32,212
0,17,33,134
0,17,34,156
0,17,35,178
0,17,36,201
0,17,37,223
0,17,38,145
0,17,39,167
0,17,40,189
0,17,41,212
0,17,42,134
0,17,43,156
0,17,44,178
0,17,45,201
0,17,46,223
0,17,47,145
0,17,48,167
0,17,49,189
0,17,50,212
0,17,51,134
0,17,52,156
0,17,53,178
0,17,54,201
0,17,55,223
0,17,56,145
0,17,57,167
0,17,58,189
0,17,59,212
0,17,60,134
0,17,61,156
0,17,62,178
0,17,63,201
100,50,25,155
0,18,0,212
0,18,1,134
0,18,2,156
0,18,3,178
0,18,4,201
0,18,5,123
0,18,6,145
0,18,7,167
0,18,8,189
0,18,9,212
0,18,10,134
0,18,11,156
0,18,12,178
0,18,13,201
0,18,14,123
0,18,15,145
0,18,16,167
0,18,17,189
0,18,18,212
0,18,19,134
0,18,20,156
0,18,21,178
0,18,22,201
0,18,23,123
0,18,24,145
0,18,25,167
0,18,26,189
0,18,27,212
0,18,28,134
0,18,29,156
0,18,30,178
0,18,31,201
0,18,32,223
0,18,33,145
0,18,34,167
0,18,35,189
0,18,36,212
0,18,37,134
0,18,38,156
0,18,39,178
0,18,40,201
0,18,41,223
0,18,42,145
0,18,43,167
0,18,44,189
0,18,45,212
0,18,46,134
0,18,47,156
0,18,48,178
0,18,49,201
0,18,50,223
0,18,51,145
0,18,52,167
0,18,53,189
0,18,54,212
0,18,55,134
0,18,56,156
0,18,57,178
0,18,58,201
0,18,59,223
0,18,60,145
0,18,61,167
0,18,62,189
0,18,63,212
22,32,42,105
22,32,42,115
22,32,42,110
0,19,0,123
0,19,1,145
0,19,2,167
0,19,3,189
0,19,4,212
0,19,5,134
0,19,6,156
0,19,7,178
0,19,8,201
0,19,9,123
0,19,10,145
0,19,11,167
0,19,12,189
0,19,13,212
0,19,14,134
0,19,15,156
0,19,16,178
0,19,17,201
0,19,18,123
0,19,19,145
0,19,20,167
0,19,21,189
0,19,22,212
0,19,23,134
0,19,24,156
0,19,25,178
0,19,26,201
0,19,27,223
0,19,28,145
0,19,29,167
0,19,30,189
0,19,31,212
0,19,32,134
0,19,33,156
0,19,34,178
0,19,35,201
0,19,36,223
0,19,37,145
0,19,38,167
0,19,39,189
0,19,40,212
0,19,41,134
0,19,42,156
0,19,43,178
0,19,44,201
0,19,45,223
0,19,46,145
0,19,47,167
0,19,48,189
0,19,49,212
0,19,50,134
0,19,51,156
0,19,52,178
0,19,53,201
0,19,54,223
0,19,55,145
0,19,56,167
0,19,57,189
0,19,58,212
0,19,59,134
0,19,60,156
0,19,61,178
0,19,62,201
0,19,63,223
40,50,60,500
0,20,0,134
0,20,1,156
0,20,2,178
0,20,3,201
0,20,4,123
0,20,5,145
0,20,6,167
0,20,7,189
0,20,8,212
0,20,9,134
0,20,10,156
0,20,11,178
0,20,12,201
0,20,13,123
0,20,14,145
0,20,15,167
0,20,16,189
0,20,17,212
0,20,18,134
0,20,19,156
0,20,20,178
0,20,21,201
0,20,22,123
0,20,23,145
0,20,24,167
0,20,25,189
0,20,26,212
0,20,27,134
0,20,28,156
0,20,29,178
0,20,30,201
0,20,31,223
0,20,32,145
0,20,33,167
0,20,34,189
0,20,35,212
0,20,36,134
0,20,37,156
0,20,38,178
0,20,39,201
0,20,40,223
0,20,41,145
0,20,42,167
0,20,43,189
0,20,44,212
0,20,45,134
0,20,46,156
0,20,47,178
0,20,48,201
0,20,49,223
0,20,50,145
0,20,51,167
0,20,52,189
0,20,53,212
0,20,54,134
0,20,55,156
0,20,56,178
0,20,57,201
0,20,58,223
0,20,59,145
0,20,60,167
0,20,61,189
0,20,62,212
0,20,63,134
28,38,48,92
28,38,48,98
28,38,48,95
0,21,0,145
0,21,1,167
0,21,2,189
0,21,3,212
0,21,4,134
0,21,5,156
0,21,6,178
0,21,7,201
0,21,8,123
0,21,9,145
0,21,10,167
0,21,11,189
0,21,12,212
0,21,13,134
0,21,14,156
0,21,15,178
0,21,16,201
0,21,17,123
0,21,18,145
0,21,19,167
0,21,20,189
0,21,21,212
0,21,22,134
0,21,23,156
0,21,24,178
0,21,25,201
0,21,26,223
0,21,27,145
0,21,28,167
0,21,29,189
0,21,30,212
0,21,31,134
0,21,32,156
0,21,33,178
0,21,34,201
0,21,35,223
0,21,36,145
0,21,37,167
0,21,38,189
0,21,39,212
0,21,40,134
0,21,41,156
0,21,42,178
0,21,43,201
0,21,44,223
0,21,45,145
0,21,46,167
0,21,47,189
0,21,48,212
0,21,49,134
0,21,50,156
0,21,51,178
0,21,52,201
0,21,53,223
0,21,54,145
0,21,55,167
0,21,56,189
0,21,57,212
0,21,58,134
0,21,59,156
0,21,60,178
0,21,61,201
0,21,62,223
0,21,63,145
-5,22,33,88
0,22,0,156
0,22,1,178
0,22,2,201
0,22,3,123
0,22,4,145
0,22,5,167
0,22,6,189
0,22,7,212
0,22,8,134
0,22,9,156
0,22,10,178
0,22,11,201
0,22,12,123
0,22,13,145
0,22,14,167
0,22,15,189
0,22,16,212
0,22,17,134
0,22,18,156
0,22,19,178
0,22,20,201
0,22,21,123
0,22,22,145
0,22,23,167
0,22,24,189
0,22,25,212
0,22,26,134
0,22,27,156
0,22,28,178
0,22,29,201
0,22,30,223
0,22,31,145
0,22,32,167
0,22,33,189
0,22,34,212
0,22,35,134
0,22,36,156
0,22,37,178
0,22,38,201
0,22,39,223
0,22,40,145
0,22,41,167
0,22,42,189
0,22,43,212
0,22,44,134
0,22,45,156
0,22,46,178
0,22,47,201
0,22,48,223
0,22,49,145
0,22,50,167
0,22,51,189
0,22,52,212
0,22,53,134
0,22,54,156
0,22,55,178
0,22,56,201
0,22,57,223
0,22,58,145
0,22,59,167
0,22,60,189
0,22,61,212
0,22,62,134
0,22,63,156
32,42,52,135
32,42,52,145
32,42,52,140
0,23,0,167
0,23,1,189
0,23,2,212
0,23,3,134
0,23,4,156
0,23,5,178
0,23,6,201
0,23,7,123
0,23,8,145
0,23,9,167
0,23,10,189
0,23,11,212
0,23,12,134
0,23,13,156
0,23,14,178
0,23,15,201
0,23,16,123
0,23,17,145
0,23,18,167
0,23,19,189
0,23,20,212
0,23,21,134
0,23,22,156
0,23,23,178
0,23,24,201
0,23,25,223
0,23,26,145
0,23,27,167
0,23,28,189
0,23,29,212
0,23,30,134
0,23,31,156
0,23,32,178
0,23,33,201
0,23,34,223
0,23,35,145
0,23,36,167
0,23,37,189
0,23,38,212
0,23,39,134
0,23,40,156
0,23,41,178
0,23,42,201
0,23,43,223
0,23,44,145
0,23,45,167
0,23,46,189
0,23,47,212
0,23,48,134
0,23,49,156
0,23,50,178
0,23,51,201
0,23,52,223
0,23,53,145
0,23,54,167
0,23,55,189
0,23,56,212
0,23,57,134
0,23,58,156
0,23,59,178
0,23,60,201
0,23,61,223
0,23,62,145
0,23,63,167
50,55,58,1000
0,24,0,178
0,24,1,201
0,24,2,123
0,24,3,145
0,24,4,167
0,24,5,189
0,24,6,212
0,24,7,134
0,24,8,156
0,24,9,178
0,24,10,201
0,24,11,123
0,24,12,145
0,24,13,167
0,24,14,189
0,24,15,212
0,24,16,134
0,24,17,156
0,24,18,178
0,24,19,201
0,24,20,123
0,24,21,145
0,24,22,167
0,24,23,189
0,24,24,212
0,24,25,134
0,24,26,156
0,24,27,178
0,24,28,201
0,24,29,223
0,24,30,145
0,24,31,167
0,24,32,189
0,24,33,212
0,24,34,134
0,24,35,156
0,24,36,178
0,24,37,201
0,24,38,223
0,24,39,145
0,24,40,167
0,24,41,189
0,24,42,212
0,24,43,134
0,24,44,156
0,24,45,178
0,24,46,201
0,24,47,223
0,24,48,145
0,24,49,167
0,24,50,189
0,24,51,212
0,24,52,134
0,24,53,156
0,24,54,178
0,24,55,201
0,24,56,223
0,24,57,145
0,24,58,167
0,24,59,189
0,24,60,212
0,24,61,134
0,24,62,156
0,24,63,178
42,48,54,78
42,48,54,88
42,48,54,83
0,25,0,189
0,25,1,212
0,25,2,134
0,25,3,156
0,25,4,178
0,25,5,201
0,25,6,123
0,25,7,145
0,25,8,167
0,25,9,189
0,25,10,212
0,25,11,134
0,25,12,156
0,25,13,178
0,25,14,201
0,25,15,123
0,25,16,145
0,25,17,167
0,25,18,189
0,25,19,212
0,25,20,134
0,25,21,156
0,25,22,178
0,25,23,201
0,25,24,223
0,25,25,145
0,25,26,167
0,25,27,189
0,25,28,212
0,25,29,134
0,25,30,156
0,25,31,178
0,25,32,201
0,25,33,223
0,25,34,145
0,25,35,167
0,25,36,189
0,25,37,212
0,25,38,134
0,25,39,156
0,25,40,178
0,25,41,201
0,25,42,223
0,25,43,145
0,25,44,167
0,25,45,189
0,25,46,212
0,25,47,134
0,25,48,156
0,25,49,178
0,25,50,201
0,25,51,223
0,25,52,145
0,25,53,167
0,25,54,189
0,25,55,212
0,25,56,134
0,25,57,156
0,25,58,178
0,25,59,201
0,25,60,223
0,25,61,145
0,25,62,167
0,25,63,189
65,12,18,175
0,26,0,201
0,26,1,123
0,26,2,145
0,26,3,167
0,26,4,189
0,26,5,212
0,26,6,134
0,26,7,156
0,26,8,178
0,26,9,201
0,26,10,123
0,26,11,145
0,26,12,167
0,26,13,189
0,26,14,212
0,26,15,134
0,26,16,156
0,26,17,178
0,26,18,201
0,26,19,123
0,26,20,145
0,26,21,167
0,26,22,189
0,26,23,212
0,26,24,134
0,26,25,156
0,26,26,178
0,26,27,201
0,26,28,223
0,26,29,145
0,26,30,167
0,26,31,189
0,26,32,212
0,26,33,134
0,26,34,156
0,26,35,178
0,26,36,201
0,26,37,223
0,26,38,145
