procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  671000  63000  42100  367200    15     0   120   155  1080  2050 12  5 76  5  1
 1  0  671000  63500  42300  367800     0     0   115   145  1050  2000 11  5 77  5  0
 2  0  671200  63200  42400  368000    35    15   125   150  1120  2150 13  6 74  5  0
 1  0  671800  62800  42500  368200    95    60   140   165  1200  2280 15  7 71  6  1
 2  1  674000  61500  42400  368000   380   280   185   210  1480  2650 20 10 61  8  0
 3  1  682000  57000  42000  366000  1120   840   290   320  1950  3350 28 14 49 11  0
 4  2  698000  49000  41200  362000  2180  1680   450   480  2550  4350 36 19 36 14  1
 5  2  722000  38000  39800  356000  3480  2720   640   690  3250  5500 44 24 24 17  0
 6  3  755000  27000  37500  348000  4920  3880   850   920  3900  6600 51 29 14 21  0
 7  3  795000  18000  34800  338000  6380  5020  1080  1150  4450  7550 56 33  8 26  1
 6  4  835000  12000  31500  328000  7240  5880  1220  1310  4850  8200 59 36  4 29  0
 7  4  790000  16500  33200  334000  6120  5320  1120  1220  4550  7820 57 34  7 28  1
 6  3  760000  23000  35500  341000  4780  4120   920  1020  4050  7100 52 30 11 25  0
 5  3  738000  30000  37200  346000  3680  3080   780   860  3600  6250 47 26 16 22  1
 5  2  720000  36500  38600  350000  2840  2280   640   710  3150  5450 42 22 22 18  0
 4  2  708000  42000  39800  354000  2120  1680   520   590  2750  4750 37 19 29 15  0
 3  2  698000  47000  40800  357000  1580  1240   420   480  2400  4150 32 16 36 12  1
 3  1  691000  51500  41600  360000  1140   880   340   390  2100  3650 28 13 43 10  0
 2  1  686000  55000  42200  362500   820   640   280   330  1850  3250 24 11 51  9  1
 2  1  682000  58000  42800  364500   580   450   240   290  1650  2900 20  9 59  8  0
 1  0  679000  60500  43200  366000   380   290   200   250  1480  2600 17  8 65  7  0
 1  0  677000  62500  43600  367500   240   180   175   220  1320  2350 15  7 70  6  1
 2  0  675500  64000  43900  368500   140   110   155   195  1200  2200 13  6 73  6  0
 1  0  674500  65200  44100  369300    85    65   140   180  1130  2100 12  6 75  5  0
 1  0  674000  66000  44300  369800    45    30   125   165  1080  2050 11  5 77  5  1
 1  0  673500  66500  44400  370200    25    15   120   155  1050  2000 10  5 78  5  0
 1  0  673200  67000  44500  370600     0     0   115   145  1020  1950  9  5 79  5  0
 2  1  674000  66200  44400  370400   180   125   165   190  1280  2380 15  8 68  7  1
 3  1  678000  63500  44100  369500   680   520   245   280  1720  3050 22 11 57  9  0
 4  2  688000  57000  43500  367000  1450  1120   380   410  2300  3950 30 15 45 12  0
 5  2  706000  47000  42500  363000  2620  2040   560   620  2950  5100 38 20 32 15  1
 6  3  732000  35000  40800  357000  3980  3120   780   840  3650  6300 46 25 20 19  0
 7  3  768000  24000  38500  349000  5480  4360  1020  1100  4300  7400 53 30 12 23  0
 6  4  810000  16000  35800  340000  6920  5480  1240  1320  4850  8250 57 34  6 27  1
 7  4  775000  20000  37500  345000  5840  5060  1140  1240  4520  7890 55 32  9 26  1
 6  3  748000  27000  39200  351000  4480  3920   940  1040  4050  7150 51 29 13 24  0
 5  3  728000  34000  40600  355000  3420  2880   780   870  3550  6200 46 25 18 21  1
 4  2  713000  40000  41800  358500  2620  2140   640   720  3100  5400 41 21 24 17  0
 4  2  702000  45500  42800  361500  1980  1620   520   600  2700  4700 36 18 31 14  0
 3  1  694000  50000  43600  364000  1480  1180   420   490  2350  4100 31 15 38 12  1
 2  1  688000  54000  44200  366000  1080   860   340   410  2050  3600 27 12 45 10  0
 2  1  684000  57500  44700  367800   780   620   280   350  1800  3200 23 10 53  9  1
 2  0  681000  60000  45100  369200   540   420   240   300  1600  2850 19  9 61  8  0
 1  0  678500  62000  45400  370400   360   280   200   260  1420  2550 16  7 67  7  0
 1  0  676500  63500  45700  371300   220   170   175   230  1280  2320 14  7 71  6  1
 2  0  675000  64800  45900  372000   140   110   155   205  1180  2180 12  6 74  6  0
 1  0  674000  65800  46100  372600    85    60   140   185  1120  2080 11  5 76  5  0
 1  0  673200  66500  46200  373100    45    30   130   170  1080  2020 10  5 78  5  1
 1  0  672800  67000  46300  373500    20    10   120   160  1040  1980  9  5 79  5  0
 1  0  672500  67400  46400  373800     0     0   115   150  1020  1950  9  4 80  5  0
 2  0  673000  66900  46400  373700    85    55   135   170  1150  2120 12  6 75  6  1
 2  1  675500  65000  46200  373200   420   320   190   230  1480  2580 18  9 64  8  0
 3  1  682000  60500  45800  371500  1020   780   310   350  1950  3350 26 13 51 11  0
 4  2  695000  52000  45000  368000  1920  1480   480   520  2550  4350 34 18 38 14  1
 5  2  717000  41000  43800  363000  3180  2480   680   740  3250  5500 42 23 26 17  0
 6  3  748000  29000  41800  356000  4640  3680   920  1000  3900  6600 49 28 16 21  0
 7  3  786000  19000  39200  347000  6180  4920  1180  1280  4500  7650 55 32  9 25  1
 6  4  825000  13000  36200  337000  7380  5940  1340  1420  4950  8350 59 36  4 29  0
 7  4  795000  17500  38000  343000  6280  5440  1240  1350  4650  7980 57 34  7 28  1
 6  3  770000  24500  39800  348500  4980  4280   980  1100  4150  7250 53 30 11 25  0
 5  3  750000  31000  41200  353000  3880  3240   820   920  3700  6400 48 27 15 22  1
 5  2  734000  37000  42400  356500  2980  2480   680   780  3250  5650 43 23 21 19  0
 4  2  722000  42500  43400  359500  2280  1820   560   650  2850  4950 38 20 28 16  0
 3  2  712000  47500  44200  362000  1740  1360   450   540  2500  4350 33 17 35 13  1
 3  1  704000  52000  44900  364500  1280   990   370   450  2200  3850 29 14 42 11  0
 2  1  698000  55500  45400  366500   920   720   300   380  1950  3400 25 11 50  9  1
 2  1  694000  58500  45900  368200   680   530   250   330  1750  3050 21  9 58  8  0
 1  0  690500  61000  46300  369600   480   370   215   290  1580  2750 18  8 65  7  0
 1  0  688000  63000  46600  370800   320   240   185   260  1420  2500 15  7 70  6  1
 2  0  686000  64500  46900  371800   200   150   165   230  1300  2320 13  6 73  6  0
 1  0  684500  65800  47100  372600   120    90   145   210  1200  2180 12  6 75  5  0
 1  0  683500  66800  47300  373200    70    50   135   195  1130  2080 11  5 77  5  1
 1  0  682800  67500  47400  373700    35    20   125   180  1080  2020 10  5 78  5  0
 1  0  682300  68000  47500  374100    15     0   120   170  1050  1980  9  5 79  5  0
 1  0  682000  68400  47600  374400     0     0   115   160  1020  1950  9  4 80  5  1
 2  1  683000  67500  47500  374200   180   130   170   200  1320  2420 16  8 67  7  0
 3  1  687500  64000  47200  373000   780   600   280   310  1850  3200 24 12 54 10  0
 4  2  698000  56500  46500  370000  1620  1260   440   480  2450  4200 32 17 41 13  1
 5  2  717000  45500  45200  365000  2880  2260   650   710  3150  5400 40 22 29 16  0
 6  3  745000  33000  43300  358000  4340  3450   890   970  3850  6550 48 27 18 20  0
 7  3  782000  22000  40800  349000  5940  4780  1160  1260  4450  7600 54 31 10 24  1
 6  4  820000  14500  37800  339000  7180  5820  1340  1440  4900  8300 58 35  5 28  0
 7  4  792000  18000  39500  344500  6140  5350  1240  1370  4600  7950 56 33  8 27  1
 6  3  768000  25000  41200  350000  4820  4180   990  1120  4100  7200 52 29 12 25  0
 5  3  748000  32000  42600  354500  3720  3140   820   930  3650  6350 47 26 16 22  1
 4  2  732000  38500  43800  358000  2860  2380   680   790  3200  5600 42 22 22 18  0
 4  2  720000  44000  44800  361000  2180  1740   560   670  2800  4900 37 19 29 15  0
 3  2  710000  49000  45600  363500  1640  1280   450   560  2450  4300 32 16 36 13  1
 3  1  702000  53500  46200  365800  1200   930   370   470  2150  3800 28 13 43 11  0
 2  1  696000  57000  46700  367600   880   690   300   400  1900  3400 24 11 51  9  1
 2  1  691500  60000  47100  369200   640   500   250   350  1700  3050 20  9 59  8  0
 1  0  688000  62500  47500  370500   450   350   215   310  1530  2750 17  8 65  7  0
 1  0  685500  64500  47800  371600   290   220   185   280  1390  2500 14  7 70  6  1
 2  0  683500  66000  48000  372500   180   140   165   250  1270  2320 12  6 73  6  0
 1  0  682000  67200  48200  373200   110    80   145   230  1180  2180 11  6 75  5  0
 1  0  681000  68200  48300  373800    60    45   135   210  1120  2080 10  5 77  5  1
 1  0  680200  68900  48400  374200    30    15   125   195  1070  2020  9  5 78  5  0
 1  0  679700  69400  48500  374600    10     0   120   185  1040  1980  9  5 79  5  0
 1  0  679500  69800  48600  374900     0     0   115   175  1020  1950  8  4 80  5  1
