fraud,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
0,187.65,34878,1.23,-0.45,0.34,1,0.78,-1.12,0.89,0.67,5,1.45,-0.34,0.56,-0.78,2,0.89,0.45,-0.67,4
0,54.87,45989,-0.56,0.89,1.12,3,1.34,-0.67,0.78,0.45,4,0.67,-1.23,0.89,-0.34,6,1.23,0.67,-0.89,1
0,176.23,57090,0.78,-1.34,0.45,5,-0.67,0.56,1.23,0.34,2,0.89,-0.45,1.12,-0.56,3,0.45,1.34,-1.23,5
0,98.76,68101,1.34,-0.89,0.78,2,0.45,-0.34,0.67,1.12,1,-0.78,0.67,1.34,-0.89,4,0.56,0.89,-0.45,2
0,245.32,79212,-0.67,0.56,1.23,4,1.12,-0.78,0.45,0.89,3,1.34,-0.56,0.78,-1.12,5,0.34,0.67,-0.56,3
0,71.45,12767,0.45,-0.34,0.89,1,-0.45,1.23,0.56,1.34,5,0.23,-0.67,1.12,-0.45,2,1.45,0.78,-0.34,4
0,163.78,23878,1.12,-0.78,0.34,3,0.89,-0.56,1.45,0.67,4,0.56,-0.89,0.45,-0.67,6,0.78,1.12,-0.78,1
0,87.21,34989,-0.89,1.23,0.67,5,1.23,-1.34,0.34,0.78,2,1.12,-0.34,0.89,-1.23,3,0.67,0.56,-1.12,5
0,209.87,46090,0.56,-0.67,1.12,2,-0.34,0.89,1.23,0.45,6,0.78,-1.12,1.34,-0.78,4,0.89,0.34,-0.67,2
0,64.32,57101,1.34,-0.45,0.56,4,0.67,-0.78,0.89,1.12,3,-0.56,1.23,0.67,-0.34,1,1.12,0.45,-0.89,3
0,191.54,68212,-0.78,0.89,0.78,1,1.45,-0.67,0.56,0.34,5,0.89,-0.45,1.12,-0.56,2,0.34,1.34,-0.45,4
0,76.98,79323,0.67,-1.12,0.45,3,-0.56,1.12,0.78,0.89,4,0.45,-0.78,0.56,-0.89,5,1.23,0.89,-0.56,1
0,154.21,12878,1.23,-0.34,0.89,5,0.34,-0.89,1.34,0.67,2,1.34,-0.56,0.78,-1.23,3,0.56,0.67,-0.34,5
0,89.65,23989,-0.45,0.78,1.12,2,1.12,-0.45,0.67,1.23,1,0.67,-1.34,0.89,-0.67,4,0.78,1.12,-0.78,2
0,218.43,35090,0.89,-0.56,0.34,4,-0.67,0.56,1.12,0.78,3,1.23,-0.67,1.45,-0.45,5,0.45,0.89,-1.12,3
0,67.76,46101,-0.34,1.34,0.67,1,0.78,-1.23,0.45,1.34,5,-0.89,1.12,0.34,-0.78,2,1.34,0.56,-0.67,4
0,183.21,57212,1.12,-0.67,0.56,3,1.45,-0.34,0.89,0.56,4,0.34,-0.89,1.23,-1.12,6,0.67,0.78,-0.45,1
0,54.98,68323,-0.56,0.89,1.23,5,-0.78,0.67,1.34,0.45,2,0.56,-0.45,0.67,-0.34,3,0.89,1.34,-0.89,5
0,172.34,79434,0.78,-1.23,0.45,2,0.56,-0.67,0.78,1.12,1,1.12,-0.56,0.89,-0.78,4,1.23,0.45,-0.56,2
0,96.54,12989,1.34,-0.45,0.78,4,0.89,-0.89,0.56,0.89,3,-0.67,1.34,1.12,-0.89,5,0.34,0.89,-0.34,3
0,231.76,24090,-0.89,0.67,1.34,1,1.23,-1.12,0.34,0.67,5,1.45,-0.34,0.56,-1.23,2,0.78,0.67,-0.78,4
0,73.21,35101,0.45,-0.34,0.89,3,-0.45,0.78,1.12,1.23,4,0.67,-0.78,1.45,-0.45,6,1.12,0.34,-1.12,1
0,159.87,46212,1.23,-0.78,0.34,5,0.34,-0.56,1.23,0.78,2,0.89,-1.23,0.67,-0.67,3,0.45,1.12,-0.67,5
0,85.43,57323,-0.67,1.12,0.67,2,1.12,-0.34,0.45,0.34,6,1.34,-0.67,0.89,-0.56,4,0.56,0.78,-0.89,2
0,207.65,68434,0.56,-0.89,1.12,4,-0.56,0.89,0.78,0.89,3,0.78,-0.89,1.34,-1.12,5,0.67,0.56,-0.45,3
0,62.98,79545,1.45,-0.56,0.56,1,0.67,-1.34,0.89,1.12,5,-0.45,1.12,0.45,-0.78,2,1.23,0.89,-0.56,4
0,189.21,13090,-0.34,0.78,0.78,3,1.34,-0.67,1.12,0.67,4,0.56,-0.45,0.78,-0.34,6,0.89,1.23,-0.34,1
0,78.76,24101,0.89,-1.12,0.45,5,-0.78,1.23,0.34,1.34,2,1.12,-0.56,1.23,-0.89,3,0.34,0.67,-1.23,5
0,167.43,35212,1.12,-0.34,0.89,2,0.45,-0.89,0.67,0.56,1,0.67,-1.12,0.89,-0.67,4,0.78,1.34,-0.78,2
0,92.87,46323,-0.78,0.56,1.23,4,0.89,-0.45,1.34,0.78,3,1.23,-0.34,1.12,-1.12,5,1.12,0.45,-0.67,3
0,224.32,57434,0.67,-0.67,0.34,1,1.23,-0.78,0.56,0.89,5,-0.89,0.67,1.45,-0.45,2,0.56,0.89,-0.56,4
0,69.54,68545,-0.45,1.23,0.67,3,-0.56,1.12,0.78,1.23,4,0.34,-0.67,0.56,-0.78,6,1.34,0.78,-0.89,1
0,181.76,79656,1.34,-0.89,0.56,5,0.78,-0.34,1.12,0.67,2,0.89,-0.78,0.34,-0.34,3,0.67,1.12,-0.45,5
0,56.21,13201,-0.56,0.45,1.12,2,1.12,-1.23,0.45,0.34,6,1.45,-0.56,0.89,-0.56,4,0.78,0.56,-1.12,2
0,178.98,24212,0.78,-0.34,0.78,4,-0.67,0.56,0.89,1.12,3,0.56,-0.89,1.23,-0.89,5,0.89,0.34,-0.34,3
0,94.32,35323,1.23,-0.78,0.45,1,0.34,-0.67,1.34,0.78,5,1.12,-0.45,0.67,-1.23,2,1.23,0.67,-0.78,4
0,236.54,46434,-0.89,1.12,0.89,3,1.45,-0.56,0.56,0.89,4,0.67,-1.34,1.12,-0.67,6,0.34,0.89,-0.67,1
0,71.87,57545,0.45,-0.56,1.23,5,-0.45,0.89,0.34,1.34,2,0.78,-0.67,1.45,-0.45,3,0.56,1.23,-0.89,5
0,163.21,68656,1.12,-0.67,0.34,2,0.89,-0.78,0.78,0.67,1,1.34,-0.34,0.56,-0.78,4,0.67,0.78,-0.56,2
0,88.76,79767,-0.67,0.89,0.67,4,1.23,-1.12,1.12,0.45,3,0.89,-0.56,0.89,-0.34,5,1.12,0.45,-0.34,3
0,215.43,13312,0.56,-1.23,1.12,1,-0.34,0.67,0.67,0.89,5,0.45,-0.78,1.34,-0.56,2,0.78,0.89,-1.12,4
0,64.98,24323,1.34,-0.45,0.56,3,0.67,-0.89,0.45,1.12,4,0.56,-1.23,0.78,-0.89,6,1.34,0.56,-0.78,1
0,192.21,35434,-0.78,0.78,0.78,5,1.12,-0.45,0.89,0.78,2,1.23,-0.67,1.12,-1.12,3,0.89,0.67,-0.45,5
0,75.54,46545,0.89,-0.34,0.45,2,-0.56,1.34,1.23,0.56,6,0.67,-0.89,0.45,-0.67,4,0.34,1.12,-0.56,2
0,157.87,57656,1.23,-0.89,0.89,4,0.45,-0.56,0.56,0.34,3,0.89,-0.34,0.67,-0.45,5,0.78,1.34,-0.89,3
0,91.32,68767,-0.45,1.12,1.23,1,1.34,-0.67,0.78,1.23,5,1.12,-0.45,0.89,-0.78,2,1.23,0.89,-0.67,4
0,228.76,79878,0.67,-0.56,0.34,3,-0.78,0.89,1.34,0.67,4,0.34,-1.12,1.23,-0.34,6,0.56,0.67,-1.23,1
0,68.21,13423,1.34,-0.67,0.67,5,0.56,-1.23,0.89,0.89,2,0.78,-0.56,0.56,-0.56,3,0.89,0.78,-0.34,5
0,184.98,24534,-0.56,0.45,1.12,2,1.23,-0.34,0.34,1.12,1,1.45,-0.78,0.78,-0.89,4,1.12,0.45,-0.78,2
0,57.43,35645,0.78,-1.12,0.78,4,-0.67,0.67,0.67,0.78,3,0.56,-0.67,1.34,-1.12,5,0.67,0.56,-0.67,3
1,5234.56,78234,2.45,-2.34,3.12,9,2.67,-2.89,2.34,2.78,8,-2.45,2.89,2.56,-2.67,7,2.34,2.12,-2.45,9
0,173.54,46756,1.12,-0.34,0.45,1,0.89,-0.89,1.12,0.56,5,0.67,-0.45,0.89,-0.67,2,0.34,1.23,-0.45,4
0,96.87,57867,-0.89,0.78,0.89,3,1.34,-1.12,0.45,0.34,4,1.23,-0.34,1.12,-0.45,6,0.78,0.89,-0.56,1
0,239.21,68978,0.45,-0.67,1.23,5,-0.45,0.56,0.78,1.23,2,0.89,-0.56,1.45,-0.78,3,1.12,0.67,-0.89,5
0,72.76,80089,1.23,-0.89,0.34,2,0.67,-0.78,1.34,0.67,6,1.34,-0.67,0.67,-0.34,4,0.56,0.34,-0.67,2
0,165.32,13534,-0.67,1.12,0.67,4,1.12,-0.56,0.56,0.89,3,0.78,-0.89,0.89,-1.12,5,0.89,0.78,-0.34,3
0,89.98,24645,0.56,-0.45,1.12,1,-0.34,0.89,0.89,1.12,5,0.45,-1.23,1.23,-0.56,2,1.34,1.12,-1.12,4
0,217.43,35756,1.34,-0.78,0.56,3,0.78,-0.67,1.12,0.78,4,0.67,-0.34,0.56,-0.89,6,0.67,0.89,-0.78,1
0,66.21,46867,-0.78,0.56,0.78,5,1.23,-0.45,0.67,0.34,2,1.12,-0.78,0.78,-1.23,3,0.89,0.56,-0.45,5
0,188.76,57978,0.89,-1.23,0.45,2,-0.56,1.12,0.34,0.89,1,0.34,-0.67,1.34,-0.67,4,1.23,0.34,-0.56,2
0,78.54,69089,1.12,-0.34,0.89,4,0.45,-0.89,0.78,1.23,3,0.89,-0.45,0.89,-0.45,5,0.56,0.67,-0.89,3
0,161.87,80190,-0.45,0.67,1.23,1,1.34,-1.12,1.12,0.67,5,1.23,-0.56,1.12,-0.78,2,0.34,1.12,-0.67,4
0,93.21,13645,0.67,-0.89,0.34,3,-0.78,0.56,0.56,0.34,4,0.67,-1.34,0.67,-0.34,6,0.78,1.34,-1.23,1
0,230.98,24756,1.23,-0.56,0.67,5,0.89,-0.34,0.89,1.12,2,0.56,-0.67,0.45,-0.56,3,1.12,0.89,-0.34,5
0,69.32,35867,-0.56,1.12,1.12,2,1.12,-0.78,1.34,0.78,6,1.34,-0.89,0.89,-0.89,4,0.89,0.45,-0.78,2
0,186.54,46978,0.78,-0.67,0.78,4,-0.45,0.67,0.67,0.89,3,0.78,-0.45,1.23,-1.12,5,0.67,0.78,-0.67,3
0,75.87,58089,1.34,-0.45,0.45,1,0.56,-1.23,0.45,1.12,5,0.89,-0.56,0.78,-0.67,2,1.23,0.56,-0.45,4
1,6789.23,45678,2.67,-2.56,3.45,10,2.89,-3.12,2.67,2.34,9,-2.78,3.12,2.89,-2.34,8,2.56,2.45,-2.67,10
0,158.21,69190,-0.89,0.89,0.89,3,1.23,-0.67,0.89,0.67,4,1.12,-0.34,1.34,-0.45,6,0.34,1.12,-0.56,1
0,91.76,80291,0.45,-1.12,1.23,5,-0.67,0.89,1.12,0.34,2,0.67,-0.78,0.56,-0.78,3,0.89,1.34,-0.89,5
0,224.32,13756,1.12,-0.34,0.34,2,0.34,-0.56,0.78,0.89,1,1.34,-1.12,0.67,-0.34,4,1.12,0.67,-0.67,2
0,67.98,24867,-0.67,0.78,0.67,4,1.45,-0.89,1.34,1.12,3,0.89,-0.56,0.89,-1.12,5,0.56,0.34,-0.34,3
0,179.43,35978,0.56,-0.89,1.12,1,-0.34,0.67,0.56,0.78,5,0.45,-0.67,1.12,-0.56,2,0.78,0.89,-1.12,4
0,94.21,47089,1.23,-0.56,0.56,3,0.89,-0.45,0.67,0.34,4,0.67,-0.89,1.45,-0.89,6,0.89,1.23,-0.78,1
0,237.76,58190,-0.78,1.23,0.78,5,1.12,-1.23,0.89,1.23,2,1.23,-0.45,0.78,-1.23,3,1.34,0.56,-0.45,5
0,71.54,69291,0.89,-0.67,0.45,2,-0.56,0.56,1.23,0.67,6,0.56,-0.78,0.34,-0.67,4,0.67,0.78,-0.56,2
0,163.87,80392,1.34,-0.45,0.89,4,0.67,-0.67,0.78,0.89,3,0.78,-0.34,0.89,-0.45,5,0.34,1.34,-0.89,3
0,88.32,13867,-0.45,0.56,1.23,1,1.23,-0.89,1.12,1.12,5,1.12,-0.56,1.23,-0.78,2,0.89,0.89,-0.67,4
0,215.98,24978,0.67,-1.12,0.34,3,-0.78,1.12,0.56,0.78,4,0.89,-1.23,0.67,-0.34,6,1.23,0.45,-1.23,1
0,64.43,36089,1.12,-0.34,0.67,5,0.45,-0.34,0.89,0.34,2,0.34,-0.67,0.56,-0.56,3,0.56,0.67,-0.34,5
0,192.21,47190,-0.56,0.89,1.12,2,1.34,-0.56,1.34,1.12,1,1.45,-0.89,0.78,-0.89,4,0.78,1.12,-0.78,2
0,76.76,58291,0.78,-0.78,0.78,4,-0.67,0.78,0.67,0.67,3,0.67,-0.45,1.34,-1.12,5,1.12,0.89,-0.67,3
0,168.54,69392,1.23,-0.89,0.45,1,0.56,-1.12,0.45,0.89,5,0.89,-0.34,0.89,-0.67,2,0.89,0.56,-0.45,4
0,91.87,80493,-0.89,1.12,0.89,3,1.12,-0.78,0.89,1.23,4,1.23,-0.67,1.12,-0.45,6,0.45,0.78,-0.56,1
0,229.32,13978,0.45,-0.56,1.23,5,-0.45,0.67,1.23,0.78,2,0.56,-0.56,1.45,-0.78,3,0.67,1.23,-0.89,5
0,68.98,25089,1.34,-0.67,0.34,2,0.89,-0.89,0.56,0.34,6,1.34,-1.12,0.67,-0.34,4,0.34,1.34,-0.67,2
0,185.43,36190,-0.67,0.45,0.67,4,1.23,-0.45,0.78,1.12,3,0.78,-0.34,0.89,-1.12,5,0.89,0.67,-0.34,3
0,77.21,47291,0.56,-1.23,1.12,1,-0.34,0.89,1.12,0.67,5,0.67,-0.78,1.23,-0.56,2,1.23,0.34,-1.12,4
0,161.76,58392,1.12,-0.34,0.56,3,0.78,-0.67,0.89,0.89,4,0.45,-0.89,0.56,-0.89,6,0.56,0.89,-0.78,1
0,93.54,69493,-0.78,0.78,0.78,5,1.34,-1.23,0.67,1.12,2,1.12,-0.56,0.78,-1.23,3,0.78,1.12,-0.45,5
0,236.87,80594,0.89,-0.89,0.45,2,-0.56,0.56,0.34,0.78,1,0.89,-0.67,1.34,-0.67,4,1.34,0.56,-0.56,2
0,71.32,14089,1.23,-0.45,0.89,4,0.67,-0.78,0.45,0.34,3,0.34,-0.45,0.89,-0.45,5,0.67,0.78,-0.89,3
0,163.98,25190,-0.45,0.67,1.23,1,1.12,-0.56,1.12,1.23,5,0.78,-0.34,1.12,-0.78,2,0.89,1.34,-0.67,4
0,88.43,36291,0.67,-1.12,0.34,3,-0.78,0.89,0.78,0.67,4,1.23,-1.23,0.67,-0.34,6,1.12,0.89,-1.23,1
0,218.21,47392,1.34,-0.34,0.67,5,0.45,-0.34,0.56,0.89,2,0.56,-0.67,0.45,-0.56,3,0.34,0.67,-0.34,5
0,65.76,58493,-0.56,0.89,1.12,2,1.23,-0.89,1.34,1.12,6,1.34,-0.89,0.89,-0.89,4,0.67,0.45,-0.78,2
0,187.54,69594,0.78,-0.78,0.78,4,-0.67,0.67,0.67,0.78,3,0.89,-0.45,1.23,-1.12,5,0.89,0.78,-0.67,3
0,79.87,80695,1.12,-0.89,0.45,1,0.56,-1.12,0.45,0.34,5,0.67,-0.56,0.78,-0.67,2,1.23,1.12,-0.45,4
1,7234.67,23456,2.89,-2.78,3.23,9,3.12,-2.67,2.45,3.12,10,-2.34,2.67,3.12,-2.89,8,2.78,2.89,-2.56,9
0,159.21,14200,-0.89,1.12,0.89,3,1.34,-0.67,0.89,0.67,4,1.12,-0.78,1.34,-0.45,6,0.56,1.23,-0.56,1
0,92.76,25301,0.45,-0.56,1.23,5,-0.45,0.89,1.12,1.23,2,0.89,-0.89,0.56,-0.78,3,0.78,0.89,-0.89,5
0,225.32,36402,1.23,-0.67,0.34,2,0.89,-0.56,0.78,0.78,1,1.34,-1.12,0.67,-0.34,4,1.12,0.56,-0.67,2
0,68.98,47503,-0.67,0.45,0.67,4,1.12,-0.78,1.34,0.89,3,0.78,-0.34,0.89,-1.12,5,0.89,0.34,-0.34,3
0,181.43,58604,0.56,-1.23,1.12,1,-0.34,0.67,0.56,1.12,5,0.45,-0.67,1.12,-0.56,2,0.34,0.78,-1.12,4
0,95.21,69705,1.34,-0.34,0.56,3,0.78,-0.89,0.67,0.67,4,0.67,-0.45,1.45,-0.89,6,0.67,1.34,-0.78,1
0,238.76,80806,-0.78,0.78,0.78,5,1.23,-1.23,0.89,0.34,2,1.12,-0.56,0.78,-1.23,3,1.23,0.67,-0.45,5
0,72.54,14311,0.89,-0.89,0.45,2,-0.56,0.56,1.23,1.23,6,0.34,-0.78,0.34,-0.67,4,0.56,0.89,-0.56,2
0,164.87,25412,1.12,-0.45,0.89,4,0.67,-0.67,0.78,0.78,3,0.89,-0.34,0.89,-0.45,5,0.78,1.12,-0.89,3
0,89.32,36513,-0.45,0.67,1.23,1,1.34,-0.89,1.12,0.89,5,1.23,-0.56,1.23,-0.78,2,1.34,0.45,-0.67,4
0,217.98,47614,0.67,-1.12,0.34,3,-0.78,1.12,0.56,1.12,4,0.67,-1.23,0.67,-0.34,6,0.89,0.67,-1.23,1
0,65.43,58715,1.23,-0.34,0.67,5,0.45,-0.34,0.89,0.67,2,0.56,-0.67,0.56,-0.56,3,0.67,0.89,-0.34,5
0,193.21,69816,-0.56,0.89,1.12,2,1.12,-0.56,1.34,0.34,1,1.45,-0.89,0.78,-0.89,4,0.34,1.23,-0.78,2
0,77.76,80917,0.78,-0.78,0.78,4,-0.67,0.78,0.67,1.23,3,0.78,-0.45,1.34,-1.12,5,0.89,0.78,-0.67,3
0,169.54,14422,1.34,-0.89,0.45,1,0.56,-1.12,0.45,0.78,5,0.67,-0.34,0.89,-0.67,2,1.12,0.56,-0.45,4
0,92.87,25523,-0.89,1.12,0.89,3,1.23,-0.78,0.89,0.89,4,1.12,-0.67,1.12,-0.45,6,0.67,0.89,-0.56,1
0,230.32,36624,0.45,-0.56,1.23,5,-0.45,0.67,1.23,1.12,2,0.89,-0.56,1.45,-0.78,3,0.56,1.34,-0.89,5
0,69.98,47725,1.12,-0.67,0.34,2,0.89,-0.89,0.56,0.67,6,1.34,-1.12,0.67,-0.34,4,0.78,0.89,-0.67,2
0,186.43,58826,-0.67,0.45,0.67,4,1.34,-0.45,0.78,0.34,3,0.67,-0.34,0.89,-1.12,5,1.12,0.67,-0.34,3
0,78.21,69927,0.56,-1.23,1.12,1,-0.34,0.89,1.12,1.23,5,0.78,-0.78,1.23,-0.56,2,0.89,0.45,-1.12,4
0,162.76,81028,1.23,-0.34,0.56,3,0.78,-0.67,0.89,0.78,4,0.45,-0.89,0.56,-0.89,6,0.34,1.12,-0.78,1
0,94.54,14533,-0.78,0.78,0.78,5,1.12,-1.23,0.67,0.89,2,0.89,-0.56,0.78,-1.23,3,0.67,1.23,-0.45,5
0,237.87,25634,0.89,-0.89,0.45,2,-0.56,0.56,0.34,1.12,1,1.12,-0.67,1.34,-0.67,4,1.23,0.78,-0.56,2
0,72.32,36735,1.34,-0.45,0.89,4,0.67,-0.78,0.45,0.67,3,0.56,-0.45,0.89,-0.45,5,0.89,0.89,-0.89,3
0,164.98,47836,-0.45,0.67,1.23,1,1.23,-0.56,1.12,0.34,5,0.67,-0.34,1.12,-0.78,2,1.12,1.23,-0.67,4
0,89.43,58937,0.67,-1.12,0.34,3,-0.78,0.89,0.78,1.23,4,1.34,-1.23,0.67,-0.34,6,0.56,1.34,-1.23,1
0,219.21,70038,1.12,-0.34,0.67,5,0.45,-0.34,0.56,0.78,2,0.78,-0.67,0.45,-0.56,3,0.78,0.56,-0.34,5
0,66.76,81139,-0.56,0.89,1.12,2,1.34,-0.89,1.34,0.89,6,1.23,-0.89,0.89,-0.89,4,0.89,0.67,-0.78,2
0,188.54,14644,0.78,-0.78,0.78,4,-0.67,0.67,0.67,1.12,3,0.67,-0.45,1.23,-1.12,5,1.34,0.89,-0.67,3
0,80.87,25745,1.23,-0.89,0.45,1,0.56,-1.12,0.45,0.67,5,0.89,-0.56,0.78,-0.67,2,0.67,1.12,-0.45,4
1,8456.78,56789,3.12,-2.89,3.56,10,2.78,-2.45,2.89,2.67,9,-2.56,3.23,2.78,-3.12,8,2.34,3.12,-2.78,10
0,160.21,36846,-0.89,1.12,0.89,3,1.12,-0.67,0.89,0.78,4,1.34,-0.78,1.34,-0.45,6,0.78,1.12,-0.56,1
0,93.76,47947,0.45,-0.56,1.23,5,-0.45,0.89,1.12,0.34,2,0.67,-0.89,0.56,-0.78,3,0.89,0.78,-0.89,5
0,226.32,59048,1.34,-0.67,0.34,2,0.89,-0.56,0.78,1.23,1,1.12,-1.12,0.67,-0.34,4,1.23,0.67,-0.67,2
0,69.98,70149,-0.67,0.45,0.67,4,1.23,-0.78,1.34,0.78,3,0.89,-0.34,0.89,-1.12,5,0.56,0.45,-0.34,3
0,182.43,81250,0.56,-1.23,1.12,1,-0.34,0.67,0.56,0.89,5,0.34,-0.67,1.12,-0.56,2,0.67,0.89,-1.12,4
0,96.21,14755,1.12,-0.34,0.56,3,0.78,-0.89,0.67,1.12,4,0.78,-0.45,1.45,-0.89,6,0.89,1.23,-0.78,1
0,239.76,25856,-0.78,0.78,0.78,5,1.34,-1.23,0.89,0.67,2,1.23,-0.56,0.78,-1.23,3,1.12,0.89,-0.45,5
0,73.54,36957,0.89,-0.89,0.45,2,-0.56,0.56,1.23,0.34,6,0.56,-0.78,0.34,-0.67,4,0.34,1.34,-0.56,2
0,165.87,48058,1.23,-0.45,0.89,4,0.67,-0.67,0.78,1.23,3,0.67,-0.34,0.89,-0.45,5,0.67,0.89,-0.89,3
0,90.32,59159,-0.45,0.67,1.23,1,1.12,-0.89,1.12,0.78,5,1.12,-0.56,1.23,-0.78,2,1.23,0.56,-0.67,4
0,218.98,70260,0.67,-1.12,0.34,3,-0.78,1.12,0.56,0.89,4,0.89,-1.23,0.67,-0.34,6,1.34,0.78,-1.23,1
0,66.43,81361,1.34,-0.34,0.67,5,0.45,-0.34,0.89,1.12,2,0.34,-0.67,0.56,-0.56,3,0.56,1.12,-0.34,5
0,194.21,14866,-0.56,0.89,1.12,2,1.23,-0.56,1.34,0.67,1,1.34,-0.89,0.78,-0.89,4,0.78,0.89,-0.78,2
0,78.76,25967,0.78,-0.78,0.78,4,-0.67,0.78,0.67,0.34,3,0.56,-0.45,1.34,-1.12,5,1.12,0.67,-0.67,3
0,170.54,37068,1.12,-0.89,0.45,1,0.56,-1.12,0.45,1.23,5,0.78,-0.34,0.89,-0.67,2,0.89,0.78,-0.45,4
0,93.87,48169,-0.89,1.12,0.89,3,1.34,-0.78,0.89,0.78,4,1.23,-0.67,1.12,-0.45,6,0.34,1.12,-0.56,1
