Frame 1 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 7 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 8 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 8 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 9 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 9 | AS_ID: BLAS_005 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 10 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 10 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 11 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 11 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 12 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 12 | AS_ID: TLAS_001 | Type: TLAS | Operation: BUILD | Change: GEOMETRY | Memory: 131072 | Vertices: 256
Frame 13 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 13 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 14 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 14 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 15 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 15 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 16 | AS_ID: BLAS_006 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 1048576 | Vertices: 2048
Frame 16 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 17 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 17 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 18 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 18 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 19 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 19 | AS_ID: BLAS_005 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 20 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 20 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 21 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 21 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 22 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 22 | AS_ID: TLAS_002 | Type: TLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 262144 | Vertices: 512
Frame 23 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 23 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 24 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 24 | AS_ID: BLAS_007 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 25 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 25 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 26 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 26 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 27 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 27 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 28 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 28 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 29 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 29 | AS_ID: BLAS_006 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 30 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 30 | AS_ID: TLAS_002 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 262144 | Vertices: 512
Frame 31 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 31 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 32 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 32 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 33 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 33 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 34 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 34 | AS_ID: BLAS_008 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 1048576 | Vertices: 2048
Frame 35 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 35 | AS_ID: BLAS_007 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 36 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 36 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 37 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 37 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 38 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 38 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 39 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 39 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 40 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 40 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 41 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 41 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 42 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 42 | AS_ID: TLAS_002 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 262144 | Vertices: 512
Frame 43 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 43 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 44 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 44 | AS_ID: BLAS_009 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 45 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 45 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 46 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 46 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 47 | AS_ID: BLAS_005 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 47 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 48 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 48 | AS_ID: TLAS_001 | Type: TLAS | Operation: BUILD | Change: GEOMETRY | Memory: 131072 | Vertices: 256
Frame 49 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 49 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 50 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 50 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 51 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 51 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 52 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 52 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 53 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 53 | AS_ID: BLAS_010 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 262144 | Vertices: 512
Frame 54 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 54 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 55 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 55 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 56 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 56 | AS_ID: TLAS_002 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 262144 | Vertices: 512
Frame 57 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 57 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 58 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 58 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 59 | AS_ID: BLAS_008 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 59 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 60 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 60 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 61 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 61 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 62 | AS_ID: BLAS_007 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 62 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 63 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 63 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 64 | AS_ID: BLAS_005 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 64 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 65 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 65 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 66 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 66 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 67 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 67 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 68 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 68 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 69 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 69 | AS_ID: TLAS_002 | Type: TLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 70 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 70 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 71 | AS_ID: BLAS_006 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 1048576 | Vertices: 3072
Frame 71 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 72 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 72 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 73 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 73 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 74 | AS_ID: BLAS_009 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 74 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 3072
Frame 75 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 75 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 76 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 76 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 77 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 77 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 78 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 78 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 79 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 79 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 80 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 3072
Frame 80 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 81 | AS_ID: BLAS_008 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 81 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 82 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 82 | AS_ID: TLAS_002 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 262144 | Vertices: 512
Frame 83 | AS_ID: BLAS_010 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 83 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 84 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 84 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 85 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 85 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 3072
Frame 86 | AS_ID: BLAS_005 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 86 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 87 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 87 | AS_ID: BLAS_011 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 88 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 88 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 89 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 89 | AS_ID: BLAS_011 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 90 | AS_ID: BLAS_007 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 90 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 91 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 91 | AS_ID: BLAS_009 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 92 | AS_ID: BLAS_006 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 3072
Frame 92 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 93 | AS_ID: BLAS_008 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 93 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 94 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 94 | AS_ID: BLAS_011 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 95 | AS_ID: BLAS_010 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 95 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 96 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 96 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 97 | AS_ID: BLAS_009 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 97 | AS_ID: TLAS_002 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 262144 | Vertices: 512
Frame 98 | AS_ID: BLAS_006 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 3072
Frame 98 | AS_ID: BLAS_005 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 99 | AS_ID: BLAS_008 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 99 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 100 | AS_ID: BLAS_004 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 2097152 | Vertices: 4096
Frame 100 | AS_ID: BLAS_011 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 101 | AS_ID: BLAS_010 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 101 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 102 | AS_ID: BLAS_007 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
