sensor_id,timestamp,temperature,humidity,pressure
SENSOR_007,2024-01-15T09:05:00,22.0,48.2,1013.0
SENSOR_007,2024-01-15T15:20:00,22.2,48.6,1013.3
SENSOR_007,2024-01-16T10:20:00,22.1,48.4,1013.1
SENSOR_007,2024-01-16T17:00:00,22.3,48.8,1013.4
SENSOR_007,2024-01-17T11:50:00,21.9,48.1,1012.9
SENSOR_007,2024-01-18T13:40:00,22.1,48.5,1013.2
SENSOR_007,2024-01-19T09:30:00,22.2,48.7,1013.3
SENSOR_007,2024-01-20T16:20:00,22.0,48.3,1013.0
SENSOR_007,2024-01-21T13:00:00,22.3,48.9,1013.5
SENSOR_008,2024-01-15T09:10:00,24.2,53.1,1017.2
SENSOR_008,2024-01-15T15:55:00,24.4,53.5,1017.5
SENSOR_008,2024-01-16T10:30:00,24.1,53.3,1017.1
SENSOR_008,2024-01-16T17:45:00,24.3,53.2,1017.4
SENSOR_008,2024-01-17T12:00:00,24.5,53.6,1017.6
SENSOR_008,2024-01-18T13:50:00,24.2,53.4,1017.3
SENSOR_008,2024-01-19T09:40:00,24.4,53.7,1017.5
SENSOR_008,2024-01-20T17:00:00,24.1,53.0,1017.2
SENSOR_008,2024-01-21T13:15:00,24.3,53.3,1017.4
SENSOR_009,2024-01-15T09:15:00,22.4,49.0,1013.7
SENSOR_009,2024-01-15T16:00:00,22.6,49.4,1014.0
SENSOR_009,2024-01-16T10:40:00,22.5,49.2,1013.8
SENSOR_009,2024-01-16T17:20:00,22.7,49.6,1014.1
SENSOR_009,2024-01-17T12:10:00,22.3,48.9,1013.6
SENSOR_009,2024-01-18T14:00:00,22.5,49.3,1013.9
SENSOR_009,2024-01-19T09:50:00,22.6,49.5,1014.0
SENSOR_009,2024-01-20T17:10:00,22.4,49.1,1013.7
SENSOR_009,2024-01-21T13:30:00,22.7,49.7,1014.2
SENSOR_010,2024-01-15T09:20:00,21.6,47.5,1012.5
SENSOR_010,2024-01-15T16:10:00,21.8,47.9,1012.8
SENSOR_010,2024-01-16T10:50:00,21.7,47.7,1012.6
SENSOR_010,2024-01-16T17:35:00,21.9,48.1,1012.9
SENSOR_010,2024-01-17T12:20:00,21.5,47.4,1012.4
SENSOR_010,2024-01-18T14:10:00,21.7,47.8,1012.7
SENSOR_010,2024-01-19T10:00:00,21.8,48.0,1012.8
SENSOR_010,2024-01-20T17:20:00,21.6,47.6,1012.5
SENSOR_010,2024-01-21T13:45:00,21.9,48.2,1012.9
SENSOR_011,2024-01-15T09:25:00,43.2,82.5,1034.8
SENSOR_011,2024-01-15T16:20:00,44.1,83.8,1035.6
SENSOR_011,2024-01-16T11:00:00,42.8,81.9,1034.2
SENSOR_011,2024-01-16T17:50:00,43.5,82.7,1035.0
SENSOR_011,2024-01-17T12:30:00,44.3,84.1,1035.8
SENSOR_011,2024-01-18T14:20:00,43.0,82.3,1034.5
SENSOR_011,2024-01-19T10:10:00,43.7,83.2,1035.2
SENSOR_011,2024-01-20T17:30:00,42.9,81.8,1034.3
SENSOR_011,2024-01-21T14:00:00,44.0,83.6,1035.5
SENSOR_012,2024-01-15T09:30:00,22.8,50.1,1014.9
SENSOR_012,2024-01-15T16:30:00,23.0,50.5,1015.2
SENSOR_012,2024-01-16T11:10:00,22.7,50.3,1014.8
SENSOR_012,2024-01-16T18:00:00,22.9,50.7,1015.1
SENSOR_012,2024-01-17T12:40:00,23.1,50.2,1015.3
SENSOR_012,2024-01-18T14:30:00,22.8,50.6,1015.0
SENSOR_012,2024-01-19T10:20:00,23.0,50.4,1015.2
SENSOR_012,2024-01-20T17:40:00,22.7,50.8,1014.9
SENSOR_012,2024-01-21T14:15:00,22.9,50.3,1015.1
SENSOR_013,2024-01-15T09:35:00,8.3,18.5,995.2
SENSOR_013,2024-01-15T16:40:00,9.1,19.8,996.1
SENSOR_013,2024-01-16T11:20:00,7.8,17.9,994.7
SENSOR_013,2024-01-16T18:10:00,8.5,18.7,995.4
SENSOR_013,2024-01-17T12:50:00,9.3,20.1,996.3
SENSOR_013,2024-01-18T14:40:00,8.0,18.3,994.9
SENSOR_013,2024-01-19T10:30:00,8.7,19.2,995.6
SENSOR_013,2024-01-20T17:50:00,7.9,17.8,994.6
SENSOR_013,2024-01-21T14:30:00,9.0,19.6,995.9
SENSOR_014,2024-01-15T09:40:00,23.2,51.3,1015.8
SENSOR_014,2024-01-15T16:50:00,23.4,51.7,1016.1
SENSOR_014,2024-01-16T11:30:00,23.1,51.5,1015.7
SENSOR_014,2024-01-16T18:20:00,23.3,51.9,1016.0
SENSOR_014,2024-01-17T13:00:00,23.5,51.4,1016.2
SENSOR_014,2024-01-18T14:50:00,23.2,51.8,1015.9
SENSOR_014,2024-01-19T10:40:00,23.4,51.6,1016.1
SENSOR_014,2024-01-20T18:00:00,23.1,52.0,1015.8
SENSOR_014,2024-01-21T14:45:00,23.3,51.5,1016.0
SENSOR_015,2024-01-15T09:45:00,21.3,46.2,1011.8
SENSOR_015,2024-01-15T17:00:00,21.5,46.6,1012.1
SENSOR_015,2024-01-16T11:40:00,21.4,46.4,1011.9
SENSOR_015,2024-01-16T18:30:00,21.6,46.8,1012.2
SENSOR_015,2024-01-17T13:10:00,21.2,46.1,1011.7
SENSOR_015,2024-01-18T15:00:00,21.4,46.5,1012.0
SENSOR_015,2024-01-19T10:50:00,21.5,46.7,1012.1
SENSOR_015,2024-01-20T18:10:00,21.3,46.3,1011.8
SENSOR_015,2024-01-21T15:00:00,21.6,46.9,1012.3
SENSOR_016,2024-01-15T09:50:00,46.8,87.3,1037.5
SENSOR_016,2024-01-15T17:10:00,47.5,88.1,1038.2
SENSOR_016,2024-01-16T11:50:00,46.2,86.7,1037.0
SENSOR_016,2024-01-16T18:40:00,46.9,87.5,1037.6
SENSOR_016,2024-01-17T13:20:00,47.6,88.4,1038.3
SENSOR_016,2024-01-18T15:10:00,46.5,87.0,1037.2
SENSOR_016,2024-01-19T11:00:00,47.1,87.8,1037.8
SENSOR_016,2024-01-20T18:20:00,46.3,86.9,1037.1
SENSOR_016,2024-01-21T15:15:00,47.3,88.0,1038.0
SENSOR_017,2024-01-15T09:55:00,22.1,48.7,1013.4
SENSOR_017,2024-01-15T17:20:00,22.3,49.1,1013.7
SENSOR_017,2024-01-16T12:00:00,22.0,48.9,1013.3
SENSOR_017,2024-01-16T18:50:00,22.2,49.3,1013.6
SENSOR_017,2024-01-17T13:30:00,22.4,48.8,1013.8
SENSOR_017,2024-01-18T15:20:00,22.1,49.2,1013.5
SENSOR_017,2024-01-19T11:10:00,22.3,49.4,1013.7
SENSOR_017,2024-01-20T18:30:00,22.0,48.6,1013.4
SENSOR_017,2024-01-21T15:30:00,22.2,49.0,1013.6
SENSOR_018,2024-01-15T10:00:00,11.7,24.3,998.5
SENSOR_018,2024-01-15T17:30:00,12.5,25.8,999.2
SENSOR_018,2024-01-16T12:10:00,11.2,23.7,997.9
SENSOR_018,2024-01-16T19:00:00,11.9,24.5,998.6
SENSOR_018,2024-01-17T13:40:00,12.6,26.1,999.4
SENSOR_018,2024-01-18T15:30:00,11.4,24.0,998.1
SENSOR_018,2024-01-19T11:20:00,12.1,25.2,998.8
SENSOR_018,2024-01-20T18:40:00,11.3,23.6,997.8
SENSOR_018,2024-01-21T15:45:00,12.3,25.5,999.0
