user_id,event_timestamp,event_type,event_data
b6c7d8e9-f0a1-a2b3-c4d5-e6f7a8b9c0d1,9999999999999,purchase,{"amount":349.99}
c7d8e9f0-a1b2-b3c4-d5e6-f7a8b9c0d1e2,1710000000000,page_view,{"page":"/support"}
d8e9f0a1-b2c3-c4d5-e6f7-a8b9c0d1e2f3,1715000000000,logout,true
e9f0a1b2-c3d4-d5e6-f7a8-b9c0d1e2f3a4,1720000000000,click,{"button":"download"}
f0a1b2c3-d4e5-e6f7-a8b9-c0d1e2f3a4b5,1725000000000,signup,{"email":"user12@example.com"}
a1b2c3d4-e5f6-f7a8-b9c0-d1e2f3a4b5c6,1730000000000,login,{"ip":"10.5.5.5"}
b2c3d4e5-f6a7-a8b9-c0d1-e2f3a4b5c6d7,1640000000000,purchase,{"amount":119.99}
c3d4e5f6-a7b8-b9c0-d1e2-f3a4b5c6d7e8,1645000000000,page_view,{"page":"/privacy"}
  ,1650000000000,logout,{"duration":3600}
d4e5f6a7-b8c9-c0d1-e2f3-a4b5c6d7e8f9,1655000000000,click,{"element":"logo"}
e5f6a7b8-c9d0-d1e2-f3a4-b5c6d7e8f9a0,1660000000000,signup,{"email":"user13@example.com"}
f6a7b8c9-d0e1-e2f3-a4b5-c6d7e8f9a0b1,-6666666666,login,{"ip":"172.20.0.30"}
a7b8c9d0-e1f2-f3a4-b5c6-d7e8f9a0b1c2,1670000000000,purchase,{"amount":179.99}
b8c9d0e1-f2a3-a4b5-c6d7-e8f9a0b1c2d3,1675000000000,page_view,{"page":"/legal"}
c9d0e1f2-a3b4-b5c6-d7e8-f9a0b1c2d3e4,1680000000000,logout,{"duration":4200}
d0e1f2a3-b4c5-c6d7-e8f9-a0b1c2d3e4f5,1685000000000,click,{"button":"explore"}
null,1690000000000,signup,{"email":"user14@example.com"}
e1f2a3b4-c5d6-d7e8-f9a0-b1c2d3e4f5a6,1695000000000,login,{"ip":"192.168.7.30"}
f2a3b4c5-d6e7-e8f9-a0b1-c2d3e4f5a6b7,1700000000000,purchase,{"amount":249.99}
a3b4c5d6-e7f8-f9a0-b1c2-d3e4f5a6b7c8,1705000000000,page_view,{"page":"/settings"}
b4c5d6e7-f8a9-a0b1-c2d3-e4f5a6b7c8d9,1710000000000,logout,{"duration":2700}
c5d6e7f8-a9b0-b1c2-d3e4-f5a6b7c8d9e0,1715000000000,click,{"element":"dropdown"}
d6e7f8a9-b0c1-c2d3-e4f5-a6b7c8d9e0f1,1720000000000,signup,{"email":"user15@example.com"}
e7f8a9b0-c1d2-d3e4-f5a6-b7c8d9e0f1a2,1725000000000,login,{"ip":"10.6.6.6"}
f8a9b0c1-d2e3-e4f5-a6b7-c8d9e0f1a2b3,1730000000000,purchase,{"amount":99.00}
a9b0c1d2-e3f4-f5a6-b7c8-d9e0f1a2b3c4,1620000000000,page_view,{"page":"/community"}
b0c1d2e3-f4a5-a6b7-c8d9-e0f1a2b3c4d5,1625000000000,logout,{"duration":1800}
c1d2e3f4-a5b6-b7c8-d9e0-f1a2b3c4d5e6,1630000000000,click,{"button":"favorite"}
d2e3f4a5-b6c7-c8d9-e0f1-a2b3c4d5e6f7,1635000000000,signup,{"email":"user16@example.com"}
e3f4a5b6-c7d8-d9e0-f1a2-b3c4d5e6f7a8,1640000000000,login,{"ip":"172.21.0.40"}
f4a5b6c7-d8e9-e0f1-a2b3-c4d5e6f7a8b9,1645000000000,purchase,{"amount":159.99}
a5b6c7d8-e9f0-f1a2-b3c4-d5e6f7a8b9c0,1650000000000,page_view,{"page":"/features"}
