transaction_id,date,amount,merchant,currency,exchange_rate,fee_percentage,fixed_fee,tax_rate
MC10059,2024-01-29,1234.5678,Glasgow Retail,GBP,1.35,0.029,0.30,0.0975
MC10060,2024-01-29,678.45,Craft Store,USD,1.0,0.028,0.29,0.065
MC10061,2024-01-30,4567.89,Computer Store,USD,1.0,0.031,0.31,0.0825
MC10062,2024-01-30,345.6789,Lyon Boutique,EUR,0.85,0.029,0.30,0.0
MC10063,2024-01-30,2345.67,Bicycle Shop,USD,1.0,0.029,0.30,0.065
MC10064,2024-01-30,789.90,Sushi Restaurant,USD,1.0,0.028,0.29,0.0975
MC10065,2024-01-31,6789.0123,Kyoto Shop,JPY,110.5,0.032,0.32,0.0825
MC10066,2024-01-31,456.78,Candy Store,USD,1.0,0.027,0.28,0.065
MC10067,2024-01-31,3456.89,Outdoor Gear,USD,1.0,0.030,0.30,0.0
MC10068,2024-01-31,1234.5678,Oxford Store,GBP,1.35,0.029,0.30,0.0825
MC10069,2024-02-01,567.89,Liquor Store,USD,1.0,0.028,0.29,0.0975
MC10070,2024-02-01,2345.6789,Amsterdam Shop,EUR,0.85,0.031,0.31,0.065
MC10071,2024-02-01,789.12,Auto Parts,USD,1.0,0.029,0.30,0.0825
MC10072,2024-02-01,4567.00,Furniture Warehouse,USD,1.0,0.032,0.32,0.0
MC10073,2024-02-02,234.56,Donut Shop,USD,1.0,0.027,0.28,0.065
MC10074,2024-02-02,1567.8901,Bristol Mall,GBP,1.35,0.028,0.29,0.0825
MC10075,2024-02-02,678.90,Health Food Store,USD,1.0,0.028,0.29,0.0975
MC10076,2024-02-02,3456.78,Camera Store,USD,1.0,0.031,0.31,0.065
MC10077,2024-02-03,5678.9012,Hamburg Store,EUR,0.85,0.032,0.32,0.0825
MC10078,2024-02-03,345.67,Tea Shop,USD,1.0,0.027,0.28,0.0
MC10079,2024-02-03,2345.89,Watch Store,USD,1.0,0.029,0.30,0.065
MC10080,2024-02-03,789.0123,Newcastle Shop,GBP,1.35,0.028,0.29,0.0975
MC10081,2024-02-04,4567.90,Kitchen Store,USD,1.0,0.030,0.30,0.0825
MC10082,2024-02-04,1234.56,Wine Bar,USD,1.0,0.028,0.29,0.065
MC10083,2024-02-04,6789.1234,Sapporo Market,JPY,110.5,0.031,0.31,0.0
MC10084,2024-02-04,456.78,Stationery Shop,USD,1.0,0.027,0.28,0.0825
MC10085,2024-02-05,2345.6789,Geneva Boutique,EUR,0.85,0.029,0.30,0.0975
MC10086,2024-02-05,789.90,Bath Store,USD,1.0,0.028,0.29,0.065
MC10087,2024-02-05,3456.78,Tool Store,USD,1.0,0.031,0.31,0.0825
MC10088,2024-02-05,1234.5678,Leeds Shop,GBP,1.35,0.029,0.30,0.0
MC10089,2024-02-06,567.89,Burger Joint,USD,1.0,0.027,0.28,0.065
MC10090,2024-02-06,5678.90,Audio Equipment,USD,1.0,0.032,0.32,0.0825
MC10091,2024-02-06,345.6789,Zurich Store,EUR,0.85,0.028,0.29,0.0975
MC10092,2024-02-06,2345.67,Luggage Store,USD,1.0,0.029,0.30,0.065
MC10093,2024-02-07,4567.8901,Birmingham Mall,GBP,1.35,0.030,0.30,0.0825
MC10094,2024-02-07,789.12,Nail Salon,USD,1.0,0.027,0.28,0.0
MC10095,2024-02-07,1567.89,Party Supply,USD,1.0,0.028,0.29,0.065
MC10096,2024-02-07,678.9012,Frankfurt Shop,EUR,0.85,0.029,0.30,0.0975
MC10097,2024-02-08,3456.78,Bedding Store,USD,1.0,0.031,0.31,0.0825
MC10098,2024-02-08,234.56,Yogurt Shop,USD,1.0,0.027,0.28,0.065
MC10099,2024-02-08,5678.9012,Kobe Store,JPY,110.5,0.032,0.32,0.0
MC10100,2024-02-08,1234.56,Art Supply,USD,1.0,0.028,0.29,0.0825
MC10101,2024-02-09,2345.6789,Cardiff Shop,GBP,1.35,0.029,0.30,0.0975
MC10102,2024-02-09,789.90,Taco Place,USD,1.0,0.027,0.28,0.065
MC10103,2024-02-09,4567.89,Vacuum Store,USD,1.0,0.031,0.31,0.0825
MC10104,2024-02-09,456.7890,Nice Boutique,EUR,0.85,0.028,0.29,0.0
MC10105,2024-02-10,3456.78,Gym Equipment,USD,1.0,0.030,0.30,0.065
MC10106,2024-02-10,1234.56,Nail Polish Shop,USD,1.0,0.027,0.28,0.0825
MC10107,2024-02-10,6789.0123,Edinburgh Retail,GBP,1.35,0.032,0.32,0.0975
MC10108,2024-02-10,567.89,BBQ Restaurant,USD,1.0,0.028,0.29,0.065
MC10109,2024-02-11,2345.6789,Copenhagen Store,EUR,0.85,0.029,0.30,0.0825
MC10110,2024-02-11,789.12,Frame Shop,USD,1.0,0.027,0.28,0.0
MC10111,2024-02-11,5678.90,Lighting Store,USD,1.0,0.031,0.31,0.065
MC10112,2024-02-11,345.6789,Belfast Shop,GBP,1.35,0.028,0.29,0.0975
MC10113,2024-02-12,4567.89,Bathroom Fixtures,USD,1.0,0.030,0.30,0.0825
MC10114,2024-02-12,1234.56,Cupcake Shop,USD,1.0,0.027,0.28,0.065
MC10115,2024-02-12,3456.7890,Nagoya Market,JPY,110.5,0.031,0.31,0.0
MC10116,2024-02-12,678.90,Greeting Cards,USD,1.0,0.028,0.29,0.0825
MC10117,2024-02-13,2345.6789,Stockholm Shop,EUR,0.85,0.029,0.30,0.0975
MC10118,2024-02-13,789.01,Mexican Restaurant,USD,1.0,0.027,0.28,0.065
MC10119,2024-02-13,5678.90,Outdoor Furniture,USD,1.0,0.032,0.32,0.0825
MC10120,2024-02-13,456.7890,Sheffield Store,GBP,1.35,0.028,0.29,0.0
MC10121,2024-02-14,3456.78,Baby Store,USD,1.0,0.029,0.30,0.065
MC10122,2024-02-14,1234.5678,Rotterdam Shop,EUR,0.85,0.028,0.29,0.0825
MC10123,2024-02-14,789.90,Thai Restaurant,USD,1.0,0.027,0.28,0.0975
MC10124,2024-02-14,2345.67,Window Treatments,USD,1.0,0.030,0.30,0.065
MC10125,2024-02-15,4567.8901,Nottingham Mall,GBP,1.35,0.031,0.31,0.0825
MC10126,2024-02-15,567.89,Smoothie Bar,USD,1.0,0.027,0.28,0.0
MC10127,2024-02-15,6789.0123,Cologne Store,EUR,0.85,0.032,0.32,0.065
MC10128,2024-02-15,345.67,Indian Restaurant,USD,1.0,0.028,0.29,0.0975
MC10129,2024-02-16,3456.78,Pool Supplies,USD,1.0,0.029,0.30,0.0825
MC10130,2024-02-16,1234.5678,Fukuoka Shop,JPY,110.5,0.029,0.30,0.065
MC10131,2024-02-16,789.12,Vietnamese Restaurant,USD,1.0,0.027,0.28,0.0
MC10132,2024-02-16,2345.6789,Southampton Store,GBP,1.35,0.028,0.29,0.0825
MC10133,2024-02-17,5678.90,Security Systems,USD,1.0,0.031,0.31,0.0975
MC10134,2024-02-17,456.78,Korean Restaurant,USD,1.0,0.027,0.28,0.065
MC10135,2024-02-17,4567.8901,Prague Boutique,EUR,0.85,0.030,0.30,0.0825
MC10136,2024-02-17,1234.56,Mediterranean Food,USD,1.0,0.028,0.29,0.0
MC10137,2024-02-18,3456.78,Smart Home Store,USD,1.0,0.029,0.30,0.065
MC10138,2024-02-18,789.0123,Aberdeen Shop,GBP,1.35,0.027,0.28,0.0825
MC10139,2024-02-18,2345.67,Piano Store,USD,1.0,0.031,0.31,0.0975
MC10140,2024-02-18,678.9012,Budapest Store,EUR,0.85,0.028,0.29,0.065
MC10141,2024-02-19,5678.90,Security Cameras,USD,1.0,0.032,0.32,0.0825
MC10142,2024-02-19,345.67,Greek Restaurant,USD,1.0,0.027,0.28,0.0
MC10143,2024-02-19,4567.8901,Plymouth Mall,GBP,1.35,0.029,0.30,0.065
MC10144,2024-02-19,1234.5678,Yokohama Store,JPY,110.5,0.028,0.29,0.0975
MC10145,2024-02-20,3456.78,Fireplace Store,USD,1.0,0.030,0.30,0.0825
MC10146,2024-02-20,789.90,Turkish Restaurant,USD,1.0,0.027,0.28,0.065
MC10147,2024-02-20,2345.6789,Dublin Shop,EUR,0.85,0.029,0.30,0.0
MC10148,2024-02-20,567.89,Ethiopian Food,USD,1.0,0.028,0.29,0.0825
MC10149,2024-02-21,6789.01,Solar Panels,USD,1.0,0.031,0.31,0.0975
MC10150,2024-02-21,456.7890,York Store,GBP,1.35,0.027,0.28,0.065
MC10151,2024-02-21,3456.78,Aquarium Supplies,USD,1.0,0.029,0.30,0.0825
MC10152,2024-02-21,1234.5678,Warsaw Shop,EUR,0.85,0.028,0.29,0.0
MC10153,2024-02-22,2345.67,Leather Goods,USD,1.0,0.029,0.30,0.065
MC10154,2024-02-22,789.0123,Sendai Market,JPY,110.5,0.027,0.28,0.0825
MC10155,2024-02-22,5678.90,Paint Store,USD,1.0,0.031,0.31,0.0975
MC10156,2024-02-22,345.6789,Derby Shop,GBP,1.35,0.028,0.29,0.065
MC10157,2024-02-23,4567.89,Closet Systems,USD,1.0,0.030,0.30,0.0825
MC10158,2024-02-23,1234.56,Chinese Restaurant,USD,1.0,0.027,0.28,0.0
MC10159,2024-02-23,3456.7890,Helsinki Store,EUR,0.85,0.029,0.30,0.065
MC10160,2024-02-23,789.12,Japanese Restaurant,USD,1.0,0.028,0.29,0.0975
MC10161,2024-02-24,2345.6789,Stoke Shop,GBP,1.35,0.029,0.30,0.0825
MC10162,2024-02-24,678.90,Tile Store,USD,1.0,0.027,0.28,0.065
MC10163,2024-02-24,5678.9012,Athens Boutique,EUR,0.85,0.031,0.31,0.0
MC10164,2024-02-24,456.78,Dim Sum Restaurant,USD,1.0,0.028,0.29,0.0825
MC10165,2024-02-25,4567.89,Roofing Supplies,USD,1.0,0.030,0.30,0.0975
MC10166,2024-02-25,1234.5678,Kawasaki Shop,JPY,110.5,0.027,0.28,0.065
MC10167,2024-02-25,3456.78,Grill Store,USD,1.0,0.029,0.30,0.0825
MC10168,2024-02-25,789.0123,Coventry Store,GBP,1.35,0.028,0.29,0.0
MC10169,2024-02-26,2345.67,Mailbox Store,USD,1.0,0.029,0.30,0.065
MC10170,2024-02-26,567.8901,Oslo Shop,EUR,0.85,0.027,0.28,0.0825
MC10171,2024-02-26,6789.01,Generator Store,USD,1.0,0.032,0.32,0.0975
MC10172,2024-02-26,345.67,Seafood Restaurant,USD,1.0,0.028,0.29,0.065
MC10173,2024-02-27,4567.8901,Hull Mall,GBP,1.35,0.030,0.30,0.0825
MC10174,2024-02-27,1234.56,Steakhouse,USD,1.0,0.027,0.28,0.0
MC10175,2024-02-27,3456.7890,Lisbon Boutique,EUR,0.85,0.029,0.30,0.065
MC10176,2024-02-27,789.12,Fountain Store,USD,1.0,0.028,0.29,0.0975
MC10177,2024-02-28,5678.9012,Hiroshima Market,JPY,110.5,0.031,0.31,0.0825
MC10178,2024-02-28,456.78,Barbershop,USD,1.0,0.027,0.28,0.065
MC10179,2024-02-28,2345.6789,Wolverhampton Shop,GBP,1.35,0.029,0.30,0.0
MC10180,2024-02-28,678.90,Fence Store,USD,1.0,0.028,0.29,0.0825
MC10181,2024-02-29,4567.89,Deck Supplies,USD,1.0,0.030,0.30,0.0975
MC10182,2024-02-29,1234.5678,Vilnius Store,EUR,0.85,0.027,0.28,0.065
MC10183,2024-02-29,3456.78,Spa Store,USD,1.0,0.029,0.30,0.0825
MC10184,2024-02-29,789.0123,Leicester Shop,GBP,1.35,0.028,0.29,0.0
MC10185,2024-03-01,2345.67,Driveway Store,USD,1.0,0.029,0.30,0.065
MC10186,2024-03-01,567.8901,Krakow Boutique,EUR,0.85,0.027,0.28,0.0825
MC10187,2024-03-01,6789.0123,Kitakyushu Shop,JPY,110.5,0.032,0.32,0.0975
MC10188,2024-03-01,345.67,Hair Salon,USD,1.0,0.028,0.29,0.065
MC10189,2024-03-02,4567.89,Garage Door Store,USD,1.0,0.030,0.30,0.0825
MC10190,2024-03-02,1234.5678,Salford Store,GBP,1.35,0.029,0.30,0.0
MC10191,2024-03-02,3456.78,Sauna Store,USD,1.0,0.029,0.30,0.065
MC10192,2024-03-02,789.0123,Tallinn Shop,EUR,0.85,0.028,0.29,0.0825
MC10193,2024-03-03,2345.67,HVAC Store,USD,1.0,0.031,0.31,0.0975
MC10194,2024-03-03,678.9012,Chiba Market,JPY,110.5,0.027,0.28,0.065
MC10195,2024-03-03,5678.90,Insulation Store,USD,1.0,0.030,0.30,0.0825
MC10196,2024-03-03,456.7890,Preston Shop,GBP,1.35,0.028,0.29,0.0
MC10197,2024-03-04,4567.89,Plumbing Store,USD,1.0,0.029,0.30,0.065
MC10198,2024-03-04,1234.5678,Riga Boutique,EUR,0.85,0.027,0.28,0.0825
MC10199,2024-03-04,3456.78,Electrical Supply,USD,1.0,0.031,0.31,0.0975
MC10200,2024-03-04,789.90,Day Spa,USD,1.0,0.028,0.29,0.065
