adjustment_id,date,amount,type,original_transaction_id,reason,tax_rate
ADJ063,2024-02-15,29.00,fee_adjustment,TXN22678,processing_correction,0.0
ADJ064,2024-02-15,-401.25,chargeback,TXN22890,fraud,0.0975
ADJ065,2024-02-16,-91.75,refund,TXN23001,customer_return,0.065
ADJ066,2024-02-16,18.25,correction,TXN23234,billing_error,0.0
ADJ067,2024-02-17,-164.50,refund,TXN23456,customer_return,0.0825
ADJ068,2024-02-17,-109.95,refund,TXN23678,customer_return,0.065
ADJ069,2024-02-18,31.00,fee_adjustment,TXN23890,processing_correction,0.0
ADJ070,2024-02-18,-467.90,chargeback,TXN24001,fraud,0.0975
ADJ071,2024-02-19,-75.25,refund,TXN24234,customer_return,0.065
ADJ072,2024-02-19,20.50,correction,TXN24456,billing_error,0.0
ADJ073,2024-02-20,-192.75,refund,TXN24678,customer_return,0.0825
ADJ074,2024-02-20,-142.60,refund,TXN24890,customer_return,0.065
ADJ075,2024-02-21,25.00,fee_adjustment,TXN25001,processing_correction,0.0
ADJ076,2024-02-21,-334.50,chargeback,TXN25234,fraud,0.0975
ADJ077,2024-02-22,-88.99,refund,TXN25456,customer_return,0.065
ADJ078,2024-02-22,22.00,correction,TXN25678,billing_error,0.0
ADJ079,2024-02-23,-158.25,refund,TXN25890,courtesy,0.0825
ADJ080,2024-02-23,-115.45,refund,TXN26001,customer_return,0.065
ADJ081,2024-02-24,33.00,fee_adjustment,TXN26234,processing_correction,0.0
ADJ082,2024-02-24,-489.75,chargeback,TXN26456,fraud,0.0975
ADJ083,2024-02-25,-79.50,refund,TXN26678,customer_return,0.065
ADJ084,2024-02-25,28.50,correction,TXN26890,billing_error,0.0
ADJ085,2024-02-26,-181.99,refund,TXN27001,customer_return,0.0825
ADJ086,2024-02-26,-103.80,refund,TXN27234,customer_return,0.065
ADJ087,2024-02-27,19.00,fee_adjustment,TXN27456,processing_correction,0.0
ADJ088,2024-02-27,-367.25,chargeback,TXN27678,fraud,0.0975
ADJ089,2024-02-28,-94.75,refund,TXN27890,customer_return,0.065
ADJ090,2024-02-28,26.25,correction,TXN28001,billing_error,0.0
ADJ091,2024-02-29,-173.50,refund,TXN28234,customer_return,0.0825
ADJ092,2024-02-29,-121.95,refund,TXN28456,customer_return,0.065
ADJ093,2024-03-01,34.00,fee_adjustment,TXN28678,processing_correction,0.0
ADJ094,2024-03-01,-412.60,chargeback,TXN28890,fraud,0.0975
ADJ095,2024-03-02,-86.25,refund,TXN29001,customer_return,0.065
ADJ096,2024-03-02,24.00,correction,TXN29234,billing_error,0.0
ADJ097,2024-03-03,-195.75,refund,TXN29456,customer_return,0.0825
ADJ098,2024-03-03,-138.50,refund,TXN29678,courtesy,0.065
ADJ099,2024-03-04,30.50,fee_adjustment,TXN29890,processing_correction,0.0
ADJ100,2024-03-04,-456.99,chargeback,TXN30001,fraud,0.0975
