transaction_id,customer_id,transaction_date,amount,product_category,payment_method,status
91,5438,2023-11-18,2890.00,Clothing,Credit Card,Completed
92,9872,2023-11-22,123.45,Home,Cash,Completed
93,3217,2023-11-25,890.50,Electronics,Debit Card,Pending
94,7650,2023-11-28,456.75,Books,Credit Card,Completed
95,2105,2023-12-01,1567.25,Sports,PayPal,Completed
96,6543,2023-12-04,234.99,Food,Debit Card,Completed
97,4324,2023-12-08,3450.80,Clothing,Credit Card,Cancelled
98,8768,2023-12-11,567.50,Home,Cash,Completed
99,1234,2023-12-15,89.99,Electronics,Debit Card,Completed
100,5435,2023-12-18,1890.75,Books,Credit Card,Completed
101,2341,2023-01-16,445.30,Electronics,PayPal,Completed
102,7823,2023-01-19,156.80,Clothing,Credit Card,Pending
103,4512,2023-01-23,2340.50,Home,Debit Card,Completed
104,9234,2023-01-26,78.25,Food,Cash,Completed
105,3645,2023-01-29,1234.00,Sports,Credit Card,Cancelled
106,6789,2023-02-03,567.90,Books,PayPal,Completed
107,1987,2023-02-06,890.75,Electronics,Debit Card,Completed
108,5432,2023-02-09,123.45,Clothing,Credit Card,Completed
109,8901,2023-02-13,3456.00,Home,Cash,Pending
110,2345,2023-02-16,234.50,Food,Debit Card,Completed
111,7654,2023-02-19,1890.25,Sports,Credit Card,Completed
112,4321,2023-02-23,456.80,Books,PayPal,Cancelled
113,9876,2023-02-26,2100.50,Electronics,Debit Card,Completed
114,3210,2023-03-02,89.99,Clothing,Credit Card,Completed
115,6543,2023-03-05,567.75,Home,Cash,Pending
116,1098,2023-03-09,1234.60,Food,Debit Card,Completed
117,5432,2023-03-12,345.25,Sports,Credit Card,Completed
118,8765,2023-03-16,2890.00,Electronics,PayPal,Completed
119,2109,2023-03-19,123.45,Books,Debit Card,Cancelled
120,7654,2023-03-23,890.80,Clothing,Credit Card,Completed
121,4328,2023-03-26,456.50,Home,Cash,Completed
122,9873,2023-03-29,1567.25,Sports,Debit Card,Pending
123,3218,2023-04-03,234.99,Food,Credit Card,Completed
124,6547,2023-04-06,3450.75,Electronics,PayPal,Completed
125,1237,2023-04-09,567.60,Clothing,Debit Card,Completed
126,5439,2023-04-13,89.99,Home,Credit Card,Cancelled
127,8762,2023-04-16,1890.50,Books,Cash,Completed
128,2106,2023-04-19,345.80,Sports,Debit Card,Completed
129,7651,2023-04-23,2100.25,Food,Credit Card,Pending
130,4325,2023-04-26,123.45,Electronics,PayPal,Completed
131,9870,2023-04-29,890.00,Clothing,Debit Card,Completed
132,3215,2023-05-03,456.75,Home,Credit Card,Completed
133,6544,2023-05-06,1234.50,Sports,Cash,Cancelled
134,1231,2023-05-09,234.99,Books,Debit Card,Completed
135,5436,2023-05-13,3456.80,Electronics,Credit Card,Pending
136,8769,2023-05-16,567.25,Food,PayPal,Completed
137,2103,2023-05-19,89.75,Clothing,Debit Card,Completed
138,7658,2023-05-23,1890.60,Home,Credit Card,Completed
139,4322,2023-05-26,345.50,Sports,Cash,Cancelled
140,9877,2023-05-29,2100.00,Books,Credit Card,Completed
141,3212,2023-06-02,123.45,Electronics,Debit Card,Pending
142,6541,2023-06-05,890.75,Clothing,PayPal,Completed
143,1238,2023-06-09,456.60,Food,Credit Card,Completed
144,5433,2023-06-12,1567.25,Home,Cash,Completed
145,8766,2023-06-16,234.99,Sports,Debit Card,Cancelled
146,2100,2023-06-19,3450.50,Electronics,Credit Card,Completed
147,7655,2023-06-23,567.80,Books,PayPal,Completed
148,4329,2023-06-26,89.99,Clothing,Debit Card,Pending
149,9874,2023-06-29,1890.25,Home,Credit Card,Completed
150,3219,2023-07-03,345.60,Food,Cash,Completed
151,6548,2023-07-06,2100.75,Sports,Debit Card,Completed
152,1232,2023-07-09,123.45,Electronics,Credit Card,Cancelled
153,5430,2023-07-13,890.00,Books,PayPal,Completed
154,8763,2023-07-16,456.25,Clothing,Debit Card,Completed
155,2107,2023-07-19,1234.80,Home,Credit Card,Pending
156,7652,2023-07-23,234.99,Sports,Cash,Completed
157,4326,2023-07-26,3456.50,Food,Debit Card,Completed
158,9871,2023-07-29,567.75,Electronics,Credit Card,Completed
159,3216,2023-08-02,89.60,Clothing,PayPal,Cancelled
160,6545,2023-08-05,1890.00,Books,Debit Card,Completed
161,1239,2023-08-09,345.25,Home,Credit Card,Completed
162,5434,2023-08-12,2100.50,Sports,Cash,Pending
163,8760,2023-08-16,123.45,Food,Debit Card,Completed
164,2104,2023-08-19,890.75,Electronics,Credit Card,Completed
165,7659,2023-08-23,456.60,Clothing,PayPal,Completed
166,4323,2023-08-26,1567.25,Home,Debit Card,Cancelled
167,9878,2023-08-29,234.99,Books,Credit Card,Completed
168,3213,2023-09-02,3450.80,Sports,Cash,Completed
169,6542,2023-09-05,567.50,Food,Debit Card,Pending
170,1230,2023-09-09,89.99,Electronics,Credit Card,Completed
171,5437,2023-09-12,1890.75,Clothing,PayPal,Completed
172,8767,2023-09-16,345.60,Home,Debit Card,Completed
173,2101,2023-09-19,2100.25,Books,Credit Card,Cancelled
174,7656,2023-09-23,123.45,Sports,Cash,Completed
175,4320,2023-09-26,890.00,Food,Debit Card,Completed
176,9875,2023-09-29,456.75,Electronics,Credit Card,Pending
177,3210,2023-10-03,1234.50,Clothing,PayPal,Completed
178,6549,2023-10-06,234.99,Home,Debit Card,Completed
179,1233,2023-10-10,3456.80,Sports,Credit Card,Completed
180,5431,2023-10-13,567.25,Books,Cash,Cancelled
181,8764,2023-10-17,89.75,Food,Debit Card,Completed
182,2108,2023-10-20,1890.50,Electronics,Credit Card,Completed
183,7653,2023-10-24,345.60,Clothing,PayPal,Pending
184,4327,2023-10-27,2100.00,Home,Debit Card,Completed
185,9872,2023-10-30,123.45,Sports,Credit Card,Completed
186,3217,2023-11-02,890.75,Books,Cash,Completed
187,6546,2023-11-05,456.60,Food,Debit Card,Cancelled
188,1236,2023-11-09,1567.25,Electronics,Credit Card,Completed
189,5438,2023-11-12,234.99,Clothing,PayPal,Pending
190,8761,2023-11-16,3450.50,Home,Debit Card,Completed
191,2105,2023-11-19,567.80,Sports,Credit Card,Completed
192,7650,2023-11-23,89.99,Books,Cash,Completed
193,4324,2023-11-26,1890.25,Food,Debit Card,Cancelled
194,9873,2023-11-29,345.60,Electronics,Credit Card,Completed
195,3219,2023-12-02,2100.75,Clothing,PayPal,Completed
196,6543,2023-12-05,123.45,Home,Debit Card,Pending
197,1234,2023-12-09,890.00,Sports,Credit Card,Completed
198,5435,2023-12-12,456.25,Books,Cash,Completed
199,8768,2023-12-16,1234.80,Food,Debit Card,Completed
200,2341,2023-12-19,234.99,Electronics,Credit Card,Cancelled
201,7823,2023-01-17,567.50,Clothing,PayPal,Completed
202,4512,2023-01-20,89.99,Home,Debit Card,Pending
203,9234,2023-01-24,1890.75,Sports,Credit Card,Completed
204,3645,2023-01-27,345.60,Books,Cash,Completed
205,6789,2023-01-30,2100.25,Food,Debit Card,Completed
206,1987,2023-02-04,123.45,Electronics,Credit Card,Cancelled
207,5432,2023-02-07,890.00,Clothing,PayPal,Completed
208,8901,2023-02-10,456.75,Home,Debit Card,Completed
209,2345,2023-02-14,1234.50,Sports,Credit Card,Pending
210,7654,2023-02-17,234.99,Books,Cash,Completed
211,4321,2023-02-20,3456.80,Food,Debit Card,Completed
212,9876,2023-02-24,567.25,Electronics,Credit Card,Completed
213,3210,2023-02-27,89.75,Clothing,PayPal,Cancelled
214,6543,2023-03-03,1890.50,Home,Debit Card,Completed
215,1098,2023-03-06,345.60,Sports,Credit Card,Completed
216,5432,2023-03-10,2100.00,Books,Cash,Pending
217,8765,2023-03-13,123.45,Food,Debit Card,Completed
218,2109,2023-03-17,890.75,Electronics,Credit Card,Completed
219,7654,2023-03-20,456.60,Clothing,PayPal,Completed
220,4328,2023-03-24,1567.25,Home,Debit Card,Cancelled
221,9873,2023-03-27,234.99,Sports,Credit Card,Completed
222,3218,2023-03-30,3450.50,Books,Cash,Completed
223,6547,2023-04-04,567.80,Food,Debit Card,Pending
224,1237,2023-04-07,89.99,Electronics,Credit Card,Completed
225,5439,2023-04-10,1890.25,Clothing,PayPal,Completed
226,8762,2023-04-14,345.60,Home,Debit Card,Completed
227,2106,2023-04-17,2100.75,Sports,Credit Card,Cancelled
228,7651,2023-04-20,123.45,Books,Cash,Completed
229,4325,2023-04-24,890.00,Food,Debit Card,Completed
230,9870,2023-04-27,456.25,Electronics,Credit Card,Pending
231,3215,2023-04-30,1234.80,Clothing,PayPal,Completed
232,6544,2023-05-04,234.99,Home,Debit Card,Completed
233,1231,2023-05-07,3456.50,Sports,Credit Card,Completed
234,5436,2023-05-10,567.75,Books,Cash,Cancelled
235,8769,2023-05-14,89.60,Food,Debit Card,Completed
236,2103,2023-05-17,1890.00,Electronics,Credit Card,Completed
237,7658,2023-05-20,345.25,Clothing,PayPal,Pending
238,4322,2023-05-24,2100.50,Home,Debit Card,Completed
239,9877,2023-05-27,123.45,Sports,Credit Card,Completed
240,3212,2023-05-30,890.75,Books,Cash,Completed
241,6541,2023-06-03,456.60,Food,Debit Card,Cancelled
242,1238,2023-06-06,1567.25,Electronics,Credit Card,Completed
243,5433,2023-06-10,234.99,Clothing,PayPal,Completed
244,8766,2023-06-13,3450.80,Home,Debit Card,Pending
245,2100,2023-06-17,567.50,Sports,Credit Card,Completed
246,7655,2023-06-20,89.99,Books,Cash,Completed
247,4329,2023-06-24,1890.75,Food,Debit Card,Completed
248,9874,2023-06-27,345.60,Electronics,Credit Card,Cancelled
249,3219,2023-06-30,2100.25,Clothing,PayPal,Completed
250,6548,2023-07-04,123.45,Home,Debit Card,Completed
251,1232,2023-07-07,890.00,Sports,Credit Card,Pending
252,5430,2023-07-10,456.75,Books,Cash,Completed
253,8763,2023-07-14,1234.50,Food,Debit Card,Completed
254,2107,2023-07-17,234.99,Electronics,Credit Card,Completed
255,7652,2023-07-20,3456.80,Clothing,PayPal,Cancelled
256,4326,2023-07-24,567.25,Home,Debit Card,Completed
257,9871,2023-07-27,89.75,Sports,Credit Card,Completed
258,3216,2023-07-30,1890.50,Books,Cash,Pending
259,6545,2023-08-03,345.60,Food,Debit Card,Completed
260,1239,2023-08-06,2100.00,Electronics,Credit Card,Completed
261,5434,2023-08-10,123.45,Clothing,PayPal,Completed
262,8760,2023-08-13,890.75,Home,Debit Card,Cancelled
263,2104,2023-08-17,456.60,Sports,Credit Card,Completed
264,7659,2023-08-20,1567.25,Books,Cash,Completed
265,4323,2023-08-24,234.99,Food,Debit Card,Pending
266,9878,2023-08-27,3450.50,Electronics,Credit Card,Completed
267,3213,2023-08-30,567.80,Clothing,PayPal,Completed
268,6542,2023-09-03,89.99,Home,Debit Card,Completed
269,1230,2023-09-06,1890.25,Sports,Credit Card,Cancelled
270,5437,2023-09-10,345.60,Books,Cash,Completed
271,8767,2023-09-13,2100.75,Food,Debit Card,Completed
272,2101,2023-09-17,123.45,Electronics,Credit Card,Pending
273,7656,2023-09-20,890.00,Clothing,PayPal,Completed
274,4320,2023-09-24,456.25,Home,Debit Card,Completed
275,9875,2023-09-27,1234.80,Sports,Credit Card,Completed
276,3210,2023-09-30,234.99,Books,Cash,Cancelled
277,6549,2023-10-04,3456.50,Food,Debit Card,Completed
278,1233,2023-10-07,567.75,Electronics,Credit Card,Completed
279,5431,2023-10-11,89.60,Clothing,PayPal,Pending
280,8764,2023-10-14,1890.00,Home,Debit Card,Completed
281,2108,2023-10-18,345.25,Sports,Credit Card,Completed
282,7653,2023-10-21,2100.50,Books,Cash,Completed
283,4327,2023-10-25,123.45,Food,Debit Card,Cancelled
284,9872,2023-10-28,890.75,Electronics,Credit Card,Completed
285,3217,2023-10-31,456.60,Clothing,PayPal,Completed
286,6546,2023-11-03,1567.25,Home,Debit Card,Pending
287,1236,2023-11-06,234.99,Sports,Credit Card,Completed
288,5438,2023-11-10,3450.80,Books,Cash,Completed
289,8761,2023-11-13,567.50,Food,Debit Card,Completed
290,2105,2023-11-17,89.99,Electronics,Credit Card,Cancelled
291,7650,2023-11-20,1890.75,Clothing,PayPal,Completed
292,4324,2023-11-24,345.60,Home,Debit Card,Completed
293,9873,2023-11-27,2100.25,Sports,Credit Card,Pending
294,3219,2023-11-30,123.45,Books,Cash,Completed
295,6543,2023-12-03,890.00,Food,Debit Card,Completed
296,1234,2023-12-06,456.75,Electronics,Credit Card,Completed
297,5435,2023-12-10,1234.50,Clothing,PayPal,Cancelled
298,8768,2023-12-13,234.99,Home,Debit Card,Completed
299,2341,2023-12-17,3456.80,Sports,Credit Card,Completed
300,7823,2023-12-20,567.25,Books,Cash,Pending
301,4512,2023-01-18,89.75,Food,Debit Card,Completed
302,9234,2023-01-21,1890.50,Electronics,Credit Card,Completed
303,3645,2023-01-25,345.60,Clothing,PayPal,Completed
304,6789,2023-01-28,2100.00,Home,Debit Card,Cancelled
305,1987,2023-01-31,123.45,Sports,Credit Card,Completed
306,5432,2023-02-05,890.75,Books,Cash,Completed
307,8901,2023-02-08,456.60,Food,Debit Card,Pending
308,2345,2023-02-11,1567.25,Electronics,Credit Card,Completed
309,7654,2023-02-15,234.99,Clothing,PayPal,Completed
310,4321,2023-02-18,3450.50,Home,Debit Card,Completed
311,9876,2023-02-21,567.80,Sports,Credit Card,Cancelled
312,3210,2023-02-25,89.99,Books,Cash,Completed
313,6543,2023-02-28,1890.25,Food,Debit Card,Completed
314,1098,2023-03-04,345.60,Electronics,Credit Card,Pending
315,5432,2023-03-07,2100.75,Clothing,PayPal,Completed
316,8765,2023-03-11,123.45,Home,Debit Card,Completed
317,2109,2023-03-14,890.00,Sports,Credit Card,Completed
318,7654,2023-03-18,456.25,Books,Cash,Cancelled
319,4328,2023-03-21,1234.80,Food,Debit Card,Completed
320,9873,2023-03-25,234.99,Electronics,Credit Card,Completed
321,3218,2023-03-28,3456.50,Clothing,PayPal,Pending
322,6547,2023-03-31,567.75,Home,Debit Card,Completed
323,1237,2023-04-05,89.60,Sports,Credit Card,Completed
324,5439,2023-04-08,1890.00,Books,Cash,Completed
325,8762,2023-04-11,345.25,Food,Debit Card,Cancelled
326,2106,2023-04-15,2100.50,Electronics,Credit Card,Completed
327,7651,2023-04-18,123.45,Clothing,PayPal,Completed
328,4325,2023-04-21,890.75,Home,Debit Card,Pending
329,9870,2023-04-25,456.60,Sports,Credit Card,Completed
330,3215,2023-04-28,1567.25,Books,Cash,Completed
331,6544,2023-05-01,234.99,Food,Debit Card,Completed
332,1231,2023-05-05,3450.80,Electronics,Credit Card,Cancelled
333,5436,2023-05-08,567.50,Clothing,PayPal,Completed
334,8769,2023-05-11,89.99,Home,Debit Card,Completed
335,2103,2023-05-15,1890.75,Sports,Credit Card,Pending
336,7658,2023-05-18,345.60,Books,Cash,Completed
337,4322,2023-05-21,2100.25,Food,Debit Card,Completed
338,9877,2023-05-25,123.45,Electronics,Credit Card,Completed
339,3212,2023-05-28,890.00,Clothing,PayPal,Cancelled
340,6541,2023-05-31,456.75,Home,Debit Card,Completed
341,1238,2023-06-04,1234.50,Sports,Credit Card,Completed
342,5433,2023-06-07,234.99,Books,Cash,Pending
343,8766,2023-06-11,3456.80,Food,Debit Card,Completed
344,2100,2023-06-14,567.25,Electronics,Credit Card,Completed
345,7655,2023-06-18,89.75,Clothing,PayPal,Completed
346,4329,2023-06-21,1890.50,Home,Debit Card,Cancelled
347,9874,2023-06-25,345.60,Sports,Credit Card,Completed
348,3219,2023-06-28,2100.00,Books,Cash,Completed
349,6548,2023-07-01,123.45,Food,Debit Card,Pending
350,1232,2023-07-05,890.75,Electronics,Credit Card,Completed
351,5430,2023-07-08,456.60,Clothing,PayPal,Completed
352,8763,2023-07-11,1567.25,Home,Debit Card,Completed
353,2107,2023-07-15,234.99,Sports,Credit Card,Cancelled
354,7652,2023-07-18,3450.50,Books,Cash,Completed
355,4326,2023-07-21,567.80,Food,Debit Card,Completed
356,9871,2023-07-25,89.99,Electronics,Credit Card,Pending
357,3216,2023-07-28,1890.25,Clothing,PayPal,Completed
358,6545,2023-07-31,345.60,Home,Debit Card,Completed
359,1239,2023-08-04,2100.75,Sports,Credit Card,Completed
360,5434,2023-08-07,123.45,Books,Cash,Cancelled
361,8760,2023-08-11,890.00,Food,Debit Card,Completed
362,2104,2023-08-14,456.25,Electronics,Credit Card,Completed
363,7659,2023-08-18,1234.80,Clothing,PayPal,Pending
364,4323,2023-08-21,234.99,Home,Debit Card,Completed
365,9878,2023-08-25,3456.50,Sports,Credit Card,Completed
366,3213,2023-08-28,567.75,Books,Cash,Completed
367,6542,2023-08-31,89.60,Food,Debit Card,Cancelled
368,1230,2023-09-04,1890.00,Electronics,Credit Card,Completed
369,5437,2023-09-07,345.25,Clothing,PayPal,Completed
370,8767,2023-09-11,2100.50,Home,Debit Card,Pending
371,2101,2023-09-14,123.45,Sports,Credit Card,Completed
372,7656,2023-09-18,890.75,Books,Cash,Completed
373,4320,2023-09-21,456.60,Food,Debit Card,Completed
374,9875,2023-09-25,1567.25,Electronics,Credit Card,Cancelled
375,3210,2023-09-28,234.99,Clothing,PayPal,Completed
376,6549,2023-10-01,3450.80,Home,Debit Card,Completed
377,1233,2023-10-05,567.50,Sports,Credit Card,Pending
378,5431,2023-10-08,89.99,Books,Cash,Completed
379,8764,2023-10-12,1890.75,Food,Debit Card,Completed
380,2108,2023-10-15,345.60,Electronics,Credit Card,Completed
381,7653,2023-10-19,2100.25,Clothing,PayPal,Cancelled
382,4327,2023-10-22,123.45,Home,Debit Card,Completed
383,9872,2023-10-26,890.00,Sports,Credit Card,Completed
384,3217,2023-10-29,456.75,Books,Cash,Pending
385,6546,2023-11-01,1234.50,Food,Debit Card,Completed
386,1236,2023-11-04,234.99,Electronics,Credit Card,Completed
387,5438,2023-11-08,3456.80,Clothing,PayPal,Completed
388,8761,2023-11-11,567.25,Home,Debit Card,Cancelled
389,2105,2023-11-15,89.75,Sports,Credit Card,Completed
390,7650,2023-11-18,1890.50,Books,Cash,Completed
391,4324,2023-11-22,345.60,Food,Debit Card,Pending
392,9873,2023-11-25,2100.00,Electronics,Credit Card,Completed
393,3219,2023-11-28,123.45,Clothing,PayPal,Completed
394,6543,2023-12-01,890.75,Home,Debit Card,Completed
395,1234,2023-12-04,456.60,Sports,Credit Card,Cancelled
396,5435,2023-12-07,1567.25,Books,Cash,Completed
397,8768,2023-12-11,234.99,Food,Debit Card,Completed
398,2341,2023-12-14,3450.50,Electronics,Credit Card,Pending
399,7823,2023-12-18,567.80,Clothing,PayPal,Completed
400,4512,2023-12-21,89.99,Home,Debit Card,Completed
401,9234,2023-01-19,1890.25,Sports,Credit Card,Completed
402,3645,2023-01-22,345.60,Books,Cash,Cancelled
403,6789,2023-01-26,2100.75,Food,Debit Card,Completed
404,1987,2023-01-29,123.45,Electronics,Credit Card,Completed
405,5432,2023-02-01,890.00,Clothing,PayPal,Pending
406,8901,2023-02-06,456.25,Home,Debit Card,Completed
407,2345,2023-02-09,1234.80,Sports,Credit Card,Completed
408,7654,2023-02-12,234.99,Books,Cash,Completed
409,4321,2023-02-16,3456.50,Food,Debit Card,Cancelled
410,9876,2023-02-19,567.75,Electronics,Credit Card,Completed
411,3210,2023-02-22,89.60,Clothing,PayPal,Completed
412,6543,2023-02-26,1890.00,Home,Debit Card,Pending
413,1098,2023-03-01,345.25,Sports,Credit Card,Completed
414,5432,2023-03-05,2100.50,Books,Cash,Completed
415,8765,2023-03-08,123.45,Food,Debit Card,Completed
416,2109,2023-03-12,890.75,Electronics,Credit Card,Cancelled
417,7654,2023-03-15,456.60,Clothing,PayPal,Completed
418,4328,2023-03-19,1567.25,Home,Debit Card,Completed
419,9873,2023-03-22,234.99,Sports,Credit Card,Pending
420,3218,2023-03-26,3450.80,Books,Cash,Completed
421,6547,2023-03-29,567.50,Food,Debit Card,Completed
422,1237,2023-04-01,89.99,Electronics,Credit Card,Completed
423,5439,2023-04-06,1890.75,Clothing,PayPal,Cancelled
424,8762,2023-04-09,345.60,Home,Debit Card,Completed
425,2106,2023-04-12,2100.25,Sports,Credit Card,Completed
426,7651,2023-04-16,123.45,Books,Cash,Pending
427,4325,2023-04-19,890.00,Food,Debit Card,Completed
428,9870,2023-04-22,456.75,Electronics,Credit Card,Completed
429,3215,2023-04-26,1234.50,Clothing,PayPal,Completed
430,6544,2023-04-29,234.99,Home,Debit Card,Cancelled
431,1231,2023-05-02,3456.80,Sports,Credit Card,Completed
432,5436,2023-05-06,567.25,Books,Cash,Completed
433,8769,2023-05-09,89.75,Food,Debit Card,Pending
434,2103,2023-05-12,1890.50,Electronics,Credit Card,Completed
435,7658,2023-05-16,345.60,Clothing,PayPal,Completed
436,4322,2023-05-19,2100.00,Home,Debit Card,Completed
437,9877,2023-05-22,123.45,Sports,Credit Card,Cancelled
438,3212,2023-05-26,890.75,Books,Cash,Completed
439,6541,2023-05-29,456.60,Food,Debit Card,Completed
440,1238,2023-06-01,1567.25,Electronics,Credit Card,Pending
441,5433,2023-06-05,234.99,Clothing,PayPal,Completed
442,8766,2023-06-08,3450.50,Home,Debit Card,Completed
443,2100,2023-06-12,567.80,Sports,Credit Card,Completed
444,7655,2023-06-15,89.99,Books,Cash,Cancelled
445,4329,2023-06-19,1890.25,Food,Debit Card,Completed
446,9874,2023-06-22,345.60,Electronics,Credit Card,Completed
447,3219,2023-06-26,2100.75,Clothing,PayPal,Pending
448,6548,2023-06-29,123.45,Home,Debit Card,Completed
449,1232,2023-07-02,890.00,Sports,Credit Card,Completed
450,5430,2023-07-06,456.25,Books,Cash,Completed
451,8763,2023-07-09,1234.80,Food,Debit Card,Cancelled
452,2107,2023-07-12,234.99,Electronics,Credit Card,Completed
453,7652,2023-07-16,3456.50,Clothing,PayPal,Completed
454,4326,2023-07-19,567.75,Home,Debit Card,Pending
455,9871,2023-07-22,89.60,Sports,Credit Card,Completed
456,3216,2023-07-26,1890.00,Books,Cash,Completed
457,6545,2023-07-29,345.25,Food,Debit Card,Completed
458,1239,2023-08-01,2100.50,Electronics,Credit Card,Cancelled
459,5434,2023-08-05,123.45,Clothing,PayPal,Completed
460,8760,2023-08-08,890.75,Home,Debit Card,Completed
461,2104,2023-08-12,456.60,Sports,Credit Card,Pending
462,7659,2023-08-15,1567.25,Books,Cash,Completed
463,4323,2023-08-19,234.99,Food,Debit Card,Completed
464,9878,2023-08-22,3450.80,Electronics,Credit Card,Completed
