1234567890.100 | OUT | 10.0.1.5:54321 | 8.8.8.8:53 | 0x1A2B | QUERY | www.example.com | - | -
1234567943.100 | OUT | 10.0.1.5:54346 | 8.8.8.8:53 | 0xA0B1 | QUERY | email.provider.com | - | -
1234567943.140 | IN | 8.8.8.8:53 | 10.0.1.5:54346 | 0xA0B1 | RESPONSE | email.provider.com | 209.85.233.83 | 750
1234567945.250 | OUT | 10.0.1.5:54347 | 8.8.8.8:53 | 0xB1C2 | QUERY | api.payment.com | - | -
1234567945.285 | IN | 8.8.8.8:53 | 10.0.1.5:54347 | 0xB1C2 | RESPONSE | api.payment.com | 151.101.65.195 | 900
1234567947.400 | OUT | 10.0.1.5:54348 | 8.8.8.8:53 | 0xC2D3 | QUERY | secure-banking.example.com | - | -
1234567947.422 | IN | 8.8.8.8:53 | 10.0.1.5:54348 | 0xC2D3 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567947.430 | IN | 203.0.113.99:53 | 10.0.1.5:54348 | 0xC2D3 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567949.550 | OUT | 10.0.1.5:54349 | 8.8.8.8:53 | 0xD3E4 | QUERY | widgets.ui.com | - | -
1234567949.590 | IN | 8.8.8.8:53 | 10.0.1.5:54349 | 0xD3E4 | RESPONSE | widgets.ui.com | 104.18.32.68 | 1200
1234567951.700 | OUT | 10.0.1.5:54350 | 8.8.8.8:53 | 0xE4F5 | QUERY | search.engine.com | - | -
1234567951.735 | IN | 8.8.8.8:53 | 10.0.1.5:54350 | 0xE4F5 | RESPONSE | search.engine.com | 172.217.14.110 | 300
1234567953.850 | OUT | 10.0.1.5:54351 | 8.8.8.8:53 | 0xF506 | QUERY | secure-banking.example.com | - | -
1234567953.868 | IN | 203.0.113.99:53 | 10.0.1.5:54351 | 0xF506 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567953.895 | IN | 8.8.8.8:53 | 10.0.1.5:54351 | 0xF506 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567956.000 | OUT | 10.0.1.5:54352 | 8.8.8.8:53 | 0x0617 | QUERY | download.updates.com | - | -
1234567956.040 | IN | 8.8.8.8:53 | 10.0.1.5:54352 | 0x0617 | RESPONSE | download.updates.com | 93.184.216.119 | 3600
1234567958.150 | OUT | 10.0.1.5:54353 | 8.8.8.8:53 | 0x1728 | QUERY | blog.content.net | - | -
1234567958.190 | IN | 8.8.8.8:53 | 10.0.1.5:54353 | 0x1728 | RESPONSE | blog.content.net | 185.199.108.153 | 600
1234567960.300 | OUT | 10.0.1.5:54354 | 8.8.8.8:53 | 0x2839 | QUERY | secure-banking.example.com | - | -
1234567960.318 | IN | 8.8.8.8:53 | 10.0.1.5:54354 | 0x2839 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567960.326 | IN | 203.0.113.99:53 | 10.0.1.5:54354 | 0x2839 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567962.450 | OUT | 10.0.1.5:54355 | 8.8.8.8:53 | 0x394A | QUERY | media.uploads.com | - | -
1234567962.485 | IN | 8.8.8.8:53 | 10.0.1.5:54355 | 0x394A | RESPONSE | media.uploads.com | 52.222.128.64 | 900
1234567964.600 | OUT | 10.0.1.5:54356 | 8.8.8.8:53 | 0x4A5B | QUERY | status.monitor.io | - | -
1234567964.640 | IN | 8.8.8.8:53 | 10.0.1.5:54356 | 0x4A5B | RESPONSE | status.monitor.io | 104.17.176.85 | 1500
1234567966.750 | OUT | 10.0.1.5:54357 | 8.8.8.8:53 | 0x5B6C | QUERY | secure-banking.example.com | - | -
1234567966.772 | IN | 8.8.8.8:53 | 10.0.1.5:54357 | 0x5B6C | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567966.780 | IN | 203.0.113.99:53 | 10.0.1.5:54357 | 0x5B6C | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567968.900 | OUT | 10.0.1.5:54358 | 8.8.8.8:53 | 0x6C7D | QUERY | forum.discussion.com | - | -
1234567968.935 | IN | 8.8.8.8:53 | 10.0.1.5:54358 | 0x6C7D | RESPONSE | forum.discussion.com | 104.26.10.78 | 3600
1234567971.050 | OUT | 10.0.1.5:54359 | 8.8.8.8:53 | 0x7D8E | QUERY | marketplace.shop.com | - | -
1234567971.090 | IN | 8.8.8.8:53 | 10.0.1.5:54359 | 0x7D8E | RESPONSE | marketplace.shop.com | 151.101.1.140 | 600
1234567973.200 | OUT | 10.0.1.5:54360 | 8.8.8.8:53 | 0x8E9F | QUERY | secure-banking.example.com | - | -
1234567973.215 | IN | 203.0.113.99:53 | 10.0.1.5:54360 | 0x8E9F | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567973.242 | IN | 8.8.8.8:53 | 10.0.1.5:54360 | 0x8E9F | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567975.350 | OUT | 10.0.1.5:54361 | 8.8.8.8:53 | 0x9FA0 | QUERY | dashboard.admin.com | - | -
1234567975.385 | IN | 8.8.8.8:53 | 10.0.1.5:54361 | 0x9FA0 | RESPONSE | dashboard.admin.com | 54.192.150.89 | 1200
1234567977.500 | OUT | 10.0.1.5:54362 | 8.8.8.8:53 | 0xA0B1 | QUERY | secure-banking.example.com | - | -
1234567977.520 | IN | 8.8.8.8:53 | 10.0.1.5:54362 | 0xA0B1 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567977.528 | IN | 203.0.113.99:53 | 10.0.1.5:54362 | 0xA0B1 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567979.650 | OUT | 10.0.1.5:54363 | 8.8.8.8:53 | 0xB1C2 | QUERY | tools.developer.io | - | -
1234567979.690 | IN | 8.8.8.8:53 | 10.0.1.5:54363 | 0xB1C2 | RESPONSE | tools.developer.io | 13.227.219.45 | 900
1234567981.800 | OUT | 10.0.1.5:54364 | 8.8.8.8:53 | 0xC2D3 | QUERY | files.document.com | - | -
1234567981.835 | IN | 8.8.8.8:53 | 10.0.1.5:54364 | 0xC2D3 | RESPONSE | files.document.com | 172.67.73.234 | 1800
1234567983.950 | OUT | 10.0.1.5:54365 | 8.8.8.8:53 | 0xD3E4 | QUERY | secure-banking.example.com | - | -
1234567983.968 | IN | 8.8.8.8:53 | 10.0.1.5:54365 | 0xD3E4 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567983.976 | IN | 203.0.113.99:53 | 10.0.1.5:54365 | 0xD3E4 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567986.100 | OUT | 10.0.1.5:54366 | 8.8.8.8:53 | 0xE4F5 | QUERY | backup.restore.net | - | -
1234567986.140 | IN | 8.8.8.8:53 | 10.0.1.5:54366 | 0xE4F5 | RESPONSE | backup.restore.net | 52.84.10.150 | 600
