ProductID,ProductName,Description,Category,Supplier,Cost,RetailPrice,StockQuantity,Warehouse,LastRestocked
P1039,Building Block Table Kids Activity,Large baseplate table with storage drawers compatible with standard building blocks,Toys,CreativePlay Furniture,72.00,159.99,98,Warehouse A,2024-03-04
P1040,Laptop Stand Aluminum Adjustable,Ergonomic design with multiple height settings and cooling ventilation for laptops,Electronics,WorkSpace Solutions,26.00,54.99,356,Warehouse D,2024-01-21
P1041,Composting Bin Outdoor Tumbling,Dual-chamber 43-gallon composter with easy-turn design for efficient decomposition,Garden,EcoGrow Systems,88.00,189.99,76,Warehouse E,2024-02-26
P1042,Duvet Cover Set King Size,Soft microfiber bedding set with zipper closure includes two matching pillow shams,Home,DreamRest Bedding,38.00,79.99,212,Warehouse B,2024-03-12
P1043,Basketball Official Size Composite,Indoor outdoor ball with superior grip and durability meets regulation specifications,Sports,HoopStar Athletics,22.00,49.99,378,Warehouse C,2024-01-17
P1044,Webcam 1080P HD Autofocus,High-definition camera with built-in microphone and tripod mount for video calls,Electronics,VisionTech Cameras,42.00,89.99,298,Warehouse A,2024-02-23
P1045,Cookbook Mediterranean Cuisine,150 authentic recipes with beautiful photography and step-by-step instructions,Books,Culinary Press,16.00,34.99,267,Warehouse D,2024-03-08
P1046,Garden Tool Set 10 Piece,Stainless steel tools with wooden handles includes trowel rake pruner and more,Garden,ToolMaster Garden,44.00,89.99,189,Warehouse E,2024-01-13
P1047,Vacuum Sealer Food Storage System,Automatic sealing machine with starter bags preserves freshness up to 5x longer,Home,FreshKeep Appliances,52.00,109.99,167,Warehouse B,2024-02-19
P1048,Hiking Boots Waterproof Leather,Full-grain leather boots with ankle support and Vibram outsole for rugged trails,Clothing,TrailMaster Footwear,88.00,189.99,134,Warehouse C,2024-03-11
P1049,Action Figure Set Superhero,Highly detailed poseable figures with accessories and interchangeable parts included,Toys,HeroPlay Collectibles,32.00,69.99,312,Warehouse A,2024-01-29
P1050,Tablet Stand Adjustable Multi-Angle,Foldable holder compatible with all tablets and smartphones with anti-slip base,Electronics,MobileTech Accessories,14.00,29.99,467,Warehouse D,2024-02-15
P1051,Watering Can Galvanized Steel,Classic 2-gallon can with removable rose head and long spout for precise watering,Garden,VintageGarden Supply,18.00,39.99,289,Warehouse E,2024-03-06
P1052,Flatware Set Stainless Steel 40-Piece,Service for eight includes dinner forks knives spoons and teaspoons dishwasher safe,Home,TableTop Essentials,45.00,94.99,178,Warehouse B,2024-01-23
P1053,Gym Bag Duffel Large Capacity,Waterproof sports bag with shoe compartment wet pocket and adjustable shoulder strap,Sports,FitCarry Bags,34.00,74.99,256,Warehouse C,2024-02-29
P1054,Monitor 27-inch 4K UHD,Ultra HD display with HDR support and thin bezels perfect for gaming and productivity,Electronics,DisplayPro Monitors,245.00,499.99,89,Warehouse A,2024-03-14
P1055,Biography Political Leader Inspiring,Comprehensive account of influential figure who shaped modern history and policy,Books,Legacy Publishing,13.50,28.99,345,Warehouse D,2024-01-11
P1056,Greenhouse Mini Walk-In,6-shelf portable greenhouse with clear PVC cover and roll-up door for easy access,Garden,GrowSpace Structures,65.00,139.99,54,Warehouse E,2024-02-17
P1057,Espresso Machine Semi-Automatic,15-bar pump system with milk frother makes barista-quality coffee drinks at home,Home,CafeBrew Appliances,185.00,389.99,76,Warehouse B,2024-03-10
P1058,Sweater Crew Neck Merino Wool,Premium wool blend pullover with ribbed trim available in classic solid colors,Clothing,WoolCraft Fashion,48.00,109.99,234,Warehouse C,2024-01-27
P1059,Dollhouse Victorian Style Wooden,Three-story house with detailed rooms and furniture set encourages imaginative play,Toys,DreamHome Toys,95.00,199.99,67,Warehouse A,2024-02-13
P1060,External Hard Drive 2TB Portable,USB 3.0 fast transfer speeds with automatic backup software and compact design,Electronics,DataStore Solutions,58.00,119.99,289,Warehouse D,2024-03-09
P1061,Lawn Mower Reel Manual Push,Eco-friendly 16-inch cutting width with adjustable height settings quiet operation,Garden,GreenCut Equipment,78.00,169.99,98,Warehouse E,2024-01-15
P1062,Wine Glass Set Crystal Clear,Set of six elegant stemware glasses with thin rims perfect for red or white wine,Home,CrystalWare Collections,28.00,59.99,212,Warehouse B,2024-02-21
P1063,Swimming Goggles Anti-Fog UV,Comfortable silicone seal with adjustable strap and mirrored lenses for pool or ocean,Sports,AquaVision Swim,16.00,34.99,423,Warehouse C,2024-03-13
P1064,Smart Watch Fitness Tracker,Heart rate monitor sleep tracking GPS and 7-day battery life with touchscreen display,Electronics,WearTech Devices,72.00,159.99,198,Warehouse A,2024-01-20
P1065,Self-Help Book Personal Growth,Practical strategies for building confidence and achieving life goals with exercises,Books,Empower Publishing,10.00,21.99,512,Warehouse D,2024-02-16
P1066,Garden Sprinkler Oscillating Adjustable,Covers up to 3600 square feet with customizable spray pattern for lawn watering,Garden,HydroSpray Products,24.00,49.99,267,Warehouse E,2024-03-07
P1067,Slow Cooker Programmable 6-Quart,Digital timer with multiple heat settings and removable ceramic pot dishwasher safe,Home,SlowChef Appliances,38.00,79.99,156,Warehouse B,2024-01-25
P1068,Dress Shirt Long Sleeve Wrinkle-Free,Professional business shirt in multiple sizes with button-down collar and chest pocket,Clothing,ExecutiveWear Ltd,26.00,59.99,389,Warehouse C,2024-02-12
P1069,Train Set Electric Battery Operated,Complete railway system with tracks engine cars and accessories for hours of fun,Toys,RailRoad Adventures,48.00,99.99,178,Warehouse A,2024-03-05
P1070,Printer Wireless All-in-One,Print scan copy with mobile printing capability and automatic document feeder,Electronics,PrintPro Technology,125.00,259.99,134,Warehouse D,2024-01-18
P1071,Plant Support Stakes Bamboo 4ft,Natural bamboo poles pack of 25 perfect for tomatoes flowers and climbing plants,Garden,SupportGrow Supplies,12.00,24.99,456,Warehouse E,2024-02-24
P1072,Throw Blanket Fleece Soft,Cozy 50x60 inch blanket in multiple colors perfect for couch bed or travel use,Home,ComfyHome Textiles,18.00,39.99,345,Warehouse B,2024-03-11
P1073,Resistance Bands Set Exercise,Five bands with different resistance levels includes handles door anchor and carry bag,Sports,FlexFit Equipment,22.00,44.99,412,Warehouse C,2024-01-14
P1074,Graphics Tablet Digital Drawing,Pressure-sensitive pen display with 8192 levels for artists and designers creativity,Electronics,ArtTech Tablets,158.00,329.99,89,Warehouse A,2024-02-28
P1075,Mystery Novel Detective Series,Page-turning whodunit with clever clues and surprising revelations keeps readers guessing,Books,CrimeScene Press,9.00,18.99,489,Warehouse D,2024-03-14
P1076,Wheelbarrow Heavy Duty Steel,5 cubic foot capacity with pneumatic tire and ergonomic handles for yard work,Garden,LoadMaster Tools,68.00,149.99,112,Warehouse E,2024-01-21
P1077,Food Processor 12-Cup Capacity,Powerful motor with multiple blades for chopping slicing shredding and mixing tasks,Home,ProcessPro Kitchen,88.00,189.99,98,Warehouse B,2024-02-17
P1078,Socks Athletic Cushioned 6-Pack,Moisture-wicking performance socks with arch support and reinforced heel and toe,Clothing,SportSock Co,14.00,29.99,578,Warehouse C,2024-03-12
P1079,Board Game Strategy Family,Award-winning game for 2-4 players ages 10+ with engaging gameplay and replay value,Toys,GameNight Productions,28.00,59.99,234,Warehouse A,2024-01-26
P1080,Phone Case Protective Shockproof,Heavy-duty case with raised edges and military-grade drop protection for smartphones,Electronics,ShieldTech Cases,16.00,34.99,467,Warehouse D,2024-02-22
P1081,Leaf Blower Cordless Battery,Lightweight handheld blower with variable speed control and long-lasting lithium battery,Garden,WindForce Tools,85.00,179.99,87,Warehouse E,2024-03-08
P1082,Wall Clock Modern Silent,Large 14-inch clock with non-ticking movement and easy-to-read numbers decorative design,Home,TimeKeeper Decor,22.00,44.99,278,Warehouse B,2024-01-13
P1083,Kettlebell Cast Iron Coated,Single weight with wide handle and flat base for strength training and conditioning,Sports,IronFit Weights,24.00,49.99,312,Warehouse C,2024-02-19
P1084,Projector Home Theater 1080P,Bright LED projector with HDMI input and built-in speaker for movies and gaming,Electronics,ViewMax Projectors,135.00,279.99,112,Warehouse A,2024-03-13
P1085,Travel Guide Europe Comprehensive,Detailed guidebook with maps recommendations and insider tips for 25 countries,Books,Wanderlust Publishing,15.00,32.99,367,Warehouse D,2024-01-09
P1086,Bird Feeder Hanging Squirrel-Proof,Metal feeder with weight-activated perches holds 5 pounds of seed attracts songbirds,Garden,WildBird Supply,32.00,64.99,189,Warehouse E,2024-02-25
P1087,Mixing Bowls Glass Set Nesting,Tempered glass bowls in three sizes with lids for food storage microwave safe,Home,GlassWorks Kitchen,26.00,54.99,234,Warehouse B,2024-03-10
P1088,Polo Shirt Cotton Pique,Classic fit shirt with two-button placket and ribbed collar in assorted colors,Clothing,SportClassic Apparel,24.00,54.99,456,Warehouse C,2024-01-16
P1089,Play Kitchen Set Wooden Toy,Realistic playset with stove sink refrigerator and accessories encourages role play,Toys,ImaginPlay Toys,78.00,169.99,89,Warehouse A,2024-02-11
P1090,Cable Management Box Organizer,Hideaway box conceals power strips and cords with side openings for cable routing,Electronics,NeatDesk Solutions,18.00,36.99,389,Warehouse D,2024-03-06
P1091,Garden Edging Plastic Flexible,50-foot roll of lawn edging creates clean borders around beds and walkways,Garden,BorderPro Landscaping,16.00,34.99,312,Warehouse E,2024-01-22
P1092,Air Fryer 5-Quart Digital,Oil-free cooking with preset programs and dishwasher-safe basket for healthy meals,Home,CrispAir Appliances,68.00,139.99,145,Warehouse B,2024-02-27
P1093,Compression Shorts Athletic,Lightweight moisture-wicking shorts with flat seams prevent chafing during workouts,Clothing,PerformFit Activewear,22.00,49.99,367,Warehouse C,2024-03-14
P1094,Robot Toy Programmable STEM,Educational robot teaches coding basics with app control and multiple play modes,Toys,TechKids Learning,58.00,129.99,156,Warehouse A,2024-01-19
P1095,Power Bank 20000mAh Portable,High-capacity external battery with dual USB ports and LED display fast charging,Electronics,ChargeMax Power,32.00,69.99,298,Warehouse D,2024-02-15
P1096,Soil Test Kit Accurate,Complete testing kit measures pH nitrogen phosphorus and potassium levels in soil,Garden,GrowScience Labs,14.00,29.99,278,Warehouse E,2024-03-11
P1097,Serving Platter Porcelain Oval,Large 16-inch white platter with elegant design perfect for entertaining and holidays,Home,ServeWell Dinnerware,24.00,49.99,189,Warehouse B,2024-01-24
P1098,Golf Balls Premium 12-Pack,Multi-layer construction with soft cover for distance and control on the course,Sports,ProGolf Equipment,28.00,59.99,267,Warehouse C,2024-02-20
P1099,Surge Protector 12 Outlets,Power strip with 6-foot cord overload protection and mounting holes for workstations,Electronics,SafePower Devices,22.00,44.99,423,Warehouse A,2024-03-09
P1100,Cookbook Vegan Plant-Based,Delicious recipes with nutritional information and tips for healthy plant-based eating,Books,GreenLeaf Publishers,14.00,29.99,412,Warehouse D,2024-01-12
P1101,Trellis Garden Obelisk Metal,Decorative 6-foot tall climbing plant support with powder-coated finish weather resistant,Garden,VerticalGrow Structures,42.00,89.99,134,Warehouse E,2024-02-18
P1102,Blender High Speed Professional,1500-watt motor with multiple speeds crushes ice makes smoothies soups and more,Home,BlendMaster Appliances,95.00,199.99,112,Warehouse B,2024-03-13
P1103,Cardigan Sweater Button Front,Lightweight knit cardigan with pockets comfortable fit for layering year-round,Clothing,CozyKnit Fashion,32.00,69.99,312,Warehouse C,2024-01-17
P1104,Art Set Kids Complete,Includes crayons markers colored pencils paint and paper for creative expression,Toys,ColorSplash Arts,24.00,49.99,389,Warehouse A,2024-02-13
P1105,Desk Organizer Bamboo Multi-Compartment,Eco-friendly organizer with sections for pens pencils clips and office supplies,Electronics,WorkSpace Organizers,18.00,38.99,345,Warehouse D,2024-03-08
P1106,Loppers Bypass Pruning 28-Inch,Long-handled cutting tool with sharp blades cuts branches up to 2 inches diameter,Garden,CutPro Garden Tools,28.00,59.99,223,Warehouse E,2024-01-14
P1107,Candle Set Scented Aromatherapy,Three luxury candles with essential oils in glass jars burn time 40 hours each,Home,AromaLux Candles,26.00,54.99,267,Warehouse B,2024-02-21
P1108,Foam Roller High Density,36-inch roller for muscle recovery and massage with textured surface and core exercises,Sports,RecoverFit Equipment,18.00,39.99,378,Warehouse C,2024-03-12
P1109,Security Camera Wireless Outdoor,1080P HD camera with night vision motion detection and weatherproof housing,Electronics,SecureView Systems,58.00,129.99,167,Warehouse A,2024-01-20
P1110,Fantasy Novel Epic Adventure,Immersive world-building with magic quests and memorable heroes in multi-book saga,Books,DragonTale Press,12.50,26.99,445,Warehouse D,2024-02-16
P1111,Mulch Rubber Recycled 20-Pound,Eco-friendly playground and garden mulch in brown color controls weeds retains moisture,Garden,EarthCycle Products,14.00,29.99,234,Warehouse E,2024-03-07
P1112,Toaster 4-Slice Stainless Steel,Wide slots with adjustable browning control and removable crumb tray easy cleaning,Home,ToastPerfect Appliances,42.00,89.99,198,Warehouse B,2024-01-25
P1113,Thermal Underwear Set Base Layer,Moisture-wicking long underwear top and bottom for cold weather outdoor activities,Clothing,WarmTech Thermals,32.00,69.99,289,Warehouse C,2024-02-22
P1114,Magnetic Blocks Building Set,100-piece set with colorful shapes creates 3D structures develops spatial reasoning,Toys,MagnaPlay Construction,38.00,79.99,212,Warehouse A,2024-03-14
P1115,Ring Light LED Dimmable,10-inch light with tripod stand and phone holder for photography and video recording,Electronics,StudioLight Pro,34.00,74.99,256,Warehouse D,2024-01-11
P1116,Weed Barrier Fabric 3x50ft,Heavy-duty landscape fabric blocks weeds allows water and nutrients to pass through,Garden,BarrierGuard Landscaping,22.00,46.99,178,Warehouse E,2024-02-27
P1117,Baking Sheet Set Nonstick,Three aluminum pans in different sizes with reinforced rims prevents warping,Home,BakePro Cookware,26.00,54.99,289,Warehouse B,2024-03-11
P1118,Jump Rope Adjustable Speed,Lightweight rope with comfortable handles and ball bearings for cardio workouts,Sports,JumpFit Training,12.00,24.99,467,Warehouse C,2024-01-18
P1119,Headphone Stand Aluminum Universal,Sturdy desk stand with non-slip base displays and protects gaming or music headphones,Electronics,AudioRack Accessories,16.00,34.99,378,Warehouse A,2024-02-14
P1120,Children Book Illustrated Classic,Beautifully illustrated timeless story with life lessons perfect for bedtime reading,Books,StoryTime Publishers,8.00,17.99,534,Warehouse D,2024-03-09
P1121,Rain Barrel 50-Gallon Plastic,Collects rainwater from downspouts with spigot and overflow valve for conservation,Garden,AquaSave Systems,55.00,119.99,89,Warehouse E,2024-01-15
P1122,French Press Coffee Maker Glass,34-ounce capacity with stainless steel frame brews rich flavorful coffee in minutes,Home,BrewCraft Coffee,24.00,49.99,245,Warehouse B,2024-02-20
P1123,Scarf Infinity Loop Knit,Soft acrylic blend circle scarf in trendy patterns keeps neck warm and stylish,Clothing,WrapStyle Accessories,14.00,32.99,412,Warehouse C,2024-03-13
P1124,Toy Garage Parking Playset,Multi-level garage with ramps elevator and car wash includes die-cast vehicles,Toys,AutoPlay Toys,45.00,94.99,156,Warehouse A,2024-01-21
P1125,Mouse Pad Extended Gaming,Large desk mat with stitched edges and non-slip rubber base for keyboard and mouse,Electronics,GameDesk Accessories,14.00,29.99,489,Warehouse D,2024-02-17
P1126,Fertilizer Organic All-Purpose,Natural plant food with slow-release formula for vegetables flowers and lawns,Garden,NutriGrow Organics,16.00,34.99,356,Warehouse E,2024-03-08
P1127,Electric Kettle Variable Temperature,1.7-liter capacity with precise temperature control for tea coffee and pour-over,Home,BoilQuick Appliances,48.00,99.99,189,Warehouse B,2024-01-26
P1128,Belt Leather Reversible,Genuine leather belt with silver buckle black and brown sides in multiple sizes,Clothing,LeatherCraft Goods,24.00,54.99,334,Warehouse C,2024-02-23
P1129,Trampoline Mini Exercise,40-inch rebounder with safety pad and sturdy legs for low-impact cardio workouts,Sports,BounceBack Fitness,58.00,129.99,123,Warehouse A,2024-03-12
P1130,Router WiFi 6 Dual Band,High-speed wireless router with advanced security features covers large homes,Electronics,NetSpeed Technology,88.00,189.99,145,Warehouse D,2024-01-19
P1131,Poetry Collection Contemporary Award,Thought-provoking verses exploring themes of love loss and human connection,Books,VerseCraft Publishing,10.50,22.99,312,Warehouse E,2024-02-15
P1132,Gloves Gardening Nitrile Coated,Breathable work gloves with grippy coating protects hands from thorns and dirt,Garden,HandSafe Garden Wear,8.00,17.99,523,Warehouse B,2024-03-10
P1133,Dish Rack Stainless Steel Large,Two-tier drying rack with utensil holder and drainboard holds up to 18 plates,Home,DrainWell Kitchen,32.00,69.99,212,Warehouse C,2024-01-16
P1134,Sunglasses Polarized UV Protection,Sporty wrap-around style reduces glare with impact-resistant lenses and case included,Clothing,SunShield Eyewear,22.00,49.99,378,Warehouse A,2024-02-12
P1135,Play Tent Castle Indoor,Pop-up tent with tunnel creates magical play space easy setup and storage,Toys,FortFun Playhouses,28.00,59.99,234,Warehouse D,2024-03-07
P1136,Stylus Pen iPad Apple Pencil Alternative,Precision tip with palm rejection for drawing note-taking and digital art creation,Electronics,TouchWrite Tech,26.00,56.99,298,Warehouse E,2024-01-23
P1137,Shovel Round Point Heavy Duty,Fiberglass handle with steel blade for digging planting and moving soil efficiently,Garden,DigMaster Tools,32.00,64.99,189,Warehouse B,2024-02-19
P1138,Spice Rack Countertop Rotating,Bamboo carousel holds 20 glass jars with labels included keeps spices organized,Home,FlavorOrganize Kitchen,28.00,59.99,223,Warehouse C,2024-03-14
P1139,Dumbbells Adjustable Weight Set,Quick-change dial system replaces 15 sets of weights compact design saves space,Sports,PowerLift Equipment,145.00,299.99,67,Warehouse A,2024-01-14
P1140,LED Strip Lights Color Changing,16-foot flexible lighting with remote control and adhesive backing for ambient lighting,Electronics,LightFX Solutions,22.00,46.99,367,Warehouse D,2024-02-25
P1141,Journal Leather Bound Refillable,Handcrafted notebook with lined pages perfect for writing sketching or planning,Books,WriteWell Stationery,18.00,39.99,289,Warehouse E,2024-03-11
P1142,Rake Leaf Adjustable Width,Fan rake expands from 7 to 22 inches with telescoping handle for versatile yard cleanup,Garden,SweepEasy Tools,20.00,42.99,267,Warehouse B,2024-01-17
P1143,Mirror Bathroom Wall Mounted,Rectangular mirror with beveled edge and mounting hardware measures 24x36 inches,Home,ReflectWell Decor,38.00,79.99,156,Warehouse C,2024-02-21
P1144,Hat Baseball Cap Adjustable,Cotton twill cap with embroidered logo and curved brim unisex casual headwear,Clothing,CapStyle Headwear,12.00,26.99,534,Warehouse A,2024-03-13
P1145,Microscope Kids Science Learning,40x-400x magnification with LED illumination includes prepared slides and tools,Toys,DiscoverLab Education,42.00,89.99,145,Warehouse D,2024-01-20
P1146,Tripod Camera Lightweight Portable,Adjustable height up to 60 inches with quick-release plate for DSLR and smartphones,Electronics,PhotoStand Gear,28.00,59.99,278,Warehouse E,2024-02-16
P1147,Fertilizer Spreader Push Lawn,Broadcast spreader with 12-inch wheels and adjustable settings covers large areas,Garden,LawnCare Equipment,48.00,99.99,112,Warehouse B,2024-03-09
P1148,Oven Mitts Heat Resistant Silicone,Pair of mitts withstands up to 500 degrees with non-slip grip and long cuffs,Home,SafeGrip Kitchen,14.00,29.99,389,Warehouse C,2024-01-15
P1149,Backpack Hiking Daypack 30L,Ventilated back panel with hydration compatibility and rain cover for trail adventures,Sports,TrailPack Gear,52.00,109.99,167,Warehouse A,2024-02-28
P1150,Scanner Document Portable USB,Compact flatbed scanner with high resolution and software for home office digitizing,Electronics,ScanPro Devices,68.00,149.99,198,Warehouse D,2024-03-14
