TransactionID,CustomerID,Product,Quantity,Price,Date,Region,Category
T1088,C223,Throw Pillows Decorative Velvet Covers Set Four,8,49.99,2023-06-10,West,Home
T1089,C456,Jump Rope Speed Training Adjustable Ball Bearings,12,19.99,2023-06-11,North,Sports
T1090,C134,Comic Book Vintage Rare Collectible First Edition,1,249.99,2023-06-12,South,Books
T1091,C378,Smart Home Hub Voice Control Compatible Devices,3,129.99,2023-06-13,East,Electronics
T1092,C490,Gloves Winter Leather Touchscreen Thermal Insulated,10,49.99,2023-06-14,West,Clothing
T1093,C267,Bar Stool Set Two Counter Height Swivel Padded,2,229.99,2023-06-15,North,Home
T1094,C423,Skateboard Complete Deck Wheels Trucks Assembled,3,109.99,2023-06-16,South,Sports
T1095,C156,Medical Reference Guide Comprehensive Clinical Manual,2,149.99,2023-06-17,East,Books
T1096,C345,Dash Cam Dual Camera Front Rear Night Vision HD,4,159.99,2023-06-18,West,Electronics
T1097,C478,Vest Puffer Down-Filled Sleeveless Packable Lightweight,9,79.99,2023-06-19,North,Clothing
T1098,C234,Clock Wall Large Modern Silent Quartz Movement,4,69.99,2023-06-20,South,Home
T1099,C401,Resistance Bands Set Five Exercise Workout Fitness,7,34.99,2023-06-21,East,Sports
T1100,C189,Gardening Encyclopedia Plants Flowers Complete Guide,5,59.99,2023-06-22,West,Books
T1101,C312,Projector Home Theater 1080p Full HD LED Portable,2,349.99,2023-06-23,North,Electronics
T1102,C467,Suit Two-Piece Formal Business Charcoal Gray Wool,1,449.99,2023-06-24,South,Clothing
T1103,C290,Candle Set Scented Soy Wax Luxury Gift Box Three,12,44.99,2023-06-25,East,Home
T1104,C445,Bicycle Helmet Adult Safety Certified Adjustable Fit,6,54.99,2023-06-26,West,Sports
T1105,C178,Atlas World Geography Maps Historical Reference Large,3,79.99,2023-06-27,North,Books
T1106,C389,Fitness Tracker Heart Rate Sleep Monitor Waterproof,8,99.99,2023-06-28,South,Electronics
T1107,C423,Socks Athletic Cushioned Arch Support Pack Twelve,25,29.99,2023-06-29,East,Clothing
T1108,C256,Trash Can Stainless Steel Step Pedal Kitchen Large,2,89.99,2023-06-30,West,Home
T1109,C412,Archery Set Bow Arrow Target Practice Beginner Kit,1,179.99,2023-07-01,North,Sports
T1110,C167,Journal Leather-Bound Notebook Handmade Paper Vintage,8,39.99,2023-07-02,South,Books
T1111,C334,Graphics Card Gaming GPU 8GB GDDR6 Ray Tracing,1,599.99,2023-07-03,East,Electronics
T1112,C489,Leggings High-Waist Yoga Pants Compression Athletic,14,44.99,2023-07-04,West,Clothing
T1113,C223,Blanket Throw Fleece Soft Warm Cozy Oversized Queen,6,54.99,2023-07-05,North,Home
T1114,C456,Punching Bag Heavy Duty Boxing Stand Gloves Included,1,299.99,2023-07-06,South,Sports
T1115,C134,Philosophy Classics Anthology Translated Annotated,4,64.99,2023-07-07,East,Books
T1116,C378,Security Camera Wireless Outdoor Weatherproof Night Vision,5,119.99,2023-07-08,West,Electronics
T1117,C490,Hat Baseball Cap Adjustable Cotton Embroidered Logo,18,24.99,2023-07-09,North,Clothing
T1118,C267,Towel Set Bath Egyptian Cotton Luxury Six-Piece,3,99.99,2023-07-10,South,Home
T1119,C401,Stopwatch Digital Timer Sports Lap Counter Memory,8,19.99,2023-07-11,East,Sports
T1120,C156,Children Series Adventure Chapter Books Set Eight,5,89.99,2023-07-12,West,Books
T1121,C345,Memory Card MicroSD 128GB Class 10 High Speed Adapter,10,29.99,2023-07-13,North,Electronics
T1122,C478,Pajamas Flannel Two-Piece Set Comfortable Sleepwear,11,49.99,2023-07-14,South,Clothing
T1123,C234,Plant Pot Ceramic Indoor Outdoor Drainage Large White,7,39.99,2023-07-15,East,Home
T1124,C423,Foam Roller Muscle Massage Deep Tissue Trigger Point,6,29.99,2023-07-16,West,Sports
T1125,C189,Legal Reference Law Dictionary Professional Edition,2,99.99,2023-07-17,North,Books
T1126,C312,Drone Quadcopter Camera 4K HD GPS Return Home Feature,1,699.99,2023-07-18,South,Electronics
T1127,C467,Raincoat Waterproof Hooded Packable Travel Emergency,15,34.99,2023-07-19,East,Clothing
T1128,C290,Wine Rack Standing Floor Holds Twenty Bottles Wood,2,149.99,2023-07-20,West,Home
T1129,C445,Cooler Insulated Large Capacity Wheels Handle Camping,1,129.99,2023-07-21,North,Sports
T1130,C178,History Ancient Civilizations Illustrated Hardcover,3,74.99,2023-07-22,South,Books
T1131,C389,Cable Organizer Set Clips Management Desk Accessories,20,14.99,2023-07-23,East,Electronics
T1132,C412,Swimsuit One-Piece Athletic Chlorine Resistant Racing,8,69.99,2023-07-24,West,Clothing
T1133,C256,Shower Curtain Waterproof Fabric Hooks Included Modern,9,34.99,2023-07-25,North,Home
T1134,C401,Frisbee Ultimate Disc Professional Weight Diameter,10,19.99,2023-07-26,South,Sports
T1135,C167,Economics Principles Textbook Theory Application Current,2,139.99,2023-07-27,East,Books
T1136,C334,SSD Internal Drive Solid State 1TB SATA High Performance,3,149.99,2023-07-28,West,Electronics
T1137,C489,Sunglasses Polarized UV Protection Designer Style Unisex,12,89.99,2023-07-29,North,Clothing
T1138,C223,Hamper Laundry Basket Collapsible Handles Waterproof,5,44.99,2023-07-30,South,Home
T1139,C456,Pedometer Step Counter Walking Fitness Clip Digital,16,14.99,2023-07-31,East,Sports
T1140,C134,Music Theory Workbook Comprehensive Exercises Practice,6,34.99,2023-08-01,West,Books
T1141,C378,Smart Doorbell Video Camera Motion Detection WiFi,2,179.99,2023-08-02,North,Electronics
T1142,C490,Backpack School Student Laptop Compartment USB Charging,10,54.99,2023-08-03,South,Clothing
T1143,C267,Shelf Floating Wall Mount Set Three Wood Display Storage,8,59.99,2023-08-04,East,Home
T1144,C423,Hockey Stick Composite Carbon Fiber Blade Flex Senior,2,119.99,2023-08-05,West,Sports
T1145,C156,Religion Spirituality Meditation Guide Wisdom Teachings,7,29.99,2023-08-06,North,Books
T1146,C345,Charger Multi-Device Station Fast Charging USB Ports Six,4,79.99,2023-08-07,South,Electronics
T1147,C478,Robe Bathrobe Terry Cloth Hooded Soft Absorbent Spa,6,69.99,2023-08-08,East,Clothing
T1148,C234,Basket Storage Woven Decorative Handle Organizing Set,9,49.99,2023-08-09,West,Home
T1149,C401,Water Bottle Insulated Stainless Steel Large Capacity,13,39.99,2023-08-10,North,Sports
T1150,C189,Photography Manual Techniques Lighting Composition Professional,4,89.99,2023-08-11,South,Books
