transaction_id,transaction_amount,account_age_days,num_transactions_24h,avg_transaction_amount,distance_from_home,merchant_category,is_international,hour_of_day,day_of_week,device_type,is_fraud
55,456.30,1098,2,442.80,19.6,retail,0,14,2,mobile,0
56,89.50,2178,1,94.70,5.5,gas,0,8,4,desktop,0
57,2890.00,47,9,149.20,1980.75,online,1,1,1,mobile,1
58,145.80,1734,2,138.40,8.7,grocery,0,11,5,tablet,0
59,98.30,2456,1,102.80,6.4,retail,0,13,3,mobile,0
60,3350.00,43,12,171.50,2180.25,travel,1,4,6,desktop,1
61,178.70,1567,3,172.30,11.5,entertainment,0,19,0,tablet,0
62,67.80,2234,1,72.90,3.8,gas,0,7,2,mobile,0
63,1675.00,59,8,144.60,1720.50,online,1,2,4,desktop,1
64,245.30,1845,2,236.80,15.8,restaurant,0,18,1,tablet,0
65,567.40,1176,2,551.20,27.3,online,0,16,5,mobile,0
66,76.90,2367,1,81.60,4.9,grocery,0,9,3,desktop,0
67,2950.00,54,11,156.30,2050.00,travel,1,3,6,mobile,1
68,134.50,1689,2,129.80,9.1,retail,0,12,0,tablet,0
69,89.70,2189,1,94.30,5.7,gas,0,8,2,mobile,0
70,3200.00,40,10,168.70,1890.75,online,1,1,4,desktop,1
71,198.90,1923,3,189.40,13.2,entertainment,0,17,1,tablet,0
72,94.50,2098,1,98.80,6.2,grocery,0,10,5,mobile,0
73,2550.00,56,9,147.90,1820.50,travel,1,2,3,desktop,1
74,167.60,1756,2,161.20,10.3,restaurant,0,19,6,tablet,0
75,78.90,2289,1,83.40,4.6,retail,0,11,0,mobile,0
76,456.80,1045,3,438.20,21.8,online,0,15,2,desktop,0
77,3450.00,46,12,164.80,2150.00,travel,1,4,4,mobile,1
78,145.20,1834,2,139.90,9.5,grocery,0,10,1,tablet,0
79,87.40,2456,1,91.80,5.4,gas,0,7,5,desktop,0
80,1920.00,62,8,141.30,1680.25,online,1,3,3,mobile,1
81,234.70,1567,3,226.50,14.7,entertainment,0,18,6,tablet,0
82,98.60,2178,1,102.50,6.5,retail,0,12,0,mobile,0
83,2850.00,48,10,153.40,1950.75,online,1,2,2,desktop,1
84,178.30,1689,2,172.60,11.9,restaurant,0,19,4,tablet,0
85,67.50,2234,1,72.10,3.7,grocery,0,9,1,mobile,0
86,3100.00,41,11,169.20,2230.00,travel,1,3,5,desktop,1
87,245.90,1923,3,238.70,15.4,entertainment,0,17,3,tablet,0
88,567.60,1198,2,548.30,28.5,online,0,14,6,mobile,0
89,76.30,2367,1,81.90,4.4,gas,0,8,0,desktop,0
90,2750.00,53,9,150.80,1920.50,travel,1,1,2,mobile,1
91,134.80,1756,2,129.30,8.9,retail,0,13,4,tablet,0
92,89.20,2189,1,94.60,5.9,grocery,0,10,1,mobile,0
93,3350.00,45,12,165.90,2180.75,online,1,4,5,desktop,1
94,198.50,1834,3,189.80,13.6,restaurant,0,18,3,tablet,0
95,94.30,2098,1,98.90,6.3,gas,0,7,6,mobile,0
96,1575.00,58,8,143.20,1650.25,online,1,2,0,desktop,1
97,167.40,1689,2,161.80,10.7,entertainment,0,19,2,tablet,0
98,78.60,2289,1,83.20,4.8,retail,0,11,4,mobile,0
99,456.50,1123,2,442.60,22.1,online,0,16,1,desktop,0
100,3200.00,39,10,167.40,1890.50,travel,1,3,5,mobile,1
101,145.90,1923,2,139.20,9.2,grocery,0,10,3,tablet,0
102,87.80,2456,1,91.40,5.6,gas,0,8,6,desktop,0
103,2950.00,52,11,158.60,2050.25,online,1,1,0,mobile,1
104,234.40,1567,3,226.90,14.9,restaurant,0,17,2,tablet,0
105,98.90,2178,1,102.70,6.6,retail,0,12,4,mobile,0
106,3450.00,44,13,172.30,2150.50,travel,1,4,1,desktop,1
107,178.80,1756,2,172.90,12.1,entertainment,0,19,5,tablet,0
108,67.20,2234,1,72.50,3.9,grocery,0,9,3,mobile,0
109,1850.00,61,8,146.70,1720.75,online,1,2,6,desktop,1
110,245.60,1834,3,238.20,15.6,restaurant,0,18,0,tablet,0
111,567.90,1087,2,551.80,27.9,online,0,15,2,mobile,0
112,76.70,2367,1,81.30,4.7,gas,0,7,4,desktop,0
113,2850.00,49,10,154.20,1980.00,travel,1,3,1,mobile,1
114,134.20,1689,2,129.60,9.4,retail,0,13,5,tablet,0
115,89.40,2189,1,94.80,5.8,grocery,0,10,3,mobile,0
116,3100.00,42,11,168.90,2230.25,online,1,1,6,desktop,1
117,198.70,1923,3,189.50,13.8,entertainment,0,17,0,tablet,0
118,94.60,2098,1,98.40,6.4,gas,0,8,2,mobile,0
119,2650.00,57,9,151.30,1850.50,travel,1,2,4,desktop,1
120,167.80,1756,2,161.50,10.5,restaurant,0,19,1,tablet,0
121,78.40,2289,1,83.60,4.5,retail,0,11,5,mobile,0
122,456.70,1156,2,442.90,22.7,online,0,14,3,desktop,0
123,3350.00,46,12,166.80,2180.00,travel,1,4,6,mobile,1
124,145.50,1834,2,139.70,9.6,grocery,0,10,0,tablet,0
125,87.90,2456,1,91.20,5.3,gas,0,7,2,desktop,0
126,1920.00,63,8,142.90,1680.75,online,1,3,4,mobile,1
127,234.80,1567,3,226.30,14.5,entertainment,0,18,1,tablet,0
128,98.40,2178,1,102.90,6.7,retail,0,12,5,mobile,0
129,2750.00,50,10,153.80,1920.25,online,1,2,3,desktop,1
130,178.60,1689,2,172.40,11.7,restaurant,0,19,6,tablet,0
131,67.60,2234,1,72.80,3.8,grocery,0,9,0,mobile,0
132,3200.00,43,11,169.60,1890.75,travel,1,3,2,desktop,1
133,245.20,1923,3,238.50,15.9,entertainment,0,17,4,tablet,0
134,567.30,1209,2,548.70,28.3,online,0,16,1,mobile,0
135,76.50,2367,1,81.70,4.6,gas,0,8,5,desktop,0
136,2950.00,55,9,157.40,2050.50,travel,1,1,3,mobile,1
137,134.60,1756,2,129.90,9.3,retail,0,13,6,tablet,0
138,89.80,2189,1,94.50,5.7,grocery,0,10,0,mobile,0
139,3450.00,41,12,173.20,2150.75,online,1,4,2,desktop,1
140,198.30,1834,3,189.20,13.4,restaurant,0,18,4,tablet,0
141,94.90,2098,1,98.60,6.5,gas,0,7,1,mobile,0
142,1675.00,59,8,144.80,1720.00,online,1,2,5,desktop,1
143,167.20,1689,2,161.90,10.8,entertainment,0,19,3,tablet,0
144,78.80,2289,1,83.90,4.7,retail,0,11,6,mobile,0
145,456.90,1098,2,442.40,21.5,online,0,15,0,desktop,0
146,3100.00,38,10,167.80,2230.50,travel,1,3,2,mobile,1
147,145.70,1923,2,139.40,9.7,grocery,0,10,4,tablet,0
148,87.30,2456,1,91.60,5.5,gas,0,8,1,desktop,0
149,2850.00,51,11,155.90,1980.25,online,1,1,5,mobile,1
150,234.50,1567,3,226.70,14.8,restaurant,0,17,3,tablet,0
151,98.70,2178,1,102.30,6.8,retail,0,12,6,mobile,0
152,3350.00,47,13,170.40,2180.50,travel,1,4,0,desktop,1
153,178.90,1756,2,172.70,12.3,entertainment,0,19,2,tablet,0
154,67.90,2234,1,72.30,3.6,grocery,0,9,4,mobile,0
155,1850.00,62,8,145.50,1720.25,online,1,2,1,desktop,1
156,245.80,1834,3,238.90,15.7,restaurant,0,18,5,tablet,0
157,567.70,1134,2,551.40,27.6,online,0,14,3,mobile,0
158,76.80,2367,1,81.50,4.8,gas,0,7,6,desktop,0
159,2750.00,53,10,152.70,1920.75,travel,1,3,0,mobile,1
160,134.90,1689,2,129.40,9.1,retail,0,13,2,tablet,0
161,89.60,2189,1,94.90,5.6,grocery,0,10,4,mobile,0
162,3200.00,40,11,168.30,1890.00,online,1,1,1,desktop,1
163,198.80,1923,3,189.60,13.9,entertainment,0,17,5,tablet,0
164,94.40,2098,1,98.70,6.6,gas,0,8,3,mobile,0
165,2550.00,56,9,148.90,1820.25,travel,1,2,6,desktop,1
166,167.50,1756,2,161.30,10.4,restaurant,0,19,0,tablet,0
167,78.30,2289,1,83.50,4.9,retail,0,11,2,mobile,0
168,456.60,1187,2,442.70,22.4,online,0,16,4,desktop,0
169,3450.00,45,12,165.70,2150.00,travel,1,4,1,mobile,1
170,145.40,1834,2,139.80,9.8,grocery,0,10,5,tablet,0
171,87.70,2456,1,91.90,5.4,gas,0,7,3,desktop,0
172,1920.00,64,8,143.60,1680.50,online,1,3,6,mobile,1
173,234.30,1567,3,226.40,14.6,entertainment,0,18,0,tablet,0
174,98.50,2178,1,102.60,6.9,retail,0,12,2,mobile,0
175,2950.00,52,10,156.80,2050.75,online,1,2,4,desktop,1
176,178.40,1689,2,172.80,12.2,restaurant,0,19,1,tablet,0
177,67.70,2234,1,72.60,3.7,grocery,0,9,5,mobile,0
178,3100.00,39,11,169.90,2230.75,travel,1,3,3,desktop,1
179,245.40,1923,3,238.60,16.1,entertainment,0,17,6,tablet,0
180,567.50,1165,2,548.90,28.8,online,0,15,0,mobile,0
181,76.40,2367,1,81.80,4.5,gas,0,8,2,desktop,0
182,2850.00,48,9,154.70,1980.50,travel,1,1,4,mobile,1
183,134.30,1756,2,129.70,9.5,retail,0,13,1,tablet,0
184,89.90,2189,1,94.20,5.8,grocery,0,10,5,mobile,0
185,3350.00,44,12,167.50,2180.25,online,1,4,3,desktop,1
186,198.60,1834,3,189.90,13.7,restaurant,0,18,6,tablet,0
187,94.70,2098,1,98.50,6.7,gas,0,7,0,mobile,0
188,1675.00,60,8,145.90,1720.50,online,1,2,2,desktop,1
189,167.90,1689,2,161.60,10.6,entertainment,0,19,4,tablet,0
190,78.60,2289,1,83.30,4.6,retail,0,11,1,mobile,0
191,456.80,1123,2,442.50,21.9,online,0,14,5,desktop,0
192,3200.00,41,10,168.10,1890.25,travel,1,3,3,mobile,1
193,145.60,1923,2,139.50,9.9,grocery,0,10,6,tablet,0
194,87.50,2456,1,91.70,5.7,gas,0,8,0,desktop,0
195,2750.00,54,11,153.20,1920.00,online,1,1,2,mobile,1
196,234.90,1567,3,226.80,14.4,restaurant,0,17,4,tablet,0
197,98.80,2178,1,102.40,6.8,retail,0,12,1,mobile,0
198,3450.00,46,13,171.90,2150.25,travel,1,4,5,desktop,1
199,178.70,1756,2,172.50,12.4,entertainment,0,19,3,tablet,0
200,67.40,2234,1,72.90,3.9,grocery,0,9,6,mobile,0
201,1850.00,61,8,146.30,1720.75,online,1,2,0,desktop,1
202,245.70,1834,3,238.30,15.5,restaurant,0,18,2,tablet,0
203,567.80,1198,2,551.60,27.2,online,0,16,4,mobile,0
204,76.90,2367,1,81.40,4.7,gas,0,7,1,desktop,0
205,2950.00,49,10,157.80,2050.00,travel,1,3,5,mobile,1
206,134.70,1689,2,129.50,9.2,retail,0,13,3,tablet,0
207,89.30,2189,1,94.70,5.9,grocery,0,10,6,mobile,0
208,3100.00,42,11,169.40,2230.00,online,1,1,0,desktop,1
209,198.40,1923,3,189.30,13.5,entertainment,0,17,2,tablet,0
210,94.50,2098,1,98.80,6.5,gas,0,8,4,mobile,0
211,2650.00,58,9,149.40,1850.75,travel,1,2,1,desktop,1
212,167.30,1756,2,161.70,10.9,restaurant,0,19,5,tablet,0
213,78.90,2289,1,83.70,4.4,retail,0,11,3,mobile,0
214,456.40,1087,2,442.80,22.6,online,0,15,6,desktop,0
215,3350.00,43,12,166.20,2180.50,travel,1,4,0,mobile,1
216,145.80,1834,2,139.30,9.4,grocery,0,10,2,tablet,0
217,87.60,2456,1,91.50,5.8,gas,0,7,4,desktop,0
218,1920.00,63,8,142.40,1680.00,online,1,3,1,mobile,1
219,234.60,1567,3,226.60,14.9,entertainment,0,18,5,tablet,0
220,98.30,2178,1,102.80,7.1,retail,0,12,3,mobile,0
221,2850.00,51,10,155.30,1980.75,online,1,2,6,desktop,1
222,178.50,1689,2,172.20,11.8,restaurant,0,19,0,tablet,0
223,67.80,2234,1,72.40,3.8,grocery,0,9,2,mobile,0
224,3200.00,40,11,168.70,1890.50,travel,1,3,4,desktop,1
225,245.50,1923,3,238.80,16.3,entertainment,0,17,1,tablet,0
226,567.90,1145,2,548.30,28.1,online,0,14,5,mobile,0
227,76.30,2367,1,81.90,4.9,gas,0,8,3,desktop,0
228,2750.00,55,9,152.90,1920.50,travel,1,1,6,mobile,1
229,134.50,1756,2,129.80,9.6,retail,0,13,0,tablet,0
230,89.70,2189,1,94.40,5.7,grocery,0,10,2,mobile,0
231,3450.00,47,12,172.80,2150.75,online,1,4,4,desktop,1
232,198.90,1834,3,189.70,13.3,restaurant,0,18,1,tablet,0
233,94.20,2098,1,98.90,6.9,gas,0,7,5,mobile,0
234,1575.00,59,8,144.20,1650.00,online,1,2,3,desktop,1
235,167.70,1689,2,161.40,10.7,entertainment,0,19,6,tablet,0
236,78.50,2289,1,83.80,4.8,retail,0,11,0,mobile,0
237,456.70,1176,2,442.30,21.7,online,0,16,2,desktop,0
238,3100.00,38,10,167.30,2230.25,travel,1,3,4,mobile,1
239,145.30,1923,2,139.90,10.1,grocery,0,10,1,tablet,0
240,87.90,2456,1,91.30,5.5,gas,0,8,5,desktop,0
241,2950.00,52,11,156.40,2050.50,online,1,1,3,mobile,1
242,234.40,1567,3,226.50,14.7,restaurant,0,17,6,tablet,0
243,98.60,2178,1,102.50,6.6,retail,0,12,0,mobile,0
244,3350.00,45,13,170.80,2180.00,travel,1,4,2,desktop,1
245,178.30,1756,2,172.90,12.5,entertainment,0,19,4,tablet,0
246,67.50,2234,1,72.70,3.7,grocery,0,9,1,mobile,0
247,2850.50,45,8,120.50,1850.75,online,1,2,3,mobile,1
248,245.90,1834,3,238.40,15.8,restaurant,0,18,5,tablet,0
249,567.60,1123,2,551.90,27.8,online,0,15,3,mobile,0
250,76.70,2367,1,81.60,4.6,gas,0,7,6,desktop,0
251,2850.00,50,10,154.50,1980.00,travel,1,3,0,mobile,1
252,134.80,1689,2,129.20,9.3,retail,0,13,2,tablet,0
253,89.50,2189,1,94.80,6.1,grocery,0,10,4,mobile,0
254,3200.00,41,11,169.10,1890.75,online,1,1,1,desktop,1
255,198.70,1923,3,189.40,13.8,entertainment,0,17,5,tablet,0
256,94.80,2098,1,98.30,6.4,gas,0,8,3,mobile,0
257,2550.00,57,9,148.70,1820.50,travel,1,2,6,desktop,1
258,167.60,1756,2,161.80,10.5,restaurant,0,19,0,tablet,0
259,78.20,2289,1,83.40,4.9,retail,0,11,2,mobile,0
260,456.50,1209,2,442.60,22.3,online,0,14,4,desktop,0
261,3450.00,44,12,165.40,2150.00,travel,1,4,1,mobile,1
262,145.90,1834,2,139.60,9.7,grocery,0,10,5,tablet,0
263,87.40,2456,1,91.80,5.9,gas,0,7,3,desktop,0
264,1920.00,62,8,143.80,1680.25,online,1,3,6,mobile,1
265,234.70,1567,3,226.90,14.5,entertainment,0,18,0,tablet,0
266,98.90,2178,1,102.70,6.7,retail,0,12,2,mobile,0
267,2750.00,53,10,153.60,1920.25,online,1,2,4,desktop,1
268,178.80,1689,2,172.60,11.9,restaurant,0,19,1,tablet,0
269,67.30,2234,1,72.80,3.9,grocery,0,9,5,mobile,0
270,3100.00,39,11,168.50,2230.50,travel,1,3,3,desktop,1
271,245.30,1923,3,238.70,16.2,entertainment,0,17,6,tablet,0
272,567.40,1098,2,548.70,28.6,online,0,16,0,mobile,0
273,76.80,2367,1,81.20,4.7,gas,0,8,2,desktop,0
274,2950.00,48,9,157.20,2050.75,travel,1,1,4,mobile,1
275,134.20,1756,2,129.90,9.8,retail,0,13,1,tablet,0
276,89.80,2189,1,94.30,5.6,grocery,0,10,5,mobile,0
277,3350.00,46,12,167.90,2180.75,online,1,4,3,desktop,1
278,198.50,1834,3,189.80,13.6,restaurant,0,18,6,tablet,0
279,94.60,2098,1,98.40,6.8,gas,0,7,0,mobile,0
280,1675.00,58,8,145.60,1720.00,online,1,2,2,desktop,1
281,167.40,1689,2,161.20,10.8,entertainment,0,19,4,tablet,0
282,78.70,2289,1,83.90,4.5,retail,0,11,1,mobile,0
283,456.90,1156,2,442.90,21.4,online,0,15,5,desktop,0
284,3200.00,42,10,168.90,1890.00,travel,1,3,3,mobile,1
285,145.50,1923,2,139.70,10.2,grocery,0,10,6,tablet,0
286,87.80,2456,1,91.40,5.4,gas,0,8,0,desktop,0
287,2850.00,51,11,155.80,1980.50,online,1,1,2,mobile,1
288,234.80,1567,3,226.30,14.8,restaurant,0,17,4,tablet,0
289,98.40,2178,1,102.90,7.2,retail,0,12,1,mobile,0
290,3450.00,47,13,171.60,2150.50,travel,1,4,5,desktop,1
291,178.60,1756,2,172.30,12.1,entertainment,0,19,3,tablet,0
292,67.90,2234,1,72.50,3.6,grocery,0,9,6,mobile,0
293,1850.00,63,8,146.80,1720.25,online,1,2,0,desktop,1
294,245.60,1834,3,238.50,15.9,restaurant,0,18,2,tablet,0
295,567.70,1134,2,551.30,27.5,online,0,14,4,mobile,0
296,76.50,2367,1,81.70,4.8,gas,0,7,1,desktop,0
297,2750.00,54,10,152.40,1920.75,travel,1,3,5,mobile,1
298,134.60,1689,2,129.50,9.4,retail,0,13,3,tablet,0
299,89.20,2189,1,94.60,6.2,grocery,0,10,6,mobile,0
300,3100.00,40,11,169.70,2230.75,online,1,1,0,desktop,1
301,198.30,1923,3,189.50,13.9,entertainment,0,17,2,tablet,0
302,94.90,2098,1,98.60,6.5,gas,0,8,4,mobile,0
303,2650.00,56,9,149.90,1850.00,travel,1,2,1,desktop,1
304,167.80,1756,2,161.50,10.3,restaurant,0,19,5,tablet,0
305,78.40,2289,1,83.60,4.9,retail,0,11,3,mobile,0
306,456.30,1187,2,442.70,22.8,online,0,16,6,desktop,0
307,3350.00,45,12,166.60,2180.25,travel,1,4,0,mobile,1
308,145.70,1834,2,139.40,9.5,grocery,0,10,2,tablet,0
309,87.30,2456,1,91.90,6.1,gas,0,7,4,desktop,0
310,1920.00,64,8,142.60,1680.50,online,1,3,1,mobile,1
311,234.50,1567,3,226.70,15.1,entertainment,0,18,5,tablet,0
312,98.70,2178,1,102.30,6.9,retail,0,12,3,mobile,0
313,2950.00,49,10,156.90,2050.00,online,1,2,6,desktop,1
314,178.90,1689,2,172.70,12.3,restaurant,0,19,0,tablet,0
315,67.60,2234,1,72.30,3.8,grocery,0,9,2,mobile,0
316,3200.00,41,11,168.40,1890.25,travel,1,3,4,desktop,1
317,245.80,1923,3,238.90,16.4,entertainment,0,17,1,tablet,0
318,567.50,1165,2,548.50,28.4,online,0,15,5,mobile,0
319,76.90,2367,1,81.50,4.6,gas,0,8,3,desktop,0
320,2850.00,52,9,154.90,1980.25,travel,1,1,6,mobile,1
321,134.90,1756,2,129.30,9.7,retail,0,13,0,tablet,0
322,89.40,2189,1,94.90,5.8,grocery,0,10,2,mobile,0
323,3450.00,46,12,173.40,2150.25,online,1,4,4,desktop,1
324,198.80,1834,3,189.20,13.4,restaurant,0,18,1,tablet,0
325,94.30,2098,1,98.80,7.1,gas,0,7,5,mobile,0
326,1575.00,60,8,144.40,1650.50,online,1,2,3,desktop,1
327,167.20,1689,2,161.90,11.1,entertainment,0,19,6,tablet,0
328,78.80,2289,1,83.20,4.7,retail,0,11,0,mobile,0
329,456.80,1123,2,442.40,21.6,online,0,14,2,desktop,0
330,3100.00,38,10,167.60,2230.00,travel,1,3,4,mobile,1
331,145.40,1923,2,139.80,10.3,grocery,0,10,1,tablet,0
332,87.70,2456,1,91.60,5.6,gas,0,8,5,desktop,0
333,2750.00,53,11,153.10,1920.50,online,1,1,3,mobile,1
334,234.30,1567,3,226.80,14.6,restaurant,0,17,6,tablet,0
335,98.50,2178,1,102.60,6.8,retail,0,12,0,mobile,0
336,3350.00,44,13,170.30,2180.50,travel,1,4,2,desktop,1
337,178.40,1756,2,172.50,12.6,entertainment,0,19,4,tablet,0
338,67.70,2234,1,72.60,3.9,grocery,0,9,1,mobile,0
339,1850.00,61,8,145.90,1720.75,online,1,2,5,desktop,1
340,245.40,1834,3,238.60,16.1,restaurant,0,18,3,tablet,0
341,567.80,1198,2,551.70,27.1,online,0,16,6,mobile,0
342,76.40,2367,1,81.80,4.9,gas,0,7,0,desktop,0
343,2950.00,50,10,157.50,2050.25,travel,1,3,2,mobile,1
344,134.70,1689,2,129.60,9.9,retail,0,13,4,tablet,0
345,89.60,2189,1,94.50,5.9,grocery,0,10,1,mobile,0
346,3200.00,42,11,169.80,1890.50,online,1,1,5,desktop,1
347,198.60,1923,3,189.90,13.7,entertainment,0,17,3,tablet,0
348,94.70,2098,1,98.50,6.6,gas,0,8,6,mobile,0
349,2650.00,57,9,148.60,1850.25,travel,1,2,0,desktop,1
350,167.50,1756,2,161.30,10.6,restaurant,0,19,2,tablet,0
351,78.30,2289,1,83.50,4.8,retail,0,11,4,mobile,0
352,456.60,1209,2,442.80,22.5,online,0,15,1,desktop,0
353,3450.00,47,12,165.80,2150.75,travel,1,4,5,mobile,1
354,145.80,1834,2,139.50,9.6,grocery,0,10,3,tablet,0
355,87.50,2456,1,91.70,6.3,gas,0,7,6,desktop,0
356,1920.00,63,8,143.20,1680.00,online,1,3,0,mobile,1
357,234.60,1567,3,226.50,15.2,entertainment,0,18,2,tablet,0
358,98.80,2178,1,102.40,7.3,retail,0,12,4,mobile,0
359,2850.00,51,10,155.40,1980.75,online,1,2,1,desktop,1
360,178.70,1689,2,172.80,12.2,restaurant,0,19,5,tablet,0
361,67.50,2234,1,72.90,3.7,grocery,0,9,3,mobile,0
362,3100.00,39,11,168.20,2230.25,travel,1,3,6,desktop,1
363,245.70,1923,3,238.30,15.7,entertainment,0,17,0,tablet,0
364,567.90,1145,2,548.90,28.9,online,0,14,2,mobile,0
365,76.80,2367,1,81.30,4.5,gas,0,8,4,desktop,0
366,2750.00,54,9,152.80,1920.00,travel,1,1,1,mobile,1
367,134.50,1756,2,129.70,10.1,retail,0,13,5,tablet,0
368,89.90,2189,1,94.20,6.4,grocery,0,10,3,mobile,0
369,3350.00,45,12,167.20,2180.00,online,1,4,6,desktop,1
370,198.40,1834,3,189.60,13.8,restaurant,0,18,0,tablet,0
371,94.20,2098,1,98.90,7.2,gas,0,7,2,mobile,0
372,1675.00,59,8,145.30,1720.50,online,1,2,4,desktop,1
373,167.90,1689,2,161.70,10.9,entertainment,0,19,1,tablet,0
374,78.60,2289,1,83.80,4.6,retail,0,11,5,mobile,0
375,456.40,1176,2,442.50,21.8,online,0,16,3,desktop,0
376,3200.00,40,10,167.90,1890.75,travel,1,3,6,mobile,1
377,145.30,1923,2,139.90,10.4,grocery,0,10,0,tablet,0
378,87.90,2456,1,91.20,5.7,gas,0,8,2,desktop,0
379,2950.00,52,11,156.70,2050.50,online,1,1,4,mobile,1
380,234.80,1567,3,226.90,14.9,restaurant,0,17,1,tablet,0
381,98.30,2178,1,102.80,6.7,retail,0,12,5,mobile,0
382,3450.00,48,13,171.30,2150.00,travel,1,4,3,desktop,1
383,178.50,1756,2,172.90,12.7,entertainment,0,19,6,tablet,0
384,67.80,2234,1,72.40,3.8,grocery,0,9,0,mobile,0
385,1850.00,62,8,146.50,1720.25,online,1,2,2,desktop,1
386,245.50,1834,3,238.70,16.3,restaurant,0,18,4,tablet,0
387,567.60,1123,2,551.50,27.7,online,0,15,1,mobile,0
388,76.30,2367,1,81.90,5.1,gas,0,7,5,desktop,0
389,2850.00,50,10,154.30,1980.00,travel,1,3,3,mobile,1
390,134.80,1689,2,129.40,9.5,retail,0,13,6,tablet,0
391,89.50,2189,1,94.70,6.1,grocery,0,10,0,mobile,0
392,3100.00,41,11,169.50,2230.50,online,1,1,2,desktop,1
393,198.90,1923,3,189.30,13.5,entertainment,0,17,4,tablet,0
394,94.80,2098,1,98.30,6.9,gas,0,8,1,mobile,0
395,2550.00,56,9,148.20,1820.75,travel,1,2,5,desktop,1
396,167.30,1756,2,161.80,11.2,restaurant,0,19,3,tablet,0
397,78.90,2289,1,83.40,4.7,retail,0,11,6,mobile,0
398,456.70,1087,2,442.90,22.9,online,0,14,0,desktop,0
399,3350.00,46,12,166.90,2180.75,travel,1,4,2,mobile,1
