id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9
sensor_036,56.7,67.2,91.9,78.5,34.4,52.1,89.6,45.8,23.1
sensor_037,89.3,52.4,45.1,67.9,56.8,91.7,78.3,34.2,23.5
sensor_038,67.4,34.3,56.6,52.7,78.1,45.6,91.2,89.8,23.8
sensor_039,45.2,78.4,34.8,89.7,67.6,56.9,52.3,91.5,23.4
sensor_040,78.9,91.1,67.5,45.9,52.8,34.5,56.4,89.2,23.7
sensor_041,52.7,67.1,89.8,78.6,91.6,45.3,34.9,56.2,23.3
sensor_042,34.4,56.8,78.3,52.5,67.9,89.4,45.7,91.3,23.9
sensor_043,91.5,45.6,52.2,34.1,78.7,67.4,56.1,89.9,23.6
sensor_044,23.8,89.6,67.8,91.9,45.4,78.2,52.6,34.7,56.3
sensor_045,56.9,67.6,91.8,78.9,34.3,52.4,89.1,45.2,23.5
sensor_046,89.7,52.1,45.8,67.2,56.5,91.4,78.6,34.6,23.1
sensor_047,67.3,34.9,56.4,52.9,78.8,45.1,91.7,89.5,23.7
sensor_048,45.7,78.5,34.2,89.3,67.1,56.7,52.8,91.9,23.4
sensor_049,78.2,91.8,67.9,45.3,52.1,34.8,56.6,89.6,23.9
sensor_050,52.4,67.7,89.2,78.3,91.5,45.9,34.5,56.8,23.2
sensor_051,34.6,56.2,78.1,52.6,67.4,89.9,45.8,91.6,23.8
sensor_052,91.3,45.4,52.9,34.7,78.9,67.5,56.1,89.8,23.5
sensor_053,23.1,89.5,67.6,91.2,45.6,78.4,52.3,34.9,56.9
sensor_054,56.3,67.8,91.7,78.1,34.8,52.7,89.4,45.5,23.6
sensor_055,89.9,52.8,45.2,67.3,56.4,91.1,78.7,34.1,23.3
sensor_056,67.9,34.4,56.8,52.5,78.6,45.7,91.8,89.2,23.9
sensor_057,45.1,78.3,34.6,89.8,67.7,56.2,52.1,91.4,23.7
sensor_058,78.8,91.6,67.2,45.9,52.4,34.3,56.5,89.1,23.4
sensor_059,52.9,67.5,89.7,78.9,91.9,45.2,34.7,56.3,23.8
sensor_060,34.2,56.6,78.4,52.3,67.8,89.3,45.4,91.5,23.1
sensor_061,91.7,45.8,52.6,34.9,78.1,67.9,56.7,89.6,23.5
sensor_062,23.9,89.2,67.4,91.3,45.1,78.5,52.8,34.5,56.1
sensor_063,56.8,67.1,91.4,78.6,34.7,52.9,89.9,45.6,23.2
sensor_064,89.5,52.2,45.3,67.6,56.9,91.8,78.2,34.8,23.6
sensor_065,67.7,34.1,56.5,52.7,78.3,45.9,91.2,89.4,23.3
sensor_066,45.4,78.9,34.5,89.1,67.2,56.3,52.5,91.6,23.8
sensor_067,78.6,91.9,67.8,45.7,52.3,34.6,56.4,89.7,23.5
sensor_068,52.1,67.3,89.6,78.7,91.1,45.8,34.2,56.9,23.9
sensor_069,34.8,56.1,78.5,52.4,67.6,89.8,45.2,91.3,23.4
sensor_070,91.4,45.3,52.8,34.3,78.9,67.1,56.8,89.5,23.7
sensor_071,23.2,89.9,67.5,91.7,45.6,78.8,52.6,34.4,56.2
sensor_072,56.5,67.9,91.5,78.4,34.9,52.1,89.2,45.1,23.1
sensor_073,89.8,52.7,45.9,67.8,56.6,91.6,78.3,34.7,23.6
sensor_074,67.2,34.5,56.3,52.9,78.1,45.4,91.9,89.3,23.8
sensor_075,45.8,78.6,34.1,89.4,67.4,56.7,52.2,91.8,23.5
sensor_076,78.7,91.3,67.6,45.2,52.5,34.9,56.1,89.9,23.3
sensor_077,52.6,67.4,89.1,78.2,91.4,45.7,34.8,56.5,23.9
sensor_078,34.3,56.9,78.9,52.8,67.7,89.6,45.3,91.2,23.4
sensor_079,91.6,45.5,52.3,34.6,78.4,67.9,56.8,89.7,23.7
sensor_080,23.8,89.3,67.1,91.8,45.9,78.5,52.4,34.2,56.6
sensor_081,56.4,67.6,91.1,78.8,34.5,52.9,89.5,45.8,23.2
sensor_082,89.2,52.1,45.4,67.5,56.3,91.9,78.6,34.3,23.1
sensor_083,67.8,34.7,56.2,52.6,78.3,45.1,91.5,89.8,23.6
sensor_084,45.6,78.1,34.9,89.9,67.3,56.4,52.7,91.7,23.9
sensor_085,78.5,91.8,67.9,45.3,52.2,34.4,56.9,89.4,23.5
sensor_086,52.3,67.2,89.7,78.9,91.3,45.6,34.1,56.1,23.8
sensor_087,34.5,56.7,78.6,52.1,67.5,89.2,45.9,91.4,23.3
sensor_088,91.9,45.2,52.8,34.8,78.7,67.6,56.5,89.1,23.4
sensor_089,23.5,89.6,67.3,91.2,45.4,78.9,52.9,34.6,56.8
sensor_090,56.1,67.8,91.6,78.2,34.3,52.5,89.8,45.7,23.7
sensor_091,89.4,52.9,45.8,67.1,56.7,91.5,78.4,34.9,23.2
sensor_092,67.6,34.2,56.6,52.3,78.8,45.3,91.1,89.9,23.1
sensor_093,45.9,78.3,34.7,89.5,67.9,56.2,52.4,91.8,23.6
sensor_094,78.1,91.4,67.4,45.8,52.6,34.5,56.3,89.6,23.9
sensor_095,52.7,67.7,89.3,78.5,91.7,45.1,34.3,56.9,23.5
sensor_096,34.1,56.4,78.2,52.8,67.2,89.7,45.5,91.9,23.8
sensor_097,91.2,45.6,52.1,34.4,78.6,67.8,56.8,89.3,23.4
sensor_098,23.3,89.8,67.5,91.6,45.7,78.1,52.3,34.9,56.5
sensor_099,56.9,67.3,91.9,78.7,34.6,52.2,89.4,45.2,23.7
sensor_100,89.1,52.4,45.3,67.9,56.1,91.3,78.9,34.8,23.2
sensor_101,67.4,34.6,56.5,52.7,78.4,45.9,91.8,89.5,23.9
sensor_102,45.5,78.8,34.1,89.2,67.1,56.6,52.9,91.4,23.5
sensor_103,78.9,91.5,67.7,45.4,52.3,34.7,56.2,89.8,23.1
sensor_104,52.2,67.6,89.9,78.3,91.1,45.8,34.5,56.4,23.6
sensor_105,34.9,56.8,78.5,52.5,67.3,89.6,45.6,91.7,23.3
sensor_106,91.8,45.1,52.6,34.2,78.2,67.4,56.7,89.9,23.8
sensor_107,23.4,89.4,67.9,91.9,45.3,78.6,52.8,34.3,56.3
sensor_108,56.6,67.5,91.2,78.1,34.8,52.4,89.1,45.7,23.5
sensor_109,89.7,52.6,45.9,67.8,56.9,91.6,78.7,34.4,23.7
sensor_110,67.1,34.9,56.1,52.1,78.9,45.2,91.3,89.2,23.2
sensor_111,45.7,78.4,34.6,89.8,67.5,56.3,52.7,91.5,23.9
sensor_112,78.6,91.7,67.2,45.5,52.9,34.1,56.8,89.3,23.6
sensor_113,52.8,67.9,89.5,78.8,91.8,45.4,34.7,56.5,23.1
sensor_114,34.3,56.2,78.1,52.3,67.7,89.9,45.8,91.2,23.4
sensor_115,91.6,45.9,52.5,34.5,78.3,67.6,56.4,89.7,23.8
sensor_116,23.7,89.1,67.8,91.4,45.1,78.5,52.2,34.8,56.9
sensor_117,56.3,67.1,91.7,78.9,34.2,52.6,89.8,45.6,23.3
sensor_118,89.6,52.8,45.2,67.3,56.7,91.9,78.4,34.9,23.5
sensor_119,67.9,34.4,56.9,52.9,78.6,45.7,91.1,89.4,23.9
sensor_120,45.3,78.7,34.3,89.3,67.4,56.1,52.1,91.6,23.2
sensor_121,78.2,91.9,67.5,45.8,52.4,34.6,56.6,89.5,23.7
sensor_122,52.5,67.2,89.2,78.1,91.5,45.3,34.9,56.8,23.4
sensor_123,34.8,56.5,78.9,52.7,67.6,89.1,45.9,91.8,23.1
sensor_124,91.3,45.4,52.3,34.7,78.8,67.9,56.2,89.6,23.6
sensor_125,23.9,89.7,67.4,91.2,45.6,78.3,52.6,34.1,56.4
sensor_126,56.7,67.8,91.4,78.5,34.5,52.8,89.9,45.1,23.8
sensor_127,89.8,52.3,45.7,67.7,56.3,91.7,78.2,34.2,23.5
sensor_128,67.5,34.8,56.6,52.4,78.1,45.5,91.9,89.3,23.3
sensor_129,45.2,78.6,34.9,89.5,67.8,56.9,52.9,91.1,23.7
sensor_130,78.3,91.2,67.1,45.9,52.7,34.4,56.5,89.8,23.2
sensor_131,52.1,67.6,89.4,78.7,91.6,45.8,34.3,56.1,23.9
sensor_132,34.6,56.3,78.4,52.2,67.9,89.7,45.4,91.3,23.4
sensor_133,91.5,45.7,52.8,34.1,78.5,67.2,56.8,89.2,23.8
sensor_134,23.6,89.9,67.3,91.8,45.2,78.9,52.5,34.7,56.6
sensor_135,56.2,67.4,91.3,78.6,34.9,52.1,89.5,45.3,23.5
sensor_136,89.1,52.9,45.6,67.5,56.4,91.4,78.8,34.6,23.1
sensor_137,67.7,34.3,56.7,52.6,78.2,45.1,91.7,89.6,23.7
sensor_138,45.8,78.1,34.5,89.9,67.6,56.5,52.3,91.9,23.3
sensor_139,78.9,91.8,67.9,45.3,52.4,34.8,56.2,89.4,23.6
sensor_140,52.6,67.8,89.1,78.3,91.2,45.9,34.2,56.7,23.9
sensor_141,34.7,56.1,78.7,52.8,67.4,89.8,45.5,91.5,23.2
sensor_142,91.1,45.2,52.9,34.9,78.6,67.3,56.3,89.7,23.4
sensor_143,23.8,89.3,67.7,91.6,45.7,78.4,52.1,34.4,56.9
sensor_144,56.8,67.5,91.9,78.2,34.1,52.7,89.6,45.8,23.8
sensor_145,89.5,52.2,45.4,67.9,56.6,91.1,78.5,34.5,23.5
sensor_146,67.2,34.7,56.4,52.5,78.9,45.6,91.8,89.1,23.1
sensor_147,45.1,78.8,34.6,89.4,67.1,56.8,52.4,91.3,23.7
sensor_148,78.4,91.6,67.6,45.9,52.9,34.3,56.9,89.9,23.3
sensor_149,52.3,67.1,89.7,78.1,91.4,45.1,34.8,56.2,23.6
sensor_150,34.5,56.9,78.3,52.6,67.8,89.2,45.3,91.7,23.9
sensor_151,91.9,45.8,52.7,34.2,78.7,67.5,56.1,89.5,23.2
sensor_152,23.1,89.6,67.2,91.5,45.4,78.1,52.8,34.9,56.5
sensor_153,56.4,67.9,91.8,78.9,34.6,52.3,89.3,45.7,23.4
sensor_154,89.2,52.5,45.5,67.4,56.2,91.9,78.6,34.7,23.8
sensor_155,67.6,34.1,56.8,52.1,78.5,45.9,91.2,89.8,23.5
sensor_156,45.6,78.2,34.4,89.1,67.9,56.6,52.9,91.4,23.1
sensor_157,78.8,91.3,67.8,45.2,52.6,34.5,56.4,89.6,23.7
sensor_158,52.9,67.3,89.9,78.4,91.7,45.8,34.1,56.3,23.3
sensor_159,34.2,56.5,78.6,52.4,67.1,89.4,45.6,91.8,23.6
sensor_160,91.4,45.3,52.2,34.8,78.1,67.7,56.7,89.9,23.9
sensor_161,23.5,89.5,67.5,91.1,45.9,78.3,52.7,34.3,56.1
sensor_162,56.9,67.6,91.6,78.7,34.4,52.5,89.7,45.4,23.2
sensor_163,89.8,52.1,45.1,67.2,56.8,91.5,78.9,34.6,23.8
sensor_164,67.3,34.9,56.2,52.8,78.4,45.7,91.9,89.1,23.4
sensor_165,45.4,78.5,34.7,89.6,67.5,56.3,52.1,91.2,23.5
sensor_166,78.1,91.7,67.1,45.8,52.3,34.2,56.6,89.3,23.1
sensor_167,52.4,67.9,89.5,78.6,91.8,45.2,34.9,56.9,23.7
sensor_168,34.1,56.7,78.2,52.9,67.6,89.9,45.5,91.6,23.3
sensor_169,91.7,45.6,52.5,34.6,78.9,67.8,56.5,89.4,23.6
sensor_170,23.2,89.2,67.4,91.3,45.3,78.7,52.6,34.8,56.4
sensor_171,56.1,67.7,91.4,78.8,34.3,52.2,89.8,45.9,23.9
sensor_172,89.6,52.7,45.7,67.6,56.1,91.1,78.3,34.4,23.2
sensor_173,67.9,34.5,56.3,52.3,78.6,45.4,91.5,89.7,23.8
sensor_174,45.9,78.9,34.8,89.8,67.3,56.8,52.8,91.9,23.4
sensor_175,78.5,91.9,67.9,45.1,52.4,34.7,56.2,89.5,23.5
sensor_176,52.8,67.2,89.6,78.1,91.2,45.6,34.5,56.4,23.1
sensor_177,34.4,56.6,78.7,52.7,67.5,89.1,45.8,91.3,23.7
sensor_178,91.8,45.9,52.1,34.9,78.4,67.1,56.9,89.2,23.3
sensor_179,23.6,89.4,67.8,91.7,45.5,78.2,52.9,34.1,56.7
sensor_180,56.5,67.5,91.5,78.9,34.7,52.6,89.9,45.3,23.6
sensor_181,89.3,52.3,45.2,67.4,56.5,91.8,78.6,34.2,23.9
sensor_182,67.1,34.6,56.1,52.5,78.8,45.7,91.4,89.6,23.2
sensor_183,45.7,78.3,34.3,89.7,67.7,56.4,52.2,91.1,23.8
sensor_184,78.2,91.6,67.6,45.4,52.8,34.8,56.8,89.8,23.4
sensor_185,52.6,67.8,89.2,78.5,91.9,45.1,34.6,56.1,23.5
sensor_186,34.9,56.9,78.1,52.1,67.9,89.5,45.9,91.7,23.1
sensor_187,91.2,45.5,52.7,34.4,78.3,67.2,56.6,89.1,23.7
sensor_188,23.3,89.9,67.3,91.8,45.8,78.9,52.4,34.7,56.2
sensor_189,56.3,67.1,91.3,78.4,34.5,52.9,89.4,45.6,23.3
sensor_190,89.7,52.8,45.9,67.9,56.7,91.6,78.7,34.9,23.6
sensor_191,67.8,34.2,56.5,52.6,78.2,45.3,91.9,89.3,23.9
sensor_192,45.2,78.6,34.1,89.2,67.4,56.9,52.3,91.5,23.2
sensor_193,78.9,91.4,67.5,45.7,52.5,34.3,56.3,89.9,23.8
sensor_194,52.1,67.6,89.8,78.3,91.1,45.4,34.8,56.7,23.4
sensor_195,34.7,56.2,78.8,52.9,67.1,89.6,45.2,91.8,23.5
sensor_196,91.6,45.1,52.2,34.6,78.5,67.9,56.8,89.7,23.1
sensor_197,23.9,89.5,67.7,91.2,45.6,78.4,52.7,34.5,56.1
sensor_198,56.6,67.4,91.7,78.1,34.9,52.8,89.1,45.8,23.7
sensor_199,89.4,52.4,45.3,67.3,56.3,91.3,78.9,34.1,23.3
sensor_200,67.5,34.8,56.4,52.4,78.7,45.9,91.5,89.8,23.6
sensor_201,45.8,78.1,34.6,89.6,67.8,56.5,52.6,91.2,23.9
sensor_202,78.6,91.8,67.2,45.5,52.1,34.9,56.9,89.3,23.2
sensor_203,52.7,67.9,89.4,78.8,91.6,45.7,34.4,56.6,23.8
sensor_204,34.3,56.8,78.4,52.3,67.6,89.7,45.1,91.9,23.4
sensor_205,91.1,45.2,52.9,34.7,78.2,67.5,56.1,89.5,23.5
sensor_206,23.7,89.8,67.1,91.9,45.9,78.6,52.5,34.2,56.3
sensor_207,56.2,67.7,91.4,78.5,34.8,52.3,89.9,45.4,23.1
sensor_208,89.9,52.6,45.6,67.8,56.9,91.7,78.3,34.3,23.7
sensor_209,67.2,34.1,56.7,52.7,78.1,45.8,91.3,89.2,23.3
sensor_210,45.3,78.9,34.5,89.1,67.1,56.2,52.9,91.8,23.6
sensor_211,78.7,91.5,67.9,45.1,52.8,34.6,56.4,89.6,23.9
sensor_212,52.5,67.3,89.3,78.2,91.4,45.3,34.1,56.5,23.2
sensor_213,34.6,56.1,78.5,52.2,67.7,89.8,45.7,91.1,23.8
sensor_214,91.9,45.8,52.4,34.9,78.8,67.6,56.7,89.4,23.4
sensor_215,23.4,89.6,67.8,91.6,45.2,78.1,52.1,34.8,56.8
sensor_216,56.8,67.5,91.2,78.9,34.2,52.6,89.5,45.9,23.5
sensor_217,89.2,52.9,45.4,67.4,56.6,91.8,78.6,34.7,23.1
sensor_218,67.6,34.7,56.9,52.8,78.4,45.5,91.7,89.1,23.7
sensor_219,45.6,78.2,34.3,89.9,67.9,56.3,52.4,91.6,23.3
sensor_220,78.3,91.1,67.1,45.7,52.7,34.4,56.1,89.7,23.6
sensor_221,52.2,67.2,89.9,78.7,91.3,45.6,34.5,56.8,23.9
sensor_222,34.8,56.4,78.9,52.5,67.4,89.2,45.1,91.4,23.2
sensor_223,91.5,45.3,52.6,34.1,78.1,67.8,56.5,89.8,23.8
sensor_224,23.8,89.1,67.6,91.7,45.8,78.7,52.3,34.9,56.2
sensor_225,56.1,67.9,91.8,78.4,34.6,52.9,89.6,45.2,23.4
sensor_226,89.6,52.1,45.9,67.7,56.8,91.5,78.5,34.8,23.5
sensor_227,67.3,34.5,56.6,52.1,78.6,45.4,91.9,89.9,23.1
sensor_228,45.1,78.8,34.9,89.5,67.2,56.7,52.7,91.2,23.7
sensor_229,78.5,91.9,67.5,45.9,52.2,34.3,56.3,89.4,23.3
sensor_230,52.8,67.6,89.7,78.1,91.8,45.5,34.7,56.4,23.6
sensor_231,34.2,56.5,78.3,52.6,67.5,89.1,45.7,91.6,23.9
sensor_232,91.3,45.6,52.5,34.8,78.9,67.1,56.9,89.3,23.2
sensor_233,23.5,89.7,67.4,91.4,45.1,78.2,52.8,34.6,56.6
sensor_234,56.7,67.8,91.1,78.6,34.4,52.4,89.8,45.3,23.8
sensor_235,89.8,52.3,45.2,67.5,56.1,91.2,78.7,34.1,23.4
sensor_236,67.9,34.9,56.3,52.9,78.8,45.8,91.6,89.5,23.5
sensor_237,45.4,78.4,34.7,89.3,67.6,56.8,52.1,91.7,23.1
sensor_238,78.1,91.7,67.3,45.4,52.3,34.2,56.5,89.9,23.7
sensor_239,52.6,67.1,89.5,78.9,91.9,45.9,34.9,56.2,23.3
sensor_240,34.5,56.7,78.6,52.7,67.9,89.4,45.6,91.8,23.6
sensor_241,91.7,45.7,52.9,34.3,78.2,67.4,56.6,89.6,23.9
sensor_242,23.1,89.2,67.9,91.5,45.3,78.5,52.5,34.8,56.9
sensor_243,56.9,67.2,91.6,78.3,34.1,52.1,89.7,45.8,23.2
sensor_244,89.1,52.7,45.5,67.6,56.4,91.3,78.1,34.5,23.8
sensor_245,67.4,34.6,56.1,52.2,78.9,45.2,91.4,89.2,23.4
sensor_246,45.9,78.7,34.8,89.8,67.3,56.9,52.8,91.1,23.5
sensor_247,78.8,91.6,67.7,45.1,52.6,34.7,56.2,89.5,23.1
sensor_248,52.3,67.5,89.6,78.4,91.2,45.4,34.1,56.7,23.7
sensor_249,34.9,56.3,78.1,52.4,67.8,89.9,45.9,91.5,23.3
sensor_250,91.8,45.8,52.7,34.5,78.6,67.9,56.8,89.3,23.6
sensor_251,23.6,89.4,67.2,91.8,45.7,78.3,52.2,34.4,56.5
sensor_252,56.4,67.6,91.9,78.7,34.9,52.8,89.1,45.1,23.9
sensor_253,89.5,52.5,45.8,67.1,56.5,91.7,78.9,34.6,23.2
sensor_254,67.7,34.3,56.8,52.6,78.5,45.6,91.2,89.8,23.8
sensor_255,45.5,78.6,34.2,89.4,67.5,56.1,52.3,91.9,23.4
sensor_256,78.2,91.3,67.8,45.9,52.9,34.9,56.6,89.7,23.5
sensor_257,52.9,67.9,89.8,78.6,91.5,45.3,34.8,56.3,23.1
sensor_258,34.1,56.9,78.7,52.8,67.2,89.6,45.5,91.4,23.7
sensor_259,91.4,45.2,52.1,34.7,78.3,67.3,56.4,89.9,23.3
sensor_260,23.9,89.9,67.5,91.1,45.8,78.8,52.6,34.2,56.7
sensor_261,56.3,67.4,91.7,78.2,34.5,52.7,89.2,45.6,23.6
sensor_262,89.9,52.2,45.1,67.9,56.9,91.8,78.4,34.3,23.9
sensor_263,67.1,34.8,56.5,52.3,78.1,45.7,91.6,89.4,23.2
sensor_264,45.7,78.5,34.6,89.1,67.7,56.2,52.5,91.3,23.8
sensor_265,78.9,91.2,67.6,45.3,52.4,34.1,56.7,89.5,23.4
sensor_266,52.4,67.7,89.3,78.8,91.6,45.9,34.6,56.8,23.5
sensor_267,34.7,56.6,78.4,52.1,67.6,89.7,45.4,91.9,23.1
sensor_268,91.1,45.5,52.8,34.9,78.7,67.5,56.1,89.8,23.7
sensor_269,23.2,89.6,67.1,91.9,45.2,78.9,52.9,34.4,56.4
sensor_270,56.8,67.3,91.5,78.5,34.7,52.6,89.9,45.7,23.3
sensor_271,89.3,52.8,45.6,67.8,56.3,91.4,78.6,34.5,23.6
sensor_272,67.5,34.2,56.2,52.9,78.2,45.1,91.7,89.1,23.9
sensor_273,45.2,78.1,34.4,89.7,67.4,56.6,52.1,91.8,23.2
sensor_274,78.6,91.8,67.9,45.8,52.7,34.8,56.9,89.6,23.8
sensor_275,52.7,67.2,89.4,78.3,91.1,45.2,34.3,56.5,23.4
sensor_276,34.6,56.4,78.9,52.5,67.1,89.5,45.8,91.2,23.5
sensor_277,91.9,45.3,52.3,34.6,78.8,67.7,56.7,89.2,23.1
sensor_278,23.7,89.8,67.6,91.3,45.6,78.1,52.4,34.9,56.1
sensor_279,56.5,67.8,91.6,78.9,34.1,52.2,89.3,45.4,23.7
sensor_280,89.7,52.6,45.9,67.2,56.8,91.9,78.7,34.7,23.3
sensor_281,67.2,34.4,56.1,52.7,78.5,45.9,91.5,89.9,23.6
sensor_282,45.8,78.3,34.5,89.2,67.9,56.3,52.8,91.4,23.9
sensor_283,78.4,91.6,67.4,45.1,52.5,34.2,56.2,89.8,23.2
sensor_284,52.1,67.5,89.9,78.1,91.7,45.7,34.7,56.9,23.8
sensor_285,34.3,56.8,78.6,52.6,67.5,89.1,45.3,91.1,23.4
sensor_286,91.6,45.4,52.9,34.8,78.1,67.6,56.5,89.4,23.5
sensor_287,23.8,89.3,67.3,91.8,45.5,78.6,52.3,34.1,56.8
sensor_288,56.2,67.1,91.4,78.8,34.9,52.9,89.7,45.9,23.1
sensor_289,89.5,52.3,45.7,67.7,56.6,91.2,78.2,34.6,23.7
sensor_290,67.8,34.1,56.9,52.4,78.3,45.6,91.8,89.6,23.3
sensor_291,45.6,78.9,34.7,89.9,67.1,56.4,52.6,91.5,23.6
sensor_292,78.7,91.4,67.5,45.2,52.1,34.5,56.3,89.2,23.9
sensor_293,52.5,67.9,89.5,78.6,91.9,45.8,34.9,56.1,23.2
sensor_294,34.8,56.7,78.8,52.8,67.3,89.8,45.1,91.3,23.8
sensor_295,91.2,45.9,52.2,34.3,78.9,67.8,56.8,89.5,23.4
sensor_296,23.3,89.1,67.9,91.5,45.4,78.4,52.7,34.8,56.6
sensor_297,56.9,67.6,91.1,78.5,34.2,52.5,89.4,45.5,23.5
sensor_298,89.8,52.9,45.3,67.4,56.2,91.6,78.1,34.4,23.1
sensor_299,67.6,34.7,56.5,52.3,78.7,45.8,91.9,89.7,23.7
sensor_300,45.1,78.2,34.1,89.6,67.8,56.9,52.9,91.7,23.3
sensor_301,78.5,91.7,67.2,45.7,52.8,34.9,56.1,89.3,23.6
sensor_302,52.6,67.4,89.2,78.9,91.3,45.1,34.5,56.7,23.9
sensor_303,34.4,56.3,78.1,52.1,67.9,89.9,45.9,91.8,23.2
sensor_304,91.8,45.6,52.5,34.7,78.6,67.1,56.4,89.1,23.8
sensor_305,23.9,89.7,67.7,91.2,45.3,78.9,52.4,34.6,56.2
sensor_306,56.6,67.5,91.9,78.3,34.8,52.1,89.6,45.2,23.4
sensor_307,89.2,52.4,45.8,67.6,56.7,91.4,78.8,34.1,23.5
sensor_308,67.9,34.9,56.6,52.7,78.4,45.4,91.1,89.5,23.1
sensor_309,45.4,78.6,34.3,89.3,67.2,56.8,52.2,91.6,23.7
sensor_310,78.1,91.5,67.8,45.9,52.6,34.4,56.9,89.8,23.3
sensor_311,52.8,67.3,89.7,78.7,91.8,45.5,34.2,56.5,23.6
sensor_312,34.5,56.1,78.9,52.9,67.4,89.4,45.7,91.2,23.9
sensor_313,91.6,45.1,52.3,34.1,78.2,67.9,56.3,89.9,23.2
sensor_314,23.4,89.5,67.1,91.7,45.8,78.5,52.8,34.7,56.4
sensor_315,56.3,67.7,91.3,78.6,34.6,52.3,89.1,45.6,23.8
sensor_316,89.9,52.7,45.2,67.5,56.4,91.9,78.3,34.9,23.4
sensor_317,67.4,34.6,56.7,52.5,78.8,45.3,91.5,89.2,23.5
sensor_318,45.9,78.4,34.8,89.8,67.6,56.2,52.6,91.4,23.1
sensor_319,78.3,91.1,67.6,45.4,52.9,34.5,56.6,89.6,23.7
sensor_320,52.2,67.8,89.6,78.2,91.6,45.9,34.8,56.8,23.3
sensor_321,34.1,56.5,78.5,52.4,67.7,89.7,45.2,91.9,23.6
sensor_322,91.3,45.7,52.7,34.9,78.9,67.2,56.1,89.4,23.9
sensor_323,23.8,89.2,67.9,91.8,45.1,78.7,52.1,34.3,56.9
sensor_324,56.7,67.2,91.2,78.1,34.4,52.8,89.8,45.8,23.2
sensor_325,89.6,52.1,45.5,67.3,56.9,91.7,78.6,34.2,23.8
sensor_326,67.1,34.8,56.2,52.6,78.1,45.6,91.3,89.5,23.4
sensor_327,45.3,78.8,34.6,89.4,67.5,56.5,52.4,91.8,23.5
sensor_328,78.9,91.9,67.5,45.3,52.7,34.1,56.7,89.1,23.1
sensor_329,52.9,67.6,89.1,78.4,91.4,45.4,34.6,56.3,23.7
sensor_330,34.7,56.9,78.7,52.8,67.8,89.3,45.8,91.5,23.3
