churn,age,tenure,monthly_charges,total_charges,num_products,account_balance,gender,contract_type,payment_method,internet_service,customer_service_calls
0,60,67,37.5,2512.5,1,29.0,Male,Two year,Bank transfer,No,0
1,28,8,90.0,720.0,3,212.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,43,43,54.0,2322.0,2,68.0,Male,One year,Credit card,DSL,2
1,35,12,76.0,912.0,2,152.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,55,59,43.0,2537.0,1,39.0,Female,Two year,Bank transfer,DSL,1
1,24,5,95.5,477.5,3,238.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,49,53,46.0,2438.0,2,51.0,Female,Two year,Credit card,DSL,1
1,37,13,73.5,955.5,2,140.0,Male,Month-to-Month,Electronic check,Fiber optic,3
0,59,64,39.0,2496.0,1,31.0,Male,Two year,Bank transfer,DSL,0
1,26,6,88.5,531.0,3,218.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,41,40,55.0,2200.0,2,70.0,Male,One year,Credit card,DSL,2
1,33,10,80.5,805.0,2,165.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,54,62,40.0,2480.0,1,35.0,Female,Two year,Bank transfer,DSL,1
1,29,7,86.0,602.0,3,202.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,46,49,48.0,2352.0,2,53.0,Male,Two year,Credit card,DSL,1
1,39,14,75.0,1050.0,2,145.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,57,66,38.5,2541.0,1,32.0,Male,Two year,Bank transfer,DSL,0
1,22,3,98.0,294.0,3,255.0,Female,Month-to-Month,Electronic check,Fiber optic,8
0,45,45,51.0,2295.0,2,56.0,Female,One year,Credit card,DSL,2
1,36,11,78.5,863.5,2,158.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,61,69,35.5,2449.5,1,27.0,Female,Two year,Bank transfer,No,0
1,27,8,91.5,732.0,3,222.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,52,57,44.5,2536.5,2,43.0,Male,Two year,Credit card,DSL,1
1,34,12,81.5,978.0,2,170.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,58,63,39.5,2488.5,1,33.0,Female,Two year,Bank transfer,DSL,0
1,25,6,94.5,567.0,3,242.0,Male,Month-to-Month,Electronic check,Fiber optic,7
0,48,52,47.0,2444.0,2,50.0,Female,Two year,Credit card,DSL,1
1,31,9,83.0,747.0,2,175.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,64,71,33.5,2378.5,1,23.0,Male,Two year,Bank transfer,No,0
1,28,7,87.0,609.0,3,205.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,44,46,52.0,2392.0,2,60.0,Male,One year,Credit card,DSL,2
1,38,13,77.0,1001.0,2,150.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,56,60,42.0,2520.0,1,37.0,Male,Two year,Bank transfer,DSL,1
1,23,5,97.0,485.0,3,248.0,Male,Month-to-Month,Electronic check,Fiber optic,7
0,50,55,45.0,2475.0,2,47.0,Female,Two year,Credit card,DSL,1
1,35,11,79.5,874.5,2,162.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,62,68,36.5,2482.0,1,28.0,Female,Two year,Bank transfer,No,0
1,29,8,85.0,680.0,3,195.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,47,50,49.5,2475.0,2,52.0,Male,Two year,Credit card,DSL,1
1,32,10,82.0,820.0,2,168.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,59,65,38.0,2470.0,1,30.0,Male,Two year,Bank transfer,DSL,0
1,26,6,92.0,552.0,3,228.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,43,44,53.5,2354.0,2,64.0,Female,One year,Credit card,DSL,2
1,37,12,74.0,888.0,2,142.0,Male,Month-to-Month,Electronic check,Fiber optic,3
0,55,61,41.5,2531.5,1,35.0,Female,Two year,Bank transfer,DSL,1
1,24,5,96.5,482.5,3,245.0,Female,Month-to-Month,Electronic check,Fiber optic,7
0,51,56,45.5,2548.0,2,48.0,Male,Two year,Credit card,DSL,1
1,33,11,80.0,880.0,2,165.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,63,70,34.0,2380.0,1,24.0,Male,Two year,Bank transfer,No,0
1,27,7,89.5,626.5,3,215.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,46,48,50.0,2400.0,2,55.0,Female,Two year,Credit card,DSL,1
1,39,13,76.5,994.5,2,152.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,58,64,39.0,2496.0,1,32.0,Female,Two year,Bank transfer,DSL,0
1,25,6,93.5,561.0,3,235.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,42,42,54.5,2289.0,2,66.0,Male,One year,Credit card,DSL,2
1,36,12,78.0,936.0,2,155.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,60,66,37.0,2442.0,1,29.0,Male,Two year,Bank transfer,No,0
1,30,9,84.0,756.0,3,188.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,53,58,43.5,2523.0,2,41.0,Female,Two year,Credit card,DSL,1
1,28,8,88.5,708.0,3,210.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,49,54,46.5,2511.0,2,49.0,Female,Two year,Bank transfer,DSL,1
1,34,10,81.0,810.0,2,170.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,57,62,40.5,2511.0,1,34.0,Female,Two year,Credit card,DSL,0
1,26,7,90.5,633.5,3,220.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,41,41,55.5,2275.5,2,72.0,Male,One year,Bank transfer,DSL,2
1,38,14,75.5,1057.0,2,148.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,65,72,32.5,2340.0,1,20.0,Male,Two year,Credit card,No,0
1,24,4,99.0,396.0,3,258.0,Male,Month-to-Month,Electronic check,Fiber optic,8
0,48,51,48.0,2448.0,2,51.0,Female,Two year,Bank transfer,DSL,1
1,31,10,83.5,835.0,2,175.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,54,59,44.0,2596.0,1,40.0,Female,Two year,Credit card,DSL,1
1,29,8,86.5,692.0,3,198.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,45,47,51.5,2420.5,2,57.0,Male,One year,Bank transfer,DSL,2
1,37,13,77.5,1007.5,2,152.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,61,67,36.0,2412.0,1,28.0,Female,Two year,Credit card,No,0
1,23,5,95.0,475.0,3,240.0,Female,Month-to-Month,Electronic check,Fiber optic,7
0,52,56,45.0,2520.0,2,46.0,Male,Two year,Bank transfer,DSL,1
1,35,11,79.0,869.0,2,160.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,59,65,38.5,2502.5,1,31.0,Male,Two year,Credit card,DSL,0
1,27,7,91.0,637.0,3,225.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,44,45,52.5,2362.5,2,63.0,Female,One year,Bank transfer,DSL,2
1,40,14,73.0,1022.0,2,138.0,Male,Month-to-Month,Electronic check,Fiber optic,3
0,56,61,41.5,2531.5,1,36.0,Female,Two year,Credit card,DSL,1
1,25,6,94.0,564.0,3,242.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,50,53,47.5,2517.5,2,50.0,Male,Two year,Bank transfer,DSL,1
