transaction_id,amount,merchant_category,time_of_day,user_age,account_age_days
TXN0089,6789.01,6,23,74,3345
TXN0090,234.56,0,9,21,67
TXN0091,4567.89,8,21,62,2456
TXN0092,678.90,2,13,35,467
TXN0093,1234.56,5,16,51,1567
TXN0094,890.12,1,8,27,223
TXN0095,7890.12,7,19,69,2987
TXN0096,345.67,3,10,40,678
TXN0097,5678.90,9,22,77,3567
TXN0098,456.78,4,15,31,345
TXN0099,3456.78,6,18,56,1987
TXN0100,123.45,0,7,22,89
TXN0101,2789.45,5,14,43,967
TXN0102,456.23,1,10,29,289
TXN0103,5234.78,8,19,65,2543
TXN0104,178.90,3,8,25,156
TXN0105,3890.12,7,21,59,2123
TXN0106,567.34,2,12,37,578
TXN0107,8234.56,9,22,71,3198
TXN0108,345.89,4,14,33,423
TXN0109,1567.23,6,17,54,1789
TXN0110,234.67,0,9,24,112
TXN0111,6543.21,8,20,68,2876
TXN0112,789.45,2,11,32,356
TXN0113,2678.90,5,15,47,1189
TXN0114,123.78,1,7,26,198
TXN0115,4890.23,7,19,63,2389
TXN0116,678.12,3,13,39,645
TXN0117,7234.56,9,23,73,3287
TXN0118,456.90,4,16,34,489
TXN0119,2134.67,6,18,55,1945
TXN0120,345.23,0,8,23,78
TXN0121,5789.01,8,21,66,2698
TXN0122,234.89,2,10,31,323
TXN0123,3789.45,5,17,48,1278
TXN0124,567.78,1,9,28,267
TXN0125,8567.89,7,20,69,2989
TXN0126,345.56,3,12,40,689
TXN0127,1890.23,9,22,74,3398
TXN0128,678.45,4,14,35,512
TXN0129,4234.78,6,19,57,2087
TXN0130,123.90,0,7,22,67
TXN0131,6234.56,8,21,67,2765
TXN0132,456.34,2,11,33,398
TXN0133,2890.12,5,16,49,1356
TXN0134,789.23,1,8,27,234
TXN0135,7567.89,7,19,70,3045
TXN0136,345.78,3,13,38,598
TXN0137,5234.67,9,22,75,3467
TXN0138,234.45,4,10,30,289
TXN0139,3567.89,6,17,53,1789
TXN0140,567.12,0,9,24,145
TXN0141,8234.56,8,20,71,3123
TXN0142,456.67,2,12,36,478
TXN0143,1678.90,5,15,50,1478
TXN0144,890.45,1,7,25,178
TXN0145,4789.23,7,21,64,2578
TXN0146,345.90,3,14,41,712
TXN0147,6890.12,9,23,76,3578
TXN0148,567.56,4,16,32,412
TXN0149,2567.89,6,18,56,1998
TXN0150,123.67,0,8,23,89
TXN0151,7890.45,8,19,68,2876
TXN0152,234.78,2,11,34,367
TXN0153,3234.56,5,17,47,1187
TXN0154,678.23,1,9,28,256
TXN0155,5890.12,7,20,65,2678
TXN0156,456.89,3,13,39,623
TXN0157,8567.90,9,22,72,3234
TXN0158,345.45,4,14,31,334
TXN0159,1789.23,6,16,54,1856
TXN0160,567.90,0,7,22,98
TXN0161,6567.89,8,21,69,2987
TXN0162,234.56,2,12,35,445
TXN0163,4234.78,5,18,48,1298
TXN0164,789.12,1,8,26,198
TXN0165,2890.45,7,19,63,2456
TXN0166,345.67,3,10,40,689
TXN0167,7234.56,9,23,74,3398
TXN0168,456.78,4,15,33,467
TXN0169,5678.90,6,17,55,1923
TXN0170,123.45,0,9,24,112
TXN0171,3890.23,8,20,67,2789
TXN0172,567.89,2,11,32,378
TXN0173,8234.56,5,16,49,1367
TXN0174,345.90,1,7,27,234
TXN0175,1567.89,7,21,64,2567
TXN0176,678.45,3,13,38,589
TXN0177,6234.78,9,22,73,3245
TXN0178,234.67,4,14,30,312
TXN0179,4567.89,6,18,56,2012
TXN0180,890.12,0,8,23,78
TXN0181,7890.23,8,19,70,3012
TXN0182,456.56,2,12,34,423
TXN0183,2678.90,5,17,47,1198
TXN0184,345.78,1,9,28,267
TXN0185,5234.56,7,20,66,2698
TXN0186,567.23,3,14,39,645
TXN0187,8890.12,9,23,75,3489
TXN0188,234.89,4,11,31,323
TXN0189,3456.78,6,16,54,1834
TXN0190,678.90,0,7,22,89
TXN0191,6789.01,8,21,68,2876
TXN0192,123.45,2,10,33,389
TXN0193,4234.56,5,15,50,1456
TXN0194,890.23,1,8,26,212
TXN0195,7567.89,7,19,69,2989
TXN0196,456.78,3,13,40,678
TXN0197,2345.67,9,22,74,3367
TXN0198,345.90,4,14,32,389
TXN0199,5678.90,6,17,55,1987
TXN0200,234.56,0,9,24,123
TXN0201,3789.12,8,20,67,2789
TXN0202,567.45,2,12,35,456
TXN0203,8234.78,5,18,48,1323
TXN0204,345.67,1,7,27,223
TXN0205,1678.90,7,21,63,2478
TXN0206,678.23,3,11,38,578
TXN0207,6890.12,9,23,72,3256
TXN0208,234.89,4,15,31,334
TXN0209,4567.89,6,19,56,2034
TXN0210,890.45,0,8,23,89
TXN0211,7234.56,8,20,69,2976
TXN0212,456.78,2,13,34,412
TXN0213,2890.23,5,16,49,1378
TXN0214,345.90,1,9,28,256
TXN0215,5234.56,7,22,64,2589
TXN0216,567.12,3,14,39,623
TXN0217,8567.89,9,19,73,3298
TXN0218,234.67,4,10,30,298
TXN0219,3678.90,6,17,54,1898
TXN0220,678.45,0,7,22,78
TXN0221,6234.56,8,21,68,2854
TXN0222,123.78,2,11,33,367
TXN0223,4890.12,5,15,47,1234
TXN0224,789.23,1,8,26,198
TXN0225,2567.89,7,20,65,2678
TXN0226,345.56,3,13,40,689
TXN0227,7890.12,9,22,74,3412
TXN0228,456.90,4,14,32,378
TXN0229,5678.90,6,18,55,1976
TXN0230,234.45,0,9,24,112
TXN0231,3234.78,8,19,66,2745
TXN0232,567.89,2,12,35,445
TXN0233,8234.56,5,17,48,1289
TXN0234,345.67,1,7,27,234
TXN0235,1890.23,7,21,63,2456
TXN0236,678.12,3,11,38,589
TXN0237,6567.89,9,23,73,3298
TXN0238,234.78,4,15,31,323
TXN0239,4567.89,6,18,56,2001
TXN0240,890.45,0,8,23,89
TXN0241,7234.56,8,20,69,2987
TXN0242,456.67,2,13,34,401
TXN0243,2678.90,5,16,49,1345
TXN0244,345.89,1,9,28,267
TXN0245,5890.12,7,22,64,2567
TXN0246,567.23,3,14,39,634
TXN0247,8234.56,9,19,74,3367
TXN0248,234.90,4,10,30,289
TXN0249,3456.78,6,17,54,1867
TXN0250,678.45,0,7,22,78
TXN0251,6789.01,8,21,68,2876
TXN0252,123.56,2,11,33,378
TXN0253,4234.78,5,15,47,1212
TXN0254,890.12,1,8,26,201
TXN0255,7567.89,7,20,65,2689
TXN0256,456.78,3,13,40,678
TXN0257,2345.67,9,22,73,3289
TXN0258,345.90,4,14,32,389
TXN0259,5678.90,6,18,55,1987
TXN0260,234.56,0,9,24,123
TXN0261,3789.23,8,19,67,2798
TXN0262,567.45,2,12,35,456
TXN0263,8234.56,5,17,48,1298
TXN0264,345.67,1,7,27,223
TXN0265,1678.90,7,21,63,2478
TXN0266,678.23,3,11,38,578
TXN0267,6890.12,9,23,72,3267
TXN0268,234.89,4,15,31,334
TXN0269,4567.89,6,19,56,2034
TXN0270,890.45,0,8,23,89
TXN0271,7234.56,8,20,69,2976
TXN0272,456.78,2,13,34,412
TXN0273,2890.23,5,16,49,1378
TXN0274,345.90,1,9,28,256
TXN0275,5234.56,7,22,64,2589
TXN0276,567.12,3,14,39,623
TXN0277,8567.89,9,19,73,3298
TXN0278,234.67,4,10,30,298
TXN0279,3678.90,6,17,54,1898
TXN0280,678.45,0,7,22,78
TXN0281,6234.56,8,21,68,2854
TXN0282,123.78,2,11,33,367
TXN0283,4890.12,5,15,47,1234
TXN0284,789.23,1,8,26,198
TXN0285,2567.89,7,20,65,2678
TXN0286,345.56,3,13,40,689
TXN0287,7890.12,9,22,74,3412
TXN0288,456.90,4,14,32,378
TXN0289,5678.90,6,18,55,1976
TXN0290,234.45,0,9,24,112
TXN0291,3234.78,8,19,66,2745
TXN0292,567.89,2,12,35,445
TXN0293,8234.56,5,17,48,1289
TXN0294,345.67,1,7,27,234
TXN0295,1890.23,7,21,63,2456
TXN0296,678.12,3,11,38,589
TXN0297,6567.89,9,23,73,3298
TXN0298,234.78,4,15,31,323
TXN0299,4567.89,6,18,56,2001
TXN0300,890.45,0,8,23,89
TXN0301,2456.78,5,14,44,978
TXN0302,567.89,2,10,30,312
TXN0303,6789.01,8,20,66,2712
TXN0304,234.56,1,7,25,167
TXN0305,4123.45,7,19,60,2234
TXN0306,789.12,3,12,37,589
TXN0307,8901.23,9,23,72,3289
TXN0308,345.67,4,15,33,423
TXN0309,1567.89,6,17,54,1798
TXN0310,678.90,0,9,24,112
TXN0311,5234.56,8,21,68,2887
TXN0312,234.78,2,11,32,356
TXN0313,3456.78,5,16,48,1234
TXN0314,890.12,1,8,27,223
TXN0315,7234.56,7,20,64,2578
TXN0316,456.78,3,13,39,645
TXN0317,2345.67,9,22,74,3378
TXN0318,567.89,4,14,31,334
TXN0319,6789.01,6,18,55,1987
TXN0320,123.45,0,7,22,78
TXN0321,4567.89,8,19,67,2798
TXN0322,789.23,2,12,35,456
TXN0323,8234.56,5,17,49,1345
TXN0324,345.67,1,9,28,267
TXN0325,1678.90,7,21,63,2478
TXN0326,234.56,3,11,38,578
TXN0327,5890.12,9,23,73,3298
TXN0328,678.90,4,15,32,389
TXN0329,3456.78,6,19,56,2034
TXN0330,890.45,0,8,23,89
TXN0331,7567.89,8,20,69,2976
TXN0332,456.78,2,13,34,412
TXN0333,2890.23,5,16,47,1198
TXN0334,567.89,1,7,26,201
TXN0335,6234.56,7,22,65,2689
TXN0336,234.67,3,14,40,678
TXN0337,4890.12,9,19,74,3412
TXN0338,789.45,4,10,30,298
TXN0339,8234.56,6,17,54,1898
TXN0340,345.78,0,9,24,123
TXN0341,1567.89,8,21,68,2854
TXN0342,678.90,2,11,33,367
TXN0343,5234.56,5,15,48,1289
TXN0344,234.56,1,8,27,234
TXN0345,3789.01,7,20,63,2456
TXN0346,890.12,3,13,39,623
TXN0347,7234.56,9,22,73,3289
TXN0348,456.78,4,14,32,378
TXN0349,2567.89,6,18,55,1976
TXN0350,567.90,0,7,22,78
TXN0351,6789.01,8,19,66,2745
TXN0352,123.45,2,12,35,445
TXN0353,4234.78,5,17,49,1378
TXN0354,789.23,1,9,28,256
TXN0355,8567.89,7,21,64,2589
TXN0356,345.67,3,11,38,589
TXN0357,1890.23,9,23,74,3367
TXN0358,678.45,4,15,31,323
TXN0359,5678.90,6,19,56,2001
TXN0360,234.56,0,8,23,89
TXN0361,3456.78,8,20,69,2987
TXN0362,890.12,2,13,34,401
TXN0363,7234.56,5,16,47,1234
TXN0364,456.78,1,7,26,198
TXN0365,2345.67,7,22,65,2678
TXN0366,567.89,3,14,40,689
TXN0367,6890.12,9,19,73,3298
TXN0368,234.90,4,10,30,289
TXN0369,4567.89,6,17,54,1867
TXN0370,789.45,0,9,24,112
TXN0371,8234.56,8,21,68,2876
TXN0372,345.67,2,11,33,378
TXN0373,1678.90,5,15,48,1298
TXN0374,678.23,1,8,27,223
TXN0375,5234.56,7,20,63,2478
TXN0376,234.78,3,13,39,634
TXN0377,3890.12,9,22,74,3412
TXN0378,890.45,4,14,32,389
TXN0379,7567.89,6,18,55,1987
TXN0380,456.67,0,7,22,78
TXN0381,2678.90,8,19,67,2798
TXN0382,567.89,2,12,35,456
TXN0383,6234.56,5,17,49,1345
TXN0384,123.45,1,9,28,267
TXN0385,4890.12,7,21,64,2567
TXN0386,789.23,3,11,38,578
TXN0387,8234.56,9,23,73,3289
TXN0388,345.67,4,15,31,334
TXN0389,1567.89,6,19,56,2034
TXN0390,678.90,0,8,23,89
TXN0391,5678.90,8,20,69,2976
TXN0392,234.56,2,13,34,412
TXN0393,3456.78,5,16,47,1198
TXN0394,890.12,1,7,26,201
TXN0395,7234.56,7,22,65,2689
TXN0396,456.78,3,14,40,678
TXN0397,2345.67,9,19,74,3412
TXN0398,567.89,4,10,30,298
TXN0399,6789.01,6,17,54,1898
TXN0400,234.45,0,9,24,123
TXN0401,4567.89,8,21,68,2854
TXN0402,789.23,2,11,33,367
TXN0403,8234.56,5,15,48,1289
TXN0404,345.67,1,8,27,234
TXN0405,1678.90,7,20,63,2456
TXN0406,678.45,3,13,39,623
TXN0407,5890.12,9,22,73,3289
TXN0408,234.78,4,14,32,378
TXN0409,3456.78,6,18,55,1976
TXN0410,890.45,0,7,22,78
TXN0411,7567.89,8,19,66,2745
TXN0412,456.78,2,12,35,445
TXN0413,2890.23,5,17,49,1378
TXN0414,567.89,1,9,28,256
TXN0415,6234.56,7,21,64,2589
TXN0416,123.45,3,11,38,589
TXN0417,4890.12,9,23,74,3367
TXN0418,789.23,4,15,31,323
TXN0419,8234.56,6,19,56,2001
TXN0420,345.67,0,8,23,89
TXN0421,1567.89,8,20,69,2987
TXN0422,678.90,2,13,34,401
TXN0423,5234.56,5,16,47,1234
TXN0424,234.56,1,7,26,198
TXN0425,3789.01,7,22,65,2678
TXN0426,890.12,3,14,40,689
TXN0427,7234.56,9,19,73,3298
TXN0428,456.78,4,10,30,289
TXN0429,2567.89,6,17,54,1867
TXN0430,567.90,0,9,24,112
TXN0431,6789.01,8,21,68,2876
TXN0432,234.45,2,11,33,378
TXN0433,4234.78,5,15,48,1298
TXN0434,789.23,1,8,27,223
TXN0435,8567.89,7,20,63,2478
TXN0436,345.67,3,13,39,634
TXN0437,1890.23,9,22,74,3412
TXN0438,678.45,4,14,32,389
TXN0439,5678.90,6,18,55,1987
TXN0440,234.56,0,7,22,78
TXN0441,3456.78,8,19,67,2798
TXN0442,890.12,2,12,35,456
TXN0443,7234.56,5,17,49,1345
TXN0444,456.78,1,9,28,267
TXN0445,2345.67,7,21,64,2567
TXN0446,567.89,3,11,38,578
TXN0447,6890.12,9,23,73,3289
TXN0448,234.90,4,15,31,334
TXN0449,4567.89,6,19,56,2034
TXN0450,789.45,0,8,23,89
TXN0451,8234.56,8,20,69,2976
TXN0452,345.67,2,13,34,412
TXN0453,1678.90,5,16,47,1198
TXN0454,678.23,1,7,26,201
TXN0455,5234.56,7,22,65,2689
TXN0456,234.78,3,14,40,678
TXN0457,3890.12,9,19,74,3412
TXN0458,890.45,4,10,30,298
TXN0459,7567.89,6,17,54,1898
TXN0460,456.67,0,9,24,123
TXN0461,2678.90,8,21,68,2854
TXN0462,567.89,2,11,33,367
TXN0463,6234.56,5,15,48,1289
TXN0464,123.45,1,8,27,234
TXN0465,4890.12,7,20,63,2456
TXN0466,789.23,3,13,39,623
TXN0467,8234.56,9,22,73,3289
TXN0468,345.67,4,14,32,378
TXN0469,1567.89,6,18,55,1976
TXN0470,678.90,0,7,22,78
TXN0471,5678.90,8,19,66,2745
TXN0472,234.56,2,12,35,445
TXN0473,3456.78,5,17,49,1378
TXN0474,890.12,1,9,28,256
TXN0475,7234.56,7,21,64,2589
TXN0476,456.78,3,11,38,589
TXN0477,2345.67,9,23,74,3367
TXN0478,567.89,4,15,31,323
TXN0479,6789.01,6,19,56,2001
TXN0480,234.45,0,8,23,89
TXN0481,4567.89,8,20,69,2987
TXN0482,789.23,2,13,34,401
TXN0483,8234.56,5,16,47,1234
TXN0484,345.67,1,7,26,198
TXN0485,1678.90,7,22,65,2678
TXN0486,678.45,3,14,40,689
TXN0487,5890.12,9,19,73,3298
TXN0488,234.78,4,10,30,289
TXN0489,3456.78,6,17,54,1867
TXN0490,890.45,0,9,24,112
TXN0491,7567.89,8,21,68,2876
TXN0492,456.78,2,11,33,378
TXN0493,2890.23,5,15,48,1298
TXN0494,567.89,1,8,27,223
TXN0495,6234.56,7,20,63,2478
TXN0496,123.45,3,13,39,634
TXN0497,4890.12,9,22,74,3412
TXN0498,789.23,4,14,32,389
TXN0499,8234.56,6,18,55,1987
TXN0500,345.67,0,7,22,78
TXN0501,1890.45,5,14,45,989
TXN0502,567.23,2,10,29,298
TXN0503,5678.90,8,20,65,2654
TXN0504,234.56,1,7,24,156
TXN0505,3789.12,7,19,60,2198
TXN0506,890.45,3,12,37,578
TXN0507,7234.56,9,22,71,3234
TXN0508,456.78,4,15,33,434
TXN0509,2345.67,6,17,54,1823
TXN0510,678.90,0,9,24,101
TXN0511,6789.01,8,21,68,2865
TXN0512,123.45,2,11,32,345
TXN0513,4567.89,5,16,48,1267
TXN0514,789.23,1,8,27,212
TXN0515,8234.56,7,20,64,2589
TXN0516,345.67,3,13,39,656
TXN0517,1678.90,9,23,74,3389
TXN0518,567.89,4,14,31,323
TXN0519,5234.56,6,18,55,1965
TXN0520,234.78,0,7,22,67
TXN0521,3456.78,8,19,67,2812
TXN0522,890.12,2,12,35,467
TXN0523,7890.12,5,17,49,1356
TXN0524,456.78,1,9,28,256
TXN0525,2567.89,7,21,64,2556
TXN0526,678.45,3,11,38,589
TXN0527,6234.56,9,23,73,3267
TXN0528,234.90,4,15,31,345
TXN0529,4890.12,6,19,56,2023
TXN0530,789.45,0,8,23,78
TXN0531,8567.89,8,20,69,2965
TXN0532,345.67,2,13,34,423
TXN0533,1567.89,5,16,47,1189
TXN0534,567.90,1,7,26,189
TXN0535,5890.12,7,22,65,2701
TXN0536,234.56,3,14,40,689
TXN0537,3789.01,9,19,74,3423
TXN0538,890.45,4,10,30,287
TXN0539,7234.56,6,17,54,1889
TXN0540,456.78,0,9,24,134
TXN0541,2678.90,8,21,68,2843
TXN0542,567.89,2,11,33,356
TXN0543,6890.12,5,15,48,1301
TXN0544,123.45,1,8,27,245
TXN0545,4234.78,7,20,63,2467
TXN0546,789.23,3,13,39,612
TXN0547,8234.56,9,22,73,3278
TXN0548,345.67,4,14,32,367
TXN0549,1890.23,6,18,55,1998
TXN0550,678.90,0,7,22,89
TXN0551,5678.90,8,19,66,2756
TXN0552,234.56,2,12,35,434
TXN0553,3456.78,5,17,49,1389
TXN0554,890.12,1,9,28,267
TXN0555,7567.89,7,21,64,2578
TXN0556,456.78,3,11,38,578
TXN0557,2345.67,9,23,74,3378
TXN0558,567.89,4,15,31,312
TXN0559,6789.01,6,19,56,2012
TXN0560,234.45,0,8,23,78
TXN0561,4567.89,8,20,69,2998
TXN0562,789.23,2,13,34,389
TXN0563,8234.56,5,16,47,1245
TXN0564,345.67,1,7,26,187
TXN0565,1678.90,7,22,65,2689
TXN0566,678.45,3,14,40,678
TXN0567,5890.12,9,19,73,3287
TXN0568,234.78,4,10,30,298
TXN0569,3456.78,6,17,54,1878
TXN0570,890.45,0,9,24,123
TXN0571,7234.56,8,21,68,2887
TXN0572,456.78,2,11,33,389
TXN0573,2890.23,5,15,48,1287
TXN0574,567.89,1,8,27,234
TXN0575,6234.56,7,20,63,2489
TXN0576,123.45,3,13,39,645
TXN0577,4890.12,9,22,74,3401
TXN0578,789.23,4,14,32,378
TXN0579,8234.56,6,18,55,1976
TXN0580,345.67,0,7,22,67
TXN0581,1567.89,8,19,67,2809
TXN0582,678.90,2,12,35,456
TXN0583,5234.56,5,17,49,1367
TXN0584,234.56,1,9,28,278
TXN0585,3789.01,7,21,64,2556
TXN0586,890.12,3,11,38,567
TXN0587,7234.56,9,23,73,3298
TXN0588,456.78,4,15,31,334
TXN0589,2567.89,6,19,56,2045
TXN0590,567.90,0,8,23,89
TXN0591,6789.01,8,20,69,2987
TXN0592,234.45,2,13,34,412
TXN0593,4234.78,5,16,47,1223
TXN0594,789.23,1,7,26,198
TXN0595,8567.89,7,22,65,2667
TXN0596,345.67,3,14,40,701
TXN0597,1890.23,9,19,74,3434
TXN0598,678.45,4,10,30,276
TXN0599,5678.90,6,17,54,1901
TXN0600,234.56,0,9,24,112
TXN0601,3456.78,8,21,68,2876
TXN0602,890.12,2,11,33,378
TXN0603,7890.12,5,15,48,1289
TXN0604,456.78,1,8,27,223
TXN0605,2345.67,7,20,63,2478
TXN0606,567.89,3,13,39,623
TXN0607,6234.56,9,22,73,3289
TXN0608,234.90,4,14,32,389
TXN0609,4567.89,6,18,55,1987
TXN0610,789.45,0,7,22,78
TXN0611,8234.56,8,19,66,2745
TXN0612,345.67,2,12,35,445
TXN0613,1678.90,5,17,49,1378
TXN0614,678.23,1,9,28,256
TXN0615,5234.56,7,21,64,2589
TXN0616,234.78,3,11,38,589
TXN0617,3890.12,9,23,74,3367
TXN0618,890.45,4,15,31,323
TXN0619,7567.89,6,19,56,2001
TXN0620,456.67,0,8,23,89
TXN0621,2678.90,8,20,69,2976
TXN0622,567.89,2,13,34,412
TXN0623,6890.12,5,16,47,1198
TXN0624,123.45,1,7,26,201
TXN0625,4234.78,7,22,65,2689
TXN0626,789.23,3,14,40,678
TXN0627,8234.56,9,19,73,3298
TXN0628,345.67,4,10,30,289
TXN0629,1567.89,6,17,54,1867
TXN0630,678.90,0,9,24,112
TXN0631,5678.90,8,21,68,2854
TXN0632,234.56,2,11,33,367
TXN0633,3456.78,5,15,48,1289
TXN0634,890.12,1,8,27,234
TXN0635,7234.56,7,20,63,2456
TXN0636,456.78,3,13,39,623
TXN0637,2345.67,9,22,73,3289
TXN0638,567.89,4,14,32,378
TXN0639,6789.01,6,18,55,1976
TXN0640,234.45,0,7,22,78
TXN0641,4567.89,8,19,66,2745
TXN0642,789.23,2,12,35,445
TXN0643,8234.56,5,17,49,1378
TXN0644,345.67,1,9,28,256
TXN0645,1678.90,7,21,64,2589
TXN0646,678.45,3,11,38,589
TXN0647,5890.12,9,23,74,3367
TXN0648,234.78,4,15,31,323
TXN0649,3456.78,6,19,56,2001
TXN0650,890.45,0,8,23,89
TXN0651,7567.89,8,20,69,2987
TXN0652,456.78,2,13,34,401
TXN0653,2890.23,5,16,47,1234
TXN0654,567.89,1,7,26,198
TXN0655,6234.56,7,22,65,2678
TXN0656,123.45,3,14,40,689
TXN0657,4890.12,9,19,73,3298
TXN0658,789.23,4,10,30,289
TXN0659,8234.56,6,17,54,1867
TXN0660,345.67,0,9,24,112
TXN0661,1567.89,8,21,68,2876
TXN0662,678.90,2,11,33,378
TXN0663,5234.56,5,15,48,1298
TXN0664,234.56,1,8,27,223
TXN0665,3789.01,7,20,63,2478
TXN0666,890.12,3,13,39,634
TXN0667,7234.56,9,22,74,3412
TXN0668,456.78,4,14,32,389
TXN0669,2567.89,6,18,55,1987
TXN0670,567.90,0,7,22,78
TXN0671,6789.01,8,19,67,2798
TXN0672,234.45,2,12,35,456
TXN0673,4234.78,5,17,49,1345
TXN0674,789.23,1,9,28,267
TXN0675,8567.89,7,21,64,2567
TXN0676,345.67,3,11,38,578
TXN0677,1890.23,9,23,73,3289
TXN0678,678.45,4,15,31,334
TXN0679,5678.90,6,19,56,2034
TXN0680,234.56,0,8,23,89
TXN0681,3456.78,8,20,69,2976
TXN0682,890.12,2,13,34,412
TXN0683,7234.56,5,16,47,1198
TXN0684,456.78,1,7,26,201
TXN0685,2345.67,7,22,65,2689
TXN0686,567.89,3,14,40,678
TXN0687,6890.12,9,19,74,3412
TXN0688,234.90,4,10,30,298
TXN0689,4567.89,6,17,54,1898
TXN0690,789.45,0,9,24,123
TXN0691,8234.56,8,21,68,2854
TXN0692,345.67,2,11,33,367
TXN0693,1678.90,5,15,48,1289
TXN0694,678.23,1,8,27,234
TXN0695,5234.56,7,20,63,2456
TXN0696,234.78,3,13,39,623
TXN0697,3890.12,9,22,73,3289
TXN0698,890.45,4,14,32,378
TXN0699,7567.89,6,18,55,1976
TXN0700,456.67,0,7,22,78
TXN0701,2123.45,5,14,44,967
TXN0702,678.90,2,10,30,312
TXN0703,5789.01,8,20,66,2723
TXN0704,234.56,1,7,25,167
TXN0705,4234.78,7,19,60,2234
TXN0706,890.12,3,12,37,589
TXN0707,7890.12,9,23,72,3289
TXN0708,456.78,4,15,33,423
TXN0709,1678.90,6,17,54,1798
TXN0710,567.89,0,9,24,112
TXN0711,6234.56,8,21,68,2887
TXN0712,234.78,2,11,32,356
TXN0713,3567.89,5,16,48,1234
TXN0714,789.23,1,8,27,223
TXN0715,8234.56,7,20,64,2578
TXN0716,345.67,3,13,39,645
TXN0717,2456.78,9,22,74,3378
TXN0718,678.45,4,14,31,334
TXN0719,5678.90,6,18,55,1987
TXN0720,123.45,0,7,22,78
TXN0721,4678.90,8,19,67,2798
TXN0722,890.12,2,12,35,456
TXN0723,7234.56,5,17,49,1345
TXN0724,456.78,1,9,28,267
TXN0725,1789.01,7,21,63,2478
TXN0726,234.56,3,11,38,578
TXN0727,6890.12,9,23,73,3298
TXN0728,567.89,4,15,32,389
TXN0729,3567.89,6,19,56,2034
TXN0730,789.45,0,8,23,89
TXN0731,8567.89,8,20,69,2976
TXN0732,345.67,2,13,34,412
TXN0733,2890.23,5,16,47,1198
