customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_backup,difficulty_score,churn
28,18,76.2,1371.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.35,1
29,60,52.8,3168.0,Two year,Credit card,DSL,Yes,Yes,0.09,0
30,7,89.7,627.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.19,1
31,25,68.4,1710.0,Month-to-Month,Mailed check,Fiber optic,Yes,Yes,0.58,0
32,54,47.3,2554.2,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
33,1,101.5,101.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
34,67,48.6,3256.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
35,9,87.3,785.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.24,1
36,42,39.8,1671.6,One year,Bank transfer,DSL,Yes,Yes,0.22,0
37,4,93.8,375.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
38,70,44.9,3143.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
39,22,74.1,1630.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.48,1
40,58,53.2,3085.6,Two year,Bank transfer,DSI,Yes,Yes,0.1,0
41,11,83.6,919.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.29,1
42,49,46.1,2258.9,One year,Credit card,DSL,Yes,Yes,0.18,0
43,2,97.4,194.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
44,64,51.7,3308.8,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
45,14,80.5,1127.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.33,1
46,72,41.3,2973.6,Two year,Credit card,DSL,Yes,Yes,0.07,0
47,5,95.2,476.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
48,38,57.8,2196.4,One year,Bank transfer,DSL,Yes,No,0.26,0
49,68,49.5,3366.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
50,8,90.6,724.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.21,1
51,30,65.3,1959.0,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.55,1
52,56,50.4,2822.4,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
53,3,92.7,278.1,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
54,61,54.1,3300.1,Two year,Credit card,DSL,Yes,Yes,0.09,0
55,16,77.9,1246.4,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.41,1
56,47,42.6,2002.2,One year,Bank transfer,DSL,Yes,Yes,0.2,0
57,1,99.8,99.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.09,1
58,71,45.7,3244.7,Two year,Credit card,DSL,Yes,Yes,0.07,0
59,10,86.2,862.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.27,1
60,53,48.2,2554.6,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
61,6,94.1,564.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
62,65,52.5,3412.5,Two year,Credit card,DSL,Yes,Yes,0.08,0
63,20,75.6,1512.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.44,1
64,43,40.3,1732.9,One year,Bank transfer,DSL,Yes,Yes,0.23,0
65,4,96.3,385.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
66,69,47.9,3305.1,Two year,Credit card,DSL,Yes,Yes,0.08,0
67,13,82.4,1071.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.37,1
68,59,51.8,3056.2,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
69,2,100.2,200.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
70,72,43.5,3132.0,Two year,Credit card,DSL,Yes,Yes,0.07,0
71,26,70.1,1822.6,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.51,1
72,50,45.8,2290.0,One year,Credit card,DSL,Yes,Yes,0.19,0
73,7,88.5,619.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.2,1
74,63,53.6,3376.8,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
75,17,78.7,1337.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.4,1
76,46,41.9,1927.4,One year,Bank transfer,DSL,Yes,Yes,0.21,0
77,3,93.4,280.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
78,70,46.2,3234.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
79,12,84.8,1017.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.32,1
80,55,49.7,2733.5,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
81,5,91.9,459.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.15,1
82,66,50.6,3339.6,Two year,Credit card,DSL,Yes,Yes,0.08,0
83,23,73.2,1683.6,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.47,1
84,51,47.4,2417.4,Two year,Bank transfer,DSL,Yes,Yes,0.12,0
85,8,89.3,714.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.22,1
86,68,48.1,3271.8,Two year,Credit card,DSL,Yes,Yes,0.08,0
87,15,81.2,1218.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.36,1
88,40,56.4,2256.0,One year,Bank transfer,DSL,Yes,No,0.27,0
89,1,103.6,103.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.09,1
90,72,42.8,3081.6,Two year,Credit card,DSL,Yes,Yes,0.07,0
91,19,76.8,1459.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.43,1
92,57,52.1,2969.7,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
93,6,92.8,556.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.18,1
94,62,54.3,3366.6,Two year,Credit card,DSL,Yes,Yes,0.09,0
95,28,67.9,1901.2,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.54,0
96,45,40.7,1831.5,One year,Bank transfer,DSL,Yes,Yes,0.22,0
97,4,95.6,382.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
98,69,49.3,3401.7,Two year,Credit card,DSL,Yes,Yes,0.08,0
99,11,85.7,942.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.3,1
100,54,48.8,2635.2,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
101,2,98.9,197.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
102,71,44.6,3166.6,Two year,Credit card,DSL,Yes,Yes,0.07,0
103,21,74.5,1564.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.46,1
104,48,43.2,2073.6,One year,Credit card,DSL,Yes,Yes,0.2,0
105,7,87.9,615.3,Month-to-Month,Electronic check,Fiber optic,No,No,0.2,1
106,64,51.2,3276.8,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
107,14,80.1,1121.4,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.39,1
108,58,53.7,3114.6,Two year,Credit card,DSL,Yes,Yes,0.1,0
109,3,94.2,282.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
110,67,50.9,3410.3,Two year,Bank transfer,DSL,Yes,Yes,0.08,0
111,24,71.6,1718.4,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.5,1
112,52,46.5,2418.0,Two year,Credit card,DSL,Yes,Yes,0.12,0
113,9,88.1,792.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.25,1
114,70,45.4,3178.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
115,16,79.3,1268.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.38,1
116,44,39.5,1738.0,One year,Bank transfer,DSL,Yes,Yes,0.23,0
117,5,93.1,465.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
118,72,41.7,3002.4,Two year,Credit card,DSL,Yes,Yes,0.07,0
119,18,77.4,1393.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.42,1
120,56,49.9,2794.4,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
121,1,101.8,101.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
122,65,52.3,3399.5,Two year,Credit card,DSL,Yes,Yes,0.09,0
123,13,83.6,1086.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.34,1
124,50,44.9,2245.0,One year,Bank transfer,DSL,Yes,Yes,0.2,0
125,6,91.2,547.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
126,68,48.7,3311.6,Two year,Credit card,DSL,Yes,Yes,0.08,0
127,22,75.2,1654.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.45,1
128,59,51.5,3038.5,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
129,4,96.7,386.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
130,71,43.9,3116.9,Two year,Credit card,DSL,Yes,Yes,0.07,0
131,27,69.3,1871.1,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.53,1
132,46,42.1,1936.6,One year,Credit card,DSL,Yes,Yes,0.21,0
133,8,90.4,723.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.23,1
134,63,54.8,3452.4,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
135,15,78.6,1179.0,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.4,1
136,53,47.6,2522.8,Two year,Credit card,DSL,Yes,Yes,0.11,0
137,2,99.5,199.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
138,69,49.1,3387.9,Two year,Credit card,DSL,Yes,Yes,0.08,0
139,19,76.1,1445.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.44,1
140,57,50.2,2861.4,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
141,7,89.6,627.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.19,1
142,66,51.9,3425.4,Two year,Credit card,DSL,Yes,Yes,0.08,0
143,25,72.8,1820.0,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.49,1
144,49,45.3,2219.7,One year,Bank transfer,DSL,Yes,Yes,0.19,0
145,10,86.9,869.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.28,1
146,72,42.4,3052.8,Two year,Credit card,DSL,Yes,Yes,0.07,0
147,12,84.2,1010.4,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.36,1
148,55,48.3,2656.5,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
149,3,92.3,276.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
150,70,46.8,3276.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
151,17,79.8,1356.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.41,1
152,51,46.7,2382.7,Two year,Bank transfer,DSL,Yes,Yes,0.12,0
153,5,94.8,474.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
154,64,52.7,3372.8,Two year,Credit card,DSL,Yes,Yes,0.09,0
155,23,73.9,1699.7,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.48,1
156,47,41.4,1945.8,One year,Bank transfer,DSL,Yes,Yes,0.21,0
157,1,100.9,100.9,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
158,68,50.5,3434.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
159,14,81.7,1143.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.35,1
160,58,53.1,3079.8,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
161,6,93.5,561.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.18,1
162,71,44.2,3138.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
163,29,68.6,1989.4,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.56,0
164,54,47.9,2586.6,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
165,9,87.6,788.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.24,1
166,67,51.4,3443.8,Two year,Credit card,DSL,Yes,Yes,0.08,0
167,20,75.9,1518.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.43,1
168,52,45.6,2371.2,One year,Bank transfer,DSL,Yes,Yes,0.2,0
169,4,95.1,380.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
170,72,43.1,3103.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
171,16,80.5,1288.0,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.39,1
172,60,52.6,3156.0,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
173,2,97.8,195.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
174,69,49.8,3436.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
175,21,74.8,1570.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.47,1
176,48,42.8,2054.4,One year,Credit card,DSL,Yes,Yes,0.2,0
177,7,88.2,617.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.2,1
178,65,53.9,3503.5,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
179,18,77.1,1387.8,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.43,1
180,56,50.8,2844.8,Two year,Credit card,DSL,Yes,Yes,0.11,0
181,3,93.7,281.1,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
182,70,45.1,3157.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
183,26,70.9,1843.4,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.52,1
184,50,44.3,2215.0,One year,Bank transfer,DSL,Yes,Yes,0.2,0
185,11,85.4,939.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.31,1
186,71,46.5,3301.5,Two year,Credit card,DSL,Yes,Yes,0.07,0
187,13,82.8,1076.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.33,1
188,59,51.1,3014.9,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
189,5,92.6,463.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.15,1
190,66,52.2,3445.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
191,24,72.1,1730.4,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.49,1
192,53,48.6,2575.8,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
193,8,89.8,718.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.23,1
194,68,50.1,3406.8,Two year,Credit card,DSL,Yes,Yes,0.08,0
195,15,79.6,1194.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.37,1
196,46,40.9,1881.4,One year,Bank transfer,DSL,Yes,Yes,0.22,0
197,1,102.7,102.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.09,1
198,72,41.9,3016.8,Two year,Credit card,DSL,Yes,Yes,0.07,0
199,19,76.5,1453.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.45,1
200,57,49.5,2821.5,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
201,6,90.7,544.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
202,64,54.2,3468.8,Two year,Credit card,DSL,Yes,Yes,0.09,0
203,22,73.4,1614.8,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.46,1
204,51,45.9,2340.9,Two year,Bank transfer,DSL,Yes,Yes,0.12,0
205,9,86.3,776.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.26,1
206,69,48.4,3339.6,Two year,Credit card,DSL,Yes,Yes,0.08,0
207,27,69.8,1884.6,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.54,0
208,55,48.1,2644.5,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
209,4,94.5,378.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
210,71,43.6,3095.6,Two year,Credit card,DSL,Yes,Yes,0.07,0
211,17,78.3,1331.1,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.42,1
212,58,52.9,3068.2,Two year,Credit card,DSL,Yes,Yes,0.1,0
213,2,98.3,196.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
214,67,51.6,3457.2,Two year,Bank transfer,DSL,Yes,Yes,0.08,0
215,20,75.3,1506.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.44,1
216,49,43.7,2141.3,One year,Bank transfer,DSL,Yes,Yes,0.2,0
217,7,87.5,612.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.2,1
218,70,47.2,3304.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
219,14,80.9,1132.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.34,1
220,54,49.2,2656.8,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
221,3,91.8,275.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
222,72,42.6,3067.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
223,25,71.4,1785.0,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.5,1
224,52,46.2,2402.4,Two year,Credit card,DSL,Yes,Yes,0.12,0
225,10,85.8,858.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.29,1
226,68,50.7,3447.6,Two year,Credit card,DSL,Yes,Yes,0.08,0
227,16,79.1,1265.6,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.4,1
228,60,53.4,3204.0,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
229,5,93.9,469.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
230,65,52.8,3432.0,Two year,Credit card,DSL,Yes,Yes,0.09,0
231,23,74.6,1715.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.48,1
232,50,44.7,2235.0,One year,Bank transfer,DSL,Yes,Yes,0.2,0
233,8,88.7,709.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.22,1
234,71,45.8,3251.8,Two year,Credit card,DSL,Yes,Yes,0.07,0
235,18,77.8,1400.4,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.43,1
236,56,49.3,2760.8,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
237,1,101.2,101.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
238,69,49.6,3422.4,Two year,Credit card,DSL,Yes,Yes,0.08,0
239,21,74.2,1558.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.46,1
240,58,51.8,3004.4,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
241,6,91.6,549.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
242,66,53.1,3504.6,Two year,Credit card,DSL,Yes,Yes,0.08,0
243,28,68.2,1909.6,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.55,1
244,48,42.5,2040.0,One year,Credit card,DSL,Yes,Yes,0.2,0
245,12,83.9,1006.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.32,1
246,72,41.5,2988.0,Two year,Credit card,DSL,Yes,Yes,0.07,0
247,15,78.9,1183.5,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.38,1
248,59,52.3,3085.7,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
249,4,95.8,383.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
250,70,46.1,3227.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
251,24,72.7,1744.8,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.49,1
252,53,47.8,2533.4,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
253,9,87.2,784.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.25,1
254,67,51.2,3430.4,Two year,Credit card,DSL,Yes,Yes,0.08,0
255,19,76.9,1461.1,Month-to-Month,Electronic check,Fiber optic,No,No,0.44,1
256,55,48.7,2678.5,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
257,2,99.1,198.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
258,71,44.8,3180.8,Two year,Credit card,DSL,Yes,Yes,0.07,0
259,26,70.3,1827.8,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.51,1
260,51,45.2,2305.2,One year,Bank transfer,DSL,Yes,Yes,0.2,0
261,7,89.1,623.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.19,1
262,68,50.3,3420.4,Two year,Credit card,DSL,Yes,Yes,0.08,0
263,17,79.5,1351.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.41,1
264,60,53.6,3216.0,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
265,5,92.4,462.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.15,1
266,72,42.2,3038.4,Two year,Credit card,DSL,Yes,Yes,0.07,0
267,22,73.8,1623.6,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.47,1
268,57,50.6,2884.2,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
269,10,86.5,865.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.28,1
270,69,49.2,3394.8,Two year,Credit card,DSL,Yes,Yes,0.08,0
271,13,82.1,1067.3,Month-to-Month,Electronic check,Fiber optic,No,No,0.33,1
272,54,48.9,2640.6,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
273,3,93.2,279.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
274,70,45.5,3185.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
275,20,75.7,1514.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.45,1
276,49,43.9,2151.1,One year,Credit card,DSL,Yes,Yes,0.2,0
277,6,90.9,545.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
278,65,54.5,3542.5,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
279,27,69.1,1865.7,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.53,0
280,52,46.8,2433.6,Two year,Credit card,DSL,Yes,Yes,0.12,0
281,11,84.7,931.7,Month-to-Month,Electronic check,Fiber optic,No,No,0.3,1
282,71,43.3,3073.3,Two year,Credit card,DSL,Yes,Yes,0.07,0
283,16,80.2,1283.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.39,1
284,58,52.4,3039.2,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
285,4,96.1,384.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
286,72,41.8,3009.6,Two year,Credit card,DSL,Yes,Yes,0.07,0
287,23,74.9,1722.7,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.48,1
288,56,49.6,2777.6,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
289,8,88.4,707.2,Month-to-Month,Electronic check,Fiber optic,No,No,0.23,1
290,68,51.9,3529.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
291,18,78.6,1414.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.42,1
292,59,51.7,3050.3,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
293,1,100.5,100.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.1,1
294,70,46.9,3283.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
295,25,71.8,1795.0,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.5,1
296,50,44.1,2205.0,One year,Bank transfer,DSL,Yes,Yes,0.2,0
297,14,81.4,1139.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.35,1
298,71,45.2,3209.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
299,21,74.4,1562.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.46,1
300,57,50.1,2855.7,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
301,7,88.8,621.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.2,1
302,66,53.7,3544.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
303,19,77.2,1466.8,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.44,1
304,54,48.4,2613.6,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
305,5,94.3,471.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
306,72,42.9,3088.8,Two year,Credit card,DSL,Yes,Yes,0.07,0
307,24,72.3,1735.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.49,1
308,51,46.4,2366.4,Two year,Bank transfer,DSL,Yes,Yes,0.12,0
309,12,83.5,1002.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.32,1
310,69,48.8,3367.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
311,28,68.9,1929.2,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.55,0
312,55,49.4,2717.0,Two year,Bank transfer,DSL,Yes,Yes,0.11,0
313,9,86.7,780.3,Month-to-Month,Electronic check,Fiber optic,No,No,0.26,1
314,70,45.7,3199.0,Two year,Credit card,DSL,Yes,Yes,0.08,0
315,17,79.9,1358.3,Month-to-Month,Electronic check,Fiber optic,No,No,0.41,1
316,60,53.2,3192.0,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
317,3,92.7,278.1,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
318,71,44.1,3131.1,Two year,Credit card,DSL,Yes,Yes,0.07,0
319,22,73.6,1619.2,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.47,1
320,58,51.3,2975.4,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
321,6,91.8,550.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.17,1
322,67,52.6,3524.2,Two year,Credit card,DSL,Yes,Yes,0.08,0
323,20,76.1,1522.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.45,1
324,49,42.7,2092.3,One year,Bank transfer,DSL,Yes,Yes,0.2,0
325,10,85.2,852.0,Month-to-Month,Electronic check,Fiber optic,No,No,0.29,1
326,72,41.6,2995.2,Two year,Credit card,DSL,Yes,Yes,0.07,0
327,26,70.6,1835.6,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.52,1
