Department,Category,Subcategory,Q1_Budget,Q1_Actual,Q2_Budget,Q2_Actual,Q3_Budget,Q3_Actual,Q4_Budget,Q4_Actual,Notes
Sales,Operations,Entertainment,35000,33800,35000,36500,35000,34600,35000,35400,Client dinners
Sales,Operations,Office Supplies,12000,11850,12000,12200,12000,11950,12000,12100,Sales materials
Sales,Training,Sales Training,28000,27500,28000,28600,28000,28200,28000,27900,Sales methodology
Sales,Training,Product Training,22000,22400,22000,21700,22000,22100,22000,22300,Product knowledge
Marketing,Personnel,Salaries,285000,284100,285000,285900,285000,285400,285000,284700,Marketing team salaries
Marketing,Personnel,Benefits,85500,85200,85500,85800,85500,85600,85500,85400,Benefits package
Marketing,Personnel,Freelancers,65000,67200,65000,63500,65000,66100,65000,64800,Contract designers
Marketing,Advertising,Digital Ads,195000,198500,195000,192800,195000,196300,195000,197100,Google and Facebook ads
Marketing,Advertising,Print Media,45000,43200,45000,46800,45000,44500,45000,45900,Magazine advertisements
Marketing,Advertising,Outdoor,55000,54200,55000,55800,55000,55400,55000,54900,Billboards and transit
Marketing,Content,Video Production,75000,77300,75000,73600,75000,75900,75000,74800,Marketing videos
Marketing,Content,Photography,35000,34500,35000,35600,35000,35200,35000,35400,Product photography
Marketing,Content,Copywriting,42000,41800,42000,42300,42000,42100,42000,41900,Content creation
Marketing,Digital,Website Maintenance,38000,37650,38000,38400,38000,38100,38000,37850,Web hosting and updates
Marketing,Digital,SEO Services,52000,53200,52000,51400,52000,52600,52000,51800,Search optimization
Marketing,Digital,Email Marketing,28000,27800,28000,28300,28000,28100,28000,27900,MailChimp and campaigns
Marketing,Events,Trade Shows,95000,92500,95000,97800,95000,94600,95000,96200,Industry events
Marketing,Events,Webinars,25000,24600,25000,25500,25000,25200,25000,24800,Virtual events
Marketing,Operations,Market Research,48000,49200,48000,47100,48000,48600,48000,47800,Customer surveys
Marketing,Operations,Analytics Tools,32000,31850,32000,32200,32000,32050,32000,31950,Google Analytics Pro
HR,Personnel,Salaries,195000,194500,195000,195600,195000,195300,195000,194800,HR staff salaries
HR,Personnel,Benefits,58500,58200,58500,58700,58500,58600,58500,58400,HR benefits
HR,Recruitment,Job Postings,35000,36200,35000,34100,35000,35600,35000,34800,LinkedIn and Indeed
HR,Recruitment,Recruiting Fees,85000,82500,85000,87800,85000,84200,85000,86100,Agency fees
HR,Recruitment,Background Checks,15000,14850,15000,15200,15000,15050,15000,14950,Screening services
HR,Training,Employee Development,65000,66300,65000,64200,65000,65700,65000,64900,Professional development
HR,Training,Leadership Programs,45000,44200,45000,45900,45000,45400,45000,45600,Management training
HR,Training,Compliance Training,28000,27650,28000,28400,28000,28100,28000,27900,Mandatory training
HR,Benefits,Health Insurance,425000,424100,425000,425900,425000,425400,425000,424700,Company health plans
HR,Benefits,Retirement Plans,155000,154500,155000,155600,155000,155300,155000,154800,401k matching
HR,Benefits,Wellness Programs,38000,37650,38000,38400,38000,38100,38000,37850,Gym memberships
HR,Operations,HRIS Software,42000,41850,42000,42200,42000,42050,42000,41950,Workday licenses
HR,Operations,Employee Events,55000,56200,55000,54300,55000,55600,55000,54800,Company parties
HR,Operations,Office Supplies,12000,11850,12000,12200,12000,11950,12000,12100,HR materials
Operations,Personnel,Salaries,325000,324200,325000,325800,325000,325400,325000,324900,Operations staff
Operations,Personnel,Benefits,97500,97200,97500,97800,97500,97600,97500,97400,Benefits package
Operations,Facilities,Rent,285000,285000,285000,285000,285000,285000,285000,285000,Office lease
Operations,Facilities,Utilities,45000,44200,45000,45800,45000,45400,45000,44900,Electric and water
Operations,Facilities,Maintenance,55000,56300,55000,54200,55000,55700,55000,54800,Building repairs
Operations,Facilities,Cleaning Services,28000,27850,28000,28200,28000,28050,28000,27950,Janitorial services
Operations,Facilities,Security,38000,37650,38000,38400,38000,38100,38000,37850,Security systems
Operations,Equipment,Furniture,65000,63500,65000,66800,65000,64600,65000,65900,Office furniture
Operations,Equipment,Kitchen Supplies,22000,21850,22000,22200,22000,22050,22000,21950,Break room supplies
Operations,Equipment,Office Equipment,45000,44600,45000,45500,45000,45200,45000,44800,Copiers and printers
Operations,IT,Network Infrastructure,95000,96300,95000,94200,95000,95700,95000,94900,Network equipment
Operations,IT,Hardware Support,48000,47650,48000,48400,48000,48100,48000,47850,IT support contracts
Operations,IT,Software Licenses,72000,71850,72000,72200,72000,72050,72000,71950,Enterprise software
Operations,Operations,Insurance,125000,125000,125000,125000,125000,125000,125000,125000,Business insurance
Operations,Operations,Legal Fees,85000,87200,85000,83500,85000,86100,85000,84800,Legal services
Operations,Operations,Accounting Services,55000,54650,55000,55400,55000,55100,55000,54900,External accounting
Finance,Personnel,Salaries,385000,384500,385000,385600,385000,385300,385000,384800,Finance team salaries
Finance,Personnel,Benefits,115500,115200,115500,115800,115500,115600,115500,115400,Benefits package
Finance,Personnel,Bonuses,95000,98200,95000,92800,95000,96500,95000,94600,Performance bonuses
Finance,Software,Accounting Software,65000,64850,65000,65200,65000,65050,65000,64950,QuickBooks Enterprise
Finance,Software,Financial Analysis,48000,47650,48000,48400,48000,48100,48000,47850,Analysis tools
Finance,Software,Tax Software,35000,34850,35000,35200,35000,35050,35000,34950,Tax preparation tools
Finance,Operations,Audit Fees,125000,123500,125000,126800,125000,124600,125000,125900,Annual audits
Finance,Operations,Banking Fees,28000,27850,28000,28200,28000,28050,28000,27950,Transaction fees
Finance,Operations,Payroll Services,45000,44650,45000,45400,45000,45100,45000,44900,Payroll processing
Finance,Compliance,Regulatory Compliance,75000,76300,75000,74200,75000,75700,75000,74900,Compliance costs
Finance,Compliance,Tax Compliance,55000,54650,55000,55400,55000,55100,55000,54900,Tax preparation
Finance,Operations,Office Supplies,15000,14850,15000,15200,15000,15050,15000,14950,Finance supplies
Engineering,Infrastructure,Cloud Services,185000,187200,185000,183500,185000,186100,185000,184900,AWS and Azure costs
Engineering,Infrastructure,Database Licenses,95000,94650,95000,95400,95000,95100,95000,94900,Database software
Engineering,Infrastructure,Monitoring Tools,42000,41850,42000,42200,42000,42050,42000,41950,Application monitoring
Engineering,Security,Security Software,78000,77650,78000,78400,78000,78100,78000,77850,Security tools
Engineering,Security,Penetration Testing,55000,56300,55000,54200,55000,55700,55000,54800,Security audits
Engineering,Security,Compliance Audits,45000,44200,45000,45800,45000,45400,45000,44900,SOC2 compliance
Engineering,Development,Development Tools,68000,67650,68000,68400,68000,68100,68000,67850,IDE licenses
Engineering,Development,Testing Tools,52000,51850,52000,52200,52000,52050,52000,51950,QA automation
Engineering,Development,Version Control,28000,27850,28000,28200,28000,28050,28000,27950,GitHub Enterprise
Engineering,Research,Innovation Budget,125000,128300,125000,122600,125000,126800,125000,124200,R&D projects
Engineering,Research,Prototyping,75000,73500,75000,76800,75000,74600,75000,75900,Prototype development
Engineering,Research,Patents,85000,87200,85000,83500,85000,86100,85000,84800,Patent filing fees
Sales,Technology,Sales Tools,48000,47650,48000,48400,48000,48100,48000,47850,Sales enablement tools
Sales,Technology,Video Conferencing,32000,31850,32000,32200,32000,32050,32000,31950,Zoom licenses
Sales,Technology,Document Management,25000,24850,25000,25200,25000,25050,25000,24950,DocuSign licenses
Sales,Support,Customer Success,95000,96300,95000,94200,95000,95700,95000,94900,CS team expenses
Sales,Support,Technical Support,68000,67650,68000,68400,68000,68100,68000,67850,Pre-sales support
Sales,Partnership,Channel Partners,155000,158200,155000,152800,155000,156500,155000,154600,Partner programs
Sales,Partnership,Reseller Programs,85000,83500,85000,86800,85000,84600,85000,85900,Reseller incentives
Sales,Data,Sales Analytics,45000,44650,45000,45400,45000,45100,45000,44900,Analytics platforms
Sales,Data,Market Intelligence,58000,57650,58000,58400,58000,58100,58000,57850,Competitive intelligence
Marketing,Social,Social Media Tools,38000,37650,38000,38400,38000,38100,38000,37850,Hootsuite and Buffer
Marketing,Social,Influencer Marketing,95000,98200,95000,92800,95000,96500,95000,94600,Influencer campaigns
Marketing,Social,Community Management,52000,51650,52000,52400,52000,52100,52000,51850,Community engagement
Marketing,PR,Public Relations,125000,128300,125000,122600,125000,126800,125000,124200,PR agency fees
Marketing,PR,Press Releases,28000,27650,28000,28400,28000,28100,28000,27850,Press distribution
Marketing,PR,Media Relations,45000,44200,45000,45800,45000,45400,45000,44900,Media outreach
Marketing,Creative,Design Services,85000,87200,85000,83500,85000,86100,85000,84800,Graphic design
Marketing,Creative,Brand Development,65000,63500,65000,66800,65000,64600,65000,65900,Brand strategy
Marketing,Creative,Animation,48000,47650,48000,48400,48000,48100,48000,47850,Motion graphics
Marketing,Performance,Conversion Optimization,42000,41850,42000,42200,42000,42050,42000,41950,CRO testing
Marketing,Performance,A/B Testing,35000,34850,35000,35200,35000,35050,35000,34950,Testing platforms
Marketing,Performance,Attribution Tools,55000,54650,55000,55400,55000,55100,55000,54900,Marketing attribution
HR,Compensation,Salary Surveys,28000,27650,28000,28400,28000,28100,28000,27850,Market research
HR,Compensation,Bonus Programs,185000,188200,185000,182800,185000,186500,185000,184600,Annual bonuses
HR,Employee Relations,Team Building,45000,44200,45000,45800,45000,45400,45000,44900,Team activities
HR,Employee Relations,Recognition Programs,35000,34650,35000,35400,35000,35100,35000,34900,Employee awards
HR,Employee Relations,Employee Surveys,22000,21850,22000,22200,22000,22050,22000,21950,Engagement surveys
HR,Diversity,DEI Programs,65000,66300,65000,64200,65000,65700,65000,64900,Diversity initiatives
HR,Diversity,Recruiting Outreach,42000,41650,42000,42400,42000,42100,42000,41850,Diverse hiring
HR,Safety,Safety Training,35000,34850,35000,35200,35000,35050,35000,34950,OSHA training
HR,Safety,Safety Equipment,28000,27650,28000,28400,28000,28100,28000,27850,Safety gear
HR,Safety,Safety Audits,18000,17850,18000,18200,18000,18050,18000,17950,Safety inspections
Operations,Logistics,Shipping,95000,96300,95000,94200,95000,95700,95000,94900,Package delivery
Operations,Logistics,Freight,125000,128200,125000,122800,125000,126500,125000,124600,Large shipments
Operations,Logistics,Courier Services,42000,41650,42000,42400,42000,42100,42000,41850,Local delivery
Operations,Supply Chain,Inventory Management,68000,67650,68000,68400,68000,68100,68000,67850,Inventory software
Operations,Supply Chain,Procurement,55000,54650,55000,55400,55000,55100,55000,54900,Purchasing costs
Operations,Supply Chain,Vendor Management,38000,37650,38000,38400,38000,38100,38000,37850,Vendor relations
Operations,Quality,Quality Assurance,75000,76300,75000,74200,75000,75700,75000,74900,QA programs
Operations,Quality,Testing Equipment,48000,47650,48000,48400,48000,48100,48000,47850,Testing tools
Operations,Quality,Certification,32000,31850,32000,32200,32000,32050,32000,31950,ISO certification
Operations,Environmental,Sustainability,55000,56300,55000,54200,55000,55700,55000,54800,Green initiatives
Operations,Environmental,Waste Management,28000,27650,28000,28400,28000,28100,28000,27850,Recycling programs
Operations,Environmental,Energy Efficiency,45000,44200,45000,45800,45000,45400,45000,44900,Energy projects
Finance,Treasury,Cash Management,35000,34650,35000,35400,35000,35100,35000,34900,Treasury services
Finance,Treasury,Investment Management,125000,128200,125000,122800,125000,126500,125000,124600,Investment fees
Finance,Treasury,Foreign Exchange,42000,41650,42000,42400,42000,42100,42000,41850,FX transactions
Finance,Risk,Risk Management,85000,87200,85000,83500,85000,86100,85000,84800,Risk assessment
Finance,Risk,Insurance Premiums,195000,195000,195000,195000,195000,195000,195000,195000,Premium payments
Finance,Risk,Hedging Costs,55000,54650,55000,55400,55000,55100,55000,54900,Financial hedging
Finance,Planning,Budgeting Tools,45000,44650,45000,45400,45000,45100,45000,44900,Planning software
Finance,Planning,Forecasting,38000,37650,38000,38400,38000,38100,38000,37850,Financial forecasting
Finance,Planning,Strategic Planning,65000,66300,65000,64200,65000,65700,65000,64900,Strategy consulting
Finance,Reporting,Financial Reporting,52000,51650,52000,52400,52000,52100,52000,51850,Reporting tools
Finance,Reporting,Dashboard Tools,35000,34850,35000,35200,35000,35050,35000,34950,BI dashboards
Finance,Reporting,Data Visualization,28000,27650,28000,28400,28000,28100,28000,27850,Visualization tools
Engineering,Documentation,Technical Writing,48000,47650,48000,48400,48000,48100,48000,47850,Documentation services
Engineering,Documentation,Knowledge Base,32000,31850,32000,32200,32000,32050,32000,31950,Wiki platforms
Engineering,Documentation,API Documentation,25000,24850,25000,25200,25000,25050,25000,24950,API docs tools
Engineering,Quality,Code Review,42000,41650,42000,42400,42000,42100,42000,41850,Review tools
Engineering,Quality,Static Analysis,35000,34850,35000,35200,35000,35050,35000,34950,Code analysis tools
Engineering,Quality,Performance Testing,55000,56300,55000,54200,55000,55700,55000,54800,Load testing
Engineering,Collaboration,Project Management,68000,67650,68000,68400,68000,68100,68000,67850,Jira and Asana
Engineering,Collaboration,Communication Tools,45000,44650,45000,45400,45000,45100,45000,44900,Slack licenses
Engineering,Collaboration,File Sharing,38000,37650,38000,38400,38000,38100,38000,37850,Dropbox Business
Sales,Enablement,Sales Content,52000,51650,52000,52400,52000,52100,52000,51850,Content creation
Sales,Enablement,Sales Training Materials,35000,34850,35000,35200,35000,35050,35000,34950,Training resources
Sales,Enablement,Proposal Software,42000,41650,42000,42400,42000,42100,42000,41850,Proposal tools
Sales,Customer Experience,Customer Feedback,38000,37650,38000,38400,38000,38100,38000,37850,Survey tools
Sales,Customer Experience,Customer Programs,75000,76300,75000,74200,75000,75700,75000,74900,Loyalty programs
Sales,Customer Experience,Customer Gifts,48000,47650,48000,48400,48000,48100,48000,47850,Client appreciation
Sales,Territory,Territory Management,32000,31850,32000,32200,32000,32050,32000,31950,Territory tools
Sales,Territory,Sales Operations,85000,87200,85000,83500,85000,86100,85000,84800,Sales ops support
Sales,Territory,Sales Planning,55000,54650,55000,55400,55000,55100,55000,54900,Territory planning
Marketing,Brand,Brand Management,95000,96300,95000,94200,95000,95700,95000,94900,Brand programs
Marketing,Brand,Brand Guidelines,28000,27650,28000,28400,28000,28100,28000,27850,Brand standards
Marketing,Brand,Brand Monitoring,42000,41650,42000,42400,42000,42100,42000,41850,Brand tracking
Marketing,Demand,Demand Generation,125000,128200,125000,122800,125000,126500,125000,124600,Lead generation
Marketing,Demand,Lead Nurturing,68000,67650,68000,68400,68000,68100,68000,67850,Nurture campaigns
Marketing,Demand,Marketing Automation,85000,87200,85000,83500,85000,86100,85000,84800,Marketo licenses
Marketing,Customer,Customer Marketing,55000,54650,55000,55400,55000,55100,55000,54900,Customer campaigns
Marketing,Customer,Referral Programs,65000,66300,65000,64200,65000,65700,65000,64900,Referral incentives
Marketing,Customer,Case Studies,45000,44200,45000,45800,45000,45400,45000,44900,Customer stories
Marketing,Product,Product Marketing,95000,98200,95000,92800,95000,96500,95000,94600,Product launches
Marketing,Product,Product Content,52000,51650,52000,52400,52000,52100,52000,51850,Product materials
Marketing,Product,Competitive Analysis,42000,41650,42000,42400,42000,42100,42000,41850,Competitive research
HR,Onboarding,New Hire Programs,48000,47650,48000,48400,48000,48100,48000,47850,Onboarding costs
HR,Onboarding,Orientation Materials,25000,24850,25000,25200,25000,25050,25000,24950,Welcome kits
HR,Onboarding,Onboarding Software,35000,34850,35000,35200,35000,35050,35000,34950,Onboarding platform
HR,Offboarding,Exit Interviews,18000,17850,18000,18200,18000,18050,18000,17950,Exit process
HR,Offboarding,Knowledge Transfer,28000,27650,28000,28400,28000,28100,28000,27850,Documentation
HR,Performance,Performance Reviews,42000,41650,42000,42400,42000,42100,42000,41850,Review software
HR,Performance,Goal Management,35000,34850,35000,35200,35000,35050,35000,34950,OKR tools
HR,Performance,360 Feedback,28000,27650,28000,28400,28000,28100,28000,27850,Feedback tools
HR,Culture,Culture Programs,85000,87200,85000,83500,85000,86100,85000,84800,Culture initiatives
HR,Culture,Employee Communications,42000,41650,42000,42400,42000,42100,42000,41850,Internal comms
HR,Culture,Employee Engagement,65000,66300,65000,64200,65000,65700,65000,64900,Engagement programs
Operations,Procurement,Purchasing Systems,55000,54650,55000,55400,55000,55100,55000,54900,Procurement software
Operations,Procurement,Vendor Contracts,42000,41650,42000,42400,42000,42100,42000,41850,Contract management
Operations,Procurement,Supplier Relations,35000,34850,35000,35200,35000,35050,35000,34950,Supplier programs
Operations,Asset,Asset Management,68000,67650,68000,68400,68000,68100,68000,67850,Asset tracking
Operations,Asset,Asset Maintenance,95000,96300,95000,94200,95000,95700,95000,94900,Preventive maintenance
Operations,Asset,Asset Disposal,28000,27650,28000,28400,28000,28100,28000,27850,Equipment disposal
Operations,Space,Space Planning,45000,44200,45000,45800,45000,45400,45000,44900,Workspace design
Operations,Space,Office Renovations,125000,128200,125000,122800,125000,126500,125000,124600,Office improvements
Operations,Space,Moving Services,75000,73500,75000,76800,75000,74600,75000,75900,Relocation costs
Finance,Accounts Payable,AP Systems,42000,41650,42000,42400,42000,42100,42000,41850,AP automation
Finance,Accounts Payable,Vendor Payments,35000,34850,35000,35200,35000,35050,35000,34950,Payment processing
Finance,Accounts Receivable,AR Systems,48000,47650,48000,48400,48000,48100,48000,47850,AR management
Finance,Accounts Receivable,Collections,55000,56300,55000,54200,55000,55700,55000,54800,Collection services
Finance,Accounts Receivable,Credit Management,38000,37650,38000,38400,38000,38100,38000,37850,Credit checks
Finance,Financial Systems,ERP Software,185000,187200,185000,183500,185000,186100,185000,184900,NetSuite licenses
Finance,Financial Systems,Integration,95000,96300,95000,94200,95000,95700,95000,94900,System integration
Finance,Financial Systems,Data Migration,68000,67650,68000,68400,68000,68100,68000,67850,Data conversion
Engineering,DevOps,CI/CD Tools,75000,76300,75000,74200,75000,75700,75000,74900,Jenkins and GitLab
Engineering,DevOps,Container Management,85000,87200,85000,83500,85000,86100,85000,84800,Docker and Kubernetes
Engineering,DevOps,Configuration Management,55000,54650,55000,55400,55000,55100,55000,54900,Ansible and Terraform
Engineering,Architecture,Solution Architecture,95000,98200,95000,92800,95000,96500,95000,94600,Architecture services
Engineering,Architecture,Enterprise Architecture,68000,67650,68000,68400,68000,68100,68000,67850,EA consulting
Engineering,Architecture,System Design,52000,51650,52000,52400,52000,52100,52000,51850,Design reviews
Engineering,Support,Technical Support,125000,128200,125000,122800,125000,126500,125000,124600,Support team costs
Engineering,Support,Help Desk,85000,83500,85000,86800,85000,84600,85000,85900,Help desk software
Engineering,Support,Knowledge Management,45000,44200,45000,45800,45000,45400,45000,44900,KB management
Sales,Compensation,Sales Compensation,195000,198500,195000,192800,195000,196300,195000,197100,Variable comp
Sales,Compensation,Incentive Programs,125000,128200,125000,122800,125000,126500,125000,124600,Sales incentives
Sales,Compensation,SPIF Programs,75000,73500,75000,76800,75000,74600,75000,75900,Sales contests
Sales,Pipeline,Pipeline Management,48000,47650,48000,48400,48000,48100,48000,47850,Pipeline tools
Sales,Pipeline,Forecasting Tools,55000,54650,55000,55400,55000,55100,55000,54900,Sales forecasting
Sales,Pipeline,Opportunity Management,42000,41650,42000,42400,42000,42100,42000,41850,Opportunity tracking
Sales,Channel,Channel Management,85000,87200,85000,83500,85000,86100,85000,84800,Channel programs
Sales,Channel,Partner Training,55000,56300,55000,54200,55000,55700,55000,54800,Partner enablement
Sales,Channel,Partner Marketing,95000,96300,95000,94200,95000,95700,95000,94900,Co-marketing programs
Marketing,Analytics,Marketing Analytics,95000,98200,95000,92800,95000,96500,95000,94600,Analytics platform
Marketing,Analytics,Web Analytics,48000,47650,48000,48400,48000,48100,48000,47850,Google Analytics 360
Marketing,Analytics,Campaign Analytics,55000,54650,55000,55400,55000,55100,55000,54900,Campaign measurement
Marketing,Optimization,Landing Pages,42000,41650,42000,42400,42000,42100,42000,41850,Landing page tools
Marketing,Optimization,Marketing Testing,38000,37650,38000,38400,38000,38100,38000,37850,Testing platforms
Marketing,Optimization,Personalization,65000,66300,65000,64200,65000,65700,65000,64900,Personalization engine
Marketing,Mobile,Mobile Marketing,75000,76300,75000,74200,75000,75700,75000,74900,Mobile campaigns
Marketing,Mobile,App Marketing,85000,87200,85000,83500,85000,86100,85000,84800,App promotion
Marketing,Mobile,SMS Marketing,45000,44200,45000,45800,45000,45400,45000,44900,Text messaging
HR,Legal,Employment Law,55000,56300,55000,54200,55000,55700,55000,54800,Legal compliance
HR,Legal,Labor Relations,48000,47650,48000,48400,48000,48100,48000,47850,Union relations
HR,Legal,HR Policies,35000,34850,35000,35200,35000,35050,35000,34950,Policy development
HR,Technology,HR Technology,125000,128200,125000,122800,125000,126500,125000,124600,HR systems
HR,Technology,Applicant Tracking,68000,67650,68000,68400,68000,68100,68000,67850,ATS software
HR,Technology,Time Tracking,42000,41650,42000,42400,42000,42100,42000,41850,Time and attendance
HR,Analytics,HR Analytics,55000,54650,55000,55400,55000,55100,55000,54900,People analytics
HR,Analytics,Workforce Planning,48000,47650,48000,48400,48000,48100,48000,47850,Workforce analytics
HR,Analytics,Compensation Analysis,38000,37650,38000,38400,38000,38100,38000,37850,Comp benchmarking
Operations,Business Continuity,Disaster Recovery,95000,96300,95000,94200,95000,95700,95000,94900,DR planning
Operations,Business Continuity,Backup Systems,75000,76300,75000,74200,75000,75700,75000,74900,Data backup
Operations,Business Continuity,Emergency Planning,48000,47650,48000,48400,48000,48100,48000,47850,Emergency response
Operations,Compliance,Regulatory Compliance,85000,87200,85000,83500,85000,86100,85000,84800,Compliance programs
Operations,Compliance,Audit Management,65000,66300,65000,64200,65000,65700,65000,64900,Audit coordination
Operations,Compliance,Policy Management,42000,41650,42000,42400,42000,42100,42000,41850,Policy systems
Operations,Project,Project Management,95000,98200,95000,92800,95000,96500,95000,94600,PMO costs
Operations,Project,Project Tools,55000,54650,55000,55400,55000,55100,55000,54900,Project software
Operations,Project,Resource Management,68000,67650,68000,68400,68000,68100,68000,67850,Resource planning
Finance,Tax,Tax Planning,125000,128200,125000,122800,125000,126500,125000,124600,Tax strategy
Finance,Tax,Tax Preparation,85000,87200,85000,83500,85000,86100,85000,84800,Tax filing
Finance,Tax,Tax Advisory,95000,96300,95000,94200,95000,95700,95000,94900,Tax consulting
Finance,Internal Audit,Internal Audit,155000,158200,155000,152800,155000,156500,155000,154600,Audit function
Finance,Internal Audit,Audit Software,48000,47650,48000,48400,48000,48100,48000,47850,Audit tools
Finance,Internal Audit,Fraud Prevention,75000,76300,75000,74200,75000,75700,75000,74900,Fraud detection
Finance,FP&A,Financial Planning,125000,128200,125000,122800,125000,126500,125000,124600,FP&A team
Finance,FP&A,Business Intelligence,95000,96300,95000,94200,95000,95700,95000,94900,BI tools
Finance,FP&A,Modeling Tools,68000,67650,68000,68400,68000,68100,68000,67850,Financial modeling
