salary,years_experience,publications
67679.01,17,21
69123.45,18,22
70567.89,19,23
72012.34,20,24
73456.78,21,25
74901.23,22,26
76345.67,23,27
77790.12,24,28
79234.56,25,29
80679.01,26,30
82123.45,27,31
83567.89,28,32
85012.34,29,33
86456.78,30,34
47234.56,3,9
48678.90,4,8
50123.34,5,10
51567.78,6,11
53012.23,7,12
54456.67,8,13
55901.12,9,14
57345.56,10,15
58790.01,11,16
60234.45,12,17
61678.90,13,18
63123.34,14,19
64567.78,15,20
66012.23,16,21
67456.67,17,22
68901.12,18,23
70345.56,19,24
71790.01,20,25
73234.45,21,26
74678.90,22,27
76123.34,23,28
77567.78,24,29
79012.23,25,30
80456.67,26,31
81901.12,27,32
83345.56,28,33
84790.01,29,34
86234.45,30,35
87678.90,31,36
89123.34,32,37
90567.78,33,38
92012.23,34,39
93456.67,35,40
94901.12,36,41
96345.56,37,42
97790.01,38,43
99234.45,39,44
45901.23,2,7
47345.67,3,10
48790.12,4,9
50234.56,5,11
51679.01,6,12
53123.45,7,13
54567.89,8,14
56012.34,9,15
57456.78,10,16
58901.23,11,17
60345.67,12,18
61790.12,13,19
63234.56,14,20
64679.01,15,21
66123.45,16,22
67567.89,17,23
69012.34,18,24
70456.78,19,25
71901.23,20,26
73345.67,21,27
74790.12,22,28
76234.56,23,29
77679.01,24,30
79123.45,25,31
80567.89,26,32
82012.34,27,33
83456.78,28,34
84901.23,29,35
86345.67,30,36
87790.12,31,37
46345.78,2,8
47790.23,3,11
49234.67,4,10
50679.12,5,12
52123.56,6,13
53568.01,7,14
55012.45,8,15
56456.90,9,16
57901.34,10,17
59345.78,11,18
60790.23,12,19
62234.67,13,20
63679.12,14,21
65123.56,15,22
66568.01,16,23
68012.45,17,24
69456.90,18,25
70901.34,19,26
72345.78,20,27
73790.23,21,28
75234.67,22,29
76679.12,23,30
78123.56,24,31
79568.01,25,32
81012.45,26,33
82456.90,27,34
83901.34,28,35
85345.78,29,36
86790.23,30,37
88234.67,31,38
89679.12,32,39
91123.56,33,40
92568.01,34,41
94012.45,35,42
95456.90,36,43
96901.34,37,44
98345.78,38,45
99790.23,39,46
45456.89,1,10
46901.34,2,9
48345.78,3,12
49790.23,4,11
51234.67,5,13
52679.12,6,14
54123.56,7,15
55568.01,8,16
57012.45,9,17
58456.90,10,18
59901.34,11,19
61345.78,12,20
62790.23,13,21
64234.67,14,22
65679.12,15,23
67123.56,16,24
68568.01,17,25
70012.45,18,26
71456.90,19,27
72901.34,20,28
74345.78,21,29
75790.23,22,30
77234.67,23,31
78679.12,24,32
80123.56,25,33
81568.01,26,34
83012.45,27,35
84456.90,28,36
85901.34,29,37
87345.78,30,38
88790.23,31,39
90234.67,32,40
91679.12,33,41
93123.56,34,42
94568.01,35,43
96012.45,36,44
97456.90,37,45
98901.34,38,46
47567.89,3,13
49012.34,4,12
50456.78,5,14
51901.23,6,15
53345.67,7,16
54790.12,8,17
56234.56,9,18
57679.01,10,19
59123.45,11,20
60567.89,12,21
62012.34,13,22
63456.78,14,23
64901.23,15,24
66345.67,16,25
67790.12,17,26
69234.56,18,27
70679.01,19,28
72123.45,20,29
73567.89,21,30
75012.34,22,31
76456.78,23,32
77901.23,24,33
79345.67,25,34
80790.12,26,35
82234.56,27,36
83679.01,28,37
85123.45,29,38
86567.89,30,39
88012.34,31,40
89456.78,32,41
90901.23,33,42
92345.67,34,43
93790.12,35,44
95234.56,36,45
96679.01,37,46
98123.45,38,47
99567.89,39,48
46678.90,2,10
48123.34,3,14
49567.78,4,13
51012.23,5,15
52456.67,6,16
53901.12,7,17
55345.56,8,18
56790.01,9,19
58234.45,10,20
59678.90,11,21
61123.34,12,22
62567.78,13,23
64012.23,14,24
65456.67,15,25
66901.12,16,26
68345.56,17,27
69790.01,18,28
71234.45,19,29
72678.90,20,30
74123.34,21,31
75567.78,22,32
77012.23,23,33
78456.67,24,34
79901.12,25,35
81345.56,26,36
82790.01,27,37
84234.45,28,38
85678.90,29,39
87123.34,30,40
88567.78,31,41
90012.23,32,42
91456.67,33,43
92901.12,34,44
94345.56,35,45
95790.01,36,46
97234.45,37,47
98678.90,38,48
45789.01,1,11
47234.45,2,11
48678.90,3,15
50123.34,4,14
51567.78,5,16
53012.23,6,17
54456.67,7,18
55901.12,8,19
57345.56,9,20
58790.01,10,21
60234.45,11,22
61678.90,12,23
63123.34,13,24
64567.78,14,25
66012.23,15,26
67456.67,16,27
68901.12,17,28
70345.56,18,29
71790.01,19,30
73234.45,20,31
74678.90,21,32
76123.34,22,33
77567.78,23,34
79012.23,24,35
80456.67,25,36
81901.12,26,37
83345.56,27,38
84790.01,28,39
86234.45,29,40
87678.90,30,41
89123.34,31,42
90567.78,32,43
92012.23,33,44
93456.67,34,45
94901.12,35,46
96345.56,36,47
97790.01,37,48
99234.45,38,49
46012.12,1,12
47456.56,2,12
48901.01,3,16
50345.45,4,15
51789.90,5,17
53234.34,6,18
54678.78,7,19
56123.23,8,20
57567.67,9,21
59012.12,10,22
60456.56,11,23
61901.01,12,24
63345.45,13,25
64789.90,14,26
66234.34,15,27
67678.78,16,28
69123.23,17,29
70567.67,18,30
72012.12,19,31
73456.56,20,32
74901.01,21,33
76345.45,22,34
77789.90,23,35
79234.34,24,36
80678.78,25,37
82123.23,26,38
83567.67,27,39
85012.12,28,40
86456.56,29,41
87901.01,30,42
89345.45,31,43
90789.90,32,44
92234.34,33,45
93678.78,34,46
95123.23,35,47
96567.67,36,48
98012.12,37,49
99456.56,38,50
