pid,application_name,state,state_duration_seconds,query_start
3156,web_app,idle,15234,2024-01-15T02:56:23Z
3278,admin_panel,active,10,2024-01-15T14:23:47Z
3423,web_app,idle,11789,2024-01-15T04:34:08Z
3589,api_service,idle,4789,2024-01-15T09:12:08Z
3712,background_worker,idle in transaction,812,2024-01-15T11:10:25Z
3856,web_app,idle,16567,2024-01-15T02:12:10Z
3978,reporting_tool,idle,26234,2024-01-15T00:12:03Z
4156,api_service,active,26,2024-01-15T14:23:31Z
4289,web_app,idle in transaction,956,2024-01-15T11:07:21Z
4412,admin_panel,idle,1078,2024-01-15T14:05:59Z
4567,web_app,active,14,2024-01-15T14:23:43Z
4689,api_service,idle,7567,2024-01-15T07:12:10Z
4823,background_worker,idle,20234,2024-01-15T00:12:23Z
4956,web_app,idle in transaction,1023,2024-01-15T10:06:14Z
5089,reporting_tool,idle,27456,2024-01-15T00:12:21Z
5234,api_service,active,16,2024-01-15T14:23:41Z
5378,web_app,idle,17234,2024-01-15T01:45:23Z
5512,admin_panel,idle in transaction,689,2024-01-15T13:12:28Z
5645,web_app,idle,12567,2024-01-15T04:12:10Z
5789,api_service,idle,5234,2024-01-15T09:23:23Z
5912,background_worker,active,33,2024-01-15T14:23:24Z
6056,web_app,idle in transaction,1134,2024-01-15T10:05:03Z
6189,reporting_tool,idle,28567,2024-01-15T00:12:10Z
6323,api_service,idle,8234,2024-01-15T06:56:23Z
6467,web_app,active,11,2024-01-15T14:23:46Z
6601,admin_panel,idle,1189,2024-01-15T14:04:08Z
6734,web_app,idle,18456,2024-01-15T01:12:21Z
6878,api_service,idle in transaction,723,2024-01-15T13:11:54Z
7012,background_worker,idle,21567,2024-01-15T00:12:10Z
7156,web_app,active,8,2024-01-15T14:23:49Z
