Id	User	Host	db	Command	Time	State	Info
58	app_user	10.0.1.38:45708	production	Query	52	Copying to tmp table	SELECT p.name, SUM(oi.quantity) as total_sold FROM products p JOIN order_items oi ON p.id = oi.product_id GROUP BY p.id ORDER BY total_sold DESC LIMIT 20
59	web_app	192.168.1.100:34584	webapp	Sleep	78	NULL	NULL
60	app_user	10.0.1.23:45709	production	Sleep	189	NULL	NULL
61	web_app	192.168.1.109:34585	webapp	Query	6	executing	INSERT INTO user_activity (user_id, page_url, timestamp) VALUES (890, '/products/123', NOW())
62	app_user	10.0.1.39:45710	production	Sleep	4321	NULL	NULL
63	app_user	10.0.1.23:45711	production	Query	38	Sending data	SELECT * FROM customers WHERE created_at > DATE_SUB(NOW(), INTERVAL 30 DAY) ORDER BY created_at DESC
64	web_app	192.168.1.100:34586	webapp	Sleep	234	NULL	NULL
65	reporting	10.0.1.30:50132	analytics	Query	95	Sorting result	SELECT warehouse_id, product_id, SUM(quantity) as total_stock FROM inventory GROUP BY warehouse_id, product_id HAVING total_stock < 10
66	app_user	10.0.1.40:45712	production	Sleep	567	NULL	NULL
67	web_app	192.168.1.110:34587	webapp	Query	14	executing	UPDATE user_preferences SET theme = 'dark' WHERE user_id = 123
68	app_user	10.0.1.23:45713	production	Sleep	6543	NULL	NULL
69	app_user	10.0.1.41:45714	production	Sleep	123	NULL	NULL
70	web_app	192.168.1.100:34588	webapp	Query	8	Sending data	SELECT * FROM categories WHERE parent_id IS NULL ORDER BY display_order
71	reporting	10.0.1.30:50133	analytics	Sleep	5432	NULL	NULL
72	app_user	10.0.1.23:45715	production	Query	44	executing	DELETE FROM expired_sessions WHERE expires_at < DATE_SUB(NOW(), INTERVAL 24 HOUR)
73	web_app	192.168.1.111:34589	webapp	Sleep	89	NULL	NULL
74	app_user	10.0.1.42:45716	production	Sleep	3912	NULL	NULL
75	web_app	192.168.1.100:34590	webapp	Query	17	Copying to tmp table	SELECT u.id, u.name, COUNT(o.id) as order_count FROM users u LEFT JOIN orders o ON u.id = o.customer_id GROUP BY u.id
76	app_user	10.0.1.23:45717	production	Sleep	456	NULL	NULL
77	reporting	10.0.1.30:50134	analytics	Query	76	Sending data	SELECT DATE_FORMAT(created_at, '%Y-%m') as month, COUNT(*) as new_users FROM users GROUP BY month ORDER BY month DESC
78	app_user	10.0.1.43:45718	production	Sleep	234	NULL	NULL
79	web_app	192.168.1.112:34591	webapp	Query	9	executing	INSERT INTO reviews (product_id, user_id, rating, comment) VALUES (456, 789, 5, 'Great product!')
80	app_user	10.0.1.23:45719	production	Sleep	7234	NULL	NULL
81	web_app	192.168.1.100:34592	webapp	Sleep	167	NULL	NULL
82	app_user	10.0.1.44:45720	production	Query	61	Sorting result	SELECT * FROM transactions WHERE user_id = 345 AND created_at > DATE_SUB(NOW(), INTERVAL 1 YEAR) ORDER BY created_at DESC
83	app_user	10.0.1.23:45721	production	Sleep	289	NULL	NULL
84	reporting	10.0.1.30:50135	analytics	Sleep	6789	NULL	NULL
85	web_app	192.168.1.113:34593	webapp	Query	13	Sending data	SELECT * FROM shipping_addresses WHERE user_id = 567 AND is_default = 1
86	app_user	10.0.1.45:45722	production	Sleep	4567	NULL	NULL
87	app_user	10.0.1.23:45723	production	Sleep	123	NULL	NULL
88	web_app	192.168.1.100:34594	webapp	Query	21	executing	UPDATE products SET view_count = view_count + 1 WHERE id = 789
89	app_user	10.0.1.46:45724	production	Sleep	5678	NULL	NULL
90	reporting	10.0.1.30:50136	analytics	Query	108	Copying to tmp table	SELECT p.category_id, p.name, SUM(oi.quantity * oi.unit_price) as revenue FROM products p JOIN order_items oi ON p.id = oi.product_id GROUP BY p.id ORDER BY revenue DESC LIMIT 50
91	web_app	192.168.1.114:34595	webapp	Sleep	45	NULL	NULL
92	app_user	10.0.1.23:45725	production	Query	36	Sending data	SELECT * FROM payment_methods WHERE user_id = 123 AND is_active = 1
93	app_user	10.0.1.47:45726	production	Sleep	178	NULL	NULL
94	web_app	192.168.1.100:34596	webapp	Sleep	234	NULL	NULL
95	app_user	10.0.1.48:45727	production	Query	49	executing	INSERT INTO order_history (order_id, status, changed_at) VALUES (890, 'shipped', NOW())
96	reporting	10.0.1.30:50137	analytics	Sleep	8123	NULL	NULL
97	app_user	10.0.1.23:45728	production	Sleep	3456	NULL	NULL
98	web_app	192.168.1.115:34597	webapp	Query	16	Sorting result	SELECT * FROM wishlist_items WHERE user_id = 234 ORDER BY added_at DESC
99	app_user	10.0.1.49:45729	production	Sleep	456	NULL	NULL
100	web_app	192.168.1.100:34598	webapp	Query	4	Sending data	SELECT COUNT(*) FROM cart_items WHERE cart_id = 345
101	app_user	10.0.1.23:45730	production	Sleep	7891	NULL	NULL
102	app_user	10.0.1.50:45731	production	Sleep	289	NULL	NULL
103	reporting	10.0.1.30:50138	analytics	Query	82	executing	SELECT customer_id, AVG(total_amount) as avg_order_value FROM orders WHERE created_at > DATE_SUB(NOW(), INTERVAL 6 MONTH) GROUP BY customer_id
104	web_app	192.168.1.116:34599	webapp	Sleep	67	NULL	NULL
105	app_user	10.0.1.23:45732	production	Query	27	Copying to tmp table	SELECT o.*, s.tracking_number FROM orders o LEFT JOIN shipments s ON o.id = s.order_id WHERE o.customer_id = 456
106	web_app	192.168.1.100:34600	webapp	Sleep	123	NULL	NULL
107	app_user	10.0.1.51:45733	production	Sleep	5234	NULL	NULL
108	web_app	192.168.1.117:34601	webapp	Query	10	Sending data	SELECT * FROM coupons WHERE code = 'SUMMER2024' AND is_active = 1 AND expires_at > NOW()
109	app_user	10.0.1.23:45734	production	Sleep	178	NULL	NULL
110	reporting	10.0.1.30:50139	analytics	Sleep	9234	NULL	NULL
111	app_user	10.0.1.52:45735	production	Query	58	Sorting result	SELECT brand, COUNT(*) as product_count FROM products WHERE status = 'active' GROUP BY brand ORDER BY product_count DESC
112	web_app	192.168.1.100:34602	webapp	Sleep	234	NULL	NULL
113	app_user	10.0.1.23:45736	production	Sleep	4123	NULL	NULL
114	web_app	192.168.1.118:34603	webapp	Query	18	executing	UPDATE order_status SET status = 'delivered', delivered_at = NOW() WHERE order_id = 567
115	app_user	10.0.1.53:45737	production	Sleep	567	NULL	NULL
116	reporting	10.0.1.30:50140	analytics	Query	91	Sending data	SELECT DATE(created_at) as date, COUNT(DISTINCT user_id) as active_users FROM user_activity WHERE created_at > DATE_SUB(NOW(), INTERVAL 30 DAY) GROUP BY date
117	app_user	10.0.1.23:45738	production	Sleep	6789	NULL	NULL
118	web_app	192.168.1.119:34604	webapp	Query	7	executing	INSERT INTO search_history (user_id, search_term, timestamp) VALUES (678, 'laptop', NOW())
119	app_user	10.0.1.54:45739	production	Sleep	289	NULL	NULL
120	web_app	192.168.1.100:34605	webapp	Sleep	145	NULL	NULL
121	app_user	10.0.1.23:45740	production	Query	42	Copying to tmp table	SELECT p.*, AVG(r.rating) as avg_rating FROM products p LEFT JOIN reviews r ON p.id = r.product_id GROUP BY p.id HAVING avg_rating > 4.0
122	reporting	10.0.1.30:50141	analytics	Sleep	7654	NULL	NULL
123	app_user	10.0.1.55:45741	production	Sleep	3789	NULL	NULL
124	web_app	192.168.1.120:34606	webapp	Query	11	Sending data	SELECT * FROM user_permissions WHERE user_id = 890 AND resource_type = 'order'
125	app_user	10.0.1.23:45742	production	Sleep	456	NULL	NULL
126	web_app	192.168.1.100:34607	webapp	Query	20	Sorting result	SELECT tag, COUNT(*) as tag_count FROM product_tags GROUP BY tag ORDER BY tag_count DESC LIMIT 25
127	app_user	10.0.1.56:45743	production	Sleep	5891	NULL	NULL
128	reporting	10.0.1.30:50142	analytics	Query	99	executing	SELECT warehouse_id, DATE(created_at) as date, SUM(quantity) as total_shipped FROM shipments GROUP BY warehouse_id, date ORDER BY date DESC
129	app_user	10.0.1.23:45744	production	Sleep	178	NULL	NULL
130	web_app	192.168.1.121:34608	webapp	Sleep	89	NULL	NULL
131	app_user	10.0.1.57:45745	production	Query	33	Sending data	SELECT * FROM refunds WHERE order_id = 234 AND status = 'pending'
132	web_app	192.168.1.100:34609	webapp	Query	14	executing	UPDATE sessions SET last_activity = NOW() WHERE session_id = 'xyz789abc012'
133	app_user	10.0.1.23:45746	production	Sleep	8234	NULL	NULL
134	reporting	10.0.1.30:50143	analytics	Sleep	6123	NULL	NULL
135	app_user	10.0.1.58:45747	production	Sleep	234	NULL	NULL
136	web_app	192.168.1.122:34610	webapp	Query	9	Copying to tmp table	SELECT c.name, COUNT(p.id) as product_count FROM categories c LEFT JOIN products p ON c.id = p.category_id GROUP BY c.id
137	app_user	10.0.1.23:45748	production	Sleep	4567	NULL	NULL
138	web_app	192.168.1.100:34611	webapp	Sleep	67	NULL	NULL
139	app_user	10.0.1.59:45749	production	Query	46	Sorting result	SELECT * FROM inventory_logs WHERE product_id = 345 ORDER BY created_at DESC LIMIT 100
140	reporting	10.0.1.30:50144	analytics	Query	85	Sending data	SELECT payment_method, COUNT(*) as transaction_count, SUM(amount) as total_amount FROM transactions WHERE created_at > DATE_SUB(NOW(), INTERVAL 1 MONTH) GROUP BY payment_method
141	app_user	10.0.1.23:45750	production	Sleep	289	NULL	NULL
142	web_app	192.168.1.123:34612	webapp	Query	12	executing	INSERT INTO email_queue (recipient, subject, body, created_at) VALUES ('user@example.com', 'Order Confirmation', 'Your order has been confirmed', NOW())
143	app_user	10.0.1.60:45751	production	Sleep	7123	NULL	NULL
144	web_app	192.168.1.100:34613	webapp	Sleep	156	NULL	NULL
145	app_user	10.0.1.23:45752	production	Query	39	Sending data	SELECT * FROM subscriptions WHERE user_id = 456 AND status = 'active' AND end_date > NOW()
146	reporting	10.0.1.30:50145	analytics	Sleep	8901	NULL	NULL
147	app_user	10.0.1.61:45753	production	Sleep	3234	NULL	NULL
148	web_app	192.168.1.124:34614	webapp	Query	16	executing	UPDATE user_stats SET page_views = page_views + 1 WHERE user_id = 567 AND date = CURDATE()
149	app_user	10.0.1.23:45754	production	Sleep	567	NULL	NULL
150	web_app	192.168.1.100:34615	webapp	Query	5	Sending data	SELECT * FROM featured_products WHERE is_active = 1 ORDER BY display_order LIMIT 10
